abort,"n. 中止计划
vt. 使流产；使中止
vi. 流产；堕胎；夭折；发育不全"
gasp,"n. 喘气
vi. 喘气；喘息；渴望
vt. 气喘吁吁地说；喘着气说话"
generalize,"vi. 形成概念
vt. 概括；推广；使...一般化"
generalise,"vi. 推广；笼统地讲；概括（等于generalize）
vt. 概括；归纳；普及"
generosity,n. 慷慨，大方；宽宏大量
giggle,"n. 吃吃的笑
vt. 咯咯地笑着说
vi. 傻笑；咯咯地笑"
glare,"n. 刺眼；耀眼的光；受公众注目
vt. 瞪视；发眩光
vi. 瞪眼表示"
gleam,"n. 微光；闪光；瞬息的一现
vt. 使闪烁；使发微光
vi. 闪烁；隐约地闪现"
glide,"vi. 滑翔；滑行；悄悄地走；消逝
vt. 使滑行；使滑动
n. 滑翔；滑行；滑移；滑音"
glossary,n. 术语（特殊用语）表；词汇表；专业词典
gorge,"n. 峡谷；胃；暴食；咽喉；障碍物
vt. 使吃饱；吞下；使扩张
vi. 拚命吃；狼吞虎咽"
gossip,"n. 小道传闻；随笔；爱说长道短的人
vi. 闲聊；传播流言蜚语"
gracious,"adj. 亲切的；高尚的；和蔼的；雅致的
int. 天哪；哎呀"
granted,"conj. 诚然
adv. 的确
vt. grant的过去式"
graphic,adj. 形象的；图表的；绘画似的
grease,"n. 油脂；贿赂
vt. 涂脂于；贿赂"
grieve,"vi. 悲痛，哀悼
vt. 使悲伤，使苦恼"
grill,"n. 烤架，铁格子；烤肉
vi. 拷问，严加盘问
vt. 烧，烤；"
groan,"n. 呻吟；叹息；吱嘎声
vt. 呻吟；抱怨
vi. 呻吟；抱怨；发吱嘎声"
groove,"n.  凹槽，槽；最佳状态；惯例
vt. 开槽于
vi. 形成沟槽"
grope,"n. 摸索；触摸
vt. 摸索
vi. 摸索；探索"
guardian,"n.  监护人，保护人；守护者
adj. 守护的"
hamper,"n. 食盒，食篮；阻碍物
vt. 妨碍；束缚；使困累"
handicap,"n. 障碍；不利条件，不利的因素
vt. 妨碍，阻碍；使不利"
hasty,"adj. 轻率的；匆忙的；草率的；懈怠的
"
hatch,"n. 孵化；舱口
vt. 孵；策划
vi. 孵化"
haunt,"n. 栖息地；常去的地方
vt. 常出没于…；萦绕于…；经常去…
vi. 出没；作祟"
hawk,"n. 鹰；鹰派成员；掠夺他人的人
vi. 清嗓；咳嗽；像鹰一般地袭击
vt. 兜售，沿街叫卖；捕捉；咳出"
hazardous,adj. 有危险的；冒险的；碰运气的
heighten,"vt. 提高；增高；加强；使更显著
vi. 升高；变强"
hemisphere,n. 半球
heritage,n. 遗产；传统；继承物；继承权
hesitant,adj. 迟疑的；踌躇的；犹豫不定的
hierarchical,adj. 分层的；等级体系的
hierarchy,n. 层级；等级制度
hike,"n. 远足；徒步旅行；涨价
vt. 提高；拉起；使…高涨
vi. 远足；徒步旅行；上升"
hinge,"n. 铰链，折叶；关键，转折点；枢要，中枢
v. 用铰链连接；依…为转移；给…安装铰链；（门等）装有蝶铰"
hoist,"n. 起重机；升起，吊起
vt. （用绳索，起重机等）使升起
vi. 升起；吊起"
homogeneous,adj. 均匀的； 齐次的；同种的；同类的，同质的
honorary,"n. 名誉学位；获名誉学位者；名誉团体
adj. 荣誉的；名誉的；道义上的"
hop,"vt. 搭乘
v. 单足跳跃
vi. 双足或齐足跳行
n. 蹦跳,跳跃；跳舞；一次飞行的距离"
hospitality,n. 好客；殷勤
hound,"n. 猎犬；卑劣的人
vt. 追猎；烦扰；激励"
hover,"n. 徘徊；盘旋；犹豫
vi. 盘旋，翱翔；徘徊
vt. 孵；徘徊在…近旁"
humane,adj. 仁慈的，人道的；高尚的
humanism,"n. 人道主义
adj. 人文主义的；人道主义的"
humanist,"n. 人道主义者；人类学者，人文学者；人文主义者
adj. 人文主义的；人道主义的"
humanitarian,"n. 人道主义者；慈善家；博爱主义者；基督凡人论者
adj. 人道主义的；博爱的；基督凡人论的"
hurl,"n. 用力的投掷
vt. 丢下；用力投掷；愤慨地说出
vi. 猛投；猛掷"
ignite,"vt. 点燃；使燃烧；使激动
vi. 点火；燃烧"
illicit,adj. 违法的；不正当的
illuminate,"vt. 阐明，说明；照亮；使灿烂；用灯装饰
vi. 照亮"
imitation,"n. 模仿，仿造；仿制品
adj. 人造的，仿制的"
immerse,vt. 沉浸；使陷入
immunize,vt. 使免疫；赋予免疫性
impair,vt. 损害；削弱；减少
impart,vt. 给予（尤指抽象事物），传授；告知，透露
imperative,"n. 必要的事；命令；需要；规则；祈使语气
adj. 必要的，不可避免的；紧急的；命令的，专横的；势在必行的；祈使的"
imperialism,n. 帝国主义
imperialist,"n. 帝国主义者
adj. 帝国主义的"
impetus,n. 动力；促进；冲力
imprison,vt. 监禁；关押；使…下狱
impromptu,"n. 即兴曲；即席演出
adj. 即席的
adv. 即席地"
inaugurate,vt. 创新；开辟；开创；举行开幕典礼；举行就职典礼
inborn,adj. 天生的；先天的
incentive,"n. 动机；刺激
adj. 激励的；刺激的"
incidentally,adv. 顺便；偶然地；附带地
inclusive,adj. 包括的，包含的
incompatible,"n. 互不相容的人或事物
adj. 不相容的；矛盾的；不能同时成立的"
incorporate,"vt. 包含，吸收；体现；把……合并
adj. 合并的；一体化的；组成公司的
vi. 合并；混合；组成公司"
incur,vt. 招致，引发；蒙受
indefinite,adj. 不确定的；无限的；模糊的
indicative,"n. 陈述语气；陈述语气的动词形式
adj. 象征的；指示的；表示…的"
indignant,adj. 愤愤不平的；义愤的
indignation,n. 愤慨；愤怒；义愤
induction,n.  感应；归纳法；感应现象；入门培训，入职仪式，就职；诱导
inductive,adj.  归纳的； 感应的；诱导的
indulge,"vi. 沉溺；满足；放任
vt. 满足；纵容；使高兴；使沉迷于…"
infectious,adj. 传染的；传染性的；易传染的
infinity,n. 无穷；无限大；无限距
inflict,vt. 造成；使遭受（损伤、痛苦等）；给予（打击等）
infringe,"vt. 侵犯；违反；破坏
vi. 侵犯；侵害"
ingenious,adj. 有独创性的；机灵的，精制的；心灵手巧的
inhabit,"vt. 栖息；居住于；占据
vi. （古）居住；栖息"
inhibit,vt. 抑制；禁止
initiate,"n. 开始；新加入者，接受初步知识者
vt. 开始，创始；发起；使初步了解
adj. 新加入的；接受初步知识的"
inject,vt. 注入；注射
inlet,"n. 入口，进口；插入物；水湾
v. 引进; 嵌入; 插入;"
innovation,n. 创新，革新；新方法
innumerable,adj. 无数的，数不清的
instalment,n. 分期付款；装设；就职
installment,n. 安装；分期付款；部分；就职
instantaneous,adj. 瞬间的；即时的；猝发的
institutional,"adj. 制度的；制度上的
学会的；由来已久的； 习以为常的
公共机构的； 慈善机构的"
instrumental,"n. 器乐曲；工具字，工具格
adj. 乐器的；有帮助的；仪器的，器械的"
insulate,vt. 隔离，使孤立；使绝缘，使隔热
insurgency,n. 叛乱；暴动；叛乱状态
integral,"n. 积分；部分；完整
adj. 积分的；完整的，整体的；构成整体所必须的"
intellect,n. 智力，理解力；知识分子；思维逻辑领悟力；智力高的人
intelligible,adj. 可理解的；明了的；仅能用智力了解的
intent,"n. 意图；目的；含义
adj. 专心的；急切的；坚决的"
interactive,adj. 交互式的；相互作用的
interim,"n. 过渡时期，中间时期；暂定
adj. 临时的，暂时的；中间的；间歇的"
intermediate,"n.  中间物；媒介
adj. 中间的，中级的
vi. 起媒介作用"
intermittent,adj. 间歇的；断断续续的；间歇性
intervene,vi. 干涉；调停；插入
intolerance,n. （尤指对别人的意见）不宽容；偏狭
intolerant,adj. 无法忍受的；偏狭的
intricate,adj. 复杂的；错综的，缠结的
intrigue,"n. 阴谋；诡计；复杂的事；私通
vt. 用诡计取得；激起...的兴趣
vi. 私通；密谋"
intrinsic,adj. 本质的，固有的
intuition,n. 直觉；直觉力；直觉的知识
invalid,"n. 病人；残疾者
adj. 无效的；有病的；残疾的
vt. 使伤残；使退役
vi. 变得病弱；因病而奉命退役"
invaluable,adj. 无价的；非常贵重的
invariably,adv. 总是；不变地；一定地
invert,"n. 颠倒的事物；倒置物；倒悬者
adj. 转化的
vt. 使…转化；使…颠倒；使…反转；使…前后倒置"
investigator,n. 研究者；调查者；侦查员
investor,n. 投资者
irrespective,adj. 无关的；不考虑的；不顾的
irritate,"vt. 刺激，使兴奋；激怒
vi. 引起恼怒，引起不愉快"
isolation,n. 隔离；孤立； 绝缘； 离析
jealousy,n. 嫉妒；猜忌；戒备
jeopardize,vt. 危害；使陷危地；使受危困
jerk,"n. 肌肉抽搐；性情古怪的人；蠢人；急拉
vi. 痉挛；急拉；颠簸地行进
vt. 猛拉"
jog,"vt. 慢跑；轻推；蹒跚行进；使颠簸
vi. 慢跑；轻推；蹒跚行进；颠簸着移动
n. 慢跑；轻推，轻撞"
judicial,adj. 公正的，明断的；法庭的；审判上的
junction,n. 连接，接合；交叉点；接合点
kidnap,vt. 绑架；诱拐；拐骗
lace,"n. 花边；鞋带；饰带；少量烈酒
vt. 饰以花边；结带子
vi. 系带子"
lame,"adj. 跛足的；僵痛的；不完全的；无说服力的；差劲的，蹩脚的
vi. 变跛
vt. 使跛；使成残废"
lash,"vt. 鞭打；冲击；摆动；扎捆；煽动；讽刺
vi. 鞭打；猛击；急速甩动
n. 鞭打；睫毛；鞭子；责骂；讽刺"
lawsuit,n. 诉讼（尤指非刑事案件）；诉讼案件
layoff,n. 活动停止期间；临时解雇；操作停止；失业期
leaflet,n. 小叶；传单
legalization,n.  合法化；法律认可
legend,n. 传奇；说明；图例；刻印文字
legislative,"adj. 立法的；有立法权的
n. 立法权；立法机构"
legislator,n. 立法者
legitimate,"adj. 合法的；正当的；合理的；正统的
vt. 使合法；认为正当（等于legitimize）"
lever,"n. 杠杆；控制杆
vt. 用杠杆撬动；把…作为杠杆
vi. 用杠杆撬"
levy,"n. 征收；征兵，征税
vt. 征收（税等）；征集（兵等）
vi. 征税；征兵"
liability,n. 责任；债务；倾向；可能性；不利因素
likelihood,n. 可能性，可能
linger,"vi. 徘徊；苟延残喘；磨蹭
vt. 消磨；缓慢度过"
literal,adj. 文字的；逐字的；无夸张的
locality,n. 所在；位置；地点
locomotive,"adj. 火车头的；运动的；移动的
n. 机车；火车头"
lofty,adj. 高的；崇高的；高级的；高傲的
lounge,"n. 休息室；闲逛；躺椅；（英）酒吧间
vi. 闲逛；懒洋洋地躺卧；闲混
vt. 虚度光阴"
lubricate,"vi. 润滑；涂油；起润滑剂作用
vt. 使…润滑；给…加润滑油"
luminous,adj. 发光的；明亮的；清楚的
lunar,adj. 月亮的，月球的；阴历的；银的；微亮的
lure,"n. 诱惑；饵；诱惑物
vt. 诱惑；引诱"
magistrate,n. 地方法官；文职官员；治安推事
magnify,"vt. 放大；赞美；夸大
vi. 放大；有放大能力"
magnitude,n. 大小；量级； 震级；重要；光度
majesty,n. 威严；最高权威，王权；雄伟；权威
make-up,n. 化妆品；（美）补考；性格；构造；排版
malicious,adj. 恶意的；恶毒的；蓄意的；怀恨的
manoeuvre,"vi. 调动；演习；用策略
vt. 诱使；操纵；耍花招
n. 策略（等于maneuvre）"
manifest,"vt. 证明，表明；显示
vi. 显示，出现
n. 载货单，货单；旅客名单
adj. 显然的，明显的；明白的"
manuscript,"n.  手稿；原稿
adj. 手写的"
massacre,"vt. 残杀；彻底击败
n. 大屠杀；惨败"
mastermind,"vt. 策划
n. 优秀策划者；才子"
maturity,n. 成熟；到期；完备
mediate,"vi. 调解；斡旋；居中
vt. 调停；传达
adj. 间接的；居间的"
medieval,adj. 中世纪的；原始的；仿中世纪的；老式的
melody,n. 旋律；歌曲；美妙的音乐
memorize,vt. 记住，背熟；记忆
menace,"n. 威胁；恐吓
vi. 恐吓；进行威胁
vt. 威胁；恐吓"
merge,"vt. 合并；使合并；吞没
vi. 合并；融合"
merger,n. （企业等的）合并；并购；吸收（如刑法中重罪吸收轻罪）
midst,"n. 当中，中间
prep. 在…中间（等于amidst）"
migrant,"n. 候鸟；移居者；随季节迁移的民工
adj. 移居的；流浪的"
militant,"adj. 好战的
n. 富有战斗性的人；好斗者；激进分子"
mingle,"vi. 混合；交往
vt. 使混合；使相混"
miniature,"adj. 微型的，小规模的
n. 缩图；微型画；微型图画绘画术
vt. 是…的缩影"
minimal,adj. 最低的；最小限度的
minimize,"vt. 使减到最少；小看，极度轻视
vi. 最小化"
misfortune,n. 不幸；灾祸，灾难
mobilize,"vt. 动员，调动；集合，组织；使…流通；使…松动
vi. 组织；动员起来"
mobilise,"vt. 动员；调动；使流通
vi. 动员起来（等于mobilize）"
mock,"n. 英国模拟考试（mocks）
vt. 愚弄，嘲弄
adj. 仿制的，模拟的，虚假的，不诚实的
vt. 不尊重，蔑视"
momentary,adj. 瞬间的；短暂的；随时会发生的
momentum,n. 势头； 动量；动力；冲力
monetary,adj. 货币的；财政的
monopoly,n. 垄断；垄断者；专卖权
mortal,"adj. 凡人的；致死的；终有一死的；不共戴天的
n. 人类，凡人"
mortgage,"vt. 抵押
n. 抵押
房屋抵押贷款"
motel,n. 汽车旅馆
mourn,v. 哀悼；忧伤；服丧
muddy,"adj. 泥泞的；模糊的；混乱的
vt. 使污浊；使沾上泥；把…弄糊涂
vi. 变得泥泞；沾满烂泥"
multitude,n. 群众；多数
murmur,"n. 低语；低语声；低声抱怨；潺潺声
vi. 低声说；私下抱怨；发出轻柔持续的声音
vt. 低声说"
mute,"adj. 哑的；沉默的；无声的
vt. 减弱……的声音；使……柔和
n. 哑巴；弱音器；闭锁音"
mutter,"vi. 咕哝；喃喃自语
vt. 咕哝；抱怨地说；低声含糊地说
n. 咕哝；喃喃低语"
naive,"adj. 天真的,幼稚的"
necessitate,vt. 使成为必需，需要；迫使
neglectful,adj. 疏忽的；忽略的；不小心的
negligible,adj. 微不足道的，可以忽略的
negotiable,adj. 可通过谈判解决的；可协商的
neutralize,"vt. 抵销；使…中和；使…无效；使…中立
vi. 中和；中立化；变无效"
nominal,"adj. 名义上的；有名无实的； 票面上的
n.  名词性词"
nominate,vt. 推荐；提名；任命；指定
nominee,n. 被任命者；被提名的人；代名人
normalize,vt. 使正常化；使规格化，使标准化
normalise,vt. （使）正常化; （使）恢复友好状态
notable,"adj. 值得注意的，显著的；著名的
n. 名人，显要人物"
notation,n. 符号；乐谱；注释；记号法
noteworthy,adj. 值得注意的；显著的
notorious,adj. 声名狼藉的，臭名昭著的
novelty,n. 新奇；新奇的事物；新颖小巧而廉价的物品
nuisance,n. 讨厌的人；损害；麻烦事；讨厌的东西
nurture,"vt. 养育；鼓励；培植
n. 养育；教养；营养物"
nutrition,n. 营养，营养学；营养品
obedience,n. 顺从；服从；遵守
obedient,adj. 顺从的，服从的；孝顺的
obscure,"adj. 昏暗的，朦胧的；晦涩的，不清楚的；隐蔽的；不著名的，无名的
vt. 使…模糊不清，掩盖；隐藏；使难理解
n. 某种模糊的或不清楚的东西"
offset,"n. 抵消，补偿；平版印刷；支管
vt. 抵消；弥补；用平版印刷术印刷
vi. 装支管"
offspring,n. 后代，子孙；产物
omission,n. 疏忽，遗漏；省略；冗长
onset,n. 开始，着手；发作；攻击，进攻
oppress,vt. 压迫，压抑；使……烦恼；使……感到沉重
optic,"adj. 光学的；视觉的；眼睛的
n. 眼睛；镜片"
optimism,n. 乐观；乐观主义
orient,"vt. 使适应；确定方向；使朝东
n. 东方；东方诸国
adj. 东方的
vi. 向东"
oriental,"adj. 东方的；东方人的
n. 东方人"
orientation,n. 方向；定向；适应；情况介绍；向东方
originate,"vt. 引起；创作
vi. 发源；发生；起航"
oust,vt. 驱逐；剥夺；取代
outdate,vt. 使过时；使废弃；使陈旧
outrage,"n. 愤怒，愤慨；暴行；侮辱
vt. 凌辱，强奸；对…施暴行；激起愤怒"
outreach,"vt. 超越，伸出；超出…的范围
vi. 拓广，延伸
n. 延伸，拓广；扩大服务范围
adj. 扩大服务的"
