highlight,"n. 最精彩的部分；最重要的事情；加亮区
vt. 突出；强调；使显著；加亮"
graceful,adj. 优雅的；优美的
ensure,vt. 保证，确保；使安全
critical,adj. 鉴定的； 临界的；批评的，爱挑剔的；危险的；决定性的；评论的
mysterious,adj. 神秘的；不可思议的；难解的
incline,"n. 倾斜；斜面；斜坡
vt. 使倾斜；使倾向于
vi. 倾斜；倾向；易于"
visual,adj. 视觉的，视力的；栩栩如生的
departure,n. 离开；出发；违背
rational,"n. 有理数
adj. 合理的；理性的"
admit,"vi. 承认；容许
vt. 承认；准许进入；可容纳"
mixture,n. 混合；混合物；混合剂
brief,"n. 摘要，简报；概要，诉书
adj. 简短的，简洁的；短暂的，草率的
vt. 简报，摘要；作…的提要"
snap,"n. 猛咬；劈啪声；突然折断
adj. 突然的
vt. 突然折断，拉断；猛咬；啪地关上
vi. 咬；厉声说；咯嗒一声关上"
purse,"n. (女士)手提袋；(国家、家庭、团体等的) 财力
vt. （嘴巴）皱起，使缩拢；撅嘴"
effect,"n. 影响；效果；作用
vt. 产生；达到目的"
stream,"n. 溪流；流动；潮流；光线
vt. 流出；涌出；使飘动
vi. 流；涌进；飘扬"
shoot,"n. 射击；摄影；狩猎；急流
vt. 射击，射中；拍摄；发芽；使爆炸；给…注射
vi. 射击；发芽；拍电影"
assumption,n. 假定；设想；担任；采取
viewpoint,n. 观点，看法；视角
activity,n. 活动；行动；活跃
govern,"vt. 管理；支配；统治；控制
vi. 居支配地位；进行统治"
transaction,n. 交易；事务；办理；会报，学报
convict,"n. 罪犯
vt. 证明…有罪；宣告…有罪"
pregnant,adj. 怀孕的；富有意义的
recycle,"n. 再生；再循环；重复利用
vt. 使再循环；使…重新利用
vi. 重复利用"
resource,n. 资源，财力；办法；智谋
gaze,"n. 凝视；注视
vi. 凝视；注视"
primary,"n. 原色；最主要者
adj. 主要的；初级的；基本的"
narrative,"n. 叙述；故事；讲述
adj. 叙事的，叙述的；叙事体的"
advice,n. 建议；忠告；劝告；通知
forth,adv. 向前，向外；自…以后
cruise,"n. 巡航，巡游；乘船游览
vt. 巡航，巡游；漫游
vi. 巡航，巡游；漫游"
federal,"adv. 联邦政府地
adj. 联邦的；同盟的；联邦政府的； 联邦制的"
splash,"n. 飞溅的水；污点；卖弄
vt. 溅，泼；用...使液体飞溅
vi. 溅湿；溅开"
charity,n. 慈善；施舍；慈善团体；宽容；施舍物
aid,"n. 援助；帮助；助手；帮助者
vt. 援助；帮助；有助于
vi. 帮助"
apologize,"vi. 道歉；辩解；赔不是
vt. 道歉；谢罪；辩白"
reproduce,"vt. 复制；再生；生殖；使…在脑海中重现
vi. 复制；繁殖"
creep,"n. 爬行；毛骨悚然的感觉；谄媚者
vi. 爬行；蔓延；慢慢地移动；起鸡皮疙瘩"
neglect,"vt. 疏忽，忽视；忽略
n. 疏忽，忽视；怠慢"
treaty,n. 条约，协议；谈判
possession,n. 拥有；财产；领地；自制；着迷
auxiliary,"n. 助动词；辅助者，辅助物；附属机构
adj. 辅助的；副的；附加的"
coward,"n. 懦夫，懦弱的人
adj. 胆小的，懦怯的"
involved,"v. 涉及；使参与；包含（involve的过去式和过去分词）
adj. 有关的；卷入的；复杂的"
diameter,n. 直径
authentic,adj. 真正的，真实的；可信的
vacuum,"n. 真空；空间；真空吸尘器
adj. 真空的；利用真空的；产生真空的
vt. 用真空吸尘器清扫"
applicable,adj. 可适用的；可应用的；合适的
disarm,"vt. 解除武装；裁军；缓和
vi. 放下武器；裁减军备"
explode,"vi. 爆炸，爆发；激增
vt. 使爆炸；爆炸；推翻"
appliance,n. 器具；器械；装置
immune,"n. 免疫者；免除者
adj. 免疫的；免于……的，免除的"
ultimate,"n. 终极；根本；基本原则
adj. 最终的；极限的；根本的"
hedge,"v. 用树篱笆围住；避免作正面答复
n. 对冲，套期保值；树篱；障碍"
veteran,"n. 老兵；老手；富有经验的人；老运动员
adj. 经验丰富的；老兵的"
erode,"vt. 腐蚀，侵蚀
vi. 侵蚀；受腐蚀"
provision,"n. 规定；条款；准备； 供应品
vt. 供给…食物及必需品"
scrape,"n. 刮掉；擦痕；困境；刮擦声
vt. 刮；擦伤；挖成
vi. 刮掉；刮出刺耳声"
imperial,"n. 纸张尺寸；特等品
adj. 帝国的；皇帝的；至高无上的；威严的"
procedure,n. 程序，手续；步骤
trifle,"n. 琐事；蛋糕；少量
vt. 浪费；虚度
vi. 开玩笑；闲混；嘲弄"
crane,"n. 吊车，起重机；鹤
vt. 用起重机起吊；伸长脖子
vi. 伸着脖子看；迟疑，踌躇"
strap,"n. 带；皮带；磨刀皮带；鞭打
vt. 用带捆绑；用皮条抽打；约束
vi. 精力旺盛地工作；受束缚"
confirmation,n. 确认；证实；证明；批准
wary,adj. 谨慎的；机警的；惟恐的；考虑周到的
kin,"n. 亲戚；家族；同族
adj. 同类的；有亲属关系的；性质类似的"
freshman,n. 新手，生手；大学一年级学生
auditorium,n. 礼堂，会堂；观众席
cyberspace,n. 网络空间；赛博空间
colon,n.  结肠；冒号（用于引语、说明、例证等之前）；科郎（哥斯达黎加货币单位）
cosmos,n. 宇宙；和谐；秩序；大波斯菊
upload,vt. 上传
vendor,n. 卖主；小贩；供应商； 自动售货机
app,找不到解释
disable,vt. 使失去能力；使残废；使无资格
overthrow,"n. 推翻；倾覆；瓦解
vt. 推翻；打倒；倾覆"
lame,"adj. 跛足的；僵痛的；不完全的；无说服力的；差劲的，蹩脚的
vi. 变跛
vt. 使跛；使成残废"
Catholic,找不到解释
staircase,n. 楼梯
optimism,n. 乐观；乐观主义
vulnerable,adj. 易受攻击的，易受…的攻击；易受伤害的；有弱点的
deteriorate,"vi. 恶化，变坏
vt. 恶化"
clear-cut,adj. 清晰的；轮廓鲜明的
chorus,"n. 合唱队；齐声；歌舞队
vt. 合唱；异口同声地说
vi. 合唱；异口同声地说话"
counsel,"n. 法律顾问；忠告；商议；讨论；决策
vt. 建议；劝告
vi. 商讨；提出忠告"
barrier,"n. 障碍物，屏障；界线
vt. 把…关入栅栏"
impose,"vt. 强加；征税；以…欺骗
vi. 利用；欺骗；施加影响"
concrete,"n. 具体物；凝结物
adj. 混凝土的；实在的，具体的；有形的
vt. 使凝固；用混凝土修筑
vi. 凝结"
solemn,adj. 庄严的，严肃的；隆重的，郑重的
critic,n. 批评家，评论家；爱挑剔的人
registration,n. 登记；注册；挂号
simplify,vt. 简化；使单纯；使简易
password,n. 密码；口令
lobby,"n. 大厅；休息室；会客室；游说议员的团体
vt. 对……进行游说
vi. 游说议员"
skate,"n. 溜冰；冰鞋
vi. 滑冰；滑过"
destination,n. 目的地，终点
cable,"n. 缆绳；电缆；海底电报
vt. 打电报
vi. 打海底电报"
economic,adj. 经济的，经济上的；经济学的
assignment,n. 分配；任务；作业；功课
inform,"vi. 告发；告密
vt. 通知；告诉；报告"
achieve,"vt. 取得；获得；实现；成功
vi. 达到预期的目的，实现预期的结果，如愿以偿"
unity,n. 团结；一致；联合；个体
chill,"n. 寒冷；寒意；寒心
vt. 冷冻，冷藏；使寒心；使感到冷
adj. 寒冷的；冷漠的；扫兴的
vi. 冷藏；变冷"
lag,"n. 落后；迟延；防护套；囚犯；桶板
vt. 落后于；押往监狱；加上外套
vi. 滞后；缓缓而行；蹒跚
adj. 最后的"
miserable,adj. 悲惨的；痛苦的；卑鄙的
lest,conj. 唯恐，以免；担心
sufficient,adj. 足够的；充分的
concern,"n. 关系；关心；关心的事；忧虑
vt. 涉及，关系到；使担心"
agenda,n. 议程；日常工作事项；日程表
gear,"n. 齿轮；装置，工具；传动装置
adj. 好极了
vt. 开动；搭上齿轮；使……适合；使……准备好
vi. 适合；搭上齿轮；开始工作"
outlet,n. 出口，排放孔； 电源插座；销路；发泄的方法；批发商店
magnificent,adj. 高尚的；壮丽的；华丽的；宏伟的
crisis,"n. 危机；危险期；决定性时刻
adj. 危机的；用于处理危机的"
fundamental,"n. 基本原理；基本原则
adj. 基本的，根本的"
spot,"n. 地点；斑点
adj. 现场的；现货买卖的
vt. 认出；弄脏；用灯光照射
vi. 沾上污渍；满是斑点
adv. 准确地；恰好"
dilemma,n. 困境；进退两难；两刀论法
protein,"n. 蛋白质；朊
adj. 蛋白质的"
infant,"n. 婴儿；幼儿；未成年人
adj. 婴儿的；幼稚的；初期的；未成年的"
decent,adj. 正派的；得体的；相当好的
convey,vt. 传达；运输；让与
devise,"n. 遗赠
vt. 设计；想出；发明；图谋；遗赠给"
sensible,"n. 可感觉到的东西; 敏感的人;
adj. 明智的; 通情达理的; 合乎情理的; 意识到的，能感觉到的;"
contact,"n. 接触，联系
vt. 使接触，联系
vi. 使接触，联系"
species,"n.  物种；种类
adj. 物种上的"
component,"n. 成分；组件； 元件
adj. 组成的，构成的"
enthusiasm,n. 热心，热忱，热情
enlighten,vt. 启发，启蒙；教导，开导；照耀
generate,vt. 使形成；发生；生殖；产生物理反应
thorough,adj. 彻底的；十分的；周密的
permission,n. 允许，许可
qualify,"vi. 取得资格，有资格
vt. 限制；使具有资格；证明…合格"
element,n. 元素；要素；原理；成分；自然环境
angle,"n. 角度，角，方面
vi. 钓鱼；谋取"
apology,n. 道歉；谢罪；辩护；勉强的替代物
column,n. 纵队，列；专栏；圆柱，柱形物
organic,adj.  有机的；组织的；器官的；根本的
steam,"n. 蒸汽；精力
adj. 蒸汽的
vt. 蒸，散发；用蒸汽处理
vi. 蒸，冒水汽"
functional,adj. 功能的
overlook,"vt. 忽略；俯瞰；远眺；检查；高耸于…之上
n. 忽视；眺望"
contribution,n. 贡献；捐献；投稿
paste,"n. 面团，膏；糊状物， 浆糊
vt. 张贴，裱糊；用浆糊粘"
district,n. 区域；地方；行政区
click,"n. 单击；滴答声
vi. 作咔哒声
vt. 点击；使发咔哒声"
ego,n. 自我；自负；自我意识
investigate,v. 调查；研究
consist,vi. 由…组成；在于；符合
stir,"n. 搅拌；轰动
vi. 搅动；传播；走动
vt. 搅拌；激起；惹起"
rob,"vt. 抢劫；使…丧失；非法剥夺
vi. 抢劫；掠夺"
manipulate,vt. 操纵；操作；巧妙地处理；篡改
pardon,"n. 原谅；赦免；宽恕
vt. 原谅；赦免；宽恕"
creative,adj. 创造性的
jealous,adj. 妒忌的；猜疑的；唯恐失去的；戒备的
trace,"n. 痕迹，踪迹；微量； 迹线；缰绳
vt. 追踪，查探；描绘；回溯
vi. 追溯；沿路走"
toll,"vt. 征收；敲钟
n. 通行费；代价；钟声；伤亡人数
vi. 鸣钟；征税"
identify,vt. 确定；鉴定；识别，辨认出；使参与；把…看成一样 vi. 确定；认同；一致
thrive,vi. 繁荣，兴旺；茁壮成长
fierce,adj. 凶猛的；猛烈的；暴躁的
reunite,"vi. 重聚；再结合；再联合
vt. 使重聚；使再结合；使再联合"
consistent,adj. 始终如一的，一致的；坚持的
controversy,n. 争论；论战；辩论
primitive,"n. 原始人
adj. 原始的，远古的；简单的，粗糙的"
molecule,n.  分子；微小颗粒，微粒
drown,"vt. 淹没；把…淹死
vi. 淹死；溺死"
diagnose,"vt. 诊断；断定
vi. 诊断；判断"
amusing,"adj. 有趣的，好玩的；引人发笑的
v. 逗乐；打发；使…高兴（amuse的ing形式）"
disapprove,"vi. 不赞成；不喜欢
vt. 不赞成；不同意"
vibrate,"vt. 使振动；使颤动
vi. 振动；颤动；摇摆；踌躇"
automobile,"n. 汽车
vt. 驾驶汽车
"
applaud,"vt. 赞同；称赞；向…喝彩
vi. 喝彩；鼓掌欢迎"
tide,"n. 趋势，潮流；潮汐
vt. 随潮漂流"
interior,"n. 内部；本质
adj. 内部的；国内的；本质的"
rhythm,n. 节奏；韵律
cane,"n. 手杖；藤条；细长的茎
vt. 以杖击；以藤编制"
owing,"adj. 未付的；欠着的
v. 欠；把…归功于（owe的ing形式）"
luncheon,n. 午宴；正式的午餐会
trick,"n. 诡计；恶作剧；窍门；花招；骗局；欺诈
adj. 特技的；欺诈的；有决窍的
vt. 欺骗；哄骗；装饰；打扮
vi. 哄骗；戏弄"
reconcile,vt. 使一致；使和解；调停，调解；使顺从
contestant,n. 竞争者；争辩者
opponent,"n. 对手；反对者；敌手
adj. 对立的；敌对的"
pinch,"n. 匮乏；少量；夹痛
vt. 捏；勒索；使苦恼；掐掉某物，修剪
vi. 夹痛；节省"
realm,n. 领域，范围；王国
frown,"n. 皱眉，蹙额
vt. 皱眉，蹙额
vi. 皱眉；不同意"
revolt,"n. 反抗；叛乱；反感
vt. 使反感；使恶心
vi. 反抗；反叛；反感，厌恶"
grocer,n. 杂货店；食品商
crocodile,n. 鳄鱼
smog,n. 烟雾
astronaut,n. 宇航员，航天员；太空旅行者
knowhow,n. 诀窍，技巧；情报；实际的能力；专门技术
halfway,"adj. 中途的；不彻底的
adv. 到一半；在中途"
shrimp,"n. 虾；小虾；矮小的人
adj. 有虾的；虾制的
vi. 捕虾"
marathon,"n. 马拉松赛跑；耐力的考验
adj. 马拉松式的；有耐力的
vi. 参加马拉松赛跑"
fireworks,"n. 烟火, 激烈争论
 焰火"
marvel,"n. 奇迹
vt. 对…感到惊异
vi. 感到惊讶"
fingerprint,"n. 指纹；手印
vt. 采指纹"
relay,"n.  继电器；接替，接替人员；驿马
vt. 转播；使接替；分程传递
vi. 转播；接替"
snack,"n. 小吃，快餐；一份，部分
vi. 吃快餐，吃点心"
incentive,"n. 动机；刺激
adj. 激励的；刺激的"
disrupt,"vt. 破坏；使瓦解；使分裂；使中断；使陷于混乱
adj. 分裂的，中断的；分散的"
oversee,vt. 监督；审查；俯瞰；偷看到，无意中看到
sparkle,"n. 闪耀；火花；活力
vt. 使闪耀；使发光
vi. 闪耀；发泡；活跃"
inhabit,"vt. 栖息；居住于；占据
vi. （古）居住；栖息"
bracket,"n. 支架；括号；墙上凸出的托架
vt. 括在一起；把…归入同一类；排除"
dual,"n. 双数；双数词
adj. 双的；双重的"
irony,"n. 讽刺；反语；具有讽刺意味的事
adj. 铁的；似铁的"
stress,"n. 压力；强调；紧张；重要性；重读
vt. 强调；使紧张；加压力于；用重音读"
personality,n. 个性；品格；名人
plastic,"n. 塑料制品；整形；可塑体
adj. 塑料的；（外科）造型的；可塑的"
notify,vt. 通告，通知；公布
convert,"n. 皈依者；改变宗教信仰者
vt. 使转变；转换…；使…改变信仰
vi. 转变，变换；皈依；改变信仰"
disaster,n. 灾难，灾祸；不幸
conscience,n. 道德心，良心
suck,"n. 吮吸
vt. 吸吮；吸取
vi. 吸吮；糟糕；巴结"
remove,"n. 移动；距离；搬家
vt. 移动，迁移；开除；调动
vi. 移动，迁移；搬家"
entertainment,n. 娱乐；消遣；款待
workforce,n. 劳动力；工人总数，职工总数
announce,"vt. 宣布；述说；预示；播报
vi. 宣布参加竞选；当播音员"
offense,n. 犯罪，过错；进攻；触怒；引起反感的事物
collective,"n. 集团；集合体；集合名词
adj. 集体的；共同的；集合的；集体主义的"
progress,"n. 进步，发展；前进
vi. 前进，进步；进行"
crime,"n. 罪行，犯罪；罪恶；犯罪活动
vt. 控告……违反纪律"
exposure,n. 暴露；曝光；揭露；陈列
definite,adj. 一定的；确切的
reflect,"vt. 反映；反射，照出；表达；显示;反省
vi. 反射，映现；深思"
wage,"n. 工资；代价；报偿
vt. 进行；开展
vi. 进行；发动；从事"
beyond,"prep. 超过；越过；那一边；在...较远的一边
n. 远处
adv. 在远处；在更远处"
orderly,"adj. 有秩序的；整齐的；值班的
n. 勤务兵；传令兵；护理员
adv. 顺序地；依次地"
queue,"n. 队列；长队；辫子
vt. 将…梳成辫子；使…排队
vi. 排队；排队等候"
permanent,"n. 烫发（等于permanent wave）
adj. 永久的，永恒的；不变的"
similarly,adv. 同样地；类似于
perspective,"n. 观点；远景；透视图
adj. 透视的"
arrange,"vi. 安排；排列；协商
vt. 安排；排列；整理"
argue,"vi. 争论，辩论；提出理由
vt. 辩论，争论；证明；说服"
incredible,adj. 难以置信的，惊人的
negative,"adj.  负的；消极的；否定的；阴性的
n. 否定；负数； 底片
vt. 否定；拒绝"
insect,n. 昆虫；卑鄙的人
