a collection of,"un. 收藏的
 集…为一体的；一批；的收藏"
slaughter,"n. 屠宰，屠杀；杀戮；消灭
vt. 屠宰，屠杀；杀戮；使惨败"
slope,"n. 斜坡；倾斜；斜率；扛枪姿势
vt. 倾斜；使倾斜；扛
vi. 倾斜；逃走"
smoky,adj. 冒烟的；烟熏味的；熏着的；呛人的；烟状的
snail,"n. 蜗牛；迟钝的人
vt. 缓慢移动
vi. 缓慢移动"
snake,"n. 蛇；阴险的人
vt. 拉（木材等）；迂回前进
vi. 迂回前进"
snob,n. 势利小人，势利眼；假内行
snobbish,adj. 势利的
soap,"n. 肥皂
vt. 将肥皂涂在……上；对……拍马屁（俚语）
vi. 用肥皂擦洗"
sob,"n. 啜泣，呜咽
vt. 哭诉，啜泣
vi. 啜泣，呜咽；（风等）发出呜咽声"
sober,"adj. 冷静的，清醒的；未醉的
vt. 使严肃；使醒酒，使清醒"
soccer,n. 英式足球，足球
soda,n. 苏打；碳酸水
sodium,n.  钠（11号元素，符号 Na）
soil,"n. 土地；土壤；国家；粪便；务农；温床
vt. 弄脏；污辱
vi. 变脏"
souvenir,"n. 纪念品；礼物
vt. 把…留作纪念"
spade,"n. 铁锹，铲子
vt. 铲；把……弄实抹平
vi. 铲"
spaghetti,n. 意大利式细面条
spear,"n. 矛，枪
vt. 用矛刺"
spider,n. 蜘蛛；设圈套者；三脚架
spoon,"n. 匙，勺子；一杓的量
vt. 用匙舀；使成匙状
vi. 轻轻向上击"
spoonful,n. 一匙；一匙的量
sprawl,"n. 蔓生；伸开手足躺卧姿势
vt. 懒散地伸开；使蔓生
vi. 蔓延；伸开手足躺；无计划地扩展"
squad,"n. 班；小队；五人组（篮球队的非正式说法）
vt. 把…编成班；把…编入班"
stair,n. 楼梯，阶梯；梯级
steak,n. 牛排；肉排；鱼排
steward,"n. 管家；乘务员；膳务员；工会管事
vi. 当服务员；当管事
vt. 管理"
stewardess,n. 女管家；女干事；女服务员
stocking,n. 长袜
stomach,"n. 胃；腹部；胃口
vt. 忍受；吃下
vi. 忍受"
stoop,"n. 弯腰，屈背；屈服
vt. 辱没，堕落；俯曲
vi. 弯腰；屈服；堕落"
sulfur,"n. 硫磺；硫磺色
vt. 用硫磺处理"
tack,"n. 大头钉；粗缝；行动方针；食物
vt. 附加；以大头针钉住
vi. 抢风航行；作文字形移动"
tanker,n. 油轮；运油飞机；油槽车；坦克手
tedious,adj. 沉闷的；冗长乏味的
tennis,n. 网球（运动）
tertiary,"n. 第三纪；第三修道会会员；第三级教士
adj. 第三的；第三位的；三代的"
thermometer,n. 温度计；体温计
thief,n. 小偷，贼
thigh,n. 大腿，股
thunder,"n. 雷；轰隆声；恐吓
vt. 轰隆地发出；大声喊出
vi. 打雷；怒喝"
thunderous,adj. 像打雷的，隆轰隆响的；多雷的，强有力的
tick,"n. 滴答声；扁虱；记号；赊欠
vt. 标记号于；滴答地记录
vi. 发出滴答声；标以记号"
tickle,"n. 胳肢；痒感；使人发痒、高兴的东西
vt. 使发痒；使高兴；使满足
vi. 觉得痒；（东西）使人发痒"
tile,"n. 瓷砖，瓦片
vt. 铺以瓦；铺以瓷砖"
timber,n. 木材；木料
tobacco,n. 烟草，烟叶；烟草制品；抽烟
toe,"n. 脚趾；足尖
vt. 用脚尖走；以趾踏触
vi. 动脚尖；用足尖跳舞"
token,"n. 表征；代币；记号
adj. 象征的；表意的；作为对某事的保证的
vt. 象征；代表"
torch,"n. 火把，火炬；手电筒；启发之物
vt. 用火炬点燃
vi. 像火炬一样燃烧"
tornado,n.  龙卷风；旋风；暴风；大雷雨
tract,n. 束；大片土地，地带；小册子
tractor,n. 拖拉机；牵引机
transistor,n. 晶体管（收音机）
trauma,n.  创伤（由心理创伤造成精神上的异常）；外伤
traumatic,"adj. （生理）外伤的
adj. （心理）创伤的"
troop,"vt. 把（骑兵）编成骑兵连
vi. 群集；成群而行；结队
n. 军队；组；群；多数"
turkey,n. 土耳其（横跨欧亚两洲的国家）
turtle,n. 龟，甲鱼；海龟
ugliness,n. 丑陋，丑陋之物
ugly,adj. 丑陋的；邪恶的；令人厌恶的
unanimous,adj. 全体一致的；意见一致的；无异议的
underwear,n. 内衣物
upstairs,"n. 楼上
adj. 楼上的
adv. 在楼上，向楼上；上楼；往楼上"
uranium,n.  铀
valve,"n. 阀； 瓣膜；真空管；活门
vt. 装阀于；以活门调节"
velvet,"adj. 天鹅绒的
n. 天鹅绒，丝绒；天鹅绒似的东西"
vendor,n. 卖主；小贩；供应商； 自动售货机
vent,"n. （感情的）发泄；出口；通风孔
vt. 发泄感情；放出…；给…开孔
vi. 放出；（通过排泄等）减轻压力"
verb,"n. 动词；动词词性；动词性短语或从句
adj. 动词的；有动词性质的；起动词作用的"
vinegar,n. 醋
volt,n. 伏特（电压单位）；环骑；闪避
voltage,n.  电压
wagon,"n. 货车，四轮马车
vt. 用运货马车运输货物"
warmth,n. 温暖；热情；激动
watt,n. 瓦特
wedge,"n. 楔子；楔形物；导致分裂的东西
vt. 楔入；挤进；楔住
vi. 楔入；挤进"
wet,"n. 雨天；湿气
adj.  潮湿的；有雨的
vt. 弄湿
vi. 变湿"
whale,"n. 鲸；巨大的东西
vt. 猛揍；使惨败
vi. 捕鲸"
wharf,"n. 码头；停泊处
vt. 使靠码头；为…建码头；把货卸在码头上
vi. 靠码头"
whisky,"n. 威士忌酒
adj. 威士忌酒的"
wholly,adv. 完全地；全部；统统
wicked,adj. 邪恶的；恶劣的；不道德的；顽皮的
widen,"vt. 放宽
vi. 变宽"
width,n. 宽度；广度
wolf,"n. 狼；色狼；残忍贪婪之人
vt. 大吃；狼吞虎咽地吃"
worm,"n. 虫，蠕虫；蜗杆；螺纹；小人物
vt. 使蠕动；给除虫；使缓慢前进
vi. 慢慢前进；蠕行"
wretched,adj. 可怜的；卑鄙的；令人苦恼或难受的
yacht,"n. 游艇，快艇；轻舟
vi. 乘游艇，驾游艇"
yard,"n. 院子；码（英制中丈量长度单位，1码=3英尺）；庭院；帆桁
vt. 把…关进或围在畜栏里"
yearly,"n. 年刊；年鉴
adj. 每年的
adv. 每年；一年一次"
yoga,"n. 瑜珈（意为“结合”，指修行）；瑜珈术
n. 联想可360°翻转的超轻薄笔记本电脑"
yoghurt,n. 酸奶（等于yoghourt）；酸乳酪
zoological,"adj. 动物的，动物学的
n. 动物园"
zoologist,n. 动物学家
zoology,n. 动物学，动物学课程; （某一地区的）全部动物，（某种动物的）动物特性
zoom,"vi. 嗡嗡作响; 急速上升
n. 嗡嗡声; 隆隆声; （车辆等）疾驰的声音; 变焦
vt. 使急速上升; 使猛增"
aberration,n. 失常；离开正路，越轨
absenteeism,n. 旷工；旷课；有计划的怠工；经常无故缺席
absent-minded,adj. 心不在焉的；健忘的；出神的
accidentally,adv. 意外地；偶然地
adept,"n. 内行；能手
adj. 熟练的；擅长…的"
adrift,"adj. 漂泊的；漂浮着的
adv. 随波逐流地；漂浮着"
affinity,n. 密切关系；吸引力；姻亲关系；类同
afflict,vt. 折磨；使痛苦；使苦恼
airbag,n. 安全气袋（一种在汽车受冲撞时自动充气以免乘客撞伤的安全装置）
airtime,n. 电影或电视节目开始的时间
airway,n. 导气管；空中航线；通风孔
alumnus,n. 男校友；男毕业生
Antarctic,找不到解释
Antarctica,n. 南极洲
apparel,"n. 服装；衣服
vt. 给…穿衣"
Arctic,找不到解释
autism,n.  孤独症；自我中心主义
ballot,"n. 投票；投票用纸；投票总数
vt. 使投票表决；拉选票
vi. 投票；抽签决定"
basics,n. 基础；基本要素（basic的复数）
bearded,"adj. 有芒的；有胡子的；有须的
v. 使长胡须（或芒刺等）（beard的过去分词）"
bellboy,n. 侍者
bestow,vt. 使用；授予；放置；留宿
binding,"n. 装订；捆绑；粘合物
v. 捆绑（bind的ing形式）
adj. 有约束力的；捆绑的"
blemish,"n. 瑕疵；污点；缺点
vt. 玷污；损害；弄脏"
boulder,n. 卵石，大圆石；巨砾
branding,"n. 品牌化，品牌术
v. 在…上加商标；使显得独一无二（brand的现在分词）"
brushstroke,n. 一笔；笔的一划；绘画技巧
bulletproof,adj. 防弹的
burrow,"n. （兔、狐等的）洞穴，地道；藏身处，住处
vt. 挖掘，挖出；在…挖洞（或通道）；使躲入洞穴
vi. 探索，寻找；挖地洞，挖通道；住入地洞，躲藏起来；钻进某处；偎依著"
canon,n. 标准；教规；正典圣经；教士
catalyst,n.  催化剂；刺激因素
chalkboard,n. 黑板
chiefly,adv. 主要地；首先
cliquish,adj. 小集团的
cod,abbr. 货到付款（cash on delivery）；货到收款（collect on delivery）；化学需氧量（chemical oxygen demand）
collateral,"n. 抵押品； 担保品；旁系亲属
adj. 并行的；旁系的；附属的"
combined,"v. 使结合；联合（combine的过去分词）
adj. 结合的； 组合的"
combustion,n. 燃烧，氧化；骚动
compatriot,"n. 同胞；同国人
adj. 同胞的；同国的"
composure,n. 镇静；沉着
conductive,adj. 传导的；传导性的；有传导力的
conversely,adv. 相反地
debit,"n. 借方
vt. 记入借方，登入借方"
decency,n. 正派；体面；庄重；合乎礼仪；礼貌
decode,"vt. 译(密码文电等)，译(码)，解(码)等：；(尤指在学习过程中)把拼写和读音关系用于(阅读)
vi. 从事破译(或解译)工作"
deflate,"vt. 放气；使缩小；紧缩通货；打击；使泄气
vi. 缩小；物价下降"
deflation,n. 通货紧缩；放气
devoted,"v. 献身于…；致力于…（devote的过去分词）
adj. 献身的；忠诚的"
disconnect,"vt. 拆开，使分离
vi. 断开"
discretionary,adj. 任意的；自由决定的
dismissive,adj. 表示轻视的；解雇的
disproportionate,"adj. 不成比例的
不成比例地"
dissenter,n. 持异议者；反对者
distinguished,"v. 区别（distinguish的过去式）
adj. 著名的；卓著的；高贵的"
disturbing,"v. 干扰；打断（disturb的ing形式）
adj. 令人不安的；烦扰的"
dreamlike,adj. 梦一般的；朦胧的
drone,"n. 雄蜂；嗡嗡的声音；懒惰者
n. 无人机（非正式）
vt. 低沉地说
vi. 嗡嗡作声；混日子"
egalitarian,"n. 平等主义；平等主义者
adj. 平等主义的"
elixir,n. 不老长寿药；万能药；炼金药
empathy,"n. 神入；移情作用；执着
n. 感同身受；同感；共鸣"
encrypt,vt. 将……译成密码
engaged,"v. 保证；约定；同…订婚（engage的过去分词）
adj. 使用中的，忙碌的"
enshrine,vt. 铭记，珍藏；把…置于神龛内；把…奉为神圣
fakery,n. 伪造；假货
faraway,adj. 遥远的；恍惚的
farsighted,adj. 有远见的；能看到远处的
firmly,adv. 坚定地，坚决地；坚固地，稳固地
forbidden,adj. 被禁止的；严禁的，禁用的
frequently,adv. 频繁地，经常地；时常，屡次
fruitless,adj. 不成功的，徒劳的；不结果实的
futurist,"n. 未来主义者；未来派画家
adj. 未来主义的"
futuristic,adj. 未来派的；未来主义的
geothermal,adj.  地热的； 地温的
glimmer,"n. 微光；闪光；少许
vi. 闪烁；发微光"
goggles,"n.  护目镜；防护眼镜；瞪视（goggle的复数）
v. 瞪大眼睛看；转动眼珠（goggle的三单形式）"
gravitate,vi. 受引力作用；被吸引
guarded,"v. 保卫，看守（guard的过去式）
adj. 谨慎的；被监视着的；警戒着的；被看守著的"
guidebook,n. 旅行指南；指导手册
guideline,"n. 指导方针
参考"
halo,"n. 光环；荣光
vt. 使有晕轮；围以光环
vi. 成晕轮"
hatchling,刚孵化的小动物
haunted,"v. 常去；缠住；使担忧（haunt的过去式和过去分词）
adj. 闹鬼的；反复出现的；受到困扰的"
haunting,"v. 常去；缠住某人；萦绕在…心中（haunt的ing形式）
adj. 不易忘怀的，萦绕于心头的；给人以强烈感受的"
headcount,n. 点人头数；总人数
high-profile,adj. 高调的；备受瞩目的；知名度高的
holistic,adj. 整体的；全盘的
hotspot,n. 热点；热区
humanistic,adj. 人文主义的；人道主义的
hunch,"n. 预感；大块；肉峰
vt. 耸肩；预感到；弯腰驼背
vi. 隆起；向前移动"
hyperlink,n. 超链接
impoverish,vt. 使贫穷；使枯竭
impressionism,n. 印象派，印象主义
imprint,"n. 印记；痕迹；特征；版本说明
vt. 加特征；刻上记号"
inanimate,adj. 无生命的；无生气的
incalculable,adj. 无数的；不可计算的；不可预料的
incremental,adj. 增加的，增值的
indefinitely,adv. 不确定地，无限期地；模糊地，不明确地
indiscriminate,adj. 任意的；无差别的；不分皂白的
injustice,n. 不公正；不讲道义
insecure,adj. 不安全的；不稳定的；不牢靠的
instill,vt. 徐徐滴入；逐渐灌输
insurer,n. 保险公司；承保人
intercept,"n. 拦截； 截距；截获的情报
vt. 拦截；截断；窃听"
interconnect,"vi. 互相联系
vt. 使互相连接"
intimidating,adj. 吓人的
introspect,"vt. 对…进行自省
vi. 反省；内省"
inventive,adj. 发明的；有发明才能的；独出心裁的
irreversible,adj. 不可逆的；不能取消的；不能翻转的
jogger,n. 慢跑者； 撞纸机
justifiable,adj. 可辩解的，有道理的；可证明为正当的
lament,"n. 挽歌；恸哭；悲痛之情
vi. 哀悼；悲叹；悔恨
vt. 哀悼；痛惜"
lemming,n.  旅鼠（北极的一种动物）
lesser,"adj. 较少的；次要的；更小的
adv. 较少地；更小地；不及"
lighten,"vi. 减轻；发亮
vt. 使照亮；使轻松"
lighter,"n. 打火机；驳船；点火者
vt. 驳运
adj. 明亮的；光明的；照明好的；光线充足的"
lighting,"n. 照明设备，舞台灯光
v. 照明；点燃（light的ing形式）"
lightly,adv. 轻轻地；轻松地；容易地；不费力地
linear,adj. 线的，线型的；直线的，线状的；长度的
locust,n.  蝗虫， 蚱蜢
logistics,"n.  后勤；后勤学
物流"
lousy,adj. 讨厌的；多虱的；污秽的；极坏的
malfunction,"vi. 发生故障；不起作用
n. 故障；失灵；疾病"
marginalize,vt. 排斥；忽视；使处于社会边缘；使脱离社会发展进程
marginally,adv. 少量地；最低限度地；在栏外；在页边
marked,"adj. 显著的；有记号的
v. 表示（mark的过去分词）；作记号；打分数"
Medicaid,找不到解释
meltdown,n. 灾难；彻底垮台；熔化；暴跌
merciless,adj. 残忍的；无慈悲心的
millennium,n. 千年期，千禧年；一千年，千年纪念；太平盛世，黄金时代
millisecond,n. 毫秒
misguided,"adj. 被误导的
v. 使入歧途（misguide的过去分词）"
misinterpret,vt. 曲解，误解
mobility,n. 移动性；机动性； 迁移率
monologue,n. 独白
mower,n. 割草机；割草的人
multitask,"vt. 使多任务化
n.  多任务"
nanotechnology,n. 纳米技术
needless,adj. 不必要的，不需要的；多余的，无用的
nonprofit,adj. 非盈利的；不以盈利为目的的
occupied,"adj. 已占用的；使用中的；无空闲的
v. 占有（occupy的过去分词）"
organized,"adj. 有组织的；安排有秩序的；做事有条理的
v. 组织（organize的过去分词）"
outlive,vt. 比…活得长；比…经久；经受住；渡过…而存在
outpace,vt. 赶过；超过…速度
outsource,"vt. 把…外包
vi. 外包"
outweigh,vt. 比…重（在重量上）；比…重要；比…有价值
overcrowd,"vt. 使过度拥挤；把…塞得过满
vi. 过度拥挤；塞得太满"
overestimate,"vt. 对……评价过高；对……估计过高
n. 估计过高；评价过高；出价过高
vi. 估计过高；评价过高"
overseer,n. 监督；工头
overshadow,vt. 使失色；使阴暗；遮阴；夺去…的光彩
overview,n.  综述；概观
paternal,adj. 父亲的；得自父亲的；父亲般的
paternity,n. 父权；父系；父系后裔
peon,n. 日工；劳工；雇农；被强制劳役以还债的工人
periodically,adv. 定期地；周期性地；偶尔；间歇
perishable,"n. 容易腐坏的东西
adj. 易腐坏的；易毁灭的；会枯萎的"
pinpoint,"n. 针尖；精确位置；极小之物
vt. 查明；精确地找到；准确描述
adj. 精确的；详尽的"
postdoctoral,adj. 博士后的；博士学位取得后的
postgraduate,"n. 研究生，研究所学生
adj. 大学毕业后的"
predictive,adj. 预言性的；成为前兆的
predictor,n.  预报器；预言者
predominantly,adv. 主要地；显著地
prepaid,"adj. 先付的，已支付的
v. 预付（prepay的过去式和过去分词）"
pretax,adj. 纳税前的
prioritize,"vt. 把…区分优先次序
vi. 把事情按优先顺序排好"
proactive,adj. 前摄的（前一活动中的因素对后一活动造成影响的）；有前瞻性的，先行一步的；积极主动的
procrastination,n. 耽搁，拖延；拖延症
properly,adv. 适当地；正确地；恰当地
proportionate,"adj. 成比例的；相称的；适当的
vt. 使成比例；使相称"
punitive,adj. 惩罚性的；刑罚的
rationalize,"vt. 使……合理化；使……有理化；为……找借口
vi. 实行合理化；作辩解；合理地思考"
rationing,n.  定量配给
refreshing,"adj. 提神的；使清爽的；使人重新振作的
v. 使清新；恢复精神（refresh的ing形式）"
relive,"vt. 再体验
vi. 复活；再生"
reminiscence,n. 回忆；怀旧；引起联想的相似事物
reminiscent,"n. 回忆录作者；回忆者
adj. 怀旧的，回忆往事的；耽于回想的"
repossession,n. 恢复；取回
revitalization,n. 复兴；复苏；新生
revolutionize,"vt. 发动革命；彻底改革；宣传革命
vi. 革命化；从事革命"
rewrite,"n. 重写或改写的文稿；改写的作品
vt. 改写；重写
vi. 改写；重写"
robotics,n. 机器人学
salient,"n. 凸角；突出部分
adj. 显著的；突出的；跳跃的"
satisfied,"v. 使满意（satisfy的过去式）
adj. 感到满意的"
scattered,adj. 分散的；散乱的
sedentary,adj. 久坐的；坐惯的；定栖的；静坐的
sever,"vt. 割断，断绝；分开；使分离
vi. 断；裂开；分离"
severely,adv. 严重地；严格地，严厉地；纯朴地
sewage,n. 污水；下水道；污物
shadowy,adj. 朦胧的；有阴影的；虚无的；暗黑的
shale,n.  页岩；泥板岩
short-sighted,adj. 目光短浅的；近视的
sluggish,"n. 市况呆滞；市势疲弱
adj. 萧条的；迟钝的；行动迟缓的；懒惰的"
soybean,n. 大豆；黄豆
spotless,adj. 无可挑剔的；无瑕疵的；纯洁的
standstill,n. 停顿；停止
subprime,adj. 次级的；准最低贷款利率的
subsequently,adv. 随后，其后；后来
substandard,adj. 不合规格的；标准以下的
suited,"v. 适合（suit的过去分词）
adj. 合适的"
supernatural,"n. 超自然现象；不可思议的事
adj. 超自然的；神奇的，不可思议的"
superpower,n. 超级大国；超级强权
tactic,"n. 策略，战略
adj. 按顺序的，依次排列的"
taxpayer,n. 纳税人；所收租金只够支付地产税的建筑物
template,n. 模板，样板
tenancy,n. 租期；租用
theoretician,n. 理论家，精通于理论的人
thinker,n. 思想家；思想者
toddler,n. 学步的小孩；幼童装
savvy,"n. 悟性；理解能力；懂行（的人）
vt. 理解；懂
vi. 理解；知道"
transact,"vt. 办理；处理
vi. 交易；谈判"
trophy,"n. 奖品；战利品；纪念品
vt. 用战利品装饰
adj. 显示身份的；有威望的"
trustworthy,adj. 可靠的；可信赖的
unaware,"adj. 不知道的，无意的；未察觉到的
adv. 意外地；不知不觉地"
unconventional,adj. 非常规的；非传统的；不依惯例的
undocumented,adj. 无事实证明的；无正式文件的
unexpected,adj. 意外的，想不到的
unfair,adj. 不公平的，不公正的
unfamiliar,adj. 不熟悉的；不常见的；没有经验的
unfinished,adj. 未完成的
unforeseen,adj. 未预见到的，无法预料的
unfounded,adj. 未建立的；没有理由的；没有事实根据的
united,adj. 一致的，统一的；团结的，和睦的
unlike,"prep. 和…不同，不像
adj. 不同的，不相似的"
unnecessary,adj. 不必要的；多余的，无用的
unpredictable,"n. 不可预言的事
adj. 不可预知的；不定的；出乎意料的"
unthinking,adj. 无思考能力的；不留心的；欠考虑的
unusual,adj. 不寻常的；与众不同的；不平常的
unwholesome,adj. 不健康的；有害身体的；腐败的
unwittingly,adv. 不知不觉地；不知情地；不经意地
unworthy,adj. 不值得的；无价值的；不相称的
upheaval,n. 剧变；隆起；举起
vengeance,n. 复仇；报复；报仇
versed,adj. 精通的；熟练的
viewpoint,n. 观点，看法；视角
warm-hearted,adj. 热心的（等于warmhearted）；热诚的
whimsical,adj. 古怪的；异想天开的；反复无常的
wrong-headed,adj. 执迷不悟的；刚愎自用的
