barren,"n. 荒地
adj. 贫瘠的；不生育的；无益的；沉闷无趣的；空洞的"
secure,"vt. 保护；弄到；招致；缚住
adj. 安全的；无虑的；有把握的；稳当的
vi. 获得安全；船抛锚；停止工作"
protect,vt. 保护，防卫；警戒
siege,"n. 围攻；包围；围城；不断袭击；长期努力
vt. 围攻；包围"
besiegement,n. （被）围困， （被）围攻
strive,vi. 努力；奋斗；抗争
endeavor,"n. 努力；尽力（等于endeavour）
vi. 努力；尽力（等于endeavour）
vt. 努力；尽力（等于endeavour）"
vocation,n. 职业；天职；天命；神召
profession,n. 职业，专业；声明，宣布，表白
amiable,adj. 和蔼可亲的，亲切的
unpleasant,adj. 讨厌的；使人不愉快的
capture,"n. 捕获；战利品，俘虏
vt. 俘获；夺得；捕捉，拍摄,录制"
release,"n. 释放；发布；让与
vt. 释放；发射；让与；允许发表"
congregate,"vi. 聚集
adj. 集合在一起的
vt. 聚集"
disperse,"vt. 分散；使散开；传播
adj. 分散的
vi. 分散"
cowardly,"adj. 怯懦的，懦弱的；胆小的
adv. 胆怯地"
brave,"n. 勇士
adj. 勇敢的；华丽的
vt. 勇敢地面对"
feeble,adj. 微弱的，无力的；虚弱的；薄弱的
robust,adj. 强健的；健康的；粗野的；粗鲁的
identical,"n. 完全相同的事物
adj. 同一的；完全相同的"
different,adj. 不同的；个别的，与众不同的
perpetual,adj. 永久的；不断的；四季开花的；无期限的
temporary,"n. 临时工，临时雇员
adj. 暂时的，临时的"
twilight,"adj. 黎明，黄昏；薄暮；衰退期；朦胧状态
n. 黄昏；薄暮；衰退期；朦胧状态"
dawn,"n. 黎明；开端
vt. 破晓；出现；被领悟"
unfair,adj. 不公平的，不公正的
just,"adv. 只是，仅仅；刚才，刚刚；正好，恰好；实在；刚要
adj. 公正的，合理的；正直的，正义的；正确的；公平的；应得的"
vacant,adj. 空虚的；空的；空缺的；空闲的；茫然的
occupied,"adj. 已占用的；使用中的；无空闲的
v. 占有（occupy的过去分词）"
veracity,n. 诚实；精确性；老实；说真实话
falsehood,n. 说谎；假话；不真实；错误的信仰
applause,n. 欢呼，喝采；鼓掌欢迎
brutal,adj. 残忍的；野蛮的，不讲理的
defiance,n. 蔑视；挑战；反抗
demonstrate,"vt. 证明；展示；论证
vi. 示威"
eloquence,n. 口才；雄辩；雄辩术；修辞
exclusive,"n. 独家新闻；独家经营的项目；排外者
adj. 独有的；排外的；专一的"
initiative,"n. 主动权；首创精神
adj. 主动的；自发的；起始的"
reluctant,adj. 不情愿的；勉强的；顽抗的
risky,adj. 危险的；冒险的；（作品等）有伤风化的
terminate,"vt. 使终止；使结束；解雇
adj. 结束的
vi. 结束，终止；结果"
typify,vt. 代表；作为…的典型；具有…的特点
adapt,"vi. 适应
vt. 使适应；改编"
clash,"n. 冲突，不协调；碰撞声，铿锵声
vt. 使碰撞作声
vi. 冲突，抵触；砰地相碰撞，发出铿锵声"
compromise,"n. 妥协，和解；折衷
vt. 妥协；危害
vi. 妥协；让步"
era,n. 时代；年代；纪元
gulp,"n. 一大口（尤指液体）；吞咽
vi. 哽住；喘不过气
vt. 狼吞虎咽地吃；大口地吸"
proprietor,n. 业主；所有者；经营者
revise,"n. 修订；校订
vi. 修订；校订；复习功课
vt. 修正；复习；校订"
superstition,n. 迷信
tract,n. 束；大片土地，地带；小册子
wail,"n. 哀号；悲叹；恸哭声
vt. 为某人死亡而悲痛；哀悼某人；哀号着说
vi. 哀号；悲叹"
wither,"vi. 枯萎；凋谢；衰弱
vt. 使凋谢；使畏缩；使衰弱"
