agent,"n. 代理人，代理商；药剂；特工
adj. 代理的
vt. 由…作中介；由…代理"
affusion,n. 冲浴，注水
perfuse,vt. 灌注；洒遍；散布
profuse,adj. 丰富的；很多的；慷慨的；浪费的
profusion,n. 丰富，充沛；慷慨
gradual,"n. 弥撒升阶圣歌集
adj. 逐渐的；平缓的"
retrograde,"adj. 倒退的；退化的；次序颠倒的
vt. 使倒退
vi. 逆行；倒退；退步
adv. 倒退地；向后地"
retrogradation,"n. 逆行, 退化, 倒退
 退减作用"
graduate,"n. 研究生；毕业生
adj. 毕业的；研究生的
vt. 授予…学位；分等级；标上刻度
vi. 毕业；渐变"
graduation,n. 毕业；毕业典礼；刻度，分度；分等级
undergraduate,"n. 大学生；大学肄业生
adj. 大学生的"
postgraduate,"n. 研究生，研究所学生
adj. 大学毕业后的"
degrade,"vt. 贬低；使……丢脸；使……降级；使……降解
vi. 降级，降低；退化"
degradation,n. 退化；降格，降级；堕落
grade,"n. 年级；等级；成绩；级别；阶段
vt. 评分；把…分等级
vi. 分等级；逐渐变化"
gradation,n. （色彩、颜色、次序、音调等的）渐变；分等级；（各种状态、性质等的）分阶段渐变；元音交替
upgrade,"n. 升级；上升；上坡
vt. 使升级；提升；改良品种
adj. 向上的
adv. 往上"
downgrade,"n. 退步；下坡
vt. 使降级（过去式downgraded，过去分词downgraded，现在分词downgrading，第三人称单数downgrades）；小看
adj. 下坡的
adv. 下坡地"
gradine,n. （台阶）梯级，梯级式一排座位; （神坛后的）壁架
grammar,n. 语法；语法书
grammarian,n. 文法学者，文法家；文法教师
grammatical,adj. 文法的；符合语法规则的
diagram,"n. 图表；图解
vt. 用图解法表示"
diagrammatic,adj. 图解的；概略的；图表的
telegram,"n. 电报
vt. 用电报发送
vi. 发电报"
program,"n. 程序；计划；大纲
vt. 用程序指令；为…制订计划；为…安排节目
vi. 编程序；安排节目；设计电脑程式"
cryptogram,n. 密码
parallelogram,n. 平行四边形
gram,n. 克；鹰嘴豆（用作饲料）
kilogram,n. 公斤；千克
gramophone,"n. 留声机
vt. 用唱片录制；用唱机播放"
phonogram,n. 表音符号，语音图，形声字; 音字标
hologram,n.  全息图；全息摄影，全息照相
seismogram,n. （地震仪所记录的）震动图
electrocardiogram,n.  心电图
photograph,"n. 照片，相片
vt. 为…拍照；使深深印入
vi. 拍照；在照片上显得"
photography,n. 摄影；摄影术
autograph,"n. 亲笔，手稿；亲笔签名
vt. 亲笔签名于…；亲笔书写"
geography,n. 地理；地形
biography,n. 传记；档案；个人简介
autobiography,n. 自传；自传文学
ideograph,n. 象形文字；表意文字（等于ideogram）
historiography,n. 编史；历史编纂学
orthography,n. 正确拼字；正字法；正字学
monograph,"n. 专题著作，专题论文
vt. 写关于…的专著"
pseudograph,n. 伪书；伪作
polygraph,n. 测谎器；复写器；多种波动描记器
micrograph,n. 显微照片，显微图；微动描记器
macrograph,n. 肉眼图; 近等比摄影
seismograph,n. 地震仪
barograph,n. （自动）气压计
chronograph,n. 记时计；记秒表
stereograph,n. 立体照片；立体画
telegraph,"n.  电报机，电报
vt. 电汇；流露出；打电报给…
vi. 打电报"
cyclograph,n. 圆弧规; 涡流式感应图示仪
holography,n. 全息术；全息摄影； 全息照相术
graphics,n.  制图学；制图法；图表算法
progress,"n. 进步，发展；前进
vi. 前进，进步；进行"
progressive,"n. 改革论者；进步分子
adj. 进步的；先进的"
progressist, 进步分子，革新主义者，进步党派的成员
retrogress,vi. 倒退，退化
retrogression,n.  退化；后退
retrogressive,adj. 倒退的；退化的
congress,n. 国会；代表大会；会议；社交
congressional,adj. 国会的；会议的；议会的
congressman,n. 国会议员；众议院议员
aggress,"vt. 侵犯；挑衅
vi. 攻击；侵略"
aggression,n. 侵略；进攻；侵犯；侵害
aggressive,adj. 侵略性的；好斗的；有进取心的；有闯劲的
aggressor,n. 侵略者；侵略国；挑衅者
egress,"n. 外出；出口
vt. 使外出
vi. 外出"
egression,n. 外出
ingress,n. 进入；入口；准许进入；入境
ingression,n. 进入
transgress,"vt. 违反；侵犯；犯罪
vi. 违反；违法；越界"
transgressor,n. 违背者；犯规者；罪人
digress,vi. 离题；走向岔道
regress,"n. 回归；退回
vi. 逆行，倒退；复归
vt. 使…倒退"
habitable,adj. 可居住的；适于居住的
habitant,n. 居民，居住者
habitation,n. 居住；住所
inhabit,"vt. 栖息；居住于；占据
vi. （古）居住；栖息"
inhabitable,adj. 适于居住的；可居住的，可栖居的
inhabitancy,"n. 居住
 居住, 有人居住状态, 住所"
inhabitant,n. 居民；居住者
inhabitation,n. 居住，有人居住的状态; 居留
cohabit,vi. 同居（尤指未婚而同居者）
cohabitant,n. 同居者
cohabitation,n. 同居；共栖；同居生活
exhibit,"n. 展览品；证据；展示会
vt. 展览；显示；提出（证据等）
vi. 展出；开展览会"
exhibition,n. 展览，显示；展览会；展览品
exhibitioner,n. <英>获得奖学金学生
exhibitor,n. 展出者；显示者
inhibit,vt. 抑制；禁止
inhibition,n. 抑制；压抑；禁止
inhibitor,n.  抑制剂，抗化剂；抑制者
prohibit,vt. 阻止，禁止
prohibition,n. 禁止；禁令；禁酒；诉讼中止令
prohibitor,"n. 禁止者, 阻止者"
hospital,n. 医院
hospitalize,vt. 就医；送…进医院治疗
hospitable,adj. 热情友好的；（环境）舒适的
hospitality,n. 好客；殷勤
inhospitable,adj. 荒凉的；冷淡的，不好客的；不适居留的
inhospitality,n. 冷淡，不和气，冷漠
idiom,n. 成语，习语；土话
idiomatic,adj. 惯用的；符合语言习惯的；通顺的
idiot,n. 笨蛋，傻瓜；白痴
idiotic,adj. 白痴的；愚蠢的
idiocy,n. 白痴；白痴的行为
idiograph,n. （组织等的）标记，签名，商标
idiopathy,n. 原发症
idiochromatic, 本质光
peninsula,n. 半岛
peninsular,"n. 半岛居民
adj. 半岛的；形成半岛的；半岛状的"
insular,adj. 孤立的；与世隔绝的；海岛的；岛民的
insularism,n. 岛国根性;褊狭性
insularity,n. （思想、观点等）偏狭，性僵化；岛国性质（或状态）；岛屿生活状况，与外界隔绝的生活状况
insulate,vt. 隔离，使孤立；使绝缘，使隔热
insulation,n. 绝缘；隔离，孤立
insulator,n.  绝缘体；从事绝缘工作的工人
insulin,n.  胰岛素
exit,"n. 出口，通道；退场
vi. 退出；离去"
initial,"n. 词首大写字母
adj. 最初的；字首的
vt. 用姓名的首字母签名"
initiate,"n. 开始；新加入者，接受初步知识者
vt. 开始，创始；发起；使初步了解
adj. 新加入的；接受初步知识的"
initiation,n. 启蒙，传授；开始；入会
initiative,"n. 主动权；首创精神
adj. 主动的；自发的；起始的"
transit,"n. 运输；经过
vt. 运送
vi. 经过"
transitory,adj. 短暂的，暂时的；瞬息的
transition,n. 过渡；转变； 转换；变调
itinerary,"n. 旅程，路线； 旅行日程
adj. 旅程的； 巡回的，流动的"
itinerate,v. 巡回
circuit,"n.  电路，回路；巡回；一圈；环道
vt. 绕回…环行
vi. 环行"
circuitous,adj. 迂曲的；绕行的；迂回线路的
sedition,n. 暴动；煽动性的言论或行为；妨害治安
seditionary,"a. 骚乱煽动的
n. 骚乱煽动分子"
seditious,adj. 煽动性的；扰乱治安的；参与煽动的
project,"n. 工程；计划；事业
vt. 设计；计划；发射；放映
vi. 设计；计划；表达；投射"
projection,n. 投射；规划；突出；发射；推测
projector,n.  投影仪；放映机；探照灯；设计者
projectile,"adj. 抛射的；抛掷的；供抛射用的；（触角等）能伸出的
n. 射弹；抛射体；自动推进武器"
inject,vt. 注入；注射
injection,n. 注射；注射剂；充血；射入轨道
injector,n. 注射器；注射者；注水器
reject,"n. 被弃之物或人；次品
vt. 拒绝；排斥；抵制；丢弃"
rejecter,n. 否决者；拒绝者；抛弃者
interject,vt. 突然插入；插嘴
interjection,n.  感叹词；插入语；突然的发声
subject,"n. 主题；科目； 主语；国民
adj. 服从的；易患…的；受制于…的
vt. 使…隶属；使屈从于…"
subjection,n. 隶属；服从；征服
subjective,adj. 主观的；个人的；自觉的
object,"n. 目标；物体；客体；宾语
vt. 提出…作为反对的理由
vi. 反对；拒绝"
objection,n. 异议，反对；缺陷，缺点；妨碍；拒绝的理由
objective,"adj. 客观的；目标的；宾格的
n. 目的；目标； 物镜；宾格"
adjective,"n. 形容词
adj. 形容词的；从属的"
eject,vt. 喷射；驱逐，逐出
ejector,n.  喷射器；驱逐者；推出器；排出器
abject,adj. 卑鄙的；可怜的；不幸的；（境况）凄惨的，绝望的
deject,"adj. 沮丧的；气馁的
vt. 使…沮丧；使…灰心"
dejected,adj. 沮丧的，灰心的
juvenile,"adj. 青少年的；幼稚的
n. 青少年；少年读物"
juvenility,n. 年轻，不成熟
juvenescence,n. 返老还童，变年轻
juvenescent,adj. 到达青（少）年期的，变年轻的
juvenilia,n. 少年读物
rejuvenate,"vt. 使年轻；使更新；使恢复精神；使复原
vi. 复原；变年轻"
rejuvenation,n.  回春，返老还童；复壮，恢复活力
rejuvenesce,v. （使）恢复精神，（使）返老还童
rejuvenescence,"n. 返老还童, 回春, 更新
 回春, 返老还童"
rejuvenescent,adj. 返老还童的；恢复青春活力的
rejuvenator,n. 使返老还童的人，返老还童药; 破皮机
elect,"n. 被选的人；特殊阶层；上帝的选民
adj. 选出的；当选的；卓越的
vi. 作出选择；进行选举
vt. 选举；选择；推选"
election,n. 选举；当选；选择权；上帝的选拔
elector,n. 选举人；有选举权的人；总统选举人
select,"n. 被挑选者；精萃
adj. 精选的；挑选出来的；极好的
vt. 挑选；选拔
vi. 挑选"
selection,n. 选择，挑选；选集；精选品
intellect,n. 智力，理解力；知识分子；思维逻辑领悟力；智力高的人
intellectual,"n. 知识分子；凭理智做事者
adj. 智力的；聪明的；理智的"
intelligence,n. 智力；情报工作；情报机关；理解力；才智，智慧；天分
intelligent,adj. 智能的；聪明的；理解力强的
intelligentsia,n. 知识分子；知识界
collect,"vt. 收集；募捐
adj. 由收件人付款的
vi. 收集；聚集；募捐
adv. 由收件人付款地"
collection,n. 采集，聚集； 征收；收藏品；募捐
collective,"n. 集团；集合体；集合名词
adj. 集体的；共同的；集合的；集体主义的"
collectivism,n. 集体主义
elegant,adj. 高雅的，优雅的；讲究的；简炼的；简洁的
elegance,n. 典雅；高雅
inelegant,adj. 不雅的；粗野的；不优美的
inelegance,n. 不雅（致），粗俗
eligible,"n. 合格者；适任者；有资格者
adj. 合格的，合适的；符合条件的；有资格当选的"
ineligible,"n. 无被选资格的人
adj. 不合格的；不适任的；无被选资格的"
neglect,"vt. 疏忽，忽视；忽略
n. 疏忽，忽视；怠慢"
neglectful,adj. 疏忽的；忽略的；不小心的
negligence,n. 疏忽；忽视；粗心大意
negligent,adj. 疏忽的；粗心大意的
elevate,vt. 提升；举起；振奋情绪等；提升…的职位
elevator,n. 电梯；升降机；升降舵；起卸机
elevation,n. 高地；海拔；提高；崇高；正面图
elevatory,"a. 提升的, 升高的"
lever,"n. 杠杆；控制杆
vt. 用杠杆撬动；把…作为杠杆
vi. 用杠杆撬"
leverage,"n. 手段，影响力；杠杆作用；杠杆效率
v. 利用；举债经营"
relieve,vt. 解除，减轻；使不单调乏味；换…的班；解围；使放心
relievable,"a. 可救助的, 可救济的, 可缓解的, 可减轻的"
relief,n. 救济；减轻，解除；安慰；浮雕
levitate,"vt. 使轻轻浮起；使飘浮空中
vi. 轻轻浮起；飘浮空中"
levity,n. 多变；轻浮；轻率；不稳定
alleviate,vt. 减轻，缓和
alleviation,n. 缓和；镇痛物
alleviatory,adj. 减轻（痛苦）的，缓解的，起缓和作用的
liberate,vt. 解放；放出；释放
liberation,n. 释放，解放
preliberation,a. 解放前的
postliberation,adj. 解放后的
liberator,n. 解放者；释放者
liberty,n. 自由；许可；冒失
liberticide,"n. 破坏自由（者）
adj. 破坏自由的"
liberal,"adj. 自由主义的；慷慨的；不拘泥的；宽大的
n. 自由主义者"
liberalism,n. 自由主义；开明的思想或见解
liberalist,n. 自由主义者
liberalize,"vt. 使自由化；宽大
vi. 自由化"
Liberia,n. 利比里亚（西非国家）
linguist,"n. 语言学家
学多种外语的人"
linguistic,adj. 语言的；语言学的
linguistics,n. 语言学
bilingual,"n. 通两种语言的人
adj. 双语的"
bilingualist, 双语者
bilingualism,n. 能用两种语言
trilingual,adj. 三种语言的
multilingual,"adj. 使用多种语言的
n. 使用多种语言的人"
collingual,a. 用同一种语言的
Linguaphone,找不到解释
literate,"adj. 受过教育的；精通文学的
n. 学者"
literacy,n. 读写能力；精通文学
illiterate,"n. 文盲
adj. 文盲的；不识字的；没受教育的"
illiteracy,n. 文盲；无知
semiliterate,n. 半文盲，有初等文化者
anti-illiteracy,n. 扫除文盲
literature,n. 文学；文献；文艺；著作
literary,adj. 文学的；书面的；精通文学的
literator,n. 文人，作家
uniliteral,"a. 只有一个字母的,由一个字母组成的"
biliteral,adj. 由两个字母组成的; 双字母
triliteral,"adj. 三字母的，有三个字母的
n. 由三个字母组成的词"
transliterate,vt. 直译；字译
transliteration,n. 音译；直译
obliterate,vt. 消灭；涂去；冲刷；忘掉
obliteration,n. 闭塞；涂去，删除；消灭
literal,adj. 文字的；逐字的；无夸张的
local,"n.  局部；当地居民；本地新闻
adj. 当地的；局部的；地方性的；乡土的"
localism,n. 有地方色彩，地方主义；方言
localize,"vt. 使地方化；使局部化；停留在一地方
vi. 局部化；集中"
localization,n.  定位；局限；地方化
locomotive,"adj. 火车头的；运动的；移动的
n. 机车；火车头"
locate,"vt. 位于；查找…的地点
vi. 定位；定居"
location,n. 位置（形容词locational）；地点；外景拍摄场地
collocate,"vt. 布置；排列；使成搭配
vi. 搭配；组合"
collocation,n. 搭配；配置；排列
co-locate,v. （使）驻扎在同一地点，使位于一处
dislocate,vt. 使脱臼；使混乱
dislocation,n. 转位；混乱； 脱臼
translocate,vt. 改变……的位置
relocate,"n. 浮动
vt. 重新安置；迁移
vi. 重新安置；迁移新址"
dialogue,"n. 对话；意见交换
vt. 用对话表达
vi. 对话"
dialogist,n. 问答者，对话体的作者，对话者
eulogy,n. 悼词；颂词；颂扬；赞词
eulogize,vt. 颂扬；称赞
apology,n. 道歉；谢罪；辩护；勉强的替代物
apologize,"vi. 道歉；辩解；赔不是
vt. 道歉；谢罪；辩白"
