accord,"n. 符合；一致；协议；自愿
vt. 使一致；给予
vi. 符合；一致"
select,"n. 被挑选者；精萃
adj. 精选的；挑选出来的；极好的
vt. 挑选；选拔
vi. 挑选"
intelligent,adj. 智能的；聪明的；理解力强的
neglect,"vt. 疏忽，忽视；忽略
n. 疏忽，忽视；怠慢"
election,n. 选举；当选；选择权；上帝的选拔
selection,n. 选择，挑选；选集；精选品
eligible,"n. 合格者；适任者；有资格者
adj. 合格的，合适的；符合条件的；有资格当选的"
thought,"n. 思想；思考；想法；关心
v. 想，思考；认为（think的过去式和过去分词）"
thoughtful,adj. 深思的；体贴的；关切的
thoughtless,adj. 轻率的；欠考虑的；考虑不周的；不顾及他人的
produce,"n. 农产品，产品
vt. 生产；引起；创作；生育，繁殖
vi. 生产，创作"
product,n. 产品；结果； 乘积；作品
producer,n. 制作人，制片人；生产者；发生器
productive,adj. 能生产的；生产的，生产性的；多产的；富有成效的
production,n. 成果；产品；生产；作品
productivity,n. 生产力；生产率；生产能力
reform,"n. 改革，改良；改正
adj. 改革的；改革教会的
vt. 改革，革新；重新组成
vi. 重组；改过"
analysis,n. 分析；分解；验定
analyze,vt. 对…进行分析，分解（等于analyse）
analytical,adj. 分析的；解析的；善于分析的
sense,"n. 感觉，功能；观念；道理；理智
vt. 感觉到；检测"
sentence,"n.  句子，命题；宣判，判决
vt. 判决，宣判"
sentiment,n. 感情，情绪；情操；观点；多愁善感
sensitive,"adj. 敏感的；感觉的； 灵敏的；感光的；易受伤害的；易受影响的
n. 敏感的人；有灵异能力的人"
sensible,"n. 可感觉到的东西; 敏感的人;
adj. 明智的; 通情达理的; 合乎情理的; 意识到的，能感觉到的;"
cause,"n. 原因；事业；目标
vt. 引起；使遭受"
excuse,"n. 借口；理由
vt. 原谅；为…申辩；给…免去
vi. 作为借口；请求宽恕；表示宽恕"
accusation,n. 控告，指控；谴责
intend,"vi. 有打算
vt. 打算；想要；意指"
intention,n. 意图；目的；意向；愈合
apply,"vi. 申请；涂，敷；适用；请求
vt. 申请；涂，敷；应用"
applicable,adj. 可适用的；可应用的；合适的
application,n. 应用；申请；应用程序；敷用
applicant,n. 申请人，申请者；请求者
relationship,n. 关系；关联
relate,"vt. 叙述；使…有联系
vi. 涉及；认同；符合；与…有某种联系"
relation,n. 关系；叙述；故事；亲属关系
unrelated,adj. 无关的，不相干的
relative,"n. 亲戚；相关物； 关系词；亲缘植物
adj. 相对的；有关系的；成比例的"
correlate,"n. 相关物；相关联的人
vt. 使有相互关系；互相有关系
adj. 关联的
vi. 关联"
relatively,adv. 相当地；相对地，比较地
relationally,adv. relational（有关系的；有联系的，相关的）的变形
general,"n. 一般；将军，上将；常规
adj. 一般的，普通的；综合的；大体的"
generally,adv. 通常；普遍地，一般地
pass,"n. 及格；经过；护照；途径；传球
vt. 通过；经过；传递
vi. 经过；传递；变化；终止"
bypass,"n. 旁路； 支路
vt. 绕开；忽视；设旁路；迂回"
surpass,vt. 超越；胜过，优于；非…所能办到或理解
passage,n. 一段（文章）；走廊；通路
position,"n. 位置，方位；职位，工作；姿态；站位
vt. 安置；把……放在适当位置"
expose,vt. 揭露，揭发；使曝光；显示
purpose,"n. 目的；用途；意志
vt. 决心；企图；打算"
suppose,"conj. 假使…结果会怎样
vt. 假设；认为；让（虚拟语气）；推想
vi. 猜想；料想"
composition,n. 作文，作曲，作品； 构成；合成物；成分
composure,n. 镇静；沉着
oppose,"vt. 反对；对抗，抗争
vi. 反对"
propose,"vi. 建议；求婚；打算
vt. 建议；打算，计划；求婚"
opposite,"adj. 相反的；对面的；对立的
n. 对立面；反义词
prep. 在…的对面
adv. 在对面"
component,"n. 成分；组件； 元件
adj. 组成的，构成的"
disposition,n. 处置； 性情； 部署；倾向
posture,"n. 姿势；态度；情形
vt. 作…的姿势
vi. 摆姿势"
opponent,"n. 对手；反对者；敌手
adj. 对立的；敌对的"
postpone,"vt. 使…延期；把…放在次要地位；把…放在后面
vi. 延缓，延迟；延缓发作"
impose,"vt. 强加；征税；以…欺骗
vi. 利用；欺骗；施加影响"
continue,"vt. 继续说…；使…继续；使…延长
vi. 继续，延续；仍旧，连续"
continuous,adj. 连续的，持续的；继续的；连绵不断的
focus,"n. 焦点；中心；清晰；焦距
vt. 使集中；使聚焦
vi. 集中；聚焦；调节焦距"
unfocused,adj. 不聚成焦点的
medium,"adj. 中间的，中等的；半生熟的
n. 方法；媒体；媒介；中间物"
technology,n. 技术；工艺；术语
technique,n. 技巧，技术；手法
technical,adj. 工艺的，科技的；技术上的；专门的
technological,adj. 技术的；工艺的
rise,"n. 上升；高地；增加；出现
vt. 使…飞起；使…浮上水面
vi. 上升；增强；起立；高耸"
raise,"n. 高地；上升；加薪
vt. 提高；筹集；养育；升起
vi. 上升"
arouse,"vt. 引起；唤醒；鼓励
vi. 激发；醒来；发奋"
arise,vi. 出现；上升；起立
rely,vi. 依靠；信赖
reliance,n. 信赖；信心；受信赖的人或物
status,n. 地位；状态；情形；重要身份
constitution,n. 宪法；体制；章程；构造；建立，组成；体格
constitutional,"n. 保健散步；保健运动
adj. 宪法的；本质的；体质上的；保健的"
institute,"n. 学会，协会；学院
vt. 开始（调查）；制定；创立；提起（诉讼）"
institution,n. 制度；建立；（社会或宗教等）公共机构；习俗
substitute,"n. 代用品；代替者
vi. 替代
vt. 代替"
capacity,n. 能力；容量；资格，地位；生产力
escape,"n. 逃跑；逃亡；逃走；逃跑工具或方法；野生种；泄漏
vi. 逃脱；避开；溜走；（气体，液体等）漏出；（未受伤或只受了一点伤害而）逃脱；声音（不自觉地）由…发出
vt. 逃避，避开，避免；被忘掉；被忽视"
capture,"n. 捕获；战利品，俘虏
vt. 俘获；夺得；捕捉，拍摄,录制"
capital,"n. 首都，省会；资金；大写字母；资本家
adj. 首都的；重要的；大写的"
pattern,"n. 模式；图案；样品
vt. 模仿；以图案装饰
vi. 形成图案"
difficult,adj. 困难的；不随和的；执拗的
difficulty,n. 困难，困境
facilitate,vt. 促进；帮助；使容易
stand,"n. 站立；立场；看台；停止
vi. 站立；位于；停滞
vt. 使站立；忍受；抵抗"
withstand,"vt. 抵挡；禁得起；反抗
vi. 反抗"
constant,"n.  常数；恒量
adj. 不变的；恒定的；经常的"
attempt,"n. 企图，试图；攻击
vt. 企图，试图；尝试"
tempt,vt. 诱惑；引起；冒…的风险；使感兴趣
observe,"vt. 庆祝
vt. 观察；遵守；说；注意到；评论
vi. 观察；说；注意到；评论"
observer,n. 观察者； 观测者；遵守者
unique,"n. 独一无二的人或物
adj. 独特的，稀罕的； 唯一的，独一无二的"
remain,"n. 遗迹；剩余物，残骸
vi. 保持；依然；留下；剩余；逗留；残存"
permanent,"n. 烫发（等于permanent wave）
adj. 永久的，永恒的；不变的"
affect,"n. 情感；引起感情的因素
vt. 影响；感染；感动；假装
vi. 倾向；喜欢"
approach,"n. 方法；途径；接近
vt. 接近；着手处理
vi. 靠近"
approximately,adv. 大约，近似地；近于
despite,"prep. 尽管，不管
n. 轻视；憎恨；侮辱"
model,"n. 模型；典型；模范；模特儿；样式
vt. 模拟；塑造；模仿
vi. 做模型；做模特儿
adj. 模范的；作模型用的"
mode,n. 模式；方式；风格；时尚
mood,n. 情绪，语气；心境；气氛
moderate,"adj. 稳健的，温和的；适度的，中等的；有节制的
vi. 变缓和，变弱
vt. 节制；减轻"
modest,adj. 谦虚的，谦逊的；适度的；端庄的；羞怯的
modify,"vt. 修改，修饰；更改
vi. 修改"
modification,n. 修改，修正；改变
skill,n. 技能，技巧；本领，技术
skillfully,adv. 巧妙地；精巧地
standard,"n. 标准；水准；旗；度量衡标准
adj. 标准的；合规格的；公认为优秀的"
standardize,vt. 使标准化；用标准检验
language,n. 语言；语言文字；表达能力
linguistic,adj. 语言的；语言学的
criticism,n. 批评；考证；苛求
critical,adj. 鉴定的； 临界的；批评的，爱挑剔的；危险的；决定性的；评论的
criticize,"vi. 批评；评论；苛求
vt. 批评；评论；非难"
criterion,n. （批评判断的）标准；准则；规范；准据
physical,"n. 体格检查
adj.  物理的；身体的；物质的；根据自然规律的，符合自然法则的"
physics,n. 物理学；物理现象
order,"n. 命令；顺序；规则； 定单
vt. 命令；整理；定购
vi. 命令；定货"
disorder,"n. 混乱；骚乱
vt. 使失调；扰乱"
customer,n. 顾客；家伙
custom,"n. 习惯，惯例；风俗；海关，关税；经常光顾；（经常性的）顾客
adj. （衣服等）定做的，定制的"
accustom,vt. 使习惯于
population,n. 人口； 种群， 群体；全体居民
popular,adj. 流行的，通俗的；受欢迎的；大众的；普及的
populate,vt. 居住于；构成人口；移民于；殖民于
popularity,n. 普及，流行；名气；受大众欢迎
free,"adj. 免费的；自由的，不受约束的； 游离的
vt. 使自由，解放；释放
adv. 自由地；免费"
freely,adv. 自由地；免费地；大量地；慷慨地；直率地
store,"n. 商店；储备，贮藏；仓库
vt. 贮藏，储存"
restore,"vi. 恢复；还原
vt. 恢复；修复；归还"
executive,"n. 总经理；执行委员会；执行者；经理主管人员
adj. 行政的；经营的；执行的，经营管理的"
consequence,n. 结果；重要性；推论
pursue,"vi. 追赶；继续进行
vt. 继续；从事；追赶；纠缠"
pursuit,n. 追赶，追求；职业，工作
suit,"n. 诉讼；恳求；套装，西装；一套外衣
vt. 适合；使适应
vi. 合适；相称"
prosecute,"vt. 检举；贯彻；从事；依法进行
vi. 起诉；告发；作检察官"
consequently,adv. 因此；结果；所以
suitable,adj. 适当的；相配的
prosecution,n. 起诉，检举；进行；经营
raise,"n. 高地；上升；加薪
vt. 提高；筹集；养育；升起
vi. 上升"
organization,n. 组织；机构；体制；团体
organ,n.  器官；机构；风琴；管风琴；嗓音
organism,n. 有机体；生物体；微生物
traditional,adj. 传统的；惯例的
respect,"n. 尊敬，尊重；方面；敬意
vt. 尊敬，尊重；遵守"
respectable,"n. 可敬的人
adj. 值得尊敬的；人格高尚的；相当数量的"
available,adj. 可获得的；可购得的；可找到的；有空的
character,"n. 性格，品质；特性；角色； 字符
vt. 印，刻；使具有特征"
characteristic,"n. 特征；特性；特色
adj. 典型的；特有的；表示特性的"
characterize,"vt. 描绘…的特性；具有…的特征
vi. 塑造人物"
measure,"n. 测量；措施；程度；尺寸
vt. 测量；估量；权衡
vi. 测量；估量"
dimension,"n. 方面; 维；尺寸；次元；容积 vt. 标出尺寸
adj. 规格的"
secure,"vt. 保护；弄到；招致；缚住
adj. 安全的；无虑的；有把握的；稳当的
vi. 获得安全；船抛锚；停止工作"
cherish,"vt. 珍爱
vt. 怀有（感情等）；抱有（希望等）"
cure,"n. 治疗；治愈； 疗法
vt. 治疗；治愈；使硫化；加工处理
vi. 治病；痊愈；受治疗；被硫化；被加工处理"
accuracy,n.  精确度，准确性
curious,adj. 好奇的，有求知欲的；古怪的；爱挑剔的
curiosity,n. 好奇，好奇心；珍品，古董，古玩
home,"n. 家，住宅；产地；家乡；避难所
adj. 国内的，家庭的；有效的
vt. 归巢，回家
adv. 在家，回家；深入地"
homeless,"adj. 无家可归的
无家可归的人
无家可归"
reveal,"n. 揭露；暴露；门侧，窗侧
vt. 显示；透露；揭露；泄露"
figure,"n. 数字；人物；图形；价格；（人的）体形；画像
vt. 计算；认为；描绘；象征
vi. 计算；出现；扮演角色"
fiction,n. 小说；虚构，编造；谎言
chief,"n. 首领；酋长；主要部分
adj. 首席的；主要的；主任的
adv. 主要地；首要地"
achieve,"vt. 取得；获得；实现；成功
vi. 达到预期的目的，实现预期的结果，如愿以偿"
successful,adj. 成功的；一帆风顺的
success,n. 成功，成就；胜利；大获成功的人或事物
succession,n. 连续；继位；继承权； 演替
successive,adj. 连续的；继承的；依次的；接替的
indicate,vt. 表明；指出；预示；象征
predict,"vi. 作出预言；作预料，作预报
vt. 预报，预言；预知"
contradict,"vt. 反驳；否定；与…矛盾；与…抵触
vi. 反驳；否认；发生矛盾"
dedicate,vt. 致力；献身；题献
index,"n. 指标；指数；索引；指针
vt. 指出；编入索引中
vi. 做索引"
sign,"n. 迹象；符号；记号；手势；指示牌
vt. 签署；示意
vi. 签署；签名"
signal,"n. 信号；暗号；导火线
adj. 显著的；作为信号的
vt. 标志；用信号通知；表示
vi. 发信号"
signify,"vt. 表示；意味；预示
vi. 有重要性；要紧；冒充内行"
significant,"n. 象征；有意义的事物
adj. 重大的；有效的；有意义的；值得注意的；意味深长的"
wide,"n. 大千世界
adj. 广泛的；宽的，广阔的；张大的；远离目标的
adv. 广泛地；广阔地；充分地"
