ditch,"n. 沟渠；壕沟
vt. 在…上掘沟；把…开入沟里；丢弃
vi. 开沟；掘沟"
initial,"n. 词首大写字母
adj. 最初的；字首的
vt. 用姓名的首字母签名"
initially,adv. 最初，首先；开头
initiate,"n. 开始；新加入者，接受初步知识者
vt. 开始，创始；发起；使初步了解
adj. 新加入的；接受初步知识的"
initiative,"n. 主动权；首创精神
adj. 主动的；自发的；起始的"
transient,"n. 瞬变现象；过往旅客；候鸟
adj. 短暂的；路过的"
transit,"n. 运输；经过
vt. 运送
vi. 经过"
dictionary,n. 字典；词典
dictionary,n. 字典；词典
diction,n. 用语；措词
addict,"n. 有瘾的人；入迷的人
vt. 使沉溺；使上瘾"
addicted,"v. 使…上瘾（addict的过去分词）
adj. 沉溺于某种（尤其是不良的）嗜好的；入了迷的，上了瘾的"
addictive,adj. 使人上瘾的
contradict,"vt. 反驳；否定；与…矛盾；与…抵触
vi. 反驳；否认；发生矛盾"
indict,vt. 控告，起诉； 揭发
indictment,n. 起诉书；控告
predict,"vi. 作出预言；作预料，作预报
vt. 预报，预言；预知"
verdict,n. 结论；裁定
dedicate,vt. 致力；献身；题献
dedication,n. 奉献；献身；赠言
indicate,vt. 表明；指出；预示；象征
indication,n. 指示，指出；迹象；象征
indicative,"n. 陈述语气；陈述语气的动词形式
adj. 象征的；指示的；表示…的"
index,"n. 指标；指数；索引；指针
vt. 指出；编入索引中
vi. 做索引"
prior,"adj. 优先的；在先的，在前的
adv. 在前，居先"
priority,n. 优先；优先权； 优先次序；优先考虑的事
primary,"n. 原色；最主要者
adj. 主要的；初级的；基本的"
primarily,adv. 首先；主要地，根本上
prime,"n. 初期；青年；精华；全盛时期
adj. 主要的；最好的；基本的
vt. 使准备好；填装
vi. 作准备
adv. 极好地"
primitive,"n. 原始人
adj. 原始的，远古的；简单的，粗糙的"
apply,"vi. 申请；涂，敷；适用；请求
vt. 申请；涂，敷；应用"
apply,"vi. 申请；涂，敷；适用；请求
vt. 申请；涂，敷；应用"
appliance,n. 器具；器械；装置
application,n. 应用；申请；应用程序；敷用
applicant,n. 申请人，申请者；请求者
applicable,adj. 可适用的；可应用的；合适的
applied,"v. 应用；实施（apply的过去分词）；敷上
adj. 应用的；实用的"
insect,n. 昆虫；卑鄙的人
insect,n. 昆虫；卑鄙的人
section,"n. 截面；部分；部门；地区；章节
vt. 把…分段；将…切片；对…进行划分
vi. 被切割成片；被分成部分"
intersection,n. 交叉；十字路口；交集；交叉点
sector,"n. 部门；扇形，扇区；象限仪；函数尺
vt. 把…分成扇形"
segment,"n. 段；部分
vt. 分割
vi. 分割"
segmentation,n. 分割；割断；细胞分裂
term,"n. 术语；学期；期限；条款；(代数式等的)项
vt. 把…叫做"
term,"n. 术语；学期；期限；条款；(代数式等的)项
vt. 把…叫做"
determine,"v. （使）下决心，（使）做出决定
vt. 决定，确定；判定，判决；限定
vi. 确定；决定；判决，终止；了结，终止，结束"
determination,n. 决心；果断；测定
terminal,"n. 末端；终点；终端机；极限
adj. 末端的；终点的；晚期的"
terminate,"vt. 使终止；使结束；解雇
adj. 结束的
vi. 结束，终止；结果"
term,"n. 术语；学期；期限；条款；(代数式等的)项
vt. 把…叫做"
complete,"adj. 完整的；完全的；彻底的
vt. 完成"
complete,"adj. 完整的；完全的；彻底的
vt. 完成"
completely,adv. 完全地，彻底地；完整地
completion,n. 完成，结束；实现
complement,"n. 补语；余角；补足物
vt. 补足，补助"
complementary,adj. 补足的，补充的
compliment,"n. 恭维；称赞；问候；致意；道贺
vt. 恭维；称赞"
comply,vi. 遵守；顺从，遵从；答应
supplement,"vt. 增补，补充
n. 增补，补充；补充物；增刊，副刊"
supplementary,"n. 补充者；增补物
adj. 补充的；追加的"
supply,"n. 供给，补给；供应品
vt. 供给，提供；补充
vi. 供给；替代"
accomplish,vt. 完成；实现；达到
implement,"n. 工具，器具；手段
vt. 实施，执行；实现，使生效"
assist,"n. 帮助；助攻
vi. 参加；出席
vt. 帮助；促进"
assist,"n. 帮助；助攻
vi. 参加；出席
vt. 帮助；促进"
consist,vi. 由…组成；在于；符合
consistent,adj. 始终如一的，一致的；坚持的
consistency,n.  一致性；稠度；相容性
exist,vi. 存在；生存；生活；继续存在
existence,n. 存在，实在；生存，生活；存在物，实在物
coexistence,n. 共存；和平共处；并立
insist,"vi. 坚持，强调
vt. 坚持，强调"
persist,"vi. 存留，坚持；持续，固执
vt. 坚持说，反复说"
persistence,n. 持续；固执；存留；坚持不懈；毅力
persistent,adj. 固执的，坚持的；持久稳固的
resist,"n.  抗蚀剂；防染剂
vt. 抵抗；忍耐，忍住
vi. 抵抗，抗拒；忍耐"
resistance,n. 阻力；电阻；抵抗；反抗；抵抗力
resistant,"n. 抵抗者
adj. 抵抗的，反抗的；顽固的"
resistor,n.  电阻器
transistor,n. 晶体管（收音机）
alter,"vt. 改变，更改
vi. 改变；修改"
alter,"vt. 改变，更改
vi. 改变；修改"
alternate,"n. 替换物
adj. 交替的；轮流的
vt. 使交替；使轮流
vi. 交替；轮流"
alternative,"n. 二中择一；供替代的选择
adj. 供选择的；选择性的；交替的"
alien,"n. 外国人，外侨；外星人
adj. 外国的；相异的，性质不同的；不相容的
vt. 让渡，转让"
alienate,vt. 使疏远，离间；让与
appear,vi. 出现；显得；似乎；出庭；登场
appear,vi. 出现；显得；似乎；出庭；登场
appearance,n. 外貌，外观；出现，露面
disappear,"vi. 消失；失踪；不复存在
vt. 使…不存在；使…消失"
apparent,adj. 显然的；表面上的
transparent,adj. 透明的；显然的；坦率的；易懂的
proceed,"vi. 开始；继续进行；发生；行进
n. 收入，获利"
proceed,"vi. 开始；继续进行；发生；行进
n. 收入，获利"
procession,"n. 队伍，行列；一列，一排；列队行进
vt. 沿著……行进
vi. 列队行进"
process,"n. 过程，进行；方法，步骤；作用；程序；推移
adj. 经过特殊加工（或处理）的
vt. 处理；加工
vi. 列队前进"
procedure,n. 程序，手续；步骤
proceeding,"n. 进行；程序；诉讼；事项
v. 开始；继续做；行进（proceed的ing形式）"
precede,"vt. 领先，在…之前；优于，高于
vi. 领先，在前面"
precedent,"n. 先例；前例
adj. 在前的；在先的"
preceding,"v. 在...之前（precede的ing形式）
adj. 在前的；前述的"
exceed,"vt. 超过；胜过
vi. 超过其他"
excess,"n. 超过，超额；过度，过量；无节制
adj. 额外的，过量的；附加的"
excessive,adj. 过多的，极度的；过分的
excessively,adv. 过分地；极度
exceeding,"v. 超过；占优势（exceed的ing形式）
adj. 超越的；非常的；过度的"
exceedingly,adv. 非常；极其；极度地；极端
concede,"vi. 让步
vt. 承认；退让；给予，容许"
concession,n. 让步；特许（权）；承认；退位
accede,vi. 加入；同意；就任
accession,"n. 增加；就职；到达
vt. 登记入册"
recede,"vi. 后退；减弱
vt. 撤回"
recession,n. 衰退；不景气；后退；凹处
recess,"n. 休息；休会；凹处
vt. 使凹进；把…放在隐蔽处
vi. 休息；休假"
access,"n. 进入；使用权；通路
vt. 使用；存取；接近"
accessory,"n. 配件；附件； 从犯
adj. 副的；同谋的；附属的"
predecessor,n. 前任，前辈
come,"vi. 来；开始；出现；发生；变成；到达
vt. 做；假装；将满（…岁）
int. 嗨！"
come,"vi. 来；开始；出现；发生；变成；到达
vt. 做；假装；将满（…岁）
int. 嗨！"
income,n. 收入，收益；所得
outcome,n. 结果，结局；成果
overcome,"vt. 克服；胜过
vi. 克服；得胜"
upcoming,adj. 即将来临的
estimate,"n. 估计，估价；判断，看法
vt. 估计，估量；判断，评价
vi. 估计，估价"
estimate,"n. 估计，估价；判断，看法
vt. 估计，估量；判断，评价
vi. 估计，估价"
estimation,n. 估计；尊重
overestimate,"vt. 对……评价过高；对……估计过高
n. 估计过高；评价过高；出价过高
vi. 估计过高；评价过高"
underestimate,"n. 低估
vt. 低估；看轻"
esteem,"n. 尊重；尊敬
vt. 尊敬；认为；考虑；估价"
away,adv. 离去，离开；在远处
break away,"v. 逃脱；突然离开；突然离去；挣脱
 脱离；逃跑；摆脱"
get away,"na. 逃脱；出发；把…送出
 离开；逃离；逃跑"
pass away,"na. 消失；Vi. 经过；去；终止
 去世；逝世；过世"
give away,"na. 赠送；分发；放弃；露马脚
 泄露；出卖；分送"
take away,"adj. 买回去的
 拿走；带走；外带"
do away with,"na. 废除；干掉
 去掉；除去；消灭"
put away,"v. 把…收起来；储存
 放好；把……收起来；收好"
burn away,"na. 继续燃烧；(渐渐)消灭；烧完；烧落
 烧掉；燃烧没了；烧尽"
case,"n. 情况；实例；箱
vt. 包围；把…装于容器中"
share,"n. 份额；股份
vt. 分享，分担；分配
vi. 共享；分担"
string,n. 线，弦，细绳；一串，一行
list,"n.  列表；清单；目录
vi. 列于表上
vt. 列出；记入名单内"
taste,"n. 味道；品味；审美
vt. 尝；体验
vi. 尝起来；有…的味道"
opening,"n. 开始；机会；通路；空缺的职位
adj. 开始的
v. 开放（open的ing形式）；打开；公开"
cheap,"adj. 便宜的；小气的；不值钱的
adv. 便宜地"
tap,"n. 水龙头；轻打
vt. 轻敲；轻打；装上嘴子
vi. 轻拍；轻击；轻叩
vt. 采用，利用"
light,"n. 光；光线；灯；打火机；领悟；浅色；天窗
adj. 轻的；浅色的；明亮的；轻松的；容易的；清淡的
vi. 点着；变亮；着火
vt. 照亮；点燃；着火
adv. 轻地；清楚地；轻便地"
chance,"n. 机会，际遇；运气，侥幸；可能性
vt. 偶然发生；冒……的险
vi. 碰巧；偶然被发现"
swim,"n. 游泳；漂浮；眩晕
adj. 游泳时穿戴的
vi. 游泳；漂浮；浸；眩晕
vt. 游过；使浮起"
lever,"n. 杠杆；控制杆
vt. 用杠杆撬动；把…作为杠杆
vi. 用杠杆撬"
library,n. 图书馆，藏书室；文库
surprise,"n. 惊奇，诧异；突然袭击
adj. 令人惊讶的
vt. 使惊奇；奇袭"
leave,"vt. 离开；留下；遗忘；委托
vi. 离开，出发；留下
n. 许可，同意；休假"
buy,"n. 购买，买卖；所购的物品
vi. 买，采购
vt. 购买；获得；贿赂"
summit,"n. 顶点；最高级会议；最高阶层
adj. 最高级的；政府首脑的"
kiss,"vt. 吻；（风等）轻拂
vi. 接吻；（风等）轻触
n. 吻；轻拂"
build,"n. 构造；体形；体格
vi. 建筑；建造
vt. 建立；建筑"
strong,"adj. 坚强的；强壮的；牢固的；擅长的
adv. 强劲地；猛烈地"
keep,"vt. 保持；经营；遵守；饲养
vi. 保持；继续不断
n. 保持；生计；生活费"
streamline,"n. 流线；流线型
vt. 把…做成流线型；使现代化；组织；使合理化；使简单化
adj. 流线型的"
jump,"n. 跳跃；暴涨；惊跳
vt. 跳跃；使跳跃；跳过；突升
vi. 跳跃；暴涨；猛增"
jungle,"n. 丛林，密林；危险地带
adj. 丛林的；蛮荒的"
bread,"n. 面包；生计
vt. 在…上洒面包屑"
story,"n. 故事；小说；新闻报道；来历；假话
vt. 用历史故事画装饰
vi. 说谎"
invade,"vt. 侵略；侵袭；侵扰；涌入
vi. 侵略；侵入；侵袭；侵犯"
brake,"n. 闸，刹车；阻碍
vt. 刹车
vi. 刹车"
advance,"n. 发展；前进；增长；预付款
adj. 预先的；先行的
vt. 提出；预付；使……前进；将……提前
vi. 前进；进展；上涨"
readily,adv. 容易地；乐意地；无困难地
possess,vt. 控制；使掌握；持有；迷住；拥有，具备
possess,vt. 控制；使掌握；持有；迷住；拥有，具备
possession,n. 拥有；财产；领地；自制；着迷
possessor,n. 持有人；所有人
assess,vt. 评定；估价；对…征税
raise,"n. 高地；上升；加薪
vt. 提高；筹集；养育；升起
vi. 上升"
raise,"n. 高地；上升；加薪
vt. 提高；筹集；养育；升起
vi. 上升"
rise,"n. 上升；高地；增加；出现
vt. 使…飞起；使…浮上水面
vi. 上升；增强；起立；高耸"
arise,vi. 出现；上升；起立
rouse,"n. 觉醒；奋起
vt. 唤醒；激起，使振奋；惊起
vi. 醒来；奋起"
arouse,"vt. 引起；唤醒；鼓励
vi. 激发；醒来；发奋"
revolution,n. 革命；旋转；运行；循环
revolution,n. 革命；旋转；运行；循环
revolutionary,"n. 革命者
adj. 革命的；旋转的；大变革的"
revolt,"n. 反抗；叛乱；反感
vt. 使反感；使恶心
vi. 反抗；反叛；反感，厌恶"
revolve,"n. 旋转；循环；旋转舞台
vt. 使…旋转；使…循环；反复考虑
vi. 旋转；循环出现；反复考虑"
revolver,n. 左轮手枪；旋转器
evolve,"vi. 发展，进展；进化；逐步形成
vt. 发展，进化；进化；使逐步形成；推断出"
evolution,n. 演变；进化论；进展
involve,vt. 包含；牵涉；使陷于；潜心于
involved,"v. 涉及；使参与；包含（involve的过去式和过去分词）
adj. 有关的；卷入的；复杂的"
volume,"n. 量；体积；卷；音量；大量；册
adj. 大量的
vt. 把…收集成卷
vi. 成团卷起"
tailor,"n. 裁缝
vt. 剪裁；使合适
vi. 做裁缝"
tailor,"n. 裁缝
vt. 剪裁；使合适
vi. 做裁缝"
detail,"n. 细节，详情
vt. 详述；选派
vi. 画详图"
entail,"vt. 使需要，必需；承担；遗传给；蕴含
n. 引起；需要；继承"
retail,"n. 零售
adj. 零售的
vt. 零售；转述
adv. 以零售方式
vi. 零售"
compel,vt. 强迫，迫使；强使发生
compel,vt. 强迫，迫使；强使发生
compulsion,n. 强制；强迫；强制力
compulsory,"n. （花样滑冰、竞技体操等的）规定动作
adj. 义务的；必修的；被强制的"
expel,vt. 驱逐；开除
propel,vt. 推进；驱使；激励；驱策
propeller,n.  螺旋桨；推进器
repel,vt. 击退；抵制；使厌恶；使不愉快
impulse,"n. 冲动； 脉冲；刺激；神经冲动；推动力
vt. 推动"
pulse,"n.  脉冲；脉搏
vt. 使跳动
vi. 跳动，脉跳"
visit,"n. 访问；参观；逗留
vt. 访问；参观；视察
vi. 访问；暂住；闲谈"
visit,"n. 访问；参观；逗留
vt. 访问；参观；视察
vi. 访问；暂住；闲谈"
visible,"n. 可见物；进出口贸易中的有形项目
adj. 明显的；看得见的；现有的；可得到的"
invisible,adj. 无形的，看不见的；无形的；不显眼的，暗藏的
visibility,n. 能见度，可见性；能见距离；明显性
