apply,"vi. 申请；涂，敷；适用；请求
vt. 申请；涂，敷；应用"
scorn,"n. 轻蔑；嘲笑；藐视的对象
vt. 轻蔑；藐视；不屑做
vi. 表示轻蔑；表示鄙视"
tease,"vt. 取笑；戏弄；梳理；欺负；强求；使起毛
n. 戏弄；爱纠缠的小孩；挑逗者；卖弄风骚的女孩
vi. 取笑"
sneer,"vi. 嘲笑，冷笑
vt. 嘲笑，冷笑
n. 嘲笑，冷笑"
disgust,"n. 厌恶，嫌恶
vt. 使厌恶；使作呕"
wrath,n. 愤怒；激怒
ruffle,"n. 皱褶；生气；混乱；连续轻敲声
vi. 起皱；烦恼；连续地轻敲
vt. 弄皱；触怒；扰乱；迅速翻动"
annoy,"n. 烦恼（等于annoyance）
vt. 骚扰；惹恼；打搅
vi. 惹恼；令人讨厌；打搅"
bellow,"n. 吼叫声；轰鸣声
vi. 吼叫；怒吼；咆哮
vt. 大声喊叫；大声发出"
amazement,n. 惊异；惊愕
shatter,"n. 碎片；乱七八糟的状态
vt. 粉碎；打碎；破坏；破掉；使散开
vi. 粉碎；损坏；落叶"
stagger,"n. 蹒跚；交错安排
vt. 蹒跚；使交错；使犹豫
adj. 交错的；错开的
vi. 蹒跚；犹豫"
startle,"n. 惊愕；惊恐
vt. 使吓一跳；使惊奇
vi. 惊吓；惊跳；惊奇"
stun,"n. 昏迷；打昏；惊倒；令人惊叹的事物
vt. 使震惊；打昏；给以深刻的印象"
terrify,vt. 恐吓；使恐怖；使害怕
panic,"n. 恐慌，惊慌；大恐慌
adj. 恐慌的；没有理由的
vt. 使恐慌
vi. 十分惊慌"
appal,"vt. 使惊骇；惊吓
vi. 减弱；变得苍白；令人发腻"
appall,vt. 使胆寒；使惊骇
awe,"n. 敬畏
vt. 使敬畏；使畏怯"
perplex,vt. 使困惑，使为难；使复杂化
baffle,"n. 挡板；困惑
vt. 使…困惑；使…受挫折；用挡板控制
vi. 做徒劳挣扎"
bewilder,vt. 使迷惑，使不知所措
uncomfortable,adj. 不舒服的；不安的
weary,"adj. 疲倦的；厌烦的；令人厌烦的
vt. 使疲倦；使厌烦
vi. 疲倦；厌烦"
anxiety,n. 焦虑；渴望；挂念；令人焦虑的事
afflict,vt. 折磨；使痛苦；使苦恼
agony,n. 苦恼；极大的痛苦；临死的挣扎
dismay,"n. 沮丧，灰心；惊慌
vt. 使沮丧；使惊慌"
distress,"n. 危难，不幸；贫困；悲痛
vt. 使悲痛；使贫困"
dread,"n. 恐惧；可怕的人（或物）
vt. 惧怕；担心
adj. 可怕的
vi. 惧怕；担心"
desperate,adj. 不顾一切的；令人绝望的；极度渴望的
degenerate,"n. 堕落的人
adj. 退化的；堕落的
vi. 退化；堕落
vt. 使退化；恶化"
alarm,"n. 闹钟；警报，警告器；惊慌
vt. 警告；使惊恐"
remorse,n. 懊悔；同情
embarrass,vt. 使局促不安；使困窘；阻碍
hesitate,"vt. 踌躇，犹豫；有疑虑，不愿意
vi. 踌躇，犹豫；不愿"
falter,"n. 踌躇；支吾；颤抖
vi. 支吾；蹒跚地走
vt. 支吾地说；结巴地讲出"
frustrate,"vt. 挫败；阻挠；使感到灰心
adj. 挫败的；无益的
vi. 失败；受挫"
impatient,adj. 焦躁的；不耐心的
grudge,"n. 怨恨；恶意；妒忌
vt. 怀恨；吝惜；妒忌；不情愿做"
grumble,"n. 怨言
adv. 抱怨地表示；嘟囔地说
vi. 抱怨；嘟囔
vt. 喃喃地说出"
hatred,n. 憎恨；怨恨；敌意
malice,n. 恶意；怨恨；预谋
resent,vt. 怨恨；愤恨；厌恶
neglect,"vt. 疏忽，忽视；忽略
n. 疏忽，忽视；怠慢"
overlook,"vt. 忽略；俯瞰；远眺；检查；高耸于…之上
n. 忽视；眺望"
frantic,adj. 狂乱的，疯狂的
furious,adj. 激烈的；狂怒的；热烈兴奋的；喧闹的
fury,n. 狂怒；暴怒；激怒者
flare,"n. 加剧，恶化；底部展开；（鼻孔）张开的意思；闪光，闪耀；耀斑；爆发；照明弹
vi. 闪耀，闪光；燃烧；突然发怒
vt. 使闪耀；使张开；用发光信号发出；使外倾"
irritate,"vt. 刺激，使兴奋；激怒
vi. 引起恼怒，引起不愉快"
indignant,adj. 愤愤不平的；义愤的
outrage,"n. 愤怒，愤慨；暴行；侮辱
vt. 凌辱，强奸；对…施暴行；激起愤怒"
scoff,"n. 嘲笑；愚弄；笑柄
vt. 嘲笑；嘲弄；贪婪地吃
vi. 嘲笑；嘲弄；狼吞虎咽"
hysterical,adj. 歇斯底里的；异常兴奋的
humiliate,vt. 羞辱；使…丢脸；耻辱
gloom,n. 昏暗；阴暗
gloomy,adj. 黑暗的；沮丧的；阴郁的
greed,n. 贪婪，贪心
grief,n. 悲痛；忧伤；不幸
grieve,"vi. 悲痛，哀悼
vt. 使悲伤，使苦恼"
groan,"n. 呻吟；叹息；吱嘎声
vt. 呻吟；抱怨
vi. 呻吟；抱怨；发吱嘎声"
mourn,v. 哀悼；忧伤；服丧
misgiving,"n. 担忧；疑虑；不安
v. 担忧；使…疑虑；害怕（misgive的ing形式）"
numb,"vt. 使麻木；使发愣；使失去感觉
adj. 麻木的；发愣的"
arouse,"vt. 引起；唤醒；鼓励
vi. 激发；醒来；发奋"
assert,vt. 维护，坚持；断言；主张；声称
conscious,adj. 意识到的；故意的；神志清醒的
console,"n.  控制台； 操纵台
vt. 安慰；慰藉"
embed,vt. 栽种；使嵌入，使插入；使深留脑中
loom,"n. 织布机；若隐若现的景象
vi. 可怕地出现；朦胧地出现；隐约可见
vt. 在织布机上织"
emotion,n. 情感；情绪
envisage,vt. 正视，面对；想像
fantasy,"n. 幻想；白日梦；幻觉
adj. 虚幻的
vt. 空想；想像
vi. 耽于幻想；奏幻想曲（等于phantasy）"
illusion,n. 幻觉，错觉；错误的观念或信仰
extinguish,vt. 熄灭；压制；偿清
given,"prep. 考虑到
v. 给予（give的过去分词）
adj. 赠予的；沉溺的；规定的"
preoccupy,vt. 迷住；使全神贯注
overwhelm,vt. 淹没；压倒；受打击；覆盖；压垮
instinct,"n. 本能，直觉；天性
adj. 充满着的"
intuition,n. 直觉；直觉力；直觉的知识
sensation,n. 感觉；轰动；感动
temper,"n. 脾气；（钢等）回火；性情；倾向
vt. 使回火；锻炼；调和；使缓和
vi. 回火；调和"
intense,adj. 强烈的；紧张的；非常的；热情的
overt,adj. 明显的；公然的；蓄意的
intercourse,n. 性交；交往；交流
mutual,adj. 共同的；相互的，彼此的
notion,n. 概念；见解；打算
overcome,"vt. 克服；胜过
vi. 克服；得胜"
propel,vt. 推进；驱使；激励；驱策
recall,"n. 召回；回忆；撤消
vt. 召回；回想起，记起；取消"
refrain,"n. 叠句，副歌；重复
vi. 节制，克制；避免；制止"
restrain,vt. 抑制，控制；约束；制止
summon,vt. 召唤；召集；鼓起；振作
recognition,n. 识别；承认，认出；重视；赞誉；公认
acknowledge,vt. 承认；答谢；报偿；告知已收到
affirm,"vt. 肯定；断言
vi. 确认；断言"
allege,vt. 宣称，断言；提出…作为理由
confirm,vt. 确认；确定；证实；批准；使巩固
emphasis,n. 重点；强调；加强语气
emphasize,vt. 强调，着重
highlight,"n. 最精彩的部分；最重要的事情；加亮区
vt. 突出；强调；使显著；加亮"
profound,adj. 深厚的；意义深远的；渊博的
optimistic,adj. 乐观的；乐观主义的
identify,vt. 确定；鉴定；识别，辨认出；使参与；把…看成一样 vi. 确定；认同；一致
incline,"n. 倾斜；斜面；斜坡
vt. 使倾斜；使倾向于
vi. 倾斜；倾向；易于"
grant,"n. 拨款； 授予物
vt. 授予；允许；承认
vi. 同意"
consent,"n. 同意；（意见等的）一致；赞成
vi. 同意；赞成；答应"
apology,n. 道歉；谢罪；辩护；勉强的替代物
profess,"vt. 自称；公开表示；宣称信奉；正式准予加入
vi. 声称；承认；当教授"
preferable,adj. 更好的，更可取的；更合意的
commend,"vt. 推荐；称赞；把…委托
vi. 称赞；表扬"
acceptance,n. 接纳；赞同；容忍
appreciation,n. 欣赏，鉴别；增值；感谢
approve,"vi. 批准；赞成；满意
vt. 批准；赞成；为…提供证据"
acclaim,"n. 欢呼，喝彩；称赞
vt. 称赞；为…喝彩，向…欢呼
vi. 欢呼，喝彩"
applaud,"vt. 赞同；称赞；向…喝彩
vi. 喝彩；鼓掌欢迎"
harmony,n. 协调；和睦；融洽；调和
adhere,"vi. 坚持；依附；粘着；追随
vt. 使粘附"
certainty,n. 必然；确实；确实的事情
definitely,adv. 清楚地，当然；明确地，肯定地
doubtless,"adj. 无疑的；确定的
adv. 无疑地；确定地；大概，多半"
consensus,n. 一致；舆论；合意
prone,adj. 俯卧的；有…倾向的，易于…的
pledge,"n. 保证，誓言；抵押；抵押品，典当物
vt. 保证，许诺；用……抵押；举杯祝……健康"
prevail,vi. 盛行，流行；战胜，获胜
persuasion,n. 说服；说服力；信念；派别
convince,vt. 说服；使确信，使信服
permissible,adj. 可允许的；获得准许的
susceptible,"n. 易得病的人
adj. 易受影响的；易感动的；容许…的"
refusal,n. 拒绝；优先取舍权；推却；取舍权
deny,"vi. 否认；拒绝
vt. 否定，否认；拒绝给予；拒绝…的要求"
denial,n. 否认；拒绝；节制；背弃
reject,"n. 被弃之物或人；次品
vt. 拒绝；排斥；抵制；丢弃"
disapprove,"vi. 不赞成；不喜欢
vt. 不赞成；不同意"
protest,"n. 抗议
adj. 表示抗议的；抗议性的
vt. 抗议；断言
vi. 抗议；断言"
paradox,n. 悖论，反论；似非而是的论点；自相矛盾的人或事
pathetic,adj. 可怜的，悲哀的；感伤的；乏味的
prejudice,"n. 偏见；侵害
vt. 损害；使有偏见"
retort,"n. 反驳，顶嘴；曲颈瓶
vi. 反驳，回嘴
vt. 反驳，反击"
refute,vt. 反驳，驳斥；驳倒
rebuke,"n. 非难，指责；谴责，鞭策
vt. 指责，非难；制止；使相形见绌"
denounce,vt. 谴责；告发；公然抨击；通告废除
reproach,"n. 责备；耻辱
vt. 责备；申斥"
complain,"vi. 投诉；发牢骚；诉说
vt. 抱怨；控诉"
irony,"n. 讽刺；反语；具有讽刺意味的事
adj. 铁的；似铁的"
criticize,"vi. 批评；评论；苛求
vt. 批评；评论；非难"
criticism,n. 批评；考证；苛求
critical,adj. 鉴定的； 临界的；批评的，爱挑剔的；危险的；决定性的；评论的
brag,"n. 吹牛，自夸
vi. 吹牛，自夸
vt. 吹牛，吹嘘"
concede,"vi. 让步
vt. 承认；退让；给予，容许"
scandal,n. 丑闻；流言蜚语；诽谤；公愤
absurd,"n. 荒诞；荒诞作品
adj. 荒谬的；可笑的"
ridiculous,adj. 可笑的；荒谬的
shrug,"n. 耸肩
vi. 耸肩
vt. 耸肩，耸肩表示"
casual,"n. 便装；临时工人；待命士兵
adj. 随便的；非正式的；临时的；偶然的"
disregard,"n. 忽视；不尊重
vt. 忽视；不理；漠视；不顾"
slight,"n. 怠慢；轻蔑
adj. 轻微的，少量的；脆弱的；细长的；不重要的
vt. 轻视，忽略；怠慢"
contempt,n. 轻视，蔑视；耻辱
despise,vt. 轻视，鄙视
suspicion,"n. 怀疑；嫌疑；疑心；一点儿
vt. 怀疑"
skeptical,adj. 怀疑的；怀疑论的，不可知论的
cynical,adj. 愤世嫉俗的；冷嘲的
dubious,adj. 可疑的；暧昧的；无把握的；半信半疑的
compel,vt. 强迫，迫使；强使发生
controversial,adj. 有争议的；有争论的
controversy,n. 争论；论战；辩论
negative,"adj.  负的；消极的；否定的；阴性的
n. 否定；负数； 底片
vt. 否定；拒绝"
objection,n. 异议，反对；缺陷，缺点；妨碍；拒绝的理由
oppose,"vt. 反对；对抗，抗争
vi. 反对"
friction,n. 摩擦， 摩擦力
incompatible,"n. 互不相容的人或事物
adj. 不相容的；矛盾的；不能同时成立的"
minimize,"vt. 使减到最少；小看，极度轻视
vi. 最小化"
indifferent,adj. 漠不关心的；无关紧要的；中性的，中立的
mock,"n. 英国模拟考试（mocks）
vt. 愚弄，嘲弄
adj. 仿制的，模拟的，虚假的，不诚实的
vt. 不尊重，蔑视"
lash,"vt. 鞭打；冲击；摆动；扎捆；煽动；讽刺
vi. 鞭打；猛击；急速甩动
n. 鞭打；睫毛；鞭子；责骂；讽刺"
attitude,n. 态度；看法；意见；姿势
posture,"n. 姿势；态度；情形
vt. 作…的姿势
vi. 摆姿势"
standpoint,n. 立场；观点
perspective,"n. 观点；远景；透视图
adj. 透视的"
sentiment,n. 感情，情绪；情操；观点；多愁善感
mentality,n. 心态； 智力；精神力；头脑作用
subjective,adj. 主观的；个人的；自觉的
assess,vt. 评定；估价；对…征税
reckon,"vi. 估计；计算；猜想，料想
vt. 测算，估计；认为；计算"
anticipate,vt. 预期，期望；占先，抢先；提前使用
reflect,"vt. 反映；反射，照出；表达；显示;反省
vi. 反射，映现；深思"
ponder,"vi. 考虑；沉思
vt. 仔细考虑；衡量"
reaction,n. 反应，感应；反动，复古；反作用
respond,"n. 应答；唱和
vi. 回答；作出反应；承担责任
vt. 以…回答"
response,n. 响应；反应；回答
convey,vt. 传达；运输；让与
ascertain,vt. 确定；查明；探知
ascribe,vt. 归因于；归咎于
attribute,"n. 属性；特质
vt. 归属；把…归于"
assumption,n. 假定；设想；担任；采取
perception,n. 知觉； 感觉；看法；洞察力；获取
aware,adj. 意识到的；知道的；有…方面知识的；懂世故的
predict,"vi. 作出预言；作预料，作预报
vt. 预报，预言；预知"
contention,n. 争论，争辩；争夺；论点
proposition,"n.  命题；提议；主题；议题
vt. 向…提议；向…求欢"
deem,"vt. 认为，视作；相信
vi. 认为，持某种看法；作某种评价"
detail,"n. 细节，详情
vt. 详述；选派
vi. 画详图"
probability,n. 可能性；机率； 或然率
presume,"vi. 相信；擅自行为
vt. 假定；推测；擅自；意味着"
comment,"n. 评论；意见；批评
vi. 发表评论；发表意见
vt. 为…作评语"
visualize,"vt. 形象，形象化；想像，设想
vi. 显现"
signify,"vt. 表示；意味；预示
vi. 有重要性；要紧；冒充内行"
vision,"n. 视力；美景；眼力；幻象；想象力；幻视（漫威漫画旗下超级英雄）
vt. 想象；显现；梦见"
estimate,"n. 估计，估价；判断，看法
vt. 估计，估量；判断，评价
vi. 估计，估价"
underestimate,"n. 低估
vt. 低估；看轻"
evaluate,"vt. 评价；估价；求…的值
vi. 评价；估价"
insight,n. 洞察力；洞悉
implication,n. 含义；暗示；牵连，卷入；可能的结果，影响
imply,vt. 意味；暗示；隐含
implicit,adj. 含蓄的；暗示的；盲从的
neutral,"adj. 中立的，中性的；中立国的；非彩色的
n. 中立国；中立者；非彩色；齿轮的空档"
objective,"adj. 客观的；目标的；宾格的
n. 目的；目标； 物镜；宾格"
doom,"n. 厄运；死亡；判决；世界末日
vt. 注定；判决；使失败"
character,"n. 性格，品质；特性；角色； 字符
vt. 印，刻；使具有特征"
trait,n. 特性，特点；品质；少许
temperament,n. 气质，性情，性格；急躁
appearance,n. 外貌，外观；出现，露面
external,"n. 外部；外观；外面
adj. 外部的；表面的； 外用的；外国的；外面的"
outward,"adj. 向外的；外面的；公开的；外服的；肉体的
adv. 向外（等于outwards）；在外；显而易见地
n. 外表；外面；物质世界"
complexion,"n. 肤色；面色；情况；局面
vt. 使增添色彩"
tan,"vi. 晒成棕褐色
adj. 黄褐色的；鞣皮的
n. （日晒后皮肤的）黝黑色；棕褐色；鞣料；马戏团
vt. 鞣（革）；晒成褐色"
wrinkle,"n. 皱纹
vi. 起皱
vt. 使起皱纹"
skull,n. 头盖骨，脑壳
fringe,"n. 边缘；穗；刘海
adj. 边缘的；附加的
vt. 加穗于"
thigh,n. 大腿，股
heel,"n. 脚后跟；踵
vt. 倾侧
vi. 倾侧"
dual,"n. 双数；双数词
adj. 双的；双重的"
stout,"n. 矮胖子；烈性啤酒
adj. 结实的；矮胖的；勇敢的；激烈的"
feminine,adj. 女性的；妇女（似）的；阴性的；娇柔的
blush,"n. 脸红；红色；羞愧
vt. 红著脸表示；使成红色
vi. 脸红；感到惭愧"
flush,"n. 激动，洋溢；面红；萌芽；旺盛；奔流
adj. 大量的；齐平的；丰足的，洋溢的；挥霍的
vt. 使齐平；发红，使发亮；用水冲洗；使激动
vi. 发红，脸红；奔涌；被冲洗"
radiant,"n. 光点；发光的物体
adj. 辐射的；容光焕发的；光芒四射的"
robust,adj. 强健的；健康的；粗野的；粗鲁的
muscular,adj. 肌肉的；肌肉发达的；强健的
sturdy,"n. 羊晕倒病
adj. 坚定的；强健的；健全的"
vital,adj. 至关重要的；生死攸关的；有活力的
frail,"n. 灯心草篓；少妇；少女
adj. 脆弱的；虚弱的"
feeble,adj. 微弱的，无力的；虚弱的；薄弱的
fatigue,"n. 疲劳，疲乏；杂役
adj. 疲劳的
vt. 使疲劳；使心智衰弱
vi. 疲劳"
limp,"adj. 柔软的，无力的；软弱的
vi. 跛行，一拐一拐地走；缓慢费力地前进
n. 跛行"
shabby,adj. 破旧的；卑鄙的；吝啬的；低劣的
ragged,adj. 衣衫褴褛的；粗糙的；参差不齐的；锯齿状的；刺耳的；不规则的
vulgar,"n. 平民，百姓
adj. 粗俗的；通俗的；本土的"
ancient,"n. 古代人；老人
adj. 古代的；古老的，过时的；年老的"
shortsighted,adj. 目光短浅的；近视的
hoarse,"adj. 嘶哑的
嘶哑地"
blink,"n. 眨眼；瞬间；闪光
vt. 眨眼；使…闪烁
vi. 眨眼；闪烁"
wink,"n. 眨眼；使眼色；闪烁；瞬间
vt. 眨眼
vi. 眨眼；使眼色；闪烁"
yell,"n. 喊声，叫声
vi. 大叫，叫喊
vt. 喊叫着说"
stumble,"n. 绊倒；蹒跚而行
vi. 踌躇，蹒跚；失足；犯错
vt. 使…困惑；使…绊倒"
sneak,"n. 鬼鬼祟祟的人；偷偷摸摸的行为；告密者
adj. 暗中进行的
vi. 溜；鬼鬼祟祟做事；向老师打小报告
vt. 偷偷地做；偷偷取得"
reel,"n. 蹒跚；眩晕；旋转
vt. 卷；使旋转
vi. 卷；眩晕；蹒跚地走；退缩"
stammer,"n. 口吃；结巴
vt. 口吃；结巴着说出
vi. 口吃；结结巴巴地说"
blurt,vt. 未加思索地冲口说出；突然说出
hum,"n. 嗡嗡声；哼声；杂声
vt. 用哼声表示
int. 哼；嗯
vi. 发低哼声"
mumble,"vt. 含糊地说；抿着嘴嚼
vi. 含糊地说话
n. 含糊的话；咕噜"
sniff,"vt. 嗅；闻；用力吸；发觉
vi. 嗅；嗤之以鼻
n. 吸，闻；嗤之以鼻；气味；以鼻吸气；吸气声"
puff,"n. 粉扑；泡芙；蓬松；一阵喷烟；肿块；吹嘘，宣传广告
vt. 喷出，张开；使膨胀；夸张；使骄傲自满
vi. 膨胀；张开；鼓吹；夸张"
gasp,"n. 喘气
vi. 喘气；喘息；渴望
vt. 气喘吁吁地说；喘着气说话"
inhale,"vt. 吸入；猛吃猛喝
vi. 吸气"
giggle,"n. 吃吃的笑
vt. 咯咯地笑着说
vi. 傻笑；咯咯地笑"
grin,"n. 露齿笑
v. 露齿而笑，咧着嘴笑"
glare,"n. 刺眼；耀眼的光；受公众注目
vt. 瞪视；发眩光
vi. 瞪眼表示"
peep,"n. 偷看；隐约看见，瞥见
vi. 窥视；慢慢露出，出现；吱吱叫
vt. 使出现"
gaze,"n. 凝视；注视
vi. 凝视；注视"
poke,"n. 戳；刺；袋子；懒汉
vt. 刺，捅；戳；拨开
vi. 刺，捅；戳；伸出；刺探；闲荡"
doze,"n. 瞌睡
vi. 打瞌睡；假寐
vt. 打瞌睡度过"
quiver,"n. 颤抖；箭袋；震动
vi. 颤抖；振动
vt. 使…颤动；抖动"
shudder,"n. 发抖；战栗；震动
vi. 发抖；战栗"
crouch,"n. 蹲伏
vt. 低头；屈膝
vi. 蹲伏，蜷伏；卑躬屈膝"
shove,"n. 推；挤
vt. 挤；强使；撞；猛推"
heave,"n. 举起；起伏；投掷；一阵呕吐
vt. 举起；使起伏；投掷；恶心；发出（叹息等）
vi. 起伏；举起；喘息；呕吐"
slap,"n. 掴；侮辱；掌击；拍打声
vt. 拍击；侮辱；掌击；掴…的耳光
vi. 掴；拍击
adv. 直接地；猛然地；恰好"
clutch,"n. 离合器；控制；手；紧急关头
vt. 抓住；紧握
adj. 没有手提带或背带的；紧要关头的
vi. 攫；企图抓住"
grip,"n. 紧握；柄；支配；握拍方式；拍柄绷带
vt. 紧握；夹紧
vi. 抓住"
flick,"n. 弹开；快速的轻打；轻打声
vt. 轻弹；忽然摇动；轻轻拂去
vi. 轻弹；忽然摇动；轻轻拂去"
fumble,"n. 摸索；笨拙的处理；漏球
vi. 摸索；笨拙地行动；漏球
vt. 摸索；笨拙地做；漏接"
hurl,"n. 用力的投掷
vt. 丢下；用力投掷；愤慨地说出
vi. 猛投；猛掷"
dodge,"n. 躲闪；托词
vi. 躲避，避开
vt. 躲避，避开
n. 道奇（汽车品牌）"
virtue,n. 美德；优点；贞操；功效
advantage,"n. 优势；利益；有利条件
vt. 有利于；使处于优势
vi. 获利"
prominent,adj. 突出的，显著的；杰出的；卓越的
eminent,adj. 杰出的；有名的；明显的
extraordinary,adj. 非凡的；特别的；离奇的；临时的；特派的
innate,adj. 先天的；固有的；与生俱来的
responsible,adj. 负责的，可靠的；有责任的
decent,adj. 正派的；得体的；相当好的
cordial,"n. 补品；兴奋剂；甜香酒，甘露酒
adj. 热忱的，诚恳的；兴奋的"
considerate,adj. 体贴的；体谅的；考虑周到的
naive,"adj. 天真的,幼稚的"
persevere,vi. 坚持；不屈不挠；固执己见（在辩论中）
persistent,adj. 固执的，坚持的；持久稳固的
vigorous,adj. 有力的；精力充沛的
decisive,adj. 决定性的；果断的，坚定的
initiative,"n. 主动权；首创精神
adj. 主动的；自发的；起始的"
promising,"v. 许诺，答应（promise的现在分词形式）
adj. 有希望的，有前途的"
courtesy,"n. 礼貌；好意；恩惠
adj. 殷勤的；被承认的；出于礼节的"
sober,"adj. 冷静的，清醒的；未醉的
vt. 使严肃；使醒酒，使清醒"
prudent,adj. 谨慎的；精明的；节俭的
wary,adj. 谨慎的；机警的；惟恐的；考虑周到的
caution,"n. 小心，谨慎；警告，警示
vt. 警告"
cautious,adj. 谨慎的；十分小心的
conscientious,adj. 认真的；尽责的；本着良心的；小心谨慎的
discreet,adj. 谨慎的；小心的
rigorous,adj. 严格的，严厉的；严密的；严酷的
receptive,adj. 善于接受的；能容纳的
alert,"n. 警戒，警惕；警报
adj. 警惕的，警觉的；留心的
vt. 警告；使警觉，使意识到"
shrewd,"n. 精明（的人）；机灵（的人）
adj. 精明的；狡猾的；机灵的"
slick,"n.  平滑器； 修光工具；通俗杂志
adj. 光滑的；华而不实的；聪明的；熟练的；老套的
adv. 灵活地；聪明地
vt. 使光滑；使漂亮
vi. 打扮整洁"
sociable,"n. 联谊会
adj. 社交的；好交际的；友善的"
straightforward,"adj. 简单的；坦率的；明确的；径直的
adv. 直截了当地；坦率地"
upright,"n. 垂直；竖立
adj. 正直的，诚实的；垂直的，直立的；笔直的；合乎正道的"
integrity,n. 完整；正直；诚实；廉正
impartial,adj. 公平的，公正的；不偏不倚的
dignity,n. 尊严；高贵
spontaneous,adj. 自发的；自然的；无意识的
strenuous,adj. 紧张的；费力的；奋发的；艰苦的；热烈的
rational,"n. 有理数
adj. 合理的；理性的"
sane,adj. 健全的；理智的； 神志正常的
purity,n.  纯度；纯洁；纯净；纯粹
stern,"n. 船尾；末端
adj. 严厉的；坚定的"
thrift,n. 节俭；节约； 海石竹
tolerant,adj. 宽容的；容忍的；有耐药力的
versatile,adj. 多才多艺的；通用的，万能的；多面手的
superiority,n. 优越，优势；优越性
surpass,vt. 超越；胜过，优于；非…所能办到或理解
revere,vt. 敬畏；尊敬；崇敬
confident,adj. 自信的；确信的
reliable,"n. 可靠的人
adj. 可靠的；可信赖的"
rely,vi. 依靠；信赖
credible,adj. 可靠的，可信的
mild,"adj. 温和的；轻微的；淡味的；文雅的；不含有害物质的的
n. （英国的一种）淡味麦芽啤酒"
obedient,adj. 顺从的，服从的；孝顺的
loyalty,n. 忠诚；忠心；忠实；忠于…感情
fidelity,n. 保真度；忠诚；精确；尽责
agreeable,adj. 令人愉快的；适合的；和蔼可亲的
benevolent,adj. 仁慈的；慈善的；亲切的
blunt,"adj. 钝的，不锋利的；生硬的；直率的
vt. 使迟钝"
aggressive,adj. 侵略性的；好斗的；有进取心的；有闯劲的
ambitious,adj. 野心勃勃的；有雄心的；热望的；炫耀的
aspiration,n. 渴望；抱负；送气；吸气；吸引术
apt,adj. 恰当的；有…倾向的；灵敏的
articulate,"adj. 发音清晰的；口才好的；有关节的
vt. 清晰地发（音）；明确有力地表达；用关节连接；使相互连贯
vi. 发音；清楚地讲话；用关节连接起来
n. 有节体的动物"
eloquent,adj. 意味深长的；雄辩的，有口才的；有说服力的；动人的
optimism,n. 乐观；乐观主义
elegant,adj. 高雅的，优雅的；讲究的；简炼的；简洁的
magnetic,adj. 地磁的；有磁性的；有吸引力的
generous,adj. 慷慨的，大方的；宽宏大量的；有雅量的
merciful,adj. 仁慈的；慈悲的；宽容的
genuine,adj. 真实的，真正的；诚恳的
humble,"adj. 谦逊的；简陋的；（级别或地位）低下的；不大的
vt. 使谦恭；轻松打败（尤指强大的对手）；低声下气"
modest,adj. 谦虚的，谦逊的；适度的；端庄的；羞怯的
bland,"adj. 乏味的；温和的；冷漠的
vt. 使…变得淡而无味；除掉…的特性
vi. 变得平淡无奇；丧失特性"
energetic,adj. 精力充沛的；积极的；有力的
brisk,"adj. 敏锐的，活泼的，轻快的；凛冽的
vt. 使……活泼；使……轻快；使……兴旺
vi. 活跃起来；变得轻快"
immortal,"n. 神仙；不朽人物
adj. 不朽的；神仙的；长生的"
hardy,"n. 强壮的人；耐寒植物；方柄凿
adj. 坚强的；勇敢的；能吃苦耐劳的；鲁莽的"
imaginative,adj. 富于想象的；有创造力的
informed,"v. 通知；使了解；提供资料（inform的过去分词）
adj. 消息灵通的；见多识广的"
passive,"n. 被动语态
adj. 被动的，消极的；被动语态的"
pessimistic,adj. 悲观的，厌世的；悲观主义的
sensitive,"adj. 敏感的；感觉的； 灵敏的；感光的；易受伤害的；易受影响的
n. 敏感的人；有灵异能力的人"
delicate,adj. 微妙的；精美的，雅致的；柔和的；易碎的；纤弱的；清淡可口的
awkward,adj. 尴尬的；笨拙的；棘手的；不合适的
mischief,n. 恶作剧；伤害；顽皮；不和
pretentious,adj. 自命不凡的；炫耀的；做作的
lofty,adj. 高的；崇高的；高级的；高傲的
arrogant,adj. 自大的，傲慢的
slippery,adj. 滑的；狡猾的；不稳定的
sophisticated,"adj. 复杂的；精致的；久经世故的；富有经验的
v. 使变得世故；使迷惑；篡改（sophisticate的过去分词形式）"
cunning,"n. 狡猾
adj. 狡猾的；巧妙的；可爱的"
sly,adj. 狡猾的；淘气的；诡密的
tact,n. 机智；老练；圆滑；鉴赏力
petty,adj. 琐碎的；小气的；小规模的
superficial,adj. 表面的；肤浅的 ；表面文章的；外表的；（人）浅薄的
acid,"n. 酸；<俚>迷幻药
adj. 酸的；讽刺的；刻薄的"
suspicious,adj. 可疑的；怀疑的；多疑的
naughty,adj. 顽皮的，淘气的；不听话的；没规矩的；不适当的；下流的
vanity,n. 虚荣心；空虚；浮华；无价值的东西
rash,"n.  皮疹；突然大量出现的事物
adj. 轻率的；鲁莽的；不顾后果的"
reckless,adj. 鲁莽的，不顾后果的；粗心大意的
abrupt,adj. 生硬的；突然的；唐突的；陡峭的
stubborn,adj. 顽固的；顽强的；难处理的
indiscriminately,adv. 不加选择地；任意地
timid,adj. 胆小的；羞怯的
ruthless,adj. 无情的，残忍的
savage,"n. 未开化的人；粗鲁的人；残暴成性的人
adj. 野蛮的；残酷的；狂怒的；荒凉的
vt. 乱咬；粗暴的对待"
brutal,adj. 残忍的；野蛮的，不讲理的
