code,"n. 代码，密码；编码；法典
vt. 编码；制成法典
vi. 指定遗传密码"
burn,"n. 灼伤，烧伤；烙印
vt. 燃烧；烧毁，灼伤；激起…的愤怒
vi. 燃烧；烧毁；发热"
cell,"n. 细胞；电池；蜂房的巢室；单人小室
vi. 住在牢房或小室中"
predict,"vi. 作出预言；作预料，作预报
vt. 预报，预言；预知"
liberty,n. 自由；许可；冒失
victimize,vt. 使受害；使牺牲；欺骗
identify,vt. 确定；鉴定；识别，辨认出；使参与；把…看成一样 vi. 确定；认同；一致
enrich,vt. 使充实；使肥沃；使富足
orchestra,n. 管弦乐队；乐队演奏处
suck,"n. 吮吸
vt. 吸吮；吸取
vi. 吸吮；糟糕；巴结"
basis,n. 基础；底部；主要成分；基本原则或原理
guarantee,"n. 保证；担保；保证人；保证书；抵押品
vt. 保证；担保"
molecule,n.  分子；微小颗粒，微粒
atmospheric,adj. 大气的，大气层的
skilled,adj. 熟练的；有技能的；需要技能的
clue,"n. 线索；（故事等的）情节
vt. 为…提供线索；为…提供情况"
newborn,"adj. 新生的；再生的
n. 婴儿"
vary,"vi. 变化；变异；违反
vt. 改变；使多样化；变奏"
smooth,"n. 平滑部分；一块平地
adj. 顺利的；光滑的；平稳的
vt. 使光滑；消除（障碍等）；使优雅；缓和
adv. 光滑地；平稳地；流畅地
vi. 变平静；变平滑"
evident,adj. 明显的；明白的
promising,"v. 许诺，答应（promise的现在分词形式）
adj. 有希望的，有前途的"
machinery,n. 机械；机器；机构；机械装置
remote,"n. 远程
adj. 遥远的；偏僻的；疏远的"
mature,"adj. 成熟的；充分考虑的；到期的；成年人的
vi. 成熟；到期
vt. 使…成熟；使…长成；慎重作出"
gene,n.  基因，遗传因子
leisure,"n. 闲暇；空闲；安逸
adj. 空闲的；有闲的；业余的"
normal,"adj. 正常的；正规的，标准的
n. 正常；标准；常态"
declare,"vt. 宣布，声明；断言，宣称
vi. 声明，宣布"
cure,"n. 治疗；治愈； 疗法
vt. 治疗；治愈；使硫化；加工处理
vi. 治病；痊愈；受治疗；被硫化；被加工处理"
edition,"n. 版本
版次
集"
reconstruct,vt. 重建；改造；修复；重现
latter,adj. 后者的；近来的；后面的；较后的
tempt,vt. 诱惑；引起；冒…的风险；使感兴趣
renew,"vt. 使更新；续借；续费；复兴；重申
vi. 更新；重新开始"
stretch,"vt. 伸展,张开；（大量地）使用，消耗（金钱，时间）；使竭尽所能；使全力以赴；
n. 伸展，延伸
vi. 伸展；足够买（或支付）"
fossil,"n. 化石；僵化的事物；顽固不化的人
adj. 化石的；陈腐的，守旧的"
promote,"vi. 成为王后或其他大于卒的子
vt. 促进；提升；推销；发扬"
leadership,n. 领导能力；领导阶层
minority,"n. 少数民族；少数派；未成年
adj. 少数的；属于少数派的"
damp,"n. 潮湿，湿气
adj. 潮湿的
vt. 使潮湿；使阻尼；使沮丧，抑制
vi. 减幅，阻尼；变潮湿"
whereby,adv. 凭借；通过…；借以；与…一致
implication,n. 含义；暗示；牵连，卷入；可能的结果，影响
convey,vt. 传达；运输；让与
unavailable,adj. 难以获得的；不能利用的；不近便的
pursue,"vi. 追赶；继续进行
vt. 继续；从事；追赶；纠缠"
critic,n. 批评家，评论家；爱挑剔的人
visible,"n. 可见物；进出口贸易中的有形项目
adj. 明显的；看得见的；现有的；可得到的"
tropical,adj. 热带的；热情的；酷热的
establish,"vi. 植物定植
vt. 建立；创办；安置"
squeeze,"n. 压榨；紧握；拥挤；佣金
vt. 挤；紧握；勒索
vi. 压榨"
mislead,vt. 误导；带错
chip,"n.  芯片；筹码；碎片；(食物的) 小片; 薄片
vt. 削，凿；削成碎片
vi. 剥落；碎裂"
seldom,adv. 很少，不常
character,"n. 性格，品质；特性；角色； 字符
vt. 印，刻；使具有特征"
eventual,adj. 最后的，结果的；可能的；终于的
explore,"vi. 探索；探测；探险
vt. 探索；探测；探险"
unexpected,adj. 意外的，想不到的
propose,"vi. 建议；求婚；打算
vt. 建议；打算，计划；求婚"
viewpoint,n. 观点，看法；视角
selection,n. 选择，挑选；选集；精选品
confirm,vt. 确认；确定；证实；批准；使巩固
skirt,"n. 裙子
vt. 绕过，回避；位于…边缘
vi. 沿边走，绕开；环绕"
drain,"n. 排水；下水道，排水管；消耗
vt. 喝光，耗尽；使流出；排掉水
vi. 排水；流干"
criminal,"n. 罪犯
adj. 刑事的；犯罪的；罪恶的"
departure,n. 离开；出发；违背
sizable,adj. 相当大的；大小相当的
decorate,"vt. 装饰；布置；授勋给
vi. 装饰；布置"
wrist,"n. 手腕；腕关节
vt. 用腕力移动"
theorist,n. 理论家
install,vt. 安装；任命；安顿
coordinate,"n. 坐标；同等的人或物
vt. 调整；整合
adj. 并列的；同等的
vi. 协调"
crisis,"n. 危机；危险期；决定性时刻
adj. 危机的；用于处理危机的"
whereas,conj. 然而；鉴于；反之
secretary,n. 秘书；书记；部长；大臣
reminder,n. 暗示；提醒的人/物；催单
outdated,"adj. 过时的；旧式的
v. 使过时（outdate的过去式和过去分词）"
stable,"n. 马厩；牛棚
adj. 稳定的；牢固的；坚定的
vt. 赶入马房
vi. 被关在马厩"
dean,n. 院长；系主任；教务长；主持牧师
pest,n. 害虫；有害之物；讨厌的人
offer,"vt. 提供；出价；试图
n. 提议；出价；意图；录取通知书
vi. 提议；出现；献祭；求婚"
bury,vt. 埋葬；隐藏
recognizable,adj. 可辨认的；可认识的；可承认的
atmosphere,n. 气氛；大气；空气
originality,n. 创意；独创性，创造力；原始；新奇
regulation,"n. 管理；规则；校准
adj. 规定的；平常的"
reinvent,vt. 重新使用；彻底改造；重复发明（在不知他人已发明的情况下）
adventure,"n. 冒险；冒险精神；投机活动
vt. 冒险；大胆说出
vi. 冒险"
faint,"n.  昏厥，昏倒
adj. 模糊的；头晕的；虚弱的； 衰弱的
vi. 昏倒；变得微弱；变得没气力"
faculty,n. 科，系；能力；全体教员
purity,n.  纯度；纯洁；纯净；纯粹
statistical,adj. 统计的；统计学的
kneel,vi. 跪下，跪
utilize,vt. 利用
persuasive,adj. 有说服力的；劝诱的，劝说的
invade,"vt. 侵略；侵袭；侵扰；涌入
vi. 侵略；侵入；侵袭；侵犯"
ruin,"n. 废墟；毁坏；灭亡
vt. 毁灭；使破产
vi. 破产；堕落；被毁灭"
approve,"vi. 批准；赞成；满意
vt. 批准；赞成；为…提供证据"
shallow,"n.  浅滩
adj. 浅的；肤浅的
vt. 使变浅
vi. 变浅"
dealer,"n. 经销商；商人
n. 发牌员
n. 毒品贩子，贩毒者"
poisonous,adj. 有毒的；恶毒的；讨厌的
reliable,"n. 可靠的人
adj. 可靠的；可信赖的"
lengthen,"vt. 使延长；加长
vi. 延长；变长"
organism,n. 有机体；生物体；微生物
unstable,adj. 不稳定的；动荡的；易变的
massive,adj. 大量的；巨大的，厚重的；魁伟的
imaginative,adj. 富于想象的；有创造力的
string,n. 线，弦，细绳；一串，一行
summary,"n. 概要，摘要，总结
adj. 简易的；扼要的"
project,"n. 工程；计划；事业
vt. 设计；计划；发射；放映
vi. 设计；计划；表达；投射"
combine,"n. 联合收割机；联合企业
vt. 使化合；使联合，使结合
vi. 联合，结合；化合"
reveal,"n. 揭露；暴露；门侧，窗侧
vt. 显示；透露；揭露；泄露"
fatty,"n. 胖子
adj. 脂肪的；肥胖的；多脂肪的；脂肪过多的"
myth,n. 神话；虚构的人，虚构的事
preparedness,n. 有准备；已准备；做好准备(尤指作战准备)
plural,"n. 复数
adj. 复数的"
attempt,"n. 企图，试图；攻击
vt. 企图，试图；尝试"
dare,"n. 挑战；挑动
vt. 敢冒；不惧
vi. 敢；胆敢"
angular,adj.  有角的；生硬的，笨拙的；瘦削的
means,"n. 手段；方法；财产
v. 意思是；打算（mean的第三人称单数） "
wool,n. 羊毛；毛线；绒线；毛织品；毛料衣物
reward,"n.  报酬；报答；酬谢
vt.  奖励；奖赏"
analyze,vt. 对…进行分析，分解（等于analyse）
vote,"n. 投票，选举；选票；得票数
vi. 选举，投票
vt. 提议，使投票；投票决定；公认"
walkway,n. 通道， 走道
transfer,"n. 转让；转移；传递；过户
vt. 使转移；调任
vi. 转让；转学；换车"
noticeable,adj. 显而易见的，显著的；值得注意的
fold,"n. 折痕；信徒；羊栏
vt. 折叠；合拢；抱住；笼罩
vi. 折叠起来；彻底失败"
label,"vt. 标注；贴标签于
n. 标签；商标；签条"
unexplored,adj.  未勘查过的
mechanization,n. 机械化；机动化
discount,"n. 折扣；贴现率
vt. 打折扣；将…贴现；贬损；低估；忽视
vi. 贴现；打折扣出售商品"
permission,n. 允许，许可
transform,"vt. 改变，使…变形；转换
vi. 变换，改变；转化"
explosive,"n. 炸药；爆炸物
adj. 爆炸的；爆炸性的；爆发性的"
systematic,adj. 系统的；体系的；有系统的； 分类的；一贯的，惯常的
misfortune,n. 不幸；灾祸，灾难
engagement,"n. 婚约；约会；交战；诺言
n. 参与度（指用户点赞、转发、评论、下载文档、观看视频、咨询等交互行为）"
mismatch,"vt. 使配错
n. 错配；不协调"
conquer,"vt. 战胜，征服；攻克，攻取
vi. 胜利；得胜"
option,n.  选项；选择权；买卖的特权
skyscraper,n. 摩天楼，超高层大楼；特别高的东西
consume,"vt. 消耗，消费；使…着迷；挥霍
vi. 耗尽，毁灭；耗尽生命"
cap,"n. 盖；帽子
vt. 覆盖；胜过；给…戴帽；加盖于
vi. 脱帽致意"
complex,"n. 复合体；综合设施
adj. 复杂的；合成的"
expressive,adj. 表现的；有表现力的；表达…的
greet,vt. 欢迎，迎接；致敬，致意；映入眼帘
inconvenient,adj. 不便的；打扰的
puzzle,"n. 谜；难题；迷惑
vt. 使…困惑；使…为难；苦思而得出
vi. 迷惑；冥思苦想"
dense,adj. 稠密的；浓厚的；愚钝的
guidance,n. 指导，引导；领导
unimproved,adj. 未加改善的；未耕种的；未被利用的
flexible,adj. 灵活的；柔韧的；易弯曲的
schedule,"n. 时间表；计划表；一览表
vt. 安排，计划；编制目录；将……列入计划表"
threaten,"vt. 威胁；恐吓；预示
vi. 威胁；可能来临"
radiate,"adj. 辐射状的，有射线的
vi. 辐射；流露；发光；从中心向各方伸展
vt. 辐射；传播；流露；发射；广播"
initially,adv. 最初，首先；开头
logical,adj. 合逻辑的，合理的；逻辑学的
security,"n. 安全；保证；证券；抵押品
adj. 安全的；保安的；保密的"
overcome,"vt. 克服；胜过
vi. 克服；得胜"
probability,n. 可能性；机率； 或然率
occurrence,n. 发生；出现；事件；发现
extent,n. 程度；范围；长度
localize,"vt. 使地方化；使局部化；停留在一地方
vi. 局部化；集中"
trace,"n. 痕迹，踪迹；微量； 迹线；缰绳
vt. 追踪，查探；描绘；回溯
vi. 追溯；沿路走"
warrior,n. 战士，勇士；鼓吹战争的人
tone,"n. 语气；色调；音调；音色
vt. 增强；用某种调子说
vi. 颜色调和；呈现悦目色调"
investor,n. 投资者
inherit,"vt. 继承；遗传而得
vi. 成为继承人"
division,n.  除法；部门；分配；分割；师（军队）；赛区
confusing,"v. 使迷惑；使混乱不清；使困窘（confuse的ing形式）
adj. 混乱的；混淆的；令人困惑的"
relativity,n. 相对论；相关性；相对性
sketch,"n. 素描；略图；梗概
vt. 画素描或速写
vi. 画素描或速写"
scope,"n. 范围；余地；视野；眼界；导弹射程
vt. 审视"
permanent,"n. 烫发（等于permanent wave）
adj. 永久的，永恒的；不变的"
measurement,n. 测量； 度量；尺寸；量度制
focus,"n. 焦点；中心；清晰；焦距
vt. 使集中；使聚焦
vi. 集中；聚焦；调节焦距"
debate,"n. 辩论；辩论会
vt. 辩论，争论，讨论
vi. 辩论，争论，讨论"
accessible,adj. 易接近的；可进入的；可理解的
pretend,"vt. 假装，伪装，模拟
adj. 假装的
vi. 假装，伪装，佯装"
examine,"vt. 检查；调查； 检测；考试
vi. 检查；调查"
pro,"n. 赞成者；赞成的意见
prep. 赞成
adv. 赞成地"
historic,adj. 有历史意义的；历史上著名的
redistribution,n.  重新分配
supernatural,"n. 超自然现象；不可思议的事
adj. 超自然的；神奇的，不可思议的"
resistance,n. 阻力；电阻；抵抗；反抗；抵抗力
hemisphere,n. 半球
coach,"n. 教练；旅客车厢；长途公车；四轮大马车
vt. 训练；指导
vi. 作指导；接受辅导；坐马车旅行
n.  蔻驰（皮革品牌）"
sole,"n. 鞋底；脚底；基础；鳎目鱼
adj. 唯一的；单独的；仅有的
vt. 触底；上鞋底"
rush,"n. 冲进；匆促；急流；灯心草
adj. 急需的
vt. 使冲；突袭；匆忙地做；飞跃
vi. 冲；奔；闯；赶紧；涌现"
connect,"vt. 连接；联合；关连
vi. 连接，连结；联合"
reluctant,adj. 不情愿的；勉强的；顽抗的
convince,vt. 说服；使确信，使信服
emotion,n. 情感；情绪
athletics,n. 竞技；体育运动；田径运动
plug,"n. 插头；塞子；栓
vt. 插入；塞住；接插头
vi. 塞住；用插头将与电源接通"
reorganize,"vt. 整理；改组；重新制定
vi. 整顿；改编"
neat,adj. 灵巧的；整洁的；优雅的；齐整的；未搀水的；平滑的
astonish,vt. 使惊讶
spotlight,"n. 聚光灯；反光灯；公众注意的中心
vt. 聚光照明；使公众注意"
digestive,"n. 助消化药
adj. 消化的；助消化的"
found,"v. 找到（find的过去分词）
vt. 创立，建立；创办"
voyage,"n. 航行；航程；旅行记
vt. 飞过；渡过
vi. 航行；航海"
reschedule,vt. 重新排定日程；重订时间表；重新计划
imply,vt. 意味；暗示；隐含
polish,找不到解释
insignificant,adj. 无关紧要的
paste,"n. 面团，膏；糊状物， 浆糊
vt. 张贴，裱糊；用浆糊粘"
favor,"n. 喜爱；欢心；好感
vt. 赞成；喜欢；像；赐予；证实"
biodiversity,n. 生物多样性
examination,n. 考试；检查；查问
urge,"n. 强烈的欲望，迫切要求；推动力
vi. 强烈要求
vt. 力劝，催促；驱策，推进"
independent,"n. 独立自主者；无党派者
adj. 独立的；单独的；无党派的；不受约束的"
criticize,"vi. 批评；评论；苛求
vt. 批评；评论；非难"
divider,n.  除法器；分隔物；圆规
impression,n. 印象；效果，影响；压痕，印记；感想；曝光（衡量广告被显示的次数。打开一个带有该广告的网页，则该广告的impression 次数增加一次）
inclusion,n. 包含；内含物
thrive,vi. 繁荣，兴旺；茁壮成长
redirect,"n. 再直接询问
vt. 使改方向；重新寄送
adj. 再直接的"
definitely,adv. 清楚地，当然；明确地，肯定地
depress,vt. 压抑；使沮丧；使萧条
discipline,"n. 学科；纪律；训练；惩罚
vt. 训练，训导；惩戒"
curriculum,"n. 课程
总课程"
botany,n. 植物学；地区植物总称
majority,n. 多数；成年
explode,"vi. 爆炸，爆发；激增
vt. 使爆炸；爆炸；推翻"
shuttle,"n. 航天飞机；穿梭；梭子；穿梭班机、公共汽车等
vt. 使穿梭般来回移动；短程穿梭般运送
vi. 穿梭往返"
