emperor,n. 皇帝，君主
energetic,adj. 精力充沛的；积极的；有力的
atmospheric,adj. 大气的，大气层的
cooperative,"n. 合作社
adj. 合作的；合作社的"
corrode,"vt. 侵蚀；损害
vi. 受腐蚀；起腐蚀作用"
honour,"n. 荣誉；尊敬；勋章
vt. 尊敬； 承兑；承兑远期票据"
except,"conj. 除了；要不是
prep. 除…之外
vt. 不计；把…除外
vi. 反对"
soluble,adj.  可溶的，可溶解的；可解决的
administration,n. 管理；行政；实施；行政机构
environment,n. 环境，外界
license,"n. 执照，许可证；特许
vt. 许可；特许；发许可证给"
underline,"n. 下划线；下期节目预告
vt. 强调；在…下面划线；预告"
activate,"vt. 刺激；使活动；使活泼；使产生放射性
vi. 激活；有活力"
major,"adj. 主要的；重要的；主修的；较多的
n.  成年人；主修科目；陆军少校
vi. 主修"
specific,"n. 特性；细节；特效药
adj. 特殊的，特定的；明确的；详细的； 具有特效的"
objective,"adj. 客观的；目标的；宾格的
n. 目的；目标； 物镜；宾格"
concentrate,"n. 浓缩，精选；浓缩液
vi. 集中；浓缩；全神贯注；聚集
vt. 集中；浓缩"
conflict,"n. 冲突，矛盾；斗争；争执
vi. 冲突，抵触；争执；战斗"
antidote,n.  解毒剂；解药；矫正方法
discover,"vi. 发现
vt. 发现；发觉"
necessarily,adv. 必要地；必定地，必然地
continent,"n. 大陆，洲，陆地
adj. 自制的，克制的"
turret,n. 炮塔；角楼；小塔；攻城用仰冲车
elastic,"n. 松紧带；橡皮圈
adj. 有弹性的；灵活的；易伸缩的"
enhance,vt. 提高；加强；增加
demonstration,n. 示范；证明；示威游行
interrupt,"n. 中断
vt. 中断；打断；插嘴；妨碍
vi. 打断；打扰"
redundant,adj. 多余的，过剩的；被解雇的，失业的；冗长的，累赘的
mishandle,vt. 虐待；错误地处理
discovery,n. 发现，发觉；被发现的事物
alcohol,n. 酒精，乙醇
suppression,n. 抑制；镇压； 压抑
mainly,adv. 主要地，大体上
property,n. 性质，性能；财产；所有权
naked,adj. 裸体的；无装饰的；无证据的；直率的
feature,"n. 特色，特征；容貌；特写或专题节目
vt. 特写；以…为特色；由…主演
vi. 起重要作用"
lens,"n. 透镜，镜头；眼睛中的水晶体；晶状体；隐形眼镜；汽车的灯玻璃
vt. 给……摄影"
coordinator,n. 协调者； 协调器；同等的人或物
nourish,vt. 滋养；怀有；使健壮
crisp,"adj. 脆的；新鲜的；易碎的
vt. 使卷曲；使发脆
vi. 卷曲；发脆
n. 松脆物；油炸马铃薯片"
guilty,adj. 有罪的；内疚的
crack,"n. 裂缝；声变；噼啪声
adj. 最好的；高明的
vi. 破裂；爆裂
vt. 使破裂；打开；变声"
flourish,"n. 兴旺；茂盛；挥舞；炫耀；华饰
vi. 繁荣，兴旺；茂盛；活跃；处于旺盛时期
vt. 夸耀；挥舞"
reserve,"n. 储备，储存；自然保护区；预备队；缄默； 储备金
vt. 储备；保留；预约
vi. 预订"
dimensional,adj. 空间的；尺寸的
gravel,"n. 碎石；砂砾
vt. 用碎石铺；使船搁浅在沙滩上；使困惑"
advertisement,n. 广告，宣传
insulation,n. 绝缘；隔离，孤立
hesitation,n. 犹豫
undermine,vt. 破坏，渐渐破坏；挖掘地基
eliminate,vt. 消除；排除
volcano,n. 火山
exclude,vt. 排除；排斥；拒绝接纳；逐出
laundry,n. 洗衣店，洗衣房；要洗的衣服；洗熨；洗好的衣服
apparently,adv. 显然地；似乎，表面上
gelatin,n. 明胶；动物胶；胶制品
stimulate,"vi. 起刺激作用；起促进作用
vt. 刺激；鼓舞，激励"
fuel,"n. 燃料；刺激因素
vt. 供以燃料，加燃料
vi. 得到燃料"
operational,adj. 操作的；运作的
image,"n. 影像；想象；肖像；偶像
vt. 想象；反映；象征；作…的像"
distribute,vt. 分配；散布；分开；把…分类
notice board,"na. 布告牌
 布告栏；公告栏；公告板"
intend,"vi. 有打算
vt. 打算；想要；意指"
empirical,adj. 经验主义的，完全根据经验的；实证的
probation,n. 试用；缓刑；查验
depression,n. 沮丧；洼地；不景气；忧愁；低气压区
proximity,n. 接近，邻近；接近；接近度，距离；亲近
attention,n. 注意力；关心；立正！（口令）
factual,adj. 事实的；真实的
acclaim,"n. 欢呼，喝彩；称赞
vt. 称赞；为…喝彩，向…欢呼
vi. 欢呼，喝彩"
carry,"n. 运载； 进位；射程
vi. 能达到；被携带；被搬运
vt. 拿，扛；携带；支持；搬运"
devastate,vt. 毁灭；毁坏
response,n. 响应；反应；回答
postcode,n. （英）邮政编码；邮区号
dull,"adj. 钝的；迟钝的；无趣的；呆滞的；阴暗的
vt. 使迟钝；使阴暗；缓和
vi. 减少；变迟钝"
basis,n. 基础；底部；主要成分；基本原则或原理
tropical,adj. 热带的；热情的；酷热的
rumour,"n. 谣言
vt. 传闻"
endeavour,"n. 尽力，竭力
vi. 竭力；企图
vt. 竭力做到，试图或力图（做某事）"
address,"n. 地址；演讲；致辞；说话的技巧；称呼
vt. 演说；从事；忙于；写姓名地址；向…致辞；与…说话；提出；处理"
payment,n. 付款，支付；报酬，报答；偿还；惩罚，报应
superb,adj. 极好的；华丽的；宏伟的
intention,n. 意图；目的；意向；愈合
demonstrate,"vt. 证明；展示；论证
vi. 示威"
agenda,n. 议程；日常工作事项；日程表
illuminate,"vt. 阐明，说明；照亮；使灿烂；用灯装饰
vi. 照亮"
slim,"adj. 苗条的；修长的；微小的；差的
vt. 使…体重减轻；使…苗条
vi. 减轻体重；变细"
warrant,"n. 根据；证明；正当理由；委任状
vt. 保证；担保；批准；辩解"
optimism,n. 乐观；乐观主义
rank,"n. 排；等级；军衔；队列
adj. 讨厌的；恶臭的；繁茂的
vt. 排列；把…分等
vi. 列为；列队"
dimension,"n. 方面; 维；尺寸；次元；容积 vt. 标出尺寸
adj. 规格的"
avail,"vi. 有益于，有益于；使对某人有利。
vt. 有益于，有益于；使对某人有利。
n. 效用，利益"
dioxide,n. 二氧化物
block,"n. 块；街区；大厦；障碍物
adj. 成批的，大块的；交通堵塞的
vt. 阻止；阻塞；限制；封盖"
administrative,adj. 管理的，行政的
frustrating,"v. 使沮丧（frustrate的ing形式）
adj. 令人沮丧的"
resistant,"n. 抵抗者
adj. 抵抗的，反抗的；顽固的"
overdue,adj. 过期的；迟到的；未兑的
impressive,adj. 感人的；令人钦佩的；给人以深刻印象的
analysis,n. 分析；分解；验定
verdict,n. 结论；裁定
refresher,"n. 可提神的人或物；补习课程；清凉饮料；增加报酬
adj. 专业性复习进修的"
blaze,"n. 火焰，烈火；光辉；情感爆发
vt. 在树皮上刻路标；公开宣布
vi. 燃烧；照耀，发光；激发"
misjudge,"vi. 判断错
vt. 对…判断错误"
pregnant,adj. 怀孕的；富有意义的
unyielding,adj. 不屈的；坚强的； 不易弯曲的
exterior,"n. 外部；表面；外型；外貌
adj. 外部的；表面的；外在的"
approve,"vi. 批准；赞成；满意
vt. 批准；赞成；为…提供证据"
client,n.  客户；顾客；委托人
vernacular,"n. 本地话，方言；动植物的俗名
adj. 本国的；地方的；用本地语写成的"
compare,"vi. 相比，匹敌；比较，区别；比拟（常与to连用）
vt. 比拟，喻为；构成
n. 比较"
transparent,adj. 透明的；显然的；坦率的；易懂的
cassette,n. 盒式磁带；暗盒；珠宝箱；片匣
deputy,"n. 代理人，代表
adj. 副的；代理的"
fraud,n. 欺骗；骗子；诡计
bind,"n. 捆绑；困境；讨厌的事情；植物的藤蔓
vt. 绑；约束；装订；包扎；凝固
vi. 结合；装订；有约束力；过紧"
fragrance,n. 香味，芬芳
marketplace,n. 市场；商场；市集
acute,adj. 严重的， 急性的；敏锐的；激烈的；尖声的
ripe,"adj. 熟的，成熟的；时机成熟的
vt. 搜查；调查
vi. 进行搜查"
vet,"n. 兽医
vt. 审查；诊疗
vi. 作兽医；诊疗"
formulate,vt. 规划；用公式表示；明确地表达
collate,vt. 核对，校对；校勘
infer,"vi. 推断；作出推论
vt. 推断；推论"
fiction,n. 小说；虚构，编造；谎言
ability,n. 能力，能耐；才能
sector,"n. 部门；扇形，扇区；象限仪；函数尺
vt. 把…分成扇形"
creep,"n. 爬行；毛骨悚然的感觉；谄媚者
vi. 爬行；蔓延；慢慢地移动；起鸡皮疙瘩"
casual,"n. 便装；临时工人；待命士兵
adj. 随便的；非正式的；临时的；偶然的"
interpretation,n. 解释；翻译；演出
trimester,n. 三个月；一学期
consensus,n. 一致；舆论；合意
redevelopment,n. 再开发；重点恢复
auditorium,n. 礼堂，会堂；观众席
condition,"n. 条件；情况；环境；身份
vt. 决定；使适应；使健康；以…为条件"
furnish,vt. 提供；供应；装备
stabilise,"vt. 使…坚固；使…安定；装稳定器（等于stablize）
vi. 稳定；安定"
incoming,"n. 进入；到来；常作 incomings 收入，收益
adj. 进来的，到来的； 即将就任的"
alignment,n. 队列，成直线；校准；结盟
boot,"n. 靴子；踢；汽车行李箱
vt. 引导；踢；解雇；使穿靴"
ozone layer,"n. 臭氧层
 臭气层；臭氧层破坏；因臭氧层"
acid,"n. 酸；<俚>迷幻药
adj. 酸的；讽刺的；刻薄的"
booming,"adj. 兴旺的，繁荣的；大受欢迎的
v. 兴旺（boom的ing形式）；发出隆隆声"
definite,adj. 一定的；确切的
deem,"vt. 认为，视作；相信
vi. 认为，持某种看法；作某种评价"
narrator,n. 叙述者；解说员
reorient,vt. 使适应；再调整
reckon,"vi. 估计；计算；猜想，料想
vt. 测算，估计；认为；计算"
tutorial,"n. 个别指导
adj. 辅导的；家庭教师的，个别指导的"
reference,"n. 参考，参照；涉及，提及；参考书目；介绍信；证明书
vt. 引用
vi. 引用"
sledge,"n. 雪橇；大锤
vt. 用雪橇搬运；乘雪橇；用大锤打
vi. 用大锤打；猛击；乘雪橇"
exaggerate,"vt. 使扩大；使增大
vi. 夸大；夸张"
restriction,n. 限制；约束；束缚
abandon,"n. 放任；狂热
vt. 遗弃；放弃"
priority,n. 优先；优先权； 优先次序；优先考虑的事
terrify,vt. 恐吓；使恐怖；使害怕
habitat,n.  栖息地，产地
encourage,vt. 鼓励，怂恿；激励；支持
celebrity,n. 名人；名声
significance,n. 意义；重要性；意思
magnetic,adj. 地磁的；有磁性的；有吸引力的
slippery,adj. 滑的；狡猾的；不稳定的
graphic,adj. 形象的；图表的；绘画似的
examine,"vt. 检查；调查； 检测；考试
vi. 检查；调查"
opportunity,n. 时机，机会
distinguish,"vi. 区别，区分；辨别
vt. 区分；辨别；使杰出，使表现突出"
blanket,"n. 毛毯，毯子；毯状物，覆盖层
adj. 总括的，全体的；没有限制的
vt. 覆盖，掩盖；用毯覆盖"
arrogance,n. 自大；傲慢态度
era,n. 时代；年代；纪元
stimulus,n. 刺激；激励；刺激物
roam,"n. 漫步，漫游；流浪
vt. 在…漫步，漫游；在…流浪
vi. 漫游，漫步；流浪"
provided,"conj. 假如；倘若
v. 提供；给予（provide的过去式）"
comparison,n. 比较；对照；比喻；比较关系
publicity,n. 宣传，宣扬；公开；广告；注意
depend,vi. 依赖，依靠；取决于；相信，信赖
composition,n. 作文，作曲，作品； 构成；合成物；成分
architecture,n. 建筑学；建筑风格；建筑式样；架构
hurdle,"n. 障碍；栏；跳栏
vt. 克服
vi. 克服；跳过"
teamwork,n. 团队合作；协力
damp,"n. 潮湿，湿气
adj. 潮湿的
vt. 使潮湿；使阻尼；使沮丧，抑制
vi. 减幅，阻尼；变潮湿"
staff,"n. 职员；参谋；棒；支撑
adj. 职员的；行政工作的
vt. 供给人员；给…配备职员
vi. 雇用工作人员"
symbol,n. 象征；符号；标志
apt,adj. 恰当的；有…倾向的；灵敏的
homogeneous,adj. 均匀的； 齐次的；同种的；同类的，同质的
conserve,"n. 果酱；蜜饯
vt. 保存；将…做成蜜饯；使守恒"
spasm,n.  痉挛；抽搐；一阵发作
invisible,adj. 无形的，看不见的；无形的；不显眼的，暗藏的
devote,vt. 致力于；奉献
illustrate,"vi. 举例
vt. 阐明，举例说明；图解"
terrace,"n. 平台；梯田；阳台
adj. （女服）叠层式的
vt. 使成梯田，使成阶地；使有平台屋顶
vi. 成阶地；成梯田；筑成坛"
dynamic,"n. 动态；动力
adj. 动态的；动力的；动力学的；有活力的"
throughout,"prep. 贯穿，遍及
adv. 自始至终，到处；全部"
smart,adj. 聪明的；巧妙的；敏捷的；厉害的；潇洒的；剧烈的；时髦的
criticise,"vt. 批评；吹毛求疵；非难
vi. 批评；吹毛求疵；非难"
beyond,"prep. 超过；越过；那一边；在...较远的一边
n. 远处
adv. 在远处；在更远处"
hinterland,n. 内地；穷乡僻壤；靠港口供应的内地贸易区
fumes,"n. 烟气；激动；空想的事物（fume的复数）
v. 蒸发；冒烟；发怒（fume的三单形式）"
positive,"n. 正数； 正片
adj. 积极的； 正的， 阳性的；确定的，肯定的；实际的，真实的；绝对的"
assistant,"n. 助手，助理，助教
adj. 辅助的，助理的；有帮助的"
cannon,"n. 大炮；加农炮；榴弹炮；机关炮
vt. 炮轰
vi. 炮轰；开炮"
obligation,n. 义务；职责；债务
hockey,n. 曲棍球；冰球
liberty,n. 自由；许可；冒失
pesticide,n. 杀虫剂
poll,"n. 投票；民意测验；投票数；投票所
adj. 无角的；剪过毛的；修过枝的
vt. 投票；剪短；对…进行民意测验；获得选票
vi. 投票"
refundable,adj. 可退还的；可偿还的
homesick,adj. 想家的；思乡病的
compassionate,"adj. 慈悲的；富于同情心的
vt. 同情；怜悯"
orientate,"vi. 向东；定向
vt. 给...定位；使适应"
insight,n. 洞察力；洞悉
resist,"n.  抗蚀剂；防染剂
vt. 抵抗；忍耐，忍住
vi. 抵抗，抗拒；忍耐"
glide,"vi. 滑翔；滑行；悄悄地走；消逝
vt. 使滑行；使滑动
n. 滑翔；滑行；滑移；滑音"
casualty,n. 意外事故；伤亡人员；急诊室
belief,n. 相信，信赖；信仰；教义
concentration,n. 浓度；集中；浓缩；专心；集合
tug,"n. 拖船；拖曳；苦干
vt. 用力拉；较量；用拖船拖
vi. 用力拉；竞争；努力做"
proceed,"vi. 开始；继续进行；发生；行进
n. 收入，获利"
status,n. 地位；状态；情形；重要身份
document,"n. 文件，公文； 文档；证件
vt. 用文件证明"
mattress,n. 床垫；褥子；空气垫
hostile,"n. 敌对
adj. 敌对的，敌方的；怀敌意的"
intervene,vi. 干涉；调停；插入
promote,"vi. 成为王后或其他大于卒的子
vt. 促进；提升；推销；发扬"
bump,"n. 肿块，隆起物；撞击
vi. 碰撞，撞击；颠簸而行
vt. 碰，撞；颠簸
adv. 突然地，猛烈地"
reunion,n. 重聚；（班级或学校的）同学会，同窗会
digestive,"n. 助消化药
adj. 消化的；助消化的"
homestay,n. （在国外的访问者）在当地居民家居住的时期
commit,vt. 犯罪，做错事；把...交托给；指派…作战；使…承担义务
practically,adv. 实际地；几乎；事实上
acrobat,n. 杂技演员，特技演员；随机应变者；翻云覆雨者，善变者
revenue,n. 税收，国家的收入；收益
nickel,"n. 镍；镍币；五分镍币
vt. 镀镍于"
limp,"adj. 柔软的，无力的；软弱的
vi. 跛行，一拐一拐地走；缓慢费力地前进
n. 跛行"
spit,"n. 唾液
vi. 吐痰；吐口水；发出劈啪声
vt. 吐，吐出；发出；发射"
