considerable,adj. 相当大的；重要的，值得考虑的
legislation,n. 立法；法律
liability,n. 责任；债务；倾向；可能性；不利因素
non-observance," (对规则等的)不遵守, 违反"
notary,n.  公证人
observance,n. 惯例；遵守；仪式；庆祝
patent,"n. 专利权；执照；专利品
adj. 专利的；新奇的；显然的
vt. 授予专利；取得…的专利权"
penalty,n. 罚款，罚金；处罚
query,"n. 疑问，质问；疑问号 ； 查询
vi. 询问；表示怀疑
vt. 询问；对……表示疑问"
ratification,n. 批准；承认，认可
recidivist,n. 惯犯
remit,"n. 移交的事物
vt. 宽恕；免除；减轻；传送；使恢复原状
vi. 汇款；缓和"
revocation,n. 取消；撤回；废除
substantiate,vt. 证实；使实体化
summons,"n. 召唤；传票；传唤；召集
vt. 唤出；传到；传唤到法院"
testify,"vi. 作证；证明
vt. 证明，证实；作证"
accusation,n. 控告，指控；谴责
indictment,n. 起诉书；控告
lawsuit,n. 诉讼（尤指非刑事案件）；诉讼案件
nonsuit,"n. 诉讼驳回
vt. 驳回"
plaintiff,n. 原告
plea,n. 恳求，请求；辩解，辩护；借口，托辞
proceeding,"n. 进行；程序；诉讼；事项
v. 开始；继续做；行进（proceed的ing形式）"
prosecute,"vt. 检举；贯彻；从事；依法进行
vi. 起诉；告发；作检察官"
sue,"vt. 控告；请求
vi. 控告；提出请求"
display,"n. 显示；炫耀
vt. 显示；表现；陈列
adj. 展览的；陈列用的
vi.  作炫耀行为"
exhibition,n. 展览，显示；展览会；展览品
show,"n. 显示；表演；炫耀
vt. 显示；说明；演出；展出
vi. 显示；说明；指示"
warning,"n. 警告；预兆；预告
v. 警告（warn的ing形式）
adj. 警告的；引以为戒的"
critical,adj. 鉴定的； 临界的；批评的，爱挑剔的；危险的；决定性的；评论的
uncritical,adj. 无批判力的；不加批判的；不严厉的
critically,adv. 精密地；危急地；严重地；批评性地；用钻研眼光地；很大程度上；极为重要地
emerge,vi. 浮现；摆脱；暴露
spontaneous,adj. 自发的；自然的；无意识的
criticism,n. 批评；考证；苛求
suppress,vt. 抑制；镇压；废止
squash,"n. 壁球；挤压；咯吱声；南瓜属植物；（英）果汁饮料
vt. 镇压；把…压扁；使沉默
vi. 受挤压；发出挤压声；挤入"
restrain,vt. 抑制，控制；约束；制止
suppressant,"n. 抑制药
adj. 制止的；抑制性的；遏抑的"
suppression,n. 抑制；镇压； 压抑
aesthetic,adj. 美的；美学的；审美的，具有审美趣味的
ancient calligraphy and painting,找不到解释
art,"n. 艺术；美术；艺术品
v. 是（be的变体）
adj. 艺术的；艺术品的"
artistic,adj. 艺术的；风雅的；有美感的
artware,n. 工艺品
bronze ware,"n. 青铜器
 青铜墙器；铜制品；景泰蓝"
cradle,"n. 摇篮；发源地；发祥地；支船架
vt. 抚育；把...搁在支架上；把...放在摇篮内"
creative art,创造艺术
decorative art,"na. 装饰美术
 装饰艺术；装饰彩绘艺术；装饰艺术与设计"
display cabinet,"un. 陈列框；展示橱柜
 展示柜；陈列柜；间厅柜"
edify,vt. 熏陶；启发；教诲
edification,n. 启迪；教诲；精神修养
exhibit,"n. 展览品；证据；展示会
vt. 展览；显示；提出（证据等）
vi. 展出；开展览会"
exhibition,n. 展览，显示；展览会；展览品
fine art,"n. 艺术(尤指绘画及雕塑)
 美术；纯艺术；纯美术"
glassware,n. 玻璃器皿；玻璃器具类
jadeware,玉器
language art, 语言艺术；英语；语言课程
medium,"adj. 中间的，中等的；半生熟的
n. 方法；媒体；媒介；中间物"
performing art, 表演艺术；表演的艺术；舞台艺术
photography work,找不到解释
plastic art,"n. 造型艺术
 造型美术；塑形艺术"
porcelain,"n. 瓷；瓷器
adj. 瓷制的；精美的"
primitive art, 原始艺术；史前艺术
reproducibility,n.  再现性
show,"n. 显示；表演；炫耀
vt. 显示；说明；演出；展出
vi. 显示；说明；指示"
space art,找不到解释
startling,adj. 令人吃惊的
time and spatial art,找不到解释
time art,找不到解释
art museum,"n. 美术馆
 艺术博物馆；美术博物馆；艺术馆"
audio tour, 语音导览；语音讲解；随身导览讲解的设备
British Museum,"n. 大英博物馆
 不列颠博物馆；英国大英博物馆；伦敦大英博物馆"
caption,"n. 标题；字幕；说明；逮捕
vt. 加上说明；加上标题"
dinosaur,n. 恐龙；过时、落伍的人或事物
dinosaur model,找不到解释
educational,adj. 教育的；有教育意义的
exhibition opening time,找不到解释
explain,v. 说明；解释
fossil,"n. 化石；僵化的事物；顽固不化的人
adj. 化石的；陈腐的，守旧的"
ground map,找不到解释
historic,adj. 有历史意义的；历史上著名的
incomparable,"n. 盖世无双的人
adj. 无比的；无可匹敌的；不能比较的"
Jurassic Period,找不到解释
Louvre,找不到解释
main entrance,"un. 主要出入口；主通道
 正门；大门；主要入口"
military equipment, 军事装备学；军事设备；军用装备
military museum,"《英汉医学词典》military museum
军事博物馆"
museum plan,找不到解释
museum staff,找不到解释
National Museum of China,找不到解释
American Museum of Natural History, 美国自然历史博物馆；美国自然史博物馆；纽约自然历史博物馆
natural history museum,"n. 自然历史博物馆
 自然史博物馆；英国自然历史博物馆；自然博物馆"
no flash,找不到解释
on display,"un. 公开展出
 展览；陈列；正在展览中"
painting,"n. 绘画；油画；着色
v. 绘画（paint的ing形式）；涂色于"
The Palace Museum,找不到解释
precious,adj. 宝贵的；珍贵的；矫揉造作的
pterosaur,n. 翼龙
security camera, 监视器；保安摄像机；安防摄像头
security system,"un. 安全性系统
 安全系统；保安系统；安防系统"
science museum,"n. 科学馆
 科学博物馆；科技博物馆；伦敦科学博物馆"
sculpture,"n. 雕塑；雕刻；刻蚀
vt. 雕塑；雕刻；刻蚀
vi. 从事雕刻"
showpiece,n. 展出品，展示品
ticket counter,"un. 售票台
 票务处；售票处；售票柜台"
tyrannosaurus,n. 暴龙
unearthly,adj. 神秘的；怪异的；可怕的；非尘世的
with access all day,找不到解释
vertical,"n. 垂直线，垂直面
adj. 垂直的，直立的； 头顶的，顶点的"
attempt,"n. 企图，试图；攻击
vt. 企图，试图；尝试"
try,"n. 尝试；努力；试验
vt. 试图，努力；试验；审判；考验
vi. 尝试；努力；试验"
address,"n. 地址；演讲；致辞；说话的技巧；称呼
vt. 演说；从事；忙于；写姓名地址；向…致辞；与…说话；提出；处理"
undoubted,adj. 无疑的；确实的
undoubtedly,adv. 确实地，毋庸置疑的
face,"n. 脸；表面；面子；面容；外观；威信
vi. 向；朝
vt. 面对；面向；承认；抹盖"
produce,"n. 农产品，产品
vt. 生产；引起；创作；生育，繁殖
vi. 生产，创作"
generate,vt. 使形成；发生；生殖；产生物理反应
manufacture,"n. 制造；产品；制造业
vt. 制造；加工；捏造
vi. 制造"
barley,n. 大麦
beet,"n. 甜菜；甜菜根
vt. 生火；修理；改过"
bland,"adj. 乏味的；温和的；冷漠的
vt. 使…变得淡而无味；除掉…的特性
vi. 变得平淡无奇；丧失特性"
broccoli,n. 花椰菜；西兰花
butter,"n. 黄油；奶油；奉承话
vt. 涂黄油于；讨好"
cabbage,n. 卷心菜，甘蓝菜，洋白菜；（俚)脑袋；（非正式、侮辱）植物人（常用于英式英语）；（俚）钱，尤指纸币（常用于美式俚语）
carrot,"n. 胡萝卜
诱饵"
celery,n.  芹菜
cereal,"n. 谷类，谷物；谷类食品；谷类植物
adj. 谷类的；谷类制成的"
chop,"n. 砍；排骨；商标；削球
(俚)丑人
vt. 剁碎；砍"
coarse cereal,找不到解释
corn,"n. （美）玉米；（英）谷物； 鸡眼
vt. 腌；使成颗粒"
crop,"n. 产量；农作物；庄稼；平头
vt. 种植；收割；修剪；剪短
vi. 收获"
cucumber,n. 黄瓜；胡瓜
cuisine,n. 烹饪，烹调法
dry farmland,旱田
edible,"n. 食品；食物
adj. 可食用的"
farm,"n. 农场；农家；畜牧场
vt. 养殖；耕种；佃出（土地）
vi. 种田，务农；经营农场"
foodstuff,n. 食品，食物；粮食，食料
grain,"n. 粮食；颗粒； 谷物；纹理
vt. 使成谷粒
vi. 成谷粒"
highland barley,"n. 青稞
 大麦的一种"
inedible,adj. 不能吃的
irrigated land,"un. 灌溉地；水浇地
 水田；灌溉土地"
leek,n. 韭； 韭葱
lettuce,n.  生菜；莴苣；（美）纸币
millet,n. 小米；粟；稷；黍的子实
mustard,n. 芥末；芥菜；深黄色；强烈的兴趣
oat,n. 燕麦；麦片粥，燕麦粥
onion,n. 洋葱；洋葱头
pea,n. 豌豆
peanut,n. 花生
pepper,"n. 胡椒；辣椒；胡椒粉
vt. 加胡椒粉于；使布满"
planting industry,种植业
potato,n.  土豆， 马铃薯
pumpkin,n. 南瓜
radish,n. 萝卜，小萝卜
rice,"n. 稻；米饭
vt. 把…捣成米糊状"
rotation,n. 旋转；循环，轮流
rye,"n. 黑麦；吉卜赛绅士
adj. 用黑麦制成的"
sesame,n. 芝麻
soybean,n. 大豆；黄豆
spinach,n. 菠菜
sugarcane,n.  甘蔗；糖蔗
tea,"n. 茶叶；茶树；茶点
vt. 给…沏茶
vi. 喝茶；进茶点"
tomato,n. 番茄，西红柿
wheat,n. 小麦；小麦色
disorient,vt. 使…迷惑；使…失去方向感
entry,n. 进入；入口；条目；登记；报关手续；对土地的侵占
entrance,"n. 入口；进入
vt. 使出神，使入迷"
access,"n. 进入；使用权；通路
vt. 使用；存取；接近"
exit,"n. 出口，通道；退场
vi. 退出；离去"
forth,adv. 向前，向外；自…以后
frontal,"n. 额骨，额部；房屋的正面
adj. 额的；正面的，前面的"
horizon,n.  地平线；视野；眼界；范围
lateral,"adj. 侧面的，横向的
n. 侧部； 边音
vt. 横向传球"
lateralize,v. 使向侧面
bilateral,adj. 双边的；有两边的
oriental,"adj. 东方的；东方人的
n. 东方人"
orientation,n. 方向；定向；适应；情况介绍；向东方
outlet,n. 出口，排放孔； 电源插座；销路；发泄的方法；批发商店
overhead,"adv. 在头顶上；在空中；在高处
adj. 高架的；在头上的；在头顶上的
n. 天花板； 经常费用；间接费用；吊脚架空层"
verge,"n. 边缘
vi. 濒临，接近；处在边缘"
zenith,"n. 顶峰；顶点；最高点
n. 真力时（瑞士名表）"
hollow,"n. 洞；山谷；窟窿
adj. 空的；中空的，空腹的；凹的；虚伪的
vt. 使成为空洞
adv. 彻底地；无用地
vi. 形成空洞"
container,n. 集装箱；容器
contain,"vi. 含有；自制
vt. 包含；控制；容纳；牵制（敌军）"
container,n. 集装箱；容器
cover,"n. 封面，封皮；盖子；掩蔽物;幌子，借口
vt. 包括；采访，报导；涉及
vi. 覆盖；代替"
core,找不到解释
layer,"n. 层，层次；膜；压条；放置者，计划者
vt. 把…分层堆放；借助压条法；生根繁殖；将（头发）剪成不同层次
vi. 形成或分成层次；通过压条法而生根"
molten,"adj. 熔化的；铸造的；炽热的
v. 换毛；脱毛（molt的过去分词）"
bubble,"n. 气泡，泡沫，泡状物；透明圆形罩，圆形顶
vt. 使冒泡；滔滔不绝地说
vi. 沸腾，冒泡；发出气泡声"
configuration,n. 配置；结构；外形
detach,vt. 分离；派遣；使超然
ditch,"n. 沟渠；壕沟
vt. 在…上掘沟；把…开入沟里；丢弃
vi. 开沟；掘沟"
embed,vt. 栽种；使嵌入，使插入；使深留脑中
emboss,vt. 使凸出；在……上作浮雕图案；装饰
gel,"n.  凝胶，胶体
vi. 胶化"
harden,"vi. 变硬，变坚固；变坚强；变冷酷
vt. 使…变硬；使…坚强；使…冷酷；使…麻木不仁"
lapping,"n. 研磨；抛光；搭接
v. 舔；折叠（lap的ing形式）"
lubricant,"n. 润滑剂；润滑油
adj. 润滑的"
lubricate,"vi. 润滑；涂油；起润滑剂作用
vt. 使…润滑；给…加润滑油"
meld,"vi. 合并；混合
vt. 使…合并；使…混合
n. 结合；融合"
mosaic,"adj. 摩西的；拼成的；嵌花式的
n. 马赛克；镶嵌；镶嵌细工"
mould,"vi. 发霉
vt. 浇铸；用泥土覆盖
n. 模具；霉"
nugget,n. 天然金块，矿块；珍闻，珍品
perforate,"vt. 穿孔于，打孔穿透；在…上打齿孔
vi. 穿过，贯穿；穿孔"
quarry,"n. 采石场；猎物；来源
vt. 挖出；努力挖掘
vi. 费力地找"
refine,vt. 精炼，提纯；改善；使…文雅
seam,"n. 缝；接缝
vt. 缝合；接合；使留下伤痕
vi. 裂开；产生裂缝"
smelt,"n. 香鱼；胡瓜鱼
vt. 熔炼，冶炼；精炼
vi. 熔炼，精炼
v. 闻（smell的过去式和过去分词）"
spark,"n. 火花；朝气；闪光
vt. 发动；鼓舞；求婚
vi. 闪烁；发火花；求婚"
tinker,"n. 补锅匠；修补匠；焊锅；（美）小鲭鱼
vi. 做焊锅匠；焊补；笨手笨脚地做事
vt. 修补；粗修"
weld,"n. 焊接；焊接点
vt. 焊接；使结合；使成整体
vi. 焊牢"
assemble,"vt. 集合，聚集；装配；收集
vi. 集合，聚集"
assembly,n. 装配；集会，集合
behave,"vi. 表现；（机器等）运转；举止端正；（事物）起某种作用
vt. 使守规矩；使表现得…"
conserve,"n. 果酱；蜜饯
vt. 保存；将…做成蜜饯；使守恒"
conservative,找不到解释
fabricate,vt. 制造；伪造；装配
generative,adj. 生殖的；生产的；有生殖力的；有生产力的
manufacture,"n. 制造；产品；制造业
vt. 制造；加工；捏造
vi. 制造"
manufactured,"adj. 制造的，已制成的
v. 制造，加工（manufacture的过去式）"
manufacturer,n. 制造商； 厂商
mechanical,adj. 机械的；力学的；呆板的；无意识的；手工操作的
preserve,"n. 保护区；禁猎地；加工成的食品
vt. 保存；保护；维持；腌；禁猎"
keep,"vt. 保持；经营；遵守；饲养
vi. 保持；继续不断
n. 保持；生计；生活费"
store,"n. 商店；储备，贮藏；仓库
vt. 贮藏，储存"
productive,adj. 能生产的；生产的，生产性的；多产的；富有成效的
article,"n. 文章；物品；条款； 冠词
vt. 订约将…收为学徒或见习生；使…受协议条款的约束
vi. 签订协议；进行控告"
item,"n. 条款，项目；一则；一件商品（或物品）
adj. 又，同上
v. 记下；逐条列出"
board,"n. 董事会；木板；甲板；膳食
vt. 上（飞机、车、船等）；用板盖上；给提供膳宿
vi. 寄宿"
canvas,"n. 帆布
adj. 帆布制的
vt. 用帆布覆盖，用帆布装备"
craft,"n. 工艺；手艺；太空船
vt. 精巧地制作"
entity,n. 实体；存在；本质
girdle,"n. 腰带；围绕物；妇女紧身褡
vt. 围绕；绕…而行；用带子捆扎"
leash,"n. 皮带；束缚
vt. 束缚；用皮带绑住"
souvenir,"n. 纪念品；礼物
vt. 把…留作纪念"
spur,"n. 鼓舞，刺激；马刺；山坡
vt. 激励，鞭策；给…装踢马刺
vi. 骑马疾驰；给予刺激"
stick,"n. 棍；手杖；呆头呆脑的人
vi. 坚持；伸出；粘住
vt. 刺，戳；伸出；粘贴"
strip,"n. 带；条状；脱衣舞
vt. 剥夺；剥去；脱去衣服
vi. 脱去衣服"
tugboat,n. 拖船（等于towboat或tug）
varnish,"n. 亮光漆，清漆；虚饰；光泽面
vt. 装饰，粉饰；在…上涂清漆；使…有光泽"
vessel,n. 船，舰； 脉管，血管；容器，器皿
cavern,"n. 洞穴；凹处
vt. 挖空；置…于洞穴中"
cavity,n. 腔；洞，凹处
empty,"n. 空车；空的东西
adj. 空的；无意义的；无知的；徒劳的
vt. 使失去；使…成为空的
vi. 成为空的；流空"
