gain,"n. 增加；利润；收获
vi. 增加；获利
vt. 获得；增加；赚到"
circus,n. 马戏；马戏团
contribute,"vt. 贡献，出力；投稿；捐献
vi. 贡献，出力；投稿；捐献
"
regret,"n. 遗憾；抱歉；悲叹
vi. 感到后悔；感到抱歉
vt. 后悔；惋惜；哀悼"
abstract,"n. 摘要；抽象；抽象的概念
adj. 抽象的；深奥的
vt. 摘要；提取；使……抽象化；转移(注意力、兴趣等)；使心不在焉
vi. 做摘要；写梗概"
missile,"n. 导弹；投射物
adj. 导弹的；可投掷的；用以发射导弹的"
brilliant,adj. 灿烂的，闪耀的；杰出的；有才气的；精彩的，绝妙的
confer,"vt. 授予；给予
vi. 协商"
regular,"n. 常客；正式队员；中坚分子
adj. 定期的；有规律的；合格的；整齐的；普通的
adv. 定期地；经常地"
melody,n. 旋律；歌曲；美妙的音乐
stripe,"n. 条纹，斑纹；种类
vt. 加条纹于…"
impair,vt. 损害；削弱；减少
obstruct,"vt. 妨碍；阻塞；遮断
vi. 阻塞；设障碍"
skeleton,"n. 骨架，骨骼；纲要；骨瘦如柴的人
adj. 骨骼的；骨瘦如柴的；概略的"
stem,"n. 干；茎；船首；血统
vt. 阻止；除去…的茎；给…装柄
vi. 阻止；起源于某事物；逆行"
assault,"n. 攻击；袭击
vt. 攻击；袭击
vi. 袭击；动武"
thrust,"n.  推力；刺
vt. 插；插入；推挤
vi. 插入；用向某人刺去；猛然或用力推"
spontaneous,adj. 自发的；自然的；无意识的
parliament,n. 议会，国会
gulf,"n. 海湾；深渊；分歧；漩涡
vt. 吞没"
famine,n. 饥荒；饥饿，奇缺
miracle,n. 奇迹，奇迹般的人或物；惊人的事例
compute,"n. 计算；估计；推断
vt. 计算；估算；用计算机计算
vi. 计算；估算；推断"
panel,"n. 仪表板；嵌板；座谈小组，全体陪审员
vt. 嵌镶板"
overhear,"vt. 无意中听到；偷听
vi. 无意中听到；偷听到"
regulate,vt. 调节，规定；控制；校准；有系统的管理
renew,"vt. 使更新；续借；续费；复兴；重申
vi. 更新；重新开始"
exploit,"n. 勋绩；功绩
vt. 开发，开拓；剥削；开采"
minor,"adj. 未成年的；次要的；较小的；小调的；二流的
n. 未成年人；小调；副修科目
vi. 副修"
accustomed,"v. 使习惯于（accustom的过去分词）
adj. 习惯的；通常的；独有的"
expectation,n. 期待；预期；指望
tension,"n. 张力，拉力；紧张，不安；电压
vt. 使紧张；使拉紧"
greedy,adj. 贪婪的；贪吃的；渴望的
extra,"n. 临时演员；号外；额外的事物；上等产品
adj. 额外的，另外收费的；特大的
adv. 特别地，非常；另外"
effort,n. 努力；成就
dynamic,"n. 动态；动力
adj. 动态的；动力的；动力学的；有活力的"
respond,"n. 应答；唱和
vi. 回答；作出反应；承担责任
vt. 以…回答"
spirit,"n. 精神；心灵；情绪；志气；烈酒
vt. 鼓励；鼓舞；诱拐"
drill,"n. 训练；钻孔机；钻子；播种机
vt. 钻孔；训练；条播
vi. 钻孔；训练"
sensitive,"adj. 敏感的；感觉的； 灵敏的；感光的；易受伤害的；易受影响的
n. 敏感的人；有灵异能力的人"
cream,n. 奶油，乳脂；精华；面霜；乳酪
routine,"n.  程序；日常工作；例行公事
adj. 日常的；例行的"
permission,n. 允许，许可
trade,"n. 贸易，交易；行业；职业
vt. 用…进行交换
vi. 交易，买卖；以物易物"
vivid,adj. 生动的；鲜明的；鲜艳的
reference,"n. 参考，参照；涉及，提及；参考书目；介绍信；证明书
vt. 引用
vi. 引用"
challenge,"n. 挑战；怀疑
vt. 向…挑战；对…质疑"
aspect,n. 方面；方向；形势；外貌
polish,找不到解释
caution,"n. 小心，谨慎；警告，警示
vt. 警告"
castle,"n. 城堡；象棋中的车
vt. 置…于城堡中；筑城堡防御"
headline,"n. 大标题；内容提要；栏外标题；头版头条新闻
vt. 给…加标题；使成为注意中心；大力宣传"
insect,n. 昆虫；卑鄙的人
represent,"vt. 代表；表现；描绘；回忆；再赠送
vi. 代表；提出异议"
onset,n. 开始，着手；发作；攻击，进攻
vertical,"n. 垂直线，垂直面
adj. 垂直的，直立的； 头顶的，顶点的"
collection,n. 采集，聚集； 征收；收藏品；募捐
starvation,n. 饿死；挨饿；绝食
wash,"n. 洗涤；洗的衣服；化妆水；冲积物
vt. 洗涤；洗刷；冲走；拍打
vi. 洗澡；被冲蚀"
handle,"n.  把手；柄；手感；口实
vt. 处理；操作；运用；买卖；触摸
vi. 搬运；易于操纵"
practice,"n. 实践；练习；惯例
vt. 练习；实习；实行
vi. 练习；实习；实行"
outer,"adj. 外面的，外部的；远离中心的
n. 环外命中"
rational,"n. 有理数
adj. 合理的；理性的"
justify,"vi. 证明合法；整理版面
vt. 证明…是正当的；替…辩护"
nevertheless,"adv. 然而，不过；虽然如此
conj. 然而，不过"
locate,"vt. 位于；查找…的地点
vi. 定位；定居"
install,vt. 安装；任命；安顿
interfere,"vi. 干涉；妨碍；打扰
vt. 冲突；介入"
exceed,"vt. 超过；胜过
vi. 超过其他"
clarity,n. 清楚，明晰；透明
restore,"vi. 恢复；还原
vt. 恢复；修复；归还"
detect,vt. 察觉；发现；探测
mission,"n. 使命，任务；代表团；布道
vt. 派遣；向……传教"
confess,"vi. 承认；坦白；忏悔；供认
vt. 承认；坦白；忏悔；供认"
persist,"vi. 存留，坚持；持续，固执
vt. 坚持说，反复说"
circuit,"n.  电路，回路；巡回；一圈；环道
vt. 绕回…环行
vi. 环行"
boot,"n. 靴子；踢；汽车行李箱
vt. 引导；踢；解雇；使穿靴"
employ,"n. 使用；雇用
vt. 使用，采用；雇用；使忙于，使从事于"
suffer,"vi. 遭受，忍受；受痛苦；经验；受损害
vt. 遭受；忍受；经历"
promote,"vi. 成为王后或其他大于卒的子
vt. 促进；提升；推销；发扬"
fasten,"vt. 使固定；集中于；扎牢；强加于
vi. 扣紧；抓住；集中注意力"
shave,"vi. 剃须，剃毛
vt. 剃，削去；修剪；切成薄片；掠
n. 刮脸，剃胡子；修面；<口>侥幸逃过，幸免；剃刀，刮刀"
supreme,"n. 至高；霸权
adj. 最高的；至高的；最重要的"
offer,"vt. 提供；出价；试图
n. 提议；出价；意图；录取通知书
vi. 提议；出现；献祭；求婚"
pace,"n. 一步；步速；步伐；速度
vi. 踱步；缓慢而行
vt. 踱步于；用步测"
hire,"n. 雇用，租用；租金，工钱
vt. 雇用；出租
vi. 雇用，租用；受雇"
excite,"vt. 激起；刺激…，使…兴奋
vi. 激动"
probe,"n. 探针；调查
vi. 调查；探测
vt. 探查；用探针探测"
lash,"vt. 鞭打；冲击；摆动；扎捆；煽动；讽刺
vi. 鞭打；猛击；急速甩动
n. 鞭打；睫毛；鞭子；责骂；讽刺"
species,"n.  物种；种类
adj. 物种上的"
suburb,n. 郊区；边缘
discipline,"n. 学科；纪律；训练；惩罚
vt. 训练，训导；惩戒"
signify,"vt. 表示；意味；预示
vi. 有重要性；要紧；冒充内行"
irrational,"n.  无理数
adj. 不合理的；无理性的；荒谬的"
exposition,n. 博览会；阐述；展览会
giant,"n. 巨人；伟人； 巨大的动物
adj. 巨大的；巨人般的"
withstand,"vt. 抵挡；禁得起；反抗
vi. 反抗"
expertise,n. 专门知识；专门技术；专家的意见
undergo,vt. 经历，经受；忍受
boast,"n. 自夸；值得夸耀的事物，引以为荣的事物
vi. 自吹自擂
vt. 夸口说，自吹自擂说；以有…而自豪"
withhold,"vt. 保留，不给；隐瞒；抑制
vi. 忍住；克制"
overall,"adj. 全部的；全体的；一切在内的
adv. 全部地；总的说来
n. 工装裤；罩衫"
restless,adj. 焦躁不安的；不安宁的；得不到满足的
fleet,"n. 舰队；港湾；小河
adj. 快速的，敏捷的
vt. 消磨
vi. 飞逝；疾驰；掠过"
impulse,"n. 冲动； 脉冲；刺激；神经冲动；推动力
vt. 推动"
thesis,n. 论文；论点
erect,"vt. 使竖立；建造；安装
adj. 竖立的；笔直的；因性刺激而勃起的
vi. 直立；勃起"
hop,"vt. 搭乘
v. 单足跳跃
vi. 双足或齐足跳行
n. 蹦跳,跳跃；跳舞；一次飞行的距离"
utility,"n. 实用；效用；公共设施；功用
adj. 实用的；通用的；有多种用途的"
allow,"vi. 容许；考虑
vt. 允许；给予；认可"
chief,"n. 首领；酋长；主要部分
adj. 首席的；主要的；主任的
adv. 主要地；首要地"
steam,"n. 蒸汽；精力
adj. 蒸汽的
vt. 蒸，散发；用蒸汽处理
vi. 蒸，冒水汽"
frighten,"vt. 使惊吓；吓唬…
vi. 害怕，惊恐"
chew,"n. 咀嚼；咀嚼物
vi. 细想，深思
vt. 嚼碎，咀嚼"
cautious,adj. 谨慎的；十分小心的
decline,"n. 下降；衰退；斜面
vt. 谢绝；婉拒
vi. 下降；衰落；谢绝"
transplant,"n. 移植；移植器官；被移植物；移居者
vt. 移植；迁移；使移居
vi. 移植；迁移；移居"
insist,"vi. 坚持，强调
vt. 坚持，强调"
digital,"n. 数字；键
adj. 数字的；手指的"
loaf,"n. 条，一条面包；块；游荡
vt. 游荡；游手好闲；虚度光阴
vi. 游荡；游手好闲；虚度光阴"
defend,"vi. 保卫；防守
vt. 辩护；防护"
check,"n. <美>支票；制止，抑制；检验，核对
vi. 核实，查核；中止；打勾；将一军
vt. 检查，核对；制止，抑制；在…上打勾"
support,"n. 支持，维持；支援，供养；支持者，支撑物
vt. 支持，支撑，支援；扶持，帮助；赡养，供养"
repeat,"n. 重复；副本
vi. 重做；重复发生
vt. 重复；复制；背诵"
conduct,"n. 进行；行为；实施
vi. 导电；带领
vt. 管理；引导；表现"
form,"n. 形式，形状；形态，外形；方式；表格
vt. 构成，组成；排列，组织；产生，塑造
vi. 形成，构成；排列"
lantern,n. 灯笼；提灯；灯笼式天窗
overcoat,n. 大衣，外套
mark,"n. 标志；马克；符号；痕迹；分数
vi. 作记号
vt. .标志；做标记于；打分数
n. . 标志；做标记于；打分数"
tradition,n. 惯例，传统；传说
litter,"n. 垃圾；轿，担架；一窝（动物的幼崽）；凌乱
vt. 乱丢；给…垫褥草；把…弄得乱七八糟
vi. 产仔；乱扔废弃物"
nationwide,"adj. 全国范围的；全国性的
adv. 在全国"
awkward,adj. 尴尬的；笨拙的；棘手的；不合适的
decrease,"n. 减少，减小；减少量
vt. 减少，减小
vi. 减少，减小"
instance,"n. 实例；情况；建议
vt. 举...为例"
consistent,adj. 始终如一的，一致的；坚持的
power,"n. 力量，能力；电力，功率；政权，势力； 幂
adj. 借影响有权势人物以操纵权力的
vt. 激励；供以动力；使…有力量
vi. 快速前进"
vague,adj. 模糊的；含糊的；不明确的；暧昧的
pump,"n. 泵，抽水机；打气筒
vt. 打气；用抽水机抽…
vi. 抽水"
cushion,"n. 垫子；起缓解作用之物；（猪等的）臀肉；银行储蓄
vt. 给…安上垫子；把…安置在垫子上；缓和…的冲击"
leak,"n. 泄漏；漏洞，裂缝
vt. 使渗漏，泄露
vi. 漏，渗；泄漏出去"
loud,"adj. 大声的，高声的；不断的；喧吵的
adv. 大声地，高声地，响亮地"
pension,"n. 退休金，抚恤金；津贴；膳宿费
vt. 发给养老金或抚恤金"
revolve,"n. 旋转；循环；旋转舞台
vt. 使…旋转；使…循环；反复考虑
vi. 旋转；循环出现；反复考虑"
lame,"adj. 跛足的；僵痛的；不完全的；无说服力的；差劲的，蹩脚的
vi. 变跛
vt. 使跛；使成残废"
exercise,"n. 运动；练习；运用；操练；礼拜；典礼
vt. 锻炼；练习；使用；使忙碌；使惊恐
vi. 运动；练习"
shock,"n. 休克；震惊；震动；打击；禾束堆
adj. 浓密的；蓬乱的
vt. 使休克；使震惊；使震动；使受电击；把…堆成禾束堆
vi. 感到震惊；受到震动；堆成禾束堆"
familiar,"n. 常客；密友
adj. 熟悉的；常见的；亲近的"
discover,"vi. 发现
vt. 发现；发觉"
register,"n. 登记；注册；记录；寄存器；登记簿
vt. 登记；注册；记录；挂号邮寄；把…挂号；正式提出
vi. 登记；注册；挂号"
violate,vt. 违反；侵犯，妨碍；亵渎
parcel,"n. 包裹，小包
vt. 打包；捆扎"
identity,n. 身份；同一性，一致；特性；恒等式
ownership,n. 所有权；物主身份
steak,n. 牛排；肉排；鱼排
compare,"vi. 相比，匹敌；比较，区别；比拟（常与to连用）
vt. 比拟，喻为；构成
n. 比较"
humor,"n. 幽默，诙谐；心情
vt. 迎合，迁就；顺应"
blossom,"n. 花；开花期；兴旺期；花开的状态
vi. 开花；兴旺；发展成"
outdated,"adj. 过时的；旧式的
v. 使过时（outdate的过去式和过去分词）"
liberal,"adj. 自由主义的；慷慨的；不拘泥的；宽大的
n. 自由主义者"
naughty,adj. 顽皮的，淘气的；不听话的；没规矩的；不适当的；下流的
horizon,n.  地平线；视野；眼界；范围
drama,n. 戏剧，戏剧艺术；剧本；戏剧性事件
riot,"n. 暴乱；放纵；蔓延
vt. 浪费，挥霍
vi. 骚乱；放荡"
lease,"n. 租约；租期；租赁物；租赁权
vt. 出租；租得
vi. 出租"
element,n. 元素；要素；原理；成分；自然环境
resolve,"n. 坚决；决定要做的事
vt. 决定；溶解；使…分解；决心要做…
vi. 解决；决心；分解"
impose,"vt. 强加；征税；以…欺骗
vi. 利用；欺骗；施加影响"
strike,"n. 罢工；打击；殴打
vi. 打，打击；罢工；敲，敲击；抓；打动；穿透
vt. 打，击；罢工；撞击，冲击；侵袭；打动；到达"
inherit,"vt. 继承；遗传而得
vi. 成为继承人"
grave,"n. 墓穴，坟墓；死亡
adj. 重大的；严肃的；黯淡的
vt. 雕刻；铭记"
fiscal,adj. 会计的，财政的；国库的
ivory,"n. 象牙；乳白色；长牙
adj. 乳白色的；象牙制的"
thread,"n. 线；螺纹；思路；衣服；线状物；玻璃纤维；路线
vt. 穿过；穿线于；使交织
vi. 通过；穿透过"
capacity,n. 能力；容量；资格，地位；生产力
sovereign,"n. 君主；独立国；最高统治者
adj. 至高无上的；有主权的；拥有最高统治权的；不折不扣的；极好的"
impatient,adj. 焦躁的；不耐心的
durable,"n. 耐用品
adj. 耐用的，持久的"
owl,n. 猫头鹰；枭；惯于晚上活动的人
landscape,"n. 风景；风景画；景色；山水画；乡村风景画；地形；（文件的）横向打印格式
vt. 对…做景观美化，给…做园林美化；从事庭园设计
vi. 美化（环境等），使景色宜人；从事景观美化工作，做庭园设计师"
dolphin,n. 海豚
portion,"n. 部分；一份；命运
vt. 分配；给…嫁妆"
moderate,"adj. 稳健的，温和的；适度的，中等的；有节制的
vi. 变缓和，变弱
vt. 节制；减轻"
interior,"n. 内部；本质
adj. 内部的；国内的；本质的"
fossil,"n. 化石；僵化的事物；顽固不化的人
adj. 化石的；陈腐的，守旧的"
mere,"adj. 仅仅的；只不过的
n. 小湖；池塘"
pave,vt. 铺设；安排；作铺设之用
evade,"vt. 逃避；规避；逃脱
vi. 逃避；规避；逃脱"
elite,n. 精英；精华；中坚分子
profit,"n. 利润；利益
vt. 有益于
vi. 获利；有益"
shade,"n. 树荫；阴影；阴凉处；遮阳物；（照片等的）明暗度；少量、些微；细微的差别
vt. 使阴暗；使渐变；为…遮阳；使阴郁；掩盖
vi. （颜色、色彩等）渐变"
accurate,adj. 精确的
format,"n. 格式；版式；开本
vt. 使格式化；规定…的格式
vi. 设计版式"
bonus,n. 奖金；红利；额外津贴
celebrate,"vt. 庆祝；举行；赞美；祝贺；宣告
vi. 庆祝；过节；举行宗教仪式"
acquire,vt. 获得；取得；学到；捕获
adjustment,n. 调整，调节；调节器
scan,"n. 扫描；浏览；审视；细看
vt. 扫描；浏览；细看；详细调查；标出格律
vi. 扫描；扫掠"
recommend,"vt. 推荐，介绍；劝告；使受欢迎；托付
vi. 推荐；建议"
strait,"n. 海峡；困境
adj. 狭窄的；苦恼的"
fist,"n. 拳，拳头；笔迹；掌握；指标参见号
vt. 紧握；握成拳；用拳打"
reservation,n. 预约，预订；保留
pride,"n. 自豪；骄傲；自尊心
vt. 使得意，以…自豪
vi. 自豪"
authentic,adj. 真正的，真实的；可信的
