spite,"n. 不顾；恶意；怨恨
vt. 刁难；使恼怒"
glare,"n. 刺眼；耀眼的光；受公众注目
vt. 瞪视；发眩光
vi. 瞪眼表示"
dictate,"n. 命令；指示
vt. 命令；口述；使听写
vi. 口述；听写"
credit,"n. 信用，信誉； 贷款；学分；信任；声望
vt. 相信，信任；把…归给，归功于；赞颂"
dilemma,n. 困境；进退两难；两刀论法
prominent,adj. 突出的，显著的；杰出的；卓越的
insane,adj. 疯狂的；精神病的；极愚蠢的
magnitude,n. 大小；量级； 震级；重要；光度
hostage,n. 人质；抵押品
exchange,"n. 交换；交流；交易所；兑换
vt. 交换；交易；兑换
vi. 交换；交易；兑换"
flank,"n. 侧面；侧翼；侧腹
vt. 守侧面；位于…的侧面；攻击侧面
vi. 侧面与…相接
adv. 在左右两边"
convene,"vt. 召集，集合；传唤
vi. 聚集，集合"
affiliate,"n. 联号；隶属的机构等
vt. 使附属；接纳；使紧密联系
vi. 参加，加入；发生联系"
inertia,n.  惯性；惰性，迟钝；不活动
appearance,n. 外貌，外观；出现，露面
subsequent,adj. 后来的，随后的
reflect,"vt. 反映；反射，照出；表达；显示;反省
vi. 反射，映现；深思"
slump,"vt. 使降低；使衰落；使倒下
n. 衰退；暴跌；消沉
vi. 下降，衰落；倒下；大幅度下降，暴跌"
skull,n. 头盖骨，脑壳
implication,n. 含义；暗示；牵连，卷入；可能的结果，影响
diligent,adj. 勤勉的；用功的，费尽心血的
cradle,"n. 摇篮；发源地；发祥地；支船架
vt. 抚育；把...搁在支架上；把...放在摇篮内"
adapt,"vi. 适应
vt. 使适应；改编"
skip,"n. 跳跃；跳读
vt. 跳过；遗漏
vi. 跳跃；跳绳；遗漏；跳读"
erroneous,adj. 错误的；不正确的
subsidiary,"n. 子公司；辅助者
adj. 附属的；辅助的"
benefit,"n. 利益，好处；救济金
vt. 有益于，对…有益
vi. 受益，得益"
subsidy,n. 补贴；津贴；补助金
fabric,n. 织物；布；组织；构造；建筑物
substance,n. 物质；实质；资产；主旨
adjust,"vt. 调整，使…适合；校准
vi. 调整，校准；适应"
elegant,adj. 高雅的，优雅的；讲究的；简炼的；简洁的
edible,"n. 食品；食物
adj. 可食用的"
collaboration,n. 合作；勾结；通敌
abuse,"n. 滥用；虐待；辱骂；弊端；恶习，陋习
vt. 滥用；虐待；辱骂"
imply,vt. 意味；暗示；隐含
distinct,adj. 明显的；独特的；清楚的；有区别的
economy,n. 经济；节约；理财
dock,"n. 码头；船坞；被告席；尾巴的骨肉部分
vt. 使靠码头；剪短
vi. 入船坞"
rim,"n. 边，边缘；轮辋；圆圈
vt. 作…的边，装边于
vi. 作…的边，装边于"
indifferent,adj. 漠不关心的；无关紧要的；中性的，中立的
appraisal,n. 评价；估价（尤指估价财产，以便征税）；估计
confidential,adj. 机密的；表示信任的；获信任的
administration,n. 管理；行政；实施；行政机构
collapse,"n. 倒塌；失败；衰竭
vt. 使倒塌，使崩溃；使萎陷；折叠
vi. 倒塌；瓦解；暴跌"
instantaneous,adj. 瞬间的；即时的；猝发的
commodity,n. 商品，货物；日用品
affection,n. 喜爱，感情；影响；感染
environment,n. 环境，外界
complicated,adj. 难懂的，复杂的
comic,"n. 连环漫画；喜剧演员；滑稽人物
adj. 喜剧的；滑稽的；有趣的"
evaluate,"vt. 评价；估价；求…的值
vi. 评价；估价"
subtract,vt. 减去；扣掉
suburb,n. 郊区；边缘
devote,vt. 致力于；奉献
cautious,adj. 谨慎的；十分小心的
successive,adj. 连续的；继承的；依次的；接替的
marginal,adj. 边缘的；临界的；末端的
clerk,"n. 职员，办事员；店员；书记；记账员；<古>牧师，教士
vi. 当销售员，当店员；当职员"
rein,"n. 缰绳；驾驭；统治；支配
vt. 控制；驾驭；勒住
vi. 勒住马"
ozone,n.  臭氧；新鲜的空气
successor,n. 继承者；后续的事物
decay,"n. 衰退， 衰减；腐烂，腐朽
vt. 使腐烂，使腐败；使衰退，使衰落
vi. 衰退， 衰减；腐烂，腐朽"
neglect,"vt. 疏忽，忽视；忽略
n. 疏忽，忽视；怠慢"
heap,"n. 堆；许多；累积
vt. 堆；堆积
vi. 堆起来"
application,n. 应用；申请；应用程序；敷用
modest,adj. 谦虚的，谦逊的；适度的；端庄的；羞怯的
residential,adj. 住宅的；与居住有关的
orchestra,n. 管弦乐队；乐队演奏处
depict,vt. 描述；描画
convention,n. 大会； 惯例； 约定； 协定；习俗
association,n. 协会，联盟，社团；联合；联想
contempt,n. 轻视，蔑视；耻辱
signal,"n. 信号；暗号；导火线
adj. 显著的；作为信号的
vt. 标志；用信号通知；表示
vi. 发信号"
condense,"vt. 使浓缩；使压缩
vi. 浓缩；凝结"
fund,"n. 基金；资金；存款
vt. 投资；资助"
extreme,"n. 极端；末端；最大程度；极端的事物
adj. 极端的；极度的；偏激的；尽头的"
latitude,n. 纬度；界限；活动范围
hawk,"n. 鹰；鹰派成员；掠夺他人的人
vi. 清嗓；咳嗽；像鹰一般地袭击
vt. 兜售，沿街叫卖；捕捉；咳出"
illustrate,"vi. 举例
vt. 阐明，举例说明；图解"
mass,"n. 块，团；群众，民众；大量，众多；质量
adj. 群众的，民众的；大规模的，集中的
vi. 聚集起来，聚集
vt. 使集合"
hum,"n. 嗡嗡声；哼声；杂声
vt. 用哼声表示
int. 哼；嗯
vi. 发低哼声"
suffice,"vt. 使满足；足够…用；合格
vi. 足够；有能力"
moral,"adj. 道德的；精神上的；品性端正的
n. 道德；寓意"
discard,"n. 抛弃；被丢弃的东西或人
vt. 抛弃；放弃；丢弃
vi. 放弃"
plunge,"n. 投入；跳进
vt. 使陷入；使投入；使插入
vi. 突然地下降；投入；陷入；跳进"
explicit,adj. 明确的；清楚的；直率的；详述的
slick,"n.  平滑器； 修光工具；通俗杂志
adj. 光滑的；华而不实的；聪明的；熟练的；老套的
adv. 灵活地；聪明地
vt. 使光滑；使漂亮
vi. 打扮整洁"
approve,"vi. 批准；赞成；满意
vt. 批准；赞成；为…提供证据"
random,"n. 随意
adj.  随机的；任意的；胡乱的
adv. 胡乱地"
prolong,vt. 延长；拖延
fundamental,"n. 基本原理；基本原则
adj. 基本的，根本的"
quench,"vt. 熄灭， 淬火；解渴；结束；冷浸
vi. 熄灭；平息"
lease,"n. 租约；租期；租赁物；租赁权
vt. 出租；租得
vi. 出租"
howl,"n. 嗥叫；怒号；嚎哭
vt. 狂喊着说；对…吼叫
vi. 咆哮；怒吼；狂吠"
sufficient,adj. 足够的；充分的
revenue,n. 税收，国家的收入；收益
behave,"vi. 表现；（机器等）运转；举止端正；（事物）起某种作用
vt. 使守规矩；使表现得…"
banquet,"n. 宴会，盛宴；宴请，款待
vt. 宴请，设宴款待
vi. 参加宴会"
divine,"n. 牧师；神学家
adj. 神圣的；非凡的；天赐的；极好的
vt. 占卜；预言；用占卜勘探
vi. 占卜；预言；使用占卜勘探矿"
donate,"n. 捐赠；捐献
vt. 捐赠；捐献
vi. 捐赠；捐献"
longevity,n. 长寿，长命；寿命
margin,"n. 边缘；利润，余裕；页边的空白
vt. 加边于；加旁注于"
immune,"n. 免疫者；免除者
adj. 免疫的；免于……的，免除的"
destructive,adj. 破坏的；毁灭性的；有害的，消极的
climate,n. 气候；风气；思潮；风土
impact,"vi. 影响；撞击；冲突；压紧（on，upon，with）
n. 影响；效果；碰撞；冲击力
vt. 挤入，压紧；撞击；对…产生影响"
precedent,"n. 先例；前例
adj. 在前的；在先的"
suite,n. （一套）家具；套房；组曲；（一批）随员，随从
disorder,"n. 混乱；骚乱
vt. 使失调；扰乱"
sulfur,"n. 硫磺；硫磺色
vt. 用硫磺处理"
refrain,"n. 叠句，副歌；重复
vi. 节制，克制；避免；制止"
skeptical,adj. 怀疑的；怀疑论的，不可知论的
defeat,"n. 失败的事实；击败的行为
vt. 击败，战胜；挫败；使…失败"
endure,"vt. 忍耐；容忍
vi. 忍耐；持续"
outward,"adj. 向外的；外面的；公开的；外服的；肉体的
adv. 向外（等于outwards）；在外；显而易见地
n. 外表；外面；物质世界"
summit,"n. 顶点；最高级会议；最高阶层
adj. 最高级的；政府首脑的"
activate,"vt. 刺激；使活动；使活泼；使产生放射性
vi. 激活；有活力"
summon,vt. 召唤；召集；鼓起；振作
aggravate,vt. 加重；使恶化；激怒
annoy,"n. 烦恼（等于annoyance）
vt. 骚扰；惹恼；打搅
vi. 惹恼；令人讨厌；打搅"
designate,"vt. 指定；指派；标出；把…定名为
adj. 指定的；选定的"
gorgeous,adj. 华丽的，灿烂的；极好的
reform,"n. 改革，改良；改正
adj. 改革的；改革教会的
vt. 改革，革新；重新组成
vi. 重组；改过"
proclaim,vt. 宣告，公布；声明；表明；赞扬
preferable,adj. 更好的，更可取的；更合意的
handicap,"n. 障碍；不利条件，不利的因素
vt. 妨碍，阻碍；使不利"
superficial,adj. 表面的；肤浅的 ；表面文章的；外表的；（人）浅薄的
paperback,"n. 平装本；廉价本
adj. 纸面装订的；纸面平装本书籍的
vt. 以平装本出版"
fascinate,"vt. 使着迷，使神魂颠倒
vi. 入迷"
accustomed,"v. 使习惯于（accustom的过去分词）
adj. 习惯的；通常的；独有的"
merit,"n. 优点，价值；功绩；功过
vt. 值得
vi. 应受报答"
shark,"n. 鲨鱼；骗子
vt. 敲诈
vi. 诈骗"
superintendent,n. 监督人；负责人；主管；指挥者
manuscript,"n.  手稿；原稿
adj. 手写的"
orthodox,"adj. 正统的；传统的；惯常的；东正教的
n. 正统的人；正统的事物"
original,"n. 原件；原作；原物；原型
adj. 原始的；最初的；独创的；新颖的"
misery,n. 痛苦，悲惨；不幸；苦恼；穷困
precious,adj. 宝贵的；珍贵的；矫揉造作的
regime,n. 政权，政体；社会制度；管理体制
negotiate,"vt. 谈判，商议；转让；越过
vi. 谈判，交涉"
superior,"n. 上级，长官；优胜者，高手；长者
adj. 上级的；优秀的，出众的；高傲的"
inventory,n. 存货，存货清单；详细目录；财产清册
smuggle,"vt. 走私；偷运
vi. 走私，私运；偷带"
superiority,n. 优越，优势；优越性
supersonic,"n. 超音速；超声波
adj. 超音速的；超声波的"
pole,找不到解释
cape,n.  海角，岬；披肩
additional,adj. 附加的，额外的
latent,adj. 潜在的；潜伏的；隐藏的
curb,"n. 抑制；路边；勒马绳
vt. 控制；勒住"
supervise,"vt. 监督，管理；指导
vi. 监督，管理；指导"
notorious,adj. 声名狼藉的，臭名昭著的
concern,"n. 关系；关心；关心的事；忧虑
vt. 涉及，关系到；使担心"
shove,"n. 推；挤
vt. 挤；强使；撞；猛推"
supplement,"vt. 增补，补充
n. 增补，补充；补充物；增刊，副刊"
supplementary,"n. 补充者；增补物
adj. 补充的；追加的"
brisk,"adj. 敏锐的，活泼的，轻快的；凛冽的
vt. 使……活泼；使……轻快；使……兴旺
vi. 活跃起来；变得轻快"
planet,n. 行星
suppress,vt. 抑制；镇压；废止
bang,"n. 刘海；重击；突然巨响
vt. 重击；发巨响
adv. 直接地；砰然地；突然巨响地"
bandage,"n. 绷带
vt. 用绷带包扎"
supreme,"n. 至高；霸权
adj. 最高的；至高的；最重要的"
surge,"n. 汹涌；大浪，波涛；汹涌澎湃；巨涌
v. 汹涌；起大浪，蜂拥而来"
confirm,vt. 确认；确定；证实；批准；使巩固
scrap,"n. 碎片；残余物；打架；少量
vt. 废弃；使解体；拆毁
adj. 废弃的；零碎的
vi. 吵架"
radiant,"n. 光点；发光的物体
adj. 辐射的；容光焕发的；光芒四射的"
sacred,adj. 神的；神圣的；宗教的；庄严的
exhibit,"n. 展览品；证据；展示会
vt. 展览；显示；提出（证据等）
vi. 展出；开展览会"
fort,"n. 堡垒；要塞；（美）边界贸易站
vt. 设要塞保卫
vi. 构筑要塞"
surgeon,n. 外科医生
inspire,vt. 激发；鼓舞；启示；产生；使生灵感
fossil,"n. 化石；僵化的事物；顽固不化的人
adj. 化石的；陈腐的，守旧的"
interim,"n. 过渡时期，中间时期；暂定
adj. 临时的，暂时的；中间的；间歇的"
entitle,vt. 称做…；定名为…；给…称号；使…有权利
compromise,"n. 妥协，和解；折衷
vt. 妥协；危害
vi. 妥协；让步"
pitch,"n. 沥青；音高；程度；树脂；倾斜；投掷；球场
vt. 投；掷；定位于；用沥青涂；扎营；向前倾跌
vi. 倾斜；投掷；搭帐篷；坠落"
eclipse,"n. 日蚀，月蚀；黯然失色
vt. 使黯然失色；形成蚀"
dine,"vi. 进餐，用餐
vt. 宴请"
perception,n. 知觉； 感觉；看法；洞察力；获取
identification,n. 鉴定，识别；认同；身份证明
exclude,vt. 排除；排斥；拒绝接纳；逐出
surgery,n. 外科；外科手术；手术室；诊疗室
monster,"n. 怪物；巨人，巨兽；残忍的人
adj. 巨大的，庞大的"
deteriorate,"vi. 恶化，变坏
vt. 恶化"
burden,"n. 负担；责任；船的载货量
vt. 使负担；烦扰；装货于"
fold,"n. 折痕；信徒；羊栏
vt. 折叠；合拢；抱住；笼罩
vi. 折叠起来；彻底失败"
gauge,"n. 计量器；标准尺寸；容量规格
vt. 测量；估计；给…定规格"
outline,"n. 轮廓；大纲；概要；略图
vt. 概述；略述；描画…轮廓"
junction,n. 连接，接合；交叉点；接合点
literal,adj. 文字的；逐字的；无夸张的
surpass,vt. 超越；胜过，优于；非…所能办到或理解
racket,"n. 球拍；吵闹，喧闹
vt. 过着花天酒地的生活
vi. 过着花天酒地的生活"
haul,"n. 拖，拉；用力拖拉；努力得到的结果；捕获物；一网捕获的鱼量；拖运距离
vt. 拖运；拖拉
vi. 拖，拉；改变主意；改变方向"
identify,vt. 确定；鉴定；识别，辨认出；使参与；把…看成一样 vi. 确定；认同；一致
athlete,n. 运动员，体育家；身强力壮的人
peculiar,"n. 特权；特有财产
adj. 特殊的；独特的；奇怪的；罕见的"
pessimistic,adj. 悲观的，厌世的；悲观主义的
console,"n.  控制台； 操纵台
vt. 安慰；慰藉"
species,"n.  物种；种类
adj. 物种上的"
author,"n. 作者；作家；创始人
vt. 创作出版"
deficiency,n. 缺陷，缺点；缺乏；不足的数额
radioactive,adj.  放射性的；有辐射的
surplus,"n. 剩余； 顺差；盈余；过剩
adj. 剩余的；过剩的"
survival,n. 幸存，残存；幸存者，残存物
survive,"vi. 幸存；活下来
vt. 幸存；生还；幸免于；比...活得长"
definitely,adv. 清楚地，当然；明确地，肯定地
criticism,n. 批评；考证；苛求
susceptible,"n. 易得病的人
adj. 易受影响的；易感动的；容许…的"
sue,"vt. 控告；请求
vi. 控告；提出请求"
peg,"n. 钉；桩；借口；琴栓
vt. 限制；钉木钉
adj. 越往下端越细的
vi. 疾行；孜孜不倦地做某事"
suspension,n. 悬浮；暂停；停职
dart,"vt. 投掷，投射；使迅速突然移动
vi. 向前冲，飞奔
n. 飞镖，标枪；急驰，飞奔；（虫的）螯；飞快的移动"
imperative,"n. 必要的事；命令；需要；规则；祈使语气
adj. 必要的，不可避免的；紧急的；命令的，专横的；势在必行的；祈使的"
breakdown,n. 故障；崩溃；分解；分类；衰弱；跺脚曳步舞
oriental,"adj. 东方的；东方人的
n. 东方人"
sanction,"n. 制裁，处罚；认可；支持
vt. 制裁，处罚；批准；鼓励"
notable,"adj. 值得注意的，显著的；著名的
n. 名人，显要人物"
restraint,n. 抑制，克制；约束
alternative,"n. 二中择一；供替代的选择
adj. 供选择的；选择性的；交替的"
fatigue,"n. 疲劳，疲乏；杂役
adj. 疲劳的
vt. 使疲劳；使心智衰弱
vi. 疲劳"
impetus,n. 动力；促进；冲力
suspicion,"n. 怀疑；嫌疑；疑心；一点儿
vt. 怀疑"
manufacture,"n. 制造；产品；制造业
vt. 制造；加工；捏造
vi. 制造"
