guarantee,"n. 保证；担保；保证人；保证书；抵押品
vt. 保证；担保"
reveal,"n. 揭露；暴露；门侧，窗侧
vt. 显示；透露；揭露；泄露"
presence,n. 存在；出席；参加；风度；仪态
generous,adj. 慷慨的，大方的；宽宏大量的；有雅量的
billionaire,n. 亿万富翁
relatively,adv. 相当地；相对地，比较地
evidence,"n. 证据，证明；迹象；明显
vt. 证明"
mere,"adj. 仅仅的；只不过的
n. 小湖；池塘"
infant,"n. 婴儿；幼儿；未成年人
adj. 婴儿的；幼稚的；初期的；未成年的"
executive,"n. 总经理；执行委员会；执行者；经理主管人员
adj. 行政的；经营的；执行的，经营管理的"
wage,"n. 工资；代价；报偿
vt. 进行；开展
vi. 进行；发动；从事"
soften,"vt. 使温和；使缓和；使变柔软
vi. 减轻；变柔和；变柔软"
tendency,n. 倾向，趋势；癖好
brush,"n. 刷子；画笔；毛笔；争吵；与某人有效冲突；灌木丛地带；矮树丛；狐狸尾巴
vi. 刷；擦过；掠过；（经过时）轻触
vt. 刷；画；"
twist,"n. 扭曲；拧；扭伤
vt. 捻；拧；扭伤；编织；使苦恼
vi. 扭动；弯曲"
apparently,adv. 显然地；似乎，表面上
evoke,vt. 引起，唤起；博得
speculation,n. 投机；推测；思索；投机买卖
oriented,"adj. 导向的；定向的；以…为方向的
v. 调整；使朝向（orient的过去分词）；确定…的方位"
proximity,n. 接近，邻近；接近；接近度，距离；亲近
prompt,"n. 提示；付款期限；DOS命令：改变DOS系统提示符的风格
adj. 敏捷的，迅速的；立刻的
vt. 提示；促进；激起；（给演员）提白
adv. 准时地"
additional,adj. 附加的，额外的
charitable,adj. 慈善事业的；慷慨的，仁慈的；宽恕的
inspiration,n. 灵感；鼓舞；吸气；妙计
surge,"n. 汹涌；大浪，波涛；汹涌澎湃；巨涌
v. 汹涌；起大浪，蜂拥而来"
foundation,n. 基础；地基；基金会；根据；创立
shape,"n. 形状；模型；身材；具体化
vt. 形成；塑造，使成形；使符合
vi. 形成；成形；成长"
infant,"n. 婴儿；幼儿；未成年人
adj. 婴儿的；幼稚的；初期的；未成年的"
generosity,n. 慷慨，大方；宽宏大量
extend,"vt. 延伸；扩大；推广；伸出；给予；使竭尽全力；对…估价
vi. 延伸；扩大；伸展；使疏开"
acknowledge,vt. 承认；答谢；报偿；告知已收到
reflect,"vt. 反映；反射，照出；表达；显示;反省
vi. 反射，映现；深思"
press,"n. 压；按；新闻；出版社； 印刷机
vt. 压；按；逼迫；紧抱
vi. 压；逼；重压"
crucial,adj. 重要的；决定性的；定局的；决断的
pledge,"n. 保证，誓言；抵押；抵押品，典当物
vt. 保证，许诺；用……抵押；举杯祝……健康"
in light of,"na. 按照；根据；鉴于
 考虑到；把…列入考虑"
influence,"n. 影响；势力；感化；有影响的人或事
vt. 影响；改变"
profound,adj. 深厚的；意义深远的；渊博的
accurate,adj. 精确的
typically,adv. 代表性地；作为特色地
overall,"adj. 全部的；全体的；一切在内的
adv. 全部地；总的说来
n. 工装裤；罩衫"
median,"n. n. 中值，中位数；三角形中线；梯形中位线
adj. 中值的；中央的"
persistently,adv. 坚持地；固执地
take time off,"v. 休息
 偷空；腾出时间；抽出一部分时间"
inequality,n. 不平等；不同；不平均
status,n. 地位；状态；情形；重要身份
offer sb.'s take on sth.,找不到解释
badge,"n. 徽章；证章；标记
vt. 授给…徽章"
idle,"adj. 闲置的；懒惰的；停顿的
vt. 虚度；使空转
vi. 无所事事；虚度；空转"
challenging,"v. 要求；质疑；反对；向…挑战；盘问（challenge的ing形式）
adj. 挑战的；引起挑战性兴趣的"
charity,n. 慈善；施舍；慈善团体；宽容；施舍物
repetitive,adj. 重复的
engage in,"na. 从事；参加
 参与；从事于；忙于"
creative,adj. 创造性的
debating,v. 辩论（debate的ing形式）
knowledge-intensive,adj. 知识密集型的
dull,"adj. 钝的；迟钝的；无趣的；呆滞的；阴暗的
vt. 使迟钝；使阴暗；缓和
vi. 减少；变迟钝"
symbolize,"vt. 象征；用符号表现
vi. 采用象征；使用符号；作为…的象征"
intellectual,"n. 知识分子；凭理智做事者
adj. 智力的；聪明的；理智的"
glamorous,adj. 迷人的，富有魅力的
stress,"n. 压力；强调；紧张；重要性；重读
vt. 强调；使紧张；加压力于；用重音读"
kindness,n. 仁慈；好意；友好的行为
undeniably,adv. 不可否认地；确凿无疑地
guy,"n. 男人，家伙
vt. 嘲弄，取笑
vi. 逃跑"
error,n. 误差；错误；过失
take notice of,"v. 注意；理会；留心
 注意到；在意；睬"
published,"v. 出版；发行（publish的过去式）
adj. 已发布的"
inner,"n. 内部
adj. 内部的；内心的；精神的"
sense of humor, 幽默感；有幽默感；幽默风趣
asset,n. 资产；优点；有用的东西；有利条件；财产；有价值的人或物
reject,"n. 被弃之物或人；次品
vt. 拒绝；排斥；抵制；丢弃"
judgment,n. 判断；裁判；判决书；辨别力
highly,adv. 高度地；非常；非常赞许地
focus on, 致力于; 使聚焦于; 对（某事或做某事）予以注意; 把…作为兴趣中心
undergraduate,"n. 大学生；大学肄业生
adj. 大学生的"
psychologist,n. 心理学家，心理学者
made-up,adj. 捏造的；制成的；化妆过的
unattractive,adj. 不吸引人注意的；没有魅力的；不美丽的
feedback,n. 反馈；成果，资料；回复
rate,"n. 比率，率；速度；价格；等级
vt. 认为；估价；责骂
vi. 责骂；被评价"
physical,"n. 体格检查
adj.  物理的；身体的；物质的；根据自然规律的，符合自然法则的"
response,n. 响应；反应；回答
romantic,"n. 浪漫的人
adj. 浪漫的；多情的；空想的
vt. 使…浪漫化"
subject,"n. 主题；科目； 主语；国民
adj. 服从的；易患…的；受制于…的
vt. 使…隶属；使屈从于…"
profile,"n. 侧面；轮廓；外形；剖面；简况
vt. 描…的轮廓；扼要描述
vi. 给出轮廓"
potentially,adv. 可能地，潜在地
indicate,vt. 表明；指出；预示；象征
in terms of,"na. 依…；从…方面；用…特有的字眼
 根据；在...方面；按照"
appeal,"n. 呼吁，请求；吸引力，感染力；上诉；诉诸裁判
vt. 将…上诉，对…上诉
vi. 呼吁，恳求；上诉；诉诸，求助；有吸引力，迎合爱好；（体育比赛中）诉诸裁判"
lead to,"na. 通向
 导致；引起；通往"
acceptance,n. 接纳；赞同；容忍
distancing,距离
be inclined to,"v. 倾向于；想要
 有意；有某种倾向；倾向做某事"
journal,n. 日报，杂志；日记；分类账
affection,n. 喜爱，感情；影响；感染
similarly,adv. 同样地；类似于
implication,n. 含义；暗示；牵连，卷入；可能的结果，影响
be associated with,"v. 与…联系
 与……有关；与……有关系；相联系"
personality,n. 个性；品格；名人
status,n. 地位；状态；情形；重要身份
initial,"n. 词首大写字母
adj. 最初的；字首的
vt. 用姓名的首字母签名"
obvious,adj. 明显的；显著的；平淡无奇的
