relationship,n. 关系；关联
illustration,n. 说明；插图；例证；图解
regarding,prep. 关于，至于
thread,"n. 线；螺纹；思路；衣服；线状物；玻璃纤维；路线
vt. 穿过；穿线于；使交织
vi. 通过；穿透过"
devil,"n. 魔鬼；撒旦；家伙；恶棍；淘气鬼；冒失鬼
vt. 虐待，折磨；（用扯碎机）扯碎；（替作家，律师等）做助手；抹辣味料烤制或煎煮"
plug,"n. 插头；塞子；栓
vt. 插入；塞住；接插头
vi. 塞住；用插头将与电源接通"
startle,"n. 惊愕；惊恐
vt. 使吓一跳；使惊奇
vi. 惊吓；惊跳；惊奇"
cliff,n. 悬崖；绝壁
hearing,"n. 听力；审讯，听讯
v. 听见（hear的ing形式）"
privilege,"n. 特权；优待
vt. 给与…特权；特免"
sceptical,adj. 怀疑的；怀疑论的；习惯怀疑的
transmission,n. 传动装置， 变速器；传递；传送；播送
anniversary,n. 周年纪念日
destructive,adj. 破坏的；毁灭性的；有害的，消极的
humble,"adj. 谦逊的；简陋的；（级别或地位）低下的；不大的
vt. 使谦恭；轻松打败（尤指强大的对手）；低声下气"
snap,"n. 猛咬；劈啪声；突然折断
adj. 突然的
vt. 突然折断，拉断；猛咬；啪地关上
vi. 咬；厉声说；咯嗒一声关上"
provided,"conj. 假如；倘若
v. 提供；给予（provide的过去式）"
shallow,"n.  浅滩
adj. 浅的；肤浅的
vt. 使变浅
vi. 变浅"
stagger,"n. 蹒跚；交错安排
vt. 蹒跚；使交错；使犹豫
adj. 交错的；错开的
vi. 蹒跚；犹豫"
machinery,n. 机械；机器；机构；机械装置
anchor,"n. 锚；抛锚停泊；靠山；新闻节目主播
adj. 末棒的；最后一棒的
vt. 抛锚；使固定；主持节目
vi. 抛锚"
waken,"vt. 唤醒；使觉醒
vi. 醒来；觉醒"
proclaim,vt. 宣告，公布；声明；表明；赞扬
roast,"n. 烤肉；烘烤
adj. 烘烤的；烤过的
vt. 烤，焙；烘，烘烤；暴露于某种热力下以得温暖
vi. 烤；烘"
succeed,"vi. 成功；继承；继任；兴旺
vt. 继承；接替；继…之后"
virtue,n. 美德；优点；贞操；功效
congratulate,vt. 祝贺；恭喜；庆贺
liar,n. 说谎的人
quarrel,"n. 吵架；反目；怨言；争吵的原因；方头凿
vi. 吵架；争论；挑剔"
senate,n. 参议院，上院；（古罗马的）元老院
undo,"vt. 取消；解开；破坏；扰乱
vi. 撤消"
auxiliary,"n. 助动词；辅助者，辅助物；附属机构
adj. 辅助的；副的；附加的"
forge,"n. 熔炉，锻铁炉；铁工厂
vt. 伪造；锻造；前进
vi. 伪造；做锻工；前进"
mercy,n. 仁慈，宽容；怜悯；幸运；善行
scarce,"adj. 缺乏的，不足的；稀有的
adv. 仅仅；几乎不；几乎没有"
scarcely,adv. 几乎不，简直不；简直没有
wisdom,n. 智慧，才智；明智；学识；至理名言
comparison,n. 比较；对照；比喻；比较关系
harmony,n. 协调；和睦；融洽；调和
partial,adj. 局部的；偏爱的；不公平的
ratio,n. 比率，比例
solve,"vt. 解决；解答；溶解
vi. 作解答"
supplement,"vt. 增补，补充
n. 增补，补充；补充物；增刊，副刊"
sweep,"n. 打扫，扫除；范围；全胜
vt. 扫除；猛拉；掸去
vi. 扫，打扫；席卷；扫视；袭击"
attendance,n. 出席；到场；出席人数；考勤
delightful,adj. 可爱的，可喜的；讨人喜欢的；令人愉快的
meantime,"n. 其时，其间
adv. 同时；其间"
pierce,"vt. 刺穿；洞察；响彻；深深地打动
vi. 进入；透入"
scream,"n. 尖叫声；尖锐刺耳的声音；极其滑稽可笑的人
vi. 尖叫；呼啸；发出尖锐刺耳的声音；令人触目惊心
vt. 尖声喊叫；大叫大嚷着要求"
steep,"n. 峭壁；浸渍
adj. 陡峭的；不合理的；夸大的；急剧升降的
vt. 泡；浸；使…充满
vi. 泡；沉浸"
practise,"vi. 练习，实践；实施，实行；从事
vt. 练习，实践；实施，实行"
forehead,n. 额，前额
barn,"n. 谷仓；畜棚；车库；靶（核反应截面单位）
vt. 把…贮存入仓"
fluctuate,"vi. 波动；涨落；动摇
vt. 使波动；使动摇"
lodge,"n. 旅馆；门房；集会处；山林小屋
vt. 提出；寄存；借住；嵌入
vi. 寄宿；临时住宿"
relativity,n. 相对论；相关性；相对性
sore,"n. 溃疡，痛处；恨事，伤心事
adj. 疼痛的，痛心的；剧烈的，极度的；恼火的，发怒的；厉害的，迫切的"
banquet,"n. 宴会，盛宴；宴请，款待
vt. 宴请，设宴款待
vi. 参加宴会"
greedy,adj. 贪婪的；贪吃的；渴望的
moan,"vi. 抱怨，悲叹；呻吟
n. 呻吟声；悲叹
vt. 抱怨；呻吟着说"
rage,"n. 愤怒；狂暴，肆虐；情绪激动
vi. 大怒，发怒；流行，风行"
scout,"n. 搜索，侦察；侦察员；侦察机
vt. 侦察；跟踪，监视；发现
vi. 侦察；巡视；嘲笑"
hostile,"n. 敌对
adj. 敌对的，敌方的；怀敌意的"
tame,"adj. 驯服的；平淡的；乏味的；顺从的
vt. 驯养；使变得平淡；制服
vi. 变得驯服"
dense,adj. 稠密的；浓厚的；愚钝的
defect,"n. 缺点，缺陷；不足之处
vi. 变节；叛变"
illusion,n. 幻觉，错觉；错误的观念或信仰
periodical,"n. 期刊；杂志
adj.  周期的；定期的"
refugee,n. 难民，避难者；流亡者，逃亡者
spit,"n. 唾液
vi. 吐痰；吐口水；发出劈啪声
vt. 吐，吐出；发出；发射"
envious,adj. 羡慕的；嫉妒的
thoughtful,adj. 深思的；体贴的；关切的
reconcile,vt. 使一致；使和解；调停，调解；使顺从
wander,"vi. 徘徊；漫步；迷路；离题
vt. 游荡，漫游"
faithful,adj. 忠实的，忠诚的；如实的；准确可靠的
solemn,adj. 庄严的，严肃的；隆重的，郑重的
commission,"n. 委员会；佣金；犯；委任；委任状
vt. 委任；使服役；委托制作"
hazard,"n. 危险，冒险；冒险的事
vt. 赌运气；冒…的危险，使遭受危险"
rebel,"n. 反叛者；叛徒
adj. 反抗的；造反的
vi. 反叛；反抗；造反"
synthetic,"n. 合成物
adj. 综合的；合成的，人造的"
exterior,"n. 外部；表面；外型；外貌
adj. 外部的；表面的；外在的"
republic,n. 共和国；共和政体
wit,"n. 智慧；才智；智力
v. <古>知道；即"
render,"n. 打底；交纳；粉刷
vt. 致使；提出；实施；着色；以…回报
vi. 给予补偿"
tolerate,vt. 忍受；默许；宽恕
preface,"n. 前言；引语
vt. 为…加序言；以…开始
vi. 作序"
steer,"vt. 控制，引导；驾驶
vi. 驾驶，掌舵；行驶
n. 阉牛"
bucket,"n. 桶，水桶；铲斗；一桶的量
v. 倾盆而下；颠簸着行进"
nursery,n. 苗圃；托儿所；温床
holy,"n. 神圣的东西
adj. 圣洁的，神圣的；至善的
（俚）太棒了"
accidental,"n. 次要方面；非主要的特性；临时记号
adj. 意外的；偶然的；附属的；临时记号的"
slice,"n. 薄片；部分；菜刀，火铲
vt. 切下；把…分成部分；将…切成薄片
vi. 切开；割破"
protective,adj. 防护的；关切保护的；保护贸易的
sponge,"n. 海绵；海绵状物
vt. 抹掉；用海绵擦拭；讨得
vi. 采集海绵；过寄生生活；海绵般地吸收"
diameter,n. 直径
interior,"n. 内部；本质
adj. 内部的；国内的；本质的"
retell,vt. 复述；再讲；重述
transplant,"n. 移植；移植器官；被移植物；移居者
vt. 移植；迁移；使移居
vi. 移植；迁移；移居"
equivalent,"n. 等价物，相等物
adj. 等价的，相等的；同意义的"
progressive,"n. 改革论者；进步分子
adj. 进步的；先进的"
streak,"n. 条纹，线条；倾向
vi. 飞跑，疾驶；加上条纹
vt. 飞跑，疾驰；加条纹于"
honorable,adj. 光荣的；可敬的；高贵的
honourable,adj. 荣誉的；值得尊敬的；表示尊敬的；正直的
mushroom,"n. 蘑菇，伞菌；蘑菇形物体；暴发户
adj. 蘑菇的；蘑菇形的；迅速生长的
vi. 迅速增加；采蘑菇；迅速生长"
stain,"n. 污点；瑕疵；着色剂
vt. 沾污；败坏；给…着色
vi. 污染；被沾污；被染污"
cashier,"n. 出纳员；司库；收银员
vt. 解雇；抛弃"
missile,"n. 导弹；投射物
adj. 导弹的；可投掷的；用以发射导弹的"
risk,"n. 风险；危险；冒险
vt. 冒…的危险"
systematic,adj. 系统的；体系的；有系统的； 分类的；一贯的，惯常的
amusement,n. 消遣，娱乐；乐趣
original,"n. 原件；原作；原物；原型
adj. 原始的；最初的；独创的；新颖的"
originality,n. 创意；独创性，创造力；原始；新奇
chin,"n. 下巴；聊天；引体向上动作
vt. 用下巴夹住；与…聊天；在单杠上作引体向上动作
vi. 闲谈；作引体向上动作"
paste,"n. 面团，膏；糊状物， 浆糊
vt. 张贴，裱糊；用浆糊粘"
spin,"n. 旋转；疾驰
vi. 旋转；纺纱；吐丝；晕眩
vt. 使旋转；纺纱；编造；结网"
organism,n. 有机体；生物体；微生物
stiff,"adj. 呆板的；坚硬的；严厉的；拘谨的
adv. 僵硬地；彻底地
n. 死尸；令人讨厌者；流通票据；劳动者
vt. 诈骗；失信"
composer,n. 作曲家；作家，著作者；设计者
sophisticated,"adj. 复杂的；精致的；久经世故的；富有经验的
v. 使变得世故；使迷惑；篡改（sophisticate的过去分词形式）"
anxiety,n. 焦虑；渴望；挂念；令人焦虑的事
measurement,n. 测量； 度量；尺寸；量度制
scandal,n. 丑闻；流言蜚语；诽谤；公愤
wicked,adj. 邪恶的；恶劣的；不道德的；顽皮的
harden,"vi. 变硬，变坚固；变坚强；变冷酷
vt. 使…变硬；使…坚强；使…冷酷；使…麻木不仁"
rally,"n. 集会；回复；公路赛车会
vt. 团结；集合；恢复健康、力量等
vi. 团结；重整；恢复；（网球等）连续对打"
reluctance,n.  磁阻；勉强；不情愿
tide,"n. 趋势，潮流；潮汐
vt. 随潮漂流"
crystal,"n. 结晶，晶体；水晶；水晶饰品
adj. 水晶的；透明的，清澈的"
object,"n. 目标；物体；客体；宾语
vt. 提出…作为反对的理由
vi. 反对；拒绝"
satisfy,"vi. 令人满意；令人满足
vt. 满足；说服，使相信；使满意，使高兴"
treaty,n. 条约，协议；谈判
defy,"n. 挑战；对抗
vt. 藐视；公然反抗；挑衅；使落空"
persuasion,n. 说服；说服力；信念；派别
splash,"n. 飞溅的水；污点；卖弄
vt. 溅，泼；用...使液体飞溅
vi. 溅湿；溅开"
ashamed,adj. 惭愧的，感到难为情的；耻于……的
summarize,"vt. 总结；概述
vi. 作总结；作概括"
scold,"n. 责骂；爱责骂的人
vt. 骂；责骂
vi. 责骂；叱责"
industrialize,"vt. 使工业化
vi. 实现工业化"
badge,"n. 徽章；证章；标记
vt. 授给…徽章"
mold,"vt. 塑造；使发霉；用模子制作
vi. 发霉
n. 霉菌；模子"
mould,"vi. 发霉
vt. 浇铸；用泥土覆盖
n. 模具；霉"
scheme,"n. 计划；组合；体制；诡计
vt. 计划；策划
vi. 搞阴谋；拟订计划"
modernize,"vt. 使…现代化
vi. 现代化"
extinguish,vt. 熄灭；压制；偿清
solitary,"n. 独居者；隐士
adj. 孤独的；独居的"
scope,"n. 范围；余地；视野；眼界；导弹射程
vt. 审视"
booklet,n. 小册子
canal,"n. 运河； 水道； 管道；灌溉水渠
vt. 在…开凿运河"
compact,"n. 合同，契约；小粉盒
adj. 紧凑的，紧密的；简洁的
vt. 使简洁；使紧密结合"
magnet,n. 磁铁； 磁体；磁石
mist,"n. 薄雾；视线模糊不清；模糊不清之物
vi. 下雾；变模糊
vt. 使模糊；使蒙上薄雾"
residence,n. 住宅，住处；居住
swallow,"n. 燕子；一次吞咽的量
vt. 忍受；吞没
vi. 吞下；咽下"
noticeable,adj. 显而易见的，显著的；值得注意的
sip,"n. 抿；小口喝；单列直插式组件
vt. 啜
vi. 啜饮"
morality,n. 道德；品行，美德
spy,"n. 间谍；密探
vt. 侦察；发现；暗中监视
vi. 侦察；当间谍"
ritual,"n. 仪式；惯例；礼制
adj. 仪式的；例行的；礼节性的"
orderly,"adj. 有秩序的；整齐的；值班的
n. 勤务兵；传令兵；护理员
adv. 顺序地；依次地"
slope,"n. 斜坡；倾斜；斜率；扛枪姿势
vt. 倾斜；使倾斜；扛
vi. 倾斜；逃走"
allowance,"n. 津贴，零用钱；允许；限额
vt. 定量供应"
loyal,"adj. 忠诚的，忠心的；忠贞的
n. 效忠的臣民；忠实信徒"
loyalty,n. 忠诚；忠心；忠实；忠于…感情
verify,vt. 核实；查证
folklore,n. 民俗学；民间传说；民间风俗
pulse,"n.  脉冲；脉搏
vt. 使跳动
vi. 跳动，脉跳"
textile,"n. 纺织品，织物
adj. 纺织的"
combat,"n. 战斗；争论
adj. 战斗的；为…斗争的
vi. 战斗；搏斗
vt. 反对；与…战斗"
naval,adj. 海军的；军舰的
rub,"n. 摩擦；障碍；磨损处
vt. 擦；摩擦；惹怒
vi. 擦；摩擦；擦破"
tick,"n. 滴答声；扁虱；记号；赊欠
vt. 标记号于；滴答地记录
vi. 发出滴答声；标以记号"
colony,n. 殖民地；移民队；种群；动物栖息地
oval,"adj. 椭圆的；卵形的
n. 椭圆形；卵形"
overhead,"adv. 在头顶上；在空中；在高处
adj. 高架的；在头上的；在头顶上的
n. 天花板； 经常费用；间接费用；吊脚架空层"
specimen,n. 样品，样本；标本
aboard,"prep. 在…上
adv. 在飞机上； 在船上；在火车上"
maneuver,"n.  机动；演习；策略；调遣
vi.  机动；演习；调遣；用计谋
vt.  机动；演习；用计；调遣"
manoeuvre,"vi. 调动；演习；用策略
vt. 诱使；操纵；耍花招
n. 策略（等于maneuvre）"
satisfactory,adj. 满意的；符合要求的；赎罪的
accommodate,"vi. 适应；调解
vt. 容纳；使适应；供应；调解"
accountable,adj. 有责任的；有解释义务的；可解释的
ace,"n. 幺点；直接得分的发球；佼佼者；（俚）最好的朋友
adj. 一流的，突出的
vt. 以发球赢一分；击败
int. 太棒了；太好了"
addict,"n. 有瘾的人；入迷的人
vt. 使沉溺；使上瘾"
administer,"vt. 管理；执行；给予
vi. 给予帮助；执行遗产管理人的职责；担当管理人"
aerial,"n.  天线
adj. 空中的，航空的；空气的；空想的"
affluent,"n. 支流；富人
adj. 富裕的；丰富的；流畅的"
aftermath,n. 后果；余波
aide,n. 助手；副官；侍从武官
aircraft,n. 飞机，航空器
aisle,n. 通道，走道；侧廊
allege,vt. 宣称，断言；提出…作为理由
ambassador,n. 大使；代表；使节
anew,adv. 重新；再
angel,"n. 天使；守护神；善人
vt. 出钱支持"
animate,"adj. 有生命的
vt. 使有生气；使活泼；鼓舞；推动"
apparatus,n. 装置，设备；仪器；器官
aptitude,n. 天资；自然倾向；适宜
aristocrat,n. 贵族
arithmetic,n. 算术，算法
arrow,"n. 箭，箭头；箭状物；箭头记号
vt. 以箭头指示；箭一般地飞向"
ashore,"adj. 在岸上的；在陆上的
adv. 在岸上；向岸"
ass,n. 屁股；驴子；蠢人
astronomer,n. 天文学家
atomic,adj. 原子的，原子能的；微粒子的
atop,"prep. 在…的顶上
adv. 在顶上"
attic,n. 阁楼；顶楼；鼓室上的隐窝
audio,adj. 声音的； 音频的， 声频的
auditorium,n. 礼堂，会堂；观众席
authorize,vt. 批准，认可；授权给；委托代替
authorise,vt. 授权；批准；允许；委任（等于authorize）
aviation,n. 航空；飞行术；飞机制造业
awe,"n. 敬畏
vt. 使敬畏；使畏怯"
awesome,adj. 令人敬畏的；使人畏惧的；可怕的；极好的
axis,n. 轴；轴线；轴心国
bail,"n. 保释，保释人；保释金；杓
vt. 保释，帮助某人脱离困境；往外舀水"
bait,"n. 饵；诱饵
vt. 引诱；在…中放诱饵；折磨
vi. 中途休息"
ballot,"n. 投票；投票用纸；投票总数
vt. 使投票表决；拉选票
vi. 投票；抽签决定"
banknote,n. 纸币
basically,adv. 主要地，基本上
batch,"n. 一批；一炉；一次所制之量
vt. 分批处理"
battalion,n. 营，军营；军队，部队
beforehand,"adj. 提前的；预先准备好的
adv. 事先；预先"
berry,"n. 浆果（葡萄，番茄等）
vi. 采集浆果"
beverage,n. 饮料
bias,"n. 偏见；偏爱；斜纹；乖离率
adj. 偏斜的
vt. 使存偏见
adv. 偏斜地"
biotechnology,n.  生物技术； 生物工艺学
blond,"adj. 金发的
n. 白肤碧眼金发的人"
bloody,"adj. 血腥的；非常的；嗜杀的，残忍的；血色的
vt. 使流血
adv. 很"
blueprint,"n. 蓝图，设计图；计划
vt. 计划；制成蓝图"
boiler,n. 锅炉；烧水壶，热水器；盛热水器
bracket,"n. 支架；括号；墙上凸出的托架
vt. 括在一起；把…归入同一类；排除"
brag,"n. 吹牛，自夸
vi. 吹牛，自夸
vt. 吹牛，吹嘘"
brass,n. 黄铜；黄铜制品；铜管乐器；厚脸皮
breadth,n. 宽度，幅度；宽宏
breakdown,n. 故障；崩溃；分解；分类；衰弱；跺脚曳步舞
broke,"v. 打破，断掉（break的过去式）
adj. 一文不名的，破产的"
broker,"n. 经纪人，掮客
vt. 以中间人等身分安排...
vi. 作为权力经纪人进行谈判"
broom,"n. 扫帚；金雀花
vt. 扫除
vi. 桩顶开花或开裂"
brutal,adj. 残忍的；野蛮的，不讲理的
buck,n. （美）钱，元；雄鹿；纨绔子弟；年轻的印第安人或黑人
buckle,"n. 皮带扣，带扣
vi. 扣住；变弯曲
vt. 扣住；使弯曲"
buddy,"n. 伙伴，好朋友；密友；小男孩
vi. 做好朋友，交朋友"
bullet,"n. 子弹；只选某党全部候选人的投票；豆子
vi. 射出；迅速行进"
bully,"n. 欺凌弱小者；土霸
vt. 欺负；威吓
adj. 第一流的；特好的
vi. 欺侮人
adv. 很；十分
int. 好；妙"
bumper,"n. 缓冲器，保险杆，减震物
adj. 丰盛的，丰富的
vt. 装满；为…祝酒
vi. 干杯"
burial,"n. 埋葬；葬礼；弃绝
adj. 埋葬的"
bypass,"n. 旁路； 支路
vt. 绕开；忽视；设旁路；迂回"
calf,n.  腓肠，小腿；小牛；小牛皮；(鲸等大哺乳动物的)幼崽
calf,n.  腓肠，小腿；小牛；小牛皮；(鲸等大哺乳动物的)幼崽
calling,"n. 职业；欲望；点名；召集；邀请
v. 召；呼唤（call的现在分词）；称之为"
calorie,n. 卡路里（热量单位）
canteen,n. 食堂，小卖部；水壶
carbon,"n.  碳；碳棒；复写纸
adj. 碳的；碳处理的"
cardboard,"n.  硬纸板；纸板箱；卡纸板
adj. 不真实的；硬纸板制的"
carpenter,"n. 木匠，木工
vt. 制作
vi. 当木匠，做木匠工作"
carrier,n.  载体；运送者；带菌者；货架
cereal,"n. 谷类，谷物；谷类食品；谷类植物
adj. 谷类的；谷类制成的"
certainty,n. 必然；确实；确实的事情
champagne,n. 香槟酒；香槟酒色
cherish,"vt. 珍爱
vt. 怀有（感情等）；抱有（希望等）"
cholesterol,n.  胆固醇
chore,n. 家庭杂务；日常的零星事务；讨厌的或累人的工作
citizenship,n.  公民身份，公民资格；国籍；公民权
clarity,n. 清楚，明晰；透明
clear-cut,adj. 清晰的；轮廓鲜明的
climax,n. 高潮；顶点；层进法；极点
clockwise,"adj. 顺时针方向的
adv. 顺时针方向地"
clothe,vt. 给…穿衣；覆盖；赋予
clown,"n. 小丑；乡下人；粗鲁笨拙的人
vi. 扮小丑；装傻"
cohesion,n. 凝聚；结合； 内聚力
collaborate,vi. 合作；勾结，通敌
colon,n.  结肠；冒号（用于引语、说明、例证等之前）；科郎（哥斯达黎加货币单位）
colonial,"n. 殖民地居民
adj. 殖民地的，殖民的"
comma,n. 逗号；停顿
commodity,n. 商品，货物；日用品
commonplace,"n. 老生常谈；司空见惯的事；普通的东西
adj. 平凡的；陈腐的"
commune,"n. 公社
vi. 谈心，亲密交谈；密切联系"
comply,vi. 遵守；顺从，遵从；答应
comprehend,vt. 理解；包含；由…组成
conform,"adj. 一致的；顺从的
vi. 符合；遵照；适应环境
vt. 使遵守；使一致；使顺从"
conscientious,adj. 认真的；尽责的；本着良心的；小心谨慎的
consolidate,"vt. 巩固，使固定；联合
vi. 巩固，加强"
contempt,n. 轻视，蔑视；耻辱
contend,"vi. 竞争；奋斗；斗争；争论
vt. 主张；为...斗争"
converse,"n. 逆行，逆向；倒；相反的事物
adj. 相反的，逆向的；颠倒的
vi. 交谈，谈话；认识
n. 匡威（服装品牌）"
cornerstone,n. 基础；柱石；地基
cosmos,n. 宇宙；和谐；秩序；大波斯菊
countdown,n. 倒数计秒
counterpart,n. 副本；配对物；极相似的人或物
coupon,n. 息票；赠券；联票； 配给券
crab,"n. 螃蟹；蟹肉；脾气乖戾的人；起重机
vt. 抱怨；破坏；使偏航
vi. 捕蟹；发牢骚；抱怨"
cracker,n. 爆竹；饼干；胡桃钳；解密高手
crocodile,n. 鳄鱼
crossroads,n. 十字路口；交叉路口；聚会的中心地点（crossroad的复数形式）
damp,"n. 潮湿，湿气
adj. 潮湿的
vt. 使潮湿；使阻尼；使沮丧，抑制
vi. 减幅，阻尼；变潮湿"
database,n. 数据库，资料库
dean,n. 院长；系主任；教务长；主持牧师
deem,"vt. 认为，视作；相信
vi. 认为，持某种看法；作某种评价"
deficient,adj. 不足的；有缺陷的；不充分的
delegation,n. 代表团；授权；委托
dent,"n. 凹痕；削弱；减少；齿
vt. 削弱；使产生凹痕
vi. 产生凹陷；凹进去；削减"
deprive,vt. 使丧失，剥夺
despatch,"n. 派遣；发送（等于dispatch）
vt. 派遣；发送；匆匆吃下
vi. 匆匆离开"
deteriorate,"vi. 恶化，变坏
vt. 恶化"
dew,"n. 珠，滴；露水；清新
vt. （露水等）弄湿
vi. 结露水"
diabetes,n. 糖尿病；多尿症
digit,n. 数字；手指或足趾；一指宽
diligent,adj. 勤勉的；用功的，费尽心血的
dime,n. 一角硬币
disable,vt. 使失去能力；使残废；使无资格
discriminate,"vi. 区别；辨别
vt. 歧视；区别；辨别"
disgusting,"adj. 令人厌恶的
令人极不能接受的"
disintegrate,"vi. 瓦解；碎裂；衰变
vt. 使分解；使碎裂；使崩溃；使衰变"
disrupt,"vt. 破坏；使瓦解；使分裂；使中断；使陷于混乱
adj. 分裂的，中断的；分散的"
ditch,"n. 沟渠；壕沟
vt. 在…上掘沟；把…开入沟里；丢弃
vi. 开沟；掘沟"
dock,"n. 码头；船坞；被告席；尾巴的骨肉部分
vt. 使靠码头；剪短
vi. 入船坞"
donor,"n. 捐赠者；供者；赠送人
adj. 捐献的；经人工授精出生的"
doom,"n. 厄运；死亡；判决；世界末日
vt. 注定；判决；使失败"
dose,"n. 剂量；一剂，一服
vt. 给药；给…服药
vi. 服药"
drastic,"n. 烈性泻药
adj. 激烈的；猛烈的"
drought,n. 干旱；缺乏
dual,"n. 双数；双数词
adj. 双的；双重的"
dye,"n. 染料；染色
vt. 染；把…染上颜色
vi. 被染色"
earnest,"n. 认真；定金；诚挚
adj. 认真的，热心的；重要的"
elevate,vt. 提升；举起；振奋情绪等；提升…的职位
elite,n. 精英；精华；中坚分子
endanger,vt. 危及；使遭到危险
enlist,"vt. 使入伍；征募；谋取…的赞助或帮助
vi. 支持；从军；应募；赞助"
entrepreneur,n. 企业家；承包人；主办者
equate,"vt. 使相等；视为平等
vi. 等同"
erase,"vt. 抹去；擦除
vi. 被擦去，被抹掉"
err,vi. 犯错；做错；犯罪；走上歧途
essence,n. 本质，实质；精华；香精
ethic,"n. 伦理；道德规范
adj. 伦理的；道德的（等于ethical）"
exceedingly,adv. 非常；极其；极度地；极端
excel,"vt. 超过；擅长
vi. (在某方面)胜过(或超过)别人"
expend,vt. 花费；消耗；用光；耗尽
expertise,n. 专门知识；专门技术；专家的意见
eyebrow,"n. 眉毛
v. 为…描眉；用皱眉蹙额迫使"
fairy,"n. 仙女，小精灵；漂亮姑娘
adj. 虚构的；仙女的"
fasten,"vt. 使固定；集中于；扎牢；强加于
vi. 扣紧；抓住；集中注意力"
federation,n. 联合；联邦；联盟；联邦政府
fingerprint,"n. 指纹；手印
vt. 采指纹"
flaw,"n. 瑕疵，缺点；一阵狂风；短暂的风暴；裂缝，裂纹
v. 使生裂缝，使有裂纹；使无效；使有缺陷
vi. 生裂缝；变的有缺陷"
fleet,"n. 舰队；港湾；小河
adj. 快速的，敏捷的
vt. 消磨
vi. 飞逝；疾驰；掠过"
foggy,adj. 有雾的；模糊的，朦胧的
footprint,n. 足迹；脚印
foremost,"adj. 最重要的；最先的
adv. 首先；居于首位地"
foresight,n. 先见，远见；预见；深谋远虑
forestry,n. 林业；森林地；林学
formulate,vt. 规划；用公式表示；明确地表达
forthcoming,"n. 来临
adj. 即将来临的"
freeway,n. 高速公路
freshman,n. 新手，生手；大学一年级学生
fright,"n. 惊吓；惊骇
vt. 使惊恐"
fruitful,adj. 富有成效的；多产的；果实结得多的
furnace,n. 火炉，熔炉
gadget,n. 小玩意；小器具；小配件；诡计
germ,"n.  胚芽，萌芽；细菌
vi. 萌芽"
gorgeous,adj. 华丽的，灿烂的；极好的
gossip,"n. 小道传闻；随笔；爱说长道短的人
vi. 闲聊；传播流言蜚语"
gown,"n. 长袍，长外衣；礼服；睡袍；法衣
vt. 使穿睡衣"
gravitation,n. 重力；万有引力；地心吸力
grin,"n. 露齿笑
v. 露齿而笑，咧着嘴笑"
guilt,n. 犯罪，过失；内疚
gulf,"n. 海湾；深渊；分歧；漩涡
vt. 吞没"
habitat,n.  栖息地，产地
hack,"n. 砍，劈；出租马车
vt. 砍；出租
vi. 砍"
hack,"n. 砍，劈；出租马车
vt. 砍；出租
vi. 砍"
halfway,"adj. 中途的；不彻底的
adv. 到一半；在中途"
handicap,"n. 障碍；不利条件，不利的因素
vt. 妨碍，阻碍；使不利"
hardware,n. 计算机硬件；五金器具
haunt,"n. 栖息地；常去的地方
vt. 常出没于…；萦绕于…；经常去…
vi. 出没；作祟"
haze,"n. 阴霾；薄雾；疑惑
vt. 使变朦胧；使变糊涂
vi. 变朦胧；变糊涂"
heartfelt,adj. 衷心的；真诚的；真心真意的
hectare,n. 公顷（等于1万平方米）
helpless,adj. 无助的；无能的；没用的
hereby,adv. 以此方式，据此；特此
heritage,n. 遗产；传统；继承物；继承权
hijack,"n. 劫持；威逼；敲诈
vt. 抢劫；揩油
vi. 拦路抢劫"
highjack,v. 抢劫（走私卡车等），劫持
hip,"n. 臀部；蔷薇果；忧郁
adj. 熟悉内情的；非常时尚的"
homosexual,"n. 同性恋者
adj. 同性恋的"
horsepower,n. 马力（功率单位）
hospitable,adj. 热情友好的；（环境）舒适的
hut,"n. 小屋；临时营房
vt. 使住在小屋中；驻扎
vi. 住在小屋中；驻扎"
hyphen,"n. 连字号
vt. 以连字号连接"
idiom,n. 成语，习语；土话
immigrate,"vi. 移入
vt. 使移居入境"
incentive,"n. 动机；刺激
adj. 激励的；刺激的"
inflate,"vt. 使充气；使通货膨胀
vi. 膨胀；充气"
influenza,n.  流行性感冒（简写flu）；家畜流行性感冒
infrastructure,n. 基础设施；公共建设；下部构造
inhabit,"vt. 栖息；居住于；占据
vi. （古）居住；栖息"
initiate,"n. 开始；新加入者，接受初步知识者
vt. 开始，创始；发起；使初步了解
adj. 新加入的；接受初步知识的"
inland,"n. 内地；内陆
adj. 内陆的；内地的；国内的
adv. 在内地；向内地；向内陆；在内陆"
innovate,"vi. 创新；改革；革新
vt. 改变；创立；创始；引人"
instalment,n. 分期付款；装设；就职
installment,n. 安装；分期付款；部分；就职
intake,n. 摄取量；通风口；引入口；引入的量
intangible,adj. 无形的，触摸不到的；难以理解的
intrude,"vi. 闯入；侵入；侵扰
vt. 把…强加；把…硬挤"
invalid,"n. 病人；残疾者
adj. 无效的；有病的；残疾的
vt. 使伤残；使退役
vi. 变得病弱；因病而奉命退役"
invaluable,adj. 无价的；非常贵重的
invariably,adv. 总是；不变地；一定地
irony,"n. 讽刺；反语；具有讽刺意味的事
adj. 铁的；似铁的"
irrational,"n.  无理数
adj. 不合理的；无理性的；荒谬的"
