accuse of,"un. 控告
 指责；指控；因某事控告某人"
train of thought,"un. 思路
 思绪；思想列车；一连串的思想或思路"
turn a blind eye to,"na. 对…熟视无睹；假装不见
 对…视而不见；睁一只眼闭一只眼；对…装作不见"
turn a deaf ear,"un. 回心转意；置之不理
 充耳不闻；不加理睬；听而不闻"
turn a deaf ear to,"na. 充耳不闻；装听不见
 对…充耳不闻；不听；不理睬"
turn the corner,"na. 转弯；度过危机；情形好转；拐过街角
 渡过难关；转危为安；拐弯"
turn the tables,"v. 扭转形势；扭转局面
 扭转局势；转败为胜；反败为胜"
tag along,"na. 跟随；尾随
 紧跟；跟随权；跟屁虫"
tag,"n. 标签；名称；结束语；附属物
vt. 尾随，紧随；连接；起浑名；添饰
vi. 紧随"
tail off,"na. “Tail away”的变体
 变少；变小；缩小"
take aback,vt. 使吃惊；惊吓
take stock of,"v. 鉴定；估计
 估量；观察；盘点"
thrash out,"v. 通过讨论解决
 研究解决；通过反复研讨解决；通过讨论解决问题"
thrash,"n. 打谷；逆风浪行进；踢水动作
vt. 打；使逆行
vi. 打谷；白忙；猛烈摆动"
thumb through,"na. 翻查一过
 翻阅；迅速翻阅；翻阅一遍"
thumb,"n. 拇指
vt. 翻阅；以拇指拨弄；作搭车手势；笨拙地摆弄
vi. 用拇指翻书页；竖起拇指要求搭车"
tick away,"v. 滴答作响
 使在滴答声中溜走；时光流逝；过去"
tick by,过去滴答声过去
tip sb. off,"na. 向…透露消息，泄密；暗中通知某人；(把水等从器皿中)倒干净；使…掉下来；杀死
 警告；通风报信；告密"
tone down,"na. 使柔和；变柔和
 缓和；降低；使缓和"
trail along,"v. 慢吞吞走
 没精打采地走"
trail away, 散去; （声音）逐渐变弱
trail off,"na. (声音)逐渐消失；“trail away”的变体
 逐渐变弱；减弱；变小"
trip up,"na. 同“trip”
 绊倒；出差错；把…绊倒"
tuck away,"na. 藏起
 畅饮；大嚼；藏起来"
tuck,"n. 食物；船尾突出部；缝摺；抱膝式跳水；活力；鼓声
vt. 卷起；挤进；用某物舒适地裹住；使有褶裥；收拢；大口吃；使隐藏
vi. 缝褶裥；缩拢；舒服地裹在里面；大口吃"
tuck in,"na. 大吃一顿；掖被子；塞入；折进
 塞进；尽情吃；把一端塞进"
tuck up,"na. 折起一头；包；绞死(犯人)
 卷起；用手拢着提起或卷起；给…盖好被子"
tumble to,"v. 领会；了解
 恍然大悟；领悟；明白"
tumble,"n. 跌倒；翻筋斗；跌跤
vt. 使摔倒；使滚翻；弄乱
vi. 摔倒；倒塌；滚动；打滚；仓惶地行动
"
tune in,"na. 调谐；收听；开始
 收看；调入；调准"
tune in to,"v. 拨；收听
 收看；收到；接收"
take in one's stride,轻而易举地做某事
stride,"n. 大步；步幅；进展
vt. 跨过；大踏步走过；跨坐在…
vi. 跨；跨过；大步行走"
take into one's confidence,向…吐露心事; 以…为心腹
take its toll, 造成损失；造成伤亡；伤害某人
take one's cue from,"na. 得到某人的指点
 听…的劝告；学…的样；学……的样子"
take one's leave of,(向…)辞行；(向…)告别
take sb.'s breath away,找不到解释
take sb. to task,"v. 责骂
 责备；找麻烦；指责"
take someone by the throat,找不到解释
have someone by the throat,找不到解释
take the initiative,"na. 带头
 采取主动；倡导；积极主动"
initiative,"n. 主动权；首创精神
adj. 主动的；自发的；起始的"
take the plunge,"na. 冒险尝试；蛮干；毅然从事
 采取断然行动；孤注一掷；决定冒险一试"
take the plunge of,找不到解释
plunge,"n. 投入；跳进
vt. 使陷入；使投入；使插入
vi. 突然地下降；投入；陷入；跳进"
take ... with a grain of salt,找不到解释
take ... with a pinch of salt, 将信将疑；不轻信；不大相信
talk through one's hat,"na. 说大话；夸张；乱说
 吹牛；信口开河；胡言乱语"
the other way around,"na. 从相反方向；用相反方式
 倒过来；反过来；相反地"
the other way round, 相反；反过来；颠倒
the other way up,找不到解释
the rank and file,"n. 普通士兵；普通成员
 普通士兵们；老百姓们；普通百姓"
through and through,"na. 完完全全；彻头彻尾
 彻底；反复地；彻头彻尾地"
through thick and thin,"na. 在任何情形下；不避艰险；遍历艰苦
 同甘共苦；共同经历；不畏艰险"
throw one's weight about,"na. 大摆架子；作威作福
 仗势欺人；滥用权势；看他还能抖擞几天"
throw one's weight around, 过分夸耀自己的地位；拿架子；骄横跋扈
to be on the safe side, 出于安全考虑；以防万一；为了保险起见
to one's heart's content,"na. 尽情
 心满意足；尽情地；尽兴"
to the fore,"na. 在前面；在场；立即有用；(钱等)在手边
 在显著地位；对……的阻力；在近处"
to the tune of,"na. (￡5) 达(5镑)之多
 达…之多；共计；调寄"
turn over a new leaf,"na. 翻开新的一页；革面洗心；重新开始
 洗心革面，改过自新；重新做人；浪子回头"
up in arms,"na. 武装反抗；武装起义；采取敌对态度
 起来进行武装斗争；竭力反对；军中春色"
used to,"modalv. （用于过去持续或经常发生的事）曾经
v. 过去常常
 习惯于；过去经常；的用法"
use up,"na. 用完；耗尽
 用光；用尽；消耗"
under ... circumstances,找不到解释
under ... conditions,找不到解释
under control,"un. 失去控制；被控制住；克制；在控制之下
 处于控制之下；在控制中；受到控制"
under cover,"na. 在掩蔽之下
 隐藏着；在遮蔽处；卧底任务"
under fire,"na. 在炮火下；受到攻击；在弹雨下
 战火下；受攻击；遭到攻击"
under pressure,"un. 在压力下
 在压力之下；处于压力之下；承受压力"
under the weather,"na. 身体不适；不太舒服
 身体不舒服；生病；有病"
under way,"na. 进行着；航行中
 在进行中；正在进行之中；正在进行中"
up against,"na. 面临；遭遇(障碍等)
 面临…的；与某物接触；面临问题"
up in the air,"na. 悬而未决的
 在云端；挂在空中；型男飞行日记"
up to,"na. 干(着)；到；胜任；…的责任
 直到；多达；取决于"
up to date,"adj. 现代的；最新的；时髦的；新式的
 时新的；现代化的；切合目前情况的"
up to the minute,"na. 最新的
 最新式的；所能即时；每分钟"
upward of, 多于， 超过
usher in,"na. 迎接(来客)；传报
 开创；开始；引领"
usher,"n. 引座员，带位员；接待员；门房
vi. 作招待员；当引座员
vt. 引导，招待；迎接；开辟"
under one's breath,"na. 小声
 低声；小声地；低声地"
up to scratch,"na. 合格；称职；处于良好状态
 达到标准；合乎标准；达到达标"
scratch,"n. 擦伤；抓痕；刮擦声；乱写
adj. 打草稿用的；凑合的；碰巧的
vt. 抓；刮；挖出；乱涂
vi. 抓；搔；发刮擦声；勉强糊口；退出比赛"
view ... as,找不到解释
vote against,"v. 投票反对
 投票反对某人；投反对票；投票反对例句"
vote in,"un. 否决；当选
 选出；选举；投票选出"
wake up,"na. 同“wake”；叫醒；醒来；振作起来
 唤醒；起床；醒醒"
ward off,"v. 挡开；架开
 避开；防止；挡住"
wipe out,"na. 擦去；遮蔽；遮蔽地域；封闭
 消灭；彻底摧毁；消灭，毁灭"
with regard to,"na. 关于；对于；为了答复；“in/with regard to”的变体
 至于；就…而言；至于，就"
would rather,"na. 宁愿
 宁可；宁可…也不；宁肯"
wait for,"na. 等；等待
 等候；动作上的等待；等待某人"
wait on,"v. 等着
 服侍；侍候；伺候"
wake up to, 认识到；认识到…的重要性；意识到
walk away with, 随…走开; 偷走; 带走; <口>轻而易举地赢得（比赛、奖品等）
walk off with, 偷走; 带走; <口>轻而易举地赢得（比赛、奖品等）; <非正>在（演出）中引人注目
walk on, <非正>小心翼翼; （演员）上台; 轻率地对待; 继续走
walk out,"na. 出去；罢工；(丢开人)走掉
 走出；退席；走出去"
walk up,"na. 使猎犬将(鸟等)惊飞
 沿……走；请进；走近"
wall in,"un. 自我堵塞
 筑墙围住；堵口；用墙围住"
warm to, 爱好；同情；喜欢
warm up,"na. 加热；变暖；热中起来；作准备动作
 热身；暖身；热身运动"
warn of,"na. 警告(某人)有危险
 发出关于…的警告；警告某人某事；警告可能会出现某事"
wash out,"v. 洗掉
 洗出；冲洗；淘汰"
wash up,"na. 饭后洗碗；洗脸；将…冲上岸；(出人意料地)出现
 洗餐具；洗手洗脸；洗涤餐具"
waste away,"na. 消瘦
 日益消瘦；日渐衰弱；日趋消瘦"
watch out,"na. 当心；留神；小心；提防
 注意；密切注视；监视"
watch out for,"v. 期待；等待
 留意；密切注意；警惕"
wave aside,"na. 挥手使站开；挥手拒绝
 置之不理；对…置之不理；不理会"
wear away,"v. 消逝；磨损
 磨掉；消磨；使磨损"
wear off,"na. (精力)衰退；(衣服等)渐破
 逐渐消失；磨损；渐渐减少"
wear out,"na. 精疲力尽；用坏；穿破；磨破
 磨损；穿坏；穿旧"
win out,"na. 摆脱
 胜出；成功；获得成功"
win through,"na. 摆脱
 成功；完成；获得成功"
win over,"na. 争取过来
 把…争取过来；战胜；战胜对方"
wish for,"v. 希望；想要
 愿望；希望得到；盼望"
work against, 对……不利；对…产生不利的作用和影响；反对
work at,"na. 从事；用功读
 致力于；在某处工作；钻研"
work on,"na. 对…有效；动(人,感情等)；向…做工作；左右
 从事；致力于；继续工作"
work off,"v. 渐渐消除
 除去；售出；清理"
work out,"v. 作出；拟定；制定；计划一下
 算出；解决；制定出"
work through,"un. 急救；推敲；过…关；贯穿
 通过……工作；完成；修通"
work up,"na. 刺激；煽动；刻苦完成；展开(故事的情节)
 激发；激起；逐步引起"
work with,"na. 打动
 与…共事；和…工作；和……一起工作"
wrap up,包裹；圆满完成；（使）穿得暖和（wrap somebody/yourself up）；注意力完全集中于……
write down,"na. 记下来；贬低；减低账面价值；把…拨作公积金
 写下；写下来；减记"
write off,"na. 注销(债款等)；报废；提笔就写(文章等)；减低资产账面额
 勾销；取消；冲销"
well-balanced,adj. 匀称的；神智健全的；通情达理的；明智的
well-known,adj. 著名的；众所周知的；清楚明白的
well-meaning,adj. 善意的；好心的
what is more,"na. 加之
 而且；更重要的是；更有甚者"
what is worse,"na. 更坏的是
 更糟糕的是；更糟的是；更槽糕的是"
whether ... or ...,找不到解释
whether or not,"conj. 是否
 无论；无论是否；是不是"
with a view to,"prep. 为了
 着眼于；为……起见；以…为目的"
within reason,"un. 就情理上讲；合情合理
 合理的；不过分；合理地"
with no air of,找不到解释
with an air of, 闷闷不乐的神情；带着…的神情
without fail,"na. 必定
 务必；一定；无一例外"
without question,"na. 无疑地；没有异议
 毫无疑问；毫无异议；关于"
with reference to,"na. 关于
 有关；参考；参照"
with respect to,"na. 考虑到
 关于；至于；有关"
word for word,"adv. 逐字翻译
 逐字的；逐字地；一字不变地"
would sooner,"v. 宁可
 宁愿；要和动词原形搭配"
wade through, 徒涉；艰难地通过；从河水中走过去
wade,"n. 跋涉；可涉水而过的地方
vi. 跋涉
vt. 涉水；费力行走"
wash one's hands of,"na. 不再管或负责某事；和…断绝关系
 洗手不干；洗手不干某事；丢手"
whip up,"na. 鞭(马等)飞跑；督促；集合(听众等)；抓住
 当场完成；激起；鞭打"
whip,"n. 鞭子；抽打；车夫； 搅拌器
vt. 抽打；煽动；搅打（蛋，奶油）；彻底击败
vi. 抽打；急走；拍击"
wind up,结束；使紧张；卷起；（非正式）忽悠某人（wind sb up）；上紧(钟、表等的)发条
wink at,"na. 对…使眼色；假装没看见
 纵容；挤咕；睁只眼"
when it comes to, 一谈到；当提到；当谈到
with one accord,"na. 一致地
 异口同声地；同心合意；全体一致地"
year after year,"adv. 年复一年
 年年；一年又一年；每年"
year by year,"na. 年年；逐年
 一年又一年；一年一年地；每年"
you bet,"na. 肯定
 当然；一定，当然；你说的没错"
