alter,"vt. 改变，更改
vi. 改变；修改"
homeless,"adj. 无家可归的
无家可归的人
无家可归"
criticize,"vi. 批评；评论；苛求
vt. 批评；评论；非难"
ignorant,adj. 无知的；愚昧的
define,vt. 定义；使明确；规定
satisfaction,n. 满意，满足；赔偿；乐事；赎罪
disagree,vi. 不同意；不一致；争执；不适宜
holding,"n. 举办；支持
v. 召开；担任（hold的ing形式）；握住"
basically,adv. 主要地，基本上
distinguish,"vi. 区别，区分；辨别
vt. 区分；辨别；使杰出，使表现突出"
estimate,"n. 估计，估价；判断，看法
vt. 估计，估量；判断，评价
vi. 估计，估价"
suburb,n. 郊区；边缘
justify,"vi. 证明合法；整理版面
vt. 证明…是正当的；替…辩护"
driving,"n. 驾驶；操纵
adj. 强劲的；推进的；精力旺盛的
v. 驾驶（drive的ing形式）"
circumstance,n. 环境，情况；事件；境遇
misunderstand,vt. 误解；误会
acquaintance,n. 熟人；相识；了解；知道
overlook,"vt. 忽略；俯瞰；远眺；检查；高耸于…之上
n. 忽视；眺望"
briefcase,n. 公文包
despite,"prep. 尽管，不管
n. 轻视；憎恨；侮辱"
debt,n. 债务；借款；罪过
perceive,"vt. 察觉，感觉；理解；认知
vi. 感到，感知；认识到"
recall,"n. 召回；回忆；撤消
vt. 召回；回想起，记起；取消"
grocer,n. 杂货店；食品商
delivery,n.  交付；分娩；递送
rejoice,"vi. 高兴；庆祝
vt. 使高兴"
sting,"n. 刺痛；讽刺，刺激；刺毛
vt. 刺；驱使；使…苦恼；使…疼痛
vi. 刺痛；被刺痛；感到剧痛"
magician,n. 魔术师，变戏法的人
thrill,"n. 激动；震颤；紧张
vt. 使…颤动；使…紧张；使…感到兴奋或激动
vi. 颤抖；感到兴奋；感到紧张"
ass,n. 屁股；驴子；蠢人
beaver,n. 海狸；海狸皮毛
camel,"n.  骆驼；打捞浮筒；工作作风官僚
adj. 驼色的；暗棕色的
vi. 工作刻板平庸"
cock,"n. 公鸡；龙头；雄鸟；头目
vt. 使竖起；使耸立；使朝上
vi. 翘起；竖起；大摇大摆"
crow,"n.  乌鸦；鸡鸣；撬棍
vi. 啼叫；报晓"
horseback,"n. 马背；峻峭的山脊
adv. 在马背上
adj. 性急的；草率的；未经充分考虑的"
owl,n. 猫头鹰；枭；惯于晚上活动的人
ox,n. 牛；公牛
parrot,"n. 鹦鹉；学舌者，应声虫；机械模仿别人的人
vt. 机械地模仿"
salmon,"n. 鲑鱼；大马哈鱼；鲑肉色；鲑鱼肉；橙红色，粉橙色
adj. 浅澄色的"
dot,"n. 点，圆点；嫁妆
vt. 加小点于
vi. 打上点"
focus,"n. 焦点；中心；清晰；焦距
vt. 使集中；使聚焦
vi. 集中；聚焦；调节焦距"
northeast,"adj. 东北的；向东北的；来自东北的
n. 东北
adv. 向东北；来自东北"
northwest,"adj. 西北的；向西北的；来自西北的
n. 西北
adv. 在西北；向西北；来自西北"
southeast,"n. 东南；东南地区
adj. 东南的；来自东南的
adv. 来自东南"
southwest,"n. 西南方
adj. 西南的
adv. 往西南；来自西南"
draft,"n. 汇票；草稿；选派；（尤指房间、烟囱、炉子等供暖系统中的）（小股）气流
vt. 起草；制定；征募
vi. 拟稿；绘样；作草图
adj. 初步画出或（写出）的；（设计、草图、提纲或版本）正在起草中的，草拟的；以草稿形式的；草图的"
dressing,"n. 穿衣；加工；调味品；装饰；梳理
v. 给…穿衣；为…打扮（dress的现在分词）"
drift,"n. 漂流，漂移；趋势；漂流物
vi. 漂流，漂移；漂泊
vt. 使…漂流；使…受风吹积"
entry,n. 进入；入口；条目；登记；报关手续；对土地的侵占
gesture,"n. 姿态；手势
vt. 用动作表示
vi. 作手势；用动作示意"
turning,"n. 转向；旋转；回转；转弯处
v. 旋转（turn的ing形式）"
agriculture,n. 农业；农耕；农业生产；农艺，农学
category,n. 种类，分类； 范畴
chemistry,n. 化学；化学过程
code,"n. 代码，密码；编码；法典
vt. 编码；制成法典
vi. 指定遗传密码"
context,n. 环境；上下文；来龙去脉
essence,n. 本质，实质；精华；香精
existence,n. 存在，实在；生存，生活；存在物，实在物
humanity,n. 人类；人道；仁慈；人文学科
identity,n. 身份；同一性，一致；特性；恒等式
instance,"n. 实例；情况；建议
vt. 举...为例"
logic,"n. 逻辑；逻辑学；逻辑性
adj. 逻辑的"
origin,n. 起源；原点；出身；开端
philosophy,n. 哲学；哲理；人生观
pronunciation,n. 发音；读法
species,"n.  物种；种类
adj. 物种上的"
substance,n. 物质；实质；资产；主旨
wisdom,n. 智慧，才智；明智；学识；至理名言
cancer, 巨蟹座
fist,"n. 拳，拳头；笔迹；掌握；指标参见号
vt. 紧握；握成拳；用拳打"
flesh,"n. 肉；肉体
vt. 喂肉给…；使发胖
vi. 长胖"
limb,"n. 肢，臂；分支；枝干
vt. 切断…的手足；从…上截下树枝"
recovery,n. 恢复，复原；痊愈；重获
thirst,"n. 渴望；口渴；热望
vi. 渴望；口渴"
ambition,"n. 野心，雄心；抱负，志向
vt. 追求；有…野心"
anxiety,n. 焦虑；渴望；挂念；令人焦虑的事
appetite,n. 食欲；嗜好
caution,"n. 小心，谨慎；警告，警示
vt. 警告"
concentration,n. 浓度；集中；浓缩；专心；集合
confession,n. 忏悔，告解；供认；表白
conscience,n. 道德心，良心
consciousness,n. 意识；知觉；觉悟；感觉
consideration,n. 考虑；原因；关心；报酬
cruelty,n. 残酷；残忍；残酷的行为
curiosity,n. 好奇，好奇心；珍品，古董，古玩
enjoyment,n. 享受；乐趣；享有
enthusiasm,n. 热心，热忱，热情
envy,"n. 嫉妒，妒忌；羡慕
vt. 嫉妒，妒忌；羡慕
vi. 感到妒忌；显示出妒忌"
expectation,n. 期待；预期；指望
grief,n. 悲痛；忧伤；不幸
hatred,n. 憎恨；怨恨；敌意
ignorance,n. 无知，愚昧；不知，不懂
impulse,"n. 冲动； 脉冲；刺激；神经冲动；推动力
vt. 推动"
instinct,"n. 本能，直觉；天性
adj. 充满着的"
intent,"n. 意图；目的；含义
adj. 专心的；急切的；坚决的"
jealousy,n. 嫉妒；猜忌；戒备
laughter,n. 笑；笑声
madness,n. 疯狂；愚蠢的行为
notion,n. 概念；见解；打算
rage,"n. 愤怒；狂暴，肆虐；情绪激动
vi. 大怒，发怒；流行，风行"
resolution,n.  分辨率；决议；解决；决心
restraint,n. 抑制，克制；约束
sadness,n. 悲哀
scent,"n. 气味；嗅觉；痕迹；察觉能力
vt. 闻到；发觉；使充满…的气味；循着遗臭追踪
vi. 发出…的气味；有…的迹象；嗅着气味追赶"
sorrow,"n. 悲伤；懊悔；伤心事
vt. 为…悲痛
vi. 懊悔；遗憾；感到悲伤"
spite,"n. 不顾；恶意；怨恨
vt. 刁难；使恼怒"
tension,"n. 张力，拉力；紧张，不安；电压
vt. 使紧张；使拉紧"
acting,"n. 演技；演戏；假装
adj. 代理的；装腔作势的"
admiration,n. 钦佩；赞赏；羡慕；赞美
award,"n. 奖品；判决
vt. 授予；判定"
comedy,n. 喜剧；喜剧性；有趣的事情
edition,"n. 版本
版次
集"
episode,n. 插曲；一段情节；插话；有趣的事件
exhibition,n. 展览，显示；展览会；展览品
fame,"n. 名声，名望；传闻，传说
vt. 使闻名，使有名望"
fiction,n. 小说；虚构，编造；谎言
paragraph,"n. 段落；短评；段落符号
vt. 将…分段"
portrait,n. 肖像；描写；半身雕塑像
prose,"n. 散文；单调
adj. 散文的；平凡的；乏味的
vt. 把…写成散文
vi. 写散文；乏味地讲话"
publication,n. 出版；出版物；发表
recording,"n. 录音；唱片
v. 录音；记录；录像（record的ing形式）
adj. 记录的；记录用的"
spectacle,n. 景象；场面；奇观；壮观；公开展示；表相，假相 n.（复）眼镜
verse,"n. 诗，诗篇；韵文；诗节
vi. 作诗
vt. 使熟练，使精通"
version,n. 版本；译文；倒转术
apricot,"n. 杏，杏子； 杏树；杏黄色
adj. 杏黄色的"
ash,n. 灰；灰烬
atmosphere,n. 气氛；大气；空气
bamboo,"n. 竹，竹子
adj. 竹制的；土著居民的
vt. 为…装上篾条"
berry,"n. 浆果（葡萄，番茄等）
vi. 采集浆果"
bloom,"n. 花；青春；旺盛
vt. 使开花；使茂盛
vi. 开花；茂盛"
blossom,"n. 花；开花期；兴旺期；花开的状态
vi. 开花；兴旺；发展成"
brass,n. 黄铜；黄铜制品；铜管乐器；厚脸皮
breeze,"n. 微风；轻而易举的事；煤屑；焦炭渣；小风波
vi. 吹微风；逃走"
bud,"n. 芽，萌芽；蓓蕾
vt. 使发芽
vi. 发芽，萌芽"
cave,"n. 洞穴，窑洞
vi. 凹陷，塌落；投降
vt. 使凹陷，使塌落；在…挖洞穴"
celery,n.  芹菜
cosmos,n. 宇宙；和谐；秩序；大波斯菊
crystal,"n. 结晶，晶体；水晶；水晶饰品
adj. 水晶的；透明的，清澈的"
echo,"n. 回音；效仿
vt. 反射；重复
vi. 随声附和；发出回声"
frost,"n. 霜；冰冻，严寒；冷淡
vi. 结霜；受冻
vt. 结霜于；冻坏"
globe,"n. 地球；地球仪；球体
vt. 使…成球形
vi. 成球状"
grain,"n. 粮食；颗粒； 谷物；纹理
vt. 使成谷粒
vi. 成谷粒"
gulf,"n. 海湾；深渊；分歧；漩涡
vt. 吞没"
layer,"n. 层，层次；膜；压条；放置者，计划者
vt. 把…分层堆放；借助压条法；生根繁殖；将（头发）剪成不同层次
vi. 形成或分成层次；通过压条法而生根"
liquid,"adj. 液体的；清澈的；明亮的；易变的
n. 液体，流体；流音"
magnet,n. 磁铁； 磁体；磁石
marble,"n. 大理石；大理石制品；弹珠
adj. 大理石的；冷酷无情的"
oak,"n. 橡树；橡木色；橡木家具
adj. 栎树的；栎木制的"
oasis,n. 绿洲；舒适的地方；令人宽慰的事物
oxygen,n.  氧气， 氧
pine,"n.  松树；凤梨，菠萝
adj. 松木的；似松的
vt. 为…悲哀；哀悼
vi. 渴望，痛苦；憔悴"
pit,"n. 矿井；深坑；陷阱；（物体或人体表面上的）凹陷；（英国剧场的）正厅后排；正厅后排的观众
vt. 使竞争；窖藏；使凹下；去…之核；使留疤痕
vi. 凹陷；起凹点"
stem,"n. 干；茎；船首；血统
vt. 阻止；除去…的茎；给…装柄
vi. 阻止；起源于某事物；逆行"
sunflower,n. 向日葵
tide,"n. 趋势，潮流；潮汐
vt. 随潮漂流"
vanilla,"n. 香子兰，香草
adj. 香草味的"
web,"n. 网；卷筒纸；蹼；织物；圈套
vt. 用网缠住；使中圈套
vi. 形成网"
weed,"n. 杂草，野草；菸草
vt. 除草；铲除
vi. 除草"
anniversary,n. 周年纪念日
apology,n. 道歉；谢罪；辩护；勉强的替代物
asking,"n. 请求
v. 问（ask的现在分词）"
aspect,n. 方面；方向；形势；外貌
blessing,"n. 祝福；赐福；祷告
v. 使幸福（bless的ing形式）；使神圣化；为…祈神赐福"
breakdown,n. 故障；崩溃；分解；分类；衰弱；跺脚曳步舞
convenience,n. 便利；厕所；便利的事物
deed,"n. 行动；功绩；证书； 契据
vt. 立契转让"
engagement,"n. 婚约；约会；交战；诺言
n. 参与度（指用户点赞、转发、评论、下载文档、观看视频、咨询等交互行为）"
eve,n. 前夕；傍晚；重大事件关头
fate,"n. 命运
vt. 注定"
flavor,"n. 情味，风味；香料；滋味
vt. 加味于"
gamble,"n. 赌博；冒险；打赌
vi. 赌博；孤注一掷；投机；打赌
vt. 赌博；孤注一掷；冒险假设"
glory,"n. 光荣，荣誉；赞颂
vi. 自豪，骄傲；狂喜"
goodness,"n. 善良，优秀 ；精华，养分
int. 天哪"
guidance,n. 指导，引导；领导
helping,"n. 帮助，协助；一份食物
v. 帮助；扶持（help的ing形式）
adj. 辅助的；给予帮助的"
hunting,"n. 打猎；追逐；搜索
v. 狩猎；寻找（hunt的ing形式）；追捕
adj. 打猎的；振荡的"
interval,n. 间隔；间距；幕间休息
landscape,"n. 风景；风景画；景色；山水画；乡村风景画；地形；（文件的）横向打印格式
vt. 对…做景观美化，给…做园林美化；从事庭园设计
vi. 美化（环境等），使景色宜人；从事景观美化工作，做庭园设计师"
lifetime,"n. 一生；寿命；终生；使用期
adj. 一生的；终身的"
mess,"n. 混乱；食堂，伙食团；困境；脏乱的东西
vt. 弄乱，弄脏；毁坏；使就餐
vi. 把事情弄糟；制造脏乱；玩弄"
miracle,n. 奇迹，奇迹般的人或物；惊人的事例
misery,n. 痛苦，悲惨；不幸；苦恼；穷困
mode,n. 模式；方式；风格；时尚
portion,"n. 部分；一份；命运
vt. 分配；给…嫁妆"
potential,"n. 潜能；可能性； 电势
adj. 潜在的；可能的；势的"
privacy,n. 隐私；秘密；隐居；隐居处
rattle,"vt. 使发出咯咯声；喋喋不休；使慌乱，使惊慌
vi. 喋喋不休地讲话；发出卡嗒卡嗒声
n. 喋喋不休的人；吓吱声，格格声"
spark,"n. 火花；朝气；闪光
vt. 发动；鼓舞；求婚
vi. 闪烁；发火花；求婚"
spray,"n. 喷雾；喷雾器；水沫
vt. 喷射
vi. 喷"
transportation,n. 运输；运输系统；运输工具；流放
virtue,n. 美德；优点；贞操；功效
acceptance,n. 接纳；赞同；容忍
accord,"n. 符合；一致；协议；自愿
vt. 使一致；给予
vi. 符合；一致"
adjustment,n. 调整，调节；调节器
admission,n. 承认；入场费；进入许可；坦白；录用
alternative,"n. 二中择一；供替代的选择
adj. 供选择的；选择性的；交替的"
approval,n. 批准；认可；赞成
banking,"n. 银行业；银行业务；银行家的职业；筑堤
v. 把钱存入银行；做银行家；在…边筑堤（bank的现在分词）"
bond,"n. 债券；结合；约定；粘合剂；纽带
vt. 使结合；以…作保
vi. 结合，团结在一起"
commerce,n. 贸易；商业；商务
conclusion,n. 结论；结局；推论
conference,"n. 会议；讨论；协商；联盟；（正式）讨论会；（每年的）大会
vi. 举行或参加（系列）会议"
constitution,n. 宪法；体制；章程；构造；建立，组成；体格
contribution,n. 贡献；捐献；投稿
convention,n. 大会； 惯例； 约定； 协定；习俗
corporation,n. 公司；法人（团体）；社团；大腹便便；市政当局
crisis,"n. 危机；危险期；决定性时刻
adj. 危机的；用于处理危机的"
destruction,n. 破坏，毁灭；摧毁
digest,"n. 文摘；摘要
vt. 消化；吸收；融会贯通
vi. 消化"
disadvantage,n. 缺点；不利条件；损失
discipline,"n. 学科；纪律；训练；惩罚
vt. 训练，训导；惩戒"
division,n.  除法；部门；分配；分割；师（军队）；赛区
efficiency,n. 效率；效能；功效
emergency,"n. 紧急情况；突发事件；非常时刻
adj. 紧急的；备用的"
establishment,n. 确立，制定；公司；设施
estate,n. 房地产；财产；身份
farming,"n. 农业，耕作
v. 耕种；出租（farm的ing形式）"
forecast,"n. 预测，预报；预想
vt. 预报，预测；预示
vi. 进行预报，作预测"
formation,n. 形成；构造；编队
guarantee,"n. 保证；担保；保证人；保证书；抵押品
vt. 保证；担保"
guilt,n. 犯罪，过失；内疚
hanging,"n. 悬挂；绞刑；帘子，幔帐
v. 悬挂（hang的ing形式）
adj. 悬挂着的"
independence,n. 独立性，自立性；自主
journalism,n. 新闻业，新闻工作；报章杂志
launch,"vt. 发射（导弹、火箭等）；发起，发动；使…下水
vi. 开始；下水；起飞
n. 发射；发行，投放市场；下水；汽艇"
making,"n. 发展；制造；形成
v. 制作（make的现在分词）"
manufacture,"n. 制造；产品；制造业
vt. 制造；加工；捏造
vi. 制造"
mechanism,n. 机制；原理，途径；进程；机械装置；技巧
nationality,n. 国籍，国家；民族；部落
output,"n. 输出，输出量；产量；出产
vt. 输出"
panic,"n. 恐慌，惊慌；大恐慌
adj. 恐慌的；没有理由的
vt. 使恐慌
vi. 十分惊慌"
penalty,n. 罚款，罚金；处罚
plot,"n. 情节；图；阴谋
vt. 密谋；绘图；划分；标绘
vi. 密谋；策划；绘制"
pollution,"n. 污染
污染物"
possession,n. 拥有；财产；领地；自制；着迷
privilege,"n. 特权；优待
vt. 给与…特权；特免"
procedure,n. 程序，手续；步骤
promotion,n. 提升， 晋升；推销，促销；促进；发扬，振兴
