dislike,"n. 嫌恶，反感，不喜爱
vt. 不喜欢，厌恶"
further,"adj. 更远的；深一层的
vt. 促进，助长；增进
adv. 进一步地；而且；更远地"
develop,"vi. 发育；生长；进化；显露
vt. 开发；进步；使成长；使显影"
enhance,vt. 提高；加强；增加
boost,"n. 推动；帮助；宣扬
vi. 宣扬；偷窃
vt. 促进；增加；支援"
advance,"n. 发展；前进；增长；预付款
adj. 预先的；先行的
vt. 提出；预付；使……前进；将……提前
vi. 前进；进展；上涨"
promote,"vi. 成为王后或其他大于卒的子
vt. 促进；提升；推销；发扬"
report,"n. 报告；报道；成绩单
vt. 报告；报导；使报到
vi. 报告；报到；写报导"
transport,"n. 运输；运输机；狂喜；流放犯
vt. 运输；流放；使狂喜"
expert,"n. 专家；行家；能手
adj. 熟练的；内行的；老练的
vt. 当专家；在…中当行家"
professional,"n. 专业人员；职业运动员
adj. 专业的；职业的；职业性的"
technical,adj. 工艺的，科技的；技术上的；专门的
master,"vt. 控制；精通；征服
n. 硕士；主人；大师；教师
adj. 主人的；主要的；熟练的"
conclude,"vi. 推断；断定；决定
vt. 推断；决定，作结论；结束"
intend,"vi. 有打算
vt. 打算；想要；意指"
tend,"vt. 照料，照管
vi. 趋向，倾向；照料，照顾"
lean,"vi. 倾斜；倚靠；倾向；依赖
adj. 瘦的；贫乏的，歉收的
vt. 使倾斜
n. 瘦肉；倾斜；倾斜度"
pretend,"vt. 假装，伪装，模拟
adj. 假装的
vi. 假装，伪装，佯装"
attend,"vi. 出席；致力于；照料；照顾
vt. 出席；上（大学等）；照料；招待；陪伴"
extend,"vt. 延伸；扩大；推广；伸出；给予；使竭尽全力；对…估价
vi. 延伸；扩大；伸展；使疏开"
extent,n. 程度；范围；长度
degree,n. 程度，等级；度；学位；阶层
level,"n. 水平；标准；水平面
adj. 水平的；平坦的；同高的
vi. 瞄准；拉平；变得平坦
vt. 使同等；对准；弄平"
diploma,"n. 毕业证书，学位证书；公文，文书；奖状
vt. 发给…毕业文凭"
certificate,"n. 证书；执照，文凭
vt. 发给证明书；以证书形式授权给…；用证书批准"
license,"n. 执照，许可证；特许
vt. 许可；特许；发许可证给"
scale,"n. 规模；比例；鳞；刻度；天平；数值范围
vt. 测量；攀登；刮鳞；依比例决定
vi. 衡量；攀登；剥落；生水垢"
range,"n. 范围；幅度；排；山脉
vt. 漫游；放牧；使并列；归类于；来回走动
vi. （在...内）变动；平行，列为一行；延伸；漫游；射程达到"
indicate,vt. 表明；指出；预示；象征
invent,vt. 发明；创造；虚构
involve,vt. 包含；牵涉；使陷于；潜心于
evolve,"vi. 发展，进展；进化；逐步形成
vt. 发展，进化；进化；使逐步形成；推断出"
theory,n. 理论；原理；学说；推测
practice,"n. 实践；练习；惯例
vt. 练习；实习；实行
vi. 练习；实习；实行"
exercise,"n. 运动；练习；运用；操练；礼拜；典礼
vt. 锻炼；练习；使用；使忙碌；使惊恐
vi. 运动；练习"
inspire,vt. 激发；鼓舞；启示；产生；使生灵感
thirsty,adj. 口渴的，口干的；渴望的，热望的
eager,adj. 渴望的；热切的；热心的
stimulate,"vi. 起刺激作用；起促进作用
vt. 刺激；鼓舞，激励"
invest,"vi. 投资，入股；花钱买
vt. 投资；覆盖；耗费；授予；包围"
inspect,"vt. 检查；视察；检阅
vi. 进行检查；进行视察"
check,"n. <美>支票；制止，抑制；检验，核对
vi. 核实，查核；中止；打勾；将一军
vt. 检查，核对；制止，抑制；在…上打勾"
examine,"vt. 检查；调查； 检测；考试
vi. 检查；调查"
respect,"n. 尊敬，尊重；方面；敬意
vt. 尊敬，尊重；遵守"
honor,"n. 荣誉；信用；头衔
vt. 尊敬（等于honour）；给…以荣誉"
expect,"vi. 期待；预期
vt. 期望；指望；认为；预料"
anticipate,vt. 预期，期望；占先，抢先；提前使用
forecast,"n. 预测，预报；预想
vt. 预报，预测；预示
vi. 进行预报，作预测"
predict,"vi. 作出预言；作预料，作预报
vt. 预报，预言；预知"
participate,"vi. 参与，参加；分享
vt. 分享；分担
"
aspect,n. 方面；方向；形势；外貌
prospect,"n. 前途；预期；景色
vt. 勘探，勘察
vi. 勘探，找矿"
inhabit,"vt. 栖息；居住于；占据
vi. （古）居住；栖息"
habit,"n. 习惯，习性；嗜好
vt. 使穿衣"
custom,"n. 习惯，惯例；风俗；海关，关税；经常光顾；（经常性的）顾客
adj. （衣服等）定做的，定制的"
accustom,vt. 使习惯于
locate,"vt. 位于；查找…的地点
vi. 定位；定居"
live,"adj. 活的；生动的；实况转播的；精力充沛的
vt. 经历；度过
vi. 活；居住；生存"
insert,"n. 插入物；管芯；镶块；刀片
vt. 插入；嵌入"
desert,"n. 沙漠；荒原；应得的赏罚
vt. 遗弃；放弃；逃跑
adj. 沙漠的；荒凉的；不毛的
vi. 遗弃；开小差；逃掉"
abandon,"n. 放任；狂热
vt. 遗弃；放弃"
waste,"n. 浪费；废物；荒地；损耗；地面风化物
adj. 废弃的；多余的；荒芜的
vt. 浪费；消耗；使荒芜
vi. 浪费；变消瘦；挥霍钱财"
save,"prep. 除...之外
n. 救援
vi. 节省；挽救
vt. 节省；保存；储蓄；解救"
environment,n. 环境，外界
nature,n. 自然；性质；本性；种类
circumstance,n. 环境，情况；事件；境遇
condition,"n. 条件；情况；环境；身份
vt. 决定；使适应；使健康；以…为条件"
situation,n. 情况；形势；处境；位置
occasion,"n. 时机，机会；场合；理由
vt. 引起，惹起"
pollute,vt. 污染；玷污；败坏
exhaust,"n. 排气；废气；排气装置
vt. 排出；耗尽；使精疲力尽；彻底探讨
vi. 排气"
atmosphere,n. 气氛；大气；空气
investigate,v. 调查；研究
research,"n. 研究；调查
vt. 研究；调查
vi. 研究；调查
"
search,"n. 搜寻；探究，查究
vt. 搜索；搜寻；调查；搜查；探求
vi. 搜寻；调查；探求"
seek,"vt. 寻求；寻找；探索；搜索
vi. 寻找；探索；搜索"
experiment,"n. 实验，试验；尝试
vi. 尝试；进行实验"
experience,"n. 经验；经历；体验
vt. 经验；经历；体验"
survey,"n. 调查；测量；审视；纵览
vt. 调查；勘测；俯瞰
vi. 测量土地"
poll,"n. 投票；民意测验；投票数；投票所
adj. 无角的；剪过毛的；修过枝的
vt. 投票；剪短；对…进行民意测验；获得选票
vi. 投票"
vote,"n. 投票，选举；选票；得票数
vi. 选举，投票
vt. 提议，使投票；投票决定；公认"
elect,"n. 被选的人；特殊阶层；上帝的选民
adj. 选出的；当选的；卓越的
vi. 作出选择；进行选举
vt. 选举；选择；推选"
select,"n. 被挑选者；精萃
adj. 精选的；挑选出来的；极好的
vt. 挑选；选拔
vi. 挑选"
choose,"vt. 选择，决定
vi. 选择，挑选"
collect,"vt. 收集；募捐
adj. 由收件人付款的
vi. 收集；聚集；募捐
adv. 由收件人付款地"
gather,"n. 聚集；衣褶；收获量
vt. 收集；收割；使…聚集；使…皱起
vi. 聚集；化脓；皱起"
electric,"n. 电；电气车辆；带电体
adj. 电的；电动的；发电的；导电的；令人震惊的"
fund,"n. 基金；资金；存款
vt. 投资；资助"
capital,"n. 首都，省会；资金；大写字母；资本家
adj. 首都的；重要的；大写的"
social,"n. 联谊会；联欢会
adj. 社会的，社交的；群居的"
civil,adj. 公民的；民间的；文职的；有礼貌的；根据民法的
property,n. 性质，性能；财产；所有权
poverty,n. 贫困；困难；缺少；低劣
proper,"adj. 适当的；本身的；特有的；正派的
adv. 完全地"
suitable,adj. 适当的；相配的
appropriate,"adj. 适当的；恰当的；合适的
vt. 占用，拨出"
review,"n. 回顾；复习；评论；检讨；检阅
vt. 回顾；检查；复审
vi. 回顾；复习功课；写评论"
reserve,"n. 储备，储存；自然保护区；预备队；缄默； 储备金
vt. 储备；保留；预约
vi. 预订"
conserve,"n. 果酱；蜜饯
vt. 保存；将…做成蜜饯；使守恒"
preserve,"n. 保护区；禁猎地；加工成的食品
vt. 保存；保护；维持；腌；禁猎"
deserve,"vi. 应受，应得
vt. 应受，应得"
worth,"n. 价值；财产
adj. 值…的"
value,"n. 值；价值；价格；重要性；确切涵义
vt. 评价；重视；估价"
serve,"n. 发球，轮到发球
vi. 服役，服务；适合，足够；发球；招待，侍候
vt. 招待，供应；为…服务；对…有用；可作…用"
revise,"n. 修订；校订
vi. 修订；校订；复习功课
vt. 修正；复习；校订"
correct,"adj. 正确的；恰当的；端正的
vt. 改正；告诫
vi. 调整；纠正错误"
precise,adj. 精确的；明确的；严格的
accurate,adj. 精确的
exact,"adj. 准确的，精密的；精确的
vt. 要求；强求；急需
vi. 勒索钱财"
specific,"n. 特性；细节；特效药
adj. 特殊的，特定的；明确的；详细的； 具有特效的"
particular,"n. 详细说明；个别项目
adj. 特别的；详细的；独有的；挑剔的"
special,"n. 特使，特派人员；特刊；特色菜；专车；特价商品
adj. 特别的；专门的，专用的"
especially,adv. 特别；尤其；格外
edit,"vt. 编辑；校订
n. 编辑工作"
supervise,"vt. 监督，管理；指导
vi. 监督，管理；指导"
view,"n. 观察；视野；意见；风景
vt. 观察；考虑；查看"
opinion,n. 意见；主张
scene,n. 场面；情景；景象；事件
scenery,n. 风景；景色；舞台布景
travel,"n. 旅行；游历；漫游
vt. 经过；在…旅行
vi. 旅行；行进；步行；交往"
guide,"n. 指南；向导；入门书
vt. 引导；带领；操纵
vi. 担任向导"
lead,"n. 领导；铅；导线；榜样
vt. 领导；致使；引导；指挥
vi. 领导；导致；用水砣测深
adj. 带头的；最重要的"
navigate,"vt. 驾驶，操纵；使通过；航行于
vi. 航行，航空"
route,"n. 路线；航线；通道
vt. 按某路线发送"
routine,"n.  程序；日常工作；例行公事
adj. 日常的；例行的"
tour,"n. 旅游，旅行；巡回演出
vt. 旅行，在……旅游；在……作巡回演出
vi. 旅行，旅游；作巡回演出"
trip,"n. 旅行；绊倒；差错
vt. 绊倒；使犯错
vi. 绊倒；远足；犯错误；轻快地走"
journey,"n. 旅行；行程
vi. 旅行"
journal,n. 日报，杂志；日记；分类账
expedition,n. 远征；探险队；迅速
voyage,"n. 航行；航程；旅行记
vt. 飞过；渡过
vi. 航行；航海"
landscape,"n. 风景；风景画；景色；山水画；乡村风景画；地形；（文件的）横向打印格式
vt. 对…做景观美化，给…做园林美化；从事庭园设计
vi. 美化（环境等），使景色宜人；从事景观美化工作，做庭园设计师"
sight,"n. 视力；景象；眼界；见解
adj. 见票即付的；即席的
vt. 看见；瞄准
vi. 瞄准；观看"
insight,n. 洞察力；洞悉
horizon,n.  地平线；视野；眼界；范围
interview,"n. 接见，采访；面试，面谈
vt. 采访；接见；对…进行面谈；对某人进行面试"
remark,"n. 注意；言辞
vt. 评论；觉察
vi. 谈论"
significant,"n. 象征；有意义的事物
adj. 重大的；有效的；有意义的；值得注意的；意味深长的"
important,adj. 重要的，重大的；有地位的；有权力的
major,"adj. 主要的；重要的；主修的；较多的
n.  成年人；主修科目；陆军少校
vi. 主修"
minor,"adj. 未成年的；次要的；较小的；小调的；二流的
n. 未成年人；小调；副修科目
vi. 副修"
vital,adj. 至关重要的；生死攸关的；有活力的
urgent,adj. 紧急的；急迫的
emergency,"n. 紧急情况；突发事件；非常时刻
adj. 紧急的；备用的"
essential,"n. 本质；要素；要点；必需品
adj. 基本的；必要的；本质的；精华的"
fundamental,"n. 基本原理；基本原则
adj. 基本的，根本的"
foundation,n. 基础；地基；基金会；根据；创立
base,"n. 基础；底部；垒
adj. 卑鄙的；低劣的
vt. 以…作基础"
basin,n. 水池；流域；盆地；盆
necessary,"adj. 必要的；必需的；必然的
n. 必需品"
key,"n. （打字机等的）键；关键；钥匙
vt. 键入；锁上；调节…的音调；提供线索
vi. 使用钥匙
adj. 关键的"
crucial,adj. 重要的；决定性的；定局的；决断的
critical,adj. 鉴定的； 临界的；批评的，爱挑剔的；危险的；决定性的；评论的
comment,"n. 评论；意见；批评
vi. 发表评论；发表意见
vt. 为…作评语"
relieve,vt. 解除，减轻；使不单调乏味；换…的班；解围；使放心
believe,"vi. 信任；料想；笃信宗教
vt. 相信；认为；信任"
confidence,"n. 信心；信任；秘密
adj. （美）诈骗的；骗得信任的"
faith,n. 信仰；信念；信任；忠实
trust,"n. 信任，信赖；责任；托拉斯
vt. 信任，信赖；盼望；赊卖给
vi. 信任，信赖；依靠"
doubt,"n. 怀疑；疑问；疑惑
v. 怀疑；不信；恐怕；拿不准"
suspect,"n. 嫌疑犯
adj. 可疑的；不可信的
vi. 怀疑；猜想
vt. 怀疑；猜想"
convince,vt. 说服；使确信，使信服
persuade,"vt. 说服，劝说；使某人相信；劝某人做（不做）某事
adj. 空闲的，有闲的
vi. 说服；被说服"
recognize,"vt. 认出，识别；承认
vi. 确认，承认；具结"
identify,vt. 确定；鉴定；识别，辨认出；使参与；把…看成一样 vi. 确定；认同；一致
classify,vt. 分类；分等
clear,"n. 清除；空隙
adj. 清楚的；清澈的；晴朗的；无罪的
vt. 通过；清除；使干净；跳过
vi. 放晴；变清澈
adv. 清晰地；完全地"
definite,adj. 一定的；确切的
obvious,adj. 明显的；显著的；平淡无奇的
apparent,adj. 显然的；表面上的
visible,"n. 可见物；进出口贸易中的有形项目
adj. 明显的；看得见的；现有的；可得到的"
qualify,"vi. 取得资格，有资格
vt. 限制；使具有资格；证明…合格"
quality,"n. 质量， 品质；特性；才能
adj. 优质的；高品质的；<英俚>棒极了"
character,"n. 性格，品质；特性；角色； 字符
vt. 印，刻；使具有特征"
quantity,n. 量，数量；大量；总量
sum,"n. 金额；总数
vt. 总结；合计
vi. 概括"
release,"n. 释放；发布；让与
vt. 释放；发射；让与；允许发表"
dismiss,"vt. 解散；解雇；开除；让...离开；不予理会、不予考虑
vi. 解散"
remove,"n. 移动；距离；搬家
vt. 移动，迁移；开除；调动
vi. 移动，迁移；搬家"
employ,"n. 使用；雇用
vt. 使用，采用；雇用；使忙于，使从事于"
career,"n. 生涯；职业；事业；速度，全速
adj. 作为毕生职业的
vi. 全速前进，猛冲"
receive,"vt. 收到；接待；接纳
vi. 接收"
accept,"vi. 承认；同意；承兑
vt. 接受；承认；承担；承兑；容纳"
