unofficial,adj. 非官方的；非正式的
mountain,n. 山；山脉
duty-free,"adj. 免税的
adv. 免税地"
duty,n. 责任； 关税；职务
fat-free,adj. 不含脂肪的
greatly,adv. 很，大大地；非常
great,"n. 大师；大人物；伟人们
adj. 伟大的，重大的；极好的，好的；主要的"
interestingly,adv. 有趣地
interesting,adj. 有趣的；引起兴趣的，令人关注的
surprisingly,adv. 惊人地；出人意料地
surprising,"v. 使惊奇；意外发现（surprise的ing形式）
adj. 令人惊讶的；意外的"
backwards,adv. 倒；向后；逆
onwards,adv. 向前；在前面
homeward,"adv. 在归途上，向家地
adj. 在归途上的，向家的"
clockwise,"adj. 顺时针方向的
adv. 顺时针方向地"
tenfold,"n. 十倍
adj. 十倍的；十重的
adv. 十倍地；成十倍"
hundredfold,"n. 百倍
adj. 百倍的"
note,"n. 笔记；音符；票据；注解；纸币；便笺；照会；调子
vt. 注意；记录；注解"
notion,n. 概念；见解；打算
notable,"adj. 值得注意的，显著的；著名的
n. 名人，显要人物"
noticeable,adj. 显而易见的，显著的；值得注意的
quote,"n. 引用
vi. 报价；引用；引证
vt. 报价；引述；举证"
anecdote,n. 轶事；奇闻；秘史
pit,"n. 矿井；深坑；陷阱；（物体或人体表面上的）凹陷；（英国剧场的）正厅后排；正厅后排的观众
vt. 使竞争；窖藏；使凹下；去…之核；使留疤痕
vi. 凹陷；起凹点"
fit,"n. 合身；发作；痉挛
adj. 健康的；合适的；恰当的；准备好的
vt. 安装；使……适应；使……合身；与……相符
vi. 符合，配合；适合；合身"
gift,"n. 礼物；天赋；赠品
vt. 赋予；向…赠送"
sift,"vt. 筛选；撒；过滤；详查
vi. 筛；详查；撒下；细究"
rift,"n. 裂缝；不和； 裂口
vt. 使断裂；使分开
vi. 裂开"
lift,"vt. 举起；提升；鼓舞；空运；抄袭
vi. 消散；升起；耸立
n. 电梯；举起；起重机；搭车"
uplift,"n. 举起，抬起；道德的向上；精神的高涨
vt. 提高；抬起
vi. 提高；上升；升起"
shift,"n. 移动；变化；手段；轮班
vt. 转移；改变；替换
vi. 移动；转变；转换"
thrifty,adj. 节约的；茂盛的；成功的
drift,"n. 漂流，漂移；趋势；漂流物
vi. 漂流，漂移；漂泊
vt. 使…漂流；使…受风吹积"
draft,"n. 汇票；草稿；选派；（尤指房间、烟囱、炉子等供暖系统中的）（小股）气流
vt. 起草；制定；征募
vi. 拟稿；绘样；作草图
adj. 初步画出或（写出）的；（设计、草图、提纲或版本）正在起草中的，草拟的；以草稿形式的；草图的"
craft,"n. 工艺；手艺；太空船
vt. 精巧地制作"
toll,"vt. 征收；敲钟
n. 通行费；代价；钟声；伤亡人数
vi. 鸣钟；征税"
pale,"n. 前哨；栅栏；范围
adj. 苍白的；无力的；暗淡的
vt. 使失色；使变苍白；用栅栏围
vi. 失色；变苍白；变得暗淡"
sole,"n. 鞋底；脚底；基础；鳎目鱼
adj. 唯一的；单独的；仅有的
vt. 触底；上鞋底"
console,"n.  控制台； 操纵台
vt. 安慰；慰藉"
solemn,adj. 庄严的，严肃的；隆重的，郑重的
seal,"n. 密封；印章；海豹；封条；标志
vt. 密封；盖章
vi. 猎海豹"
heal,"vt. 治愈，痊愈；和解
vi. 痊愈"
zeal,n. 热情；热心；热诚
jealous,adj. 妒忌的；猜疑的；唯恐失去的；戒备的
deal,"n. 交易；（美）政策；待遇；份量
vi. 处理；讨论；对待；做生意
vt. 处理；给予；分配；发牌"
dealt,v. 处理（deal的过去式和过去分词）
dealt,v. 处理（deal的过去式和过去分词）
ideal,"n. 理想；典范
adj. 理想的；完美的；想象的；不切实际的"
ideology,n. 意识形态；思想意识；观念学
series,n. 系列，连续； 串联；级数；丛书
serious,adj. 严肃的，严重的；认真的；庄重的；危急的
curious,adj. 好奇的，有求知欲的；古怪的；爱挑剔的
damage,"vi. 损害；损毁
vt. 损害，毁坏
n. 损害；损毁；赔偿金"
imaginative,adj. 富于想象的；有创造力的
native,"adj. 本国的；土著的；天然的；与生俱来的；天赋的
n. 本地人；土产；当地居民"
creative,adj. 创造性的
recreation,n. 娱乐；消遣；休养
heed,"n. 注意到；留心到
vt. 注意，留心
vi. 注意，留心"
greed,n. 贪婪，贪心
breed,"n.  品种；种类，类型
vt. 繁殖；饲养；养育，教育；引起
vi. 繁殖；饲养；产生"
speedy,adj. 快的；迅速的；敏捷的
needless,adj. 不必要的，不需要的；多余的，无用的
needy,adj. 贫困的；贫穷的；生活艰苦的
spin,"n. 旋转；疾驰
vi. 旋转；纺纱；吐丝；晕眩
vt. 使旋转；纺纱；编造；结网"
spun,"adj. 纺成的
v. 纺（spin的过去分词）；旋转"
spun,"adj. 纺成的
v. 纺（spin的过去分词）；旋转"
span,"n. 跨度，跨距；范围
vt. 跨越；持续；以手指测量"
spot,"n. 地点；斑点
adj. 现场的；现货买卖的
vt. 认出；弄脏；用灯光照射
vi. 沾上污渍；满是斑点
adv. 准确地；恰好"
spoil,"n. 次品；奖品
vt. 溺爱；糟蹋；破坏；掠夺
vi. 掠夺；变坏；腐败"
spoilt,"adj. 宠坏的；损坏的
v. 宠坏；毁坏（spoil的过去式及过去分词）"
spoiled,"adj. 被宠坏的
v. 宠坏；变质（spoil的过去式和过去分词）；损坏"
spill,"n. 溢出，溅出；溢出量；摔下；小塞子
vi. 溢出，流出；摔下；涌流
vt. 使溢出，使流出；使摔下"
spilt,v. 洒出的，溢出的（spill的过去式及过去分词）
spilled,溢出
bill,"n.  法案；广告；账单； 票据；钞票；清单
vt. 宣布；开账单；用海报宣传"
skilled,adj. 熟练的；有技能的；需要技能的
technology,n. 技术；工艺；术语
drill,"n. 训练；钻孔机；钻子；播种机
vt. 钻孔；训练；条播
vi. 钻孔；训练"
thrill,"n. 激动；震颤；紧张
vt. 使…颤动；使…紧张；使…感到兴奋或激动
vi. 颤抖；感到兴奋；感到紧张"
mild,"adj. 温和的；轻微的；淡味的；文雅的；不含有害物质的的
n. （英国的一种）淡味麦芽啤酒"
wilderness,n. 荒地；大量，茫茫一片
wise,"adj. 明智的；聪明的；博学的
vt. 使知道；教导
vi. 了解"
arise,vi. 出现；上升；起立
arose,vi. 出现（arise的过去式）；引发
arisen,"v. 出现（arise的过去分词）；起身；升起
adj. 兴起的；出现的"
arouse,"vt. 引起；唤醒；鼓励
vi. 激发；醒来；发奋"
prize,"n. 奖品；奖赏；战利品
adj. 获奖的
vt. 珍视；捕获；估价"
praise,"n. 赞扬；称赞；荣耀；崇拜
vt. 赞美，歌颂；表扬
vi. 赞美；赞扬"
appraise,vt. 评价，鉴定；估价
still,"conj. 仍然；但是；尽管如此
n. 寂静；剧照；蒸馏室
adj. 静止的，不动的；寂静的，平静的；不起泡的
adv. 仍然；更；静止地
vt. 蒸馏；使…静止；使…平静下来
vi. 静止；平静；蒸馏"
distil,"vt. 蒸馏；提取…的精华；使渗出
vi. 蒸馏；提炼；渗出"
distill,"vt. 提取；蒸馏；使滴下
vi. 蒸馏；滴下；作为精华产生（等于distil）"
instill,vt. 徐徐滴入；逐渐灌输
instil,vt. 逐渐灌输；使渗透；滴注
install,vt. 安装；任命；安顿
pore,"n. 气孔；小孔
vt. 使注视
vi. 细想；凝视；熟读"
chore,n. 家庭杂务；日常的零星事务；讨厌的或累人的工作
store,"n. 商店；储备，贮藏；仓库
vt. 贮藏，储存"
restore,"vi. 恢复；还原
vt. 恢复；修复；归还"
base,"n. 基础；底部；垒
adj. 卑鄙的；低劣的
vt. 以…作基础"
showcase,"n. 陈列橱， 陈列柜；显示优点的东西
vt. 使展现；在玻璃橱窗陈列"
pace,"n. 一步；步速；步伐；速度
vi. 踱步；缓慢而行
vt. 踱步于；用步测"
rhythm,n. 节奏；韵律
spacious,adj. 宽敞的，广阔的；无边无际的
capacity,n. 能力；容量；资格，地位；生产力
bury,vt. 埋葬；隐藏
fury,n. 狂怒；暴怒；激怒者
injury,n. 伤害，损害；受伤处
hub,n. 中心；毂；木片
haul,"n. 拖，拉；用力拖拉；努力得到的结果；捕获物；一网捕获的鱼量；拖运距离
vt. 拖运；拖拉
vi. 拖，拉；改变主意；改变方向"
halt,"n. 停止；立定；休息
vt. 使停止；使立定
vi. 停止；立定；踌躇，犹豫"
pleasant,adj. 令人愉快的，舒适的；讨人喜欢的，和蔼可亲的
cheer,"n. 欢呼；愉快；心情；令人愉快的事
vt. 欢呼；使高兴；为…加油
vi. 欢呼；感到高兴"
sheer,"n. 偏航；透明薄织物
adj. 绝对的；透明的；峻峭的；纯粹的
vt. 使偏航；使急转向
adv. 完全；陡峭地
vi. 偏航"
peer,"vt. 封为贵族；与…同等
vi. 凝视，盯着看；窥视
n. 贵族；同等的人；同龄人"
career,"n. 生涯；职业；事业；速度，全速
adj. 作为毕生职业的
vi. 全速前进，猛冲"
steer,"vt. 控制，引导；驾驶
vi. 驾驶，掌舵；行驶
n. 阉牛"
engineer,"n. 工程师；工兵；火车司机
vt. 设计；策划；精明地处理
vi. 设计；建造"
pioneer,"n. 先锋；拓荒者
vt. 开辟；倡导；提倡
vi. 作先驱"
inaugurate,vt. 创新；开辟；开创；举行开幕典礼；举行就职典礼
move,"n. 移动；步骤；迁居；策略
vi. 移动；搬家，迁移；离开
vt. 移动；感动"
remove,"n. 移动；距离；搬家
vt. 移动，迁移；开除；调动
vi. 移动，迁移；搬家"
remote,"n. 远程
adj. 遥远的；偏僻的；疏远的"
promote,"vi. 成为王后或其他大于卒的子
vt. 促进；提升；推销；发扬"
prompt,"n. 提示；付款期限；DOS命令：改变DOS系统提示符的风格
adj. 敏捷的，迅速的；立刻的
vt. 提示；促进；激起；（给演员）提白
adv. 准时地"
clog,"n. 障碍；木底鞋
v. 阻塞；障碍"
plug,"n. 插头；塞子；栓
vt. 插入；塞住；接插头
vi. 塞住；用插头将与电源接通"
plunge,"n. 投入；跳进
vt. 使陷入；使投入；使插入
vi. 突然地下降；投入；陷入；跳进"
blow,"n. 吹；打击；殴打
vt. 风吹
vi. 风吹；喘气"
blew,blow的过去式
blown,"v. 风吹（blow的过去分词）
adj. 吹制的，吹出的；开花的，盛开的；喘气的"
glow,"n. 灼热；色彩鲜艳；兴高采烈
vi. 发热；洋溢；绚丽夺目"
overflow,"vi. 溢出；泛滥；充溢
n. 充满，洋溢；泛滥；超值；溢值
vt. 使溢出；使泛滥；使充溢"
float,"n. 彩车，花车；漂流物；浮舟；浮萍
vi. 浮动；飘动，散播；摇摆；付诸实施
vt. 使漂浮；实行"
setting,"n. 环境；安装；布置； 沉落
v. 放置；沉没；使…处于某位置（set的ing形式）"
onset,n. 开始，着手；发作；攻击，进攻
offset,"n. 抵消，补偿；平版印刷；支管
vt. 抵消；弥补；用平版印刷术印刷
vi. 装支管"
offset,"n. 抵消，补偿；平版印刷；支管
vt. 抵消；弥补；用平版印刷术印刷
vi. 装支管"
offset,"n. 抵消，补偿；平版印刷；支管
vt. 抵消；弥补；用平版印刷术印刷
vi. 装支管"
offspring,n. 后代，子孙；产物
offspring,n. 后代，子孙；产物
upset,"n. 混乱；翻倒；颠覆
adj. 心烦的；混乱的；弄翻的
vt. 使心烦；颠覆；扰乱
vi. 翻倒"
asset,n. 资产；优点；有用的东西；有利条件；财产；有价值的人或物
erect,"vt. 使竖立；建造；安装
adj. 竖立的；笔直的；因性刺激而勃起的
vi. 直立；勃起"
elect,"n. 被选的人；特殊阶层；上帝的选民
adj. 选出的；当选的；卓越的
vi. 作出选择；进行选举
vt. 选举；选择；推选"
select,"n. 被挑选者；精萃
adj. 精选的；挑选出来的；极好的
vt. 挑选；选拔
vi. 挑选"
electrify,vt. 使电气化；使充电；使触电；使激动
cling,vi. 坚持，墨守；紧贴；附着
clung,v. 坚持（cling的过去分词）；紧握；贴近
clung,v. 坚持（cling的过去分词）；紧握；贴近
fling,"n. 掷，抛；嘲弄；急冲
vt. 掷，抛；嘲笑；使陷入；轻蔑地投射；猛动
vi. 猛冲，急行"
flung,vt. 挥动（fling的过去式及过去分词形式）
flung,vt. 挥动（fling的过去式及过去分词形式）
sibling,n. 兄弟姊妹；民族成员
suitable,adj. 适当的；相配的
ensue,"vi. 跟着发生，接着发生；继起
vt. 追求"
issue,"n. 问题；流出；期号；发行物
vt. 发行，发布；发给；放出，排出
vi. 发行；流出；造成…结果；传下"
pursue,"vi. 追赶；继续进行
vt. 继续；从事；追赶；纠缠"
shoot,"n. 射击；摄影；狩猎；急流
vt. 射击，射中；拍摄；发芽；使爆炸；给…注射
vi. 射击；发芽；拍电影"
shot,"n. 发射；炮弹；射手；镜头
v. 射击（shoot的过去式和过去分词）
adj. 用尽的；破旧的；杂色的，闪光的"
shot,"n. 发射；炮弹；射手；镜头
v. 射击（shoot的过去式和过去分词）
adj. 用尽的；破旧的；杂色的，闪光的"
shortage,n. 缺乏，缺少；不足
fuel,"n. 燃料；刺激因素
vt. 供以燃料，加燃料
vi. 得到燃料"
dual,"n. 双数；双数词
adj. 双的；双重的"
save,"prep. 除...之外
n. 救援
vi. 节省；挽救
vt. 节省；保存；储蓄；解救"
favor,"n. 喜爱；欢心；好感
vt. 赞成；喜欢；像；赐予；证实"
flavor,"n. 情味，风味；香料；滋味
vt. 加味于"
endeavor,"n. 努力；尽力（等于endeavour）
vi. 努力；尽力（等于endeavour）
vt. 努力；尽力（等于endeavour）"
realm,n. 领域，范围；王国
roam,"n. 漫步，漫游；流浪
vt. 在…漫步，漫游；在…流浪
vi. 漫游，漫步；流浪"
spur,"n. 鼓舞，刺激；马刺；山坡
vt. 激励，鞭策；给…装踢马刺
vi. 骑马疾驰；给予刺激"
spurt,"n. 冲刺；喷射
vi. 冲刺；喷出；迸发
vt. 喷射；喷出"
sprout,"n. 芽；萌芽；苗芽
vt. 使发芽；使萌芽
vi. 发芽；长芽"
sprawl,"n. 蔓生；伸开手足躺卧姿势
vt. 懒散地伸开；使蔓生
vi. 蔓延；伸开手足躺；无计划地扩展"
spawn,"n. 卵；菌丝；产物
vt. 产卵；酿成，造成；大量生产
vi. 产卵；大量生产"
invite,"n. 邀请
vt. 邀请，招待；招致"
inviting,"v. 邀请（invite的ing形式）
adj. 诱人的；有魅力的"
trick,"n. 诡计；恶作剧；窍门；花招；骗局；欺诈
adj. 特技的；欺诈的；有决窍的
vt. 欺骗；哄骗；装饰；打扮
vi. 哄骗；戏弄"
stick,"n. 棍；手杖；呆头呆脑的人
vi. 坚持；伸出；粘住
vt. 刺，戳；伸出；粘贴"
stuck,"v. 刺（stick的过去式）
adj. 被卡住的；不能动的"
stuck,"v. 刺（stick的过去式）
adj. 被卡住的；不能动的"
slick,"n.  平滑器； 修光工具；通俗杂志
adj. 光滑的；华而不实的；聪明的；熟练的；老套的
adv. 灵活地；聪明地
vt. 使光滑；使漂亮
vi. 打扮整洁"
stalk,"n. （植物的）茎，秆；（支持叶子、果实和花的）梗，柄；追踪；高视阔步
vt. 追踪，潜近；高视阔步
vi. 高视阔步地走；潜近，偷偷接近"
spike,"n. 长钉，道钉；钉鞋；细高跟
vt. 阻止；以大钉钉牢；用尖物刺穿"
strike,"n. 罢工；打击；殴打
vi. 打，打击；罢工；敲，敲击；抓；打动；穿透
vt. 打，击；罢工；撞击，冲击；侵袭；打动；到达"
