purpose,"n. 目的；用途；意志
vt. 决心；企图；打算"
superior,"n. 上级，长官；优胜者，高手；长者
adj. 上级的；优秀的，出众的；高傲的"
inevitable,adj. 必然的，不可避免的
massive,adj. 大量的；巨大的，厚重的；魁伟的
overwhelming,"adj. 压倒性的；势不可挡的
v. 压倒；淹没（overwhelm的ing形式）；制服"
deficiency,n. 缺陷，缺点；缺乏；不足的数额
relief,n. 救济；减轻，解除；安慰；浮雕
occur,vi. 发生；出现；存在
urge,"n. 强烈的欲望，迫切要求；推动力
vi. 强烈要求
vt. 力劝，催促；驱策，推进"
fulfill,vt. 履行；实现；满足；使结束（等于fulfil）
access,"n. 进入；使用权；通路
vt. 使用；存取；接近"
accommodate,"vi. 适应；调解
vt. 容纳；使适应；供应；调解"
bear,"n. 熊
vt. 结果实，开花（正式）
vt. 忍受；承受；具有；支撑"
endure,"vt. 忍耐；容忍
vi. 忍耐；持续"
claim,"n. 要求；声称；索赔；断言；值得
vt. 要求；声称；需要；认领
vi. 提出要求"
expose,vt. 揭露，揭发；使曝光；显示
extend,"vt. 延伸；扩大；推广；伸出；给予；使竭尽全力；对…估价
vi. 延伸；扩大；伸展；使疏开"
involve,vt. 包含；牵涉；使陷于；潜心于
integrate,"n. 一体化；集成体
adj. 整合的；完全的
vi. 求积分；取消隔离；成为一体
vt. 使…完整；使…成整体；求…的积分；表示…的总和"
unite,"vi. 团结；联合；混合
vt. 使…混合；使…联合；使…团结"
formation,n. 形成；构造；编队
pattern,"n. 模式；图案；样品
vt. 模仿；以图案装饰
vi. 形成图案"
option,n.  选项；选择权；买卖的特权
tension,"n. 张力，拉力；紧张，不安；电压
vt. 使紧张；使拉紧"
intense,adj. 强烈的；紧张的；非常的；热情的
temporary,"n. 临时工，临时雇员
adj. 暂时的，临时的"
transient,"n. 瞬变现象；过往旅客；候鸟
adj. 短暂的；路过的"
instead,adv. 代替；反而；相反
in fact,"na. 事实上；总之
 实际上；其实；实则"
also,"conj. 并且；另外
adv. 也；而且；同样"
adapt,"vi. 适应
vt. 使适应；改编"
adopt,"vi. 采取；过继
vt. 采取；接受；收养；正式通过"
attract,"vt. 吸引；引起
vi. 吸引；有吸引力"
convey,vt. 传达；运输；让与
deliver,"n. 投球
vt. 交付；发表；递送；释放；给予（打击）；给…接生
vi. 实现；传送；履行；投递"
extract,"n. 汁；摘录；榨出物；选粹
vt. 提取；取出；摘录；榨取"
distract,vt. 转移；分心
track,"n. 轨道；足迹，踪迹；小道
vt. 追踪；通过；循路而行；用纤拉
vi. 追踪；走；留下足迹"
resume,"n. 摘要； 履历，简历
vi. 重新开始，继续
vt. 重新开始，继续；恢复，重新占用"
commitment,n. 承诺，保证；委托；承担义务；献身
engagement,"n. 婚约；约会；交战；诺言
n. 参与度（指用户点赞、转发、评论、下载文档、观看视频、咨询等交互行为）"
range,"n. 范围；幅度；排；山脉
vt. 漫游；放牧；使并列；归类于；来回走动
vi. （在...内）变动；平行，列为一行；延伸；漫游；射程达到"
intention,n. 意图；目的；意向；愈合
internal,"n. 内脏；本质
adj. 内部的；里面的；体内的；（机构）内部的"
transit,"n. 运输；经过
vt. 运送
vi. 经过"
transmit,"vt. 传输；传播；发射；传达；遗传
vi. 传输；发射信号"
regardless of,"prep. 不管；不顾；不理会
 不论；无论；不注意"
except for,"na. 只有
 除了；除…之外；除了……之外"
this,"adj. 这；本；这个；今
pron. 这；这个；这里
adv. 这样地；这么"
it,"abbr. 信息技术information technology
abbr. 意大利Italy；意大利的Italian"
universe,n. 宇宙；世界；领域
universal,"n. 一般概念；普通性
adj. 普遍的；通用的；宇宙的；全世界的；全体的"
galaxy,"n. 银河； 星系；银河系；一群显赫的人
n. 三星智能手机品牌 2015年三星中国公布Galaxy的中文名称为“盖乐世”（Galaxy）
"
heaven,n. 天堂；天空；极乐
solar,"n. 日光浴室
adj. 太阳的；日光的；利用太阳光的；与太阳相关的"
lunar,adj. 月亮的，月球的；阴历的；银的；微亮的
calendar,"n. 日历； 历法；日程表
vt. 将…列入表中；将…排入日程表"
eclipse,"n. 日蚀，月蚀；黯然失色
vt. 使黯然失色；形成蚀"
clips,"n. 夹子；回形针（clip的复数）；弹片；剪下来的东西
v. 夹住；紧缠；围绕（clip的第三人称单数）"
sunrise,n. 日出；黎明
sunset,n. 日落，傍晚
dusk,"n. 黄昏，薄暮；幽暗，昏暗
vt. 使变微暗
adj. 微暗的
vi. 变微暗"
dawn,"n. 黎明；开端
vt. 破晓；出现；被领悟"
sunshine,n. 阳光；愉快；晴天；快活
spectrum,n. 光谱；频谱；范围；余象
shadow,"n. 阴影；影子；幽灵；庇护；隐蔽处
adj. 影子内阁的
vt. 遮蔽；使朦胧；尾随；预示
vi. 渐变；变阴暗"
foreshadow,"vt. 预示；成为…的前兆
n. 预兆"
shade,"n. 树荫；阴影；阴凉处；遮阳物；（照片等的）明暗度；少量、些微；细微的差别
vt. 使阴暗；使渐变；为…遮阳；使阴郁；掩盖
vi. （颜色、色彩等）渐变"
shady,adj. 成荫的；阴暗的；名声不好的
globe,"n. 地球；地球仪；球体
vt. 使…成球形
vi. 成球状"
global,adj. 全球的；总体的；球形的
hemisphere,n. 半球
hemispheric,adj. 半球的，半球形状的
hemispherical,adj. 半球的；半球状的
equator,n. 赤道
polar,"n. 极面；极线
adj. 极地的；两极的；正好相反的"
axis,n. 轴；轴线；轴心国
longitude,n.  经度；经线
latitude,n. 纬度；界限；活动范围
altitude,n. 高地；高度； 顶垂线；（等级和地位等的）高级；海拔
horizon,n.  地平线；视野；眼界；范围
horizontal,"n. 水平线，水平面；水平位置
adj. 水平的；地平线的；同一阶层的"
vertical,"n. 垂直线，垂直面
adj. 垂直的，直立的； 头顶的，顶点的"
parallel,"n. 平行线；对比
adj. 平行的；类似的，相同的
vt. 使…与…平行"
unparalleled,adj. 无比的；无双的；空前未有的
nature,n. 自然；性质；本性；种类
natural,"adj. 自然的；物质的；天生的；不做作的
n. 自然的事情；白痴；本位音"
naturally,"adv. 自然地
自然而然地
轻而易举
天生地
大方地"
artificial,adj. 人造的；仿造的；虚伪的；非原产地的；武断的
synthetic,"n. 合成物
adj. 综合的；合成的，人造的"
phenomenon,n. 现象；奇迹；杰出的人才
phenomena,n. 现象（phenomenon 的复数 ）
condition,"n. 条件；情况；环境；身份
vt. 决定；使适应；使健康；以…为条件"
situation,n. 情况；形势；处境；位置
situate,"adj. 位于…的
vt. 使位于；使处于"
atmosphere,n. 气氛；大气；空气
hydrogen,n.  氢
oxygen,n.  氧气， 氧
oxide,n.  氧化物
carbon dioxide,"n. 二氧化碳
 一氧化碳；二氧货碳；碳酐"
greenhouse,"n. 温室
造成温室效应的"
circulate,"vt. 使循环；使流通；使传播
vi. 传播，流传；循环；流通"
circulation,n. 流通，传播；循环；发行量
vapour,n. 蒸气（等于vapor）；水蒸气
evaporate,"vt. 使……蒸发；使……脱水；使……消失
vi. 蒸发，挥发；消失，失踪"
evaporator,n. 蒸发器，蒸发设备
environment,n. 环境，外界
environmental,adj. 环境的，周围的；有关环境的
climate,n. 气候；风气；思潮；风土
climate change,"n. 气候变化
 气候变迁；气候改变；气候变暖"
weather,"n. 天气；气象；气候；处境
vt. 经受住；使风化；侵蚀；使受风吹雨打
adj. 露天的；迎风的
vi. 风化；受侵蚀；经受风雨"
forecast,"n. 预测，预报；预想
vt. 预报，预测；预示
vi. 进行预报，作预测"
abnormal,adj. 反常的，不规则的；变态的
temperature,n. 温度；体温；气温；发烧
thermal,"n. 上升的热气流
adj. 热的；热量的；保热的"
melt,"vi. 熔化，溶解；渐混
vt. 使融化；使熔化；使软化；使感动
n. 熔化；熔化物"
tropical,adj. 热带的；热情的；酷热的
tropics,n. 热带地区
warm,"n. 取暖；加热
adj. 温暖的；热情的
vt. 使…兴奋；使…温暖；使…感兴趣
vi. 同情；激动；变温暖"
warmth,n. 温暖；热情；激动
warmth,n. 温暖；热情；激动
moderate,"adj. 稳健的，温和的；适度的，中等的；有节制的
vi. 变缓和，变弱
vt. 节制；减轻"
humid,adj. 潮湿的；湿润的；多湿气的
humidity,n.  湿度；湿气
smog,n. 烟雾
smoggy,adj. 烟雾弥漫的
mist,"n. 薄雾；视线模糊不清；模糊不清之物
vi. 下雾；变模糊
vt. 使模糊；使蒙上薄雾"
misty,adj. 模糊的；有雾的
moist,"adj. 潮湿的；多雨的；含泪的
n. 潮湿"
moisture,n. 水分；湿度；潮湿；降雨量
lightning,"adj. 闪电的；快速的
n. 闪电
vi. 闪电"
lighter,"n. 打火机；驳船；点火者
vt. 驳运
adj. 明亮的；光明的；照明好的；光线充足的"
flash,"n. 闪光，闪现；一瞬间
adj. 闪光的，火速的
vt. 使闪光；反射
vi. 闪光，闪现；反射"
storm,"n. 暴风雨；大动荡
vt. 猛攻；怒骂
vi. 起风暴；横冲直撞；狂怒咆哮"
stormy,adj. 暴风雨的；猛烈的；暴躁的
thunder,"n. 雷；轰隆声；恐吓
vt. 轰隆地发出；大声喊出
vi. 打雷；怒喝"
thunderstorm,n.  雷暴；雷暴雨；大雷雨
rainbow,"n. 彩虹；五彩缤纷的排列；幻想
adj. 五彩缤纷的；彩虹状的
vt. 使呈彩虹状；如彩虹般装饰
vi. 呈彩虹状"
hail,"n. 冰雹；致敬；招呼；一阵
vt. 致敬；招呼；向...欢呼；猛发；使像下雹样落下（过去式hailed，过去分词hailed，现在分词hailing，第三人称单数hails）
int. 万岁；欢迎
vi. 招呼；下雹"
freeze,"n. 冻结；凝固
vt. 使…冻住；使…结冰
vi. 冻结；冷冻；僵硬"
freezer,n. 冰箱；冷冻库；制冷工
frost,"n. 霜；冰冻，严寒；冷淡
vi. 结霜；受冻
vt. 结霜于；冻坏"
frosty,adj. 结霜的，严寒的；冷淡的；灰白的
glacier,n. 冰河，冰川
iceberg,n.  冰山；显露部分
chill,"n. 寒冷；寒意；寒心
vt. 冷冻，冷藏；使寒心；使感到冷
adj. 寒冷的；冷漠的；扫兴的
vi. 冷藏；变冷"
chilly,adj. 寒冷的；怕冷的
tremble,"n. 颤抖；战栗；摇晃
vi. 发抖；战栗；焦虑；摇晃
vt. 使挥动；用颤抖的声音说出"
shiver,"n. 颤抖，战栗；碎片
vi. 颤抖；哆嗦；打碎
vt. 颤抖；打碎"
pour,"n. 倾泻；流出；骤雨
vt. 灌，注；倒；倾泻；倾吐
vi. 倾泻；涌流；斟茶"
downpour,n. 倾盆大雨；注下
waterfall,n. 瀑布；瀑布似的东西
fountain,n. 喷泉，泉水；源泉
spring,"n. 春天；弹簧；泉水；活力；跳跃
adj. 春天的
vt. 使跳起；使爆炸；突然提出；使弹开
vi. 生长；涌出；跃出；裂开"
springtime,n. 春天；春季；初期
sprinkle,"n. 撒，洒；少量
vt. 洒；微雨；散置
vi. 洒，撒；下稀疏小雨；喷撒"
shower,"n. 淋浴；（倾泻般出现的）一阵，一大批；阵雨
vt. 大量地给予；把……弄湿
vi. 淋浴；下阵雨"
drip,"n. 水滴，滴水声；静脉滴注；使人厌烦的人
vt. 使滴下；溢出，发出
vi. 滴下；充满；漏下"
dew,"n. 珠，滴；露水；清新
vt. （露水等）弄湿
vi. 结露水"
shallow,"n.  浅滩
adj. 浅的；肤浅的
vt. 使变浅
vi. 变浅"
shallow-hearted,adj. 薄情的
narrow,"adj. 狭窄的，有限的；勉强的；精密的；度量小的
n. 海峡；狭窄部分，隘路
vt. 使变狭窄
vi. 变窄"
breeze,"n. 微风；轻而易举的事；煤屑；焦炭渣；小风波
vi. 吹微风；逃走"
blow,"n. 吹；打击；殴打
vt. 风吹
vi. 风吹；喘气"
disaster,n. 灾难，灾祸；不幸
disastrous,adj. 灾难性的；损失惨重的；悲伤的
catastrophe,n. 大灾难；大祸；惨败
catastrophic,adj. 灾难的；悲惨的；灾难性的，毁灭性的
drought,n. 干旱；缺乏
flood,"n. 洪水；泛滥；一大批
vt. 淹没；充满；溢出
vi. 涌出；涌进；为水淹没"
flooding,n. 泛滥；产后出血
drown,"vt. 淹没；把…淹死
vi. 淹死；溺死"
float,"n. 彩车，花车；漂流物；浮舟；浮萍
vi. 浮动；飘动，散播；摇摆；付诸实施
vt. 使漂浮；实行"
typhoon,n.  台风
earthquake,n. 地震；大动荡
quake,"vi. 震动；颤抖
n. 地震；颤抖"
volcano,n. 火山
erupt,"vi. 爆发；喷出；发疹；长牙
vt. 爆发；喷出"
eruption,n. 爆发，喷发；火山灰；出疹
puff,"n. 粉扑；泡芙；蓬松；一阵喷烟；肿块；吹嘘，宣传广告
vt. 喷出，张开；使膨胀；夸张；使骄傲自满
vi. 膨胀；张开；鼓吹；夸张"
ocean,n. 海洋；大量；广阔
marine,"adj. 船舶的；海生的；海产的；航海的，海运的
n. 海运业；舰队；水兵；（海军）士兵或军官"
navigation,n. 航行；航海
navigator,n. 航海家；领航员；驾驶员
gulf,"n. 海湾；深渊；分歧；漩涡
vt. 吞没"
golf,"n. 高尔夫球；高尔夫球运动
vi. 打高尔夫球"
harbour,"n. 海港（等于harbor）；避难所
vt. 庇护；藏匿；入港停泊
vi. 藏匿；入港停泊；庇护"
coast,"n. 海岸；滑坡
vt. 沿…岸航行
vi. 滑行；沿岸航行"
coastal,adj. 沿海的；海岸的
shore,"n. 海滨；支柱
vt. 支撑，使稳住；用支柱撑住"
beach,"n. 海滩；湖滨
vt. 将…拖上岸
vi. 搁浅；定居"
tide,"n. 趋势，潮流；潮汐
vt. 随潮漂流"
tidal,adj. 潮汐的；潮的，有关潮水的；定时涨落的
torrent,n. 奔流；倾注；迸发；连续不断
current,"n. （水，气，电）流；趋势；涌流
adj. 现在的；流通的，通用的；最近的；草写的"
reservoir,n. 水库；蓄水池
reserve,"n. 储备，储存；自然保护区；预备队；缄默； 储备金
vt. 储备；保留；预约
vi. 预订"
source,n. 来源；水源；原始资料
resource,n. 资源，财力；办法；智谋
stream,"n. 溪流；流动；潮流；光线
vt. 流出；涌出；使飘动
vi. 流；涌进；飘扬"
brook,"n. 小溪；小河
vt. 忍受；容忍"
branch,"n. 树枝，分枝；分部；支流
vt. 分支；出现分歧
vi. 分支；出现分歧"
pond,"n. 池塘
vt. 筑成池塘
vi. 筑成池塘"
mountain,n. 山；山脉
mountainous,adj. 多山的；巨大的；山一般的
mount,"vt. 增加；爬上；使骑上马；安装，架置；镶嵌，嵌入；准备上演；成立（军队等）
vi. 爬；增加；上升
n. 山峰；底座；乘骑用马；攀，登；运载工具；底座
v. 登上；骑上"
range,"n. 范围；幅度；排；山脉
vt. 漫游；放牧；使并列；归类于；来回走动
vi. （在...内）变动；平行，列为一行；延伸；漫游；射程达到"
ridge,"n. 山脊；山脉；屋脊
vt. 使成脊状；作垄
vi. 成脊状"
peak,"n. 山峰；最高点；顶点；帽舌
adj. 最高的；最大值的
vt. 使达到最高点；使竖起
vi. 消瘦；到达最高点；变憔悴"
