economic,adj. 经济的，经济上的；经济学的
occupy,vt. 占据，占领；居住；使忙碌
phenomenon,n. 现象；奇迹；杰出的人才
principle,n. 原理，原则；主义，道义；本质，本义；根源，源泉
region,n. 地区；范围；部位
retain,vt. 保持；雇；记住
spite,"n. 不顾；恶意；怨恨
vt. 刁难；使恼怒"
target,"n. 目标；靶子
vt. 把……作为目标；规定……的指标；瞄准某物"
admit,"vi. 承认；容许
vt. 承认；准许进入；可容纳"
criminal,"n. 罪犯
adj. 刑事的；犯罪的；罪恶的"
exchange,"n. 交换；交流；交易所；兑换
vt. 交换；交易；兑换
vi. 交换；交易；兑换"
exploit,"n. 勋绩；功绩
vt. 开发，开拓；剥削；开采"
obtain,"vi. 获得；流行
vt. 获得"
primary,"n. 原色；最主要者
adj. 主要的；初级的；基本的"
retrieve,"n.  检索；恢复，取回
vt.  检索；恢复；重新得到
vi. 找回猎物"
strategy,n. 战略，策略
urban,adj. 城市的；住在都市的
vehicle,n.  车辆；工具；交通工具；运载工具；传播媒介；媒介物
absorb,vt. 吸收；吸引；承受；理解；使…全神贯注
enthusiasm,n. 热心，热忱，热情
intent,"n. 意图；目的；含义
adj. 专心的；急切的；坚决的"
irritate,"vt. 刺激，使兴奋；激怒
vi. 引起恼怒，引起不愉快"
acknowledge,vt. 承认；答谢；报偿；告知已收到
assure,vt. 保证；担保；使确信；弄清楚
consumption,n. 消费；消耗；肺痨
convince,vt. 说服；使确信，使信服
detect,vt. 察觉；发现；探测
evolution,n. 演变；进化论；进展
extensive,adj. 广泛的；大量的；广阔的
fluctuate,"vi. 波动；涨落；动摇
vt. 使波动；使动摇"
recover,"n. 还原至预备姿势
vt. 恢复；弥补；重新获得
vi. 恢复；胜诉；重新得球"
reject,"n. 被弃之物或人；次品
vt. 拒绝；排斥；抵制；丢弃"
symbol,n. 象征；符号；标志
association,n. 协会，联盟，社团；联合；联想
cycle,"n. 循环；周期；自行车；整套；一段时间
vt. 使循环；使轮转
vi. 循环；骑自行车；轮转"
essence,n. 本质，实质；精华；香精
expansion,n. 膨胀；阐述；扩张物
formal,"n. 正式的社交活动；夜礼服
adj. 正式的；拘谨的；有条理的"
grave,"n. 墓穴，坟墓；死亡
adj. 重大的；严肃的；黯淡的
vt. 雕刻；铭记"
pursuit,n. 追赶，追求；职业，工作
scope,"n. 范围；余地；视野；眼界；导弹射程
vt. 审视"
unemployment,n. 失业；失业率；失业人数
aggressive,adj. 侵略性的；好斗的；有进取心的；有闯劲的
ambitious,adj. 野心勃勃的；有雄心的；热望的；炫耀的
boom,"n. 繁荣；吊杆；隆隆声
vt. 使兴旺；发隆隆声
vi. 急速发展；发隆隆声"
client,n.  客户；顾客；委托人
definitely,adv. 清楚地，当然；明确地，肯定地
exert,vt. 运用，发挥；施以影响
substance,n. 物质；实质；资产；主旨
wealth,n. 财富；大量；富有
burden,"n. 负担；责任；船的载货量
vt. 使负担；烦扰；装货于"
productive,adj. 能生产的；生产的，生产性的；多产的；富有成效的
sensible,"n. 可感觉到的东西; 敏感的人;
adj. 明智的; 通情达理的; 合乎情理的; 意识到的，能感觉到的;"
stable,"n. 马厩；牛棚
adj. 稳定的；牢固的；坚定的
vt. 赶入马房
vi. 被关在马厩"
violent,adj. 暴力的；猛烈的
atmosphere,n. 气氛；大气；空气
brief,"n. 摘要，简报；概要，诉书
adj. 简短的，简洁的；短暂的，草率的
vt. 简报，摘要；作…的提要"
illustrate,"vi. 举例
vt. 阐明，举例说明；图解"
sacrifice,"n. 牺牲；祭品；供奉
vt. 牺牲；献祭；亏本出售
vi. 献祭；奉献"
artificial,adj. 人造的；仿造的；虚伪的；非原产地的；武断的
destination,n. 目的地，终点
encounter,"n. 遭遇，偶然碰见
vi. 遭遇；偶然相遇
vt. 遭遇，邂逅；遇到"
military,"adj. 军事的；军人的；适于战争的
n. 军队；军人"
origin,n. 起源；原点；出身；开端
prejudice,"n. 偏见；侵害
vt. 损害；使有偏见"
deadly,"adj. 致命的；非常的；死一般的
adv. 非常；如死一般地"
vulnerable,adj. 易受攻击的，易受…的攻击；易受伤害的；有弱点的
ancient,"n. 古代人；老人
adj. 古代的；古老的，过时的；年老的"
assess,vt. 评定；估价；对…征税
expression,n. 表现，表示，表达；表情，脸色，态度，腔调，声调；式，符号；词句，语句，措辞，说法
rely,vi. 依靠；信赖
cite,vt. 引用；传讯；想起；表彰
ambiguous,adj. 模糊不清的；引起歧义的
ascribe,vt. 归因于；归咎于
depress,vt. 压抑；使沮丧；使萧条
incidentally,adv. 顺便；偶然地；附带地
optimism,n. 乐观；乐观主义
transition,n. 过渡；转变； 转换；变调
grain,"n. 粮食；颗粒； 谷物；纹理
vt. 使成谷粒
vi. 成谷粒"
hesitate,"vt. 踌躇，犹豫；有疑虑，不愿意
vi. 踌躇，犹豫；不愿"
install,vt. 安装；任命；安顿
magnify,"vt. 放大；赞美；夸大
vi. 放大；有放大能力"
profession,n. 职业，专业；声明，宣布，表白
reinforce,"n. 加强；加固物；加固材料
vt. 加强，加固；强化；补充
vi. 求援；得到增援；给予更多的支持"
alter,"vt. 改变，更改
vi. 改变；修改"
border,"n. 边境；边界；国界
vt. 接近；与…接壤；在…上镶边
vi. 接界；近似"
enforce,vt. 实施，执行；强迫，强制
exaggerate,"vt. 使扩大；使增大
vi. 夸大；夸张"
permanent,"n. 烫发（等于permanent wave）
adj. 永久的，永恒的；不变的"
prospect,"n. 前途；预期；景色
vt. 勘探，勘察
vi. 勘探，找矿"
protest,"n. 抗议
adj. 表示抗议的；抗议性的
vt. 抗议；断言
vi. 抗议；断言"
remote,"n. 远程
adj. 遥远的；偏僻的；疏远的"
slip,"n. 滑，滑倒；片，纸片；错误；下跌；事故
abbr. 串行线路接口协议，是旧式的协议（Serial Line Interface Protocol）
adj. 滑动的；有活结的；活络的
vt. 使滑动；滑过；摆脱；塞入；闪开
vi. 滑动；滑倒；犯错；失足；减退"
assign,"vt. 分配；指派； 赋值
vi. 将财产过户（尤指过户给债权人）"
consistent,adj. 始终如一的，一致的；坚持的
discipline,"n. 学科；纪律；训练；惩罚
vt. 训练，训导；惩戒"
emerge,vi. 浮现；摆脱；暴露
evident,adj. 明显的；明白的
induce,vt. 诱导；引起；引诱；感应
justify,"vi. 证明合法；整理版面
vt. 证明…是正当的；替…辩护"
mechanical,adj. 机械的；力学的；呆板的；无意识的；手工操作的
colleague,n. 同事，同僚
commission,"n. 委员会；佣金；犯；委任；委任状
vt. 委任；使服役；委托制作"
diminish,"vt. 使减少；使变小
vi. 减少，缩小；变小"
identical,"n. 完全相同的事物
adj. 同一的；完全相同的"
impulse,"n. 冲动； 脉冲；刺激；神经冲动；推动力
vt. 推动"
independence,n. 独立性，自立性；自主
myth,n. 神话；虚构的人，虚构的事
occasional,adj. 偶然的；临时的；特殊场合的
preference,n. 偏爱，倾向；优先权
reputation,n. 名声，名誉；声望
suburb,n. 郊区；边缘
vigorous,adj. 有力的；精力充沛的
compromise,"n. 妥协，和解；折衷
vt. 妥协；危害
vi. 妥协；让步"
emergency,"n. 紧急情况；突发事件；非常时刻
adj. 紧急的；备用的"
minimum,"n. 最小值；最低限度；最小化；最小量
adj. 最小的；最低的"
overwhelm,vt. 淹没；压倒；受打击；覆盖；压垮
radical,"n. 基础；激进分子； 原子团； 根数
adj. 激进的；根本的；彻底的"
recognition,n. 识别；承认，认出；重视；赞誉；公认
shrink,"vi. 收缩；畏缩
n. 收缩；畏缩；<俚>精神病学家
vt. 使缩小，使收缩"
comparison,n. 比较；对照；比喻；比较关系
proof,"n. 证明；证据；校样；考验；验证；试验
adj. 防…的；不能透入的；证明用的；耐…的
vt. 试验；校对；使不被穿透"
destructive,adj. 破坏的；毁灭性的；有害的，消极的
elementary,adj. 基本的；初级的； 元素的
inferior,"n. 下级；次品
adj. 差的；自卑的；下级的，下等的"
insurance,n. 保险；保险费；保险契约；赔偿金
surgery,n. 外科；外科手术；手术室；诊疗室
trial,"n. 试验；审讯；努力；磨炼
adj. 试验的；审讯的"
web,"n. 网；卷筒纸；蹼；织物；圈套
vt. 用网缠住；使中圈套
vi. 形成网"
congress,n. 国会；代表大会；会议；社交
hazard,"n. 危险，冒险；冒险的事
vt. 赌运气；冒…的危险，使遭受危险"
immigrant,"n. 移民，侨民
adj. 移民的；迁入的"
bound,"n. 范围；跳跃
adj. 有义务的；必定的；受约束的；装有封面的
vt. 束缚；使跳跃
vi. 限制；弹起"
initial,"n. 词首大写字母
adj. 最初的；字首的
vt. 用姓名的首字母签名"
instrument,n. 仪器；工具；乐器；手段；器械
legislation,n. 立法；法律
elevate,vt. 提升；举起；振奋情绪等；提升…的职位
exhibit,"n. 展览品；证据；展示会
vt. 展览；显示；提出（证据等）
vi. 展出；开展览会"
invest,"vi. 投资，入股；花钱买
vt. 投资；覆盖；耗费；授予；包围"
prime,"n. 初期；青年；精华；全盛时期
adj. 主要的；最好的；基本的
vt. 使准备好；填装
vi. 作准备
adv. 极好地"
register,"n. 登记；注册；记录；寄存器；登记簿
vt. 登记；注册；记录；挂号邮寄；把…挂号；正式提出
vi. 登记；注册；挂号"
stock,"n. 股份，股票；库存；血统；树干；家畜
adj. 存货的，常备的；平凡的
vt. 进货；备有；装把手于…
vi. 囤积；办货；出新芽"
signal,"n. 信号；暗号；导火线
adj. 显著的；作为信号的
vt. 标志；用信号通知；表示
vi. 发信号"
fatal,adj. 致命的；重大的；毁灭性的；命中注定的
humanity,n. 人类；人道；仁慈；人文学科
resort,"n. 凭借，手段；度假胜地；常去之地
vi. 求助，诉诸；常去；采取某手段或方法"
numerous,adj. 许多的，很多的
productivity,n. 生产力；生产率；生产能力
generous,adj. 慷慨的，大方的；宽宏大量的；有雅量的
accuse,"vt. 控告，指控；谴责；归咎于
vi. 指责；控告"
cater,vt. 投合，迎合；满足需要；提供饮食及服务
coincide,"vi. 一致，符合；同时发生
vi. (在性格、品质等方面)完全一致，相符"
compatible,adj. 兼容的；能共处的；可并立的
constrain,vt. 驱使；强迫；束缚
decorate,"vt. 装饰；布置；授勋给
vi. 装饰；布置"
furnish,vt. 提供；供应；装备
incident,"n. 事件，事变；插曲
adj.  入射的；附带的；易发生的，伴随而来的"
depot,"n. 仓库；停车场；航空站
adj. 药性持久的
vt. 把…存放在储藏处"
intervention,n. 介入；调停；妨碍
linguistic,adj. 语言的；语言学的
incredible,adj. 难以置信的，惊人的
originate,"vt. 引起；创作
vi. 发源；发生；起航"
paradox,n. 悖论，反论；似非而是的论点；自相矛盾的人或事
shed,"n. 小屋，棚；分水岭
vt. 流出；摆脱；散发；倾吐
vi. 流出；脱落；散布"
tremendous,adj. 极大的，巨大的；惊人的；极好的
virtue,n. 美德；优点；贞操；功效
breakthrough,n. 突破；突破性进展
consequently,adv. 因此；结果；所以
inherent,adj. 固有的；内在的；与生俱来的，遗传的
monitor,"n. 监视器；监听器；监控器；显示屏；班长
vt. 监控"
presume,"vi. 相信；擅自行为
vt. 假定；推测；擅自；意味着"
reconcile,vt. 使一致；使和解；调停，调解；使顺从
distract,vt. 转移；分心
electricity,n. 电力；电流；强烈的紧张情绪
exclude,vt. 排除；排斥；拒绝接纳；逐出
beneficial,adj. 有益的，有利的；可享利益的
breed,"n.  品种；种类，类型
vt. 繁殖；饲养；养育，教育；引起
vi. 繁殖；饲养；产生"
confine,"n. 界限，边界;约束；限制
vt. 限制；禁闭"
considerable,adj. 相当大的；重要的，值得考虑的
deadline,n. 截止期限，最后期限
decent,adj. 正派的；得体的；相当好的
entertainment,n. 娱乐；消遣；款待
exhaust,"n. 排气；废气；排气装置
vt. 排出；耗尽；使精疲力尽；彻底探讨
vi. 排气"
frequency,n. 频率；频繁
fulfill,vt. 履行；实现；满足；使结束（等于fulfil）
imitation,"n. 模仿，仿造；仿制品
adj. 人造的，仿制的"
insist,"vi. 坚持，强调
vt. 坚持，强调"
obligation,n. 义务；职责；债务
overwhelming,"adj. 压倒性的；势不可挡的
v. 压倒；淹没（overwhelm的ing形式）；制服"
poetry,n. 诗；诗意，诗情；诗歌艺术
precise,adj. 精确的；明确的；严格的
reservation,n. 预约，预订；保留
subordinate,"n. 下属，下级；部属，属下
adj. 从属的；次要的
vt. 使……居下位；使……服从"
sympathy,n. 同情；慰问；赞同
affection,n. 喜爱，感情；影响；感染
annual,"n. 年刊，年鉴；一年生植物
adj. 年度的；每年的"
assumption,n. 假定；设想；担任；采取
cautious,adj. 谨慎的；十分小心的
confusion,n. 混淆，混乱；困惑
criticize,"vi. 批评；评论；苛求
vt. 批评；评论；非难"
disable,vt. 使失去能力；使残废；使无资格
internal,"n. 内脏；本质
adj. 内部的；里面的；体内的；（机构）内部的"
manufacture,"n. 制造；产品；制造业
vt. 制造；加工；捏造
vi. 制造"
neutral,"adj. 中立的，中性的；中立国的；非彩色的
n. 中立国；中立者；非彩色；齿轮的空档"
recreation,n. 娱乐；消遣；休养
restore,"vi. 恢复；还原
vt. 恢复；修复；归还"
scheme,"n. 计划；组合；体制；诡计
vt. 计划；策划
vi. 搞阴谋；拟订计划"
scratch,"n. 擦伤；抓痕；刮擦声；乱写
adj. 打草稿用的；凑合的；碰巧的
vt. 抓；刮；挖出；乱涂
vi. 抓；搔；发刮擦声；勉强糊口；退出比赛"
skip,"n. 跳跃；跳读
vt. 跳过；遗漏
vi. 跳跃；跳绳；遗漏；跳读"
submit,"vi. 提交；服从
vt. 使服从；主张；呈递"
