shed,"n. 小屋，棚；分水岭
vt. 流出；摆脱；散发；倾吐
vi. 流出；脱落；散布"
senior,"n. 上司；较年长者；毕业班学生
adj. 高级的；年长的；地位较高的；年资较深的，资格较老的"
lessen,"vt. 使…变小；使…减轻；使…变少
vi. 减少；减轻；变小"
harsh,adj. 严厉的；严酷的；刺耳的；粗糙的；刺目的
sketch,"n. 素描；略图；梗概
vt. 画素描或速写
vi. 画素描或速写"
integrity,n. 完整；正直；诚实；廉正
spring,"n. 春天；弹簧；泉水；活力；跳跃
adj. 春天的
vt. 使跳起；使爆炸；突然提出；使弹开
vi. 生长；涌出；跃出；裂开"
hacker,n. 电脑黑客，企图不法侵入他人电脑系统的人
fierce,adj. 凶猛的；猛烈的；暴躁的
horrible,adj. 可怕的；极讨厌的
humanity,n. 人类；人道；仁慈；人文学科
incite,vt. 煽动；激励；刺激
slum,"n. 贫民窟；陋巷；脏乱的地方
vi. （为猎奇或救济等）去贫民窟"
cord,"n. 绳索；束缚
vt. 用绳子捆绑"
irregular,"n. 不规则物；不合规格的产品
adj. 不规则的；无规律的；非正规的；不合法的"
splash,"n. 飞溅的水；污点；卖弄
vt. 溅，泼；用...使液体飞溅
vi. 溅湿；溅开"
jam,"n. 果酱；拥挤；困境；扣篮
vt. 使堵塞；挤进，使塞满；混杂；压碎
vi. 堵塞；轧住"
leaflet,n. 小叶；传单
imprison,vt. 监禁；关押；使…下狱
lucrative,adj. 有利可图的，赚钱的；合算的
magnet,n. 磁铁； 磁体；磁石
premise,"n. 前提；上述各项；房屋连地基
vt. 引出，预先提出；作为…的前提
vi. 作出前提"
prospective,"n. 预期；展望
adj. 未来的；预期的"
deliberate,"adj. 故意的；深思熟虑的；从容的
vt. 仔细考虑；商议"
membership,n. 资格；成员资格；会员身份
transfer,"n. 转让；转移；传递；过户
vt. 使转移；调任
vi. 转让；转学；换车"
mortgage,"vt. 抵押
n. 抵押
房屋抵押贷款"
nurture,"vt. 养育；鼓励；培植
n. 养育；教养；营养物"
obtain,"vi. 获得；流行
vt. 获得"
elite,n. 精英；精华；中坚分子
outstanding,"adj. 杰出的；显著的；未解决的；未偿付的
n. 未偿贷款"
reproduce,"vt. 复制；再生；生殖；使…在脑海中重现
vi. 复制；繁殖"
reverse,"n. 背面；相反；倒退；失败
adj. 反面的；颠倒的；反身的
vt. 颠倒；倒转
vi. 倒退；逆叫"
rigid,adj. 严格的；僵硬的，死板的；坚硬的；精确的
scrutinize,"n. 仔细或彻底检查
vt. 详细检查；细看
vi. 细阅；作详细检查"
unsettle,"vt. 使动摇；使不安定；使心神不宁
vi. 不安；动荡不定"
violate,vt. 违反；侵犯，妨碍；亵渎
moisture,n. 水分；湿度；潮湿；降雨量
strap,"n. 带；皮带；磨刀皮带；鞭打
vt. 用带捆绑；用皮条抽打；约束
vi. 精力旺盛地工作；受束缚"
diagnose,"vt. 诊断；断定
vi. 诊断；判断"
eternal,adj. 永恒的；不朽的
draft,"n. 汇票；草稿；选派；（尤指房间、烟囱、炉子等供暖系统中的）（小股）气流
vt. 起草；制定；征募
vi. 拟稿；绘样；作草图
adj. 初步画出或（写出）的；（设计、草图、提纲或版本）正在起草中的，草拟的；以草稿形式的；草图的"
strive,vi. 努力；奋斗；抗争
dispassionate,adj. 不带感情的；平心静气的；公平的
emigrate,"vi. 移居；移居外国
vt. 移民"
oust,vt. 驱逐；剥夺；取代
superior,"n. 上级，长官；优胜者，高手；长者
adj. 上级的；优秀的，出众的；高傲的"
suspend,"vt. 延缓，推迟；使暂停；使悬浮
vi. 悬浮；禁赛"
temperate,adj. 温和的；适度的；有节制的
dissolve,"n. 叠化画面；画面的溶暗
vt. 使溶解；使分解；使液化
vi. 溶解；解散；消失"
terminate,"vt. 使终止；使结束；解雇
adj. 结束的
vi. 结束，终止；结果"
traumatic,"adj. （生理）外伤的
adj. （心理）创伤的"
unforeseeable,adj. 不可预见的；无法预料的
vital,adj. 至关重要的；生死攸关的；有活力的
trauma,n.  创伤（由心理创伤造成精神上的异常）；外伤
worsen,"vi. 恶化；变得更坏；更坏
vt. 使恶化；使变得更坏"
intellect,n. 智力，理解力；知识分子；思维逻辑领悟力；智力高的人
academic,"n. 大学生，大学教师；学者
adj. 学术的；理论的；学院的"
bacteria,n.  细菌
core,找不到解释
leak,"n. 泄漏；漏洞，裂缝
vt. 使渗漏，泄露
vi. 漏，渗；泄漏出去"
blockbuster,n. 轰动；巨型炸弹；一鸣惊人者
certify,v. 证明；保证
unforeseen,adj. 未预见到的，无法预料的
cosmos,n. 宇宙；和谐；秩序；大波斯菊
dispatch,"n. 派遣；急件
vt. 派遣；分派"
crust,"n. 地壳；外壳；面包皮；坚硬外皮
vi. 结硬皮；结成外壳
vt. 盖以硬皮；在…上结硬皮"
delegate,"n. 代表
vt. 委派…为代表"
cultivate,vt. 培养；陶冶；耕作
definite,adj. 一定的；确切的
unrivalled,adj. 无与伦比的；无敌的
diabetes,n. 糖尿病；多尿症
drag,"n. 拖；拖累
vi. 拖曳；缓慢而吃力地行进
vt. 拖累；拖拉；缓慢而吃力地行进"
drift,"n. 漂流，漂移；趋势；漂流物
vi. 漂流，漂移；漂泊
vt. 使…漂流；使…受风吹积"
elusive,adj. 难懂的；易忘的；逃避的；难捉摸的
withdraw,"vt. 撤退；收回；撤消；拉开
vi. 撤退；离开"
incident,"n. 事件，事变；插曲
adj.  入射的；附带的；易发生的，伴随而来的"
constant,"n.  常数；恒量
adj. 不变的；恒定的；经常的"
equivalent,"n. 等价物，相等物
adj. 等价的，相等的；同意义的"
forum,n. 论坛，讨论会；法庭；公开讨论的广场
genre,"n. 类型；种类；体裁；样式；流派；风俗画
adj. 风俗画的；以日常情景为主题的"
harmonious,adj. 和谐的，和睦的；协调的；悦耳的
perspective,"n. 观点；远景；透视图
adj. 透视的"
horror,n. 惊骇；惨状；极端厌恶；令人恐怖的事物
visualize,"vt. 形象，形象化；想像，设想
vi. 显现"
humanitarian,"n. 人道主义者；慈善家；博爱主义者；基督凡人论者
adj. 人道主义的；博爱的；基督凡人论的"
remedy,"n. 补救；治疗；赔偿
vt. 补救；治疗；纠正"
improper,adj. 不正确的，错误的；不适当的；不合礼仪的
component,"n. 成分；组件； 元件
adj. 组成的，构成的"
powder,"n. 粉；粉末； 火药；尘土
vt. 使成粉末；撒粉；搽粉于
vi. 搽粉；变成粉末"
compensate,"vt. 补偿，赔偿；付报酬
vi. 补偿，赔偿；抵消"
inhibit,vt. 抑制；禁止
violation,n. 违反；妨碍，侵害；违背；强奸
intent,"n. 意图；目的；含义
adj. 专心的；急切的；坚决的"
cock,"n. 公鸡；龙头；雄鸟；头目
vt. 使竖起；使耸立；使朝上
vi. 翘起；竖起；大摇大摆"
momentum,n. 势头； 动量；动力；冲力
dissatisfaction,n. 不满；令人不满的事物
irreplaceable,adj. 不能替代的，不能调换的
jail,"n. 监狱；监牢；拘留所
vt. 监禁；下狱"
coin,"n. 硬币，钱币
vt. 铸造（货币）；杜撰，创造"
leopard,n. 豹；美洲豹
emerge,vi. 浮现；摆脱；暴露
detain,vt. 拘留；留住；耽搁
lump,"n. 块，块状；肿块；瘤；很多；笨人
vt. 混在一起；使成块状；忍耐；笨重地移动
vi. 结块
adj. 成团的；总共的
adv. 很；非常"
magician,n. 魔术师，变戏法的人
await,vt. 等候，等待；期待
premature,"n. 早产儿；过早发生的事物
adj. 早产的；不成熟的；比预期早的"
ratio,n. 比率，比例
account,"n. 账户；解释；账目，账单；理由；描述
vt. 认为；把…视为
vi. 解释；导致；报账"
consent,"n. 同意；（意见等的）一致；赞成
vi. 同意；赞成；答应"
receptionist,n. 接待员；传达员
mechanic,"n. 技工，机修工
adj. 手工的"
alight,"adj. 烧着的；点亮着的
vi. 下来；飞落"
melt,"vi. 熔化，溶解；渐混
vt. 使融化；使熔化；使软化；使感动
n. 熔化；熔化物"
cheat,"n. 欺骗，作弊；骗子
vt. 欺骗；骗取
vi. 欺骗；作弊"
agility,n. 敏捷；灵活；机敏
perish,"vi. 死亡；毁灭；腐烂；枯萎
vt. 使麻木；毁坏"
arise,vi. 出现；上升；起立
mortal,"adj. 凡人的；致死的；终有一死的；不共戴天的
n. 人类，凡人"
nutrient,"n. 营养物；滋养物
adj. 营养的；滋养的"
obscure,"adj. 昏暗的，朦胧的；晦涩的，不清楚的；隐蔽的；不著名的，无名的
vt. 使…模糊不清，掩盖；隐藏；使难理解
n. 某种模糊的或不清楚的东西"
bury,vt. 埋葬；隐藏
cancel,"vi. 取消，撤销
vt. 取消；删去
vi. 取消；相互抵消
n. 取消，撤销"
outbreak,"n. （战争的）爆发；（疾病的）发作
vi. 爆发"
formal,"n. 正式的社交活动；夜礼服
adj. 正式的；拘谨的；有条理的"
bombard,"n. 射石炮
vt. 轰炸；炮击"
informed,"v. 通知；使了解；提供资料（inform的过去分词）
adj. 消息灵通的；见多识广的"
output,"n. 输出，输出量；产量；出产
vt. 输出"
repression,n. 抑制， 压抑；镇压
prone,adj. 俯卧的；有…倾向的，易于…的
gloomy,adj. 黑暗的；沮丧的；阴郁的
hairdresser,n. 美发师
prospect,"n. 前途；预期；景色
vt. 勘探，勘察
vi. 勘探，找矿"
spray,"n. 喷雾；喷雾器；水沫
vt. 喷射
vi. 喷"
review,"n. 回顾；复习；评论；检讨；检阅
vt. 回顾；检查；复审
vi. 回顾；复习功课；写评论"
splendid,adj. 辉煌的；灿烂的；极好的；杰出的
apprehend,"vt. 理解；逮捕；忧虑
vi. 理解；担心"
rifle,"n. 步枪；来复枪
vt. 用步枪射击；抢夺；偷走"
seal,"n. 密封；印章；海豹；封条；标志
vt. 密封；盖章
vi. 猎海豹"
explosive,"n. 炸药；爆炸物
adj. 爆炸的；爆炸性的；爆发性的"
fiction,n. 小说；虚构，编造；谎言
skin,"n. 皮肤；外皮
vt. 剥皮
vi. 愈合；长皮"
establish,"vi. 植物定植
vt. 建立；创办；安置"
strip,"n. 带；条状；脱衣舞
vt. 剥夺；剥去；脱去衣服
vi. 脱去衣服"
expectation,n. 期待；预期；指望
favor,"n. 喜爱；欢心；好感
vt. 赞成；喜欢；像；赐予；证实"
slip,"n. 滑，滑倒；片，纸片；错误；下跌；事故
abbr. 串行线路接口协议，是旧式的协议（Serial Line Interface Protocol）
adj. 滑动的；有活结的；活络的
vt. 使滑动；滑过；摆脱；塞入；闪开
vi. 滑动；滑倒；犯错；失足；减退"
stray,"n. 走失的家畜；流浪者
adj. 迷路的；离群的；偶遇的
vi. 流浪；迷路；偏离"
term,"n. 术语；学期；期限；条款；(代数式等的)项
vt. 把…叫做"
superstition,n. 迷信
suspect,"n. 嫌疑犯
adj. 可疑的；不可信的
vi. 怀疑；猜想
vt. 怀疑；猜想"
temporary,"n. 临时工，临时雇员
adj. 暂时的，临时的"
senate,n. 参议院，上院；（古罗马的）元老院
transform,"vt. 改变，使…变形；转换
vi. 变换，改变；转化"
halt,"n. 停止；立定；休息
vt. 使停止；使立定
vi. 停止；立定；踌躇，犹豫"
fortune,"n. 财富；命运；运气
vt. 给予财富
vi. 偶然发生"
genuine,adj. 真实的，真正的；诚恳的
drain,"n. 排水；下水道，排水管；消耗
vt. 喝光，耗尽；使流出；排掉水
vi. 排水；流干"
cohort,n. 一群；步兵大队；支持者；同生群
accordance,n. 一致；和谐
bustle,"n. 喧闹；活跃；裙撑；热闹的活动
vt. 使忙碌；催促
vi. 喧闹；忙乱；充满"
slimy,adj. 黏滑的；泥泞的；谄媚的，虚伪的
cosmonaut,n. （俄）宇航员（等于astronaut）
susceptible,"n. 易得病的人
adj. 易受影响的；易感动的；容许…的"
tempt,vt. 诱惑；引起；冒…的风险；使感兴趣
striking,"v. 打（strike的ing形式）
adj. 显著的，突出的，惊人的；打击的；罢工的"
chain,"n. 链；束缚；枷锁
vt. 束缚；囚禁；用铁链锁住"
transient,"n. 瞬变现象；过往旅客；候鸟
adj. 短暂的；路过的"
charm,"n. 魅力，吸引力；魔力
vt. 使陶醉；行魔法
vi. 有魔力；用符咒"
supervise,"vt. 监督，管理；指导
vi. 监督，管理；指导"
cockroach,n.  蟑螂
hardware,n. 计算机硬件；五金器具
propel,vt. 推进；驱使；激励；驱策
consort,"n. 配偶；伙伴
vt. 使结合；使联系
vi. 结交；陪伴；符合"
delay,"n. 延期；耽搁；被耽搁或推迟的时间
vt. 延期；耽搁
vi. 延期；耽搁"
corporate,adj. 法人的；共同的，全体的；社团的；公司的；企业的
disrupt,"vt. 破坏；使瓦解；使分裂；使中断；使陷于混乱
adj. 分裂的，中断的；分散的"
culmination,n. 顶点；高潮
spouse,"n. 配偶
vt. 和…结婚"
deforestation,n. 采伐森林；森林开伐
fend,"vi. 照料；供养；力争
vt. 谋生；保护；挡开；供养"
detect,vt. 察觉；发现；探测
embark,"vi. 从事，着手；上船或飞机
vt. 使从事；使上船"
devotion,n. 献身，奉献；忠诚；热爱
embroider,"vt. 刺绣；装饰；镶边
vi. 绣花；刺绣"
dispense,"vi. 免除，豁免
vt. 分配，分发；免除；执行"
precaution,"n. 预防，警惕；预防措施
vt. 警惕；预先警告"
dribble,"n. n. 点滴；运球
vt. 连击；使滴下；运球
vi. 滴下；流口水"
split,"n. 劈开；裂缝
adj. 劈开的
vt. 分离；使分离；劈开；离开；分解
vi. 离开；被劈开；断绝关系"
era,n. 时代；年代；纪元
compliment,"n. 恭维；称赞；问候；致意；道贺
vt. 恭维；称赞"
streak,"n. 条纹，线条；倾向
vi. 飞跑，疾驶；加上条纹
vt. 飞跑，疾驰；加条纹于"
tentative,"n. 假设，试验
adj. 试验性的，暂定的；踌躇的"
cannon,"n. 大炮；加农炮；榴弹炮；机关炮
vt. 炮轰
vi. 炮轰；开炮"
essence,n. 本质，实质；精华；香精
accelerate,"vt. 使……加快；使……增速
vi. 加速；促进；增加"
prelude,"n. 前奏；序幕；前奏曲
vt. 成为…的序幕；演奏…作为前奏曲
vi. 作为序曲；奏序曲"
explosion,n. 爆炸；爆发；激增
conservative,找不到解释
favorable,adj. 有利的；良好的；赞成的，赞许的；讨人喜欢的
viral,adj. 病毒性的
expedition,n. 远征；探险队；迅速
formality,n. 礼节；拘谨；仪式；正式手续
glide,"vi. 滑翔；滑行；悄悄地走；消逝
vt. 使滑行；使滑动
n. 滑翔；滑行；滑移；滑音"
huddle,"n. 拥挤；混乱；杂乱一团
vt. 把...挤在一起；使缩成一团；草率了事
vi. 蜷缩；挤作一团"
infrastructure,n. 基础设施；公共建设；下部构造
archaeology,"n. 考古学
考古学的"
incessant,adj. 不断的；不停的；连续的
raw,"n. 擦伤处
adj. 生的；未加工的；阴冷的；刺痛的；擦掉皮的；无经验的；（在艺术等方面）不成熟的
vt. 擦伤"
lenient,adj. 宽大的；仁慈的
awareness,"n. 意识，认识；明白，知道
n. 人群对品牌或产品的认知"
inheritance,n. 继承；遗传；遗产
bold,adj. 大胆的，英勇的；黑体的；厚颜无耻的；险峻的
intellectual,"n. 知识分子；凭理智做事者
adj. 智力的；聪明的；理智的"
ungrateful,adj. 忘恩负义的；不领情的；讨厌的；徒劳的
wither,"vi. 枯萎；凋谢；衰弱
vt. 使凋谢；使畏缩；使衰弱"
irretrievable,adj. 不能弥补的；不能复原的；无法挽救的
alien,"n. 外国人，外侨；外星人
adj. 外国的；相异的，性质不同的；不相容的
vt. 让渡，转让"
issue,"n. 问题；流出；期号；发行物
vt. 发行，发布；发给；放出，排出
vi. 发行；流出；造成…结果；传下"
lean,"vi. 倾斜；倚靠；倾向；依赖
adj. 瘦的；贫乏的，歉收的
vt. 使倾斜
n. 瘦肉；倾斜；倾斜度"
remove,"n. 移动；距离；搬家
vt. 移动，迁移；开除；调动
vi. 移动，迁移；搬家"
lunar,adj. 月亮的，月球的；阴历的；银的；微亮的
bloom,"n. 花；青春；旺盛
vt. 使开花；使茂盛
vi. 开花；茂盛"
apprentice,"n. 学徒；生手
vt. 使…当学徒
vi. 当学徒"
receipt,"n. 收到；收据；收入
vt. 收到"
impulsive,adj. 冲动的；受感情驱使的；任性的
lyric,"adj. 抒情的；吟唱的
n. 抒情诗；歌词"
mechanical,adj. 机械的；力学的；呆板的；无意识的；手工操作的
melody,n. 旋律；歌曲；美妙的音乐
monitor,"n. 监视器；监听器；监控器；显示屏；班长
vt. 监控"
nutritious,adj. 有营养的，滋养的
oblige,"vt. 迫使；强制；赐，施恩惠；责成；义务
vi. 帮忙；施恩惠"
moral,"adj. 道德的；精神上的；品性端正的
n. 道德；寓意"
outnumber,vt. 数目超过；比…多
permanent,"n. 烫发（等于permanent wave）
adj. 永久的，永恒的；不变的"
revise,"n. 修订；校订
vi. 修订；校订；复习功课
vt. 修正；复习；校订"
personnel,"n. 人事部门；全体人员
adj. 人员的；有关人事的"
crutch,"n. 拐杖；支柱；依靠；胯部
vt. 用拐杖支撑；支持"
propose,"vi. 建议；求婚；打算
vt. 建议；打算，计划；求婚"
repetitive,adj. 重复的
horsepower,n. 马力（功率单位）
competence,n. 能力，胜任；权限；作证能力；足以过舒适生活的收入
riddle,"n. 谜语；粗筛；谜一般的人、东西、事情等
vt. 解谜；给...出谜；充满于
vi. 出谜"
secure,"vt. 保护；弄到；招致；缚住
adj. 安全的；无虑的；有把握的；稳当的
vi. 获得安全；船抛锚；停止工作"
outcome,n. 结果，结局；成果
agony,n. 苦恼；极大的痛苦；临死的挣扎
skull,n. 头盖骨，脑壳
backwards,adv. 倒；向后；逆
intensive,"n. 加强器
adj. 加强的；集中的；透彻的；加强语气的"
seminar,n. 讨论会，研讨班
visual,adj. 视觉的，视力的；栩栩如生的
trap,"n. 陷阱；圈套； 存水湾
vt. 诱捕；使…受限制；使…陷入困境
vi. 设陷阱"
unreliable,adj. 不可靠的；靠不住的
workforce,n. 劳动力；工人总数，职工总数
embarrass,vt. 使局促不安；使困窘；阻碍
accord,"n. 符合；一致；协议；自愿
vt. 使一致；给予
vi. 符合；一致"
strike,"n. 罢工；打击；殴打
vi. 打，打击；罢工；敲，敲击；抓；打动；穿透
vt. 打，击；罢工；撞击，冲击；侵袭；打动；到达"
renew,"vt. 使更新；续借；续费；复兴；重申
vi. 更新；重新开始"
awesome,adj. 令人敬畏的；使人畏惧的；可怕的；极好的
virtual,adj.  虚拟的；实质上的，事实上的（但未在名义上或正式获承认）
bachelor,n. 学士；单身汉；（尚未交配的）小雄兽
cube,"n. 立方；立方体；骰子
vt. 使成立方形；使自乘二次；量…的体积"
devotee,n. 信徒；爱好者
agrarian,adj. 土地的；耕地的；有关土地的
outlook,"n. 展望；观点；景色
vt. 比……好看；用目光压倒
vi. 朝外看"
permission,n. 允许，许可
alert,"n. 警戒，警惕；警报
adj. 警惕的，警觉的；留心的
vt. 警告；使警觉，使意识到"
culinary,adj. 厨房的；烹调用的
defrost,"vt. 除霜
vi. 解冻"
leap,"vi. 跳，跳跃
n. 飞跃；跳跃
vt. 跳跃，跳过；使跃过"
aptitude,n. 天资；自然倾向；适宜
devastating,"adj. 毁灭性的；全然的
v. 摧毁（devastate的ing形式）；毁坏"
embrace,"n. 拥抱
vt. 拥抱；信奉，皈依；包含
vi. 拥抱"
acclaim,"n. 欢呼，喝彩；称赞
vt. 称赞；为…喝彩，向…欢呼
vi. 欢呼，喝彩"
display,"n. 显示；炫耀
vt. 显示；表现；陈列
adj. 展览的；陈列用的
vi.  作炫耀行为"
exploit,"n. 勋绩；功绩
vt. 开发，开拓；剥削；开采"
feasible,adj. 可行的；可能的；可实行的
dramatic,adj. 戏剧的；急剧的；引人注目的；激动人心的
expenditure,n. 支出，花费；经费，消费额
format,"n. 格式；版式；开本
vt. 使格式化；规定…的格式
vi. 设计版式"
glaze,"n. 釉；光滑面
vt. 装以玻璃；上釉于
vi. 变呆滞；变得光滑"
handicap,"n. 障碍；不利条件，不利的因素
vt. 妨碍，阻碍；使不利"
eruption,n. 爆发，喷发；火山灰；出疹
feature,"n. 特色，特征；容貌；特写或专题节目
vt. 特写；以…为特色；由…主演
vi. 起重要作用"
disrespectful,adj. 无礼的；失礼的；不尊敬的
harass,vt. 使困扰；使烦恼；反复袭击
inadvertent,adj. 疏忽的；不注意的（副词inadvertently）；无意中做的
forthright,"n. 直路
adj. 直率的；直截了当的
adv. 直率地；马上；立即"
geology,n. 地质学；地质情况
incentive,"n. 动机；刺激
adj. 激励的；刺激的"
blow,"n. 吹；打击；殴打
vt. 风吹
vi. 风吹；喘气"
cosmetic,"n. 化妆品；装饰品
adj. 美容的；化妆用的"
monopoly,n. 垄断；垄断者；专卖权
intensify,"vt. 使加强，使强化；使变激烈
vi. 增强，强化；变激烈"
lunatic,"adj. 疯狂的；精神错乱的；愚蠢的
n. 疯子；疯人"
rhyme,"n. 韵律；韵脚；韵文；押韵词
vt. 使押韵；用韵诗表达；把…写作诗
vi. 押韵；作押韵诗"
irreversible,adj. 不可逆的；不能取消的；不能翻转的
isolate,"n.  隔离种群
vt. 使隔离；使孤立；使绝缘
adj. 隔离的；孤立的
vi. 隔离；孤立"
leisure,"n. 闲暇；空闲；安逸
adj. 空闲的；有闲的；业余的"
hospitality,n. 好客；殷勤
intelligence,n. 智力；情报工作；情报机关；理解力；才智，智慧；天分
hub,n. 中心；毂；木片
security,"n. 安全；保证；证券；抵押品
adj. 安全的；保安的；保密的"
inherit,"vt. 继承；遗传而得
vi. 成为继承人"
luxury,"n. 奢侈，奢华；奢侈品；享受
adj. 奢侈的"
mechanism,n. 机制；原理，途径；进程；机械装置；技巧
ingredient,"n. 原料；要素；组成部分
adj. 构成组成部分的"
obligation,n. 义务；职责；债务
teem,"vt. 倒出
vi. 大量出现；充满"
surge,"n. 汹涌；大浪，波涛；汹涌澎湃；巨涌
v. 汹涌；起大浪，蜂拥而来"
outlaw,"n. 歹徒；罪犯；亡命之徒；被剥夺法律保护者
vt. 宣布…为不合法；将…放逐；剥夺…的法律保护"
persistent,adj. 固执的，坚持的；持久稳固的
moor,"vt. 系住；使停泊
n. 沼泽；荒野"
obedient,adj. 顺从的，服从的；孝顺的
precipitate,"n.  沉淀物
vt. 使沉淀；促成；猛抛；使陷入
adj. 突如其来的；猛地落下的；急促的
vi.  沉淀；猛地落下；冷凝成为雨或雪等"
sponsor,"n. 赞助者；主办者；保证人
vt. 赞助；发起"
ray,"n. 射线；光线；鳐形目(Rajiformes)鱼
vt. 放射；显出
vi. 放射光线；浮现"
meditate,"vt. 考虑；计划；企图
vi. 冥想；沉思"
spot,"n. 地点；斑点
adj. 现场的；现货买卖的
vt. 认出；弄脏；用灯光照射
vi. 沾上污渍；满是斑点
adv. 准确地；恰好"
proponent,n. 支持者；建议者；提出认证遗嘱者
slide,"n. 滑动；幻灯片；滑梯；雪崩
vt. 滑动；使滑动；悄悄地迅速放置
vi. 滑动；滑落；不知不觉陷入"
proposal,n. 提议，建议；求婚
rebound,"n. 回弹；篮板球
v. 重新装订（rebind的过去式和过去分词）
vt. 使弹回
vi. 回升；弹回"
chariot,"n. 二轮战车
vt. 驾驭（过去式charioted，过去分词charioted，现在分词charioting，第三人称单数chariots）
vi. 乘战车；驾驭战车"
revival,n. 复兴；复活；苏醒；恢复精神；再生效
pregnant,adj. 怀孕的；富有意义的
selective,"adj. 选择性的
讲究的
有选择地
有选择性地
仔细挑选地"
cohere,vi. 凝聚；连贯；粘着；一致
slash,"n. 削减；斜线；猛砍；砍痕；沼泽低地
vt. 猛砍；鞭打；严厉批评；大幅度裁减或削减
vi. 猛砍；严厉批评"
compile,vt. 编译；编制；编辑； 汇编
strengthen,"vt. 加强；巩固
vi. 变强；变坚挺"
cocktail,"n. 鸡尾酒；开胃食品
n. 混合物
adj. 鸡尾酒的"
tempting,"v. 引诱（tempt的ing形式）
adj. 吸引人的；诱惑人的"
supervision,n. 监督，管理
butt,"n. 屁股；烟头；笑柄；靶垛；粗大的一端
vt. 以头抵撞；碰撞"
candid,adj. 公正的；坦白的；率直的；偷拍的
transparent,adj. 透明的；显然的；坦率的；易懂的
unidentified,adj. 未经确认的；未辨别出的，身份不明的
complicate,vt. 使复杂化；使恶化；使卷入
vision,"n. 视力；美景；眼力；幻象；想象力；幻视（漫威漫画旗下超级英雄）
vt. 想象；显现；梦见"
withhold,"vt. 保留，不给；隐瞒；抑制
vi. 忍住；克制"
boast,"n. 自夸；值得夸耀的事物，引以为荣的事物
vi. 自吹自擂
vt. 夸口说，自吹自擂说；以有…而自豪"
chamber,"n. （身体或器官内的）室，膛；房间；会所
adj. 室内的；私人的，秘密的
vt. 把…关在室内；装填（弹药等）"
dehydration,n. 脱水
approach,"n. 方法；途径；接近
vt. 接近；着手处理
vi. 靠近"
renown,"n. 声誉；名望
vt. 使有声望"
conserve,"n. 果酱；蜜饯
vt. 保存；将…做成蜜饯；使守恒"
woe,"n. 悲哀，悲痛；灾难
int. 唉（表示痛苦，悲伤或悔恨）"
dreadful,adj. 可怕的；糟透的，令人不快的
eradicate,vt. 根除，根绝；消灭
console,"n.  控制台； 操纵台
vt. 安慰；慰藉"
transition,n. 过渡；转变； 转换；变调
unprecedented,adj. 空前的；无前例的
correspond,vi. 符合，一致；相应；通信
legislation,n. 立法；法律
consistent,adj. 始终如一的，一致的；坚持的
blueprint,"n. 蓝图，设计图；计划
vt. 计划；制成蓝图"
supreme,"n. 至高；霸权
adj. 最高的；至高的；最重要的"
accomplish,vt. 完成；实现；达到
monstrous,adj. 巨大的；怪异的；荒谬的；畸形的
erode,"vt. 腐蚀，侵蚀
vi. 侵蚀；受腐蚀"
accommodation,n. 住处，膳宿；调节；和解；预订铺位
tendency,n. 倾向，趋势；癖好
mediate,"vi. 调解；斡旋；居中
vt. 调停；传达
adj. 间接的；居间的"
wizard,"n. 男巫；术士；奇才；向导程序
adj. 男巫的；巫术的"
awful,adj. 可怕的；极坏的；使人敬畏的
blur,"n. 污迹；模糊不清的事物
vt. 涂污；使…模糊不清；使暗淡；玷污
vi. 沾上污迹；变模糊"
calculate,"vt. 计算；预测；认为；打算
vi. 计算；以为；作打算"
revolutionary,"n. 革命者
adj. 革命的；旋转的；大变革的"
revolutionize,"vt. 发动革命；彻底改革；宣传革命
vi. 革命化；从事革命"
sedative,"n.  镇静剂；能使安静的东西；止痛药
adj. 使镇静的；使安静的"
medication,n. 药物；药物治疗；药物处理
devise,"n. 遗赠
vt. 设计；想出；发明；图谋；遗赠给"
intend,"vi. 有打算
vt. 打算；想要；意指"
cofounder,n. 共同创办人
slender,adj. 细长的；苗条的；微薄的
lure,"n. 诱惑；饵；诱惑物
vt. 诱惑；引诱"
awkward,adj. 尴尬的；笨拙的；棘手的；不合适的
complex,"n. 复合体；综合设施
adj. 复杂的；合成的"
defy,"n. 挑战；对抗
vt. 藐视；公然反抗；挑衅；使落空"
hostage,n. 人质；抵押品
incense,"n. 香；奉承
vt. 向…焚香；使…发怒
vi. 焚香"
devoid,adj. 缺乏的；全无的
luxurious,adj. 奢侈的；丰富的；放纵的；特级的
complain,"vi. 投诉；发牢骚；诉说
vt. 抱怨；控诉"
stride,"n. 大步；步幅；进展
vt. 跨过；大踏步走过；跨坐在…
vi. 跨；跨过；大步行走"
glamour,"n. 魅力，魔力；迷人的美
vt. 迷惑，迷住"
handout,n. 散发材料（免费发给的新闻通报）；上课老师发的印刷品；文字资料 	（会议上分发的）；施舍物
degrade,"vt. 贬低；使……丢脸；使……降级；使……降解
vi. 降级，降低；退化"
inappropriate,adj. 不适当的；不相称的
spontaneous,adj. 自发的；自然的；无意识的
tension,"n. 张力，拉力；紧张，不安；电压
vt. 使紧张；使拉紧"
dispute,"n. 辩论；争吵
vt. 辩论；怀疑；阻止；抗拒
vi. 争论"
suppress,vt. 抑制；镇压；废止
embody,vt. 体现，使具体化；具体表达
drastic,"n. 烈性泻药
adj. 激烈的；猛烈的"
sporadic,adj. 零星的；分散的；不定时发生的
drawback,n. 缺点，不利条件；退税
