bargain,"n. 交易；便宜货；契约
v. 讨价还价；议价；(谈价钱后)卖"
lop,"vt. 砍伐；剪去树枝
vi. 砍，删；闲荡；下垂
n. 剪下的树枝
adj. 垂下的"
discernible,adj. 可辨别的；可识别的
radiant,"n. 光点；发光的物体
adj. 辐射的；容光焕发的；光芒四射的"
nab,vt. 捉住，逮捕；抢夺
massive,adj. 大量的；巨大的，厚重的；魁伟的
spot,"n. 地点；斑点
adj. 现场的；现货买卖的
vt. 认出；弄脏；用灯光照射
vi. 沾上污渍；满是斑点
adv. 准确地；恰好"
hard-boiled,adj. 煮过熟了的；不动感情的
ingratiate,vt. 使迎合；使讨好；使逢迎
pending,"prep. 在…期间；直到…时为止；在等待…之际
v. 待定；悬而不决（pend的ing形式）
adj. 未决定的；行将发生的"
robust,adj. 强健的；健康的；粗野的；粗鲁的
tyrannize,"vt. 施行虐政；欺压
vi. 施行暴政；欺压"
quiver,"n. 颤抖；箭袋；震动
vi. 颤抖；振动
vt. 使…颤动；抖动"
affiliate,"n. 联号；隶属的机构等
vt. 使附属；接纳；使紧密联系
vi. 参加，加入；发生联系"
mundane,adj. 世俗的，平凡的；世界的，宇宙的
enumerate,vt. 列举；枚举；计算
awesome,adj. 令人敬畏的；使人畏惧的；可怕的；极好的
incompatible,"n. 互不相容的人或事物
adj. 不相容的；矛盾的；不能同时成立的"
liberty,n. 自由；许可；冒失
epitome,n. 缩影；摘要；象征
writhe,"n. 翻滚；扭动；苦恼
vt. 扭曲；扭动
vi. 翻滚；蠕动"
concord,n. 和谐；和睦；一致；协调
hoax,"n. 骗局；恶作剧
vt. 愚弄；欺骗"
dank,adj. 潮湿的；阴湿的；透水的
fraught,adj. 担心的，忧虑的；充满…的
tan,"vi. 晒成棕褐色
adj. 黄褐色的；鞣皮的
n. （日晒后皮肤的）黝黑色；棕褐色；鞣料；马戏团
vt. 鞣（革）；晒成褐色"
ferocity,n. 凶猛；残忍；暴行
sniffle,"n. 鼻塞声；不断的吸鼻子（等于snuffle）
vi. 抽鼻涕；抽噎（等于snuffle）"
overlook,"vt. 忽略；俯瞰；远眺；检查；高耸于…之上
n. 忽视；眺望"
prodigy,n. 奇迹，奇事；奇才；奇观；预兆
yield,"n. 产量；收益
vt. 屈服；出产，产生；放弃
vi. 屈服，投降"
boost,"n. 推动；帮助；宣扬
vi. 宣扬；偷窃
vt. 促进；增加；支援"
intimidate,vt. 恐吓，威胁；胁迫
enthrone,"vt. 使登基；立…为王；任为主教；崇拜
vi. 热心"
vex,"vt. 使烦恼；使困惑；使恼怒
vi. 烦恼"
intimacy,n. 性行为；亲密；亲昵行为；隐私
exotic,adj. 异国的；外来的；异国情调的
daft,adj. 癫狂的；愚笨的；狂闹的
indigenous,adj. 本土的；土著的；国产的；固有的
inflammable,"n. 易燃物
adj. 易燃的；易怒的；易激动的"
leave,"vt. 离开；留下；遗忘；委托
vi. 离开，出发；留下
n. 许可，同意；休假"
culminate,"vt. 使结束；使达到高潮
vi. 到绝顶；达到高潮；达到顶点"
coherent,adj. 连贯的，一致的；明了的；清晰的；凝聚性的；互相耦合的；粘在一起的
flawless,adj. 完美的；无瑕疵的；无裂缝的
vice,"prep. 代替
n. 恶习；缺点； 老虎钳；卖淫
adj. 副的；代替的
vt. 钳住"
dote,"vt. 溺爱
vi. 溺爱；昏聩"
deplete,vt. 耗尽，用尽；使衰竭，使空虚
opulent,adj. 丰富的；富裕的；大量的
resort,"n. 凭借，手段；度假胜地；常去之地
vi. 求助，诉诸；常去；采取某手段或方法"
grovel,vi. 匍匐；卑躬屈膝；趴
hash,"n. 剁碎的食物；混杂，拼凑；重新表述
vt. 搞糟，把…弄乱；切细；推敲"
detonate,"vt. 使爆炸
vi. 引爆，爆炸"
vile,adj. 卑鄙的；邪恶的；低廉的；肮脏的
impoverish,vt. 使贫穷；使枯竭
utmost,"n. 极限；最大可能
adj. 极度的；最远的"
strenuous,adj. 紧张的；费力的；奋发的；艰苦的；热烈的
clutter,"n. 杂乱，混乱
vt. 使凌乱；胡乱地填满"
categorical,adj. 绝对的（名词categoricalness，副词categorically，异体字categoric）；直截了当的；无条件的；属于某一范畴的
forge,"n. 熔炉，锻铁炉；铁工厂
vt. 伪造；锻造；前进
vi. 伪造；做锻工；前进"
sanctify,vt. 使圣洁；使神圣化；把…奉献给神；认可
interject,vt. 突然插入；插嘴
rabid,adj. 激烈的；狂暴的；偏激的；患狂犬病的
itinerant,"n. 巡回者；行商
adj. 巡回的；流动的"
hyperactive,adj. 极度活跃的；活动过度的
forestall,vt. 先发制人，预先阻止；垄断，屯积；领先；占先一步
shunt,"vt. 使转轨；使分流；回避讨论；推延
vi. 转轨；转向一边；往返
n. 转轨； 分流器"
intractable,adj. 棘手的；难治的；倔强的；不听话的
fictitious,adj. 虚构的；假想的；编造的；假装的
identify,vt. 确定；鉴定；识别，辨认出；使参与；把…看成一样 vi. 确定；认同；一致
spatter,"n. 溅；洒；泼溅的污迹；少量
vt. 溅；洒；污蔑
vi. 洒落；溅出水滴"
flurry,"n. 慌张；疾风；飓风；骚动
vt. 使恐慌；使激动
vi. 慌张；激动"
jolt,"vt. 使颠簸；使震惊；使摇动
vi. 摇晃；颠簸而行
n. 颠簸；摇晃；震惊；严重挫折"
pester,vt. 纠缠，烦扰；使烦恼
ensconce,vt. 安置；安顿下来；使…隐藏
prominence,n. 突出；显著；突出物；卓越
vagrant,"n. 游民；流浪者；无赖；漂泊者
adj. 流浪的；漂泊的；游荡的"
disavow,vt. 否认，否定；抵赖；拒绝对…的责任
encumber,vt. 阻塞；妨害；拖累
grisly,adj. 可怕的；厉害的；严重的
brusque,adj. 唐突的；直率的；无礼的
orthodoxy,n. 正统；正教；正统说法
emend,vt. 修订；改进
invalidate,vt. 使无效；使无价值
inoculate,vt.  接种；嫁接；灌输
flirt,"n. 急扔；调情的人；卖弄风骚的人
vt. 挥动；忽然弹出
vi. 调情；玩弄；轻率地对待；摆动"
gravitate,vi. 受引力作用；被吸引
disentangle,"vt. 解开；松开；使解脱
vi. 解决；松开；解开纠结；解决（纠纷）"
solvent,"n. 溶剂；解决方法
adj. 有偿付能力的；有溶解力的"
snipe,"n. 狙击； 鹬；香烟屁股；被开玩笑的人物
vi. 狙击； 伏击；抨击；猎鸟；诽谤
vt. 狙击"
invoice,"n. 账单，发货单，收款请求
vt. 开发票；记清单"
uncouth,adj. 笨拙的；粗野的；不舒适的；陌生的
gallantry,n. 勇敢；殷勤；风流；勇敢的行为
nomadic,adj. 游牧的；流浪的；游动的
desiccate,"vt. 使干；干贮
vi. 变干"
augment,"n. 增加；增大
vt. 增加；增大
vi. 增加；增大"
jeer,"n. 嘲笑；戏弄；揶揄的言语
vi. 嘲笑；戏弄
vt. 嘲笑；戏弄"
grotesque,"n. 奇异风格；怪异的东西
adj. 奇形怪状的；奇怪的；可笑的"
intrepid,adj. 无畏的；勇敢的；勇猛的
gauge,"n. 计量器；标准尺寸；容量规格
vt. 测量；估计；给…定规格"
segregation,n. 隔离，分离；种族隔离
delve,"n. 穴；洞
vi. 钻研；探究；挖
vt. 钻研；探究；挖"
astray,"adj. 迷路的；离开正道的；不对头的
adv. 误入歧途地；迷途地；迷路"
scoop,"n. 勺；铲子；独家新闻；凹处
vt. 掘；舀取；抢先获得；搜集"
motley,"adj. 杂色的；混杂的；五颜六色的
n. 混杂；杂色衣服；小丑"
rut,"n. 发情期；惯例；性冲动；凹槽
vt. 挖槽于；在…形成车辙
vi. 发情"
equivocal,adj. 模棱两可的；可疑的
pinch,"n. 匮乏；少量；夹痛
vt. 捏；勒索；使苦恼；掐掉某物，修剪
vi. 夹痛；节省"
event,n. 事件，大事；项目；结果
savor,"n. 滋味；气味；食欲
vt. 尽情享受；使有风味；加调味品于；品尝，欣赏
vi. 有…的滋味；带有…的性质"
savour,"n. 滋味；风味
vt. 具有…的特点；加调味品于；使有风味"
affection,n. 喜爱，感情；影响；感染
majestic,adj. 庄严的；宏伟的
ascendant,"n. 优势；运星；支配地位
adj. 上升的；优越的"
relegate,vt. 把降低到；归入；提交
jumble,"n. 混乱；杂乱的一堆东西
vi. 混杂；搀杂
vt. 使混乱；搞乱"
susceptible,"n. 易得病的人
adj. 易受影响的；易感动的；容许…的"
belie,vt. 掩饰；与…不符；使失望；证明…虚假错误
composite,"n. 复合材料；合成物；菊科
adj. 复合的；合成的；菊科的
vt. 使合成；使混合"
incarnate,"adj. 化身的；人体化的；肉色的
vt. 体现；使…具体化；使实体化"
indoctrinate,vt. 灌输；教导
misgiving,"n. 担忧；疑虑；不安
v. 担忧；使…疑虑；害怕（misgive的ing形式）"
impassive,adj. 冷漠的；无感觉的
calamity,n. 灾难；不幸事件
explicable,adj. 可解释的，可说明的
legislate,"vt. 用立法规定；通过立法
vi. 立法；制定法律"
docile,adj. 温顺的，驯服的；容易教的
expansive,adj. 广阔的；扩张的；豪爽的
destitute,"n. 赤贫者
adj. 穷困的；无的；缺乏的
vt. 使穷困；夺去"
feign,"vt. 假装；装作；捏造；想象
vi. 假装；装作；作假；佯作"
dispirited,"adj. 沮丧的；没有精神的；意气消沉的
v. 使…沮丧；使…气馁（dispirit的过去分词）"
meander,"n. 漫步；曲流（常用复数）
vt. 漫步；蜿蜒缓慢流动
vi. 漫步；漫谈"
marginal,adj. 边缘的；临界的；末端的
accessible,adj. 易接近的；可进入的；可理解的
gobble,"n. 火鸡叫声
vt. 狼吞虎咽
vi. 贪食；咯咯叫"
charitable,adj. 慈善事业的；慷慨的，仁慈的；宽恕的
imprint,"n. 印记；痕迹；特征；版本说明
vt. 加特征；刻上记号"
incense,"n. 香；奉承
vt. 向…焚香；使…发怒
vi. 焚香"
spoil,"n. 次品；奖品
vt. 溺爱；糟蹋；破坏；掠夺
vi. 掠夺；变坏；腐败"
subside,vi. 平息；减弱；沉淀；坐下
hamstring,"n. 腿筋
vt. 切断腿筋使成跛腿；使残废"
indelible,adj. 难忘的；擦不掉的
terse,adj. 简洁的，精练的，扼要的
cleanse,vt. 净化；使…纯净；使…清洁
denominate,"adj. 有特定名称的
vt. 为…命名；把…称作…"
discerning,"adj. 有辨识能力的；眼光敏锐的
v. 辨别（discern的ing形式）"
gossip,"n. 小道传闻；随笔；爱说长道短的人
vi. 闲聊；传播流言蜚语"
philanthropic,adj. 博爱的；仁慈的
inordinate,adj. 过度的；无节制的；紊乱的
ethic,"n. 伦理；道德规范
adj. 伦理的；道德的（等于ethical）"
militant,"adj. 好战的
n. 富有战斗性的人；好斗者；激进分子"
periodic,adj. 周期的；定期的
impel,vt. 推动；驱使；激励
decorous,adj. 有礼貌的，高雅的；端正的
captivity,n. 囚禁；被关
combustible,"n. 可燃物；易燃物
adj. 易燃的；易激动的；燃烧性的"
disenchant,vt. 使清醒；使不抱幻想
cajole,vt. 以甜言蜜语哄骗；勾引
gruesome,adj. 可怕的；阴森的
protocol,"n. 协议；草案；礼仪
vt. 拟定
vi. 拟定"
override,"vt. 推翻；不顾；践踏
n. 代理佣金"
unravel,"vt. 解开；阐明；解决；拆散
vi. 解决；散开"
nuance,n. 细微差别
tend,"vt. 照料，照管
vi. 趋向，倾向；照料，照顾"
standing,"n. 站立；持续；身分
adj. 长期的；直立的；固定的
v. 站立；坚持不变；坐落于（stand的ing形式）"
hurtle,"n. 碰撞；猛冲
vt. 猛投；冲向
vi. 猛冲；猛烈碰撞"
serviceable,adj. 有用的，可供使用的；耐用的
delirious,adj. 发狂的；神志昏迷的；精神错乱的
flabby,adj. 松弛的；软弱的；没气力的；优柔寡断的
gnarled,"adj.  多节的；粗糙的；多瘤的
v. 把…扭曲；长木瘤（gnarl的过去分词）"
callous,"n. 硬皮；老茧
adj. 无情的；麻木的；硬结的；起老茧的
vt. 使冷酷无情；使硬结；使生茧
vi. 变得冷酷无情；结茧；变硬"
infringe,"vt. 侵犯；违反；破坏
vi. 侵犯；侵害"
retard,"n. 延迟；阻止
vt. 延迟；阻止；妨碍；使减速
vi. 减慢；受到阻滞"
paramount,"n. 最高统治者
adj. 最重要的，主要的；至高无上的"
substantiate,vt. 证实；使实体化
ineffectual,"n. 无用的人；无一技之长者
adj. 无效的，不起作用的；徒劳无益的"
fastidious,adj. 挑剔的；苛求的，难取悦的；（微生物等）需要复杂营养地
scoff,"n. 嘲笑；愚弄；笑柄
vt. 嘲笑；嘲弄；贪婪地吃
vi. 嘲笑；嘲弄；狼吞虎咽"
nurture,"vt. 养育；鼓励；培植
n. 养育；教养；营养物"
consist,vi. 由…组成；在于；符合
decoy,"n. 诱饵；诱骗
vt. 诱骗
vi. 被诱"
twitch,"n. 抽搐；抽动；痉挛；阵痛
vi. 抽搐；抽动；阵痛
vt. 使抽动；攫取；猛拉"
momentous,adj. 重要的；重大的
underwrite,"vt. 给...保险；承诺支付；签在...下
vi. 经营保险业"
transcribe,vt. 转录；抄写
allure,"n. 诱惑力
vt. 引诱，诱惑；吸引
vi. 诱人，吸引人"
irretrievable,adj. 不能弥补的；不能复原的；无法挽救的
modify,"vt. 修改，修饰；更改
vi. 修改"
inflow,"n. 流入；流入物；岭量
vi. 流入；货币回笼"
vent,"n. （感情的）发泄；出口；通风孔
vt. 发泄感情；放出…；给…开孔
vi. 放出；（通过排泄等）减轻压力"
rig,"n. 装备；钻探设备；服装； 帆装
vt. 操纵；装配；装扮；装上索具"
shatter,"n. 碎片；乱七八糟的状态
vt. 粉碎；打碎；破坏；破掉；使散开
vi. 粉碎；损坏；落叶"
procure,"vt. 获得，取得；导致
vi. 取得"
procedural,adj. 程序上的
plead,"vt. 借口；为...辩护；托称
vi. 恳求；辩护"
glee,n. 快乐；欢欣；重唱歌曲
knead,vt. 揉合，揉捏；按摩；捏制
blur,"n. 污迹；模糊不清的事物
vt. 涂污；使…模糊不清；使暗淡；玷污
vi. 沾上污迹；变模糊"
squeal,"n. 尖叫声
vt. 告密；长声尖叫
vi. 告密；尖声地说"
accede,vi. 加入；同意；就任
invoke,vt. 调用；祈求；引起；恳求
recession,n. 衰退；不景气；后退；凹处
awkward,adj. 尴尬的；笨拙的；棘手的；不合适的
arrest,"n. 逮捕；监禁
vt. 逮捕；阻止；吸引"
schematize,vt. 系统化；计划；扼要表示
shroud,"n. 寿衣；覆盖物；船的横桅索； 护罩
vt. 覆盖；包以尸衣"
viable,adj. 可行的；能养活的；能生育的
unduly,adv. 过度地；不适当地；不正当地
tatters,"n. 破衣服；梭织者；碎片（tatter的复数）
v. 撕碎；把…穿破（tatter的三单形式）"
thump,"n. 重打；重击声
vi. 重击；狠打；砰然地响
vt. 重击；用拳头打；砰地撞到"
gallant,adj. 英勇的，勇敢的；华丽的；雄伟的
ravish,vt. 强夺；强奸；使着迷
slavish,adj. 奴隶的；奴性的；卑屈的；盲从的
perk,"n. 小费；额外收入
vt. 使振作；打扮；竖起
vi. 振作；昂首"
misconduct,"n. 不端行为；处理不当
vt. 处理不当；行为不检"
slop,"vt. 溢出，使溅出
vi. 溅出；泼洒"
fallow,"n. 休耕地；休耕
adj. 休耕的；不活跃的
vt. 使（土地）休闲；潜伏"
cerebral,adj. 大脑的，脑的
moisturize,"vi. 增加水分；变潮湿
vt. 使增加水分，使湿润"
inquire,"vi. 询问；查究；询价
vt. 询问；查究；问明"
provident,adj. 节俭的；有先见之明的；顾及未来的
snub,"n. 冷落；斥责；突然的停止
vt. 冷落；严厉斥责；掐灭
adj. 制动用的；短扁上翘的"
drench,"n. 滂沱大雨；浸液
vt. 使湿透；给（牲畜）灌药"
confide,"vt. 吐露；委托
vi. 信赖；吐露秘密"
covert,"n. 隐藏处；树丛；蔽覆羽翮基部的羽毛
adj. 隐蔽的；隐密的；偷偷摸摸的；在丈夫保护下的"
brunt,n. 冲击；主要冲力
occur,vi. 发生；出现；存在
despicable,adj. 卑劣的；可鄙的
irradiate,"adj. 发光的
vt. 照耀；使灿烂；启发；放射；使某物生辉
vi. 照射"
sporadic,adj. 零星的；分散的；不定时发生的
deplore,vt. 谴责；悲悼；哀叹；对…深感遗憾
harass,vt. 使困扰；使烦恼；反复袭击
vicinity,n. 邻近，附近；近处
dwell,vi. 居住；存在于；细想某事
arbitrate,vt. 仲裁；公断
dormant,adj. 休眠的；静止的；睡眠状态的；隐匿的
fiddling,"n. 诈骗
adj. 无用的；无足轻重的；微不足道的（等于fiddly）
v. 拉小提琴；虚度时光（fiddle的ing形式）"
harbinger,"n. 先驱；前兆；预告者
vt. 预告；充做…的前驱"
imperceptible,adj. 感觉不到的；极细微的
inestimable,adj. 无价的；难以估计的
mercantile,"adj. 商业的；商人的；重商主义的
n. 商品"
horrendous,adj. 可怕的；惊人的
understate,"vt. 少说，少报；保守地说；有意轻描淡写
vi. 保守地说；有意轻描淡写"
gape,"n. 裂口，张嘴；呵欠
vi. 裂开，张开；打呵欠"
impound,vt. 没收；拘留；将…关在圈中
commit,vt. 犯罪，做错事；把...交托给；指派…作战；使…承担义务
expedite,"vt. 加快；促进；发出
adj. 畅通的；迅速的；方便的"
