technology,n. 技术；工艺；术语
allergic,adj. 对…过敏的；对…极讨厌的
allocate,"vt. 分配；拨出；使坐落于
vi. 分配；指定"
allot,vt. 分配；拨给；分派
alloy,"n. 合金
vt. 使成合金；使减低成色
vi. 易于铸成合金"
apt,adj. 恰当的；有…倾向的；灵敏的
arena,n. 舞台；竞技场
articulate,"adj. 发音清晰的；口才好的；有关节的
vt. 清晰地发（音）；明确有力地表达；用关节连接；使相互连贯
vi. 发音；清楚地讲话；用关节连接起来
n. 有节体的动物"
ascend,"vi. 上升；登高；追溯
vt. 攀登，上升"
ascribe,vt. 归因于；归咎于
baffle,"n. 挡板；困惑
vt. 使…困惑；使…受挫折；用挡板控制
vi. 做徒劳挣扎"
besiege,vt. 围困；包围；烦扰
bleak,adj. 阴冷的；荒凉的，无遮蔽的；黯淡的，无希望的；冷酷的；单调的
breach,"n. 违背，违反；缺口
vt. 违反，破坏；打破"
brink,n. （峭壁的）边缘
brisk,"adj. 敏锐的，活泼的，轻快的；凛冽的
vt. 使……活泼；使……轻快；使……兴旺
vi. 活跃起来；变得轻快"
buzz,"n. 嗡嗡声
vt. 使嗡嗡叫；暗中散布
vi. 作嗡嗡声；东奔西忙
n. 网络口碑（消费者或网民对于品牌、产品等广告主在乎的事情在网上发出的各种声音）"
canoe,"n. 独木舟；轻舟
vi. 乘独木舟
vt. 用独木舟运"
canvas,"n. 帆布
adj. 帆布制的
vt. 用帆布覆盖，用帆布装备"
cape,n.  海角，岬；披肩
capsule,"n. 胶囊； 蒴果；太空舱；小容器
adj. 压缩的；概要的
vt. 压缩；简述"
caption,"n. 标题；字幕；说明；逮捕
vt. 加上说明；加上标题"
carving,"n. 雕刻；雕刻品；雕刻术
v. 雕刻（carve的ing形式）"
chamber,"n. （身体或器官内的）室，膛；房间；会所
adj. 室内的；私人的，秘密的
vt. 把…关在室内；装填（弹药等）"
cluster,"n. 群；簇；丛；串
vt. 使聚集；聚集在某人的周围
vi. 群聚；丛生"
comic,"n. 连环漫画；喜剧演员；滑稽人物
adj. 喜剧的；滑稽的；有趣的"
commend,"vt. 推荐；称赞；把…委托
vi. 称赞；表扬"
compress,"vt. 压缩，压紧；精简
vi. 受压缩小"
concede,"vi. 让步
vt. 承认；退让；给予，容许"
concise,adj. 简明的，简洁的
coral,"n. 珊瑚；珊瑚虫
adj. 珊瑚的；珊瑚色的"
credible,adj. 可靠的，可信的
cuisine,n. 烹饪，烹调法
denote,vt. 表示，指示
denounce,vt. 谴责；告发；公然抨击；通告废除
derail,"n. 脱轨； 脱轨器
vt. 使出轨
vi. 出轨"
designate,"vt. 指定；指派；标出；把…定名为
adj. 指定的；选定的"
destiny,n. 命运，定数，天命
detach,vt. 分离；派遣；使超然
deter,vt. 制止，阻止；使打消念头
devour,v. 吞食；毁灭
disperse,"vt. 分散；使散开；传播
adj. 分散的
vi. 分散"
displace,vt. 取代；置换；转移；把…免职；排水
divert,"vt. 转移；使…欢娱；使…转向
vi. 转移"
dome,"n. 圆屋顶
vi. 成圆顶状
vt. 加圆屋顶于…上"
dread,"n. 恐惧；可怕的人（或物）
vt. 惧怕；担心
adj. 可怕的
vi. 惧怕；担心"
dressing,"n. 穿衣；加工；调味品；装饰；梳理
v. 给…穿衣；为…打扮（dress的现在分词）"
dub,"n. 笨蛋；鼓声
vt. 配音；轻点；打击；授予称号"
dwarf,"n. 侏儒，矮子
adj. 矮小的
vi. 变矮小
vt. 使矮小"
ego,n. 自我；自负；自我意识
elaborate,"adj. 精心制作的；详尽的；煞费苦心的
vi. 详细描述；变复杂
vt. 精心制作；详细阐述；从简单成分合成（复杂有机物）"
elicit,vt. 抽出，引出；引起
eminent,adj. 杰出的；有名的；明显的
endeavour,"n. 尽力，竭力
vi. 竭力；企图
vt. 竭力做到，试图或力图（做某事）"
endeavor,"n. 努力；尽力（等于endeavour）
vi. 努力；尽力（等于endeavour）
vt. 努力；尽力（等于endeavour）"
envelop,"n. 信封；包裹
vt. 包围；包封；遮盖"
equation,n. 方程式，等式；相等； 反应式
erode,"vt. 腐蚀，侵蚀
vi. 侵蚀；受腐蚀"
etiquette,n. 礼节，礼仪；规矩
evade,"vt. 逃避；规避；逃脱
vi. 逃避；规避；逃脱"
exempt,"n. 免税者；被免除义务者
adj. 被免除的；被豁免的
vt. 免除；豁免"
flatter,vt. 奉承；谄媚；使高兴
fracture,"n. 破裂，断裂； 骨折
vt. 使破裂
vi. 破裂；折断"
fragile,adj. 脆的；易碎的
friction,n. 摩擦， 摩擦力
galaxy,"n. 银河； 星系；银河系；一群显赫的人
n. 三星智能手机品牌 2015年三星中国公布Galaxy的中文名称为“盖乐世”（Galaxy）
"
glamour,"n. 魅力，魔力；迷人的美
vt. 迷惑，迷住"
grim,adj. 冷酷的；糟糕的；残忍的
groan,"n. 呻吟；叹息；吱嘎声
vt. 呻吟；抱怨
vi. 呻吟；抱怨；发吱嘎声"
grope,"n. 摸索；触摸
vt. 摸索
vi. 摸索；探索"
herald,"n. 预兆，征兆；先驱；传令官；报信者
vt. 通报；预示…的来临"
huddle,"n. 拥挤；混乱；杂乱一团
vt. 把...挤在一起；使缩成一团；草率了事
vi. 蜷缩；挤作一团"
humidity,n.  湿度；湿气
hurricane,n. 飓风，暴风
ignite,"vt. 点燃；使燃烧；使激动
vi. 点火；燃烧"
immerse,vt. 沉浸；使陷入
impetus,n. 动力；促进；冲力
inertia,n.  惯性；惰性，迟钝；不活动
insulate,vt. 隔离，使孤立；使绝缘，使隔热
invert,"n. 颠倒的事物；倒置物；倒悬者
adj. 转化的
vt. 使…转化；使…颠倒；使…反转；使…前后倒置"
jack,"n. 千斤顶； 插座；男人
adj. 雄的
vt. 增加；提醒；抬起；用千斤顶顶起某物"
lavish,"adj. 浪费的；丰富的；大方的
vt. 浪费；慷慨给予；滥用"
lever,"n. 杠杆；控制杆
vt. 用杠杆撬动；把…作为杠杆
vi. 用杠杆撬"
levy,"n. 征收；征兵，征税
vt. 征收（税等）；征集（兵等）
vi. 征税；征兵"
linger,"vi. 徘徊；苟延残喘；磨蹭
vt. 消磨；缓慢度过"
lofty,adj. 高的；崇高的；高级的；高傲的
lottery,n. 彩票；碰运气的事，难算计的事；抽彩给奖法
lure,"n. 诱惑；饵；诱惑物
vt. 诱惑；引诱"
mar,"vt. 损毁；损伤；糟蹋；玷污
n. 污点；瑕疵"
maritime,adj. 海的；海事的；沿海的；海员的
mediate,"vi. 调解；斡旋；居中
vt. 调停；传达
adj. 间接的；居间的"
mindset,n. 心态；倾向；习惯；精神状态
moan,"vi. 抱怨，悲叹；呻吟
n. 呻吟声；悲叹
vt. 抱怨；呻吟着说"
monarch,n. 君主，帝王；最高统治者
morale,n. 士气，斗志
mow,"n. 草堆；皱眉；谷堆
vt. 割草；收割庄稼
vi. 割草；收割庄稼"
mutter,"vi. 咕哝；喃喃自语
vt. 咕哝；抱怨地说；低声含糊地说
n. 咕哝；喃喃低语"
naive,"adj. 天真的,幼稚的"
nominal,"adj. 名义上的；有名无实的； 票面上的
n.  名词性词"
nurture,"vt. 养育；鼓励；培植
n. 养育；教养；营养物"
oath,n. 誓言，誓约；诅咒，咒骂
offset,"n. 抵消，补偿；平版印刷；支管
vt. 抵消；弥补；用平版印刷术印刷
vi. 装支管"
oppress,vt. 压迫，压抑；使……烦恼；使……感到沉重
ordeal,n. 折磨；严酷的考验；痛苦的经验
overhaul,"vt. 分解检查，大修；追上并超过
n. 彻底检修，详细检查"
overlap,"n. 重叠；重复
vi. 部分重叠；部分的同时发生
vt. 与…重叠；与…同时发生"
pant,"n. 气喘；喘息；喷气声
vt. 气喘
vi. 喘息；渴望；气喘吁吁地说出某事"
patron,n. 赞助人；保护人；主顾
pending,"prep. 在…期间；直到…时为止；在等待…之际
v. 待定；悬而不决（pend的ing形式）
adj. 未决定的；行将发生的"
perish,"vi. 死亡；毁灭；腐烂；枯萎
vt. 使麻木；毁坏"
pharmacy,n. 药房；配药学，药剂学；制药业；一批备用药品
plateau,"n. 高原
n.   普拉托
n. （活动或进程中的）稳定阶段，停滞时期
adj. 高原印第安人的"
plight,"n. 困境；境况；誓约
vt. 保证；约定"
ponder,"vi. 考虑；沉思
vt. 仔细考虑；衡量"
prey,"n. 捕食；牺牲者；被捕食的动物
vi. 捕食；掠夺；折磨"
prop,"vt. 支撑，支持，维持；使倚靠在某物上
n. 支柱，支撑物；支持者；道具；（橄榄球中的）支柱前锋"
prosper,"vi. 繁荣，昌盛；成功
vt. 使……成功；使……昌盛；使……繁荣"
query,"n. 疑问，质问；疑问号 ； 查询
vi. 询问；表示怀疑
vt. 询问；对……表示疑问"
radiate,"adj. 辐射状的，有射线的
vi. 辐射；流露；发光；从中心向各方伸展
vt. 辐射；传播；流露；发射；广播"
reassure,vt. 使…安心，使消除疑虑
reckless,adj. 鲁莽的，不顾后果的；粗心大意的
rectify,vt. 改正；精馏；整流
refund,"n. 退款；偿还，偿还额
vt. 退还；偿还；付还
vi. 退还；偿还，归还"
refute,vt. 反驳，驳斥；驳倒
renowned,"v. 使有声誉（renown的过去分词）
adj. 著名的；有声望的"
repress,"vt. 抑制；镇压（叛乱等）；约束
vi. 抑制；镇压"
reshuffle,"n. 重新洗牌；改组
vt. 重新洗牌；改组；重作安排"
restless,adj. 焦躁不安的；不安宁的；得不到满足的
revolt,"n. 反抗；叛乱；反感
vt. 使反感；使恶心
vi. 反抗；反叛；反感，厌恶"
rig,"n. 装备；钻探设备；服装； 帆装
vt. 操纵；装配；装扮；装上索具"
rigor,n. 严厉；精确；苛刻；僵硬
ritual,"n. 仪式；惯例；礼制
adj. 仪式的；例行的；礼节性的"
rot,"n. 腐烂；腐败；腐坏
vt. 使腐烂；使腐朽；使堕落
vi. 腐烂；腐败；堕落
int. （表示厌恶、蔑视、烦恼等）胡说；糟了"
rust,"n. 锈；生锈； 锈病
vt. 使生锈；腐蚀
vi. 生锈；成铁锈色；变迟钝"
sacred,adj. 神的；神圣的；宗教的；庄严的
safeguard,"n.  保护；保卫；保护措施
vt.  保护，护卫"
salmon,"n. 鲑鱼；大马哈鱼；鲑肉色；鲑鱼肉；橙红色，粉橙色
adj. 浅澄色的"
salvage,"n. 打捞；海上救助；抢救财货；救难的奖金
vt. 抢救；海上救助"
scrape,"n. 刮掉；擦痕；困境；刮擦声
vt. 刮；擦伤；挖成
vi. 刮掉；刮出刺耳声"
scrutiny,n. 详细审查；监视；细看；选票复查
sensation,n. 感觉；轰动；感动
shark,"n. 鲨鱼；骗子
vt. 敲诈
vi. 诈骗"
shepherd,"n. 牧羊人；牧师；指导者
vt. 牧羊；带领；指导；看管"
showcase,"n. 陈列橱， 陈列柜；显示优点的东西
vt. 使展现；在玻璃橱窗陈列"
shred,"n. 碎片；少量剩余；最少量；破布
vi. 撕碎
vt. 切成条状；用碎纸机撕毁"
sniff,"vt. 嗅；闻；用力吸；发觉
vi. 嗅；嗤之以鼻
n. 吸，闻；嗤之以鼻；气味；以鼻吸气；吸气声"
sodium,n.  钠（11号元素，符号 Na）
solicit,"vt. 征求；招揽；请求；乞求
vi. 征求；招揽；恳求；请求"
soothe,"vt. 安慰；使平静；缓和
vi. 起抚慰作用"
sprawl,"n. 蔓生；伸开手足躺卧姿势
vt. 懒散地伸开；使蔓生
vi. 蔓延；伸开手足躺；无计划地扩展"
stagger,"n. 蹒跚；交错安排
vt. 蹒跚；使交错；使犹豫
adj. 交错的；错开的
vi. 蹒跚；犹豫"
stalk,"n. （植物的）茎，秆；（支持叶子、果实和花的）梗，柄；追踪；高视阔步
vt. 追踪，潜近；高视阔步
vi. 高视阔步地走；潜近，偷偷接近"
stark,"adj. 完全的；荒凉的；刻板的；光秃秃的；朴实的
adv. 完全；明显地；突出地；质朴地"
strand,"n. 线；串；海滨
vt. 使搁浅；使陷于困境；弄断；使落后
vi. 搁浅"
stumble,"n. 绊倒；蹒跚而行
vi. 踌躇，蹒跚；失足；犯错
vt. 使…困惑；使…绊倒"
submerge,"vt. 淹没；把…浸入；沉浸
vi. 淹没；潜入水中；湮没"
subordinate,"n. 下属，下级；部属，属下
adj. 从属的；次要的
vt. 使……居下位；使……服从"
swamp,"vt. 使陷于沼泽；使沉没；使陷入困境
n. 沼泽；湿地
vi. 下沉；陷入沼泽；陷入困境；不知所措（过去式swamped，过去分词swamped，现在分词swamping，第三人称单数swamps，名词swampiness，形容词swampy）"
tack,"n. 大头钉；粗缝；行动方针；食物
vt. 附加；以大头针钉住
vi. 抢风航行；作文字形移动"
tan,"vi. 晒成棕褐色
adj. 黄褐色的；鞣皮的
n. （日晒后皮肤的）黝黑色；棕褐色；鞣料；马戏团
vt. 鞣（革）；晒成褐色"
tease,"vt. 取笑；戏弄；梳理；欺负；强求；使起毛
n. 戏弄；爱纠缠的小孩；挑逗者；卖弄风骚的女孩
vi. 取笑"
tenant,"n. 承租人；房客；佃户；居住者
vt. 租借（常用于被动语态）"
thermal,"n. 上升的热气流
adj. 热的；热量的；保热的"
thrift,n. 节俭；节约； 海石竹
trauma,n.  创伤（由心理创伤造成精神上的异常）；外伤
tribe,n. 部落；族；宗族；一伙
trickle,"n. 滴，淌；细流
vt. 使…滴；使…淌；使…细细地流
vi. 滴；细细地流；慢慢地移动"
trim,"n. 修剪；整齐；情形
vt. 修剪；整理；装点
adj. 整齐的
vi. 削减"
trophy,"n. 奖品；战利品；纪念品
vt. 用战利品装饰
adj. 显示身份的；有威望的"
tub,"n. 浴盆；桶
vt. 把…装入桶；为…洗盆浴
vi. 洗盆浴；（衣服等）被放在桶里洗"
ultra,"n. 极端主义者；过激论者；急进论者
adj. 极端的；过分的"
unfold,"vi. 展开；显露
vt. 打开；呈现"
uphold,vt. 支撑；鼓励；赞成；举起
vaccinate,"vt. 给…注射疫苗
vi. 接种疫苗
n. 被接种牛痘者"
vaccine,"n. 疫苗；牛痘苗
adj. 疫苗的；牛痘的"
vent,"n. （感情的）发泄；出口；通风孔
vt. 发泄感情；放出…；给…开孔
vi. 放出；（通过排泄等）减轻压力"
versatile,adj. 多才多艺的；通用的，万能的；多面手的
vice,"prep. 代替
n. 恶习；缺点； 老虎钳；卖淫
adj. 副的；代替的
vt. 钳住"
vicious,adj. 恶毒的；恶意的；堕落的；有错误的；品性不端的；剧烈的
whereby,adv. 凭借；通过…；借以；与…一致
wither,"vi. 枯萎；凋谢；衰弱
vt. 使凋谢；使畏缩；使衰弱"
yearn,vi. 渴望，向往；思念，想念；怀念；同情，怜悯
zip,"n. 拉链; 精力，活力; 尖啸声; 一种程序压缩格式
vt. 给予…速度; 用拉链拉上或扣上
vt.& vi. 尖啸而过; （使沿某方向）快速移动"
