ability,n. 能力，能耐；才能
diamond,"n. 钻石，金刚石；菱形；方块牌
adj. 菱形的；金刚钻的"
diary,n. 日志，日记；日记簿
dictionary,n. 字典；词典
diet,"n. 饮食；食物；规定饮食
vt.  照规定饮食
vi. 节食"
difference,n. 差异；不同；争执
different,adj. 不同的；个别的，与众不同的
difficult,adj. 困难的；不随和的；执拗的
difficulty,n. 困难，困境
dig,"n. 戳，刺；挖苦
vi. 挖掘
vt. 挖，掘；探究"
dinner,n. 晚餐，晚宴；宴会；正餐
diploma,"n. 毕业证书，学位证书；公文，文书；奖状
vt. 发给…毕业文凭"
diplomat,n. 外交家，外交官；有外交手腕的人；处事圆滑机敏的人
direction,n. 方向；指导；趋势；用法说明
directly,"conj. 一…就
adv. 直接地；立即；马上；正好地；坦率地"
director,n. 主任，主管；导演；人事助理
directory,"n.  目录；工商名录；姓名地址录
adj. 指导的；咨询的"
dirty,"adj. 下流的，卑鄙的；肮脏的；恶劣的；暗淡的
vt. 弄脏
vi. 变脏"
disabled,"adj. 残废的，有缺陷的
v. 使…失去能力（disable的过去分词）"
disappear,"vi. 消失；失踪；不复存在
vt. 使…不存在；使…消失"
disappoint,vt. 使失望
disco,n. 迪斯科舞厅；的士高
discover,"vi. 发现
vt. 发现；发觉"
discovery,n. 发现，发觉；被发现的事物
discuss,vt. 讨论；论述，辩论
discussion,n. 讨论，议论
disease,"n. 病， 疾病；弊病
vt. 传染；使…有病"
dish,"n. 盘；餐具；一盘食物；外貌有吸引力的人
vt. 盛于碟盘中；分发；使某人的希望破灭；说（某人）的闲话
vi. 成碟状；闲谈"
dislike,"n. 嫌恶，反感，不喜爱
vt. 不喜欢，厌恶"
disorder,"n. 混乱；骚乱
vt. 使失调；扰乱"
distance,"n. 距离；远方；疏远；间隔
vt. 疏远；把…远远甩在后面"
distant,adj. 遥远的；冷漠的；远隔的；不友好的，冷淡的
district,n. 区域；地方；行政区
dive,"n. 潜水；跳水；俯冲；扑
vi. 潜水；跳水；俯冲；急剧下降"
divide,"n.  分水岭，分水线
vt. 划分；除；分开；使产生分歧
vi. 分开；意见分歧"
divorce,"n. 离婚；分离
vt. 使离婚，使分离；与…离婚
vi. 离婚"
DNA,abbr. 脱氧核糖核酸（deoxyribonucleic acid）；（美国）国防部核子局 （Defense Nuclear Agency）
dock,"n. 码头；船坞；被告席；尾巴的骨肉部分
vt. 使靠码头；剪短
vi. 入船坞"
doctor,"vt. 修理；篡改，伪造；为…治病；授以博士学位
n. 医生；博士
vi. 就医；行医"
document,"n. 文件，公文； 文档；证件
vt. 用文件证明"
dog,"n. 狗；丑女人；卑鄙的人；(俚)朋友
vt. 跟踪；尾随"
dollar,n. 美元
dolphin,n. 海豚
dome,"n. 圆屋顶
vi. 成圆顶状
vt. 加圆屋顶于…上"
donkey,n. 驴子；傻瓜；顽固的人
door,n. 门；家，户；门口；通道
double,"n. 两倍；双精度型
adj. 双重的；两倍的
vt. 使加倍
adv. 双重地；两倍地；弓身地
vi. 加倍，加倍努力；快步走"
down,"prep. 沿着，往下
n. 软毛，绒毛； 开阔的高地
adj. 向下的
vt. 打倒，击败
adv. 向下，下去；在下面
vi. 下降；下去"
download,vt.  下载
downstairs,"n. 楼下
adj. 楼下的
adv. 在楼下"
downward,"adj. 向下的，下降的
adv. 向下"
dozen,"n. 十二个，一打
adj. 一打的"
drag,"n. 拖；拖累
vi. 拖曳；缓慢而吃力地行进
vt. 拖累；拖拉；缓慢而吃力地行进"
dragon,n. 龙；凶暴的人，凶恶的人；严厉而有警觉性的女人
drama,n. 戏剧，戏剧艺术；剧本；戏剧性事件
dress,"n. 连衣裙；女装
vt. 给…穿衣
vi. 穿衣"
drink,"n. 酒，饮料；喝酒
vt. 喝，饮；吸收；举杯庆贺
vi. 喝酒；饮水；干杯"
drive,"n. 驱动器；驾车； 内驱力，推进力；快车道
vi. 开车；猛击；飞跑
vt. 推动，发动（机器等）；驾驶（马车，汽车等）；驱赶"
driveway,n. （从建筑物，住房，车库等通往大路的）私人车道
driving-licence, 驾驶执照；汽车驾驶执照
driving-license,找不到解释
drop,"n. 滴；落下；空投；微量；滴剂
vt. 滴；使降低；使终止；随口漏出
vi. 下降；终止"
drought,n. 干旱；缺乏
drum,"n. 鼓；鼓声
vi. 击鼓；大力争取
vt. 击鼓；大力争取"
drunk,"v. 喝酒（drink的过去分词）
adj. 喝醉了的"
dry,"n. 干涸
adj. 干的；口渴的；枯燥无味的；禁酒的
vt. 把…弄干
vi. 变干"
dryer,n. 烘干机； 干燥剂
dub,"n. 笨蛋；鼓声
vt. 配音；轻点；打击；授予称号"
duck,"n. 鸭子；鸭肉；（英）宝贝儿；零分
vt. 躲避；猛按…入水
vi. 闪避；没入水中"
duke,n. 公爵，（公国的）君主；公爵（种）樱桃
dull,"adj. 钝的；迟钝的；无趣的；呆滞的；阴暗的
vt. 使迟钝；使阴暗；缓和
vi. 减少；变迟钝"
during,prep. 在…的时候，在…的期间
dusk,"n. 黄昏，薄暮；幽暗，昏暗
vt. 使变微暗
adj. 微暗的
vi. 变微暗"
dust,"n. 灰尘；尘埃；尘土
vt. 撒；拂去灰尘
vi. 拂去灰尘；化为粉末"
dustbin,n. 垃圾箱；吃货
dusty,adj. 落满灰尘的
each,"adj. 每；各自的
pron. 每个；各自
adv. 每个；各自"
eager,adj. 渴望的；热切的；热心的
eagle,n. 鹰；鹰状标饰
ear,"n. 耳朵；穗；听觉；倾听
vi. （美俚）听见；抽穗"
early,"adj. 早期的；早熟的
adv. 提早；在初期"
earn,vt. 赚，赚得；获得，挣得；使得到；博得
earth,"n. 地球；地表，陆地；土地，土壤；尘事，俗事；兽穴
vt. 把（电线） 接地；盖（土）；追赶入洞穴
vi. 躲进地洞"
earthquake,n. 地震；大动荡
east,"n. 东方；东风；东方国家
adj. 东方的；向东的；从东方来的
adv. 向东方，在东方"
Easter,n. 复活节
eastern,"n. 东方人；（美国）东部地区的人
adj. 东方的；朝东的；东洋的"
easy,"adj. 容易的；舒适的
vt. 发出停划命令
adv. 不费力地，从容地
vi. 停止划桨"
easy-going,adj. 随和的，容易相处的
eat,"vt. 吃，喝；腐蚀；烦扰
vi. 进食；腐蚀，侵蚀"
ecological,adj. 生态的，生态学的
ecology,n. 生态学；社会生态学
economic,adj. 经济的，经济上的；经济学的
economics,n. 经济学；国家的经济状况
economy,n. 经济；节约；理财
editor,n. 编者，编辑；社论撰写人；编辑装置
educate,"vt. 教育；培养；训练
vi. 教育；训练"
education,n. 教育；培养；教育学
egg,"n. 蛋；卵子；家伙；鸡蛋
vt. 煽动；怂恿"
eggplant,"n. 茄子
adj. 深紫色的"
eight,"num. 八；八个；第八
n. 八字形
adj. 八的"
eighteen,"n. 十八，十八个
num. 十八
adj. 十八个的，十八的"
eighty,"num. 八十
n. 八十；八十岁；八十年代
adj. 八十的，八十个的；八十岁的"
either,"conj. 也（用于否定句或否定词组后）；根本
prep. 任何一个
adj. 两者之中任一的；两者之中每一的
pron. 任一，两方，随便哪一个；两者中的一个或另一个"
elderly,adj. 上了年纪的；过了中年的；稍老的
elect,"n. 被选的人；特殊阶层；上帝的选民
adj. 选出的；当选的；卓越的
vi. 作出选择；进行选举
vt. 选举；选择；推选"
electric,"n. 电；电气车辆；带电体
adj. 电的；电动的；发电的；导电的；令人震惊的"
electrical,adj. 有关电的；电气科学的
electrician,n. 电工；电气技师
electricity,n. 电力；电流；强烈的紧张情绪
electron,n. 电子
elephant,n. 象；大号图画纸
eleven,"num. 十一；十一个
n. 十一；十一个
adj. 十一的；十一个的"
eleventh,"num. 第十一；十一分之一
n. 第十一；十一分之一
adj. 第十一的；十一分之一的"
else,"adj. 别的；其他的
adv. 其他；否则；另外"
elsewhere,adv. 在别处；到别处
emperor,n. 皇帝，君主
empty,"n. 空车；空的东西
adj. 空的；无意义的；无知的；徒劳的
vt. 使失去；使…成为空的
vi. 成为空的；流空"
enable,vt. 使能够，使成为可能；授予权利或方法
encourage,vt. 鼓励，怂恿；激励；支持
encouragement,n. 鼓励
encyclopedia,n. 百科全书（亦是encyclopaedia）
encyclopaedia,n. 百科全书
end,"n. 结束；目标；尽头；末端；死亡
vi. 结束，终止；终结
vt. 结束，终止；终结"
ending,n. 结局；结尾
enemy,"n. 敌人，仇敌；敌军
adj. 敌人的，敌方的"
energy,n.  能量；精力；活力；精神
England,n. 英格兰
enjoy,vt. 欣赏，享受；喜爱；使过得快活
enough,"n. 很多；充足
adj. 充足的
adv. 足够地，充足地
int. 够了！"
enter,"n.  输入；回车
vt. 进入；开始；参加
vi. 参加，登场；进去"
entire,adj. 全部的，整个的；全体的
envelope,n. 信封，封皮；包膜； 包层；包迹
environment,n. 环境，外界
equal,"n. 对手；匹敌；同辈；相等的事物
adj. 平等的；相等的；胜任的
vt. 等于；比得上"
equator,n. 赤道
equip,vt. 装备，配备
error,n. 误差；错误；过失
especially,adv. 特别；尤其；格外
essay,"n. 散文；试图；随笔
vt. 尝试；对…做试验"
Euro,找不到解释
European,"n. 欧洲人
adj. 欧洲的；欧洲人的"
evening,"n. 晚上；傍晚；（联欢性的）晚会；后期
adj. 在晚上的；为晚上的；晚上用的
int. 晚上好（等于good evening）"
ever,adv. 永远；曾经；究竟
every,adj. 每一的，每个的；每隔…的
everybody,pron. 每个人；人人
everyone,"n. 每个人
pron. 每个人；人人"
everything,pron. 每件事物；最重要的东西；（有关的）一切；万事
everywhere,"n. 每个地方
adv. 到处"
evidence,"n. 证据，证明；迹象；明显
vt. 证明"
exact,"adj. 准确的，精密的；精确的
vt. 要求；强求；急需
vi. 勒索钱财"
exam,n. 考试；测验
examination,n. 考试；检查；查问
examine,"vt. 检查；调查； 检测；考试
vi. 检查；调查"
example,"n. 例子；榜样
vt. 作为…的例子；为…做出榜样
vi. 举例"
excel,"vt. 超过；擅长
vi. (在某方面)胜过(或超过)别人"
excellence,n. 优秀；美德；长处
excellent,adj. 卓越的；极好的；杰出的
excite,"vt. 激起；刺激…，使…兴奋
vi. 激动"
excitement,n. 兴奋；刺激；令人兴奋的事物
exciting,"adj. 令人兴奋的；使人激动的
v. 激动；刺激（excite的ing形式）；唤起"
excuse,"n. 借口；理由
vt. 原谅；为…申辩；给…免去
vi. 作为借口；请求宽恕；表示宽恕"
exercise,"n. 运动；练习；运用；操练；礼拜；典礼
vt. 锻炼；练习；使用；使忙碌；使惊恐
vi. 运动；练习"
exist,vi. 存在；生存；生活；继续存在
expect,"vi. 期待；预期
vt. 期望；指望；认为；预料"
expensive,adj. 昂贵的；花钱的
experience,"n. 经验；经历；体验
vt. 经验；经历；体验"
expert,"n. 专家；行家；能手
adj. 熟练的；内行的；老练的
vt. 当专家；在…中当行家"
explain,v. 说明；解释
export,"n. 输出，出口；出口商品
vt. 输出，出口
vi. 输出物资"
expression,n. 表现，表示，表达；表情，脸色，态度，腔调，声调；式，符号；词句，语句，措辞，说法
expressway,n. （美）高速公路
extra,"n. 临时演员；号外；额外的事物；上等产品
adj. 额外的，另外收费的；特大的
adv. 特别地，非常；另外"
eye,"n. 眼睛；视力；眼光；见解，观点
vt. 注视，看"
eyesight,n. 视力；目力
face,"n. 脸；表面；面子；面容；外观；威信
vi. 向；朝
vt. 面对；面向；承认；抹盖"
facial,"n. 美容，美颜；脸部按摩
adj. 面部的，表面的；脸的，面部用的"
factory,n. 工厂；制造厂；代理店
fail,"n. 不及格
vi. 失败，不及格；破产；缺乏；衰退
vt. 不及格；使失望；忘记；舍弃"
failure,n. 失败；故障；失败者；破产
fair,"n. 展览会；市集；美人
adj. 公平的；美丽的，白皙的； 晴朗的
vi. 转晴
adv. 公平地；直接地；清楚地"
fairly,adv. 相当地；公平地；简直
faith,n. 信仰；信念；信任；忠实
false,"adj. 错误的；虚伪的；伪造的
adv. 欺诈地"
familiar,"n. 常客；密友
adj. 熟悉的；常见的；亲近的"
family,"n. 家庭；亲属；家族；子女；科；语族；族
adj. 家庭的；家族的；适合于全家的"
famine,n. 饥荒；饥饿，奇缺
famous,adj. 著名的；极好的，非常令人满意的
far,"n. 远方
adj. 远的；久远的
adv. 很；遥远地；久远地；到很远的距离；到很深的程度"
farewell,"n. 告别，辞别；再见；再会
adj. 告别的
int. 别了！（常含有永别或不容易再见面的意思）；再会！"
farther,"adj. 进一步的；更远的（far的比较级）
adv. 更远地；此外；更进一步地"
fashion,"n. 时尚；时装；样式；时髦人物
vt. 使用；改变；做成…的形状"
fate,"n. 命运
vt. 注定"
fatty,"n. 胖子
adj. 脂肪的；肥胖的；多脂肪的；脂肪过多的"
fax,找不到解释
fear,"n. 害怕；恐惧；敬畏；担心
vt. 害怕；敬畏；为…担心
vi. 害怕；敬畏；为…担心"
fearful,adj. 可怕的；担心的；严重的
February,n. 二月
feed,"n. 饲料；饲养；（动物或婴儿的）一餐
vt. 喂养；供给；放牧；抚养（家庭等）；靠…为生
vi. 吃东西；流入"
feel,"n. 感觉；触摸
vi. 觉得；摸索
vt. 感觉；认为；触摸；试探"
feeling,"n. 感觉，触觉；感情，情绪；同情
v. 感觉；认为（feel的现在分词）；触摸
adj. 有感觉的；有同情心的；富于感情的"
fellow,"n. 家伙；朋友；同事；会员
adj. 同伴的，同事的；同道的
vt. 使…与另一个对等；使…与另一个匹敌"
fellowship,n. 团体；友谊；奖学金；研究员职位
female,"n. 女人； 雌性动物
adj. 女性的；雌性的；柔弱的，柔和的"
festival,"n. 节日；庆祝，纪念活动；欢乐
adj. 节日的，喜庆的；快乐的"
fever,"n. 发烧，发热；狂热
vt. 使发烧；使狂热；使患热病
vi. 发烧；狂热；患热病"
few,"n. 很少数
adj. 很少的；几乎没有的
pron. 很少"
fiction,n. 小说；虚构，编造；谎言
fifteen,"n. 十五；十五个；十五人组成的橄榄球队
num. 十五
adj. 十五的"
fifth,"num. 第五
n. 第五；五分之一
adj. 第五的；五分之一的"
fifty,"n. 五十；五十个；编号为50的东西
adj. 五十的；五十个的；众多的"
fight,"n. 打架；战斗，斗志
vi. 打架；与…打仗，与…斗争；反对…提案"
figure,"n. 数字；人物；图形；价格；（人的）体形；画像
vt. 计算；认为；描绘；象征
vi. 计算；出现；扮演角色"
filling,"n. 填充；填料
v. 填满；遍及（fill的ing形式）"
finally,adv. 最后；终于；决定性地
finance,"n. 财政，财政学；金融
vt. 负担经费，供给…经费
vi. 筹措资金"
find,"n. 发现
vi. 裁决
vt. 查找，找到；发现；认为；感到；获得"
fine,"n. 罚款
adj. 好的；优良的；细小的，精美的；健康的；晴朗的
vt. 罚款；澄清
adv. 很好地；精巧地"
firewall,"n. 防火墙
vt. 用作防火墙"
firewood,n. 柴火；木柴
fist,"n. 拳，拳头；笔迹；掌握；指标参见号
vt. 紧握；握成拳；用拳打"
five,"num. 五，五个
n. 五，五个；五美元钞票
adj. 五的；五个的"
fix,"n. 困境；方位；贿赂
vt. 使固定；修理；安装；准备
vi. 固定；注视"
flag,"n. 标志；旗子
vt. 标记；插旗
vi. 标记；衰退；枯萎"
flame,"n. 火焰；热情；光辉
v. 焚烧；泛红"
flask,n.  烧瓶；长颈瓶，细颈瓶；酒瓶，携带瓶
flavor,"n. 情味，风味；香料；滋味
vt. 加味于"
flood,"n. 洪水；泛滥；一大批
vt. 淹没；充满；溢出
vi. 涌出；涌进；为水淹没"
flow,"n. 流动；流量；涨潮，泛滥
vt. 淹没，溢过
vi. 流动，涌流；川流不息；飘扬"
flower,"n. 花；精华；开花植物
vt. 使开花；用花装饰
vi. 成熟，发育；开花；繁荣；旺盛"
fluent,adj. 流畅的，流利的；液态的；畅流的
fly,"n. 飞行；苍蝇；两翼昆虫
adj. 敏捷的
vi. 飞；驾驶飞机；飘扬
vt. 飞行；飞越；使飘扬"
fog,"n. 雾；烟雾，尘雾；迷惑
vt. 使模糊；使困惑；以雾笼罩
vi. 被雾笼罩；变模糊"
folk,"n. 民族；人们；亲属（复数）
adj. 民间的"
folklore,n. 民俗学；民间传说；民间风俗
follow,"n. 跟随；追随
vi. 跟随；接着
vt. 跟随；遵循；追求；密切注意，注视；注意；倾听"
