state,"n. 国家；州；情形
adj. 国家的；州的；正式的
vt. 规定；声明；陈述"
reinforce,"n. 加强；加固物；加固材料
vt. 加强，加固；强化；补充
vi. 求援；得到增援；给予更多的支持"
enforce,vt. 实施，执行；强迫，强制
renew,"vt. 使更新；续借；续费；复兴；重申
vi. 更新；重新开始"
sympathy,n. 同情；慰问；赞同
show sympathy for,找不到解释
in sympathy with,"na. 同情；赞成；跟着
 和...一致；赞同；同意"
excel,"vt. 超过；擅长
vi. (在某方面)胜过(或超过)别人"
excess,"n. 超过，超额；过度，过量；无节制
adj. 额外的，过量的；附加的"
excessive,adj. 过多的，极度的；过分的
excellent,adj. 卓越的；极好的；杰出的
excellence,n. 优秀；美德；长处
excel in,"v. 拿手于
 高强；擅长；在……方面很擅长"
excel at,"un. 善于；精通
 擅长于；突出；在某方面很擅长"
forth,adv. 向前，向外；自…以后
set forth,"na. 公开；发行；公布；陈述
 阐明；提出；出发"
back-and-forth,反复地，来回地
and so forth,"na. 等等；云云；“and so on/forth”的变体
 如此等等；诸如此类；诸如此类，如此等等"
frightening,adj. 令人恐惧的；引起突然惊恐的
frustrate,"vt. 挫败；阻挠；使感到灰心
adj. 挫败的；无益的
vi. 失败；受挫"
be frustrated by,找不到解释
be frustrated with,找不到解释
grain,"n. 粮食；颗粒； 谷物；纹理
vt. 使成谷粒
vi. 成谷粒"
inferior,"n. 下级；次品
adj. 差的；自卑的；下级的，下等的"
inferiority,n. 自卑；下属；次等；下部
initiative,"n. 主动权；首创精神
adj. 主动的；自发的；起始的"
initiate,"n. 开始；新加入者，接受初步知识者
vt. 开始，创始；发起；使初步了解
adj. 新加入的；接受初步知识的"
initial,"n. 词首大写字母
adj. 最初的；字首的
vt. 用姓名的首字母签名"
instrument,n. 仪器；工具；乐器；手段；器械
instrumentalist,"n. 工具主义者；乐器演奏家
adj. 工具主义的"
mathematical,adj. 数学的，数学上的；精确的
mathematics,n. 数学；数学运算
mission,"n. 使命，任务；代表团；布道
vt. 派遣；向……传教"
miss,"n. 女士，小姐，年轻未婚女子
vt. 错过，想念，缺（勤）"
commission,"n. 委员会；佣金；犯；委任；委任状
vt. 委任；使服役；委托制作"
emissions-free, 无排放
admission,n. 承认；入场费；进入许可；坦白；录用
submission,n. 投降；提交（物）；服从；（向法官提出的）意见；谦恭
commissioner,n. 理事；委员；行政长官；总裁
poisonous,adj. 有毒的；恶毒的；讨厌的
poisoning,"n. 中毒
v. 毒害（poison的ing形式）"
toxic,adj. 有毒的；中毒的
primitive,"n. 原始人
adj. 原始的，远古的；简单的，粗糙的"
archaic,adj. 古代的；陈旧的；古体的；古色古香的
original,"n. 原件；原作；原物；原型
adj. 原始的；最初的；独创的；新颖的"
humble,"adj. 谦逊的；简陋的；（级别或地位）低下的；不大的
vt. 使谦恭；轻松打败（尤指强大的对手）；低声下气"
printing,n. 印刷；印刷术
blueprint,"n. 蓝图，设计图；计划
vt. 计划；制成蓝图"
print,"n. 印刷业；印花布；印刷字体；印章；印记
vt. 印刷；打印；刊载；用印刷体写；在…印花样
vi. 印刷；出版；用印刷体写"
printout,n.  打印输出；打印出的资料；晒相
printer,n.  打印机；印刷工；印花工
in print,"na. 已出版的；(书等)在出售中的；(书等)尚有供应的
 在印刷中；印出来；在销售中"
rush,"n. 冲进；匆促；急流；灯心草
adj. 急需的
vt. 使冲；突袭；匆忙地做；飞跃
vi. 冲；奔；闯；赶紧；涌现"
gold rush,"n. 淘金热
 淘金潮；淘金记；淘金热潮"
rush through,"v. 匆匆完成
 匆忙做完；快速通过；匆忙通过"
hustle,"n. 推；奔忙；拥挤喧嚷
vt. 催促；猛推；强夺
vi. 赶紧；硬挤过去；骗取财富"
switch,"n. 开关；转换；鞭子
vi. 转换；抽打；换防
vt. 转换；用鞭子等抽打"
switch on,"v. 打开；接通；参见
 开启；合闸；打开开关"
switch off,"na. 不收听(某一广播)
 关掉；切断；关闭"
temper,"n. 脾气；（钢等）回火；性情；倾向
vt. 使回火；锻炼；调和；使缓和
vi. 回火；调和"
temperament,n. 气质，性情，性格；急躁
tone,"n. 语气；色调；音调；音色
vt. 增强；用某种调子说
vi. 颜色调和；呈现悦目色调"
milestone,n. 里程碑，划时代的事件
flagstone,n. 石板； 薄层砂岩
color,"n. 颜色；肤色；颜料；脸色
vt. 粉饰；给...涂颜色；歪曲
vi. 变色；获得颜色"
ultimate,"n. 终极；根本；基本原则
adj. 最终的；极限的；根本的"
ultimately,adv. 最后；根本；基本上
eventually,adv. 最后，终于
terminal,"n. 末端；终点；终端机；极限
adj. 末端的；终点的；晚期的"
violent,adj. 暴力的；猛烈的
turbulent,adj. 骚乱的，混乱的；狂暴的；吵闹的；激流的，湍流的
fierce,adj. 凶猛的；猛烈的；暴躁的
wing,"n. 翼；翅膀；飞翔；派别；侧厅，耳房，厢房
vt. 使飞；飞过；空运；增加…速度；装以翼
vi. 飞行"
party,"n. 政党，党派；聚会，派对；当事人 
vi. 参加社交聚会 "
side,"n. 方面；侧面；旁边
adj. 旁的，侧的
vt. 同意，支持
vi. 支持；赞助；偏袒"
worthy,"n. 杰出人物；知名人士
adj. 值得的；有价值的；配得上的，相称的；可尊敬的；应…的"
noteworthy,adj. 值得注意的；显著的
worth doing sth.,找不到解释
deserve sth.,找不到解释
alcohol,n. 酒精，乙醇
analogy,n. 类比；类推；类似
analogous,adj. 类似的； 同功的；可比拟的
resemblance,n. 相似；相似之处；相似物；肖像
similarity,n. 类似；相似点
anticipate,vt. 预期，期望；占先，抢先；提前使用
anticipation,n. 希望；预感；先发制人；预支
anticipate sb. doing sth.,找不到解释
column,n. 纵队，列；专栏；圆柱，柱形物
commodity,n. 商品，货物；日用品
goods,n. 商品；动产；合意的人；真本领
merchandise,"n. 商品；货物
vt. 买卖；推销
vi. 经商"
confer,"vt. 授予；给予
vi. 协商"
conference,"n. 会议；讨论；协商；联盟；（正式）讨论会；（每年的）大会
vi. 举行或参加（系列）会议"
confer sth. on sb.,找不到解释
confer with, 交换意见；商讨；协商
counsel,"n. 法律顾问；忠告；商议；讨论；决策
vt. 建议；劝告
vi. 商讨；提出忠告"
counseling,"n. 咨询服务
v. 建议；劝告；商讨（counsel的ing形式）"
attorney,n. 律师；代理人；检查官
cultivate,vt. 培养；陶冶；耕作
cultivation,n. 培养；耕作；耕种；教化；文雅
foster,"vt. 培养；养育，抚育；抱（希望等）
adj. 收养的，养育的"
grow,"vi. 发展；生长；渐渐变得…
vt. 使生长；种植；扩展"
activate,"vt. 刺激；使活动；使活泼；使产生放射性
vi. 激活；有活力"
deem,"vt. 认为，视作；相信
vi. 认为，持某种看法；作某种评价"
dentist,"n. 牙科医生
牙医诊所"
deteriorate,"vi. 恶化，变坏
vt. 恶化"
undermine,vt. 破坏，渐渐破坏；挖掘地基
embrace,"n. 拥抱
vt. 拥抱；信奉，皈依；包含
vi. 拥抱"
hug,"n. 拥抱；紧抱；固执
vi. 拥抱；紧抱在一起；挤在一起
vt. 拥抱；紧抱；抱有，坚持"
evaluate,"vt. 评价；估价；求…的值
vi. 评价；估价"
evaluation,n. 评价； 评估；估价；求值
estimate,"n. 估计，估价；判断，看法
vt. 估计，估量；判断，评价
vi. 估计，估价"
glimpse,"n. 一瞥，一看
vt. 瞥见
vi. 瞥见"
catch a glimpse of,"na. 瞥见；看一眼
 瞥一眼；瞥见了；匆匆一瞥"
get a glimpse of,"na. 瞥见；看一眼
 瞥见了；窥见；目睹"
plausible,adj. 貌似可信的，花言巧语的；貌似真实的，貌似有理的
literally,adv. 照字面地；逐字地；不夸张地；正确地；简直
observation,n. 观察；监视；观察报告
outlook,"n. 展望；观点；景色
vt. 比……好看；用目光压倒
vi. 朝外看"
prospect,"n. 前途；预期；景色
vt. 勘探，勘察
vi. 勘探，找矿"
physician,n.  医师；内科医师
surgeon,n. 外科医生
retreat,"n. 撤退；休息寓所；撤退
vt. 退（棋）；使后退
vi. 撤退；退避；向后倾"
retreat from,"v. 放弃；撤退
 从退出；从……退却；避开"
draw back,"v. 后退；远离；退缩；拉开(窗帘)
 收回；退却；缩回"
yield to,"v. 服从；屈服于；弯曲
 对…屈服；顺从；让步"
withdraw,"vt. 撤退；收回；撤消；拉开
vi. 撤退；离开"
slip,"n. 滑，滑倒；片，纸片；错误；下跌；事故
abbr. 串行线路接口协议，是旧式的协议（Serial Line Interface Protocol）
adj. 滑动的；有活结的；活络的
vt. 使滑动；滑过；摆脱；塞入；闪开
vi. 滑动；滑倒；犯错；失足；减退"
pink slip,"n. 解雇通知书
 解雇职工通知单；解雇通知单；解雇的通知"
glide,"vi. 滑翔；滑行；悄悄地走；消逝
vt. 使滑行；使滑动
n. 滑翔；滑行；滑移；滑音"
evade,"vt. 逃避；规避；逃脱
vi. 逃避；规避；逃脱"
stable,"n. 马厩；牛棚
adj. 稳定的；牢固的；坚定的
vt. 赶入马房
vi. 被关在马厩"
substitute,"n. 代用品；代替者
vi. 替代
vt. 代替"
substitute ... for ...,找不到解释
tide,"n. 趋势，潮流；潮汐
vt. 随潮漂流"
via,prep. 渠道，通过；经由
adolescent,"n. 青少年
adj. 青春期的；未成熟的"
anonymous,adj. 匿名的，无名的；无个性特征的
authentic,adj. 真正的，真实的；可信的
chop,"n. 砍；排骨；商标；削球
(俚)丑人
vt. 剁碎；砍"
disposable chopsticks, 一次性筷子；免洗筷；日本竹筷
bang,"n. 刘海；重击；突然巨响
vt. 重击；发巨响
adv. 直接地；砰然地；突然巨响地"
bash,"n. 猛烈的一击，痛击
vt. 猛击，痛击；怒殴"
compel,vt. 强迫，迫使；强使发生
compelling,"adj. 引人注目的；强制的；激发兴趣的
v. 强迫；以强力获得（compel的ing形式）"
oblige,"vt. 迫使；强制；赐，施恩惠；责成；义务
vi. 帮忙；施恩惠"
expel,vt. 驱逐；开除
impel,vt. 推动；驱使；激励
be compelled to,"na. 不得不(做)
 必然；一定会；被迫"
concession,n. 让步；特许（权）；承认；退位
concede sth. to sb.,找不到解释
make a concession to,"na. 对…让步
 对...让步；一个中文词语或英文单词"
make some concessions to,找不到解释
crack,"n. 裂缝；声变；噼啪声
adj. 最好的；高明的
vi. 破裂；爆裂
vt. 使破裂；打开；变声"
cracked,"v. 破裂；崩溃（crack的过去分词）；发沙哑声；失败
adj. 破裂的；声音嘶哑的；精神失常的"
get cracking,"na. 立即行动
 开始做；快点；开始工作"
gape,"n. 裂口，张嘴；呵欠
vi. 裂开，张开；打呵欠"
collapse,"n. 倒塌；失败；衰竭
vt. 使倒塌，使崩溃；使萎陷；折叠
vi. 倒塌；瓦解；暴跌"
float,"n. 彩车，花车；漂流物；浮舟；浮萍
vi. 浮动；飘动，散播；摇摆；付诸实施
vt. 使漂浮；实行"
fond,adj. 喜欢的；温柔的；宠爱的
fondness,n. 爱好；喜爱
be fond of,"v. 爱好
 喜欢；喜爱；喜好"
ideology,n. 意识形态；思想意识；观念学
doctrine,n. 主义；学说；教义；信条
philosophy,n. 哲学；哲理；人生观
imitation,"n. 模仿，仿造；仿制品
adj. 人造的，仿制的"
imitate,vt. 模仿，仿效；仿造，仿制
simulation,n. 仿真；模拟；模仿；假装
miserable,adj. 悲惨的；痛苦的；卑鄙的
deplorable,adj. 可叹的；凄惨的
parcel,"n. 包裹，小包
vt. 打包；捆扎"
part and parcel,"na. 重要部分；(…的)重要部分
 主要部分；重要的部分；不可或缺"
perplex,vt. 使困惑，使为难；使复杂化
perplexed,adj. 困惑的；不知所措的
bewilder,vt. 使迷惑，使不知所措
puzzle,"n. 谜；难题；迷惑
vt. 使…困惑；使…为难；苦思而得出
vi. 迷惑；冥思苦想"
confuse,vt. 使混乱；使困惑
preach,"n. 说教
vt. 说教；讲道；鼓吹；传道；反复灌输
vi. 说教；讲道；鼓吹；宣扬"
interprovincial,adj. 省与省之间的，各省之间的，省际的
admonish,vt. 告诫；劝告
symbol,n. 象征；符号；标志
sign,"n. 迹象；符号；记号；手势；指示牌
vt. 签署；示意
vi. 签署；签名"
synthetic,"n. 合成物
adj. 综合的；合成的，人造的"
articulately,"发音清晰地
善于表达地"
aspire,vi. 渴望；立志；追求
aspire to,"v. 渴望；立志
 追求；渴求；有志于"
betray,vt. 背叛；出卖；泄露（秘密）；露出…迹象
cement,"n. 水泥；接合剂
vt. 巩固，加强；用水泥涂；接合
vi. 粘牢"
displacement,n. 取代，位移； 排水量
replacement,n. 更换；复位；代替者；补充兵员
pronouncement,n. 声明；宣告；公告；判决
comfort,"n. 安慰；舒适；安慰者
vt. 安慰；使（痛苦等）缓和"
discomfort,"n. 不适，不安；不便之处
vt. 使……不舒服；使……不安"
scatter,"n. 分散；散播，撒播
vt. 使散射；使散开，使分散；使散播，使撒播
vi. 分散，散开；散射"
scattered,adj. 分散的；散乱的
disperse,"vt. 分散；使散开；传播
adj. 分散的
vi. 分散"
distribute,vt. 分配；散布；分开；把…分类
deduce,vt. 推论，推断；演绎出
deductible,adj. 可扣除的；可减免的
dumb,adj. 哑的，无说话能力的；不说话的，无声音的
eligible,"n. 合格者；适任者；有资格者
adj. 合格的，合适的；符合条件的；有资格当选的"
fossil,"n. 化石；僵化的事物；顽固不化的人
adj. 化石的；陈腐的，守旧的"
logical,adj. 合逻辑的，合理的；逻辑学的
psychological,adj. 心理的；心理学的；精神上的
technological,adj. 技术的；工艺的
geological,adj. 地质的，地质学的
biological,adj. 生物的；生物学的
pathological,adj. 病理学的；病态的；由疾病引起的（等于pathologic）
astrological,adj. 占星的；占星学的，占星术的
theological,adj. 神学的，神学上的
ecologically,adv. 从生态学的观点看
chronological,adj. 按年代顺序排列的；依时间前后排列而记载的
definite,adj. 一定的；确切的
definitely,adv. 清楚地，当然；明确地，肯定地
definition,n. 定义； 清晰度；解说
indefinite,adj. 不确定的；无限的；模糊的
indefinitely,adv. 不确定地，无限期地；模糊地，不明确地
distinct,adj. 明显的；独特的；清楚的；有区别的
specific,"n. 特性；细节；特效药
adj. 特殊的，特定的；明确的；详细的； 具有特效的"
qualify,"vi. 取得资格，有资格
vt. 限制；使具有资格；证明…合格"
be qualified for,"na. 有…的资格；适于担任…
 胜任；合格的；有资格"
modify,"vt. 修改，修饰；更改
vi. 修改"
bunch,"n. 群；串；突出物
vt. 使成一串；使打褶
vi. 隆起；打褶；形成一串"
a bunch of,"det. 一束
 一群；一堆；一串"
prolong,vt. 延长；拖延
virtue,n. 美德；优点；贞操；功效
virtual,adj.  虚拟的；实质上的，事实上的（但未在名义上或正式获承认）
virtually,adv. 事实上，几乎；实质上
virtuosity,n. 精湛技巧；对艺术品的爱好；艺术爱好者
morality,n. 道德；品行，美德
merit,"n. 优点，价值；功绩；功过
vt. 值得
vi. 应受报答"
participate,"vi. 参与，参加；分享
vt. 分享；分担
"
participation,n. 参与；分享；参股
participatory,adj. 供人分享的；吸引参与的
participate in,"v. 参加；分享
 参与；参加某事；参加例句"
reduction,n. 减少；下降；缩小；还原反应
reduce,"vi. 减少；缩小；归纳为
vt. 减少；降低；使处于；把…分解"
defend,"vi. 保卫；防守
vt. 辩护；防护"
defender,n. 防卫者，守卫者；辩护者；拥护者；卫冕者
defendant,"n. 被告
adj. 辩护的；为自己辩护的"
precise,adj. 精确的；明确的；严格的
precisely,adv. 精确地；恰恰
precision,"n. 精度， 精密度；精确
adj. 精密的，精确的"
accurate,adj. 精确的
remark,"n. 注意；言辞
vt. 评论；觉察
vi. 谈论"
remarkable,adj. 卓越的；非凡的；值得注意的
parliament,n. 议会，国会
parliamentary,adj. 议会的；国会的；议会制度的
the House of Lords,"na. 英国上议院
 上院；贵族院；英国的上议院"
the House of Lords of Britain,找不到解释
the Upper House,找不到解释
the Lower House,找不到解释
the Lower Chamber,找不到解释
congress,n. 国会；代表大会；会议；社交
committee,n. 委员会
commit,vt. 犯罪，做错事；把...交托给；指派…作战；使…承担义务
commitment,n. 承诺，保证；委托；承担义务；献身
community,n. 社区； 群落；共同体；团体
commit oneself to,"na. 委身于
 专心致志于；使自己承担；致力于"
be committed to,"un. 投入；承担；致力于；完全旨在
 忠于某一立场；委身于；被交给"
faulty,adj. 有错误的；有缺点的
fault,"n. 故障； 断层；错误；缺点；毛病；（网球等）发球失误
vt. （通常用于疑问句或否定句）挑剔
vi. 弄错；产生断层"
at fault,"adv. 困惑；不知所措
 有错；有毛病；有责任"
flaw,"n. 瑕疵，缺点；一阵狂风；短暂的风暴；裂缝，裂纹
v. 使生裂缝，使有裂纹；使无效；使有缺陷
vi. 生裂缝；变的有缺陷"
lapse,n. (一时的) 走神，判断错误
defect,"n. 缺点，缺陷；不足之处
vi. 变节；叛变"
drawback,n. 缺点，不利条件；退税
shortcoming,n. 缺点；短处
craftsman,n. 工匠；手艺人；技工
credential,n. 证书；凭据；国书
rational,"n. 有理数
adj. 合理的；理性的"
operational,adj. 操作的；运作的
licence,"n. 许可证，执照；特许
vt. 特许，许可；发给执照"
sanction,"n. 制裁，处罚；认可；支持
vt. 制裁，处罚；批准；鼓励"
consent,"n. 同意；（意见等的）一致；赞成
vi. 同意；赞成；答应"
certify,v. 证明；保证
approve,"vi. 批准；赞成；满意
vt. 批准；赞成；为…提供证据"
occasionally,adv. 偶尔；间或
casually,adv. 随便地；偶然地；临时地
accidentally,adv. 意外地；偶然地
infrequently,adv. 很少发生地；稀少地
randomly,adv. 随便地，任意地；无目的地，胡乱地；未加计划地
substance,n. 物质；实质；资产；主旨
substantial,"n. 本质；重要材料
adj. 大量的；实质的；内容充实的"
substantially,adv. 实质上；大体上；充分地
substantiate,vt. 证实；使实体化
essence,n. 本质，实质；精华；香精
accelerate,"vt. 使……加快；使……增速
vi. 加速；促进；增加"
accelerating,adj. 促进的， 加速的；催化的
accelerated,"v. 加速；促进（accelerate的变形）
adj. 加速的；加快的"
escalate,"vt. 使逐步上升
vi. 逐步增强；逐步升高"
distract,vt. 转移；分心
undistracted,adj. 不分心的，注意力集中的，心神不烦乱的
extract,"n. 汁；摘录；榨出物；选粹
vt. 提取；取出；摘录；榨取"
extravagant,adj. 奢侈的；浪费的；过度的；放纵的
entertainment,n. 娱乐；消遣；款待
entertainer,n. 演艺人员，表演者
entertaining,"v. 款待（entertain的ing形式）
adj. 令人愉快的"
fatal,adj. 致命的；重大的；毁灭性的；命中注定的
be doomed to, 注定；注定要；注定注定要
be bound to,"v. 一定要；决心
 必定；注定；一定会"
be destined to, 注定；注定要；注定的
predict,"vi. 作出预言；作预料，作预报
vt. 预报，预言；预知"
prophet,n. 先知；预言者；提倡者
cast,"n. 投掷，抛；铸件， 铸型；演员阵容；脱落物
vt. 投，抛；计算；浇铸；投射（光、影、视线等）
vi. 投，抛垂钓鱼钩；计算，把几个数字加起来"
forecaster,n. 预报员
foremost,"adj. 最重要的；最先的
adv. 首先；居于首位地"
glow,"n. 灼热；色彩鲜艳；兴高采烈
vi. 发热；洋溢；绚丽夺目"
glowing,"adj. 灼热的；热情洋溢的；鲜艳的
v. 发光；容光焕发（glow的ing形式）；发热"
radiate,"adj. 辐射状的，有射线的
vi. 辐射；流露；发光；从中心向各方伸展
vt. 辐射；传播；流露；发射；广播"
beam,"n. 横梁；光线；电波；船宽； 秤杆
vt. 发送；以梁支撑；用…照射；流露
vi. 照射；堆满笑容"
glitter,"vi. 闪光；闪烁
n. 闪光；灿烂"
incident,"n. 事件，事变；插曲
adj.  入射的；附带的；易发生的，伴随而来的"
incidence,n. 发生率；影响； 入射；影响范围
incidental,"n. 附带事件；偶然事件；杂项
adj. 附带的；偶然的；容易发生的"
episode,n. 插曲；一段情节；插话；有趣的事件
plain,"n. 平原；无格式；朴实无华的东西
adj. 平的；简单的；朴素的；清晰的
adv. 清楚地；平易地"
plateau,"n. 高原
n.   普拉托
n. （活动或进程中的）稳定阶段，停滞时期
adj. 高原印第安人的"
ordinary,"adj. 普通的；平凡的；平常的
n. 普通；平常的人（或事）"
quantity,n. 量，数量；大量；总量
quantitative,adj. 定量的；量的，数量的
readily,adv. 容易地；乐意地；无困难地
reader,n. 读者；阅读器；读物
stimulate,"vi. 起刺激作用；起促进作用
vt. 刺激；鼓舞，激励"
stimulation,n. 刺激；激励，鼓舞
arouse,"vt. 引起；唤醒；鼓励
vi. 激发；醒来；发奋"
motivate,vt. 刺激；使有动机；激发…的积极性
inspire,vt. 激发；鼓舞；启示；产生；使生灵感
textile,"n. 纺织品，织物
adj. 纺织的"
textile industry,"n. 纺织工业
 纺织业；纺织行业；纺织产业"
geology,n. 地质学；地质情况
geologist,n. 地质学家，地质学者
geological,adj. 地质的，地质学的
ingrain,"n. 固有品质；原纱染色；生染的纤维
adj. 生染的；原纱染色的；根深蒂固的
vt. 使…根深蒂固；就…原料染色；生染"
grace,"n. 优雅；恩惠；魅力；慈悲
vt. 使优美"
gravity,n. 重力，地心引力；严重性；庄严
antigravity,n. 无重量； 耐重力；漂浮
hardship,n. 困苦；苦难；艰难险阻
plight,"n. 困境；境况；誓约
vt. 保证；约定"
predicament,n. 窘况，困境；状态
infect,vt. 感染，传染
infection,n. 感染；传染；影响；传染病
irrigation,n. 灌溉； 冲洗；冲洗法
jam,"n. 果酱；拥挤；困境；扣篮
vt. 使堵塞；挤进，使塞满；混杂；压碎
vi. 堵塞；轧住"
block,"n. 块；街区；大厦；障碍物
adj. 成批的，大块的；交通堵塞的
vt. 阻止；阻塞；限制；封盖"
hinder,"vt. 阻碍；打扰
adj. 后面的
vi. 成为阻碍"
hamper,"n. 食盒，食篮；阻碍物
vt. 妨碍；束缚；使困累"
hurdle,"n. 障碍；栏；跳栏
vt. 克服
vi. 克服；跳过"
obstacle,n. 障碍，干扰；妨害物
traffic jam,"n. 堵车；交通阻塞
 交通堵塞；交通拥挤；塞车"
lever,"n. 杠杆；控制杆
vt. 用杠杆撬动；把…作为杠杆
vi. 用杠杆撬"
layer,"n. 层，层次；膜；压条；放置者，计划者
vt. 把…分层堆放；借助压条法；生根繁殖；将（头发）剪成不同层次
vi. 形成或分成层次；通过压条法而生根"
eve,n. 前夕；傍晚；重大事件关头
metropolitan,"adj. 大都市的；大主教辖区的；宗主国的
n. 大城市人；大主教；宗主国的公民"
mild,"adj. 温和的；轻微的；淡味的；文雅的；不含有害物质的的
n. （英国的一种）淡味麦芽啤酒"
mildly,adv. 温和地，和善地；适度地
gentle,"n. 蛆，饵
adj. 温和的；文雅的
vt. 使温和，使驯服"
moderate,"adj. 稳健的，温和的；适度的，中等的；有节制的
vi. 变缓和，变弱
vt. 节制；减轻"
organic,adj.  有机的；组织的；器官的；根本的
organize,"vt. 组织；使有系统化；给予生机；组织成立工会等
vi. 组织起来；成立组织"
disorganized,adj. 紊乱的；无组织的
organism,n. 有机体；生物体；微生物
organization,n. 组织；机构；体制；团体
organizational,adj. 组织的；编制的
phase,"n. 月相
n. （月亮的）盈亏
n. 时期"
pole,找不到解释
the South Pole,"na. 南极
 南极点；南极生态；在南极"
prejudice,"n. 偏见；侵害
vt. 损害；使有偏见"
prejudice against, 偏重；对……的偏见；对……偏见
sensation,n. 感觉；轰动；感动
sensational,adj. 轰动的；耸人听闻的；非常好的；使人感动的
sensible,"n. 可感觉到的东西; 敏感的人;
adj. 明智的; 通情达理的; 合乎情理的; 意识到的，能感觉到的;"
undertake,vt. 承担，保证；从事；同意；试图
suspicious,adj. 可疑的；怀疑的；多疑的
suspicion,"n. 怀疑；嫌疑；疑心；一点儿
vt. 怀疑"
suspiciously,adv. 怀疑地；猜疑地
susceptible,"n. 易得病的人
adj. 易受影响的；易感动的；容许…的"
skeptical,adj. 怀疑的；怀疑论的，不可知论的
questionable,adj. 可疑的；有问题的
triumph,"n. 胜利，凯旋；欢欣
vi. 获得胜利，成功"
fiasco,n. 惨败
vain,adj. 徒劳的；自负的；无结果的；无用的
abuse,"n. 滥用；虐待；辱骂；弊端；恶习，陋习
vt. 滥用；虐待；辱骂"
substance abuse,"na. (对烟,酒,毒品等的)难戒除的瘾
 物质滥用；药物滥用；滥用药物"
abuse one's authority, 滥用职权；滥用权利；滥用权力
acquaint,vt. 使熟悉；使认识
acquaintance,n. 熟人；相识；了解；知道
be acquainted with,"na. 了解；与…相识
 熟悉；开始认识；开始了解"
agent,"n. 代理人，代理商；药剂；特工
adj. 代理的
vt. 由…作中介；由…代理"
agency,n. 代理，中介；代理处，经销处
burst,"n. 爆发，突发；爆炸
vt. 爆发，突发；爆炸
vi. 爆发，突发；爆炸"
burst into,"na. 闯进；突然…起来
 闯入；突然发作；突然闯入"
break into,"na. 闯进；拦(别人话头)；侵占(别人时间等)；突然…起来
 闯入；破门而入；强行进入"
outbreak,"n. （战争的）爆发；（疾病的）发作
vi. 爆发"
compensation,n. 补偿；报酬；赔偿金
compensate for,"v. 补偿；抵偿
 赔偿；弥补；补偿损失"
coordinate,"n. 坐标；同等的人或物
vt. 调整；整合
adj. 并列的；同等的
vi. 协调"
cooperate,vi. 合作，配合；协力
coordinated,"adj. 协调的
vt. 调整；使调和（coordinate的过去分词）；调节；整理"
discern,"vt. 识别；领悟，认识
vi. 看清楚，辨别"
distinguish,"vi. 区别，区分；辨别
vt. 区分；辨别；使杰出，使表现突出"
dull,"adj. 钝的；迟钝的；无趣的；呆滞的；阴暗的
vt. 使迟钝；使阴暗；缓和
vi. 减少；变迟钝"
dullness,n. 迟钝，钝度
eyebrow,"n. 眉毛
v. 为…描眉；用皱眉蹙额迫使"
harbor,"n. 海港；避难所
vt. 庇护；怀有
vi. 居住，生存；入港停泊；躲藏"
Pearl Harbor,"n. 珍珠港
 珍珠港事件；有珍珠港；偷袭珍珠港"
shelter,"n. 庇护；避难所；遮盖物
vt. 保护；使掩蔽
vi. 躲避，避难"
shield,"n. 盾；防护物；保护者
vt. 遮蔽；包庇；避开；保卫
vi. 防御；起保护作用"
molecule,n.  分子；微小颗粒，微粒
offspring,n. 后代，子孙；产物
posterity,n. 子孙，后裔；后代
heir,n.  继承人；后嗣；嗣子
descendant,"n. 后裔；子孙
adj. 下降的；祖传的"
orbit,"n. 轨道；眼眶；势力范围；生活常规
vi. 盘旋；绕轨道运行
vt. 绕…轨道而行"
orbital,adj. 轨道的；眼窝的
portion,"n. 部分；一份；命运
vt. 分配；给…嫁妆"
ratio,n. 比率，比例
protein,"n. 蛋白质；朊
adj. 蛋白质的"
proportion,"n. 比例，占比；部分；面积；均衡
vt. 使成比例；使均衡；分摊"
resent,vt. 怨恨；愤恨；厌恶
resentment,n. 愤恨，怨恨
repent of, 后悔；抱憾
sake,n. 目的；利益；理由；日本米酒
forsake,vt. 放弃；断念
for the sake of,"adv. 为了…起见
 为了…的利益；为了…的目的；为了…的缘故"
shrink,"vi. 收缩；畏缩
n. 收缩；畏缩；<俚>精神病学家
vt. 使缩小，使收缩"
shrinkage,n. 收缩；减低
sketch,"n. 素描；略图；梗概
vt. 画素描或速写
vi. 画素描或速写"
petrol,n. （英）汽油
patrol,"n. 巡逻；巡逻队；侦察队
vt. 巡逻；巡查
vi. 巡逻；巡查"
superficial,adj. 表面的；肤浅的 ；表面文章的；外表的；（人）浅薄的
shallow,"n.  浅滩
adj. 浅的；肤浅的
vt. 使变浅
vi. 变浅"
therapy,n. 治疗，疗法
therapist,n. 临床医学家；治疗学家
music therapy,"un. 音乐疗法
 音乐治疗；音乐治疗法；音乐理疗"
affiliate,"n. 联号；隶属的机构等
vt. 使附属；接纳；使紧密联系
vi. 参加，加入；发生联系"
affiliation,n. 友好关系；加入；联盟；从属关系
be affiliated to,"附属于…,加入…"
be attached to,"na. 爱上；隶属于
 附属于；依恋；爱慕"
agitate,"vt. 摇动；骚动；使…激动
vi. 煽动"
agitated,"v. 焦虑；鼓动（agitate的过去分词）
adj. 激动的；焦虑的；表现不安的"
irritate,"vt. 刺激，使兴奋；激怒
vi. 引起恼怒，引起不愉快"
