complete,"adj. 完整的；完全的；彻底的
vt. 完成"
endure,"vt. 忍耐；容忍
vi. 忍耐；持续"
endurance,n. 忍耐力；忍耐；持久；耐久
grace,"n. 优雅；恩惠；魅力；慈悲
vt. 使优美"
graceful,adj. 优雅的；优美的
disgraceful,adj. 不名誉的，可耻的
grateful,adj. 感谢的；令人愉快的，宜人的
gratitude,n. 感谢（的心情）；感激
naked,adj. 裸体的；无装饰的；无证据的；直率的
ore,n. 矿；矿石
penetrate,"vi. 渗透；刺入；看透
vt. 渗透；穿透；洞察"
quiver,"n. 颤抖；箭袋；震动
vi. 颤抖；振动
vt. 使…颤动；抖动"
rod,n. 棒；惩罚；枝条；权力
shove,"n. 推；挤
vt. 挤；强使；撞；猛推"
slogan,n. 标语；呐喊声
sponge,"n. 海绵；海绵状物
vt. 抹掉；用海绵擦拭；讨得
vi. 采集海绵；过寄生生活；海绵般地吸收"
therapy,n. 治疗，疗法
tropical,adj. 热带的；热情的；酷热的
weird,"n. （苏格兰）命运；预言
adj. 怪异的；不可思议的；超自然的"
alphabet,"n. 字母表，字母系统；入门，初步
n. Google创建的名为Alphabet的公司，改变Google原有公司架构，旨在使其当下主要业务和长期投资项目间的区别更加清晰。"
awkward,adj. 尴尬的；笨拙的；棘手的；不合适的
blade,n. 叶片；刀片，刀锋；剑
bull,"n. 公牛；看好股市者；粗壮如牛的人；胡说八道；印玺
adj. 大型的；公牛似的；雄性的
vt. 企图抬高证券价格；吓唬；强力实现
vi. 价格上涨；走运；猛推；吹牛"
coastal,adj. 沿海的；海岸的
crown,"n. 王冠；花冠；王权；顶点
vt. 加冕；居…之顶；表彰；使圆满完成"
legal,adj. 法律的；合法的；法定的；依照法律的
illegal,"n. 非法移民，非法劳工
adj.  非法的；违法的；违反规则的"
legislation,n. 立法；法律
legislator,n. 立法者
horrible,adj. 可怕的；极讨厌的
horror,n. 惊骇；惨状；极端厌恶；令人恐怖的事物
terrible,"adj. 可怕的；很糟的；令人讨厌的
adv. 很，非常"
terror,n. 恐怖；恐怖行动；恐怖时期；可怕的人
territory,n. 领土，领域；范围；地域；版图
join,"vt. 参加；结合；连接
vi. 加入；参加；结合
n. 结合；连接；接合点"
conjoin,"vi. 结合；连结
vt. 使结合；使联合"
joint,"n. 关节；接缝；接合处，接合点；（牛，羊等的腿）大块肉
adj. 共同的；连接的；联合的，合办的
vt. 连接，贴合；接合；使有接头
vi. 贴合；生节"
junction,n. 连接，接合；交叉点；接合点
conjunction,n. 结合； 连接词；同时发生
limit,"n. 限制；限度；界线
vt. 限制；限定"
limitation,n. 限制；限度；极限；追诉时效；有效期限；缺陷
limited,"adj. 有限的
n. 高级快车"
eliminate,vt. 消除；排除
preliminary,"n. 准备；预赛；初步措施
adj. 初步的；开始的；预备的"
middle,"adj. 中间的，中部的；中级的，中等的
n. 中间，中央；腰部"
amid,prep. 在其中，在其间
midday,"n. 中午；正午
adj. 正午的"
midnight,"n. 午夜，半夜12点钟
adj. 半夜的；漆黑的"
midweek,"n. 星期三
adj. 星期三的
adv. 在一星期的中间日子"
intermediate,"n.  中间物；媒介
adj. 中间的，中级的
vi. 起媒介作用"
medium,"adj. 中间的，中等的；半生熟的
n. 方法；媒体；媒介；中间物"
media,n. 媒体；媒质（medium的复数）；血管中层；浊塞音；中脉
mediate,"vi. 调解；斡旋；居中
vt. 调停；传达
adj. 间接的；居间的"
moral,"adj. 道德的；精神上的；品性端正的
n. 道德；寓意"
morality,n. 道德；品行，美德
virtue,n. 美德；优点；贞操；功效
virtual,adj.  虚拟的；实质上的，事实上的（但未在名义上或正式获承认）
virtually,adv. 事实上，几乎；实质上
regular,"n. 常客；正式队员；中坚分子
adj. 定期的；有规律的；合格的；整齐的；普通的
adv. 定期地；经常地"
regulate,vt. 调节，规定；控制；校准；有系统的管理
regulation,"n. 管理；规则；校准
adj. 规定的；平常的"
rule,"n. 统治；规则
vt. 统治；规定；管理；裁决；支配
vi. 统治；管辖；裁定"
region,n. 地区；范围；部位
realm,n. 领域，范围；王国
royal,"n. 王室；王室成员
adj. 皇家的；盛大的；女王的；高贵的；第一流的"
royalty,n. 皇室；版税；王权；专利税
proper,"adj. 适当的；本身的；特有的；正派的
adv. 完全地"
propriety,n. 适当；礼节；得体
property,n. 性质，性能；财产；所有权
appropriate,"adj. 适当的；恰当的；合适的
vt. 占用，拨出"
raise,"n. 高地；上升；加薪
vt. 提高；筹集；养育；升起
vi. 上升"
rise,"n. 上升；高地；增加；出现
vt. 使…飞起；使…浮上水面
vi. 上升；增强；起立；高耸"
arise,vi. 出现；上升；起立
rouse,"n. 觉醒；奋起
vt. 唤醒；激起，使振奋；惊起
vi. 醒来；奋起"
arouse,"vt. 引起；唤醒；鼓励
vi. 激发；醒来；发奋"
dialect,"n. 方言，土话；同源语；行话；个人用语特征
adj. 方言的"
electrical,adj. 有关电的；电气科学的
fleet,"n. 舰队；港湾；小河
adj. 快速的，敏捷的
vt. 消磨
vi. 飞逝；疾驰；掠过"
gross,"n. 总额，总数
adj. 总共的；粗野的；恶劣的；显而易见的
vt. 总共收入"
heal,"vt. 治愈，痊愈；和解
vi. 痊愈"
intact,adj. 完整的；原封不动的；未受损伤的
lavatory,n. 厕所，盥洗室
magnificent,adj. 高尚的；壮丽的；华丽的；宏伟的
napkin,n. 餐巾；餐巾纸；尿布
ornament,"n. 装饰； 装饰物；教堂用品
vt. 装饰，修饰"
pierce,"vt. 刺穿；洞察；响彻；深深地打动
vi. 进入；透入"
rack,"n.  齿条；架子；拷问台
vt. 折磨；榨取
vi. 变形；随风飘；小步跑"
rotate,"vt. 使旋转；使转动；使轮流
adj.  辐状的
vi. 旋转；循环"
shrug,"n. 耸肩
vi. 耸肩
vt. 耸肩，耸肩表示"
smash,"n. 破碎；扣球；冲突；大败
vt. 粉碎；使破产；溃裂
adj. 了不起的；非常轰动的；出色的
vi. 粉碎；打碎"
stem,"n. 干；茎；船首；血统
vt. 阻止；除去…的茎；给…装柄
vi. 阻止；起源于某事物；逆行"
thrust,"n.  推力；刺
vt. 插；插入；推挤
vi. 插入；用向某人刺去；猛然或用力推"
claim,"n. 要求；声称；索赔；断言；值得
vt. 要求；声称；需要；认领
vi. 提出要求"
exclaim,"vt. 大声说出
vi. 呼喊，惊叫；大声叫嚷"
proclaim,vt. 宣告，公布；声明；表明；赞扬
suggest,vt. 提议，建议；启发；使人想起；显示；暗示
gesture,"n. 姿态；手势
vt. 用动作表示
vi. 作手势；用动作示意"
digest,"n. 文摘；摘要
vt. 消化；吸收；融会贯通
vi. 消化"
register,"n. 登记；注册；记录；寄存器；登记簿
vt. 登记；注册；记录；挂号邮寄；把…挂号；正式提出
vi. 登记；注册；挂号"
registration,n. 登记；注册；挂号
before,"prep. 在…之前，先于
conj. 在…以前；在…之前
adv. 以前；在前"
fore,"n. 前部；船头
prep. 在前
adj. 以前的；在前部的
adv. 在前面；在船头
int. （打高尔夫球者的叫声）让开！"
former,"n. 模型，样板；起形成作用的人
adj. 从前的，前者的；前任的"
foremost,"adj. 最重要的；最先的
adv. 首先；居于首位地"
forehead,n. 额，前额
forecast,"n. 预测，预报；预想
vt. 预报，预测；预示
vi. 进行预报，作预测"
forth,adv. 向前，向外；自…以后
forward,"n. 前锋
adj. 向前的；早的；迅速的
adv. 向前地；向将来
vt. 促进；转寄；运送"
recite,"vt. 背诵；叙述；列举
vi. 背诵；叙述"
cite,vt. 引用；传讯；想起；表彰
quote,"n. 引用
vi. 报价；引用；引证
vt. 报价；引述；举证"
quotation,n.  报价单；引用语；引证
approach,"n. 方法；途径；接近
vt. 接近；着手处理
vi. 靠近"
approximate,"adj.  近似的；大概的
vt. 近似；使…接近；粗略估计
vi. 接近于；近似于"
approximately,adv. 大约，近似地；近于
sense,"n. 感觉，功能；观念；道理；理智
vt. 感觉到；检测"
sensible,"n. 可感觉到的东西; 敏感的人;
adj. 明智的; 通情达理的; 合乎情理的; 意识到的，能感觉到的;"
sensitive,"adj. 敏感的；感觉的； 灵敏的；感光的；易受伤害的；易受影响的
n. 敏感的人；有灵异能力的人"
sensation,n. 感觉；轰动；感动
consensus,n. 一致；舆论；合意
consent,"n. 同意；（意见等的）一致；赞成
vi. 同意；赞成；答应"
resent,vt. 怨恨；愤恨；厌恶
nonsense,"n. 胡说；废话
adj. 荒谬的
int. 胡说！"
own,"vt. 拥有；承认
vi. 承认
adj. 自己的；特有的
n. 自己的"
owner,n.  所有者；物主
ownership,n. 所有权；物主身份
owe,"vt. 欠；感激；应给予；应该把……归功于
vi. 欠钱"
owing,"adj. 未付的；欠着的
v. 欠；把…归功于（owe的ing形式）"
ally,"n. 同盟国；伙伴；同盟者；助手
vt. 使联盟；使联合
vi. 联合；结盟"
alliance,n. 联盟，联合；联姻
rally,"n. 集会；回复；公路赛车会
vt. 团结；集合；恢复健康、力量等
vi. 团结；重整；恢复；（网球等）连续对打"
auto,"n. 汽车（等于automobile）；自动
vi. 乘汽车"
automate,"vt. 使自动化，使自动操作
vi. 自动化，自动操作"
automatic,"n. 自动机械；自动手枪
adj. 自动的；无意识的；必然的"
trumpet,"n. 喇叭；喇叭声
vt. 吹喇叭；吹嘘
vi. 吹喇叭；发出喇叭般的声音"
weld,"n. 焊接；焊接点
vt. 焊接；使结合；使成整体
vi. 焊牢"
altitude,n. 高地；高度； 顶垂线；（等级和地位等的）高级；海拔
bacteria,n.  细菌
bolt,"n. 螺栓，螺钉；闪电，雷电；门闩；弩箭;（布的）一匹，一卷
vt. 筛选；囫囵吞下；（把门、窗等）闩上；突然说出，脱口说出
vi. （门窗等）闩上，拴住；冲出，跳出；（马等的）脱缰；囫囵吞下
adv. 突然地；像箭似地；直立地"
cane,"n. 手杖；藤条；细长的茎
vt. 以杖击；以藤编制"
code,"n. 代码，密码；编码；法典
vt. 编码；制成法典
vi. 指定遗传密码"
crust,"n. 地壳；外壳；面包皮；坚硬外皮
vi. 结硬皮；结成外壳
vt. 盖以硬皮；在…上结硬皮"
dignity,n. 尊严；高贵
enthusiasm,n. 热心，热忱，热情
fling,"n. 掷，抛；嘲弄；急冲
vt. 掷，抛；嘲笑；使陷入；轻蔑地投射；猛动
vi. 猛冲，急行"
gulf,"n. 海湾；深渊；分歧；漩涡
vt. 吞没"
heap,"n. 堆；许多；累积
vt. 堆；堆积
vi. 堆起来"
irrigate,"vt. 灌溉；冲洗；使清新
vi. 灌溉；冲洗"
leak,"n. 泄漏；漏洞，裂缝
vt. 使渗漏，泄露
vi. 漏，渗；泄漏出去"
mate,"n. 助手，大副；配偶；同事；配对物
vt. 使配对；使一致；结伴
vi. 交配；成配偶；紧密配合"
nasty,"adj. 下流的；肮脏的；脾气不好的；险恶的
n. 令人不快的事物
性的吸引力"
recognize,"vt. 认出，识别；承认
vi. 确认，承认；具结"
recognise,vt. 认出；承认，认可；识别
recognition,n. 识别；承认，认出；重视；赞誉；公认
diagnose,"vt. 诊断；断定
vi. 诊断；判断"
ignore,vt. 驳回诉讼；忽视；不理睬
ignorance,n. 无知，愚昧；不知，不懂
ignorant,adj. 无知的；愚昧的
car,n. 汽车；车厢
carpenter,"n. 木匠，木工
vt. 制作
vi. 当木匠，做木匠工作"
carriage,n. 运输；运费；四轮马车；举止；客车厢
cart,"n. 二轮运货马车
vt. 用车装载
vi. 驾运货马车；用运货车运送"
caravan,"n. （可供居住的）拖车，大篷车；（穿过沙漠地带的）旅行队（如商队）；<英>活动住宅；<美>移民列车
vi. 乘拖车度假；参加旅行队旅行"
van,"n. 先锋；厢式货车；增值网
vt. 用车搬运"
cargo,n. 货物，船货
charge,"n. 费用；电荷；掌管；控告；命令；负载
vt. 使充电；使承担；指责；装载；对…索费；向…冲去
vi. 充电；控告；索价；向前冲；记在账上"
discharge,"n. 排放；卸货；解雇
vt. 解雇；卸下；放出；免除
vi. 排放；卸货；流出"
case,"n. 情况；实例；箱
vt. 包围；把…装于容器中"
briefcase,n. 公文包
cassette,n. 盒式磁带；暗盒；珠宝箱；片匣
casual,"n. 便装；临时工人；待命士兵
adj. 随便的；非正式的；临时的；偶然的"
occasion,"n. 时机，机会；场合；理由
vt. 引起，惹起"
occasional,adj. 偶然的；临时的；特殊场合的
certain,"adj. 某一；必然的；确信；无疑的；有把握的
pron. 某些；某几个"
certainty,n. 必然；确实；确实的事情
certificate,"n. 证书；执照，文凭
vt. 发给证明书；以证书形式授权给…；用证书批准"
spend,"n. 预算
vt. 度过，消磨（时光）；花费；浪费；用尽
vi. 花钱；用尽，耗尽"
expend,vt. 花费；消耗；用光；耗尽
expense,"n. 损失，代价；消费；开支
vt. 向…收取费用
vi. 被花掉"
dispense,"vi. 免除，豁免
vt. 分配，分发；免除；执行"
indispensable,"n. 不可缺少之物；必不可少的人
adj. 不可缺少的；绝对必要的；责无旁贷的"
compensate,"vt. 补偿，赔偿；付报酬
vi. 补偿，赔偿；抵消"
compensation,n. 补偿；报酬；赔偿金
pension,"n. 退休金，抚恤金；津贴；膳宿费
vt. 发给养老金或抚恤金"
suspend,"vt. 延缓，推迟；使暂停；使悬浮
vi. 悬浮；禁赛"
suspension,n. 悬浮；暂停；停职
crab,"n. 螃蟹；蟹肉；脾气乖戾的人；起重机
vt. 抱怨；破坏；使偏航
vi. 捕蟹；发牢骚；抱怨"
crawl,"n. 爬行；养鱼池；匍匐而行
vt. 爬行；缓慢地行进
vi. 爬行；匍匐行进"
creep,"n. 爬行；毛骨悚然的感觉；谄媚者
vi. 爬行；蔓延；慢慢地移动；起鸡皮疙瘩"
cripple,"n. 跛子；残废
vt. 削弱；使跛；使残废
adj. 跛的；残废的"
direct,"adj. 直接的；直系的；亲身的；恰好的
vt. 管理；指挥；导演；指向
adv. 直接地；正好；按直系关系
vi. 指导；指挥"
directly,"conj. 一…就
adv. 直接地；立即；马上；正好地；坦率地"
indirect,adj. 间接的；迂回的；非直截了当的
direction,n. 方向；指导；趋势；用法说明
director,n. 主任，主管；导演；人事助理
erect,"vt. 使竖立；建造；安装
adj. 竖立的；笔直的；因性刺激而勃起的
vi. 直立；勃起"
grasp,"n. 抓住；理解；控制
vi. 抓
vt. 抓住；领会"
grip,"n. 紧握；柄；支配；握拍方式；拍柄绷带
vt. 紧握；夹紧
vi. 抓住"
grab,"n. 攫取；霸占；夺取之物
vt. 攫取；霸占；将…深深吸引
vi. 攫取；夺取"
drag,"n. 拖；拖累
vi. 拖曳；缓慢而吃力地行进
vt. 拖累；拖拉；缓慢而吃力地行进"
drain,"n. 排水；下水道，排水管；消耗
vt. 喝光，耗尽；使流出；排掉水
vi. 排水；流干"
drift,"n. 漂流，漂移；趋势；漂流物
vi. 漂流，漂移；漂泊
vt. 使…漂流；使…受风吹积"
draw,"n. 平局；抽签
vi. 拉；拖
vt. 画；拉；吸引"
withdraw,"vt. 撤退；收回；撤消；拉开
vi. 撤退；离开"
draft,"n. 汇票；草稿；选派；（尤指房间、烟囱、炉子等供暖系统中的）（小股）气流
vt. 起草；制定；征募
vi. 拟稿；绘样；作草图
adj. 初步画出或（写出）的；（设计、草图、提纲或版本）正在起草中的，草拟的；以草稿形式的；草图的"
ouch,"n. 扣环
int. 哎哟（突然疼痛时发出的声音）"
pigeon,n. 鸽子
rage,"n. 愤怒；狂暴，肆虐；情绪激动
vi. 大怒，发怒；流行，风行"
rug,n. 小地毯；毛皮地毯；男子假发
siege,"n. 围攻；包围；围城；不断袭击；长期努力
vt. 围攻；包围"
snap,"n. 猛咬；劈啪声；突然折断
adj. 突然的
vt. 突然折断，拉断；猛咬；啪地关上
vi. 咬；厉声说；咯嗒一声关上"
stiff,"adj. 呆板的；坚硬的；严厉的；拘谨的
adv. 僵硬地；彻底地
n. 死尸；令人讨厌者；流通票据；劳动者
vt. 诈骗；失信"
thumb,"n. 拇指
vt. 翻阅；以拇指拨弄；作搭车手势；笨拙地摆弄
vi. 用拇指翻书页；竖起拇指要求搭车"
tuberculosis,n. 肺结核；结核病
whip,"n. 鞭子；抽打；车夫； 搅拌器
vt. 抽打；煽动；搅打（蛋，奶油）；彻底击败
vi. 抽打；急走；拍击"
aluminium,"n. 铝
adj. 铝的"
badge,"n. 徽章；证章；标记
vt. 授给…徽章"
cease,"n. 停止
vi. 停止；终了
vt. 停止；结束"
coil,"n. 线圈；卷
vt. 盘绕，把…卷成圈
vi. 成圈状"
crystal,"n. 结晶，晶体；水晶；水晶饰品
adj. 水晶的；透明的，清澈的"
ditch,"n. 沟渠；壕沟
vt. 在…上掘沟；把…开入沟里；丢弃
vi. 开沟；掘沟"
eternal,adj. 永恒的；不朽的
sole,"n. 鞋底；脚底；基础；鳎目鱼
adj. 唯一的；单独的；仅有的
vt. 触底；上鞋底"
isolate,"n.  隔离种群
vt. 使隔离；使孤立；使绝缘
adj. 隔离的；孤立的
vi. 隔离；孤立"
solitary,"n. 独居者；隐士
adj. 孤独的；独居的"
island,"n. 岛；岛屿；安全岛；岛状物
adj. 岛的
vt. 孤立；使成岛状"
isle,"n. 岛
vt. 使成为岛屿
vi. 住在岛屿上"
peninsula,n. 半岛
flow,"n. 流动；流量；涨潮，泛滥
vt. 淹没，溢过
vi. 流动，涌流；川流不息；飘扬"
fluent,adj. 流畅的，流利的；液态的；畅流的
fluid,"n. 流体；液体
adj. 流动的；流畅的；不固定的"
influence,"n. 影响；势力；感化；有影响的人或事
vt. 影响；改变"
influential,"adj. 有影响的；有势力的
n. 有影响力的人物"
fluctuate,"vi. 波动；涨落；动摇
vt. 使波动；使动摇"
folk,"n. 民族；人们；亲属（复数）
adj. 民间的"
folklore,n. 民俗学；民间传说；民间风俗
flock,"n. 群；棉束（等于floc）
vi. 聚集；成群而行
vt. 用棉束填满"
land,"n. 国土；陆地；地面
vt. 使…登陆；使…陷于；将…卸下
vi. 登陆；到达"
landlord,n. 房东，老板；地主
landscape,"n. 风景；风景画；景色；山水画；乡村风景画；地形；（文件的）横向打印格式
vt. 对…做景观美化，给…做园林美化；从事庭园设计
vi. 美化（环境等），使景色宜人；从事景观美化工作，做庭园设计师"
lawn,n. 草地；草坪
mainland,"n. 大陆；本土
adj. 大陆的；本土的"
heir,n.  继承人；后嗣；嗣子
inherit,"vt. 继承；遗传而得
vi. 成为继承人"
inherent,adj. 固有的；内在的；与生俱来的，遗传的
receive,"vt. 收到；接待；接纳
vi. 接收"
receiver,n. 接收器；接受者；收信机；收款员，接待者
receipt,"n. 收到；收据；收入
vt. 收到"
recipient,"n. 容器，接受者；容纳者
adj. 容易接受的，感受性强的"
reception,n. 接待；接收；招待会；感受；反应
receptionist,n. 接待员；传达员
accept,"vi. 承认；同意；承兑
vt. 接受；承认；承担；承兑；容纳"
acceptable,adj. 可接受的；合意的；可忍受的
acceptance,n. 接纳；赞同；容忍
conceive,"vi. 怀孕；设想；考虑
vt. 怀孕；构思；以为；持有"
concept,n. 观念，概念
deceive,v. 欺骗；行骗
deception,n. 欺骗，欺诈；骗术
perceive,"vt. 察觉，感觉；理解；认知
vi. 感到，感知；认识到"
perception,n. 知觉； 感觉；看法；洞察力；获取
letter,"n. 信；字母，文字；证书；文学，学问；字面意义
vt. 写字母于
vi. 写印刷体字母"
literal,adj. 文字的；逐字的；无夸张的
literally,adv. 照字面地；逐字地；不夸张地；正确地；简直
literacy,n. 读写能力；精通文学
literary,adj. 文学的；书面的；精通文学的
literature,n. 文学；文献；文艺；著作
mountain,n. 山；山脉
mount,"vt. 增加；爬上；使骑上马；安装，架置；镶嵌，嵌入；准备上演；成立（军队等）
vi. 爬；增加；上升
n. 山峰；底座；乘骑用马；攀，登；运载工具；底座
v. 登上；骑上"
amount,"n. 数量；总额，总数
vi. 总计，合计；相当于；共计；产生…结果"
fossil,"n. 化石；僵化的事物；顽固不化的人
adj. 化石的；陈腐的，守旧的"
gum,"n. 口香糖；树胶；橡皮
vt. 用胶粘，涂以树胶；使…有粘性"
heave,"n. 举起；起伏；投掷；一阵呕吐
vt. 举起；使起伏；投掷；恶心；发出（叹息等）
vi. 起伏；举起；喘息；呕吐"
italic,"n. 斜体字（或字母、数码等）
adj.  斜体的"
leap,"vi. 跳，跳跃
n. 飞跃；跳跃
vt. 跳跃，跳过；使跃过"
melt,"vi. 熔化，溶解；渐混
vt. 使融化；使熔化；使软化；使感动
n. 熔化；熔化物"
Negro,找不到解释
pad,"n. 衬垫；护具；便笺簿；填补
vi. 步行；放轻脚步走
vt. 填补；走"
pillar,"n. 柱子，柱形物；栋梁；墩
vt. 用柱支持"
raid,"n. 袭击；突袭；搜捕；抢劫
vt. 袭击，突袭
vi. 对…进行突然袭击"
rumor,"n. 谣言；传闻
vt. 谣传；传说"
rumour,"n. 谣言
vt. 传闻"
sin,"n. 罪恶；罪孽；过失
vt. 犯罪
vi. 犯罪；犯过失"
soak,"n. 浸；湿透；大雨
vi. 浸泡；渗透
vt. 吸收，吸入；沉浸在（工作或学习中）；使……上下湿透"
sting,"n. 刺痛；讽刺，刺激；刺毛
vt. 刺；驱使；使…苦恼；使…疼痛
vi. 刺痛；被刺痛；感到剧痛"
toast,"n. 干杯；烤面包；接受敬酒的人；（在某领域）广受赞誉的人
vt. 向…祝酒，为…干杯
vi. 烤火，取暖；使暖和；烘烤（面包片等）"
wicked,adj. 邪恶的；恶劣的；不道德的；顽皮的
example,"n. 例子；榜样
vt. 作为…的例子；为…做出榜样
vi. 举例"
exemplify,vt. 例证；例示
sample,"n. 样品；样本；例子
adj. 试样的，样品的；作为例子的
vt. 取样；尝试；抽样检查"
old,"adj. 陈旧的，古老的；年老的
n. 古时"
elder,"n. 老人；长辈；年长者；父辈
adj. 年长的；年龄较大的；资格老的"
elderly,adj. 上了年纪的；过了中年的；稍老的
adolescent,"n. 青少年
adj. 青春期的；未成熟的"
adult,"n. 成年人
adj. 成年的；成熟的"
abolish,vt. 废除，废止；取消，革除
rent,"n. 租金
vt. 出租；租用；租借
vi. 租；出租"
render,"n. 打底；交纳；粉刷
vt. 致使；提出；实施；着色；以…回报
vi. 给予补偿"
surrender,"n. 投降；放弃；交出；屈服
vt. 使投降；放弃；交出；听任
vi. 投降；屈服；自首"
telephone,"n. （美）电话；电话机；电话耳机
vt. 打电话给…
vi. 打电话"
phone,"n. 电话；耳机，听筒
vt. 打电话
vi. 打电话"
videophone,n. 电视电话
telegram,"n. 电报
vt. 用电报发送
vi. 发电报"
telegraph,"n.  电报机，电报
vt. 电汇；流露出；打电报给…
vi. 打电报"
telescope,"n. 望远镜；缩叠式旅行袋
vi. 套叠；变短
vt. 压缩；使套叠"
microphone,n. 扩音器，麦克风
air,"n. 空气，大气；天空；样子；曲调
vt. 使通风，晾干；夸耀
vi. 通风"
aircraft,n. 飞机，航空器
airline,"n. 航空公司；航线
adj. 航线的"
airway,n. 导气管；空中航线；通风孔
aeroplane,n. 飞机（等于airplane）
set,"n.  集合；一套；布景； 装置
adj. 固定的；规定的；固执的
vi. (日,月)落沉；凝固；结果
vt. 树立；点燃；点缀；"
outset,n. 开始；开端
upset,"n. 混乱；翻倒；颠覆
adj. 心烦的；混乱的；弄翻的
vt. 使心烦；颠覆；扰乱
vi. 翻倒"
setting,"n. 环境；安装；布置； 沉落
v. 放置；沉没；使…处于某位置（set的ing形式）"
settle,"n. 有背长椅
vi. 解决；定居；沉淀；下陷
vt. 解决；安排；使…定居"
settlement,n. 解决，处理； 结算；沉降；殖民
sure,"adj. 确信的；可靠的；必定的
adv. 当然；的确"
assure,vt. 保证；担保；使确信；弄清楚
ensure,vt. 保证，确保；使安全
insure,"vt. 确保，保证；给…保险
vi. 确保；投保"
assurance,n. 保证，担保；（人寿）保险；确信；断言；厚脸皮，无耻
insurance,n. 保险；保险费；保险契约；赔偿金
text,"n.  文本；课文；主题
vt. 发短信"
context,n. 环境；上下文；来龙去脉
textile,"n. 纺织品，织物
adj. 纺织的"
unite,"vi. 团结；联合；混合
vt. 使…混合；使…联合；使…团结"
reunite,"vi. 重聚；再结合；再联合
vt. 使重聚；使再结合；使再联合"
union,n. 联盟，协会；工会；联合
reunion,n. 重聚；（班级或学校的）同学会，同窗会
unify,vt. 统一；使相同，使一致
unification,n. 统一；一致；联合
reunification,n. 重新统一；重新团结
unity,n. 团结；一致；联合；个体
unique,"n. 独一无二的人或物
adj. 独特的，稀罕的； 唯一的，独一无二的"
arbitrary,adj.  任意的；武断的；专制的
banner,"n. 横幅图片的广告模式
n. 旗帜，横幅,标语"
bowel,"n. 肠；内部；同情
vt. 将……的肚肠取出"
cement,"n. 水泥；接合剂
vt. 巩固，加强；用水泥涂；接合
vi. 粘牢"
commence,v. 开始；着手；<英>获得学位
curl,"n. 卷曲；卷发；螺旋状物
vt. 使…卷曲；使卷起来
vi. 卷曲；盘绕"
dolphin,n. 海豚
exile,"n. 流放，充军；放逐，被放逐者；流犯
vt. 放逐，流放；使背井离乡"
fragment,"n. 碎片；片断或不完整部分
vt. 使成碎片
vi. 破碎或裂开"
hacker,n. 电脑黑客，企图不法侵入他人电脑系统的人
hence,adv. 因此；今后
jail,"n. 监狱；监牢；拘留所
vt. 监禁；下狱"
lens,"n. 透镜，镜头；眼睛中的水晶体；晶状体；隐形眼镜；汽车的灯玻璃
vt. 给……摄影"
merit,"n. 优点，价值；功绩；功过
vt. 值得
vi. 应受报答"
nickel,"n. 镍；镍币；五分镍币
vt. 镀镍于"
palm,"n. 手掌；棕榈树；掌状物
vt. 将…藏于掌中"
emerge,vi. 浮现；摆脱；暴露
emergency,"n. 紧急情况；突发事件；非常时刻
adj. 紧急的；备用的"
submerge,"vt. 淹没；把…浸入；沉浸
vi. 淹没；潜入水中；湮没"
distinguish,"vi. 区别，区分；辨别
vt. 区分；辨别；使杰出，使表现突出"
distinction,n. 区别；差别；特性；荣誉、勋章
distinct,adj. 明显的；独特的；清楚的；有区别的
distinctive,adj. 有特色的，与众不同的
extinguish,vt. 熄灭；压制；偿清
extinct,"adj. 灭绝的，绝种的；熄灭的
vt. 使熄灭"
instinct,"n. 本能，直觉；天性
adj. 充满着的"
blow,"n. 吹；打击；殴打
vt. 风吹
vi. 风吹；喘气"
blast,"n. 爆炸；冲击波；一阵
vt. 爆炸；损害；使枯萎
vi. 猛攻"
bloom,"n. 花；青春；旺盛
vt. 使开花；使茂盛
vi. 开花；茂盛"
blossom,"n. 花；开花期；兴旺期；花开的状态
vi. 开花；兴旺；发展成"
lift,"vt. 举起；提升；鼓舞；空运；抄袭
vi. 消散；升起；耸立
n. 电梯；举起；起重机；搭车"
elevate,vt. 提升；举起；振奋情绪等；提升…的职位
elevator,n. 电梯；升降机；升降舵；起卸机
alleviate,vt. 减轻，缓和
relieve,vt. 解除，减轻；使不单调乏味；换…的班；解围；使放心
relief,n. 救济；减轻，解除；安慰；浮雕
grave,"n. 墓穴，坟墓；死亡
adj. 重大的；严肃的；黯淡的
vt. 雕刻；铭记"
gravity,n. 重力，地心引力；严重性；庄严
custom,"n. 习惯，惯例；风俗；海关，关税；经常光顾；（经常性的）顾客
adj. （衣服等）定做的，定制的"
accustomed,"v. 使习惯于（accustom的过去分词）
adj. 习惯的；通常的；独有的"
costume,"n. 服装，装束；戏装，剧装
vt. 给…穿上服装"
offer,"vt. 提供；出价；试图
n. 提议；出价；意图；录取通知书
vi. 提议；出现；献祭；求婚"
infer,"vi. 推断；作出推论
vt. 推断；推论"
inference,n. 推理；推论；推断
prefer,"vt. 更喜欢；宁愿；提出；提升
vi. 喜欢；愿意"
preferable,adj. 更好的，更可取的；更合意的
preference,n. 偏爱，倾向；优先权
refer,"vt. 涉及；委托；归诸于；使…求助于
vi. 参考；涉及；提到；查阅"
reference,"n. 参考，参照；涉及，提及；参考书目；介绍信；证明书
vt. 引用
vi. 引用"
suffer,"vi. 遭受，忍受；受痛苦；经验；受损害
vt. 遭受；忍受；经历"
