state,"n. 国家；州；情形
adj. 国家的；州的；正式的
vt. 规定；声明；陈述"
affiliate,"n. 联号；隶属的机构等
vt. 使附属；接纳；使紧密联系
vi. 参加，加入；发生联系"
correlate,"n. 相关物；相关联的人
vt. 使有相互关系；互相有关系
adj. 关联的
vi. 关联"
position,"n. 位置，方位；职位，工作；姿态；站位
vt. 安置；把……放在适当位置"
location,n. 位置（形容词locational）；地点；外景拍摄场地
site,"n. 地点；位置；场所
vt. 设置；为…选址"
setting,"n. 环境；安装；布置； 沉落
v. 放置；沉没；使…处于某位置（set的ing形式）"
posture,"n. 姿势；态度；情形
vt. 作…的姿势
vi. 摆姿势"
stance,n. 立场；姿态；位置；准备击球姿势
attitude,n. 态度；看法；意见；姿势
angle,"n. 角度，角，方面
vi. 钓鱼；谋取"
pose,"vi. 摆姿势；佯装；矫揉造作
vt. 造成，形成；摆姿势；装模作样；提出…讨论
n. 姿势，姿态；装模作样"
post,"n. 岗位；邮件；标杆
vt. 张贴；公布；邮递；布置
vi. 快速行进"
present,"n. 现在；礼物；瞄准
adj. 现在的；出席的
vt. 提出；介绍；呈现；赠送
vi. 举枪瞄准"
current,"n. （水，气，电）流；趋势；涌流
adj. 现在的；流通的，通用的；最近的；草写的"
contemporary,"n. 同时代的人；同时期的东西
adj. 当代的；同时代的；属于同一时期的"
modern,"adj. 现代的，近代的；时髦的
n. 现代人；有思想的人"
grant,"n. 拨款； 授予物
vt. 授予；允许；承认
vi. 同意"
confer,"vt. 授予；给予
vi. 协商"
accord,"n. 符合；一致；协议；自愿
vt. 使一致；给予
vi. 符合；一致"
donate,"n. 捐赠；捐献
vt. 捐赠；捐献
vi. 捐赠；捐献"
submit,"vi. 提交；服从
vt. 使服从；主张；呈递"
introduce,vt. 介绍；引进；提出；采用
range,"n. 范围；幅度；排；山脉
vt. 漫游；放牧；使并列；归类于；来回走动
vi. （在...内）变动；平行，列为一行；延伸；漫游；射程达到"
array,"n. 数组，阵列；排列，列阵；大批，一系列；衣服
vt. 排列，部署；打扮"
scope,"n. 范围；余地；视野；眼界；导弹射程
vt. 审视"
field,"n. 领域；牧场；旷野；战场；运动场
adj. 扫描场；田赛的；野生的
vt. 把暴晒于场上；使上场
vi. 担任场外队员"
province,n. 省；领域；职权
span,"n. 跨度，跨距；范围
vt. 跨越；持续；以手指测量"
sphere,"n. 范围；球体
adj. 球体的
vt. 包围；放入球内；使…成球形"
spectrum,n. 光谱；频谱；范围；余象
horizon,n.  地平线；视野；眼界；范围
vary,"vi. 变化；变异；违反
vt. 改变；使多样化；变奏"
fluctuate,"vi. 波动；涨落；动摇
vt. 使波动；使动摇"
wander,"vi. 徘徊；漫步；迷路；离题
vt. 游荡，漫游"
sense,"n. 感觉，功能；观念；道理；理智
vt. 感觉到；检测"
wisdom,n. 智慧，才智；明智；学识；至理名言
mind,"n. 理智，精神；意见；智力；记忆力
vt. 介意；专心于；照料
vi. 介意；注意"
sanity,n. 明智；头脑清楚；精神健全；通情达理
intelligence,n. 智力；情报工作；情报机关；理解力；才智，智慧；天分
wit,"n. 智慧；才智；智力
v. <古>知道；即"
stress,"n. 压力；强调；紧张；重要性；重读
vt. 强调；使紧张；加压力于；用重音读"
pressure,"n. 压力；压迫， 压强
vt. 迫使；密封；使……增压"
tension,"n. 张力，拉力；紧张，不安；电压
vt. 使紧张；使拉紧"
strain,"n. 张力；拉紧；负担；扭伤；血缘
vt. 拉紧；滥用；滤去；竭力
vi. 拉紧；尽力
n. （植物、动物的）品种；种类"
emphasis,n. 重点；强调；加强语气
highlight,"n. 最精彩的部分；最重要的事情；加亮区
vt. 突出；强调；使显著；加亮"
underline,"n. 下划线；下期节目预告
vt. 强调；在…下面划线；预告"
surprise,"n. 惊奇，诧异；突然袭击
adj. 令人惊讶的
vt. 使惊奇；奇袭"
amaze,vt. 使吃惊
astonish,vt. 使惊讶
shock,"n. 休克；震惊；震动；打击；禾束堆
adj. 浓密的；蓬乱的
vt. 使休克；使震惊；使震动；使受电击；把…堆成禾束堆
vi. 感到震惊；受到震动；堆成禾束堆"
stun,"n. 昏迷；打昏；惊倒；令人惊叹的事物
vt. 使震惊；打昏；给以深刻的印象"
wonder,"n. 惊奇；奇迹；惊愕
adj. 奇妙的；非凡的
vi. 怀疑；想知道；惊讶
vt. 怀疑；惊奇；对…感到惊讶"
stagger,"n. 蹒跚；交错安排
vt. 蹒跚；使交错；使犹豫
adj. 交错的；错开的
vi. 蹒跚；犹豫"
awe,"n. 敬畏
vt. 使敬畏；使畏怯"
avoid,vt. 避免；避开，躲避；消除
avert,vt. 避免，防止；转移
escape,"n. 逃跑；逃亡；逃走；逃跑工具或方法；野生种；泄漏
vi. 逃脱；避开；溜走；（气体，液体等）漏出；（未受伤或只受了一点伤害而）逃脱；声音（不自觉地）由…发出
vt. 逃避，避开，避免；被忘掉；被忽视"
refrain,"n. 叠句，副歌；重复
vi. 节制，克制；避免；制止"
evade,"vt. 逃避；规避；逃脱
vi. 逃避；规避；逃脱"
cost,"n. 费用，代价，成本；损失
vt. 花费；使付出；使花许多钱
vi. 花费"
price,"n. 价格；价值；代价
vt. 给……定价；问……的价格"
expense,"n. 损失，代价；消费；开支
vt. 向…收取费用
vi. 被花掉"
expenditure,n. 支出，花费；经费，消费额
charge,"n. 费用；电荷；掌管；控告；命令；负载
vt. 使充电；使承担；指责；装载；对…索费；向…冲去
vi. 充电；控告；索价；向前冲；记在账上"
fetch,"n. 取得；诡计
vt. 取来；接来；到达；吸引
vi. 拿；取物；卖得"
event,n. 事件，大事；项目；结果
incident,"n. 事件，事变；插曲
adj.  入射的；附带的；易发生的，伴随而来的"
occasion,"n. 时机，机会；场合；理由
vt. 引起，惹起"
episode,n. 插曲；一段情节；插话；有趣的事件
campaign,"n. 运动；活动；战役
vi. 作战；参加竞选；参加活动"
explain,v. 说明；解释
illustrate,"vi. 举例
vt. 阐明，举例说明；图解"
demonstrate,"vt. 证明；展示；论证
vi. 示威"
gain,"n. 增加；利润；收获
vi. 增加；获利
vt. 获得；增加；赚到"
acquire,vt. 获得；取得；学到；捕获
obtain,"vi. 获得；流行
vt. 获得"
reap,"vt. 收获，获得；收割
vi. 收割，收获"
derive,"vt. 源于；得自；获得
vi. 起源"
output,"n. 输出，输出量；产量；出产
vt. 输出"
necessary,"adj. 必要的；必需的；必然的
n. 必需品"
essential,"n. 本质；要素；要点；必需品
adj. 基本的；必要的；本质的；精华的"
indispensable,"n. 不可缺少之物；必不可少的人
adj. 不可缺少的；绝对必要的；责无旁贷的"
vital,adj. 至关重要的；生死攸关的；有活力的
integral,"n. 积分；部分；完整
adj. 积分的；完整的，整体的；构成整体所必须的"
peer,"vt. 封为贵族；与…同等
vi. 凝视，盯着看；窥视
n. 贵族；同等的人；同龄人"
match,"vt. 使比赛；使相配；敌得过，比得上；相配；与…竞争
vi. 比赛；匹配；相配，相称；相比
n. 比赛，竞赛；匹配；对手；火柴"
counterpart,n. 副本；配对物；极相似的人或物
fellow,"n. 家伙；朋友；同事；会员
adj. 同伴的，同事的；同道的
vt. 使…与另一个对等；使…与另一个匹敌"
noble,"adj. 高尚的；贵族的；惰性的；宏伟的
n. 贵族
vt. 抓住；逮捕"
aristocrat,n. 贵族
gaze,"n. 凝视；注视
vi. 凝视；注视"
stare,"n. 凝视；注视
vt. 凝视，盯着看
vi. 凝视，盯着看；显眼"
potential,"n. 潜能；可能性； 电势
adj. 潜在的；可能的；势的"
capacity,n. 能力；容量；资格，地位；生产力
capability,n. 才能，能力；性能，容量
possible,"n. 可能性；合适的人；可能的事物
adj. 可能的；合理的；合适的"
likely,"adj. 很可能的；合适的；有希望的
adv. 很可能；或许"
probable,"n. 很可能的事；大有希望的候选者
adj. 很可能的；可信的"
reform,"n. 改革，改良；改正
adj. 改革的；改革教会的
vt. 改革，革新；重新组成
vi. 重组；改过"
revolution,n. 革命；旋转；运行；循环
risk,"n. 风险；危险；冒险
vt. 冒…的危险"
threat,n. 威胁，恐吓；凶兆
hazard,"n. 危险，冒险；冒险的事
vt. 赌运气；冒…的危险，使遭受危险"
endanger,vt. 危及；使遭到危险
support,"n. 支持，维持；支援，供养；支持者，支撑物
vt. 支持，支撑，支援；扶持，帮助；赡养，供养"
endorse,vt. 背书；认可；签署；赞同；在背面签名
champion,"n. 冠军；拥护者；战士
adj. 优胜的；第一流的
vt. 支持；拥护"
advocate,"n. 提倡者；支持者；律师
vt. 提倡，主张，拥护"
uphold,vt. 支撑；鼓励；赞成；举起
aid,"n. 援助；帮助；助手；帮助者
vt. 援助；帮助；有助于
vi. 帮助"
assist,"n. 帮助；助攻
vi. 参加；出席
vt. 帮助；促进"
tend,"vt. 照料，照管
vi. 趋向，倾向；照料，照顾"
lean,"vi. 倾斜；倚靠；倾向；依赖
adj. 瘦的；贫乏的，歉收的
vt. 使倾斜
n. 瘦肉；倾斜；倾斜度"
incline,"n. 倾斜；斜面；斜坡
vt. 使倾斜；使倾向于
vi. 倾斜；倾向；易于"
care,"n. 关怀；照料；谨慎；忧虑
vt. 在意；希望或喜欢
vi. 照顾；关心；喜爱；顾虑"
trend,"n. 趋势，倾向；走向
vt. 使…趋向
vi. 趋向，伸向"
tide,"n. 趋势，潮流；潮汐
vt. 随潮漂流"
fashion,"n. 时尚；时装；样式；时髦人物
vt. 使用；改变；做成…的形状"
craze,"n. 狂热
vt. 使发狂；使产生纹裂
vi. 发狂；产生纹裂"
fad,n. 时尚；一时的爱好；一时流行的狂热
style,"n. 风格；时尚；类型；字体
vt. 设计；称呼；使合潮流
vi. 设计式样；用刻刀作装饰画"
amount,"n. 数量；总额，总数
vi. 总计，合计；相当于；共计；产生…结果"
quantity,n. 量，数量；大量；总量
volume,"n. 量；体积；卷；音量；大量；册
adj. 大量的
vt. 把…收集成卷
vi. 成团卷起"
sum,"n. 金额；总数
vt. 总结；合计
vi. 概括"
total,"n. 总数，合计
adj. 全部的；完全的；整个的
vt. 总数达
vi. 合计"
assume,"vt. 僭取；篡夺；夺取；擅用；侵占
vi. 假定；设想；承担；采取"
presume,"vi. 相信；擅自行为
vt. 假定；推测；擅自；意味着"
speculate,"vi. 推测；投机；思索
vt. 推断"
shoulder,"n. 肩，肩膀；肩部
vi. 用肩推挤，用肩顶
vt. 肩负，承担"
check,"n. <美>支票；制止，抑制；检验，核对
vi. 核实，查核；中止；打勾；将一军
vt. 检查，核对；制止，抑制；在…上打勾"
examine,"vt. 检查；调查； 检测；考试
vi. 检查；调查"
inspect,"vt. 检查；视察；检阅
vi. 进行检查；进行视察"
scrutinize,"n. 仔细或彻底检查
vt. 详细检查；细看
vi. 细阅；作详细检查"
screen,"n. 屏，幕；屏风
vt. 筛；拍摄；放映；掩蔽
vi. 拍电影"
detail,"n. 细节，详情
vt. 详述；选派
vi. 画详图"
particular,"n. 详细说明；个别项目
adj. 特别的；详细的；独有的；挑剔的"
elaborate,"adj. 精心制作的；详尽的；煞费苦心的
vi. 详细描述；变复杂
vt. 精心制作；详细阐述；从简单成分合成（复杂有机物）"
specify,vt. 指定；详细说明；列举；把…列入说明书
financial,adj. 金融的；财政的，财务的
fiscal,adj. 会计的，财政的；国库的
monetary,adj. 货币的；财政的
fundamental,"n. 基本原理；基本原则
adj. 基本的，根本的"
underlying,"adj. 潜在的；根本的；在下面的；优先的
v. 放在…的下面；为…的基础；优先于（underlie的ing形式）"
radical,"n. 基础；激进分子； 原子团； 根数
adj. 激进的；根本的；彻底的"
promote,"vi. 成为王后或其他大于卒的子
vt. 促进；提升；推销；发扬"
advance,"n. 发展；前进；增长；预付款
adj. 预先的；先行的
vt. 提出；预付；使……前进；将……提前
vi. 前进；进展；上涨"
boost,"n. 推动；帮助；宣扬
vi. 宣扬；偷窃
vt. 促进；增加；支援"
accelerate,"vt. 使……加快；使……增速
vi. 加速；促进；增加"
facilitate,vt. 促进；帮助；使容易
expedite,"vt. 加快；促进；发出
adj. 畅通的；迅速的；方便的"
foster,"vt. 培养；养育，抚育；抱（希望等）
adj. 收养的，养育的"
stimulate,"vi. 起刺激作用；起促进作用
vt. 刺激；鼓舞，激励"
fuel,"n. 燃料；刺激因素
vt. 供以燃料，加燃料
vi. 得到燃料"
advertise,"vt. 通知；为…做广告；使突出
vi. 做广告，登广告；作宣传"
publicize,vt. 宣传；公布
plug,"n. 插头；塞子；栓
vt. 插入；塞住；接插头
vi. 塞住；用插头将与电源接通"
elevate,vt. 提升；举起；振奋情绪等；提升…的职位
upgrade,"n. 升级；上升；上坡
vt. 使升级；提升；改良品种
adj. 向上的
adv. 往上"
recession,n. 衰退；不景气；后退；凹处
stagnation,n. 停滞；滞止
depression,n. 沮丧；洼地；不景气；忧愁；低气压区
downturn,n. 衰退（经济方面）；低迷时期
significant,"n. 象征；有意义的事物
adj. 重大的；有效的；有意义的；值得注意的；意味深长的"
critical,adj. 鉴定的； 临界的；批评的，爱挑剔的；危险的；决定性的；评论的
crucial,adj. 重要的；决定性的；定局的；决断的
notable,"adj. 值得注意的，显著的；著名的
n. 名人，显要人物"
noteworthy,adj. 值得注意的；显著的
striking,"v. 打（strike的ing形式）
adj. 显著的，突出的，惊人的；打击的；罢工的"
relevant,adj. 相关的；切题的；中肯的；有重大关系的；有意义的，目的明确的
stick,"n. 棍；手杖；呆头呆脑的人
vi. 坚持；伸出；粘住
vt. 刺，戳；伸出；粘贴"
attach,"vi. 附加；附属；伴随
vt. 使依附；贴上；系上；使依恋"
glue,"n. 胶；各种胶合物
vt. 粘合；似胶般固着于"
paste,"n. 面团，膏；糊状物， 浆糊
vt. 张贴，裱糊；用浆糊粘"
adhere,"vi. 坚持；依附；粘着；追随
vt. 使粘附"
cling,vi. 坚持，墨守；紧贴；附着
bind,"n. 捆绑；困境；讨厌的事情；植物的藤蔓
vt. 绑；约束；装订；包扎；凝固
vi. 结合；装订；有约束力；过紧"
fasten,"vt. 使固定；集中于；扎牢；强加于
vi. 扣紧；抓住；集中注意力"
pin,"n. 大头针，别针，针；栓；琐碎物
vt. 钉住；压住；将……用针别住"
nail,"vt. 钉；使固定；揭露
n.  指甲；钉子"
structure,"n. 结构；构造；建筑物
vt. 组织；构成；建造"
construction,n. 建设；建筑物；解释；造句
configuration,n. 配置；结构；外形
fabric,n. 织物；布；组织；构造；建筑物
system,n. 制度，体制；系统；方法
frame,"n. 框架；结构； 画面
adj. 有木架的；有构架的
vt. 设计；建造；陷害；使…适合
vi. 有成功希望"
