system,n. 制度，体制；系统；方法
cassette,n. 盒式磁带；暗盒；珠宝箱；片匣
occasion,"n. 时机，机会；场合；理由
vt. 引起，惹起"
pill,"n. 药丸；弹丸，子弹；口服避孕药
vt. 把…制成丸剂；使服用药丸；抢劫，掠夺（古语）
vi. 做成药丸；服药丸"
prompt,"n. 提示；付款期限；DOS命令：改变DOS系统提示符的风格
adj. 敏捷的，迅速的；立刻的
vt. 提示；促进；激起；（给演员）提白
adv. 准时地"
underneath,"prep. 在…的下面；在…的形式下；在…的支配下
n. 下面；底部
adj. 下面的；底层的
adv. 在下面；在底下"
relevant,adj. 相关的；切题的；中肯的；有重大关系的；有意义的，目的明确的
skilful,adj. 灵巧的; 熟练的; 技术好的
tunnel,"n. 隧道；坑道；洞穴通道
vt. 挖；在…打开通道；在…挖掘隧道
vi. 挖掘隧道；打开通道"
band,"n. 带，环； 波段；(演奏流行音乐的) 乐队
n. n.乐队；队；一群
vi. 用带绑扎；给...镶边"
grab,"n. 攫取；霸占；夺取之物
vt. 攫取；霸占；将…深深吸引
vi. 攫取；夺取"
jam,"n. 果酱；拥挤；困境；扣篮
vt. 使堵塞；挤进，使塞满；混杂；压碎
vi. 堵塞；轧住"
warmth,n. 温暖；热情；激动
arouse,"vt. 引起；唤醒；鼓励
vi. 激发；醒来；发奋"
occasional,adj. 偶然的；临时的；特殊场合的
curriculum,"n. 课程
总课程"
initiative,"n. 主动权；首创精神
adj. 主动的；自发的；起始的"
Christmas,n. 圣诞节；圣诞节期间
useless,adj. 无用的；无效的
missile,"n. 导弹；投射物
adj. 导弹的；可投掷的；用以发射导弹的"
dam,"n.  水坝；障碍
v. 控制；筑坝"
famine,n. 饥荒；饥饿，奇缺
riot,"n. 暴乱；放纵；蔓延
vt. 浪费，挥霍
vi. 骚乱；放荡"
monthly,"adj. 每月的，每月一次的；有效期为一个月的
n. 月刊
adv. 每月，每月一次"
shortcoming,n. 缺点；短处
ceremony,n. 典礼，仪式；礼节，礼仪；客套，虚礼
via,prep. 渠道，通过；经由
message,"n. 消息；差使；启示；预言；广告词
vi. 报信，报告； 报文
vt. 通知"
meteorite,n. 陨星；流星
mid,"adj. 中间的；中央的
prep. 在…之中"
midst,"n. 当中，中间
prep. 在…中间（等于amidst）"
minimal,adj. 最低的；最小限度的
miserable,adj. 悲惨的；痛苦的；卑鄙的
mislead,vt. 误导；带错
momentum,n. 势头； 动量；动力；冲力
monstrous,adj. 巨大的；怪异的；荒谬的；畸形的
motorway,n. 高速公路，汽车高速公路
multilingual,"adj. 使用多种语言的
n. 使用多种语言的人"
murder,"vt. 谋杀，凶杀
n. 谋杀，凶杀
vi. 杀人，犯杀人罪"
nationalistic,adj. 民族主义的；国家的
naturalization,n. 归化，移入；移植
negotiate,"vt. 谈判，商议；转让；越过
vi. 谈判，交涉"
neutral,"adj. 中立的，中性的；中立国的；非彩色的
n. 中立国；中立者；非彩色；齿轮的空档"
nonconformity,n. 不一致；不信奉国教；不墨守成规
notify,vt. 通告，通知；公布
nurture,"vt. 养育；鼓励；培植
n. 养育；教养；营养物"
obsession,n. 痴迷；困扰； 强迫观念
occasionally,adv. 偶尔；间或
offense,n. 犯罪，过错；进攻；触怒；引起反感的事物
opaque,"adj. 不透明的；不传热的；迟钝的
n. 不透明物
vt. 使不透明；使不反光"
optical,adj. 光学的；眼睛的，视觉的
optician,n. 眼镜商；光学仪器商；光学仪器制造者
originality,n. 创意；独创性，创造力；原始；新奇
outweigh,vt. 比…重（在重量上）；比…重要；比…有价值
overhead,"adv. 在头顶上；在空中；在高处
adj. 高架的；在头上的；在头顶上的
n. 天花板； 经常费用；间接费用；吊脚架空层"
overstay,"vi. 逗留得过久
vt. 呆得超过…的限度；货物保留过久错过最赚钱的机会"
overwork,"vi. 工作过度
vt. 工作过度
n. 过度工作
过度工作的"
pacific,"adj. 和平的；温和的；平静的
n. 太平洋
adj. 太平洋的"
pack,"n. 包装；一群；背包；包裹；一副
vt. 包装；压紧；捆扎；挑选；塞满
vi. 挤；包装货物；被包装；群集"
partition,"n. 划分，分开； 分割；隔墙；隔离物
vt.  分割；分隔；区分"
permit,"n. 许可证，执照
vt. 许可；允许
vi. 许可；允许"
philosopher,n. 哲学家；哲人
photosensitive,adj.  光敏的；感光性的
pirate,"n. 海盗；盗版；侵犯专利权者
vt. 掠夺；翻印；剽窃
vi. 做海盗；从事劫掠"
plead,"vt. 借口；为...辩护；托称
vi. 恳求；辩护"
pleasant,adj. 令人愉快的，舒适的；讨人喜欢的，和蔼可亲的
podiatrist,n. 足病医生
poke,"n. 戳；刺；袋子；懒汉
vt. 刺，捅；戳；拨开
vi. 刺，捅；戳；伸出；刺探；闲荡"
pollutant,n. 污染物
popularity,n. 普及，流行；名气；受大众欢迎
porch,n. 门廊；走廊
portend,vt. 预示；预兆；意味着
postpone,"vt. 使…延期；把…放在次要地位；把…放在后面
vi. 延缓，延迟；延缓发作"
potentially,adv. 可能地，潜在地
praise,"n. 赞扬；称赞；荣耀；崇拜
vt. 赞美，歌颂；表扬
vi. 赞美；赞扬"
precisely,adv. 精确地；恰恰
precision,"n. 精度， 精密度；精确
adj. 精密的，精确的"
premium,"n. 额外费用；奖金；保险费;(商)溢价
adj. 高价的；优质的"
prescribe,"vt. 规定；开处方
vi. 规定；开药方"
presence,n. 存在；出席；参加；风度；仪态
presentation,n. 展示；描述，陈述；介绍；赠送
presume,"vi. 相信；擅自行为
vt. 假定；推测；擅自；意味着"
tension,"n. 张力，拉力；紧张，不安；电压
vt. 使紧张；使拉紧"
farewell,"n. 告别，辞别；再见；再会
adj. 告别的
int. 别了！（常含有永别或不容易再见面的意思）；再会！"
equality,n. 平等；相等； 等式
pursue,"vi. 追赶；继续进行
vt. 继续；从事；追赶；纠缠"
craft,"n. 工艺；手艺；太空船
vt. 精巧地制作"
interference,n. 干扰，冲突；干涉
kingdom,n. 王国；界；领域
swell,"n. 肿胀；隆起
vt. 使膨胀；使隆起
adj. 漂亮的；一流的
vi. 膨胀；肿胀；隆起"
casual,"n. 便装；临时工人；待命士兵
adj. 随便的；非正式的；临时的；偶然的"
connection,n. 连接；关系；人脉；连接件
operator,n. 经营者；操作员；话务员；行家
indicate,vt. 表明；指出；预示；象征
parliament,n. 议会，国会
volunteer,"n. 志愿者；志愿兵
adj. 志愿的
vt. 自愿
vi. 自愿"
inherit,"vt. 继承；遗传而得
vi. 成为继承人"
bare,"adj. 空的；赤裸的，无遮蔽的
vt. 露出，使赤裸"
condense,"vt. 使浓缩；使压缩
vi. 浓缩；凝结"
stack,"n. 堆；堆叠
vt. 使堆叠；把…堆积起来
vi. 堆积，堆叠"
hint,"n. 暗示；线索
vt. 暗示；示意
vi. 示意"
voluntary,"n. 志愿者；自愿行动
adj. 自愿的；志愿的；自发的；故意的"
eagle,n. 鹰；鹰状标饰
nineteen,num. 十九
fierce,adj. 凶猛的；猛烈的；暴躁的
patch,"n. 眼罩；斑点；碎片；小块土地
vi. 打补丁
vt. 修补；解决；掩饰"
series,n. 系列，连续； 串联；级数；丛书
mud,"vt. 弄脏；用泥涂
vi. 钻入泥中
n. 泥；诽谤的话；无价值的东西"
chase,"n. 追逐；追赶；追击
vt. 追逐；追捕；试图赢得；雕镂
vi. 追逐；追赶；奔跑"
emit,vt. 发出，放射；发行；发表
multiple,"adj. 多重的；多样的；许多的
n. 倍数； 并联"
teenager,n. 十几岁的青少年；十三岁到十九岁的少年
drain,"n. 排水；下水道，排水管；消耗
vt. 喝光，耗尽；使流出；排掉水
vi. 排水；流干"
grammar,n. 语法；语法书
spacecraft,n.  宇宙飞船，航天器
cable,"n. 缆绳；电缆；海底电报
vt. 打电报
vi. 打海底电报"
intend,"vi. 有打算
vt. 打算；想要；意指"
profile,"n. 侧面；轮廓；外形；剖面；简况
vt. 描…的轮廓；扼要描述
vi. 给出轮廓"
fraction,n. 分数；部分；小部分；稍微
exit,"n. 出口，通道；退场
vi. 退出；离去"
candy,"n. 糖果（等于sweets）；冰糖（等于sugar candy，rock candy）；毒品
adj. 新潮的（服饰）；甜言蜜语的
vt. 用糖煮；使结晶为砂糖；美化
vi. 糖煮；成为结晶"
precaution,"n. 预防，警惕；预防措施
vt. 警惕；预先警告"
alongside,"prep. 在……旁边
adv. 在旁边"
dense,adj. 稠密的；浓厚的；愚钝的
parallel,"n. 平行线；对比
adj. 平行的；类似的，相同的
vt. 使…与…平行"
replacement,n. 更换；复位；代替者；补充兵员
gum,"n. 口香糖；树胶；橡皮
vt. 用胶粘，涂以树胶；使…有粘性"
rhythm,n. 节奏；韵律
economical,adj. 经济的；节约的；合算的
density,n. 密度
heap,"n. 堆；许多；累积
vt. 堆；堆积
vi. 堆起来"
glory,"n. 光荣，荣誉；赞颂
vi. 自豪，骄傲；狂喜"
meantime,"n. 其时，其间
adv. 同时；其间"
radical,"n. 基础；激进分子； 原子团； 根数
adj. 激进的；根本的；彻底的"
strategic,adj. 战略上的，战略的
besides,"prep. 除…之外
adv. 此外；而且"
phrase,"n. 短语, 习语, 措辞, 乐句
vt. 措词, 将(乐曲)分成乐句"
blend,"n. 混合；掺合物
vi. 混合；协调
vt. 混合"
modest,adj. 谦虚的，谦逊的；适度的；端庄的；羞怯的
ankle,n. 踝关节，踝
pretext,"n. 借口；托辞
vt. 以…为借口"
pretty,"n. 有吸引力的事物（尤指饰品）；漂亮的人
adj. 漂亮的；可爱的；优美的
adv. 相当地；颇"
prevalence,n. 流行；普遍；广泛
priesthood,n. 祭司职；神职；僧职
prison,"n. 监狱；监禁；拘留所
vt. 监禁，关押"
prisoner,n. 囚犯，犯人；俘虏；刑事被告
privatization,n. 私有化
probe,"n. 探针；调查
vi. 调查；探测
vt. 探查；用探针探测"
proclaim,vt. 宣告，公布；声明；表明；赞扬
prolong,vt. 延长；拖延
prone,adj. 俯卧的；有…倾向的，易于…的
prose,"n. 散文；单调
adj. 散文的；平凡的；乏味的
vt. 把…写成散文
vi. 写散文；乏味地讲话"
prosperity,n. 繁荣，成功
protest,"n. 抗议
adj. 表示抗议的；抗议性的
vt. 抗议；断言
vi. 抗议；断言"
provocative,"n. 刺激物，挑拨物；兴奋剂
adj. 刺激的，挑拨的；气人的"
quantity,n. 量，数量；大量；总量
radiate,"adj. 辐射状的，有射线的
vi. 辐射；流露；发光；从中心向各方伸展
vt. 辐射；传播；流露；发射；广播"
radiocarbon,n.  放射性碳
rash,"n.  皮疹；突然大量出现的事物
adj. 轻率的；鲁莽的；不顾后果的"
rational,"n. 有理数
adj. 合理的；理性的"
rationality,n. 合理性；合理的行动
readily,adv. 容易地；乐意地；无困难地
realistic,adj. 现实的；现实主义的；逼真的；实在论的
reassure,vt. 使…安心，使消除疑虑
reformer,n. 改革家；改革运动者；改良者
remarkable,adj. 卓越的；非凡的；值得注意的
remarkably,adv. 显著地；非常地；引人注目地
leather,"n. 皮革；皮革制品
vt. 用皮革包盖；抽打
adj. 皮的；皮革制的"
assess,vt. 评定；估价；对…征税
characterise,vt. 是…的特征; 以…为特征; 描述（人或物）的特性; 描绘
pledge,"n. 保证，誓言；抵押；抵押品，典当物
vt. 保证，许诺；用……抵押；举杯祝……健康"
hen,n. 母鸡；女人；雌禽
scare,"n. 恐慌；惊吓；惊恐
vt. 惊吓；把…吓跑
adj. （美）骇人的
vi. 受惊"
advisable,adj. 明智的，可取的，适当的
logic,"n. 逻辑；逻辑学；逻辑性
adj. 逻辑的"
continual,adj. 持续不断的；频繁的
appointment,n. 任命；约定；任命的职位
occurrence,n. 发生；出现；事件；发现
burden,"n. 负担；责任；船的载货量
vt. 使负担；烦扰；装货于"
rumor,"n. 谣言；传闻
vt. 谣传；传说"
insect,n. 昆虫；卑鄙的人
flock,"n. 群；棉束（等于floc）
vi. 聚集；成群而行
vt. 用棉束填满"
transport,"n. 运输；运输机；狂喜；流放犯
vt. 运输；流放；使狂喜"
E-mail,
e-mail,
vessel,n. 船，舰； 脉管，血管；容器，器皿
spark,"n. 火花；朝气；闪光
vt. 发动；鼓舞；求婚
vi. 闪烁；发火花；求婚"
plug,"n. 插头；塞子；栓
vt. 插入；塞住；接插头
vi. 塞住；用插头将与电源接通"
fiber,n. 纤维；光纤（等于fibre）
symbol,n. 象征；符号；标志
definitely,adv. 清楚地，当然；明确地，肯定地
handle,"n.  把手；柄；手感；口实
vt. 处理；操作；运用；买卖；触摸
vi. 搬运；易于操纵"
alike,"adj. 相似的；相同的
adv. 以同样的方式；类似于"
pension,"n. 退休金，抚恤金；津贴；膳宿费
vt. 发给养老金或抚恤金"
sphere,"n. 范围；球体
adj. 球体的
vt. 包围；放入球内；使…成球形"
origin,n. 起源；原点；出身；开端
install,vt. 安装；任命；安顿
signature,n. 署名；签名；信号
container,n. 集装箱；容器
wolf,"n. 狼；色狼；残忍贪婪之人
vt. 大吃；狼吞虎咽地吃"
consequently,adv. 因此；结果；所以
crucial,adj. 重要的；决定性的；定局的；决断的
constitution,n. 宪法；体制；章程；构造；建立，组成；体格
horizon,n.  地平线；视野；眼界；范围
rebel,"n. 反叛者；叛徒
adj. 反抗的；造反的
vi. 反叛；反抗；造反"
frog,"n. 青蛙； 辙叉；饰扣
vi. 捕蛙"
boast,"n. 自夸；值得夸耀的事物，引以为荣的事物
vi. 自吹自擂
vt. 夸口说，自吹自擂说；以有…而自豪"
harmony,n. 协调；和睦；融洽；调和
boom,"n. 繁荣；吊杆；隆隆声
vt. 使兴旺；发隆隆声
vi. 急速发展；发隆隆声"
plentiful,adj. 丰富的；许多的；丰饶的；众多的
agent,"n. 代理人，代理商；药剂；特工
adj. 代理的
vt. 由…作中介；由…代理"
up-to-date,adj. 最新的，最近的；现代的，新式的
guidance,n. 指导，引导；领导
ingredient,"n. 原料；要素；组成部分
adj. 构成组成部分的"
favorite,"n. 幸运儿；喜欢的事物；特别喜欢的人
adj. 最喜爱的；中意的；宠爱的"
costly,adj. 昂贵的；代价高的
starve,"vi. 饿死；挨饿；渴望
vt. 使饿死；使挨饿"
politician,n. 政治家，政客
county,n. 郡，县
cultivate,vt. 培养；陶冶；耕作
poisonous,adj. 有毒的；恶毒的；讨厌的
arithmetic,n. 算术，算法
unfortunately,adv. 不幸地
outcome,n. 结果，结局；成果
bulb,"n. 电灯泡；鳞茎；球状物
vi. 生球茎；膨胀成球状"
loyalty,n. 忠诚；忠心；忠实；忠于…感情
enterprise,n. 企业；事业；进取心；事业心
remote,"n. 远程
adj. 遥远的；偏僻的；疏远的"
representation,n. 代表；表现；表示法；陈述
representative,"n. 代表；典型；众议员
adj. 典型的，有代表性的；代议制的"
reproach,"n. 责备；耻辱
vt. 责备；申斥"
reproduction,n. 繁殖，生殖；复制；复制品
reproductive,adj. 生殖的；再生的；复制的
resist,"n.  抗蚀剂；防染剂
vt. 抵抗；忍耐，忍住
vi. 抵抗，抗拒；忍耐"
resistance,n. 阻力；电阻；抵抗；反抗；抵抗力
respecting,"prep. 关于；就…而言；鉴于
v. 尊敬；考虑（respect的ing形式）"
robbery,n. 抢劫，盗窃；抢掠
row,"n. 行，排；划船；街道；吵闹
vt. 划船；使……成排
vi. 划船；争吵"
scenery,n. 风景；景色；舞台布景
scientifically,adv. 系统地；合乎科学地；学问上
scorn,"n. 轻蔑；嘲笑；藐视的对象
vt. 轻蔑；藐视；不屑做
vi. 表示轻蔑；表示鄙视"
selfishness,n. 自私自利；自我中心；任性
semester,n. 学期；半年
senate,n. 参议院，上院；（古罗马的）元老院
sensitivity,n. 敏感；敏感性；过敏
shelf,n. 架子；搁板；搁板状物；暗礁
significantly,adv. 显著地；相当数量地
simultaneously,adv. 同时地
slavery,n. 奴役；奴隶制度；奴隶身份
slope,"n. 斜坡；倾斜；斜率；扛枪姿势
vt. 倾斜；使倾斜；扛
vi. 倾斜；逃走"
snob,n. 势利小人，势利眼；假内行
socialist,"n. 社会主义者；社会党党员
adj. 社会主义的"
sociology,n. 社会学；群体生态学
spacious,adj. 宽敞的，广阔的；无边无际的
spoil,"n. 次品；奖品
vt. 溺爱；糟蹋；破坏；掠夺
vi. 掠夺；变坏；腐败"
spontaneous,adj. 自发的；自然的；无意识的
spontaneously,adv. 自发地；自然地；不由自主地
stagger,"n. 蹒跚；交错安排
vt. 蹒跚；使交错；使犹豫
adj. 交错的；错开的
vi. 蹒跚；犹豫"
stake,"n. 桩，棍子；赌注；火刑；奖金
vt. 资助，支持；系…于桩上；把…押下打赌
vi. 打赌"
starvation,n. 饿死；挨饿；绝食
subjective,adj. 主观的；个人的；自觉的
submerge,"vt. 淹没；把…浸入；沉浸
vi. 淹没；潜入水中；湮没"
successive,adj. 连续的；继承的；依次的；接替的
nowhere,"adv. 无处；任何地方都不；毫无结果
n. 无处；任何地方；无名之地
adj. 不存在的；毫无结果的；不知名的"
admission,n. 承认；入场费；进入许可；坦白；录用
mood,n. 情绪，语气；心境；气氛
integrate,"n. 一体化；集成体
adj. 整合的；完全的
vi. 求积分；取消隔离；成为一体
vt. 使…完整；使…成整体；求…的积分；表示…的总和"
dot,"n. 点，圆点；嫁妆
vt. 加小点于
vi. 打上点"
employment,n. 使用；职业；雇用
bar,"n. 条，棒；酒吧；障碍；法庭
prep. 除……外
vt. 禁止；阻拦"
fur,"n. 皮，皮子；毛皮；软毛
n. 水垢
vt. 用毛皮覆盖；使穿毛皮服装"
ending,n. 结局；结尾
motive,"n. 动机，目的；主题
adj. 发动的；成为动机的
vt. 使产生动机，激起"
simplicity,n. 朴素；简易；天真；愚蠢
petroleum,n. 石油
shelter,"n. 庇护；避难所；遮盖物
vt. 保护；使掩蔽
vi. 躲避，避难"
merchant,"n. 商人，批发商；店主
adj. 商业的，商人的"
bounce,"n. 跳；弹力；活力
vt. 弹跳；使弹起
vi. 弹跳；弹起，反跳；弹回"
marvellous,adj. 不可思议的；惊人的
edit,"vt. 编辑；校订
n. 编辑工作"
disguise,"n. 伪装；假装；用作伪装的东西
vt. 掩饰；假装；隐瞒"
variation,n. 变化； 变异，变种
formula,n.  公式，准则；配方；婴儿食品
beam,"n. 横梁；光线；电波；船宽； 秤杆
vt. 发送；以梁支撑；用…照射；流露
vi. 照射；堆满笑容"
orderly,"adj. 有秩序的；整齐的；值班的
n. 勤务兵；传令兵；护理员
adv. 顺序地；依次地"
liter,n.  公升（容量单位）
organ,n.  器官；机构；风琴；管风琴；嗓音
launch,"vt. 发射（导弹、火箭等）；发起，发动；使…下水
vi. 开始；下水；起飞
n. 发射；发行，投放市场；下水；汽艇"
physician,n.  医师；内科医师
release,"n. 释放；发布；让与
vt. 释放；发射；让与；允许发表"
beneath,"prep. 在…之下
adv. 在下方"
accordingly,adv. 因此，于是；相应地；照著
additional,adj. 附加的，额外的
atomic,adj. 原子的，原子能的；微粒子的
germ,"n.  胚芽，萌芽；细菌
vi. 萌芽"
passive,"n. 被动语态
adj. 被动的，消极的；被动语态的"
centigrade,adj. 摄氏的； 摄氏温度的；百分度的
witness,"n. 证人；目击者；证据
vt. 目击；证明；为…作证
vi. 作证人"
stadium,n. 体育场；露天大型运动场
atom,n. 原子
utter,"adj. 完全的；彻底的；无条件的
vt. 发出，表达；发射"
extension,n. 延长；延期；扩大；伸展；电话分机
circuit,"n.  电路，回路；巡回；一圈；环道
vt. 绕回…环行
vi. 环行"
fulfil,vt. 履行；完成；实践；满足
ancient,"n. 古代人；老人
adj. 古代的；古老的，过时的；年老的"
crane,"n. 吊车，起重机；鹤
vt. 用起重机起吊；伸长脖子
vi. 伸着脖子看；迟疑，踌躇"
specify,vt. 指定；详细说明；列举；把…列入说明书
behalf,n. 代表；利益
respond,"n. 应答；唱和
vi. 回答；作出反应；承担责任
vt. 以…回答"
accountant,n. 会计师；会计人员
hardware,n. 计算机硬件；五金器具
drawer,n. 抽屉；开票人；出票人；起草者；酒馆侍
carbon,"n.  碳；碳棒；复写纸
adj. 碳的；碳处理的"
inferior,"n. 下级；次品
adj. 差的；自卑的；下级的，下等的"
desirable,"n. 合意的人或事物
adj. 令人满意的；值得要的"
harsh,adj. 严厉的；严酷的；刺耳的；粗糙的；刺目的
flourish,"n. 兴旺；茂盛；挥舞；炫耀；华饰
vi. 繁荣，兴旺；茂盛；活跃；处于旺盛时期
vt. 夸耀；挥舞"
freight,"n. 货运；运费；船货
vt. 运送；装货；使充满"
gap,"n. 间隙；缺口；差距；分歧
vt. 使形成缺口
vi. 裂开"
agency,n. 代理，中介；代理处，经销处
cancel,"vi. 取消，撤销
vt. 取消；删去
vi. 取消；相互抵消
n. 取消，撤销"
equation,n. 方程式，等式；相等； 反应式
elegant,adj. 高雅的，优雅的；讲究的；简炼的；简洁的
limitation,n. 限制；限度；极限；追诉时效；有效期限；缺陷
weekly,"n. 周刊
adj. 每周的；周刊的；一周一次的
adv. 每周一次；逐周"
withstand,"vt. 抵挡；禁得起；反抗
vi. 反抗"
earnest,"n. 认真；定金；诚挚
adj. 认真的，热心的；重要的"
odd,"adj. 奇数的；古怪的；剩余的；临时的；零散的
n. 奇数；怪人；奇特的事物"
directly,"conj. 一…就
adv. 直接地；立即；马上；正好地；坦率地"
substance,n. 物质；实质；资产；主旨
obstacle,n. 障碍，干扰；妨害物
queue,"n. 队列；长队；辫子
vt. 将…梳成辫子；使…排队
vi. 排队；排队等候"
microscope,n. 显微镜
property,n. 性质，性能；财产；所有权
equip,vt. 装备，配备
percentage,n. 百分比；百分率，百分数
delivery,n.  交付；分娩；递送
theoretical,adj. 理论的；理论上的；假设的；推理的
statue,"n. 雕像，塑像
vt. 以雕像装饰"
diplomatic,adj. 外交的；外交上的；老练的
jaw,"n. 颌；下巴；狭窄入口；唠叨
vt. 教训；对…唠叨
vi. 教训；唠叨"
competent,adj. 胜任的；有能力的；能干的；足够的
peculiar,"n. 特权；特有财产
adj. 特殊的；独特的；奇怪的；罕见的"
mechanical,adj. 机械的；力学的；呆板的；无意识的；手工操作的
remark,"n. 注意；言辞
vt. 评论；觉察
vi. 谈论"
relief,n. 救济；减轻，解除；安慰；浮雕
garbage,n. 垃圾；废物
evidently,adv. 显然，明显地；清楚地
medium,"adj. 中间的，中等的；半生熟的
n. 方法；媒体；媒介；中间物"
cruise,"n. 巡航，巡游；乘船游览
vt. 巡航，巡游；漫游
vi. 巡航，巡游；漫游"
occupation,n. 职业；占有；消遣；占有期
divorce,"n. 离婚；分离
vt. 使离婚，使分离；与…离婚
vi. 离婚"
classical,"n. 古典音乐
adj. 古典的；经典的；传统的；第一流的"
rival,"n. 对手；竞争者
adj. 竞争的
vt. 与…竞争；比得上某人
vi. 竞争"
association,n. 协会，联盟，社团；联合；联想
jury,"n.  陪审团；评判委员会
adj. 应急的"
passport,n. 护照，通行证；手段
symptom,n.  症状；征兆
recovery,n. 恢复，复原；痊愈；重获
injure,vt. 伤害，损害
committee,n. 委员会
investment,n. 投资；投入；封锁
conquest,n. 征服，战胜；战利品
terror,n. 恐怖；恐怖行动；恐怖时期；可怕的人
undoubtedly,adv. 确实地，毋庸置疑的
amateur,"n. 爱好者；业余爱好者；外行
adj. 业余的；外行的"
title,"n. 冠军；标题；头衔；权利；字幕
adj. 冠军的；标题的；头衔的
vt. 加标题于；赋予头衔；把…称为"
childhood,n. 童年时期；幼年时代
utmost,"n. 极限；最大可能
adj. 极度的；最远的"
hollow,"n. 洞；山谷；窟窿
adj. 空的；中空的，空腹的；凹的；虚伪的
vt. 使成为空洞
adv. 彻底地；无用地
vi. 形成空洞"
prince,n. 王子，国君；亲王；贵族
recession,n. 衰退；不景气；后退；凹处
roar,"n. 咆哮；吼；轰鸣
vi. 咆哮；吼叫；喧闹
vt. 咆哮；呼喊；使……轰鸣"
conceal,vt. 隐藏；隐瞒
organic,adj.  有机的；组织的；器官的；根本的
emphasize,vt. 强调，着重
emphasise,vt. （英）强调；加强…的语气（等于emphasize ）
vice,"prep. 代替
n. 恶习；缺点； 老虎钳；卖淫
adj. 副的；代替的
vt. 钳住"
breadth,n. 宽度，幅度；宽宏
cheerful,adj. 快乐的；愉快的；高兴的
technician,n. 技师，技术员；技巧纯熟的人
trace,"n. 痕迹，踪迹；微量； 迹线；缰绳
vt. 追踪，查探；描绘；回溯
vi. 追溯；沿路走"
fate,"n. 命运
vt. 注定"
transportation,n. 运输；运输系统；运输工具；流放
host,"n.  主机；主人；主持人；许多
vt. 主持；当主人招待
vi. 群集；做主人"
moisture,n. 水分；湿度；潮湿；降雨量
textbook,n. 教科书，课本
script,"n. 脚本；手迹；书写用的字母
vt. 把…改编为剧本
vi. 写电影脚本"
location,n. 位置（形容词locational）；地点；外景拍摄场地
correspondent,n. 通讯记者；客户；通信者；代理商行
outward,"adj. 向外的；外面的；公开的；外服的；肉体的
adv. 向外（等于outwards）；在外；显而易见地
n. 外表；外面；物质世界"
definition,n. 定义； 清晰度；解说
hammer,"n. 铁锤；链球； 锤骨；音锤
vi. 锤击；敲打；重复
vt. 锤击；锤打"
in abundance,"adv. 充足
 丰富；大量；丰富的"
in the aggregate,"na. 总计
 总共；作为总体计算；合计"
assert oneself,"na. 坚持自己的权利；表现自己
 显示自己的权威；坚持自己的权力；维护自己"
avail oneself of,"na. 利用时机
 趁；乘势；使自己充分利用"
by analogy,"na. 照此类推
 用类推的方法；用类比的方法；用类推法"
blaze a trail,"na. 开路；带头
 开辟道路；走出……道路；开拓道路"
on the blink,"na. 坏了；喝醉的；(机器等)出毛病；(人)不舒服
 失灵；身体不爽；性能不佳"
in blossom,"na. 开着花
 开花；盛开；鲜花盛开"
in full blossom,"na. 盛开
 开着花；尽情盛开；正开着花"
on the brink of,"na. 即将要
 濒于；濒临；在……的边缘"
buck up,"na. 振作精神；鼓励；打起精神来!
 振作起来；快点；振奋"
clamp down,"v. 严厉打击；强制执行；严禁；施压
 取缔；施加压力；对……施压"
clamp down on, 压制，取缔
in chorus,"na. 合唱；异口同声地
 齐声；一齐；共同"
in collaboration with,"na. 与…合作；与…勾结
 与...合作；与…勾结在一起；合作机构"
hold in contempt, 轻视，认为…不屑一顾; 不齿; 瞧不起; 看不上眼
courtesy of, 蒙…好意；经由…提供；由……配音
by courtesy of,"na. 由于…好意
 由于…的作用；蒙…的好意，蒙…提供；由于..好意"
in default of,"na. 因无…
 因缺少；因为没有；因没有"
in defiance of,"na. 无视
 不顾；不管；违抗"
dine out,"na. 在外吃饭
 外出吃饭；出外吃饭；出去吃饭"
in duplicate, 一式两份；一式二份；一式两联
dwell on,"na. 细想详述仔细研究强调；拖长(发音)仔细打量；减慢
 详细讲述；凝思；老是想着"
dwell upon,"na. 细想详述仔细研究强调；盯着看；减慢
 深思；仔细想，深思；详细讲述"
in essence,"na. 本质上；大体上
 实质上；在本质上；本质上地"
of the essence,"na. 绝对不可缺的
 极重要的；必不可少的；不可缺少的"
flatter oneself,"un. 自以为
 自鸣得意；自夸；自以为是"
first and foremost,"na. 首先
 首要地；首要的是；第一位的和首要的"
foul up,"na. 搞坏；同“foul”
 搞糟；搞砸；弄糟"
gamble away,"na. 乱花；赌输掉
 赌掉；输光；滥用"
take a gamble, 冒险从事；得不赌一把；冒风险
come to grief,"na. 失败；受伤；受欺负；出毛病
 遭难；吃亏；无由之灾"
grin and bear it,"na. 逆来顺受
 默默忍受；忍耐着点；一笑忍之"
hail from,"v. 来自
 出生于；来自于；来自或发源于"
hinge on,"v. 随…而定；依赖
 取决于；以…为转移；靠…转动"
hinge upon,"v. 随…而定；依赖
 依赖著；决定"
on impulse, 一时冲动；一时心血来潮；冲动的
to all intents,
to all intents and purposes,"na. 无论从哪一点来看
 实际上；事实上；实质上"
in the interim,"na. 在间歇的当儿
 在过渡期间；同时；在其间"
jog one's memory,
lash out,"na. 痛批；斥责；痛打；突然袭击
 猛烈抨击；攻击；指控，抨击"
lash out at,"v. 痛打；狠踢
 抨击；掊击；猛烈抨击"
