compatible,adj. 兼容的；能共处的；可并立的
sole,"n. 鞋底；脚底；基础；鳎目鱼
adj. 唯一的；单独的；仅有的
vt. 触底；上鞋底"
gut,"n. 内脏；肠子；剧情；胆量；海峡；勇气；直觉；肠
vt. 取出内脏；摧毁（建筑物等）的内部
adj. 简单的；本质的，根本的；本能的，直觉的"
paralyze,vt. 使麻痹；使瘫痪
paralyse,vt. 使……无力；使……麻痹；使……瘫痪
calculate,"vt. 计算；预测；认为；打算
vi. 计算；以为；作打算"
yield,"n. 产量；收益
vt. 屈服；出产，产生；放弃
vi. 屈服，投降"
create,vt. 创造，创作；造成
blossom,"n. 花；开花期；兴旺期；花开的状态
vi. 开花；兴旺；发展成"
predominant,adj. 主要的；卓越的；支配的；有力的；有影响的
glimpse,"n. 一瞥，一看
vt. 瞥见
vi. 瞥见"
whirl,"n. 旋转，回旋；昏乱；一连串的事；短暂的旅行
vt. 使旋转；卷走，飞快地带走
vi. 旋转，回旋；急走；头晕眼花"
deliver,"n. 投球
vt. 交付；发表；递送；释放；给予（打击）；给…接生
vi. 实现；传送；履行；投递"
escalate,"vt. 使逐步上升
vi. 逐步增强；逐步升高"
sorrow,"n. 悲伤；懊悔；伤心事
vt. 为…悲痛
vi. 懊悔；遗憾；感到悲伤"
thereof,adv. 它的；由此；在其中；关于…；将它
drip,"n. 水滴，滴水声；静脉滴注；使人厌烦的人
vt. 使滴下；溢出，发出
vi. 滴下；充满；漏下"
canvas,"n. 帆布
adj. 帆布制的
vt. 用帆布覆盖，用帆布装备"
trash,"n. 垃圾；废物
vt. 丢弃；修剪树枝"
detail,"n. 细节，详情
vt. 详述；选派
vi. 画详图"
hatch,"n. 孵化；舱口
vt. 孵；策划
vi. 孵化"
statue,"n. 雕像，塑像
vt. 以雕像装饰"
orchard,n. 果园；果树林
practitioner,n. 开业者，从业者，执业医生
impress,"n. 印象，印记；特征，痕迹
vi. 给人印象
vt. 盖印；强征；传送；给予某人深刻印象"
tariff,"n. 关税表；收费表
vt. 定税率；征收关税"
section,"n. 截面；部分；部门；地区；章节
vt. 把…分段；将…切片；对…进行划分
vi. 被切割成片；被分成部分"
superficial,adj. 表面的；肤浅的 ；表面文章的；外表的；（人）浅薄的
ceremony,n. 典礼，仪式；礼节，礼仪；客套，虚礼
correspond,vi. 符合，一致；相应；通信
protein,"n. 蛋白质；朊
adj. 蛋白质的"
outrage,"n. 愤怒，愤慨；暴行；侮辱
vt. 凌辱，强奸；对…施暴行；激起愤怒"
justice,n. 司法，法律制裁；正义；法官，审判员
nationality,n. 国籍，国家；民族；部落
cast,"n. 投掷，抛；铸件， 铸型；演员阵容；脱落物
vt. 投，抛；计算；浇铸；投射（光、影、视线等）
vi. 投，抛垂钓鱼钩；计算，把几个数字加起来"
warrant,"n. 根据；证明；正当理由；委任状
vt. 保证；担保；批准；辩解"
analysis,n. 分析；分解；验定
syndrome,n.  综合症状；并发症状；校验子；并发位
scratch,"n. 擦伤；抓痕；刮擦声；乱写
adj. 打草稿用的；凑合的；碰巧的
vt. 抓；刮；挖出；乱涂
vi. 抓；搔；发刮擦声；勉强糊口；退出比赛"
traitor,n. 叛徒；卖国贼；背信弃义的人
cafeteria,n. 自助餐厅
rely,vi. 依靠；信赖
statesman,n. 政治家；国务活动家
fluent,adj. 流畅的，流利的；液态的；畅流的
scarcely,adv. 几乎不，简直不；简直没有
spiral,"n. 螺旋；旋涡；螺旋形之物
adj. 螺旋形的；盘旋的
vt. 使成螺旋形；使作螺旋形上升
vi. 盘旋；成螺旋形；螺旋形上升（过去式spiraled/spiralled，过去分词spiraled/spiralled，现在分词spiraling/spiralling，第三人称单数spirals，副词spirally）"
flee,"vt. 逃跑，逃走；逃避
vi. 逃走；消失，消散"
prejudice,"n. 偏见；侵害
vt. 损害；使有偏见"
humorous,adj. 诙谐的，幽默的；滑稽的，可笑的
legend,n. 传奇；说明；图例；刻印文字
prey,"n. 捕食；牺牲者；被捕食的动物
vi. 捕食；掠夺；折磨"
receipt,"n. 收到；收据；收入
vt. 收到"
screen,"n. 屏，幕；屏风
vt. 筛；拍摄；放映；掩蔽
vi. 拍电影"
certify,v. 证明；保证
heritage,n. 遗产；传统；继承物；继承权
avenue,n. 大街；林荫大道；(达到某物的)途径，手段，方法，渠道
rejoice,"vi. 高兴；庆祝
vt. 使高兴"
anecdote,n. 轶事；奇闻；秘史
ambassador,n. 大使；代表；使节
capable,adj. 能干的，能胜任的；有才华的
radius,n. 半径，半径范围； 桡骨；辐射光线；有效航程
hail,"n. 冰雹；致敬；招呼；一阵
vt. 致敬；招呼；向...欢呼；猛发；使像下雹样落下（过去式hailed，过去分词hailed，现在分词hailing，第三人称单数hails）
int. 万岁；欢迎
vi. 招呼；下雹"
marble,"n. 大理石；大理石制品；弹珠
adj. 大理石的；冷酷无情的"
anyhow,adv. 总之；无论如何；不管怎样
displace,vt. 取代；置换；转移；把…免职；排水
qualify,"vi. 取得资格，有资格
vt. 限制；使具有资格；证明…合格"
patent,"n. 专利权；执照；专利品
adj. 专利的；新奇的；显然的
vt. 授予专利；取得…的专利权"
leading,"adj. 领导的；主要的
n. 领导；铅板；行距
v. 领导（lead的ing形式）"
ridge,"n. 山脊；山脉；屋脊
vt. 使成脊状；作垄
vi. 成脊状"
maximum,"n.  极大，最大限度；最大量
adj. 最高的；最多的；最大极限的"
shield,"n. 盾；防护物；保护者
vt. 遮蔽；包庇；避开；保卫
vi. 防御；起保护作用"
spear,"n. 矛，枪
vt. 用矛刺"
chapter,"n. 章，回；（俱乐部、协会等的）分会；人生或历史上的重要时期
vt. 把…分成章节"
singular,"n. 单数
adj. 单数的；单一的；非凡的；异常的"
county,n. 郡，县
mayor,n. 市长
saw,"n. 锯子；谚语
v. see的过去式
vi. 锯；用锯；将某物锯成小块
vt. 看见；明白，了解；锯；锯成；锯开"
predecessor,n. 前任，前辈
susceptible,"n. 易得病的人
adj. 易受影响的；易感动的；容许…的"
puppet,n. 木偶；傀儡；受他人操纵的人
eve,n. 前夕；傍晚；重大事件关头
release,"n. 释放；发布；让与
vt. 释放；发射；让与；允许发表"
colleague,n. 同事，同僚
arrest,"n. 逮捕；监禁
vt. 逮捕；阻止；吸引"
shift,"n. 移动；变化；手段；轮班
vt. 转移；改变；替换
vi. 移动；转变；转换"
vicious,adj. 恶毒的；恶意的；堕落的；有错误的；品性不端的；剧烈的
magnet,n. 磁铁； 磁体；磁石
resolution,n.  分辨率；决议；解决；决心
resultant,"n. 合力；结果； 生成物
adj. 结果的；合成的"
rap,"n. 轻敲
vi. 敲击；交谈
vt. 抢走；轻敲；敲击致使；使着迷"
diagnose,"vt. 诊断；断定
vi. 诊断；判断"
onion,n. 洋葱；洋葱头
leaflet,n. 小叶；传单
fashionable,adj. 流行的；时髦的；上流社会的
flame,"n. 火焰；热情；光辉
v. 焚烧；泛红"
distract,vt. 转移；分心
subtract,vt. 减去；扣掉
cooperate,vi. 合作，配合；协力
glory,"n. 光荣，荣誉；赞颂
vi. 自豪，骄傲；狂喜"
spicy,adj. 辛辣的；香的，多香料的；下流的
geology,n. 地质学；地质情况
skilful,adj. 灵巧的; 熟练的; 技术好的
skillful,adj. 熟练的；巧妙的
multiply,"vt. 乘；使增加；使繁殖；使相乘
vi. 乘；繁殖；增加
adv. 多样地；复合地
adj. 多层的；多样的"
consist,vi. 由…组成；在于；符合
physicist,n. 物理学家；唯物论者
arbitrary,adj.  任意的；武断的；专制的
erase,"vt. 抹去；擦除
vi. 被擦去，被抹掉"
mood,n. 情绪，语气；心境；气氛
economical,adj. 经济的；节约的；合算的
squirrel,"n. 松鼠；松鼠毛皮
vt. 贮藏"
logical,adj. 合逻辑的，合理的；逻辑学的
deplore,vt. 谴责；悲悼；哀叹；对…深感遗憾
withhold,"vt. 保留，不给；隐瞒；抑制
vi. 忍住；克制"
furnace,n. 火炉，熔炉
appeal,"n. 呼吁，请求；吸引力，感染力；上诉；诉诸裁判
vt. 将…上诉，对…上诉
vi. 呼吁，恳求；上诉；诉诸，求助；有吸引力，迎合爱好；（体育比赛中）诉诸裁判"
waken,"vt. 唤醒；使觉醒
vi. 醒来；觉醒"
background,"n. 背景；隐蔽的位置
adj. 背景的；发布背景材料的
vt. 作…的背景"
junk,n. 垃圾，废物；舢板
combine,"n. 联合收割机；联合企业
vt. 使化合；使联合，使结合
vi. 联合，结合；化合"
thermometer,n. 温度计；体温计
guideline,"n. 指导方针
参考"
assist,"n. 帮助；助攻
vi. 参加；出席
vt. 帮助；促进"
reserve,"n. 储备，储存；自然保护区；预备队；缄默； 储备金
vt. 储备；保留；预约
vi. 预订"
rip,"n. 裂口，裂缝
vi. 裂开，被撕裂
vt. 撕；锯"
comedy,n. 喜剧；喜剧性；有趣的事情
interval,n. 间隔；间距；幕间休息
perpetual,adj. 永久的；不断的；四季开花的；无期限的
electronic,"adj. 电子的
n. 电子电路；电子器件"
tease,"vt. 取笑；戏弄；梳理；欺负；强求；使起毛
n. 戏弄；爱纠缠的小孩；挑逗者；卖弄风骚的女孩
vi. 取笑"
trail,"n. 小径；痕迹；尾部；踪迹；一串，一系列
vt. 追踪；拖；蔓延；落后于
vi. 飘出；蔓生；垂下；拖曳"
fry,"n. 鱼苗；油炸食物
vt. 油炸；油煎
vi. 油炸；油煎"
moderate,"adj. 稳健的，温和的；适度的，中等的；有节制的
vi. 变缓和，变弱
vt. 节制；减轻"
banner,"n. 横幅图片的广告模式
n. 旗帜，横幅,标语"
cycle,"n. 循环；周期；自行车；整套；一段时间
vt. 使循环；使轮转
vi. 循环；骑自行车；轮转"
irrespective,adj. 无关的；不考虑的；不顾的
fore,"n. 前部；船头
prep. 在前
adj. 以前的；在前部的
adv. 在前面；在船头
int. （打高尔夫球者的叫声）让开！"
realistic,adj. 现实的；现实主义的；逼真的；实在论的
stroll,"n. 漫步；闲逛；巡回演出
vt. 散步；闲逛
vi. 散步；闲逛；巡回演出"
flare,"n. 加剧，恶化；底部展开；（鼻孔）张开的意思；闪光，闪耀；耀斑；爆发；照明弹
vi. 闪耀，闪光；燃烧；突然发怒
vt. 使闪耀；使张开；用发光信号发出；使外倾"
rude,adj. 粗鲁的；无礼的；狂暴的；未开化的
beam,"n. 横梁；光线；电波；船宽； 秤杆
vt. 发送；以梁支撑；用…照射；流露
vi. 照射；堆满笑容"
sunshine,n. 阳光；愉快；晴天；快活
gracious,"adj. 亲切的；高尚的；和蔼的；雅致的
int. 天哪；哎呀"
distinguish,"vi. 区别，区分；辨别
vt. 区分；辨别；使杰出，使表现突出"
occasional,adj. 偶然的；临时的；特殊场合的
identical,"n. 完全相同的事物
adj. 同一的；完全相同的"
frequency,n. 频率；频繁
helmet,n. 钢盔，头盔
deliberate,"adj. 故意的；深思熟虑的；从容的
vt. 仔细考虑；商议"
sentiment,n. 感情，情绪；情操；观点；多愁善感
enclosure,n. 附件；围墙；围场
charm,"n. 魅力，吸引力；魔力
vt. 使陶醉；行魔法
vi. 有魔力；用符咒"
tray,n. 托盘；文件盒；隔底匣；（无线电的）发射箱
gamble,"n. 赌博；冒险；打赌
vi. 赌博；孤注一掷；投机；打赌
vt. 赌博；孤注一掷；冒险假设"
code,"n. 代码，密码；编码；法典
vt. 编码；制成法典
vi. 指定遗传密码"
peculiar,"n. 特权；特有财产
adj. 特殊的；独特的；奇怪的；罕见的"
cottage,n. 小屋；村舍；（农舍式的）小别墅
embryo,"n.  胚胎；胚芽；初期
adj. 胚胎的；初期的"
herald,"n. 预兆，征兆；先驱；传令官；报信者
vt. 通报；预示…的来临"
scorn,"n. 轻蔑；嘲笑；藐视的对象
vt. 轻蔑；藐视；不屑做
vi. 表示轻蔑；表示鄙视"
diplomatic,adj. 外交的；外交上的；老练的
productive,adj. 能生产的；生产的，生产性的；多产的；富有成效的
bankrupt,"n.  破产者
adj. 破产的
vt. 使破产"
paradise,"n. 天堂
至福境地"
affect,"n. 情感；引起感情的因素
vt. 影响；感染；感动；假装
vi. 倾向；喜欢"
belief,n. 相信，信赖；信仰；教义
sigh,"n. 叹息，叹气
vt. 叹息，叹气
vi. 叹息，叹气"
signal,"n. 信号；暗号；导火线
adj. 显著的；作为信号的
vt. 标志；用信号通知；表示
vi. 发信号"
up-to-date,adj. 最新的，最近的；现代的，新式的
alleviate,vt. 减轻，缓和
identify,vt. 确定；鉴定；识别，辨认出；使参与；把…看成一样 vi. 确定；认同；一致
potential,"n. 潜能；可能性； 电势
adj. 潜在的；可能的；势的"
stuff,"n. 东西；材料；填充物；素材资料
vt. 塞满；填塞；让吃饱
vi. 吃得过多"
shampoo,"n. 洗发；洗发精
vt. 洗发"
empirical,adj. 经验主义的，完全根据经验的；实证的
career,"n. 生涯；职业；事业；速度，全速
adj. 作为毕生职业的
vi. 全速前进，猛冲"
proportion,"n. 比例，占比；部分；面积；均衡
vt. 使成比例；使均衡；分摊"
restrain,vt. 抑制，控制；约束；制止
execute,vt. 实行；执行；处死
lemon,"adj. 柠檬色的
n. 柠檬"
mistress,n. 情妇；女主人；主妇；女教师；女能人
sovereign,"n. 君主；独立国；最高统治者
adj. 至高无上的；有主权的；拥有最高统治权的；不折不扣的；极好的"
swing,"n. 摇摆；摆动；秋千；音律；涨落
adj. 旋转的；悬挂的；强节奏爵士音乐的
vt. 使旋转；挥舞；悬挂
vi. 摇摆；转向；悬挂；大摇大摆地行走"
mislead,vt. 误导；带错
tame,"adj. 驯服的；平淡的；乏味的；顺从的
vt. 驯养；使变得平淡；制服
vi. 变得驯服"
pronoun,n. 代词
heroic,"n. 史诗；英勇行为
adj. 英雄的；英勇的；记叙英雄及其事迹的；夸张的"
allowance,"n. 津贴，零用钱；允许；限额
vt. 定量供应"
preach,"n. 说教
vt. 说教；讲道；鼓吹；传道；反复灌输
vi. 说教；讲道；鼓吹；宣扬"
sponsor,"n. 赞助者；主办者；保证人
vt. 赞助；发起"
gallop,"n. 疾驰；飞奔
vi. 飞驰；急速进行；急急忙忙地说
vt. 使飞跑；迅速运输"
collection,n. 采集，聚集； 征收；收藏品；募捐
spine,n. 脊柱，脊椎；刺；书脊
prophet,n. 先知；预言者；提倡者
illuminate,"vt. 阐明，说明；照亮；使灿烂；用灯装饰
vi. 照亮"
poke,"n. 戳；刺；袋子；懒汉
vt. 刺，捅；戳；拨开
vi. 刺，捅；戳；伸出；刺探；闲荡"
wholesome,adj. 健全的；有益健康的；合乎卫生的；审慎的
comprehension,n. 理解；包含
grant,"n. 拨款； 授予物
vt. 授予；允许；承认
vi. 同意"
essay,"n. 散文；试图；随笔
vt. 尝试；对…做试验"
nylon,n. 尼龙， 聚酰胺纤维；尼龙袜
magic,"n. 巫术；魔法；戏法
adj. 不可思议的；有魔力的；魔术的"
evolve,"vi. 发展，进展；进化；逐步形成
vt. 发展，进化；进化；使逐步形成；推断出"
incidentally,adv. 顺便；偶然地；附带地
immense,adj. 巨大的，广大的；无边无际的；非常好的
humanity,n. 人类；人道；仁慈；人文学科
tablet,"n. 碑；药片；写字板；小块；平板电脑
vt. 用碑牌纪念；将(备忘录等)写在板上；将…制成小片或小块"
thesis,n. 论文；论点
item,"n. 条款，项目；一则；一件商品（或物品）
adj. 又，同上
v. 记下；逐条列出"
aircraft,n. 飞机，航空器
harbor,"n. 海港；避难所
vt. 庇护；怀有
vi. 居住，生存；入港停泊；躲藏"
harbour,"n. 海港（等于harbor）；避难所
vt. 庇护；藏匿；入港停泊
vi. 藏匿；入港停泊；庇护"
verge,"n. 边缘
vi. 濒临，接近；处在边缘"
community,n. 社区； 群落；共同体；团体
prosperous,adj. 繁荣的；兴旺的
foam,"n. 泡沫；水沫；灭火泡沫
vt. 使起泡沫；使成泡沫状物
vi. 起泡沫；吐白沫；起着泡沫流动"
patriotic,adj. 爱国的
silicon,n.  硅；硅元素
incline,"n. 倾斜；斜面；斜坡
vt. 使倾斜；使倾向于
vi. 倾斜；倾向；易于"
poster,n. 海报，广告；招贴
attain,"n. 成就
vt. 达到，实现；获得；到达
vi. 达到；获得；到达"
terminate,"vt. 使终止；使结束；解雇
adj. 结束的
vi. 结束，终止；结果"
brace,"n. 支柱； 大括号；曲柄
vt. 支撑；振作起来；激励；撑牢
adj. 曲柄的
vi. 支持；打起精神"
