appoint,"vt. 任命；指定；约定
vi. 任命；委派"
lay,"vt. 躺下；产卵；搁放；放置；铺放；涂，敷
adj. 世俗的；外行的；没有经验的
n. 位置；短诗；花纹方向；叙事诗；性伙伴
vi. 下蛋；打赌
v. 躺；位于（lie的过去式）"
enormous,adj. 庞大的，巨大的；凶暴的，极恶的
numerous,adj. 许多的，很多的
rush,"n. 冲进；匆促；急流；灯心草
adj. 急需的
vt. 使冲；突袭；匆忙地做；飞跃
vi. 冲；奔；闯；赶紧；涌现"
rainbow,"n. 彩虹；五彩缤纷的排列；幻想
adj. 五彩缤纷的；彩虹状的
vt. 使呈彩虹状；如彩虹般装饰
vi. 呈彩虹状"
ribbon,"n. 带；缎带；（勋章等的）绶带；带状物；勋表
vt. 把…撕成条带；用缎带装饰
vi. 形成带状"
rank,"n. 排；等级；军衔；队列
adj. 讨厌的；恶臭的；繁茂的
vt. 排列；把…分等
vi. 列为；列队"
occupy,vt. 占据，占领；居住；使忙碌
classify,vt. 分类；分等
glimpse,"n. 一瞥，一看
vt. 瞥见
vi. 瞥见"
vision,"n. 视力；美景；眼力；幻象；想象力；幻视（漫威漫画旗下超级英雄）
vt. 想象；显现；梦见"
scene,n. 场面；情景；景象；事件
function,"n. 功能； 函数；职责；盛大的集会
vi. 运行；活动；行使职责"
give,"n. 弹性；弯曲；伸展性
vi. 捐赠；面向；有弹性；气候转暖
vt. 给；产生；让步；举办；授予"
entitle,vt. 称做…；定名为…；给…称号；使…有权利
credit,"n. 信用，信誉； 贷款；学分；信任；声望
vt. 相信，信任；把…归给，归功于；赞颂"
absorb,vt. 吸收；吸引；承受；理解；使…全神贯注
draw,"n. 平局；抽签
vi. 拉；拖
vt. 画；拉；吸引"
concentrate,"n. 浓缩，精选；浓缩液
vi. 集中；浓缩；全神贯注；聚集
vt. 集中；浓缩"
commit,vt. 犯罪，做错事；把...交托给；指派…作战；使…承担义务
switch,"n. 开关；转换；鞭子
vi. 转换；抽打；换防
vt. 转换；用鞭子等抽打"
convert,"n. 皈依者；改变宗教信仰者
vt. 使转变；转换…；使…改变信仰
vi. 转变，变换；皈依；改变信仰"
favor,"n. 喜爱；欢心；好感
vt. 赞成；喜欢；像；赐予；证实"
count,"n. 计数；计算；伯爵
vt. 计算；认为
vi. 计数；有价值"
valid,adj. 有效的；有根据的；合法的；正当的
fruitful,adj. 富有成效的；多产的；果实结得多的
effective,adj. 有效的，起作用的；实际的，实在的；给人深刻印象
pour,"n. 倾泻；流出；骤雨
vt. 灌，注；倒；倾泻；倾吐
vi. 倾泻；涌流；斟茶"
expand,"vt. 扩张；使膨胀；详述
vi. 发展；张开，展开"
expansive,adj. 广阔的；扩张的；豪爽的
expansion,n. 膨胀；阐述；扩张物
expensive,adj. 昂贵的；花钱的
exact,"adj. 准确的，精密的；精确的
vt. 要求；强求；急需
vi. 勒索钱财"
define,vt. 定义；使明确；规定
definite,adj. 一定的；确切的
put,"n. 掷；笨蛋；投击；怪人
adj. 固定不动的
vi. 出发；击；航行；发芽
vt. 放；表达；移动；安置；赋予"
arrive,vi. 到达；成功；达成；出生
submit,"vi. 提交；服从
vt. 使服从；主张；呈递"
work,"n. 工作； 功；产品；操作；职业；行为；事业；工厂；著作；文学、音乐或艺术作品
vt. 使工作；操作；经营；使缓慢前进
vi. 工作；运作；起作用"
reach,"n. 范围；延伸；河段；横风行驶
vi. 达到；延伸；伸出手；传开
vt. 达到；影响；抵达；伸出"
hand,"n. 手，手艺；帮助；指针；插手
vt. 传递，交给；支持；搀扶"
hold,"n. 控制；保留
vi. 支持；有效；持续
vt. 持有；拥有；保存；拘留；约束或控制
又作“Hold住”使用，中英混用词汇，表示轻松掌控全局。
"
sight,"n. 视力；景象；眼界；见解
adj. 见票即付的；即席的
vt. 看见；瞄准
vi. 瞄准；观看"
normal,"adj. 正常的；正规的，标准的
n. 正常；标准；常态"
regular,"n. 常客；正式队员；中坚分子
adj. 定期的；有规律的；合格的；整齐的；普通的
adv. 定期地；经常地"
average,"n. 平均；平均数；海损
adj. 平均的；普通的；通常的
vt. 算出…的平均数；将…平均分配；使…平衡
vi. 平均为；呈中间色"
ordinary,"adj. 普通的；平凡的；平常的
n. 普通；平常的人（或事）"
claim,"n. 要求；声称；索赔；断言；值得
vt. 要求；声称；需要；认领
vi. 提出要求"
assert,vt. 维护，坚持；断言；主张；声称
proclaim,vt. 宣告，公布；声明；表明；赞扬
demand,"n.  需求；要求；需要
vt. 要求；需要；查询
vi. 需要；请求；查问"
price,"n. 价格；价值；代价
vt. 给……定价；问……的价格"
amount,"n. 数量；总额，总数
vi. 总计，合计；相当于；共计；产生…结果"
turn,"n. 转弯；变化；(损害或有益于别人的)行为，举动，举止
vi. 转向；转变；转动
vt. 转动，使旋转；转弯；翻过来；兑换"
add,"n. 加法，加法运算
vi. 加；增加；加起来；做加法
vt. 增加，添加；补充说；计算…总和"
tend,"vt. 照料，照管
vi. 趋向，倾向；照料，照顾"
breed,"n.  品种；种类，类型
vt. 繁殖；饲养；养育，教育；引起
vi. 繁殖；饲养；产生"
tame,"adj. 驯服的；平淡的；乏味的；顺从的
vt. 驯养；使变得平淡；制服
vi. 变得驯服"
large,"adj. 大的；多数的；广博的
adv. 大大地；夸大地
n. 大"
largely,adv. 主要地；大部分；大量地
strong,"adj. 坚强的；强壮的；牢固的；擅长的
adv. 强劲地；猛烈地"
hard,"adj. 努力的；硬的；困难的；辛苦的；确实的；严厉的；猛烈的；冷酷无情的
adv. 努力地；困难地；辛苦地；接近地；猛烈地；牢固地"
high,"n. 高水平；天空；由麻醉品引起的快感；高压地带
adj. 高的；高级的；崇高的；高音调的
adv. 高；奢侈地"
guilty,adj. 有罪的；内疚的
live,"adj. 活的；生动的；实况转播的；精力充沛的
vt. 经历；度过
vi. 活；居住；生存"
oblige,"vt. 迫使；强制；赐，施恩惠；责成；义务
vi. 帮忙；施恩惠"
question,"n. 问题，疑问；询问；疑问句
vt. 询问；怀疑；审问
vi. 询问；怀疑；审问"
stuff,"n. 东西；材料；填充物；素材资料
vt. 塞满；填塞；让吃饱
vi. 吃得过多"
matter,"n. 物质；事件
vi. 有关系；要紧"
issue,"n. 问题；流出；期号；发行物
vt. 发行，发布；发给；放出，排出
vi. 发行；流出；造成…结果；传下"
serious,adj. 严肃的，严重的；认真的；庄重的；危急的
heavy,"n. 重物；严肃角色
adj. 沉重的；繁重的，巨大的；拥挤的；阴沉的
adv. 大量地；笨重地"
severe,adj. 严峻的；严厉的；剧烈的；苛刻的
expose,vt. 揭露，揭发；使曝光；显示
exposure,n. 暴露；曝光；揭露；陈列
betray,vt. 背叛；出卖；泄露（秘密）；露出…迹象
exhibition,n. 展览，显示；展览会；展览品
acquire,vt. 获得；取得；学到；捕获
inquire,"vi. 询问；查究；询价
vt. 询问；查究；问明"
request,"n. 请求；需要
vt. 要求，请求"
require,vt. 需要；要求；命令
furnish,vt. 提供；供应；装备
propose,"vi. 建议；求婚；打算
vt. 建议；打算，计划；求婚"
pull,"n. 拉，拉绳；拉力，牵引力；拖
vt. 拉；拔；拖
vi. 拉，拖；拔"
pick,"n. 选择；鹤嘴锄；挖；掩护
vi. 挑选；采摘；挖
vt. 拾取；精选；采摘；掘"
dense,adj. 稠密的；浓厚的；愚钝的
vast,"n. 浩瀚；广阔无垠的空间
adj. 广阔的；巨大的；大量的；巨额的"
plan,"n. 计划；平面图
vt. 计划；设计；打算
vi. 计划；打算"
device,n. 装置；策略；图案
trap,"n. 陷阱；圈套； 存水湾
vt. 诱捕；使…受限制；使…陷入困境
vi. 设陷阱"
limit,"n. 限制；限度；界线
vt. 限制；限定"
field,"n. 领域；牧场；旷野；战场；运动场
adj. 扫描场；田赛的；野生的
vt. 把暴晒于场上；使上场
vi. 担任场外队员"
special,"n. 特使，特派人员；特刊；特色菜；专车；特价商品
adj. 特别的；专门的，专用的"
constant,"n.  常数；恒量
adj. 不变的；恒定的；经常的"
trick,"n. 诡计；恶作剧；窍门；花招；骗局；欺诈
adj. 特技的；欺诈的；有决窍的
vt. 欺骗；哄骗；装饰；打扮
vi. 哄骗；戏弄"
reduce,"vi. 减少；缩小；归纳为
vt. 减少；降低；使处于；把…分解"
bold,adj. 大胆的，英勇的；黑体的；厚颜无耻的；险峻的
efficient,adj. 有效率的；有能力的；生效的
affect,"n. 情感；引起感情的因素
vt. 影响；感染；感动；假装
vi. 倾向；喜欢"
incline,"n. 倾斜；斜面；斜坡
vt. 使倾斜；使倾向于
vi. 倾斜；倾向；易于"
see,"vi. 看；看见；领会
vt. 看见；理解；领会"
purchase,"n. 购买；紧握；起重装置
vt. 购买；赢得
vi. 购买东西"
get,"n. 生殖；幼兽
vi. 成为；变得；到达
vt. 使得；获得；受到；变成"
surprise,"n. 惊奇，诧异；突然袭击
adj. 令人惊讶的
vt. 使惊奇；奇袭"
particularly,adv. 特别地，独特地；详细地，具体地；明确地，细致地
retain,vt. 保持；雇；记住
endure,"vt. 忍耐；容忍
vi. 忍耐；持续"
maintain,vt. 维持；继续；维修；主张；供养
survive,"vi. 幸存；活下来
vt. 幸存；生还；幸免于；比...活得长"
genuine,adj. 真实的，真正的；诚恳的
minimum,"n. 最小值；最低限度；最小化；最小量
adj. 最小的；最低的"
modest,adj. 谦虚的，谦逊的；适度的；端庄的；羞怯的
distant,adj. 遥远的；冷漠的；远隔的；不友好的，冷淡的
distance,"n. 距离；远方；疏远；间隔
vt. 疏远；把…远远甩在后面"
stock,"n. 股份，股票；库存；血统；树干；家畜
adj. 存货的，常备的；平凡的
vt. 进货；备有；装把手于…
vi. 囤积；办货；出新芽"
practice,"n. 实践；练习；惯例
vt. 练习；实习；实行
vi. 练习；实习；实行"
gender,"n. 性；性别；性交
vt. 生（过去式gendered，过去分词gendered，现在分词gendering，第三人称单数genders，形容词genderless）"
innovation,n. 创新，革新；新方法
nutrition,n. 营养，营养学；营养品
destroy,vt. 破坏；消灭；毁坏
assume,"vt. 僭取；篡夺；夺取；擅用；侵占
vi. 假定；设想；承担；采取"
mean,"adj. 平均的；卑鄙的；低劣的；吝啬的
vt. 意味；想要；意欲
n. 平均值
vi. 用意"
service,"n. 服务，服侍；服役；仪式
adj. 服务性的；耐用的；服现役的
vt. 维修，检修；保养"
sentence,"n.  句子，命题；宣判，判决
vt. 判决，宣判"
crime,"n. 罪行，犯罪；罪恶；犯罪活动
vt. 控告……违反纪律"
crisis,"n. 危机；危险期；决定性时刻
adj. 危机的；用于处理危机的"
decision,n. 决定，决心；决议
direction,n. 方向；指导；趋势；用法说明
distinct,adj. 明显的；独特的；清楚的；有区别的
side,"n. 方面；侧面；旁边
adj. 旁的，侧的
vt. 同意，支持
vi. 支持；赞助；偏袒"
sufficient,adj. 足够的；充分的
approximate,"adj.  近似的；大概的
vt. 近似；使…接近；粗略估计
vi. 接近于；近似于"
proper,"adj. 适当的；本身的；特有的；正派的
adv. 完全地"
sense,"n. 感觉，功能；观念；道理；理智
vt. 感觉到；检测"
idea,n. 想法；主意；概念
display,"n. 显示；炫耀
vt. 显示；表现；陈列
adj. 展览的；陈列用的
vi.  作炫耀行为"
reaction,n. 反应，感应；反动，复古；反作用
comment,"n. 评论；意见；批评
vi. 发表评论；发表意见
vt. 为…作评语"
opinion,n. 意见；主张
artificial,adj. 人造的；仿造的；虚伪的；非原产地的；武断的
false,"adj. 错误的；虚伪的；伪造的
adv. 欺诈地"
contrast,"n. 对比；差别；对照物
vt. 使对比；使与…对照
vi. 对比；形成对照"
word,"n.  单词；话语；消息；诺言；命令
vt. 用言辞表达"
contribute,"vt. 贡献，出力；投稿；捐献
vi. 贡献，出力；投稿；捐献
"
sole,"n. 鞋底；脚底；基础；鳎目鱼
adj. 唯一的；单独的；仅有的
vt. 触底；上鞋底"
single,"n. 一个；单打；单程票
adj. 单一的；单身的；单程的
vt. 选出
vi. 击出一垒安打"
alone,"adj. 独自的；单独的；孤独的
adv. 独自地；单独地"
lonely,"adj. 寂寞的；偏僻的
n. 孤独者"
attain,"n. 成就
vt. 达到，实现；获得；到达
vi. 达到；获得；到达"
cut,"n. 伤口；切口；削减；（服装等的）式样；削球；切入
adj. 割下的；雕过的；缩减的
vt.  切割；削减；缩短；刺痛
vi.  切割；相交；切牌；停拍；不出席"
heart,"n. 心脏；感情；勇气；心形；要点
vt. 鼓励；铭记
vi. 结心"
nature,n. 自然；性质；本性；种类
observe,"vt. 庆祝
vt. 观察；遵守；说；注意到；评论
vi. 观察；说；注意到；评论"
observation,n. 观察；监视；观察报告
speed,"n. 速度，速率；迅速，快速；昌盛，繁荣
vt. 加快…的速度；使成功，使繁荣
vi. 超速，加速；加速，迅速前行；兴隆"
growth,n. 增长；发展；生长；种植
neglect,"vt. 疏忽，忽视；忽略
n. 疏忽，忽视；怠慢"
deny,"vi. 否认；拒绝
vt. 否定，否认；拒绝给予；拒绝…的要求"
sorry,"adj. 遗憾的；对不起的，抱歉的
int. 对不起，抱歉（表示委婉的拒绝等）"
ashamed,adj. 惭愧的，感到难为情的；耻于……的
miserable,adj. 悲惨的；痛苦的；卑鄙的
pair,"n. 一对，一双，一副
vt. 把…组成一对"
opportunity,n. 时机，机会
real,"n. 现实；实数
adj. 实际的；真实的；实在的
adv. 真正地；确实地"
reality,n. 现实；实际；真实
consequently,adv. 因此；结果；所以
release,"n. 释放；发布；让与
vt. 释放；发射；让与；允许发表"
relieve,vt. 解除，减轻；使不单调乏味；换…的班；解围；使放心
relief,n. 救济；减轻，解除；安慰；浮雕
contrary,"n. 相反；反面
adj. 相反的；对立的
adv. 相反地"
part,"n. 部分；角色；零件；一些；片段
adj. 部分的
vt. 分离；分配；分开
adv. 部分地
vi. 断裂；分手"
pitch,"n. 沥青；音高；程度；树脂；倾斜；投掷；球场
vt. 投；掷；定位于；用沥青涂；扎营；向前倾跌
vi. 倾斜；投掷；搭帐篷；坠落"
toss,"n. 投掷；摇荡；投掷的距离；掷币赌胜负
vt. 投掷；使…不安；突然抬起；使…上下摇动；与…掷币打赌
vi. 辗转；被乱扔；颠簸；掷钱币决定某事"
fling,"n. 掷，抛；嘲弄；急冲
vt. 掷，抛；嘲笑；使陷入；轻蔑地投射；猛动
vi. 猛冲，急行"
insert,"n. 插入物；管芯；镶块；刀片
vt. 插入；嵌入"
impose,"vt. 强加；征税；以…欺骗
vi. 利用；欺骗；施加影响"
plunge,"n. 投入；跳进
vt. 使陷入；使投入；使插入
vi. 突然地下降；投入；陷入；跳进"
comfortable,"n. 盖被
adj. 舒适的，舒服的"
convenient,adj. 方便的；适当的；近便的；实用的
treat,"n. 请客；款待
vi. 探讨；请客；协商
vt. 治疗；对待；探讨；视为"
adjust,"vt. 调整，使…适合；校准
vi. 调整，校准；适应"
hurt,"n. 痛苦；危害；痛苦的原因
vt. 使受伤；损害；使疼痛；使痛心
adj. 受伤的；痛苦的；受损的
vi. 感到疼痛；有坏处；带来痛苦"
damage,"vi. 损害；损毁
vt. 损害，毁坏
n. 损害；损毁；赔偿金"
