abnormal,adj. 反常的，不规则的；变态的
slam,"n. 猛击；砰然声
vi. 砰地关上；猛力抨击
vt. 砰地关上；猛力抨击"
butt,"n. 屁股；烟头；笑柄；靶垛；粗大的一端
vt. 以头抵撞；碰撞"
colony,n. 殖民地；移民队；种群；动物栖息地
colonial,"n. 殖民地居民
adj. 殖民地的，殖民的"
slave,"n. 奴隶；从动装置
vi. 苦干；拼命工作"
bondage,n. 奴役，束缚；奴役身份
commit,vt. 犯罪，做错事；把...交托给；指派…作战；使…承担义务
commitment,n. 承诺，保证；委托；承担义务；献身
obligation,n. 义务；职责；债务
commodity,n. 商品，货物；日用品
bid,"n. 出价；叫牌；努力争取
vi. 投标；吩咐
vt. 投标；出价；表示；吩咐"
invoice,"n. 账单，发货单，收款请求
vt. 开发票；记清单"
refund,"n. 退款；偿还，偿还额
vt. 退还；偿还；付还
vi. 退还；偿还，归还"
swap,"n. 交换；交换之物
vt. 与...交换；以...作交换
vi. 交换；交易"
communicate,"vi. 通讯，传达；相通；交流；感染
vt. 传达；感染；显露"
communication,n. 通讯， 通信；交流；信函
community,n. 社区； 群落；共同体；团体
comparable,adj. 可比较的；比得上的
parallel,"n. 平行线；对比
adj. 平行的；类似的，相同的
vt. 使…与…平行"
analogous,adj. 类似的； 同功的；可比拟的
compass,"n. 指南针，罗盘；圆规
vt. 包围"
surpass,vt. 超越；胜过，优于；非…所能办到或理解
bypass,"n. 旁路； 支路
vt. 绕开；忽视；设旁路；迂回"
competence,n. 能力，胜任；权限；作证能力；足以过舒适生活的收入
competition,n. 竞争；比赛，竞赛
complement,"n. 补语；余角；补足物
vt. 补足，补助"
comprehend,vt. 理解；包含；由…组成
comprehensive,"n. 综合学校；专业综合测验
adj. 综合的；广泛的；有理解力的"
apprehend,"vt. 理解；逮捕；忧虑
vi. 理解；担心"
conceive,"vi. 怀孕；设想；考虑
vt. 怀孕；构思；以为；持有"
formulate,vt. 规划；用公式表示；明确地表达
contrive,"vt. 设计；发明；图谋
vi. 谋划；设法做到"
conclude,"vi. 推断；断定；决定
vt. 推断；决定，作结论；结束"
exclusive,"n. 独家新闻；独家经营的项目；排外者
adj. 独有的；排外的；专一的"
inclusive,adj. 包括的，包含的
conducive,adj. 有益的；有助于…的
detective,"n. 侦探
adj. 侦探的"
archive,"n. 档案馆；档案文件
vt. 把…存档"
confide,"vt. 吐露；委托
vi. 信赖；吐露秘密"
confirmation,n. 确认；证实；证明；批准
confidence,"n. 信心；信任；秘密
adj. （美）诈骗的；骗得信任的"
confidential,adj. 机密的；表示信任的；获信任的
conform,"adj. 一致的；顺从的
vi. 符合；遵照；适应环境
vt. 使遵守；使一致；使顺从"
confront,vt. 面对；遭遇；比较
confine,"n. 界限，边界;约束；限制
vt. 限制；禁闭"
consciousness,n. 意识；知觉；觉悟；感觉
concept,n. 观念，概念
conception,n. 怀孕；概念；设想；开始
consensus,n. 一致；舆论；合意
conserve,"n. 果酱；蜜饯
vt. 保存；将…做成蜜饯；使守恒"
consumer,n. 消费者；用户，顾客
consequent,"n. 结果
adj. 随之发生的；作为结果的"
consecutive,adj. 连贯的；连续不断的
conservation,n. 保存，保持；保护
conservative,
conventional,adj. 符合习俗的，传统的；常见的；惯例的
orthodox,"adj. 正统的；传统的；惯常的；东正教的
n. 正统的人；正统的事物"
stereotype,"n. 陈腔滥调，老套；铅版
vt. 使用铅版；套用老套，使一成不变"
cliché,
consolidate,"vt. 巩固，使固定；联合
vi. 巩固，加强"
solidify,"vt. 团结；凝固
vi. 团结；凝固"
strengthen,"vt. 加强；巩固
vi. 变强；变坚挺"
conspire,"vi. 共谋；协力
vt.  密谋策划"
contingent,"n. 分遣队；偶然事件；分得部分；代表团
adj. 因情况而异的；不一定的；偶然发生的；可能的；依情况而定的；偶然的；有条件的"
condolence,n. 哀悼；慰问
correlate,"n. 相关物；相关联的人
vt. 使有相互关系；互相有关系
adj. 关联的
vi. 关联"
correlation,n.  相关，关联；相互关系
correlated,"adj. 有相互关系的
v. （使）相关联；（使）相互对照（correlate的过去分词）"
compact,"n. 合同，契约；小粉盒
adj. 紧凑的，紧密的；简洁的
vt. 使简洁；使紧密结合"
complexion,"n. 肤色；面色；情况；局面
vt. 使增添色彩"
compliment,"n. 恭维；称赞；问候；致意；道贺
vt. 恭维；称赞"
concise,adj. 简明的，简洁的
condense,"vt. 使浓缩；使压缩
vi. 浓缩；凝结"
configuration,n. 配置；结构；外形
connotation,n. 内涵；含蓄；暗示，隐含意义；储蓄的东西（词、语等）
corrupt,"adj. 腐败的，贪污的；堕落的
vt. 使腐烂；使堕落，使恶化
vi. 堕落，腐化；腐烂"
constant,"n.  常数；恒量
adj. 不变的；恒定的；经常的"
perpetual,adj. 永久的；不断的；四季开花的；无期限的
serial,"n. 电视连续剧； 期刊；连载小说
adj. 连续的；连载的；分期偿还的"
contaminate,vt. 污染，弄脏
contamination,n. 污染，玷污；污染物
contaminator,"n. 污染物, 沾染物"
convene,"vt. 召集，集合；传唤
vi. 聚集，集合"
converge,"vt. 使汇聚
vi. 聚集；靠拢；收敛"
summon,vt. 召唤；召集；鼓起；振作
convenience,n. 便利；厕所；便利的事物
intervene,vi. 干涉；调停；插入
inventory,n. 存货，存货清单；详细目录；财产清册
revenue,n. 税收，国家的收入；收益
convict,"n. 罪犯
vt. 证明…有罪；宣告…有罪"
conviction,n. 定罪；确信；证明有罪；确信，坚定的信仰
convince,vt. 说服；使确信，使信服
coordinate,"n. 坐标；同等的人或物
vt. 调整；整合
adj. 并列的；同等的
vi. 协调"
coexist,vi. 共存；和平共处
collaborate,vi. 合作；勾结，通敌
correspondence,n. 通信；一致；相当
manuscript,"n.  手稿；原稿
adj. 手写的"
draft,"n. 汇票；草稿；选派；（尤指房间、烟囱、炉子等供暖系统中的）（小股）气流
vt. 起草；制定；征募
vi. 拟稿；绘样；作草图
adj. 初步画出或（写出）的；（设计、草图、提纲或版本）正在起草中的，草拟的；以草稿形式的；草图的"
envelope,n. 信封，封皮；包膜； 包层；包迹
bulletin,"n. 公告，公报
vt. 公布，公告"
dispatch,"n. 派遣；急件
vt. 派遣；分派"
despatch,"n. 派遣；发送（等于dispatch）
vt. 派遣；发送；匆匆吃下
vi. 匆匆离开"
costume,"n. 服装，装束；戏装，剧装
vt. 给…穿上服装"
garment,"n. 衣服，服装；外表，外观
vt. 给…穿衣服"
texture,n. 质地；纹理；结构；本质，实质
velvet,"adj. 天鹅绒的
n. 天鹅绒，丝绒；天鹅绒似的东西"
cape,n.  海角，岬；披肩
dressing,"n. 穿衣；加工；调味品；装饰；梳理
v. 给…穿衣；为…打扮（dress的现在分词）"
apron,"n. 围裙； 停机坪；舞台口
vt. 着围裙于；围绕"
zip,"n. 拉链; 精力，活力; 尖啸声; 一种程序压缩格式
vt. 给予…速度; 用拉链拉上或扣上
vt.& vi. 尖啸而过; （使沿某方向）快速移动"
elastic,"n. 松紧带；橡皮圈
adj. 有弹性的；灵活的；易伸缩的"
vogue,"n. 时尚；流行，时髦
adj. 时髦的，流行的"
lipstick,"n. 口红；唇膏
vt. 涂口红
vi. 涂口红"
courtesy,"n. 礼貌；好意；恩惠
adj. 殷勤的；被承认的；出于礼节的"
modesty,n. 谦逊；质朴；稳重
etiquette,n. 礼节，礼仪；规矩
cram,"n. 死记硬背；极度拥挤
adj. 填鸭式学的
vi. 狼吞虎咽地吃东西；死记硬背功课
vt. 填满，塞满；死记硬背；猛吃"
crate,"n. 板条箱；篓
vt. 将某物装入大木箱或板条箱中"
crave,"vi. 渴望；恳求
vt. 渴望；恳求"
craving,"n. 渴望；热望
v. 渴望；恳求（crave的ing形式）"
cripple,"n. 跛子；残废
vt. 削弱；使跛；使残废
adj. 跛的；残废的"
disable,vt. 使失去能力；使残废；使无资格
paralyze,vt. 使麻痹；使瘫痪
paralyse,vt. 使……无力；使……麻痹；使……瘫痪
dwarf,"n. 侏儒，矮子
adj. 矮小的
vi. 变矮小
vt. 使矮小"
criterion,n. （批评判断的）标准；准则；规范；准据
criticize,"vi. 批评；评论；苛求
vt. 批评；评论；非难"
criticism,n. 批评；考证；苛求
cruelty,n. 残酷；残忍；残酷的行为
atrocity,n. 暴行；凶恶，残暴
riot,"n. 暴乱；放纵；蔓延
vt. 浪费，挥霍
vi. 骚乱；放荡"
snatch,"n. 抢夺；抓举；小量
vt. 夺得；抽空做；及时救助
vi. 抢走；很快接受"
cumulative,adj. 累积的
accumulate,"vt. 积攒
vi. 累积；积聚"
accumulation,n. 积聚，累积；堆积物
cunning,"n. 狡猾
adj. 狡猾的；巧妙的；可爱的"
slippery,adj. 滑的；狡猾的；不稳定的
deceive,v. 欺骗；行骗
deceptive,adj. 欺诈的；迷惑的；虚伪的
delude,vt. 欺骗；哄骗；诱惑；迷惑；逃避；使失望
shark,"n. 鲨鱼；骗子
vt. 敲诈
vi. 诈骗"
fraud,n. 欺骗；骗子；诡计
custom,"n. 习惯，惯例；风俗；海关，关税；经常光顾；（经常性的）顾客
adj. （衣服等）定做的，定制的"
customary,"n. 习惯法汇编
adj. 习惯的；通常的"
customized,"n. 自定义；客制化；自定义级别
v. 定制；按特别订货生产（customize的过去式和过去分词）
adj. 定制的；用户化的"
datum,"n. 数据，资料
n. 基点，基线，基面； 论据，作为论据的事实
n. 已知数
n. （pl.）data"
census,"n. 人口普查，人口调查
vt. 实施统计调查"
statistics,n. 统计；统计学； 统计资料
debate,"n. 辩论；辩论会
vt. 辩论，争论，讨论
vi. 辩论，争论，讨论"
controversy,n. 争论；论战；辩论
argue,"vi. 争论，辩论；提出理由
vt. 辩论，争论；证明；说服"
debut,"n. 初次登台；开张
vi. 初次登台"
impromptu,"n. 即兴曲；即席演出
adj. 即席的
adv. 即席地"
performance,n. 性能；绩效；表演；执行；表现
arena,n. 舞台；竞技场
repertoire,n. 全部节目；计算机指令系统；（美）某人或机器的全部技能
drama,n. 戏剧，戏剧艺术；剧本；戏剧性事件
set,"n.  集合；一套；布景； 装置
adj. 固定的；规定的；固执的
vi. (日,月)落沉；凝固；结果
vt. 树立；点燃；点缀；"
lounge,"n. 休息室；闲逛；躺椅；（英）酒吧间
vi. 闲逛；懒洋洋地躺卧；闲混
vt. 虚度光阴"
circus,n. 马戏；马戏团
clown,"n. 小丑；乡下人；粗鲁笨拙的人
vi. 扮小丑；装傻"
decay,"n. 衰退， 衰减；腐烂，腐朽
vt. 使腐烂，使腐败；使衰退，使衰落
vi. 衰退， 衰减；腐烂，腐朽"
perish,"vi. 死亡；毁灭；腐烂；枯萎
vt. 使麻木；毁坏"
rot,"n. 腐烂；腐败；腐坏
vt. 使腐烂；使腐朽；使堕落
vi. 腐烂；腐败；堕落
int. （表示厌恶、蔑视、烦恼等）胡说；糟了"
declare,"vt. 宣布，声明；断言，宣称
vi. 声明，宣布"
declaration,n. （纳税品等的）申报；宣布；公告；申诉书
clearance,n. 清除；空隙
clarity,n. 清楚，明晰；透明
clarify,"vt. 澄清；阐明
vi. 得到澄清；变得明晰；得到净化"
clarification,n. 澄清，说明；净化
deduct,vt. 扣除，减去；演绎
subtract,vt. 减去；扣掉
decrease,"n. 减少，减小；减少量
vt. 减少，减小
vi. 减少，减小"
lessen,"vt. 使…变小；使…减轻；使…变少
vi. 减少；减轻；变小"
deficiency,n. 缺陷，缺点；缺乏；不足的数额
drawback,n. 缺点，不利条件；退税
defect,"n. 缺点，缺陷；不足之处
vi. 变节；叛变"
degrade,"vt. 贬低；使……丢脸；使……降级；使……降解
vi. 降级，降低；退化"
degradation,n. 退化；降格，降级；堕落
downgrade,"n. 退步；下坡
vt. 使降级（过去式downgraded，过去分词downgraded，现在分词downgrading，第三人称单数downgrades）；小看
adj. 下坡的
adv. 下坡地"
depreciate,"vi. 贬值；轻视；贬低
vt. 使贬值；贬低；轻视"
demonstrate,"vt. 证明；展示；论证
vi. 示威"
detail,"n. 细节，详情
vt. 详述；选派
vi. 画详图"
illustrate,"vi. 举例
vt. 阐明，举例说明；图解"
denounce,vt. 谴责；告发；公然抨击；通告废除
announcement,n. 公告；宣告；发表；通告
pronounce,"vt. 发音；宣判；断言
vi. 发音；作出判断"
pronunciation,n. 发音；读法
deport,vt. 驱逐出境；举止；放逐
exile,"n. 流放，充军；放逐，被放逐者；流犯
vt. 放逐，流放；使背井离乡"
eject,vt. 喷射；驱逐，逐出
expel,vt. 驱逐；开除
depress,vt. 压抑；使沮丧；使萧条
compress,"vt. 压缩，压紧；精简
vi. 受压缩小"
compression,n. 压缩，浓缩；压榨，压迫
oppress,vt. 压迫，压抑；使……烦恼；使……感到沉重
pressing,"n. 压；冲压件
v. 压；按；熨烫衣物（press的ing形式）
adj. 紧迫的；迫切的；恳切的"
deprive,vt. 使丧失，剥夺
deprivation,n. 剥夺；损失；免职；匮乏；贫困
forfeit,"n. 罚金；没收物；丧失的东西
vt. （因犯罪、失职、违约等）丧失（权利、名誉、生命等）
adj. 因受罚而丧失的；被没收的"
describe,vt. 描述，形容；描绘
portray,vt. 描绘；扮演
depict,vt. 描述；描画
desert,"n. 沙漠；荒原；应得的赏罚
vt. 遗弃；放弃；逃跑
adj. 沙漠的；荒凉的；不毛的
vi. 遗弃；开小差；逃掉"
abandon,"n. 放任；狂热
vt. 遗弃；放弃"
waive,vt. 放弃；搁置
discard,"n. 抛弃；被丢弃的东西或人
vt. 抛弃；放弃；丢弃
vi. 放弃"
junk,n. 垃圾，废物；舢板
designate,"vt. 指定；指派；标出；把…定名为
adj. 指定的；选定的"
nominate,vt. 推荐；提名；任命；指定
appoint,"vt. 任命；指定；约定
vi. 任命；委派"
despair,"n. 绝望；令人绝望的人或事
vi. 绝望，丧失信心"
desperate,adj. 不顾一切的；令人绝望的；极度渴望的
desperation,n. 绝望的境地；不顾一切拼命
prosper,"vi. 繁荣，昌盛；成功
vt. 使……成功；使……昌盛；使……繁荣"
prosperous,adj. 繁荣的；兴旺的
prosperity,n. 繁荣，成功
destiny,n. 命运，定数，天命
destined,"v. 注定（destine的过去式和过去分词）
adj. 注定的；命定的；去往…的"
doom,"n. 厄运；死亡；判决；世界末日
vt. 注定；判决；使失败"
detach,vt. 分离；派遣；使超然
deregulate,"vt. 解除对……的管制
vi. 解除控制"
deflate,"vt. 放气；使缩小；紧缩通货；打击；使泄气
vi. 缩小；物价下降"
degenerate,"n. 堕落的人
adj. 退化的；堕落的
vi. 退化；堕落
vt. 使退化；恶化"
deplete,vt. 耗尽，用尽；使衰竭，使空虚
despise,vt. 轻视，鄙视
descend,"vi. 下降；下去；下来；遗传；屈尊
vt. 下去；沿…向下"
defer,"vt. 使推迟；使延期
vi. 推迟；延期；服从"
derail,"n. 脱轨； 脱轨器
vt. 使出轨
vi. 出轨"
deviate,"vi. 脱离；越轨
vt. 使偏离"
denote,vt. 表示，指示
deploy,"n. 部署
vt. 配置；展开；使疏开
vi. 部署；展开"
detached,"v. 分离
adj. 分离的，分开的；超然的"
assorted,"v. 把…分等级；把…归为一类（assort的过去分词）
adj. 组合的；各种各样的；混杂的"
indebted,"adj. 负债的；感激的；受惠的
v. 使负债；使受恩惠（indebt的过去分词）"
wretched,adj. 可怜的；卑鄙的；令人苦恼或难受的
detect,vt. 察觉；发现；探测
discern,"vt. 识别；领悟，认识
vi. 看清楚，辨别"
identify,vt. 确定；鉴定；识别，辨认出；使参与；把…看成一样 vi. 确定；认同；一致
acknowledge,vt. 承认；答谢；报偿；告知已收到
detriment,n. 损害；伤害；损害物
assortment,n. 分类；混合物
measurement,n. 测量； 度量；尺寸；量度制
segment,"n. 段；部分
vt. 分割
vi. 分割"
tournament,n. 锦标赛，联赛；比赛
devour,v. 吞食；毁灭
devastate,vt. 毁灭；毁坏
mar,"vt. 损毁；损伤；糟蹋；玷污
n. 污点；瑕疵"
diesel,"n. 柴油机；柴油；（俚）健康的身体
adj. 内燃机传动的；供内燃机用的
n. 迪赛（意大利时装品牌）"
engine,n. 引擎，发动机；机车，火车头；工具
cylinder,n. 圆筒；汽缸； 柱面；圆柱状物
brake,"n. 闸，刹车；阻碍
vt. 刹车
vi. 刹车"
jack,"n. 千斤顶； 插座；男人
adj. 雄的
vt. 增加；提醒；抬起；用千斤顶顶起某物"
buffer,"n.  缓冲区；缓冲器， 减震器
vt. 缓冲"
