foods,n.  食品
stressful,adj. 紧张的；有压力的
stuck,"v. 刺（stick的过去式）
adj. 被卡住的；不能动的"
depression,n. 沮丧；洼地；不景气；忧愁；低气压区
frustration,n. 挫折
discourage,vt. 阻止；使气馁
encourage,vt. 鼓励，怂恿；激励；支持
useless,adj. 无用的；无效的
horror,n. 惊骇；惨状；极端厌恶；令人恐怖的事物
scare,"n. 恐慌；惊吓；惊恐
vt. 惊吓；把…吓跑
adj. （美）骇人的
vi. 受惊"
fear,"n. 害怕；恐惧；敬畏；担心
vt. 害怕；敬畏；为…担心
vi. 害怕；敬畏；为…担心"
tolerance,n. 公差；宽容；容忍；公差
lonely,"adj. 寂寞的；偏僻的
n. 孤独者"
isolation,n. 隔离；孤立； 绝缘； 离析
unsocial,adj. 非社会的；不合群的；孤僻的；不善交际的
independence,n. 独立性，自立性；自主
escape,"n. 逃跑；逃亡；逃走；逃跑工具或方法；野生种；泄漏
vi. 逃脱；避开；溜走；（气体，液体等）漏出；（未受伤或只受了一点伤害而）逃脱；声音（不自觉地）由…发出
vt. 逃避，避开，避免；被忘掉；被忽视"
tears,"n. 眼泪；泪水（tear复数形式）
v. 流泪；撕裂（tear的三单形式）"
torn,v. 扯裂，撕开（tear的过去分词）
sensitive,"adj. 敏感的；感觉的； 灵敏的；感光的；易受伤害的；易受影响的
n. 敏感的人；有灵异能力的人"
shame,"n. 羞耻，羞愧；憾事，带来耻辱的人
vt. 使丢脸，使羞愧"
boring,"n. 钻孔
adj. 无聊的；令人厌烦的
v. 钻孔；使厌烦；挖空（bore的ing形式）"
virus,n.  病毒；恶毒；毒害
infection,n. 感染；传染；影响；传染病
diseases,n.  病（disease的复数）； 疾病； 病害；疾病种类
illness,n. 病；疾病
uncomfortable,adj. 不舒服的；不安的
colds,n. 冷( cold的名词复数 ); 寒冷; 伤风; 感冒
flu,n. 流感
delicate,adj. 微妙的；精美的，雅致的；柔和的；易碎的；纤弱的；清淡可口的
pain,"n. 疼痛；努力
vt. 使…痛苦；使…烦恼
vi. 感到疼痛；引起疼痛"
muscle pain, 肌肉痛；肌肉疼痛；肌肉酸痛
injury,n. 伤害，损害；受伤处
sports injury,"un. 运动创伤
 运动伤害；运动受伤；运动损伤"
emergency,"n. 紧急情况；突发事件；非常时刻
adj. 紧急的；备用的"
accidents,n.  事故（accident的复数）； 意外事故
ambulance,n.  救护车；战时流动医院
first-aid kit,n. 急救箱
hospital,n. 医院
doctors,"n.  医生（doctor的复数）
v. 为…诊治（doctor的单数第三人称）"
nurse,"vt. 看护，护理；照顾；培养；给…喂奶
vi. 照料，护理；喂奶；当保姆
n. 护士；奶妈，保姆"
nursing,"n. 护理；看护；养育
v. 看护；养育（nurse的ing形式）"
dentist,"n. 牙科医生
牙医诊所"
psychologist,n. 心理学家，心理学者
description,n. 描述，描写；类型；说明书
detail,"n. 细节，详情
vt. 详述；选派
vi. 画详图"
detail information, 详细信息；详细资讯；详细资讯网址
medication,n. 药物；药物治疗；药物处理
medicine,"n. 药；医学；内科；巫术
vt. 用药物治疗；给…用药"
natural medicine, 自然医学；天然药物；何谓自然医学
medical,"adj. 医学的；药的；内科的
n. 医生；体格检查"
medical centre, 医疗中心；医务中心；医疗体检中心
drugs,n. 毒品， 药物
poison,"n. 毒药，毒物；酒；有毒害的事物； 抑制剂
adj. 有毒的
vt. 污染；使中毒，放毒于；败坏；阻碍
vi. 放毒，下毒"
oral,"n. 口试
adj. 口头的，口述的"
antibiotics,n.  抗生素；抗生学
painkiller,n. 止痛药
therapy,n. 治疗，疗法
treatment,n. 治疗，疗法；处理；对待
plastic surgery,"n. 整形外科
 整形手术；整容手术；整形外科学"
solution,n. 解决方案；溶液；溶解；解答
immune,"n. 免疫者；免除者
adj. 免疫的；免于……的，免除的"
prevention,n. 预防；阻止；妨碍
implant,"n.  植入物；植入管
vt. 种植；灌输；嵌入
vi. 被移植"
lose weight,"un. 体重减轻
 减肥；减轻体重；减重"
rest,"n. 休息，静止；休息时间；剩余部分；支架
vt. 使休息，使轻松；把…寄托于
vi. 休息；静止；依赖；安置"
rest area,"n. 休息站
 休息区；休息处；休息场所"
rest room,"n. 洗手间；厕所；卫生间
 休息室；带厕所或浴室的休息室；公共卫生间"
smile,"n. 微笑；笑容；喜色
vt. 微笑着表示
vi. 微笑"
relaxation,n. 放松；缓和；消遣
stimulation,n. 刺激；激励，鼓舞
aspiration,n. 渴望；抱负；送气；吸气；吸引术
motivation,n. 动机；积极性；推动
address,"n. 地址；演讲；致辞；说话的技巧；称呼
vt. 演说；从事；忙于；写姓名地址；向…致辞；与…说话；提出；处理"
apartment,n. 公寓；房间
flats,n.  平原，扁钢；低沼泽（flat的复数形式）
housing,n. 房屋；住房供给； 外壳；遮盖物；机器等的防护外壳或外罩
house key,
entrance,"n. 入口；进入
vt. 使出神，使入迷"
door,n. 门；家，户；门口；通道
door to door,"adj. 挨门逐户的；(货物由发货场)直送用户的
adv. 挨户；送货上门地
 门到门；沿海内贸集装箱门到门；门对门"
back door,"n. 后门；边门
 走后门；开后门；后门程式"
gate,"n. 大门；出入口；门道
vt. 给…装大门"
side gate,"un. 大门旁边的小门；旁侧控制极
 侧浇口；侧向浇口；侧门"
handle,"n.  把手；柄；手感；口实
vt. 处理；操作；运用；买卖；触摸
vi. 搬运；易于操纵"
lock,"vt. 锁，锁上；隐藏
vi. 锁；锁住；卡住
n. 锁；水闸；刹车"
lockers,n. 寄物柜( locker的名词复数 )
lock-up garage, 上锁的车库
self-locking,adj. 自动锁定的
codes,"n.  编码， 代码；规范；准则（code的复数）
v.  编码（code的第三人称单数形式）"
password,n. 密码；口令
elevator,n. 电梯；升降机；升降舵；起卸机
stairs,n. 楼梯；梯级（stair的复数）
staircases,n. 楼梯( staircase的名词复数 )
upstairs,"n. 楼上
adj. 楼上的
adv. 在楼上，向楼上；上楼；往楼上"
stair lift,楼梯升降机
roof,"n. 屋顶；最高处，顶部；最高限度
vt. 给…盖屋顶，覆盖"
dome,"n. 圆屋顶
vi. 成圆顶状
vt. 加圆屋顶于…上"
corners,"n. 角落；窘境（corner的复数形式）
v. 使…陷入绝境；垄断（corner的第三人称单数形式）"
layout,n. 布局；设计；安排；陈列
ground plan,"n. （建筑物的）底层平面图；计划；大纲
 草案；首层平面图；底面图"
structure,"n. 结构；构造；建筑物
vt. 组织；构成；建造"
structured,"adj. 有结构的；有组织的
v. 组织；构成（structure的过去分词）；建造"
genetic structure,"un. 基因结构
 遗传结构；遗传质构造"
living room,"n. 客厅；起居室
 客厅系列；起居定；小客厅"
double room,"n. 双人房间
 双人间；带一张双人床的房间；大床间"
changing room,"n. （尤指做运动前使用的）更衣室
 更衣间；试衣间；员工更衣室"
green room,"n. 演员休息室
 绿厅；绿色客房；绿屋"
spare room,"un. 备用室
 客房；空房；空房间"
spare,"n. 剩余；备用零件
vt. 节约，吝惜；饶恕；分出，分让
adj. 多余的；瘦的；少量的
vi. 饶恕，宽恕；节约"
lounge,"n. 休息室；闲逛；躺椅；（英）酒吧间
vi. 闲逛；懒洋洋地躺卧；闲混
vt. 虚度光阴"
cabins,n. <美>小木屋( cabin的名词复数 ); （飞机上的）驾驶舱; 客舱; （轮船上工作或生活的）隔间
cabin key,
studio,n. 工作室； 演播室；画室；电影制片厂
balcony,n. 阳台；包厢；戏院楼厅
terrace,"n. 平台；梯田；阳台
adj. （女服）叠层式的
vt. 使成梯田，使成阶地；使有平台屋顶
vi. 成阶地；成梯田；筑成坛"
bedroom,"n. 卧室
adj. 两性关系的；城郊住宅区的"
bed sheet,"n. 床单
 被单；床单子；求购床单"
queen size,"na. 大号的
 双人床；大床；床垫"
bath,"n. 沐浴；浴室；浴盆
vt. 洗澡
vi. 洗澡"
bathroom,n. 浴室；厕所；盥洗室
toilet,"n. 厕所，盥洗室；梳妆，打扮
vt. 给…梳妆打扮
vi. 梳妆，打扮"
basement,n. 地下室；地窖
garage,"n. 车库；汽车修理厂；飞机库
vt. 把……送入车库；把（汽车）开进车库"
warehouse,n. 仓库；货栈；大商店
storage space,"n. 贮藏空间
 存储空间；储存空间管理；贮藏室"
fence,"n. 栅栏；围墙；剑术
vt. 防护；用篱笆围住；练习剑术
vi. 击剑；搪塞；围以栅栏；跳过栅栏"
barrier,"n. 障碍物，屏障；界线
vt. 把…关入栅栏"
floor,"n. 地板，地面；楼层；基底；议员席
vt. 铺地板；打倒，击倒；（被困难）难倒"
ground,"n. 地面；土地；范围；战场;根据
v. 研磨（grind的过去分词）；压迫
adj. 土地的；地面上的；磨碎的；磨过的
vt. 使接触地面；打基础；使搁浅
vi. 着陆；搁浅"
living expense, 生活费；生活费用；生活花费
clean,"n. 打扫
adj. 清洁的，干净的；清白的
vt. 使干净
vi. 打扫，清扫
adv. 完全地"
cleanest,adj. 清洁的( clean的最高级 ); 整齐的; 新的; 正派的
clean products,
clean materials,
waste,"n. 浪费；废物；荒地；损耗；地面风化物
adj. 废弃的；多余的；荒芜的
vt. 浪费；消耗；使荒芜
vi. 浪费；变消瘦；挥霍钱财"
waste disposal,"un. 废弃物处理；废物处置；废物处理
 废料处理；废弃物处置；废料处置"
green waste, 绿色垃圾；园林废弃物；园林垃圾
rubbish,"n. 垃圾，废物；废话
adj. 毫无价值的"
trash,"n. 垃圾；废物
vt. 丢弃；修剪树枝"
garbage,n. 垃圾；废物
dust bag,"un. 集尘袋；收尘袋
 撒粉袋；防尘袋；抖粉袋"
reusable,adj. 可以再度使用的，可重复使用的
reusable bag,
water pipes,"na. 水管；水烟筒
 铺设水管；水管图片；饮用水管"
pipe,"n. 管；烟斗；笛
vt. 用管道输送；尖声唱；用管乐器演奏
vi. 吹笛；尖叫"
drain,"n. 排水；下水道，排水管；消耗
vt. 喝光，耗尽；使流出；排掉水
vi. 排水；流干"
pump,"n. 泵，抽水机；打气筒
vt. 打气；用抽水机抽…
vi. 抽水"
pump water,
explode,"vi. 爆炸，爆发；激增
vt. 使爆炸；爆炸；推翻"
explosion,n. 爆炸；爆发；激增
leak,"n. 泄漏；漏洞，裂缝
vt. 使渗漏，泄露
vi. 漏，渗；泄漏出去"
gap,"n. 间隙；缺口；差距；分歧
vt. 使形成缺口
vi. 裂开"
request,"n. 请求；需要
vt. 要求，请求"
require,vt. 需要；要求；命令
demand,"n.  需求；要求；需要
vt. 要求；需要；查询
vi. 需要；请求；查问"
contact,"n. 接触，联系
vt. 使接触，联系
vi. 使接触，联系"
contact number, 联络电话；联系电话；联络号码
maintenance,n. 维护，维修；保持；生活费用
replacement,n. 更换；复位；代替者；补充兵员
change,"n. 变化；找回的零钱
vt. 改变；交换
vi. 改变；兑换"
repair,"n. 修理，修补；修补部位
vt. 修理；恢复；补救，纠正
vi. 修理；修复"
free repair, 免费修理
repaired cost,
carpenter,"n. 木匠，木工
vt. 制作
vi. 当木匠，做木匠工作"
seasoned,adj. 经验丰富的；老练的；调过味的
polish,
boards,n. 木板，板子；纸板（board复数形式）
decorations,n. 装饰品（decoration的复数）；装修
equipment,n. 设备，装备；器材
tools,"n.  工具，工具菜单；工具箱（tool的复数形式）
v. 用工具加工…（tool的第三人称单数形式）"
traditional tools,
scaffold,"n. 脚手架；鹰架；绞刑台
vt. 给…搭脚手架；用支架支撑"
ladder,"n. 阶梯；途径；梯状物
vi. 成名；发迹
vt. 在……上装设梯子"
glue,"n. 胶；各种胶合物
vt. 粘合；似胶般固着于"
grease,"n. 油脂；贿赂
vt. 涂脂于；贿赂"
wires,n.  电线；线变形器（wire的复数）；小五金；网格
indoor,adj. 室内的，户内的
facilities,n. 设施；工具，设备
ventilation system,"un. 通风系统控制
 通排风系统；换气系统；通风设备"
fan,"n. 迷；风扇；爱好者
vt. 煽动；刺激；吹拂
vi. 成扇形散开；飘动"
air-condition,"n. 空调；空调器
vt. 用空调调节；给...装上空调"
central heating,"n. 暖气；集中供暖
 中央供暖；中央暖气系统；集中采暖"
cool,"n. 凉爽；凉爽的空气
adj. 凉爽的；冷静的；出色的
vt. 使…冷却；使…平静下来
vi. 变凉；平息
adv. 冷静地"
heater,n. 加热器；加热工
water heater,"n. 热水器
 热水炉；水加热器；电热水器"
shower,"n. 淋浴；（倾泻般出现的）一阵，一大批；阵雨
vt. 大量地给予；把……弄湿
vi. 淋浴；下阵雨"
warm bath, 温浴(32-40摄氏度)
towels,"n.  毛巾（towel的复数形式）
v. 用毛巾擦（towel的三单形式）"
soap,"n. 肥皂
vt. 将肥皂涂在……上；对……拍马屁（俚语）
vi. 用肥皂擦洗"
washbasin,n. 脸盆
lights,"n. 灯光（light的复数）；（供食用的）家畜的肺脏
v. 点亮（light的三单形式）"
lighting,"n. 照明设备，舞台灯光
v. 照明；点燃（light的ing形式）"
lamp,"n. 灯；照射器
vt. 照亮
vi. 发亮"
desk lamp,"na. 台灯
 桌灯；功能性台灯；书桌台灯"
candles,n.  蜡烛，烛台（candle复数形式）
bright,"n. 车头灯光
adj. 明亮的，鲜明的；聪明的；愉快的
adv. 明亮地；光明地；欢快地"
washing,"n. 洗涤；洗涤剂；要洗的衣物
v. 洗；使受洗礼（wash的ing形式）
adj. 洗涤用的，清洗用的"
washing machine,"n. 洗衣机
 洗涤机；清洗机；求购洗衣机"
laptops,笔记本电脑
batteries,n.  电池（battery的复数形式）
furniture,n. 家具；设备；储藏物
unfurnished,"adj. 无装备的； 无家具设备的；无供给的
vt. 拆除家具（unfurnish的过去式）；搬走家具"
tables,"n. 桌子；表格（table的复数）；附录
v. 制表（table的三单形式）；搁置"
long tables,
round table,"na. 圆桌会议；协商会议
 圆桌武士；圆桌协会；圆台"
chairs,n.  椅子（chair的复数）；餐椅；安乐椅
armchair,"n. 扶手椅，单人沙发
adj. 不切实际的"
mirror,"n. 镜子；真实的写照；榜样
vt. 反射；反映"
windows,n. 微软公司生产的“视窗”操作系统
window glass,"na. 窗玻璃
 车窗玻璃；车门窗玻璃；俄罗斯求购窗户玻璃"
window view,
curtains,n.  窗帘（curtain的复数）；灾难
glasses,"n.  眼镜；玻璃（glass的复数形式）；双筒望远镜
v. 把…装入玻璃容器内；给…装上玻璃（glass的第三人称单数形式）"
glass roof,"un. 玻璃屋顶
 玻璃采光顶"
blanket,"n. 毛毯，毯子；毯状物，覆盖层
adj. 总括的，全体的；没有限制的
vt. 覆盖，掩盖；用毯覆盖"
carpets,"n.  地毯（carpet的复数）
v. 在…上铺地毯；铺盖（carpet的三单形式）"
mat,"n. 垫；垫子；衬边
vt. 缠结；铺席于……上
vi. 纠缠在一起
adj. 无光泽的"
application,n. 应用；申请；应用程序；敷用
form,"n. 形式，形状；形态，外形；方式；表格
vt. 构成，组成；排列，组织；产生，塑造
vi. 形成，构成；排列"
application form,"na. “application blank”的变体
 申请表；申请表格；申请书"
fill,"n. 满足；填满的量；装填物
vt. 装满，使充满；满足；堵塞；任职
vi. 被充满，膨胀"
signature,n. 署名；签名；信号
sign,"n. 迹象；符号；记号；手势；指示牌
vt. 签署；示意
vi. 签署；签名"
