approach,"n. 方法；途径；接近
vt. 接近；着手处理
vi. 靠近"
steer,"vt. 控制，引导；驾驶
vi. 驾驶，掌舵；行驶
n. 阉牛"
innovative,adj. 革新的，创新的；新颖的；有创新精神的
patent,"n. 专利权；执照；专利品
adj. 专利的；新奇的；显然的
vt. 授予专利；取得…的专利权"
remedy,"n. 补救；治疗；赔偿
vt. 补救；治疗；纠正"
provoke,vt. 驱使；激怒；煽动；惹起
counterpart,n. 副本；配对物；极相似的人或物
eligible,"n. 合格者；适任者；有资格者
adj. 合格的，合适的；符合条件的；有资格当选的"
deem,"vt. 认为，视作；相信
vi. 认为，持某种看法；作某种评价"
mainstream,n. 主流
spark,"n. 火花；朝气；闪光
vt. 发动；鼓舞；求婚
vi. 闪烁；发火花；求婚"
bounce,"n. 跳；弹力；活力
vt. 弹跳；使弹起
vi. 弹跳；弹起，反跳；弹回"
chop,"n. 砍；排骨；商标；削球
(俚)丑人
vt. 剁碎；砍"
entrepreneur,n. 企业家；承包人；主办者
testify,"vi. 作证；证明
vt. 证明，证实；作证"
genre,"n. 类型；种类；体裁；样式；流派；风俗画
adj. 风俗画的；以日常情景为主题的"
cathedral,n. 大教堂
spill,"n. 溢出，溅出；溢出量；摔下；小塞子
vi. 溢出，流出；摔下；涌流
vt. 使溢出，使流出；使摔下"
intimate,"n. 知己；至交
adj. 亲密的；私人的；精通的；有性关系的
vt. 暗示；通知；宣布"
worship,"n. 崇拜；礼拜；尊敬
vt. 崇拜；尊敬；爱慕
vi. 拜神；做礼拜"
hostile,"n. 敌对
adj. 敌对的，敌方的；怀敌意的"
guilt,n. 犯罪，过失；内疚
delicate,adj. 微妙的；精美的，雅致的；柔和的；易碎的；纤弱的；清淡可口的
devise,"n. 遗赠
vt. 设计；想出；发明；图谋；遗赠给"
dash,"n. 破折号；冲撞
vi. 猛冲；撞击
vt. 使…破灭；猛撞；泼溅"
parade,"n. 游行；阅兵；炫耀；行进；阅兵场
vt. 游行；炫耀；列队行进
vi. 游行；炫耀；列队行进"
soar,"n. 高飞；高涨
vi. 高飞；高耸；往上飞舞"
lawn,n. 草地；草坪
excessive,adj. 过多的，极度的；过分的
receipt,"n. 收到；收据；收入
vt. 收到"
exotic,adj. 异国的；外来的；异国情调的
glimpse,"n. 一瞥，一看
vt. 瞥见
vi. 瞥见"
vanish,"n. 弱化音
vi. 消失；突然不见；成为零
vt. 使不见，使消失"
smash,"n. 破碎；扣球；冲突；大败
vt. 粉碎；使破产；溃裂
adj. 了不起的；非常轰动的；出色的
vi. 粉碎；打碎"
chaos,n. 混沌，混乱
furnish,vt. 提供；供应；装备
disclose,vt. 公开；揭露
fierce,adj. 凶猛的；猛烈的；暴躁的
recipient,"n. 容器，接受者；容纳者
adj. 容易接受的，感受性强的"
tribute,n. 礼物； 贡物；颂词；（尤指对死者的）致敬，悼念，吊唁礼物
penetrate,"vi. 渗透；刺入；看透
vt. 渗透；穿透；洞察"
expedition,n. 远征；探险队；迅速
dwell,vi. 居住；存在于；细想某事
timber,n. 木材；木料
exaggerate,"vt. 使扩大；使增大
vi. 夸大；夸张"
intact,adj. 完整的；原封不动的；未受损伤的
postpone,"vt. 使…延期；把…放在次要地位；把…放在后面
vi. 延缓，延迟；延缓发作"
biography,n. 传记；档案；个人简介
stiff,"adj. 呆板的；坚硬的；严厉的；拘谨的
adv. 僵硬地；彻底地
n. 死尸；令人讨厌者；流通票据；劳动者
vt. 诈骗；失信"
hop,"vt. 搭乘
v. 单足跳跃
vi. 双足或齐足跳行
n. 蹦跳,跳跃；跳舞；一次飞行的距离"
flaw,"n. 瑕疵，缺点；一阵狂风；短暂的风暴；裂缝，裂纹
v. 使生裂缝，使有裂纹；使无效；使有缺陷
vi. 生裂缝；变的有缺陷"
respective,adj. 分别的，各自的
hybrid,"n. 杂种，混血儿；混合物
adj. 混合的；杂种的"
arch,"n. 弓形，拱形；拱门
adj. 主要的
vt. 使…弯成弓形；用拱连接
vi. 拱起；成为弓形"
disposal,n. 处理；支配；清理；安排
endeavor,"n. 努力；尽力（等于endeavour）
vi. 努力；尽力（等于endeavour）
vt. 努力；尽力（等于endeavour）"
suspicious,adj. 可疑的；怀疑的；多疑的
flush,"n. 激动，洋溢；面红；萌芽；旺盛；奔流
adj. 大量的；齐平的；丰足的，洋溢的；挥霍的
vt. 使齐平；发红，使发亮；用水冲洗；使激动
vi. 发红，脸红；奔涌；被冲洗"
drown,"vt. 淹没；把…淹死
vi. 淹死；溺死"
anchor,"n. 锚；抛锚停泊；靠山；新闻节目主播
adj. 末棒的；最后一棒的
vt. 抛锚；使固定；主持节目
vi. 抛锚"
predecessor,n. 前任，前辈
contend,"vi. 竞争；奋斗；斗争；争论
vt. 主张；为...斗争"
exceptional,"n. 超常的学生
adj. 异常的，例外的"
fetch,"n. 取得；诡计
vt. 取来；接来；到达；吸引
vi. 拿；取物；卖得"
appall,vt. 使胆寒；使惊骇
inspect,"vt. 检查；视察；检阅
vi. 进行检查；进行视察"
fatal,adj. 致命的；重大的；毁灭性的；命中注定的
haul,"n. 拖，拉；用力拖拉；努力得到的结果；捕获物；一网捕获的鱼量；拖运距离
vt. 拖运；拖拉
vi. 拖，拉；改变主意；改变方向"
ferry,"n. 渡船；摆渡；渡口
vt. （乘渡船）渡过；用渡船运送；空运
vi. 摆渡；来往行驶"
summon,vt. 召唤；召集；鼓起；振作
compile,vt. 编译；编制；编辑； 汇编
distract,vt. 转移；分心
succession,n. 连续；继位；继承权； 演替
offset,"n. 抵消，补偿；平版印刷；支管
vt. 抵消；弥补；用平版印刷术印刷
vi. 装支管"
grind,"n. 磨；苦工作
vt. 磨碎；磨快
vi. 磨碎；折磨"
deliberate,"adj. 故意的；深思熟虑的；从容的
vt. 仔细考虑；商议"
bolt,"n. 螺栓，螺钉；闪电，雷电；门闩；弩箭;（布的）一匹，一卷
vt. 筛选；囫囵吞下；（把门、窗等）闩上；突然说出，脱口说出
vi. （门窗等）闩上，拴住；冲出，跳出；（马等的）脱缰；囫囵吞下
adv. 突然地；像箭似地；直立地"
unfold,"vi. 展开；显露
vt. 打开；呈现"
speculate,"vi. 推测；投机；思索
vt. 推断"
cling,vi. 坚持，墨守；紧贴；附着
shatter,"n. 碎片；乱七八糟的状态
vt. 粉碎；打碎；破坏；破掉；使散开
vi. 粉碎；损坏；落叶"
immense,adj. 巨大的，广大的；无边无际的；非常好的
sacred,adj. 神的；神圣的；宗教的；庄严的
trunk,"n. 树干；躯干；象鼻；汽车车尾的行李箱
adj. 干线的；躯干的；箱子的
vt. 把…放入旅行箱内"
inherent,adj. 固有的；内在的；与生俱来的，遗传的
soak,"n. 浸；湿透；大雨
vi. 浸泡；渗透
vt. 吸收，吸入；沉浸在（工作或学习中）；使……上下湿透"
erect,"vt. 使竖立；建造；安装
adj. 竖立的；笔直的；因性刺激而勃起的
vi. 直立；勃起"
illuminate,"vt. 阐明，说明；照亮；使灿烂；用灯装饰
vi. 照亮"
flock,"n. 群；棉束（等于floc）
vi. 聚集；成群而行
vt. 用棉束填满"
conjunction,n. 结合； 连接词；同时发生
interference,n. 干扰，冲突；干涉
alternate,"n. 替换物
adj. 交替的；轮流的
vt. 使交替；使轮流
vi. 交替；轮流"
clutch,"n. 离合器；控制；手；紧急关头
vt. 抓住；紧握
adj. 没有手提带或背带的；紧要关头的
vi. 攫；企图抓住"
wit,"n. 智慧；才智；智力
v. <古>知道；即"
spur,"n. 鼓舞，刺激；马刺；山坡
vt. 激励，鞭策；给…装踢马刺
vi. 骑马疾驰；给予刺激"
verdict,n. 结论；裁定
chant,"n. 圣歌；赞美诗
vt. 唱；诵扬
vi. 唱歌；反复地唱歌"
cautious,adj. 谨慎的；十分小心的
persistent,adj. 固执的，坚持的；持久稳固的
accusation,n. 控告，指控；谴责
frontier,"n. 前沿；边界；国境
adj. 边界的；开拓的"
restraint,n. 抑制，克制；约束
verify,vt. 核实；查证
confrontation,n. 对抗；面对；对质
passionate,adj. 热情的；热烈的，激昂的；易怒的
distort,"vt. 扭曲；使失真；曲解
vi. 扭曲；变形"
maneuver,"n.  机动；演习；策略；调遣
vi.  机动；演习；调遣；用计谋
vt.  机动；演习；用计；调遣"
wreck,"n. 破坏；失事；残骸；失去健康的人
vt. 破坏；使失事；拆毁
vi. 失事；营救失事船只"
divert,"vt. 转移；使…欢娱；使…转向
vi. 转移"
aspiration,n. 渴望；抱负；送气；吸气；吸引术
clarity,n. 清楚，明晰；透明
purse,"n. (女士)手提袋；(国家、家庭、团体等的) 财力
vt. （嘴巴）皱起，使缩拢；撅嘴"
authentic,adj. 真正的，真实的；可信的
robust,adj. 强健的；健康的；粗野的；粗鲁的
unprecedented,adj. 空前的；无前例的
saint,
furious,adj. 激烈的；狂怒的；热烈兴奋的；喧闹的
plague,"n. 瘟疫；灾祸；麻烦；讨厌的人
vt. 折磨；使苦恼；使得灾祸"
entail,"vt. 使需要，必需；承担；遗传给；蕴含
n. 引起；需要；继承"
portable,"n. 手提式打字机
adj. 手提的，便携式的；轻便的"
embody,vt. 体现，使具体化；具体表达
abolish,vt. 废除，废止；取消，革除
skull,n. 头盖骨，脑壳
discard,"n. 抛弃；被丢弃的东西或人
vt. 抛弃；放弃；丢弃
vi. 放弃"
fragile,adj. 脆的；易碎的
gorgeous,adj. 华丽的，灿烂的；极好的
invoke,vt. 调用；祈求；引起；恳求
compatible,adj. 兼容的；能共处的；可并立的
align,"vt. 使结盟；使成一行；匹配
vi. 排列；排成一行"
canvas,"n. 帆布
adj. 帆布制的
vt. 用帆布覆盖，用帆布装备"
evoke,vt. 引起，唤起；博得
exert,vt. 运用，发挥；施以影响
splash,"n. 飞溅的水；污点；卖弄
vt. 溅，泼；用...使液体飞溅
vi. 溅湿；溅开"
spiral,"n. 螺旋；旋涡；螺旋形之物
adj. 螺旋形的；盘旋的
vt. 使成螺旋形；使作螺旋形上升
vi. 盘旋；成螺旋形；螺旋形上升（过去式spiraled/spiralled，过去分词spiraled/spiralled，现在分词spiraling/spiralling，第三人称单数spirals，副词spirally）"
heap,"n. 堆；许多；累积
vt. 堆；堆积
vi. 堆起来"
endanger,vt. 危及；使遭到危险
vest,"n. 背心；汗衫
vt. 授予；使穿衣
vi. 归属；穿衣服"
skeptical,adj. 怀疑的；怀疑论的，不可知论的
transparent,adj. 透明的；显然的；坦率的；易懂的
stab,"n. 刺；戳；尝试；突发的一阵
vt. 刺；刺伤；戳；刺穿；直入
vi. 刺；刺伤；戳；刺痛"
provincial,"n. 粗野的人；乡下人；外地人
adj. 省的；地方性的；偏狭的"
descent,"n. 下降；血统；袭击
vt. 除去…的气味；使…失去香味"
municipal,adj. 市政的，市的；地方自治的
deteriorate,"vi. 恶化，变坏
vt. 恶化"
hail,"n. 冰雹；致敬；招呼；一阵
vt. 致敬；招呼；向...欢呼；猛发；使像下雹样落下（过去式hailed，过去分词hailed，现在分词hailing，第三人称单数hails）
int. 万岁；欢迎
vi. 招呼；下雹"
intake,n. 摄取量；通风口；引入口；引入的量
glare,"n. 刺眼；耀眼的光；受公众注目
vt. 瞪视；发眩光
vi. 瞪眼表示"
foul,"n. 犯规；缠绕
adj. 犯规的；邪恶的；污秽的；淤塞的
vt. 犯规；弄脏；淤塞；缠住，妨害
adv. 违反规则地，不正当地
vi. 犯规；腐烂；缠结"
imperative,"n. 必要的事；命令；需要；规则；祈使语气
adj. 必要的，不可避免的；紧急的；命令的，专横的；势在必行的；祈使的"
consecutive,adj. 连贯的；连续不断的
blaze,"n. 火焰，烈火；光辉；情感爆发
vt. 在树皮上刻路标；公开宣布
vi. 燃烧；照耀，发光；激发"
lid,"n. 盖子；眼睑；限制
vt. 给…盖盖子"
underestimate,"n. 低估
vt. 低估；看轻"
drawback,n. 缺点，不利条件；退税
blur,"n. 污迹；模糊不清的事物
vt. 涂污；使…模糊不清；使暗淡；玷污
vi. 沾上污迹；变模糊"
landmark,"n. 陆标；地标；界标；里程碑；纪念碑；地界标；划时代的事
adj. 有重大意义或影响的"
patron,n. 赞助人；保护人；主顾
bulb,"n. 电灯泡；鳞茎；球状物
vi. 生球茎；膨胀成球状"
hatch,"n. 孵化；舱口
vt. 孵；策划
vi. 孵化"
rib,"n. 肋骨；排骨；肋状物
vt. 戏弄；装肋于"
sore,"n. 溃疡，痛处；恨事，伤心事
adj. 疼痛的，痛心的；剧烈的，极度的；恼火的，发怒的；厉害的，迫切的"
optimism,n. 乐观；乐观主义
cargo,n. 货物，船货
sparkle,"n. 闪耀；火花；活力
vt. 使闪耀；使发光
vi. 闪耀；发泡；活跃"
absurd,"n. 荒诞；荒诞作品
adj. 荒谬的；可笑的"
successive,adj. 连续的；继承的；依次的；接替的
sway,"n. 影响；摇摆；统治
vt. 影响；统治；使摇动
vi. 影响；摇摆"
choke,"n. 窒息；噎； 阻气门
vi. 窒息；阻塞；说不出话来
vt. 呛；使窒息；阻塞；抑制；扑灭"
crisp,"adj. 脆的；新鲜的；易碎的
vt. 使卷曲；使发脆
vi. 卷曲；发脆
n. 松脆物；油炸马铃薯片"
envy,"n. 嫉妒，妒忌；羡慕
vt. 嫉妒，妒忌；羡慕
vi. 感到妒忌；显示出妒忌"
plow,"n.  犁；似犁的工具；北斗七星
vt.  犁；耕；开路
vi.  犁；耕地；破浪前进；开路"
cushion,"n. 垫子；起缓解作用之物；（猪等的）臀肉；银行储蓄
vt. 给…安上垫子；把…安置在垫子上；缓和…的冲击"
expire,"vi. 期满；终止；死亡；呼气
vt. 呼出（空气）"
obsession,n. 痴迷；困扰； 强迫观念
ceramic,"n. 陶瓷；陶瓷制品
adj. 陶瓷的；陶器的；制陶艺术的"
fertilizer,n.  肥料；受精媒介物；促进发展者
feasible,adj. 可行的；可能的；可实行的
buffer,"n.  缓冲区；缓冲器， 减震器
vt. 缓冲"
indulge,"vi. 沉溺；满足；放任
vt. 满足；纵容；使高兴；使沉迷于…"
chorus,"n. 合唱队；齐声；歌舞队
vt. 合唱；异口同声地说
vi. 合唱；异口同声地说话"
revival,n. 复兴；复活；苏醒；恢复精神；再生效
wrestle,"n. 摔跤；搏斗；斗争
vi. 摔跤；斗争；斟酌
vt. 与摔跤；与…搏斗；使劲搬动"
excursion,n. 偏移；远足；短程旅行；离题；游览，游览团
disastrous,adj. 灾难性的；损失惨重的；悲伤的
tablet,"n. 碑；药片；写字板；小块；平板电脑
vt. 用碑牌纪念；将(备忘录等)写在板上；将…制成小片或小块"
civic,adj. 市的；公民的，市民的
scrape,"n. 刮掉；擦痕；困境；刮擦声
vt. 刮；擦伤；挖成
vi. 刮掉；刮出刺耳声"
fuss,"n. 大惊小怪，大惊小怪的人；小题大作；忙乱
vt. 使烦恼，使烦忧
vi. 小题大作；忙乱；焦燥；焦急；无事自扰"
vacant,adj. 空虚的；空的；空缺的；空闲的；茫然的
recount,"n. 重算
vt. 叙述；重新计算"
mansion,n. 大厦；宅邸
terrain,n.  地形，地势；领域；地带
intensify,"vt. 使加强，使强化；使变激烈
vi. 增强，强化；变激烈"
supreme,"n. 至高；霸权
adj. 最高的；至高的；最重要的"
denounce,vt. 谴责；告发；公然抨击；通告废除
volatile,"n. 挥发物；有翅的动物
adj.  挥发性的；不稳定的；爆炸性的；反复无常的"
elicit,vt. 抽出，引出；引起
prone,adj. 俯卧的；有…倾向的，易于…的
pirate,"n. 海盗；盗版；侵犯专利权者
vt. 掠夺；翻印；剽窃
vi. 做海盗；从事劫掠"
notorious,adj. 声名狼藉的，臭名昭著的
disperse,"vt. 分散；使散开；传播
adj. 分散的
vi. 分散"
