consider,"vi. 考虑；认为；细想
vt. 考虑；认为；考虑到；细想"
install,vt. 安装；任命；安顿
air conditioner,"n. 空调
 冷气机；空调器；空气调节器"
government,n. 政府；政体；管辖
cross,"n. 交叉，十字；十字架，十字形物
adj. 交叉的，相反的；乖戾的；生气的
vt. 杂交；渡过；使相交
vi. 交叉；杂交；横过"
attack,"n. 攻击；抨击；疾病发作
vt. 攻击；抨击；动手干
vi. 攻击；腐蚀"
busy,"adj. 忙碌的；热闹的；正被占用的
vt. 使忙于"
mirror,"n. 镜子；真实的写照；榜样
vt. 反射；反映"
universe,n. 宇宙；世界；领域
reply,"n. 回答； 答辩
vt. 回答；答复
vi. 回答； 答辩；回击"
rush,"n. 冲进；匆促；急流；灯心草
adj. 急需的
vt. 使冲；突袭；匆忙地做；飞跃
vi. 冲；奔；闯；赶紧；涌现"
flight,"n. 飞行；班机；逃走
vt. 射击；使惊飞
vi. 迁徙"
storm,"n. 暴风雨；大动荡
vt. 猛攻；怒骂
vi. 起风暴；横冲直撞；狂怒咆哮"
cancel,"vi. 取消，撤销
vt. 取消；删去
vi. 取消；相互抵消
n. 取消，撤销"
call off,"na. 命令停止；丢手；取消(婚约)；点(名)
 放弃；叫走，叫开；转移开"
submit,"vi. 提交；服从
vt. 使服从；主张；呈递"
suffer,"vi. 遭受，忍受；受痛苦；经验；受损害
vt. 遭受；忍受；经历"
confine,"n. 界限，边界;约束；限制
vt. 限制；禁闭"
confess,"vi. 承认；坦白；忏悔；供认
vt. 承认；坦白；忏悔；供认"
remedy,"n. 补救；治疗；赔偿
vt. 补救；治疗；纠正"
paragraph,"n. 段落；短评；段落符号
vt. 将…分段"
peace,n. 和平；平静；和睦；秩序
rate,"n. 比率，率；速度；价格；等级
vt. 认为；估价；责骂
vi. 责骂；被评价"
discuss,vt. 讨论；论述，辩论
judge,"vt. 判断；审判
n. 法官；裁判员
vi. 审判；判决"
act,"n. 行为，行动；法令，法案；（戏剧，歌剧的）一幕，段；装腔作势
vt. 扮演；装作，举动像
vi. 行动；扮演，充当；表现，举止；假装，演戏；起作用，见效"
correspond,vi. 符合，一致；相应；通信
communicate,"vi. 通讯，传达；相通；交流；感染
vt. 传达；感染；显露"
literature,n. 文学；文献；文艺；著作
superior,"n. 上级，长官；优胜者，高手；长者
adj. 上级的；优秀的，出众的；高傲的"
match,"vt. 使比赛；使相配；敌得过，比得上；相配；与…竞争
vi. 比赛；匹配；相配，相称；相比
n. 比赛，竞赛；匹配；对手；火柴"
televise,"vt. 用电视播放
vi. 电视播放"
style,"n. 风格；时尚；类型；字体
vt. 设计；称呼；使合潮流
vi. 设计式样；用刻刀作装饰画"
overdose,"vt. 配药过量；使过分沉溺
n. 药量过多（等于overdosage）
vi. 服药过量；过分沉溺"
schedule,"n. 时间表；计划表；一览表
vt. 安排，计划；编制目录；将……列入计划表"
percent,"n. 百分比，百分率；部分；百分数
adj. 百分之…的
adv. 以百分之…地"
percentage,n. 百分比；百分率，百分数
experience,"n. 经验；经历；体验
vt. 经验；经历；体验"
undertake,vt. 承担，保证；从事；同意；试图
stiff,"adj. 呆板的；坚硬的；严厉的；拘谨的
adv. 僵硬地；彻底地
n. 死尸；令人讨厌者；流通票据；劳动者
vt. 诈骗；失信"
relieve,vt. 解除，减轻；使不单调乏味；换…的班；解围；使放心
profession,n. 职业，专业；声明，宣布，表白
salary,"n. 薪水
vt. 给...加薪；给...薪水"
improve,"vt. 改善，增进；提高…的价值
vi. 增加；变得更好"
earn,vt. 赚，赚得；获得，挣得；使得到；博得
residence,n. 住宅，住处；居住
procedure,n. 程序，手续；步骤
citizen,n. 公民；市民；老百姓
deny,"vi. 否认；拒绝
vt. 否定，否认；拒绝给予；拒绝…的要求"
term,"n. 术语；学期；期限；条款；(代数式等的)项
vt. 把…叫做"
sign,"n. 迹象；符号；记号；手势；指示牌
vt. 签署；示意
vi. 签署；签名"
review,"n. 回顾；复习；评论；检讨；检阅
vt. 回顾；检查；复审
vi. 回顾；复习功课；写评论"
attach,"vi. 附加；附属；伴随
vt. 使依附；贴上；系上；使依恋"
tremendous,adj. 极大的，巨大的；惊人的；极好的
burglary,"n. 盗窃，夜盗；盗窃行为
v. 入室行窃"
assault,"n. 攻击；袭击
vt. 攻击；袭击
vi. 袭击；动武"
figure,"n. 数字；人物；图形；价格；（人的）体形；画像
vt. 计算；认为；描绘；象征
vi. 计算；出现；扮演角色"
definite,adj. 一定的；确切的
describe,vt. 描述，形容；描绘
comfort,"n. 安慰；舒适；安慰者
vt. 安慰；使（痛苦等）缓和"
homesick,adj. 想家的；思乡病的
cancer, 巨蟹座
partly,adv. 部分地；在一定程度上
invest,"vi. 投资，入股；花钱买
vt. 投资；覆盖；耗费；授予；包围"
mature,"adj. 成熟的；充分考虑的；到期的；成年人的
vi. 成熟；到期
vt. 使…成熟；使…长成；慎重作出"
matter,"n. 物质；事件
vi. 有关系；要紧"
faith,n. 信仰；信念；信任；忠实
trust,"n. 信任，信赖；责任；托拉斯
vt. 信任，信赖；盼望；赊卖给
vi. 信任，信赖；依靠"
project,"n. 工程；计划；事业
vt. 设计；计划；发射；放映
vi. 设计；计划；表达；投射"
announce,"vt. 宣布；述说；预示；播报
vi. 宣布参加竞选；当播音员"
cheer,"n. 欢呼；愉快；心情；令人愉快的事
vt. 欢呼；使高兴；为…加油
vi. 欢呼；感到高兴"
crowd,"n. 群众,一伙;一堆,许多,大众
v. 拥挤,挤满,挤进
vt. 挤满,将...塞进;催促,催逼
vi. 挤,拥挤,聚集"
program,"n. 程序；计划；大纲
vt. 用程序指令；为…制订计划；为…安排节目
vi. 编程序；安排节目；设计电脑程式"
selfish,adj. 自私的；利己主义的
generous,adj. 慷慨的，大方的；宽宏大量的；有雅量的
greed,n. 贪婪，贪心
cheat,"n. 欺骗，作弊；骗子
vt. 欺骗；骗取
vi. 欺骗；作弊"
virus,n.  病毒；恶毒；毒害
goods,n. 商品；动产；合意的人；真本领
betray,vt. 背叛；出卖；泄露（秘密）；露出…迹象
nature,n. 自然；性质；本性；种类
exact,"adj. 准确的，精密的；精确的
vt. 要求；强求；急需
vi. 勒索钱财"
perform,"vt. 执行；完成；演奏
vi. 执行，机器运转；表演"
establish,"vi. 植物定植
vt. 建立；创办；安置"
bench,"n. 长凳；工作台；替补队员
vt. 给…以席位；为…设置条凳"
finance,"n. 财政，财政学；金融
vt. 负担经费，供给…经费
vi. 筹措资金"
publish,"vi. 出版；发行；刊印
vt. 出版；发表；公布"
telegraph,"n.  电报机，电报
vt. 电汇；流露出；打电报给…
vi. 打电报"
invent,vt. 发明；创造；虚构
magazine,n. 杂志；弹药库；胶卷盒
spur,"n. 鼓舞，刺激；马刺；山坡
vt. 激励，鞭策；给…装踢马刺
vi. 骑马疾驰；给予刺激"
advertise,"vt. 通知；为…做广告；使突出
vi. 做广告，登广告；作宣传"
exist,vi. 存在；生存；生活；继续存在
couple,"n. 对；夫妇；数个
vt. 结合；连接；连合
vi. 结合；成婚"
disaster,n. 灾难，灾祸；不幸
coast,"n. 海岸；滑坡
vt. 沿…岸航行
vi. 滑行；沿岸航行"
prosper,"vi. 繁荣，昌盛；成功
vt. 使……成功；使……昌盛；使……繁荣"
design,"n. 设计；图案
vt. 设计；计划；构思
vi. 设计"
strategy,n. 战略，策略
defeat,"n. 失败的事实；击败的行为
vt. 击败，战胜；挫败；使…失败"
globe,"n. 地球；地球仪；球体
vt. 使…成球形
vi. 成球状"
analysis,n. 分析；分解；验定
data,n. 数据（datum的复数）；资料
climate,n. 气候；风气；思潮；风土
nutrition,n. 营养，营养学；营养品
primary,"n. 原色；最主要者
adj. 主要的；初级的；基本的"
politics,n. 政治，政治学；政治活动；政纲
supervise,"vt. 监督，管理；指导
vi. 监督，管理；指导"
defend,"vi. 保卫；防守
vt. 辩护；防护"
emit,vt. 发出，放射；发行；发表
challenge,"n. 挑战；怀疑
vt. 向…挑战；对…质疑"
temperature,n. 温度；体温；气温；发烧
exaggerate,"vt. 使扩大；使增大
vi. 夸大；夸张"
hazard,"n. 危险，冒险；冒险的事
vt. 赌运气；冒…的危险，使遭受危险"
harvest,"n. 收获；产量；结果
vt. 收割；得到
vi. 收割庄稼"
iceberg,n.  冰山；显露部分
brand,"n. 商标，牌子；烙印
vt. 铭刻于，铭记；打烙印于；印…商标于"
champion,"n. 冠军；拥护者；战士
adj. 优胜的；第一流的
vt. 支持；拥护"
cultivate,vt. 培养；陶冶；耕作
double,"n. 两倍；双精度型
adj. 双重的；两倍的
vt. 使加倍
adv. 双重地；两倍地；弓身地
vi. 加倍，加倍努力；快步走"
household,"n. 全家人，一家人；(包括佣工在内的)家庭，户
adj. 家庭的；日常的；王室的"
dress,"n. 连衣裙；女装
vt. 给…穿衣
vi. 穿衣"
concept,n. 观念，概念
commission,"n. 委员会；佣金；犯；委任；委任状
vt. 委任；使服役；委托制作"
excursion,n. 偏移；远足；短程旅行；离题；游览，游览团
apart,"adj. 分离的；与众不同的
adv. 相距；与众不同地；分离着"
praise,"n. 赞扬；称赞；荣耀；崇拜
vt. 赞美，歌颂；表扬
vi. 赞美；赞扬"
interfere,"vi. 干涉；妨碍；打扰
vt. 冲突；介入"
offend,"vt. 冒犯；使…不愉快
vi. 违反；进攻；引起不舒服"
disgust,"n. 厌恶，嫌恶
vt. 使厌恶；使作呕"
proverb,n. 谚语，格言；众所周知的人或事
push,"n. 推，决心；大规模攻势；矢志的追求
vi. 推进；增加；努力争取
vt. 推动，增加；对…施加压力，逼迫；按；说服"
stroke,"n. （游泳或划船的）划；中风；（打、击等的）一下；冲程；（成功的）举动；尝试；轻抚
vt. （用笔等）画；轻抚；轻挪；敲击；划尾桨；划掉；（打字时）击打键盘
vi. 击球；作尾桨手，指挥划桨；（打字时）击打键盘"
check,"n. <美>支票；制止，抑制；检验，核对
vi. 核实，查核；中止；打勾；将一军
vt. 检查，核对；制止，抑制；在…上打勾"
panic,"n. 恐慌，惊慌；大恐慌
adj. 恐慌的；没有理由的
vt. 使恐慌
vi. 十分惊慌"
display,"n. 显示；炫耀
vt. 显示；表现；陈列
adj. 展览的；陈列用的
vi.  作炫耀行为"
consult,"vi. 请教；商议；当顾问
vt. 查阅；商量；向…请教"
convey,vt. 传达；运输；让与
mark,"n. 标志；马克；符号；痕迹；分数
vi. 作记号
vt. .标志；做标记于；打分数
n. . 标志；做标记于；打分数"
remain,"n. 遗迹；剩余物，残骸
vi. 保持；依然；留下；剩余；逗留；残存"
relax,"vi. 放松，休息；松懈，松弛；变从容；休养
vt. 放松；使休息；使松弛；缓和；使松懈"
mood,n. 情绪，语气；心境；气氛
task,"n. 工作，作业；任务
vt. 分派任务"
burden,"n. 负担；责任；船的载货量
vt. 使负担；烦扰；装货于"
thrill,"n. 激动；震颤；紧张
vt. 使…颤动；使…紧张；使…感到兴奋或激动
vi. 颤抖；感到兴奋；感到紧张"
common,"n. 普通；平民；公有地
adj. 共同的；普通的；一般的；通常的"
express,"n. 快车，快递，专使；捷运公司
vt. 表达；快递
adj. 明确的；迅速的；专门的"
substantial,"n. 本质；重要材料
adj. 大量的；实质的；内容充实的"
apology,n. 道歉；谢罪；辩护；勉强的替代物
gratitude,n. 感谢（的心情）；感激
friend,n. 朋友；助手；赞助者
direct,"adj. 直接的；直系的；亲身的；恰好的
vt. 管理；指挥；导演；指向
adv. 直接地；正好；按直系关系
vi. 指导；指挥"
train,"n. 火车；行列；长队；裙裾
v. 培养；训练；瞄准"
pronounce,"vt. 发音；宣判；断言
vi. 发音；作出判断"
please,"int. 请（礼貌用语）
vt. 使喜欢；使高兴，使满意
vi. 讨人喜欢；令人高兴"
attract,"vt. 吸引；引起
vi. 吸引；有吸引力"
pain,"n. 疼痛；努力
vt. 使…痛苦；使…烦恼
vi. 感到疼痛；引起疼痛"
marvelous,adj. 了不起的；非凡的；令人惊异的；不平常的
adventure,"n. 冒险；冒险精神；投机活动
vt. 冒险；大胆说出
vi. 冒险"
discipline,"n. 学科；纪律；训练；惩罚
vt. 训练，训导；惩戒"
social,"n. 联谊会；联欢会
adj. 社会的，社交的；群居的"
battle,"n. 战役；斗争
vt. 与…作战
vi. 斗争；作战"
journey,"n. 旅行；行程
vi. 旅行"
silver,"n. 银；银器；银币；银质奖章；餐具；银灰色
adj. 银的；含银的；有银色光泽的；口才流利的；第二十五周年的婚姻
vt. 镀银；使有银色光泽
vi. 变成银色"
spoon,"n. 匙，勺子；一杓的量
vt. 用匙舀；使成匙状
vi. 轻轻向上击"
bitter,"n. 苦味；苦啤酒
adj. 苦的；痛苦的；尖刻的；充满仇恨的
vt. 使变苦
adv. 激烈地；严寒刺骨地"
suicide,"n. 自杀；自杀行为；自杀者
adj. 自杀的
vt. 自杀
vi. 自杀"
miserable,adj. 悲惨的；痛苦的；卑鄙的
collect,"vt. 收集；募捐
adj. 由收件人付款的
vi. 收集；聚集；募捐
adv. 由收件人付款地"
frequent,"adj. 频繁的；时常发生的；惯常的
vt. 常到，常去；时常出入于"
blame,"n. 责备；责任；过失
vt. 责备；归咎于"
engage,"vi. 从事；答应，保证；交战；啮合
vt. 吸引，占用；使参加；雇佣；使订婚；预定"
honest,adj. 诚实的，实在的；可靠的；坦率的
experiment,"n. 实验，试验；尝试
vi. 尝试；进行实验"
overcome,"vt. 克服；胜过
vi. 克服；得胜"
refuse,"n. 垃圾；废物
vi. 拒绝
vt. 拒绝；不愿；抵制"
delete,vt. 删除
major,"adj. 主要的；重要的；主修的；较多的
n.  成年人；主修科目；陆军少校
vi. 主修"
focus,"n. 焦点；中心；清晰；焦距
vt. 使集中；使聚焦
vi. 集中；聚焦；调节焦距"
neutral,"adj. 中立的，中性的；中立国的；非彩色的
n. 中立国；中立者；非彩色；齿轮的空档"
headache,n. 头痛；麻烦；令人头痛之事
tolerant,adj. 宽容的；容忍的；有耐药力的
shower,"n. 淋浴；（倾泻般出现的）一阵，一大批；阵雨
vt. 大量地给予；把……弄湿
vi. 淋浴；下阵雨"
print,"n. 印刷业；印花布；印刷字体；印章；印记
vt. 印刷；打印；刊载；用印刷体写；在…印花样
vi. 印刷；出版；用印刷体写"
patient,"n. 病人；患者
adj. 有耐心的，能容忍的"
right,"n. 正确；右边；正义
adj. 正确的；直接的；右方的
vt. 纠正
adv. 正确地；恰当地；彻底地
vi. 复正；恢复平稳"
bottom,"n. 底部；末端；臀部；尽头
adj. 底部的
vt. 装底；测量深浅；查明真相
vi. 到达底部；建立基础"
blind,"n. 掩饰，借口；百叶窗
adj. 盲目的；瞎的
vt. 使失明；使失去理智
adv. 盲目地；看不见地"
