abdicate,"vt. 退位；放弃
vi. 退位；放弃"
clinging,"n. 坚持；依附
v. 坚持，紧贴（cling的ing形式）
adj. 执着的；有粘性的"
clockwise,"adj. 顺时针方向的
adv. 顺时针方向地"
clog,"n. 障碍；木底鞋
v. 阻塞；障碍"
clot,"n.  凝块
vi. 凝结
vt. 使凝结成块"
clump,"n. 丛；笨重的脚步声；土块
vt. 使成一丛；使凝结成块
vi. 形成一丛；以沉重的步子行走"
cluster,"n. 群；簇；丛；串
vt. 使聚集；聚集在某人的周围
vi. 群聚；丛生"
coalition,n. 联合；结合，合并
coaster,n. 沿岸贸易船；杯托，小托盘；雪橇
cocaine,n.  可卡因
code,"n. 代码，密码；编码；法典
vt. 编码；制成法典
vi. 指定遗传密码"
codify,vt. 编纂；将...编成法典；编成法典
cognitive,adj. 认知的，认识的
coherent,adj. 连贯的，一致的；明了的；清晰的；凝聚性的；互相耦合的；粘在一起的
coinage,n. 造币； 货币制度；新造的字及其语等
coincide,"vi. 一致，符合；同时发生
vi. (在性格、品质等方面)完全一致，相符"
collaborate,vi. 合作；勾结，通敌
collapse,"n. 倒塌；失败；衰竭
vt. 使倒塌，使崩溃；使萎陷；折叠
vi. 倒塌；瓦解；暴跌"
collateral,"n. 抵押品； 担保品；旁系亲属
adj. 并行的；旁系的；附属的"
collective,"n. 集团；集合体；集合名词
adj. 集体的；共同的；集合的；集体主义的"
collide,"vi. 碰撞；抵触，冲突
vt. 使碰撞；使相撞"
collinear,adj.  共线的；同线的；在同一直线上的
colonize,"vt. 将…开拓为殖民地；移于殖民地；从他地非法把选民移入
vi. 开拓殖民地；移居于殖民地"
coloration,n. 着色；染色
colossal,adj. 巨大的；异常的，非常的
combat,"n. 战斗；争论
adj. 战斗的；为…斗争的
vi. 战斗；搏斗
vt. 反对；与…战斗"
combine,"n. 联合收割机；联合企业
vt. 使化合；使联合，使结合
vi. 联合，结合；化合"
combustion,n. 燃烧，氧化；骚动
comedian,n. 喜剧演员；滑稽人物
comet,n.  彗星
commend,"vt. 推荐；称赞；把…委托
vi. 称赞；表扬"
commensurate,adj. 相称的；同量的；同样大小的
comment,"n. 评论；意见；批评
vi. 发表评论；发表意见
vt. 为…作评语"
commerce,n. 贸易；商业；商务
commercial,"n. 商业广告
adj. 商业的；营利的；靠广告收入的"
commission,"n. 委员会；佣金；犯；委任；委任状
vt. 委任；使服役；委托制作"
commit,vt. 犯罪，做错事；把...交托给；指派…作战；使…承担义务
commitment,n. 承诺，保证；委托；承担义务；献身
commodity,n. 商品，货物；日用品
commoner,n. 平民；自费学生；下议院议员
commonplace,"n. 老生常谈；司空见惯的事；普通的东西
adj. 平凡的；陈腐的"
communal,adj. 公共的；公社的
communist,"n. 共产党员；共产主义者
adj. 共产主义的"
community,n. 社区； 群落；共同体；团体
commute,"n. 通勤（口语）
vt. 减刑；交换；用……交换；使……变成
vi. （搭乘车、船等）通勤；代偿"
compact,"n. 合同，契约；小粉盒
adj. 紧凑的，紧密的；简洁的
vt. 使简洁；使紧密结合"
companionate,adj. 伙伴的，同伴的；友爱的，友好的
comparable,adj. 可比较的；比得上的
comparison,n. 比较；对照；比喻；比较关系
compassion,n. 同情；怜悯
compatible,adj. 兼容的；能共处的；可并立的
compel,vt. 强迫，迫使；强使发生
compelling,"adj. 引人注目的；强制的；激发兴趣的
v. 强迫；以强力获得（compel的ing形式）"
compensate,"vt. 补偿，赔偿；付报酬
vi. 补偿，赔偿；抵消"
compensation,n. 补偿；报酬；赔偿金
compensatorily, 补偿性地
competence,n. 能力，胜任；权限；作证能力；足以过舒适生活的收入
competitive,adj. 竞争的；比赛的；求胜心切的
compile,vt. 编译；编制；编辑； 汇编
complacency,n. 自满；满足；自鸣得意
complainant,n.  原告；发牢骚的人；抱怨者
complaint,n. 抱怨；诉苦；疾病；委屈
complement,"n. 补语；余角；补足物
vt. 补足，补助"
complex,"n. 复合体；综合设施
adj. 复杂的；合成的"
complication,n. 并发症；复杂；复杂化；混乱
comply,vi. 遵守；顺从，遵从；答应
component,"n. 成分；组件； 元件
adj. 组成的，构成的"
compose,"vt. 构成；写作；使平静；排…的版
vi. 组成；作曲；排字"
composition,n. 作文，作曲，作品； 构成；合成物；成分
compound,"n.  化合物；混合物；复合词
adj. 复合的；混合的
v. 合成；混合；恶化，加重；和解，妥协"
comprehend,vt. 理解；包含；由…组成
comprehension,n. 理解；包含
compress,"vt. 压缩，压紧；精简
vi. 受压缩小"
comprise,vt. 包含；由…组成
compromise,"n. 妥协，和解；折衷
vt. 妥协；危害
vi. 妥协；让步"
compulsory,"n. （花样滑冰、竞技体操等的）规定动作
adj. 义务的；必修的；被强制的"
computation,n. 估计，计算
compute,"n. 计算；估计；推断
vt. 计算；估算；用计算机计算
vi. 计算；估算；推断"
conceal,vt. 隐藏；隐瞒
concede,"vi. 让步
vt. 承认；退让；给予，容许"
conceive,"vi. 怀孕；设想；考虑
vt. 怀孕；构思；以为；持有"
concentrate,"n. 浓缩，精选；浓缩液
vi. 集中；浓缩；全神贯注；聚集
vt. 集中；浓缩"
concentration,n. 浓度；集中；浓缩；专心；集合
conceptual,adj. 概念上的
concern,"n. 关系；关心；关心的事；忧虑
vt. 涉及，关系到；使担心"
concerning,"prep. 关于；就…而言
v. 涉及；使关心（concern的ing形式）；忧虑"
concert,"n. 音乐会；一致；和谐
adj. 音乐会用的；在音乐会上演出的
vt. 使协调；协同安排
vi. 协调；协力"
concession,n. 让步；特许（权）；承认；退位
conclude,"vi. 推断；断定；决定
vt. 推断；决定，作结论；结束"
concrete,"n. 具体物；凝结物
adj. 混凝土的；实在的，具体的；有形的
vt. 使凝固；用混凝土修筑
vi. 凝结"
concurrent,"n.  共点；同时发生的事件
adj. 并发的；一致的；同时发生的"
condemn,vt. 谴责；判刑，定罪；声讨
condense,"vt. 使浓缩；使压缩
vi. 浓缩；凝结"
condescending,"adj. 表现出优越感的；居高临下的
v. 屈尊（condescend的ing形式）"
condition,"n. 条件；情况；环境；身份
vt. 决定；使适应；使健康；以…为条件"
condominium,n. 共同统治；财产共有权；独立产权的公寓
conduct,"n. 进行；行为；实施
vi. 导电；带领
vt. 管理；引导；表现"
confederation,n. 联盟；邦联；同盟
confer,"vt. 授予；给予
vi. 协商"
confess,"vi. 承认；坦白；忏悔；供认
vt. 承认；坦白；忏悔；供认"
confidential,adj. 机密的；表示信任的；获信任的
configuration,n. 配置；结构；外形
confine,"n. 界限，边界;约束；限制
vt. 限制；禁闭"
confirm,vt. 确认；确定；证实；批准；使巩固
conflict,"n. 冲突，矛盾；斗争；争执
vi. 冲突，抵触；争执；战斗"
conform,"adj. 一致的；顺从的
vi. 符合；遵照；适应环境
vt. 使遵守；使一致；使顺从"
confront,vt. 面对；遭遇；比较
Confucian,"n. 儒家，儒家学者；孔子的门徒
adj. 孔子的，儒家的；儒家学说的"
congenial,adj. 意气相投的；性格相似的；适意的；一致的
congested,"adj. 堵塞的，拥挤的
v. 挤满；超负荷（congest的过去分词）"
congestion,n. 拥挤；拥塞；淤血
conglomerate,"n.  砾岩；企业集团；聚合物
vi. 凝聚成团
adj. 成团的；砾岩性的
vt. 使聚结；凝聚成团"
congregation,n. 集会；集合；圣会
congress,n. 国会；代表大会；会议；社交
congressional,adj. 国会的；会议的；议会的
conjunction,n. 结合； 连接词；同时发生
connotation,n. 内涵；含蓄；暗示，隐含意义；储蓄的东西（词、语等）
conscience,n. 道德心，良心
conscription,n. 征兵；征兵制度；征用
consecutive,adj. 连贯的；连续不断的
consensus,n. 一致；舆论；合意
consent,"n. 同意；（意见等的）一致；赞成
vi. 同意；赞成；答应"
consequence,n. 结果；重要性；推论
conservatism,n. 保守主义；守旧性
conservative,
conservatively,adv. 谨慎地；保存地；适当地
conserve,"n. 果酱；蜜饯
vt. 保存；将…做成蜜饯；使守恒"
considerable,adj. 相当大的；重要的，值得考虑的
consideration,n. 考虑；原因；关心；报酬
consistency,n.  一致性；稠度；相容性
consistent,adj. 始终如一的，一致的；坚持的
consolidate,"vt. 巩固，使固定；联合
vi. 巩固，加强"
consortium,n. 财团；联合；合伙
conspire,"vi. 共谋；协力
vt.  密谋策划"
constant,"n.  常数；恒量
adj. 不变的；恒定的；经常的"
constellation,n.  星座；星群；荟萃；兴奋丛
constituent,"n. 成分；选民；委托人
adj. 构成的；选举的"
constitute,vt. 组成，构成；建立；任命
constraint,n.  约束；局促，态度不自然；强制
constrict,vt. 压缩；束紧
construct,"n. 构想，概念
vt. 建造，构造；创立"
construction,n. 建设；建筑物；解释；造句
constructivism,n. 构成主义；构成派
constructivist,n. 构成主义者
consult,"vi. 请教；商议；当顾问
vt. 查阅；商量；向…请教"
consultant,n. 顾问；咨询者；会诊医生
consumption,n. 消费；消耗；肺痨
contaminate,vt. 污染，弄脏
contamination,n. 污染，玷污；污染物
contemplate,"vt. 沉思；注视；思忖；预期
vi. 冥思苦想；深思熟虑"
contemporary,"n. 同时代的人；同时期的东西
adj. 当代的；同时代的；属于同一时期的"
contemptuous,adj. 轻蔑的；侮辱的
contend,"vi. 竞争；奋斗；斗争；争论
vt. 主张；为...斗争"
contiguous,adj. 连续的；邻近的；接触的
contingent,"n. 分遣队；偶然事件；分得部分；代表团
adj. 因情况而异的；不一定的；偶然发生的；可能的；依情况而定的；偶然的；有条件的"
contraband,"n. 走私；走私货；战时禁运品（等于contraband of war）
adj. 禁运的；非法买卖的"
contract,"n. 合同；婚约
vt. 感染；订约；使缩短
vi. 收缩；感染；订约"
contraction,n. 收缩，紧缩；缩写式；害病
contractor,n. 承包人；立契约者
contradict,"vt. 反驳；否定；与…矛盾；与…抵触
vi. 反驳；否认；发生矛盾"
contradiction,n. 矛盾；否认；反驳
contrast,"n. 对比；差别；对照物
vt. 使对比；使与…对照
vi. 对比；形成对照"
contribute,"vt. 贡献，出力；投稿；捐献
vi. 贡献，出力；投稿；捐献
"
contributor,n. 贡献者；投稿者；捐助者
control,"n. 控制；管理；抑制；操纵装置
vt. 控制；管理；抑制"
controversial,adj. 有争议的；有争论的
controversy,n. 争论；论战；辩论
convection,n.  对流；传送
convenience,n. 便利；厕所；便利的事物
conventional,adj. 符合习俗的，传统的；常见的；惯例的
conversion,n. 转换；变换； 兑换；改变信仰
convert,"n. 皈依者；改变宗教信仰者
vt. 使转变；转换…；使…改变信仰
vi. 转变，变换；皈依；改变信仰"
convey,vt. 传达；运输；让与
conviction,n. 定罪；确信；证明有罪；确信，坚定的信仰
convince,vt. 说服；使确信，使信服
convoluted,"adj. 复杂的；费解的；旋绕的
v. 盘绕；缠绕（convolute的过去分词）"
cooperate,vi. 合作，配合；协力
coordinate,"n. 坐标；同等的人或物
vt. 调整；整合
adj. 并列的；同等的
vi. 协调"
copper,"n. 铜；铜币；警察
adj. 铜制的
vt. 镀铜"
coral,"n. 珊瑚；珊瑚虫
adj. 珊瑚的；珊瑚色的"
cord,"n. 绳索；束缚
vt. 用绳子捆绑"
cork,"n. 软木橡树皮；瓶塞；软木塞
vt. 用瓶塞塞住"
coronary,adj. 冠的；冠状的；花冠的
corporate,adj. 法人的；共同的，全体的；社团的；公司的；企业的
corporation,n. 公司；法人（团体）；社团；大腹便便；市政当局
corps,n. 军团；兵种；兵队；（德国大学的）学生联合会
corral,"n. 畜栏；环形车阵
vt. 把…关进畜栏；捕捉；把…布成车阵"
correlate,"n. 相关物；相关联的人
vt. 使有相互关系；互相有关系
adj. 关联的
vi. 关联"
correspond,vi. 符合，一致；相应；通信
corresponding,"adj. 相当的，相应的；一致的；通信的
v. 类似（correspond的ing形式）；相配"
corroborate,vt. 证实；使坚固
corrosion,n. 腐蚀；腐蚀产生的物质；衰败
corrosive,"n. 腐蚀物
adj. 腐蚀的；侵蚀性的"
corruption,n. 贪污，腐败；堕落
cortex,n.  皮质；树皮；果皮
cosmetic,"n. 化妆品；装饰品
adj. 美容的；化妆用的"
cosmic,adj. 宇宙的（等于cosmical）
council,n. 委员会；会议；理事会；地方议会；顾问班子
counteract,vt. 抵消；中和；阻碍
counterattack,"n. 反击；反攻
vi. 反击；反攻
vt. 反击；反攻"
counterevidence,n. 反证
counterfeit,"n. 赝品；冒牌货；伪造品
adj. 假冒的，伪造的；虚伪的
vt. 伪造，仿造；假装，伪装
vi. 仿造；假装"
countermeasure,n. 对策；反措施；反抗手段
counterpart,n. 副本；配对物；极相似的人或物
counterproductive,adj. 反生产的；使达不到预期目标的
countervail,"vt. 抵销；补偿；对抗
vi. 抵销；对抗"
coupon,n. 息票；赠券；联票； 配给券
courier,n. 导游；情报员，通讯员；送快信的人
courtesy,"n. 礼貌；好意；恩惠
adj. 殷勤的；被承认的；出于礼节的"
cowhide,"n. 牛皮，牛皮鞭；母牛皮，母牛皮革
vt. 用牛皮鞭抽打"
crack,"n. 裂缝；声变；噼啪声
adj. 最好的；高明的
vi. 破裂；爆裂
vt. 使破裂；打开；变声"
cramped,"v. 用夹钳夹；约束（cramp的过去分词）
adj. 狭窄的；难懂的；难辨的"
cranium,n. 颅； 头盖
crass,adj. 愚钝的；粗鲁的；非常的
crate,"n. 板条箱；篓
vt. 将某物装入大木箱或板条箱中"
creative,adj. 创造性的
creativity,n. 创造力；创造性
credence,n. 信任；凭证；祭器台（等于credence table，credenza）
credit,"n. 信用，信誉； 贷款；学分；信任；声望
vt. 相信，信任；把…归给，归功于；赞颂"
creditworthiness,n. 好信誉；有资格接受信用贷款
crest,"n.  波峰；冠；山顶；顶饰
vi. 到达绝顶；形成浪峰"
criminology,n. 犯罪学；刑事学
cripple,"n. 跛子；残废
vt. 削弱；使跛；使残废
adj. 跛的；残废的"
criteria,n. 标准，条件（criterion的复数）
criterion,n. （批评判断的）标准；准则；规范；准据
critic,n. 批评家，评论家；爱挑剔的人
critical,adj. 鉴定的； 临界的；批评的，爱挑剔的；危险的；决定性的；评论的
criticism,n. 批评；考证；苛求
critique,"n. 批评；评论文章
vt. 批判；评论"
crossbred,"adj. 杂种的，杂交的
n. 杂种
v. 杂交繁育(crossbreed的过去式和过去分词)"
crucial,adj. 重要的；决定性的；定局的；决断的
crude,"n. 原油；天然的物质
adj. 粗糙的；天然的，未加工的；粗鲁的"
crusade,"n. 改革运动；十字军东侵
vi. 加入十字军；从事改革运动"
crush,"n. 粉碎；迷恋；压榨；拥挤的人群
vt. 压碎；弄皱，变形；使…挤入
vi. 挤；被压碎"
crust,"n. 地壳；外壳；面包皮；坚硬外皮
vi. 结硬皮；结成外壳
vt. 盖以硬皮；在…上结硬皮"
crustal,adj. 壳的；地壳的
cryptic,adj. 神秘的，含义模糊的； 隐藏的
crystallize,"vt. 使结晶；明确；使具体化；做成蜜饯
vi. 结晶，形成结晶；明确；具体化"
cube,"n. 立方；立方体；骰子
vt. 使成立方形；使自乘二次；量…的体积"
