survey,"n. 调查；测量；审视；纵览
vt. 调查；勘测；俯瞰
vi. 测量土地"
board,"n. 董事会；木板；甲板；膳食
vt. 上（飞机、车、船等）；用板盖上；给提供膳宿
vi. 寄宿"
fuel,"n. 燃料；刺激因素
vt. 供以燃料，加燃料
vi. 得到燃料"
gas,"n. 气体； 瓦斯；汽油；毒气
vt. 加油；毒（死）
vi. 加油；放出气体；空谈"
smartphone,n. 智能手机
tap,"n. 水龙头；轻打
vt. 轻敲；轻打；装上嘴子
vi. 轻拍；轻击；轻叩
vt. 采用，利用"
package,"n. 包，包裹；套装软件， 程序包
adj. 一揽子的
vt. 打包；将…包装"
pack,"n. 包装；一群；背包；包裹；一副
vt. 包装；压紧；捆扎；挑选；塞满
vi. 挤；包装货物；被包装；群集"
counter,"n. 柜台；对立面；计数器；（某些棋盘游戏的）筹码
vi. 逆向移动，对着干；反驳
adj. 相反的
vt. 反击，还击；反向移动，对着干；反驳，回答
adv. 反方向地；背道而驰地"
screen,"n. 屏，幕；屏风
vt. 筛；拍摄；放映；掩蔽
vi. 拍电影"
clothing,"n. （总称） 服装；帆装
v. 覆盖（clothe的ing形式）；给…穿衣"
ladder,"n. 阶梯；途径；梯状物
vi. 成名；发迹
vt. 在……上装设梯子"
tag,"n. 标签；名称；结束语；附属物
vt. 尾随，紧随；连接；起浑名；添饰
vi. 紧随"
motor,"n. 发动机，马达；汽车
adj. 汽车的；机动的
vi. 乘汽车
vt. 以汽车载运"
shelf,n. 架子；搁板；搁板状物；暗礁
concrete,"n. 具体物；凝结物
adj. 混凝土的；实在的，具体的；有形的
vt. 使凝固；用混凝土修筑
vi. 凝结"
battery,"n.  电池，蓄电池
n. 殴打
n. 炮台，炮位"
bulb,"n. 电灯泡；鳞茎；球状物
vi. 生球茎；膨胀成球状"
pill,"n. 药丸；弹丸，子弹；口服避孕药
vt. 把…制成丸剂；使服用药丸；抢劫，掠夺（古语）
vi. 做成药丸；服药丸"
instrument,n. 仪器；工具；乐器；手段；器械
junk,n. 垃圾，废物；舢板
pocket,"n. 口袋；钱；容器
adj. 小型的，袖珍的；金钱上的
vt. 隐藏；忍受；将…放入衣袋
vi. 形成袋或囊"
dish,"n. 盘；餐具；一盘食物；外貌有吸引力的人
vt. 盛于碟盘中；分发；使某人的希望破灭；说（某人）的闲话
vi. 成碟状；闲谈"
article,"n. 文章；物品；条款； 冠词
vt. 订约将…收为学徒或见习生；使…受协议条款的约束
vi. 签订协议；进行控告"
paragraph,"n. 段落；短评；段落符号
vt. 将…分段"
journal,n. 日报，杂志；日记；分类账
journalist,n. 新闻工作者；报人；记日志者
print,"n. 印刷业；印花布；印刷字体；印章；印记
vt. 印刷；打印；刊载；用印刷体写；在…印花样
vi. 印刷；出版；用印刷体写"
printing,n. 印刷；印刷术
content,"n. 内容，目录；满足；容量
adj. 满意的
vt. 使满足"
novel,"adj. 新奇的；异常的
n. 小说"
context,n. 环境；上下文；来龙去脉
document,"n. 文件，公文； 文档；证件
vt. 用文件证明"
headline,"n. 大标题；内容提要；栏外标题；头版头条新闻
vt. 给…加标题；使成为注意中心；大力宣传"
essay,"n. 散文；试图；随笔
vt. 尝试；对…做试验"
chart,"n. 图表；海图；图纸；排行榜
vt. 绘制…的图表；在海图上标出；详细计划；记录；记述；跟踪（进展或发展"
plot,"n. 情节；图；阴谋
vt. 密谋；绘图；划分；标绘
vi. 密谋；策划；绘制"
fiction,n. 小说；虚构，编造；谎言
poem,n. 诗
file,"n. 文件；档案；文件夹；锉刀
vt. 提出；锉；琢磨；把…归档
vi. 列队行进；用锉刀锉"
composition,n. 作文，作曲，作品； 构成；合成物；成分
thesis,n. 论文；论点
round,"n. 圆；循环；一回合；圆形物
prep. 附近；绕过；大约；在…周围
adj. 圆的；完全的；大概的；肥胖的
vt. 完成；围捕；绕行；弄圆
adv. 在周围；迂回地；朝反方向；挨个
vi. 进展；变圆；环行；发胖"
shape,"n. 形状；模型；身材；具体化
vt. 形成；塑造，使成形；使符合
vi. 形成；成形；成长"
pattern,"n. 模式；图案；样品
vt. 模仿；以图案装饰
vi. 形成图案"
shrink,"vi. 收缩；畏缩
n. 收缩；畏缩；<俚>精神病学家
vt. 使缩小，使收缩"
circle,"n. 循环，周期；圆；圈子；圆形物
vt. 画圆圈；环绕…移动
vi. 盘旋，旋转；环行"
peak,"n. 山峰；最高点；顶点；帽舌
adj. 最高的；最大值的
vt. 使达到最高点；使竖起
vi. 消瘦；到达最高点；变憔悴"
cycle,"n. 循环；周期；自行车；整套；一段时间
vt. 使循环；使轮转
vi. 循环；骑自行车；轮转"
net,"n. 网；网络；净利；实价
vi. 编网
vt. 得到；净赚；用网捕
adj. 纯粹的；净余的"
edge,"n. 边缘；优势；刀刃；锋利
vt. 使锐利；将…开刃；给…加上边
vi. 缓缓移动；侧着移动"
thick,"n. 最拥挤部分；活动最多部分；事物的粗大浓密部分
adj. 厚的；浓的；粗大的
adv. 密集地；浓浓地，厚厚地"
sharp,"n. 尖头；骗子；内行
adj. 急剧的；锋利的；强烈的；敏捷的；刺耳的
vt. 磨快；把音调升高
adv. 急剧地；锐利地；突然地
vi. 打扮；升音演奏"
straight,"n. 直；直线；直男，直女，异性恋者
adj. 直的；连续的；笔直的；正直的；整齐的；异性恋的
adv. 直接地；不断地；立即；坦率地"
texture,n. 质地；纹理；结构；本质，实质
margin,"n. 边缘；利润，余裕；页边的空白
vt. 加边于；加旁注于"
material,"adj. 重要的；物质的，实质性的；肉体的
n. 材料，原料；物资；布料"
resource,n. 资源，财力；办法；智谋
device,n. 装置；策略；图案
facility,n. 设施；设备；容易；灵巧
object,"n. 目标；物体；客体；宾语
vt. 提出…作为反对的理由
vi. 反对；拒绝"
equipment,n. 设备，装备；器材
equip,vt. 装备，配备
stuff,"n. 东西；材料；填充物；素材资料
vt. 塞满；填塞；让吃饱
vi. 吃得过多"
gadget,n. 小玩意；小器具；小配件；诡计
cell,"n. 细胞；电池；蜂房的巢室；单人小室
vi. 住在牢房或小室中"
female,"n. 女人； 雌性动物
adj. 女性的；雌性的；柔弱的，柔和的"
male,"adj. 男性的；雄性的；有力的
n. 男人；雄性动物"
ecosystem,n. 生态系统
cancer, 巨蟹座
stem,"n. 干；茎；船首；血统
vt. 阻止；除去…的茎；给…装柄
vi. 阻止；起源于某事物；逆行"
gender,"n. 性；性别；性交
vt. 生（过去式gendered，过去分词gendered，现在分词gendering，第三人称单数genders，形容词genderless）"
organic,adj.  有机的；组织的；器官的；根本的
mankind,n. 人类；男性
gene,n.  基因，遗传因子
genetic,adj. 遗传的；基因的；起源的
wildlife,"n. 野生动植物
adj. 野生动植物的"
cattle,n. 牛；牲畜（骂人的话）；家畜；无价值的人
insect,n. 昆虫；卑鄙的人
muscle,"n. 肌肉；力量
vt. 加强；使劲搬动；使劲挤出
vi. 使劲行进"
location,n. 位置（形容词locational）；地点；外景拍摄场地
locate,"vt. 位于；查找…的地点
vi. 定位；定居"
relocate,"n. 浮动
vt. 重新安置；迁移
vi. 重新安置；迁移新址"
field,"n. 领域；牧场；旷野；战场；运动场
adj. 扫描场；田赛的；野生的
vt. 把暴晒于场上；使上场
vi. 担任场外队员"
site,"n. 地点；位置；场所
vt. 设置；为…选址"
spot,"n. 地点；斑点
adj. 现场的；现货买卖的
vt. 认出；弄脏；用灯光照射
vi. 沾上污渍；满是斑点
adv. 准确地；恰好"
workplace,n. 工作场所；车间
elsewhere,adv. 在别处；到别处
habitat,n.  栖息地，产地
corner,"n. 角落，拐角处；地区，偏僻处；困境，窘境
vt. 垄断；迫至一隅；使陷入绝境；把…难住
vi. 囤积；相交成角"
destination,n. 目的地，终点
soil,"n. 土地；土壤；国家；粪便；务农；温床
vt. 弄脏；污辱
vi. 变脏"
planet,n. 行星
carbon,"n.  碳；碳棒；复写纸
adj. 碳的；碳处理的"
fossil,"n. 化石；僵化的事物；顽固不化的人
adj. 化石的；陈腐的，守旧的"
silicon,n.  硅；硅元素
coal,"n. 煤；煤块；木炭
vt. 给…加煤；把…烧成炭
vi. 上煤；加煤"
solar,"n. 日光浴室
adj. 太阳的；日光的；利用太阳光的；与太阳相关的"
metal,"n. 金属；合金
vt. 以金属覆盖
adj. 金属制的"
liquid,"adj. 液体的；清澈的；明亮的；易变的
n. 液体，流体；流音"
dioxide,n. 二氧化物
mine,"n. 矿，矿藏；矿山，矿井；地雷，水雷
vt. 开采，采掘；在…布雷
vi. 开矿，采矿；埋设地雷
pron. 我的"
mineral,"n. 矿物；（英）矿泉水；无机物；苏打水（常用复数表示）
adj. 矿物的；矿质的"
grass,"n. 草；草地，草坪
vt. 放牧；使……长满草；使……吃草
vi. 长草"
crude,"n. 原油；天然的物质
adj. 粗糙的；天然的，未加工的；粗鲁的"
treatment,n. 治疗，疗法；处理；对待
medical,"adj. 医学的；药的；内科的
n. 医生；体格检查"
medicine,"n. 药；医学；内科；巫术
vt. 用药物治疗；给…用药"
drug,"n. 药；毒品；麻醉药；滞销货
vt. 使服麻醉药；使服毒品；掺麻醉药于
vi. 吸毒"
diet,"n. 饮食；食物；规定饮食
vt.  照规定饮食
vi. 节食"
cure,"n. 治疗；治愈； 疗法
vt. 治疗；治愈；使硫化；加工处理
vi. 治病；痊愈；受治疗；被硫化；被加工处理"
surgery,n. 外科；外科手术；手术室；诊疗室
flood,"n. 洪水；泛滥；一大批
vt. 淹没；充满；溢出
vi. 涌出；涌进；为水淹没"
climate,n. 气候；风气；思潮；风土
greenhouse,"n. 温室
造成温室效应的"
naturally,"adv. 自然地
自然而然地
轻而易举
天生地
大方地"
circulation,n. 流通，传播；循环；发行量
circulate,"vt. 使循环；使流通；使传播
vi. 传播，流传；循环；流通"
heat,"n. 高温；压力；热度；热烈
vt. 使激动；把…加热"
drought,n. 干旱；缺乏
path,n. 道路；小路；轨道
access,"n. 进入；使用权；通路
vt. 使用；存取；接近"
accessible,adj. 易接近的；可进入的；可理解的
channel,"n. 通道；频道；海峡
vt. 引导，开导；形成河道"
route,"n. 路线；航线；通道
vt. 按某路线发送"
via,prep. 渠道，通过；经由
disease,"n. 病， 疾病；弊病
vt. 传染；使…有病"
patient,"n. 病人；患者
adj. 有耐心的，能容忍的"
sick,"adj. 厌恶的；病态的；不舒服；渴望的；恶心的 ；生病的
n. 病人
vt. 使狗去咬；呕吐；追击"
injury,n. 伤害，损害；受伤处
injure,vt. 伤害，损害
obesity,n. 肥大，肥胖
sign,"n. 迹象；符号；记号；手势；指示牌
vt. 签署；示意
vi. 签署；签名"
signal,"n. 信号；暗号；导火线
adj. 显著的；作为信号的
vt. 标志；用信号通知；表示
vi. 发信号"
signify,"vt. 表示；意味；预示
vi. 有重要性；要紧；冒充内行"
label,"vt. 标注；贴标签于
n. 标签；商标；签条"
code,"n. 代码，密码；编码；法典
vt. 编码；制成法典
vi. 指定遗传密码"
index,"n. 指标；指数；索引；指针
vt. 指出；编入索引中
vi. 做索引"
symbol,n. 象征；符号；标志
snack,"n. 小吃，快餐；一份，部分
vi. 吃快餐，吃点心"
crop,"n. 产量；农作物；庄稼；平头
vt. 种植；收割；修剪；剪短
vi. 收获"
seed,"n. 种子；根据；精液；萌芽；子孙；原由
vt. 播种；结实；成熟；去…籽
vi. 播种；（植物）结实"
raw,"n. 擦伤处
adj. 生的；未加工的；阴冷的；刺痛的；擦掉皮的；无经验的；（在艺术等方面）不成熟的
vt. 擦伤"
alcohol,n. 酒精，乙醇
corn,"n. （美）玉米；（英）谷物； 鸡眼
vt. 腌；使成颗粒"
grain,"n. 粮食；颗粒； 谷物；纹理
vt. 使成谷粒
vi. 成谷粒"
valley,n. 山谷；流域；溪谷
coast,"n. 海岸；滑坡
vt. 沿…岸航行
vi. 滑行；沿岸航行"
wild,"n. 荒野
adj. 野生的；野蛮的；狂热的；荒凉的
adv. 疯狂地；胡乱地"
continent,"n. 大陆，洲，陆地
adj. 自制的，克制的"
plain,"n. 平原；无格式；朴实无华的东西
adj. 平的；简单的；朴素的；清晰的
adv. 清楚地；平易地"
marine,"adj. 船舶的；海生的；海产的；航海的，海运的
n. 海运业；舰队；水兵；（海军）士兵或军官"
stream,"n. 溪流；流动；潮流；光线
vt. 流出；涌出；使飘动
vi. 流；涌进；飘扬"
shore,"n. 海滨；支柱
vt. 支撑，使稳住；用支柱撑住"
vehicle,n.  车辆；工具；交通工具；运载工具；传播媒介；媒介物
ship,"n. 船；舰；太空船
vt. 运送，乘船；以船运送
vi. 上船；乘船旅行；当船员"
flight,"n. 飞行；班机；逃走
vt. 射击；使惊飞
vi. 迁徙"
truck,"n. 卡车；交易；手推车
adj. （美）运货汽车的
vt. 交易；以卡车运输
vi. 驾驶卡车；以物易物"
threat,n. 威胁，恐吓；凶兆
threaten,"vt. 威胁；恐吓；预示
vi. 威胁；可能来临"
force,"n. 力量；武力；军队；魄力
vt. 促使，推动；强迫；强加"
suspect,"n. 嫌疑犯
adj. 可疑的；不可信的
vi. 怀疑；猜想
vt. 怀疑；猜想"
discrimination,n. 歧视；区别，辨别；识别力
rival,"n. 对手；竞争者
adj. 竞争的
vt. 与…竞争；比得上某人
vi. 竞争"
prejudice,"n. 偏见；侵害
vt. 损害；使有偏见"
fierce,adj. 凶猛的；猛烈的；暴躁的
compel,vt. 强迫，迫使；强使发生
aggressive,adj. 侵略性的；好斗的；有进取心的；有闯劲的
skeptical,adj. 怀疑的；怀疑论的，不可知论的
hostile,"n. 敌对
adj. 敌对的，敌方的；怀敌意的"
violent,adj. 暴力的；猛烈的
anxious,adj. 焦虑的；担忧的；渴望的；急切的
anxiety,n. 焦虑；渴望；挂念；令人焦虑的事
concern,"n. 关系；关心；关心的事；忧虑
vt. 涉及，关系到；使担心"
pressure,"n. 压力；压迫， 压强
vt. 迫使；密封；使……增压"
stress,"n. 压力；强调；紧张；重要性；重读
vt. 强调；使紧张；加压力于；用重音读"
nervous,adj. 神经的；紧张不安的；强健有力的
hesitant,adj. 迟疑的；踌躇的；犹豫不定的
opinion,n. 意见；主张
regard,"n. 注意；尊重；问候；凝视
vi. 注意，注重；注视
vt. 注重，考虑；看待；尊敬；把…看作；与…有关"
attitude,n. 态度；看法；意见；姿势
perspective,"n. 观点；远景；透视图
adj. 透视的"
comment,"n. 评论；意见；批评
vi. 发表评论；发表意见
vt. 为…作评语"
remark,"n. 注意；言辞
vt. 评论；觉察
vi. 谈论"
remarkable,adj. 卓越的；非凡的；值得注意的
deem,"vt. 认为，视作；相信
vi. 认为，持某种看法；作某种评价"
approve,"vi. 批准；赞成；满意
vt. 批准；赞成；为…提供证据"
adopt,"vi. 采取；过继
vt. 采取；接受；收养；正式通过"
accept,"vi. 承认；同意；承兑
vt. 接受；承认；承担；承兑；容纳"
admit,"vi. 承认；容许
vt. 承认；准许进入；可容纳"
recognize,"vt. 认出，识别；承认
vi. 确认，承认；具结"
recognition,n. 识别；承认，认出；重视；赞誉；公认
acknowledge,vt. 承认；答谢；报偿；告知已收到
grant,"n. 拨款； 授予物
vt. 授予；允许；承认
vi. 同意"
positive,"n. 正数； 正片
adj. 积极的； 正的， 阳性的；确定的，肯定的；实际的，真实的；绝对的"
negative,"adj.  负的；消极的；否定的；阴性的
n. 否定；负数； 底片
vt. 否定；拒绝"
conventional,adj. 符合习俗的，传统的；常见的；惯例的
bright,"n. 车头灯光
adj. 明亮的，鲜明的；聪明的；愉快的
adv. 明亮地；光明地；欢快地"
objective,"adj. 客观的；目标的；宾格的
n. 目的；目标； 物镜；宾格"
optimistic,adj. 乐观的；乐观主义的
proud,adj. 自豪的；得意的；自负的
pride,"n. 自豪；骄傲；自尊心
vt. 使得意，以…自豪
vi. 自豪"
sympathetic,"n. 交感神经；容易感受的人
adj. 同情的；交感神经的；共鸣的；赞同的；和谐的；合意的"
inspire,vt. 激发；鼓舞；启示；产生；使生灵感
motivate,vt. 刺激；使有动机；激发…的积极性
motivation,n. 动机；积极性；推动
motivated,"adj. 有动机的；有积极性的
v. 使产生动机；激发…的积极性（motivate的过去式和过去分词）"
incentive,"n. 动机；刺激
adj. 激励的；刺激的"
prompt,"n. 提示；付款期限；DOS命令：改变DOS系统提示符的风格
adj. 敏捷的，迅速的；立刻的
vt. 提示；促进；激起；（给演员）提白
adv. 准时地"
stimulate,"vi. 起刺激作用；起促进作用
vt. 刺激；鼓舞，激励"
stimulus,n. 刺激；激励；刺激物
trigger,"n. 扳机； 触发器；制滑机
vt. 引发，引起；触发
vi. 松开扳柄"
activate,"vt. 刺激；使活动；使活泼；使产生放射性
vi. 激活；有活力"
spur,"n. 鼓舞，刺激；马刺；山坡
vt. 激励，鞭策；给…装踢马刺
vi. 骑马疾驰；给予刺激"
arouse,"vt. 引起；唤醒；鼓励
vi. 激发；醒来；发奋"
spark,"n. 火花；朝气；闪光
vt. 发动；鼓舞；求婚
vi. 闪烁；发火花；求婚"
favor,"n. 喜爱；欢心；好感
vt. 赞成；喜欢；像；赐予；证实"
favorable,adj. 有利的；良好的；赞成的，赞许的；讨人喜欢的
attractive,adj. 吸引人的；有魅力的；引人注目的
attraction,n. 吸引，吸引力；引力；吸引人的事物
preference,n. 偏爱，倾向；优先权
appreciate,"vi. 增值；涨价
vt. 欣赏；感激；领会；鉴别"
passion,n. 激情；热情；酷爱；盛怒
intimate,"n. 知己；至交
adj. 亲密的；私人的；精通的；有性关系的
vt. 暗示；通知；宣布"
enthusiasm,n. 热心，热忱，热情
enthusiastic,adj. 热情的；热心的；狂热的
keen,"adj. 敏锐的，敏捷的；渴望的；强烈的；热心的；锐利的
n. 痛哭，挽歌"
indulge,"vi. 沉溺；满足；放任
vt. 满足；纵容；使高兴；使沉迷于…"
obsess,vt. 迷住，缠住；使…着迷；使…困扰
admire,"vt. 钦佩；赞美
vi. 钦佩；称赞"
mental,"adj. 精神的；脑力的；疯的
n. 精神病患者"
mind,"n. 理智，精神；意见；智力；记忆力
vt. 介意；专心于；照料
vi. 介意；注意"
psychological,adj. 心理的；心理学的；精神上的
psychology,n. 心理学；心理状态
psychologist,n. 心理学家，心理学者
emotional,adj. 情绪的；易激动的；感动人的
emotion,n. 情感；情绪
mood,n. 情绪，语气；心境；气氛
expect,"vi. 期待；预期
vt. 期望；指望；认为；预料"
expectation,n. 期待；预期；指望
unexpected,adj. 意外的，想不到的
predict,"vi. 作出预言；作预料，作预报
vt. 预报，预言；预知"
unpredictable,"n. 不可预言的事
adj. 不可预知的；不定的；出乎意料的"
prediction,n. 预报；预言
anticipate,vt. 预期，期望；占先，抢先；提前使用
prospect,"n. 前途；预期；景色
vt. 勘探，勘察
vi. 勘探，找矿"
prospective,"n. 预期；展望
adj. 未来的；预期的"
desire,"n. 欲望；要求，心愿；性欲
vt. 想要；要求；希望得到…
vi. 渴望"
undesirable,"n. 不良分子；不受欢迎的人
adj. 不良的；不受欢迎的；不合需要的"
pursue,"vi. 追赶；继续进行
vt. 继续；从事；追赶；纠缠"
pursuit,n. 追赶，追求；职业，工作
attempt,"n. 企图，试图；攻击
vt. 企图，试图；尝试"
eager,adj. 渴望的；热切的；热心的
ambitious,adj. 野心勃勃的；有雄心的；热望的；炫耀的
ambition,"n. 野心，雄心；抱负，志向
vt. 追求；有…野心"
aspiration,n. 渴望；抱负；送气；吸气；吸引术
desperate,adj. 不顾一切的；令人绝望的；极度渴望的
cautious,adj. 谨慎的；十分小心的
caution,"n. 小心，谨慎；警告，警示
vt. 警告"
warn,"vt. 警告，提醒；通知
vi. 发出警告，发出预告"
warning,"n. 警告；预兆；预告
v. 警告（warn的ing形式）
adj. 警告的；引以为戒的"
notice,"n. 通知，布告；注意；公告
vt. 通知；注意到；留心
vi. 引起注意"
preparation,n. 预备；准备
alert,"n. 警戒，警惕；警报
adj. 警惕的，警觉的；留心的
vt. 警告；使警觉，使意识到"
oppose,"vt. 反对；对抗，抗争
vi. 反对"
opposition,n. 反对；反对派；在野党；敌对
reluctant,adj. 不情愿的；勉强的；顽抗的
reject,"n. 被弃之物或人；次品
vt. 拒绝；排斥；抵制；丢弃"
refuse,"n. 垃圾；废物
vi. 拒绝
vt. 拒绝；不愿；抵制"
deny,"vi. 否认；拒绝
vt. 否定，否认；拒绝给予；拒绝…的要求"
willing,"adj. 乐意的；自愿的；心甘情愿的
v. 决心；用意志力驱使；将（财产等）遗赠某人（will的现在分词）"
unwilling,adj. 不愿意的；不情愿的；勉强的
willingness,n. 乐意；心甘情愿；自动自发
belief,n. 相信，信赖；信仰；教义
intend,"vi. 有打算
vt. 打算；想要；意指"
intention,n. 意图；目的；意向；愈合
fear,"n. 害怕；恐惧；敬畏；担心
vt. 害怕；敬畏；为…担心
vi. 害怕；敬畏；为…担心"
shock,"n. 休克；震惊；震动；打击；禾束堆
adj. 浓密的；蓬乱的
vt. 使休克；使震惊；使震动；使受电击；把…堆成禾束堆
vi. 感到震惊；受到震动；堆成禾束堆"
scary,adj. （事物）可怕的；恐怖的；吓人的；（人）提心吊胆的；引起惊慌的；胆小的
panic,"n. 恐慌，惊慌；大恐慌
adj. 恐慌的；没有理由的
vt. 使恐慌
vi. 十分惊慌"
horrible,adj. 可怕的；极讨厌的
confidence,"n. 信心；信任；秘密
adj. （美）诈骗的；骗得信任的"
indifferent,adj. 漠不关心的；无关紧要的；中性的，中立的
calm,"n. 风平浪静
adj. 静的，平静的；沉着的
vt. 使平静；使镇定
vi. 平静下来；镇定下来"
patience,n. 耐性，耐心；忍耐，容忍
pleasant,adj. 令人愉快的，舒适的；讨人喜欢的，和蔼可亲的
enjoyable,adj. 快乐的；有乐趣的；令人愉快的
pleasure,"n. 快乐；希望；娱乐；令人高兴的事
vt. 使高兴；使满意
vi. 高兴；寻欢作乐"
glad,"adj. 高兴的；乐意的；令人高兴的；灿烂美丽的
vt. 使高兴"
satisfaction,n. 满意，满足；赔偿；乐事；赎罪
satisfy,"vi. 令人满意；令人满足
vt. 满足；说服，使相信；使满意，使高兴"
upset,"n. 混乱；翻倒；颠覆
adj. 心烦的；混乱的；弄翻的
vt. 使心烦；颠覆；扰乱
vi. 翻倒"
depression,n. 沮丧；洼地；不景气；忧愁；低气压区
frustration,n. 挫折
bitter,"n. 苦味；苦啤酒
adj. 苦的；痛苦的；尖刻的；充满仇恨的
vt. 使变苦
adv. 激烈地；严寒刺骨地"
puzzle,"n. 谜；难题；迷惑
vt. 使…困惑；使…为难；苦思而得出
vi. 迷惑；冥思苦想"
confuse,vt. 使混乱；使困惑
confusion,n. 混淆，混乱；困惑
confused,"v. 困惑（confuse的过去式）
adj. 困惑的；混乱的；糊涂的"
curiosity,n. 好奇，好奇心；珍品，古董，古玩
curious,adj. 好奇的，有求知欲的；古怪的；爱挑剔的
