recognize,"vt. 认出，识别；承认
vi. 确认，承认；具结"
escape,"n. 逃跑；逃亡；逃走；逃跑工具或方法；野生种；泄漏
vi. 逃脱；避开；溜走；（气体，液体等）漏出；（未受伤或只受了一点伤害而）逃脱；声音（不自觉地）由…发出
vt. 逃避，避开，避免；被忘掉；被忽视"
cape,n.  海角，岬；披肩
caption,"n. 标题；字幕；说明；逮捕
vt. 加上说明；加上标题"
capture,"n. 捕获；战利品，俘虏
vt. 俘获；夺得；捕捉，拍摄,录制"
captive,"n. 俘虏；迷恋者
adj. 被俘虏的；被迷住的"
capacity,n. 能力；容量；资格，地位；生产力
capsule,"n. 胶囊； 蒴果；太空舱；小容器
adj. 压缩的；概要的
vt. 压缩；简述"
guard,"n. 守卫；警戒；护卫队；防护装置
vi. 警惕
vt. 保卫；监视"
safeguard,"n.  保护；保卫；保护措施
vt.  保护，护卫"
regard,"n. 注意；尊重；问候；凝视
vi. 注意，注重；注视
vt. 注重，考虑；看待；尊敬；把…看作；与…有关"
disregard,"n. 忽视；不尊重
vt. 忽视；不理；漠视；不顾"
regarding,prep. 关于，至于
regardless,"adj. 不管的；不顾的；不注意的
adv. 不顾后果地；不管怎样，无论如何；不惜费用地"
guardian,"n.  监护人，保护人；守护者
adj. 守护的"
ward,"n. 病房；保卫；监视
vt. 避开；保卫；守护"
guarantee,"n. 保证；担保；保证人；保证书；抵押品
vt. 保证；担保"
warrant,"n. 根据；证明；正当理由；委任状
vt. 保证；担保；批准；辩解"
warranty,n. 保证；担保；授权；（正当）理由
temporary,"n. 临时工，临时雇员
adj. 暂时的，临时的"
temporal,"n. 世间万物；暂存的事物
adj. 暂时的；当时的；现世的"
contemporary,"n. 同时代的人；同时期的东西
adj. 当代的；同时代的；属于同一时期的"
thesis,n. 论文；论点
hypothesis,n. 假设
synthesis,n. 综合， 合成；综合体
synthetic,"n. 合成物
adj. 综合的；合成的，人造的"
professor,n. 教授；教师；公开表示信仰的人
profess,"vt. 自称；公开表示；宣称信奉；正式准予加入
vi. 声称；承认；当教授"
profession,n. 职业，专业；声明，宣布，表白
confess,"vi. 承认；坦白；忏悔；供认
vt. 承认；坦白；忏悔；供认"
manifest,"vt. 证明，表明；显示
vi. 显示，出现
n. 载货单，货单；旅客名单
adj. 显然的，明显的；明白的"
prophesy,"vt. 预言；预告
vi. 预言；预报；传教"
prophecy,n. 预言；预言书；预言能力
prophet,n. 先知；预言者；提倡者
sense,"n. 感觉，功能；观念；道理；理智
vt. 感觉到；检测"
sensible,"n. 可感觉到的东西; 敏感的人;
adj. 明智的; 通情达理的; 合乎情理的; 意识到的，能感觉到的;"
sensitive,"adj. 敏感的；感觉的； 灵敏的；感光的；易受伤害的；易受影响的
n. 敏感的人；有灵异能力的人"
sensual,adj. 感觉的；肉欲的；世俗的；感觉论的
sensuous,adj. 感觉上的，依感观的；诉诸美感的
sensation,n. 感觉；轰动；感动
sensational,adj. 轰动的；耸人听闻的；非常好的；使人感动的
sentiment,n. 感情，情绪；情操；观点；多愁善感
consensus,n. 一致；舆论；合意
consent,"n. 同意；（意见等的）一致；赞成
vi. 同意；赞成；答应"
dissent,"n. 异议；（大写）不信奉国教
vi. 不同意；不信奉国教"
resent,vt. 怨恨；愤恨；厌恶
resentment,n. 愤恨，怨恨
scent,"n. 气味；嗅觉；痕迹；察觉能力
vt. 闻到；发觉；使充满…的气味；循着遗臭追踪
vi. 发出…的气味；有…的迹象；嗅着气味追赶"
nonsense,"n. 胡说；废话
adj. 荒谬的
int. 胡说！"
certain,"adj. 某一；必然的；确信；无疑的；有把握的
pron. 某些；某几个"
ascertain,vt. 确定；查明；探知
certificate,"n. 证书；执照，文凭
vt. 发给证明书；以证书形式授权给…；用证书批准"
certify,v. 证明；保证
certification,n. 证明，保证；检定
solve,"vt. 解决；解答；溶解
vi. 作解答"
solution,n. 解决方案；溶液；溶解；解答
soluble,adj.  可溶的，可溶解的；可解决的
dissolve,"n. 叠化画面；画面的溶暗
vt. 使溶解；使分解；使液化
vi. 溶解；解散；消失"
dissolution,n. 分解，溶解；（议会等的）解散；（契约等的）解除；死亡
resolve,"n. 坚决；决定要做的事
vt. 决定；溶解；使…分解；决心要做…
vi. 解决；决心；分解"
resolution,n.  分辨率；决议；解决；决心
sum,"n. 金额；总数
vt. 总结；合计
vi. 概括"
summary,"n. 概要，摘要，总结
adj. 简易的；扼要的"
summarize,"vt. 总结；概述
vi. 作总结；作概括"
summarise,vt. 总结，概述
resume,"n. 摘要； 履历，简历
vi. 重新开始，继续
vt. 重新开始，继续；恢复，重新占用"
summit,"n. 顶点；最高级会议；最高阶层
adj. 最高级的；政府首脑的"
assume,"vt. 僭取；篡夺；夺取；擅用；侵占
vi. 假定；设想；承担；采取"
consume,"vt. 消耗，消费；使…着迷；挥霍
vi. 耗尽，毁灭；耗尽生命"
presume,"vi. 相信；擅自行为
vt. 假定；推测；擅自；意味着"
presumably,adv. 大概；推测起来；可假定
assumption,n. 假定；设想；担任；采取
consumption,n. 消费；消耗；肺痨
presumption,n. 放肆，傲慢；推测
resumption,n. 恢复；重新开始；取回；重获；恢复硬币支付
dictionary,n. 字典；词典
dictation,n. 听写；口述；命令
diction,n. 用语；措词
addict,"n. 有瘾的人；入迷的人
vt. 使沉溺；使上瘾"
addicted,"v. 使…上瘾（addict的过去分词）
adj. 沉溺于某种（尤其是不良的）嗜好的；入了迷的，上了瘾的"
addictive,adj. 使人上瘾的
contradict,"vt. 反驳；否定；与…矛盾；与…抵触
vi. 反驳；否认；发生矛盾"
contradiction,n. 矛盾；否认；反驳
predict,"vi. 作出预言；作预料，作预报
vt. 预报，预言；预知"
prediction,n. 预报；预言
verdict,n. 结论；裁定
dedicate,vt. 致力；献身；题献
dedication,n. 奉献；献身；赠言
indicate,vt. 表明；指出；预示；象征
indication,n. 指示，指出；迹象；象征
indicative,"n. 陈述语气；陈述语气的动词形式
adj. 象征的；指示的；表示…的"
index,"n. 指标；指数；索引；指针
vt. 指出；编入索引中
vi. 做索引"
dictate,"n. 命令；指示
vt. 命令；口述；使听写
vi. 口述；听写"
dictator,n. 独裁者；命令者
rigorous,adj. 严格的，严厉的；严密的；严酷的
drastic,"n. 烈性泻药
adj. 激烈的；猛烈的"
grim,adj. 冷酷的；糟糕的；残忍的
stern,"n. 船尾；末端
adj. 严厉的；坚定的"
baffle,"n. 挡板；困惑
vt. 使…困惑；使…受挫折；用挡板控制
vi. 做徒劳挣扎"
bewilder,vt. 使迷惑，使不知所措
astray,"adj. 迷路的；离开正道的；不对头的
adv. 误入歧途地；迷途地；迷路"
opaque,"adj. 不透明的；不传热的；迟钝的
n. 不透明物
vt. 使不透明；使不反光"
dazzle,"n. 耀眼的光；灿烂
vt. 使……目眩；使……眼花
vi. 眼花缭乱；炫耀"
tempt,vt. 诱惑；引起；冒…的风险；使感兴趣
lure,"n. 诱惑；饵；诱惑物
vt. 诱惑；引诱"
delude,vt. 欺骗；哄骗；诱惑；迷惑；逃避；使失望
propagate,"vt. 传播；传送；繁殖；宣传
vi. 繁殖；增殖"
propaganda,n. 宣传；传道总会
preach,"n. 说教
vt. 说教；讲道；鼓吹；传道；反复灌输
vi. 说教；讲道；鼓吹；宣扬"
foul,"n. 犯规；缠绕
adj. 犯规的；邪恶的；污秽的；淤塞的
vt. 犯规；弄脏；淤塞；缠住，妨害
adv. 违反规则地，不正当地
vi. 犯规；腐烂；缠结"
vice,"prep. 代替
n. 恶习；缺点； 老虎钳；卖淫
adj. 副的；代替的
vt. 钳住"
vicious,adj. 恶毒的；恶意的；堕落的；有错误的；品性不端的；剧烈的
vulgar,"n. 平民，百姓
adj. 粗俗的；通俗的；本土的"
obscene,adj. 淫秽的；猥亵的；可憎的
trigger,"n. 扳机； 触发器；制滑机
vt. 引发，引起；触发
vi. 松开扳柄"
ignite,"vt. 点燃；使燃烧；使激动
vi. 点火；燃烧"
retort,"n. 反驳，顶嘴；曲颈瓶
vi. 反驳，回嘴
vt. 反驳，反击"
refute,vt. 反驳，驳斥；驳倒
reproach,"n. 责备；耻辱
vt. 责备；申斥"
denounce,vt. 谴责；告发；公然抨击；通告废除
deplore,vt. 谴责；悲悼；哀叹；对…深感遗憾
country,"n. 国家，国土；国民；乡下，农村；乡村；故乡
adj. 祖国的，故乡的；地方的，乡村的；国家的；粗鲁的；乡村音乐的"
counter,"n. 柜台；对立面；计数器；（某些棋盘游戏的）筹码
vi. 逆向移动，对着干；反驳
adj. 相反的
vt. 反击，还击；反向移动，对着干；反驳，回答
adv. 反方向地；背道而驰地"
counteract,vt. 抵消；中和；阻碍
counterclockwise,"adj. 反时针方向的
adv. 反时针方向"
counterfeit,"n. 赝品；冒牌货；伪造品
adj. 假冒的，伪造的；虚伪的
vt. 伪造，仿造；假装，伪装
vi. 仿造；假装"
counterpart,n. 副本；配对物；极相似的人或物
encounter,"n. 遭遇，偶然碰见
vi. 遭遇；偶然相遇
vt. 遭遇，邂逅；遇到"
contrary,"n. 相反；反面
adj. 相反的；对立的
adv. 相反地"
contrast,"n. 对比；差别；对照物
vt. 使对比；使与…对照
vi. 对比；形成对照"
controversy,n. 争论；论战；辩论
controversial,adj. 有争议的；有争论的
model,"n. 模型；典型；模范；模特儿；样式
vt. 模拟；塑造；模仿
vi. 做模型；做模特儿
adj. 模范的；作模型用的"
mode,n. 模式；方式；风格；时尚
module,n.  模块；组件；模数
mold,"vt. 塑造；使发霉；用模子制作
vi. 发霉
n. 霉菌；模子"
mould,"vi. 发霉
vt. 浇铸；用泥土覆盖
n. 模具；霉"
moderate,"adj. 稳健的，温和的；适度的，中等的；有节制的
vi. 变缓和，变弱
vt. 节制；减轻"
moderator,n.  慢化剂；仲裁人；调解人；缓和剂
modify,"vt. 修改，修饰；更改
vi. 修改"
accommodate,"vi. 适应；调解
vt. 容纳；使适应；供应；调解"
accommodation,n. 住处，膳宿；调节；和解；预订铺位
commodity,n. 商品，货物；日用品
serve,"n. 发球，轮到发球
vi. 服役，服务；适合，足够；发球；招待，侍候
vt. 招待，供应；为…服务；对…有用；可作…用"
servant,n. 仆人，佣人；公务员；雇工
deserve,"vi. 应受，应得
vt. 应受，应得"
conserve,"n. 果酱；蜜饯
vt. 保存；将…做成蜜饯；使守恒"
conservation,n. 保存，保持；保护
conservative,
preserve,"n. 保护区；禁猎地；加工成的食品
vt. 保存；保护；维持；腌；禁猎"
preservation,n. 保存，保留
reserve,"n. 储备，储存；自然保护区；预备队；缄默； 储备金
vt. 储备；保留；预约
vi. 预订"
reservation,n. 预约，预订；保留
reservoir,n. 水库；蓄水池
observe,"vt. 庆祝
vt. 观察；遵守；说；注意到；评论
vi. 观察；说；注意到；评论"
observatory,n. 天文台；气象台；瞭望台
dessert,n. 餐后甜点；甜点心
magnificent,adj. 高尚的；壮丽的；华丽的；宏伟的
major,"adj. 主要的；重要的；主修的；较多的
n.  成年人；主修科目；陆军少校
vi. 主修"
magnify,"vt. 放大；赞美；夸大
vi. 放大；有放大能力"
magnitude,n. 大小；量级； 震级；重要；光度
mayor,n. 市长
majestic,adj. 庄严的；宏伟的
majesty,n. 威严；最高权威，王权；雄伟；权威
judge,"vt. 判断；审判
n. 法官；裁判员
vi. 审判；判决"
judgment,n. 判断；裁判；判决书；辨别力
judgement,n. 意见；判断力； 审判；评价
judicial,adj. 公正的，明断的；法庭的；审判上的
judiciary,"n. 司法部；法官；司法制度
adj. 司法的；法官的；法院的"
prejudice,"n. 偏见；侵害
vt. 损害；使有偏见"
jury,"n.  陪审团；评判委员会
adj. 应急的"
final,"n. 决赛；期末考试；当日报纸的末版
adj. 最终的；决定性的；不可更改的"
confine,"n. 界限，边界;约束；限制
vt. 限制；禁闭"
define,vt. 定义；使明确；规定
definition,n. 定义； 清晰度；解说
definite,adj. 一定的；确切的
definitely,adv. 清楚地，当然；明确地，肯定地
indefinite,adj. 不确定的；无限的；模糊的
definitive,"n. 限定词
adj. 决定性的；最后的；限定的"
finite,"n. 有限之物
adj. 有限的；限定的"
infinite,"n. 无限； 无穷大；无限的东西（如空间，时间）
adj. 无限的，无穷的；无数的；极大的"
infinity,n. 无穷；无限大；无限距
complete,"adj. 完整的；完全的；彻底的
vt. 完成"
incomplete,adj. 不完全的； 不完备的
complement,"n. 补语；余角；补足物
vt. 补足，补助"
comply,vi. 遵守；顺从，遵从；答应
supplement,"vt. 增补，补充
n. 增补，补充；补充物；增刊，副刊"
supplementary,"n. 补充者；增补物
adj. 补充的；追加的"
supply,"n. 供给，补给；供应品
vt. 供给，提供；补充
vi. 供给；替代"
accomplish,vt. 完成；实现；达到
implement,"n. 工具，器具；手段
vt. 实施，执行；实现，使生效"
atmosphere,n. 气氛；大气；空气
atmospheric,adj. 大气的，大气层的
sphere,"n. 范围；球体
adj. 球体的
vt. 包围；放入球内；使…成球形"
hemisphere,n. 半球
grasp,"n. 抓住；理解；控制
vi. 抓
vt. 抓住；领会"
grab,"n. 攫取；霸占；夺取之物
vt. 攫取；霸占；将…深深吸引
vi. 攫取；夺取"
grip,"n. 紧握；柄；支配；握拍方式；拍柄绷带
vt. 紧握；夹紧
vi. 抓住"
grope,"n. 摸索；触摸
vt. 摸索
vi. 摸索；探索"
idea,n. 想法；主意；概念
ideal,"n. 理想；典范
adj. 理想的；完美的；想象的；不切实际的"
idealism,n. 唯心主义，理想主义；理念论
ideology,n. 意识形态；思想意识；观念学
ideological,adj. 思想的；意识形态的
idol,n. 偶像，崇拜物；幻象；谬论
idolize,"vt. 极端崇拜；把...当偶像崇拜
vi. 崇拜偶像"
idolise,vi. 把…当偶像崇拜; 崇拜偶像; 过度崇拜; 偶像化
roll,"n. 卷，卷形物；名单；摇晃
vt. 卷；滚动，转动；辗
vi. 卷；滚动；转动；起伏，摇晃"
roller,n.  滚筒； 滚轴；辊子；滚转机
enrol,"vi. 注册；参军
vt. 登记；卷起；入学；使入会"
enroll,"vi. 参加；登记；注册；记入名册
vt. 登记；使加入；把...记入名册；使入伍"
enrolment,n. 登记，注册；入学
enrollment,n. 登记；入伍
patrol,"n. 巡逻；巡逻队；侦察队
vt. 巡逻；巡查
vi. 巡逻；巡查"
stroll,"n. 漫步；闲逛；巡回演出
vt. 散步；闲逛
vi. 散步；闲逛；巡回演出"
