bold,adj. 大胆的，英勇的；黑体的；厚颜无耻的；险峻的
candidate,n. 候选人，候补者；应试者
candy,"n. 糖果（等于sweets）；冰糖（等于sugar candy，rock candy）；毒品
adj. 新潮的（服饰）；甜言蜜语的
vt. 用糖煮；使结晶为砂糖；美化
vi. 糖煮；成为结晶"
cane,"n. 手杖；藤条；细长的茎
vt. 以杖击；以藤编制"
canal,"n. 运河； 水道； 管道；灌溉水渠
vt. 在…开凿运河"
canoe,"n. 独木舟；轻舟
vi. 乘独木舟
vt. 用独木舟运"
cannon,"n. 大炮；加农炮；榴弹炮；机关炮
vt. 炮轰
vi. 炮轰；开炮"
channel,"n. 通道；频道；海峡
vt. 引导，开导；形成河道"
tunnel,"n. 隧道；坑道；洞穴通道
vt. 挖；在…打开通道；在…挖掘隧道
vi. 挖掘隧道；打开通道"
howl,"n. 嗥叫；怒号；嚎哭
vt. 狂喊着说；对…吼叫
vi. 咆哮；怒吼；狂吠"
owl,n. 猫头鹰；枭；惯于晚上活动的人
hover,"n. 徘徊；盘旋；犹豫
vi. 盘旋，翱翔；徘徊
vt. 孵；徘徊在…近旁"
hook,"n. 挂钩，吊钩
vt. 钩住；引上钩
vi. 钩住；弯成钩状"
hawk,"n. 鹰；鹰派成员；掠夺他人的人
vi. 清嗓；咳嗽；像鹰一般地袭击
vt. 兜售，沿街叫卖；捕捉；咳出"
awkward,adj. 尴尬的；笨拙的；棘手的；不合适的
haul,"n. 拖，拉；用力拖拉；努力得到的结果；捕获物；一网捕获的鱼量；拖运距离
vt. 拖运；拖拉
vi. 拖，拉；改变主意；改变方向"
overhaul,"vt. 分解检查，大修；追上并超过
n. 彻底检修，详细检查"
exhaust,"n. 排气；废气；排气装置
vt. 排出；耗尽；使精疲力尽；彻底探讨
vi. 排气"
exhausted,"v. 耗尽；用尽；使…精疲力尽（exhaust的过去式）
adj. 疲惫的；耗尽的"
growl,"n. 咆哮声；吠声；不平
vt. 咆哮；（雷电，炮等）轰鸣
vi. 咆哮着说"
crow,"n.  乌鸦；鸡鸣；撬棍
vi. 啼叫；报晓"
cow,"n. 奶牛，母牛；母兽
vt. 威胁，恐吓"
crown,"n. 王冠；花冠；王权；顶点
vt. 加冕；居…之顶；表彰；使圆满完成"
brow,n. 眉，眉毛；额；表情
eyebrow,"n. 眉毛
v. 为…描眉；用皱眉蹙额迫使"
brown,"n. 褐色，棕色
adj. 棕色的，褐色的；太阳晒黑的
vt. 使变成褐色
vi. 变成褐色"
frown,"n. 皱眉，蹙额
vt. 皱眉，蹙额
vi. 皱眉；不同意"
browse,"n. 浏览；吃草
vt. 浏览；吃草
vi. 浏览；吃草；漫不经心地看商品"
browser,n.  浏览器；吃嫩叶的动物；浏览书本的人
bruise,"n. 擦伤；挫伤；青肿
vt. 使受瘀伤；使受挫伤
vi. 擦伤；受伤"
brutal,adj. 残忍的；野蛮的，不讲理的
brush,"n. 刷子；画笔；毛笔；争吵；与某人有效冲突；灌木丛地带；矮树丛；狐狸尾巴
vi. 刷；擦过；掠过；（经过时）轻触
vt. 刷；画；"
crucial,adj. 重要的；决定性的；定局的；决断的
crusade,"n. 改革运动；十字军东侵
vi. 加入十字军；从事改革运动"
cruise,"n. 巡航，巡游；乘船游览
vt. 巡航，巡游；漫游
vi. 巡航，巡游；漫游"
awe,"n. 敬畏
vt. 使敬畏；使畏怯"
awesome,adj. 令人敬畏的；使人畏惧的；可怕的；极好的
awful,adj. 可怕的；极坏的；使人敬畏的
owe,"vt. 欠；感激；应给予；应该把……归功于
vi. 欠钱"
owing,"adj. 未付的；欠着的
v. 欠；把…归功于（owe的ing形式）"
ambiguous,adj. 模糊不清的；引起歧义的
ambition,"n. 野心，雄心；抱负，志向
vt. 追求；有…野心"
ambitious,adj. 野心勃勃的；有雄心的；热望的；炫耀的
ambulance,n.  救护车；战时流动医院
ambassador,n. 大使；代表；使节
embassy,n. 大使馆；大使馆全体人员
deaf,adj. 聋的
endeavor,"n. 努力；尽力（等于endeavour）
vi. 努力；尽力（等于endeavour）
vt. 努力；尽力（等于endeavour）"
endeavour,"n. 尽力，竭力
vi. 竭力；企图
vt. 竭力做到，试图或力图（做某事）"
clerk,"n. 职员，办事员；店员；书记；记账员；<古>牧师，教士
vi. 当销售员，当店员；当职员"
clergy,n. 神职人员；牧师；僧侣
nylon,n. 尼龙， 聚酰胺纤维；尼龙袜
amaze,vt. 使吃惊
amazing,"adj. 令人惊异的
v. 使吃惊（amaze的ing形式）"
amateur,"n. 爱好者；业余爱好者；外行
adj. 业余的；外行的"
amiable,adj. 和蔼可亲的，亲切的
vapor,"n. 蒸汽；烟雾
vt. 使……蒸发；使……汽化
vi. 蒸发；吹牛；沮丧"
vaporize,"vt. 使…蒸发
vi. 蒸发"
evaporate,"vt. 使……蒸发；使……脱水；使……消失
vi. 蒸发，挥发；消失，失踪"
hygiene,n. 卫生；卫生学；保健法
volcano,n. 火山
visa,"n. 签证
vt. 签发签证"
permeate,"vt. 渗透，透过；弥漫
vi. 弥漫；透入；散布"
plight,"n. 困境；境况；誓约
vt. 保证；约定"
rehearsal,n. 排演；预演；练习；训练；叙述
drag,"n. 拖；拖累
vi. 拖曳；缓慢而吃力地行进
vt. 拖累；拖拉；缓慢而吃力地行进"
dragon,n. 龙；凶暴的人，凶恶的人；严厉而有警觉性的女人
dragonfly,n.  蜻蜓
wagon,"n. 货车，四轮马车
vt. 用运货马车运输货物"
folk,"n. 民族；人们；亲属（复数）
adj. 民间的"
vulgar,"n. 平民，百姓
adj. 粗俗的；通俗的；本土的"
jargon,n. 行话，术语；黄锆石
champion,"n. 冠军；拥护者；战士
adj. 优胜的；第一流的
vt. 支持；拥护"
champagne,n. 香槟酒；香槟酒色
campaign,"n. 运动；活动；战役
vi. 作战；参加竞选；参加活动"
whiskey,"n. 威士忌酒
adj. 威士忌酒的"
worship,"n. 崇拜；礼拜；尊敬
vt. 崇拜；尊敬；爱慕
vi. 拜神；做礼拜"
peak,"n. 山峰；最高点；顶点；帽舌
adj. 最高的；最大值的
vt. 使达到最高点；使竖起
vi. 消瘦；到达最高点；变憔悴"
poke,"n. 戳；刺；袋子；懒汉
vt. 刺，捅；戳；拨开
vi. 刺，捅；戳；伸出；刺探；闲荡"
poultry,"n. 家禽
家禽肉"
vibrate,"vt. 使振动；使颤动
vi. 振动；颤动；摇摆；踌躇"
chain,"n. 链；束缚；枷锁
vt. 束缚；囚禁；用铁链锁住"
brook,"n. 小溪；小河
vt. 忍受；容忍"
lure,"n. 诱惑；饵；诱惑物
vt. 诱惑；引诱"
cater,vt. 投合，迎合；满足需要；提供饮食及服务
molecule,n.  分子；微小颗粒，微粒
shrill,"n. 尖叫声
adv. 尖锐地
vi. 尖声喊叫
vt. 尖声喊出
adj. 尖锐的；刺耳的"
thrill,"n. 激动；震颤；紧张
vt. 使…颤动；使…紧张；使…感到兴奋或激动
vi. 颤抖；感到兴奋；感到紧张"
thrilling,adj. 毛骨悚然的；令人兴奋的；颤动的
chill,"n. 寒冷；寒意；寒心
vt. 冷冻，冷藏；使寒心；使感到冷
adj. 寒冷的；冷漠的；扫兴的
vi. 冷藏；变冷"
chin,"n. 下巴；聊天；引体向上动作
vt. 用下巴夹住；与…聊天；在单杠上作引体向上动作
vi. 闲谈；作引体向上动作"
hatred,n. 憎恨；怨恨；敌意
infrared,"n. 红外线
adj. 红外线的"
intrinsic,adj. 本质的，固有的
pope,n. 教皇，罗马教皇；权威，大师
pop,abbr. 卖点广告（Point of Purchase）
popular,adj. 流行的，通俗的；受欢迎的；大众的；普及的
tan,"vi. 晒成棕褐色
adj. 黄褐色的；鞣皮的
n. （日晒后皮肤的）黝黑色；棕褐色；鞣料；马戏团
vt. 鞣（革）；晒成褐色"
tank,"n. 坦克；水槽；池塘
vt. 把…贮放在柜内；打败
vi. 乘坦克行进"
tanker,n. 油轮；运油飞机；油槽车；坦克手
lace,"n. 花边；鞋带；饰带；少量烈酒
vt. 饰以花边；结带子
vi. 系带子"
necklace,n. 项链
typhoon,n.  台风
lodge,"n. 旅馆；门房；集会处；山林小屋
vt. 提出；寄存；借住；嵌入
vi. 寄宿；临时住宿"
lounge,"n. 休息室；闲逛；躺椅；（英）酒吧间
vi. 闲逛；懒洋洋地躺卧；闲混
vt. 虚度光阴"
lobby,"n. 大厅；休息室；会客室；游说议员的团体
vt. 对……进行游说
vi. 游说议员"
log,"vi. 伐木
vt. 切；伐木；航行
n. 记录；航行日志；原木"
locker,n. 柜，箱；上锁的人；有锁的橱柜；锁扣装置；有锁的存物柜
organization,n. 组织；机构；体制；团体
organ,n.  器官；机构；风琴；管风琴；嗓音
organic,adj.  有机的；组织的；器官的；根本的
organize,"vt. 组织；使有系统化；给予生机；组织成立工会等
vi. 组织起来；成立组织"
organism,n. 有机体；生物体；微生物
sin,"n. 罪恶；罪孽；过失
vt. 犯罪
vi. 犯罪；犯过失"
cereal,"n. 谷类，谷物；谷类食品；谷类植物
adj. 谷类的；谷类制成的"
sincere,adj. 真诚的；诚挚的；真实的
ceremony,n. 典礼，仪式；礼节，礼仪；客套，虚礼
deem,"vt. 认为，视作；相信
vi. 认为，持某种看法；作某种评价"
doom,"n. 厄运；死亡；判决；世界末日
vt. 注定；判决；使失败"
mood,n. 情绪，语气；心境；气氛
redeem,vt. 赎回；挽回；兑换；履行；补偿；恢复
esteem,"n. 尊重；尊敬
vt. 尊敬；认为；考虑；估价"
estimate,"n. 估计，估价；判断，看法
vt. 估计，估量；判断，评价
vi. 估计，估价"
underestimate,"n. 低估
vt. 低估；看轻"
overestimate,"vt. 对……评价过高；对……估计过高
n. 估计过高；评价过高；出价过高
vi. 估计过高；评价过高"
ultimate,"n. 终极；根本；基本原则
adj. 最终的；极限的；根本的"
intimate,"n. 知己；至交
adj. 亲密的；私人的；精通的；有性关系的
vt. 暗示；通知；宣布"
image,"n. 影像；想象；肖像；偶像
vt. 想象；反映；象征；作…的像"
imagine,"vi. 想像；猜想；想像起来
vt. 想像；猜想；臆断"
imaginary,adj. 虚构的，假想的；想像的；虚数的
imagination,n.  想象力；空想；幻想物
imaginative,adj. 富于想象的；有创造力的
imitate,vt. 模仿，仿效；仿造，仿制
limitation,n. 限制；限度；极限；追诉时效；有效期限；缺陷
limited,"adj. 有限的
n. 高级快车"
irritate,"vt. 刺激，使兴奋；激怒
vi. 引起恼怒，引起不愉快"
irrigate,"vt. 灌溉；冲洗；使清新
vi. 灌溉；冲洗"
eliminate,vt. 消除；排除
preliminary,"n. 准备；预赛；初步措施
adj. 初步的；开始的；预备的"
element,n. 元素；要素；原理；成分；自然环境
elementary,adj. 基本的；初级的； 元素的
license,"n. 执照，许可证；特许
vt. 许可；特许；发许可证给"
censor,"n. 检查员； 潜意识压抑力；信件检查员
vt. 审查，检查；检查和删节"
censorship,n. 审查制度；审查机构
census,"n. 人口普查，人口调查
vt. 实施统计调查"
foam,"n. 泡沫；水沫；灭火泡沫
vt. 使起泡沫；使成泡沫状物
vi. 起泡沫；吐白沫；起着泡沫流动"
poem,n. 诗
poetry,n. 诗；诗意，诗情；诗歌艺术
poet,n. 诗人
prose,"n. 散文；单调
adj. 散文的；平凡的；乏味的
vt. 把…写成散文
vi. 写散文；乏味地讲话"
journey,"n. 旅行；行程
vi. 旅行"
journal,n. 日报，杂志；日记；分类账
journalism,n. 新闻业，新闻工作；报章杂志
journalist,n. 新闻工作者；报人；记日志者
lord,"n. 主；上帝
int. 主，天啊
vt. 使成贵族
vi. 作威作福，称王称霸"
landlady,n. 女房东；女地主；女店主
landlord,n. 房东，老板；地主
lad,n. 少年，小伙子；家伙
ladder,"n. 阶梯；途径；梯状物
vi. 成名；发迹
vt. 在……上装设梯子"
Latin,"adj. 拉丁语的；拉丁人的
n. 拉丁语；拉丁人"
tremble,"n. 颤抖；战栗；摇晃
vi. 发抖；战栗；焦虑；摇晃
vt. 使挥动；用颤抖的声音说出"
fee,"n. 费用；酬金；小费
vt. 付费给……"
feeble,adj. 微弱的，无力的；虚弱的；薄弱的
teenager,n. 十几岁的青少年；十三岁到十九岁的少年
hurl,"n. 用力的投掷
vt. 丢下；用力投掷；愤慨地说出
vi. 猛投；猛掷"
curl,"n. 卷曲；卷发；螺旋状物
vt. 使…卷曲；使卷起来
vi. 卷曲；盘绕"
disc,"n. 圆盘， 唱片（等于disk）
vt. 灌唱片"
dusk,"n. 黄昏，薄暮；幽暗，昏暗
vt. 使变微暗
adj. 微暗的
vi. 变微暗"
loan,"n. 贷款；借款
vi. 借出
vt. 借；借给"
lung,n. 肺；呼吸器
marathon,"n. 马拉松赛跑；耐力的考验
adj. 马拉松式的；有耐力的
vi. 参加马拉松赛跑"
mammal,n.  哺乳动物
maid,"n. 女仆；少女
vt. 侍候；做新娘的女傧相
vi. 当女仆"
maiden,"adj. 未婚的，处女的；初次的
n. 少女；处女"
mayor,n. 市长
meadow,n. 草地；牧场
Marxist,"n. 马克思主义者
adj. 马克思主义的"
naughty,adj. 顽皮的，淘气的；不听话的；没规矩的；不适当的；下流的
dwarf,"n. 侏儒，矮子
adj. 矮小的
vi. 变矮小
vt. 使矮小"
nickel,"n. 镍；镍币；五分镍币
vt. 镀镍于"
nightmare,"n. 恶梦；梦魇般的经历
adj. 可怕的；噩梦似的"
linger,"vi. 徘徊；苟延残喘；磨蹭
vt. 消磨；缓慢度过"
reluctant,adj. 不情愿的；勉强的；顽抗的
carbon,"n.  碳；碳棒；复写纸
adj. 碳的；碳处理的"
cassette,n. 盒式磁带；暗盒；珠宝箱；片匣
canteen,n. 食堂，小卖部；水壶
hysteria,n. 癔病，歇斯底里；不正常的兴奋
hysterical,adj. 歇斯底里的；异常兴奋的
campus,n. （大学）校园；大学，大学生活；校园内的草地
chamber,"n. （身体或器官内的）室，膛；房间；会所
adj. 室内的；私人的，秘密的
vt. 把…关在室内；装填（弹药等）"
cucumber,n. 黄瓜；胡瓜
caution,"n. 小心，谨慎；警告，警示
vt. 警告"
cautious,adj. 谨慎的；十分小心的
precaution,"n. 预防，警惕；预防措施
vt. 警惕；预先警告"
category,n. 种类，分类； 范畴
ego,n. 自我；自负；自我意识
destiny,n. 命运，定数，天命
destine,vt. 注定；命定；预定
destined,"v. 注定（destine的过去式和过去分词）
adj. 注定的；命定的；去往…的"
destination,n. 目的地，终点
melody,n. 旋律；歌曲；美妙的音乐
microphone,n. 扩音器，麦克风
symphony,n. 交响乐；谐声，和声
metropolitan,"adj. 大都市的；大主教辖区的；宗主国的
n. 大城市人；大主教；宗主国的公民"
affiliate,"n. 联号；隶属的机构等
vt. 使附属；接纳；使紧密联系
vi. 参加，加入；发生联系"
affiliated,"v. 使隶属；加入（affiliate的过去分词）
adj. 附属的；有关连的"
tongue,"n. 舌头；语言
vt. 舔；斥责；用舌吹
vi. 说话；吹管乐器"
volt,n. 伏特（电压单位）；环骑；闪避
watt,n. 瓦特
volunteer,"n. 志愿者；志愿兵
adj. 志愿的
vt. 自愿
vi. 自愿"
voluntary,"n. 志愿者；自愿行动
adj. 自愿的；志愿的；自发的；故意的"
calorie,n. 卡路里（热量单位）
junior,"adj. 年少的；后进的；下级的
n. 年少者，晚辈；地位较低者；大学三年级学生"
juvenile,"adj. 青少年的；幼稚的
n. 青少年；少年读物"
senior,"n. 上司；较年长者；毕业班学生
adj. 高级的；年长的；地位较高的；年资较深的，资格较老的"
senate,n. 参议院，上院；（古罗马的）元老院
senator,n. 参议员；（古罗马的）元老院议员；评议员，理事
semen,n. 精液；精子
seminal,"adj. 种子的；精液的；生殖的
adj. 有创造力的，对未来有影响的；重大的"
disseminate,"vt. 宣传，传播；散布
vi. 散布；广为传播"
inseminate,vt. 使受胎；栽植；人工授精
seminar,n. 讨论会，研讨班
swell,"n. 肿胀；隆起
vt. 使膨胀；使隆起
adj. 漂亮的；一流的
vi. 膨胀；肿胀；隆起"
swollen,adj. 肿胀的，浮肿的；浮夸的；激动兴奋的
swear,"n. 宣誓；诅咒
vt. 发誓；咒骂
vi. 发誓，宣誓；诅咒"
weary,"adj. 疲倦的；厌烦的；令人厌烦的
vt. 使疲倦；使厌烦
vi. 疲倦；厌烦"
dwell,vi. 居住；存在于；细想某事
dwelling,"n. 住处；寓所
v. 居住（dwell的现在分词）"
failure,n. 失败；故障；失败者；破产
fault,"n. 故障； 断层；错误；缺点；毛病；（网球等）发球失误
vt. （通常用于疑问句或否定句）挑剔
vi. 弄错；产生断层"
faulty,adj. 有错误的；有缺点的
faultless,adj. 完美的；无缺点的
false,"adj. 错误的；虚伪的；伪造的
adv. 欺诈地"
default,"n. 违约；缺席；缺乏；系统默认值
vt. 不履行；不参加（比赛等）；对…处以缺席裁判
vi. 拖欠；不履行；不到场"
fair,"n. 展览会；市集；美人
adj. 公平的；美丽的，白皙的； 晴朗的
vi. 转晴
adv. 公平地；直接地；清楚地"
unfair,adj. 不公平的，不公正的
fairy,"n. 仙女，小精灵；漂亮姑娘
adj. 虚构的；仙女的"
affair,n. 事情；事务；私事；（尤指关系不长久的）风流韵事
fear,"n. 害怕；恐惧；敬畏；担心
vt. 害怕；敬畏；为…担心
vi. 害怕；敬畏；为…担心"
fearful,adj. 可怕的；担心的；严重的
fare,"n. 票价；费用；旅客；食物
vi. 经营；进展；遭遇；过活"
farewell,"n. 告别，辞别；再见；再会
adj. 告别的
int. 别了！（常含有永别或不容易再见面的意思）；再会！"
