ambiguity,n. 含糊；不明确；暧昧；模棱两可的话
strut,"n. 支柱；高视阔步
vt. 炫耀；在…上趾高气扬地走；给…加支撑
vi. 高视阔步；趾高气扬地走"
convoy,"n. 护送；护卫；护航队
vt. 护航；护送"
swerve,"vt. 使转弯；使突然转向；使背离
vi. 转弯；突然转向；背离
n. 转向；偏离的程度"
maniac,"n. 疯子，躁狂者
adj. 发狂的；狂热的；癫狂的"
tinker,"n. 补锅匠；修补匠；焊锅；（美）小鲭鱼
vi. 做焊锅匠；焊补；笨手笨脚地做事
vt. 修补；粗修"
gadget,n. 小玩意；小器具；小配件；诡计
a computer maniac,
infantry,n. 步兵；步兵团
wade,"n. 跋涉；可涉水而过的地方
vi. 跋涉
vt. 涉水；费力行走"
numb,"vt. 使麻木；使发愣；使失去感觉
adj. 麻木的；发愣的"
weld,"n. 焊接；焊接点
vt. 焊接；使结合；使成整体
vi. 焊牢"
alloy,"n. 合金
vt. 使成合金；使减低成色
vi. 易于铸成合金"
stud,"n. 种马；大头钉；饰纽；壁骨
vt. 散布；用许多饰钮等装饰
adj. 种马的；为配种而饲养的"
wince,"n. 畏缩；脸部肌肉的抽搐
vi. 畏缩，退避"
abdomen,n. 腹部；下腹；腹腔
feel a pain in ...,
wrench,"n. 扳手，扳钳；扭伤；痛苦；歪曲；猛扭
vt. 扭伤；猛扭；曲解；折磨
vi. 扭伤；猛扭；猛绞"
hideous,adj. 可怕的；丑恶的
wrestle,"n. 摔跤；搏斗；斗争
vi. 摔跤；斗争；斟酌
vt. 与摔跤；与…搏斗；使劲搬动"
infamous,adj. 声名狼藉的；无耻的；邪恶的；不名誉的
fugitive,"n. 逃亡者；难捕捉之物
adj. 逃亡的；无常的；易变的"
meticulous,adj. 一丝不苟的；小心翼翼的；拘泥小节的
abide,"vi. 持续；忍受；停留
vt. 忍受，容忍；停留；遵守"
sloppy,adj. 草率的；粗心的；泥泞的；肥大的；稀薄的
abstain,vi. 自制；放弃；避免
fatty,"n. 胖子
adj. 脂肪的；肥胖的；多脂肪的；脂肪过多的"
herbal,"n. 植物志；草本书
adj. 草药的；草本的"
herbal medicine,"un. 本草书
 草药；中草药；中药"
amass,vt. 积聚，积累
colossal,adj. 巨大的；异常的，非常的
maritime,adj. 海的；海事的；沿海的；海员的
inmate,n. (尤指)同院病人；同狱犯人；同被(收容所)收容者
baptize,"vt. 给…施浸礼；命名；使经受考验（等于baptise）
vi. 施行洗礼（等于baptise）"
versatile,adj. 多才多艺的；通用的，万能的；多面手的
brag,"n. 吹牛，自夸
vi. 吹牛，自夸
vt. 吹牛，吹嘘"
repertoire,n. 全部节目；计算机指令系统；（美）某人或机器的全部技能
christen,vt. 为…命名；为…施洗礼
deceased,"n. 死者； 被继承人
adj. 已故的
vi. 死亡（decease的过去式）"
coax,"vt. 哄；哄诱；慢慢将…弄好
vi. 哄骗；劝诱"
toddler,n. 学步的小孩；幼童装
consign,vt. 交付；托运；寄存；把…委托给
guiltless,adj. 无罪的，无辜的；没有…的，不知…的
convene,"vt. 召集，集合；传唤
vi. 聚集，集合"
resumption,n. 恢复；重新开始；取回；重获；恢复硬币支付
converge,"vt. 使汇聚
vi. 聚集；靠拢；收敛"
premiere,"n. 初次的演出；女主角
vi. 初次公演；首次露面
vt. 初次公演；初次上演
adj. 首位的；初次的；女主角的"
crucify,vt. 折磨；十字架上钉死；克制
detention,n. 拘留；延迟；挽留
demolish,vt. 拆除；破坏；毁坏；推翻；驳倒
debris,n. 碎片，残骸
mediation,n. 调解；仲裁；调停
deploy,"n. 部署
vt. 配置；展开；使疏开
vi. 部署；展开"
brigade,"n. 旅；大部队；队列
vt. 把…编成旅；把…编成队"
dismantle,"vt. 拆除；取消；解散；除掉…的覆盖物
vi. 可拆卸"
projector,n.  投影仪；放映机；探照灯；设计者
soot,"n. 煤烟，烟灰
vt. 用煤烟熏黑；以煤烟弄脏"
dispel,vt. 驱散，驱逐；消除（烦恼等）
longstanding,adj. 长期存在的；长时间的
misconception,n. 误解；错觉；错误想法
disperse,"vt. 分散；使散开；传播
adj. 分散的
vi. 分散"
migrant,"n. 候鸟；移居者；随季节迁移的民工
adj. 移居的；流浪的"
provocative,"n. 刺激物，挑拨物；兴奋剂
adj. 刺激的，挑拨的；气人的"
paramount,"n. 最高统治者
adj. 最重要的，主要的；至高无上的"
economize,"vi. 节约，节省；有效地利用
vt. 节约，节省；有效地利用"
visibility,n. 能见度，可见性；能见距离；明显性
eject,vt. 喷射；驱逐，逐出
due to ...,
leverage,"n. 手段，影响力；杠杆作用；杠杆效率
v. 利用；举债经营"
elude,vt. 逃避，躲避
indictment,n. 起诉书；控告
adoration,n. 崇拜；爱慕
clarinet,n. 单簧管；竖笛，黑管
emulate,"n. 仿真；仿效
vt. 仿真；模仿；尽力赶上；同…竞争"
legislator,n. 立法者
enact,vt. 颁布；制定法律；扮演；发生
compliance,n. 顺从，服从；承诺
tactful,adj. 机智的；圆滑的；老练的
feign,"vt. 假装；装作；捏造；想象
vi. 假装；装作；作假；佯作"
allegiance,n. 效忠，忠诚；忠贞
guild,n. 协会，行会；同业公会
royalist,"n. 保皇主义者；保皇党人
adj. 保皇主义的；保皇党人的"
flirt,"n. 急扔；调情的人；卖弄风骚的人
vt. 挥动；忽然弹出
vi. 调情；玩弄；轻率地对待；摆动"
forge,"n. 熔炉，锻铁炉；铁工厂
vt. 伪造；锻造；前进
vi. 伪造；做锻工；前进"
affidavit,n. 宣誓书
fortify,"vt. 加强；增强；（酒）的酒精含量；设防于
vi. 筑防御工事"
fortress,"n. 堡垒；要塞
vt. 筑要塞；以要塞防守"
ammunition,"n. 弹药；军火
vt. 装弹药于
vi. 装弹药"
greyhound,n. 灰狗（一种猎犬）；快速船
fracture,"n. 破裂，断裂； 骨折
vt. 使破裂
vi. 破裂；折断"
mishap,n. 灾祸；不幸事故；晦气
wreckage,n. （失事船或飞机等的）残骸；（船只等的）失事
hamper,"n. 食盒，食篮；阻碍物
vt. 妨碍；束缚；使困累"
ferocious,adj. 残忍的；惊人的
hoard,"n. 贮藏物
vt. 贮藏
vi. 积聚钱财；贮藏货物"
impending,"adj. 即将发生的；迫切的；悬挂的
v. 迫近；悬空（impend的现在分词）"
in anticipation of ...,
camper,n. 露营者，野营者
huddle,"n. 拥挤；混乱；杂乱一团
vt. 把...挤在一起；使缩成一团；草率了事
vi. 蜷缩；挤作一团"
pleasurable,adj. 快乐的；心情舒畅的；令人愉快的
adept,"n. 内行；能手
adj. 熟练的；擅长…的"
improvise,"vt. 即兴创作；即兴表演；临时做；临时提供
vi. 即兴创作；即兴表演；临时凑合"
rhyme,"n. 韵律；韵脚；韵文；押韵词
vt. 使押韵；用韵诗表达；把…写作诗
vi. 押韵；作押韵诗"
be adept at ...,
indict,vt. 控告，起诉； 揭发
atrocity,n. 暴行；凶恶，残暴
padding,"n. 填料；垫料
v. 填补（pad的ing形式）"
insulate,vt. 隔离，使孤立；使绝缘，使隔热
invoke,vt. 调用；祈求；引起；恳求
amnesty,"n. 大赦，特赦
vt. 对…实行大赦"
dissident,"n. 持不同政见者，意见不同的人
adj. 持不同政见的，意见不同的"
statutory,adj. 法定的；法令的；可依法惩处的
levy,"n. 征收；征兵，征税
vt. 征收（税等）；征集（兵等）
vi. 征税；征兵"
pendulum,n. 钟摆；摇锤；摇摆不定的事态
lull,"vt. 使平静；使安静；哄骗
vi. 平息；减弱；停止
n. 间歇；暂停；暂时平静"
muster,"vt. 召集；对…进行点名；使振作
n. 集合；检阅；点名册；集合人员
vi. 召集；聚集"
courtroom,n. 法庭；审判室
uprising,"n. 起义；升起
v. 起义（uprise的ing形式）；升起
adj. 升起的"
oust,vt. 驱逐；剥夺；取代
overcrowd,"vt. 使过度拥挤；把…塞得过满
vi. 过度拥挤；塞得太满"
overpopulation,n. 人口过剩
overhaul,"vt. 分解检查，大修；追上并超过
n. 彻底检修，详细检查"
jumbo,"adj. 巨大的；特大的
n. 庞然大物；巨型喷气式飞机；体大而笨拙的人或物"
recurrent,adj. 复发的；周期性的，经常发生的
because of ...,
barge,"n. 驳船；游艇
vt. 用船运输；蛮不讲理地闯入或打扰某事物
vi. 蹒跚；闯入"
overload,"vt. 超载，超过负荷
n. 超载；负荷过多"
insurer,n. 保险公司；承保人
overpay,"vt. 多付；多给报酬
vi. 多付"
override,"vt. 推翻；不顾；践踏
n. 代理佣金"
censure,"n. 责难
vt. 责难，责备
vi. 谴责，责备"
liquidity,n. 流动性；流动资产； 偿债能力
pep,"n. 活力；锐气，劲头
vt. 激励；使充满活力，使精力充沛"
crafty,adj. 狡猾的；灵巧的
pervert,"n. 堕落者；行为反常者；性欲反常者；变态
vt. 使堕落；滥用；使反常"
pitiless,adj. 冷酷的，无情的；无同情心的
plunder,"n. 抢夺；战利品；掠夺品
vt. 掠夺；抢劫；侵吞
vi. 掠夺；盗窃"
loot,"n. 战利品；抢劫；掠夺品
vt. 抢劫，洗劫；强夺
vi. 洗劫，掠夺；抢劫"
covenant,"n. 契约，盟约；圣约；盖印合同
vt. 立约承诺
vi. 订立盟约、契约"
preclude,vt. 排除；妨碍；阻止
homestead,n. 宅地；家园；田产
livestock,n. 牲畜；家畜
fundraising,"n. 筹款；资金募集
adj. 募款的"
procure,"vt. 获得，取得；导致
vi. 取得"
erection,n. 勃起；建造；建筑物；直立
monastery,n. 修道院；僧侣
prod,"n. 刺针；刺棒；签子
vi. 刺；捅
vt. 刺，戳；刺激"
anthropologist,n. 人类学家；人类学者
bibliography,n. 参考书目；文献目录
radiate,"adj. 辐射状的，有射线的
vi. 辐射；流露；发光；从中心向各方伸展
vt. 辐射；传播；流露；发射；广播"
motherly,adj. 母亲的；慈母般的
recharge,"vt. 再充电；再袭击；再控告
n. 再袭击；再装填
vi. 再袭击"
trek,"n. 艰苦跋涉
vi. 艰苦跋涉
vt. （牛）拉（货车）；搬运"
expulsion,n. 驱逐；开除
reclaim,"n. 改造，感化；再生胶
vt. 开拓；回收再利用；改造某人，使某人悔改
vi. 抗议，喊叫"
focal,adj. 焦点的，在焦点上的；灶的，病灶的
incumbent,"n. 在职者；现任者；领圣俸者
adj. 现任的；依靠的；负有职责的"
reelect,vt. 重选
the focal point of ...,
brewery,n. 啤酒厂
refurbish,vt. 刷新；再磨光
repeal,"n. 废除；撤销
vt. 废除；撤销；废止；放弃；否定"
surveillance,n. 监督；监视
tract,n. 束；大片土地，地带；小册子
resell,vt. 转售；转卖；再卖
reset,"n. 重新设定；重新组合；重排版
vt. 重置；重新设定；重新组合
vi. 重置；清零"
blackout,n. 灯火管制；灯火熄灭；暂时的意识丧失
abortive,adj. 失败的；流产的；堕胎的
restart,"n. 重新开始；返聘
vt.  重新启动；重新开始
vi.  重新启动；重新开始"
customer service,"un. 售后服务
 客户服务；客服中心；顾客服务"
therapeutic,"n. 治疗剂；治疗学家
adj. 治疗的；治疗学的；有益于健康的"
retard,"n. 延迟；阻止
vt. 延迟；阻止；妨碍；使减速
vi. 减慢；受到阻滞"
asthma,n.  哮喘，气喘
punk,"n. 废物；小阿飞；年轻无知的人
adj. 朋客，崩客；无用的，低劣的"
reunite,"vi. 重聚；再结合；再联合
vt. 使重聚；使再结合；使再联合"
gig,"n. 旋转物；鱼叉；轻便双轮马车；现场演出；临时工作
vt. 使…起绒；用鱼叉叉；记过处分
vi. 乘轻便双轮马车；起绒；叉鱼"
militia,n. 民兵组织；自卫队；义勇军；国民军
sabotage,"n. 破坏；破坏活动；怠工
vt. 妨害；对…采取破坏行动
vi. 从事破坏活动"
arsenal,n. 兵工厂；军械库
devastating,"adj. 毁灭性的；全然的
v. 摧毁（devastate的ing形式）；毁坏"
scorch,"n. 烧焦；焦痕
vt. 烧焦；使枯萎；挖苦
vi. 烧焦；枯萎"
hectare,n. 公顷（等于1万平方米）
sear,"n. 烙印；烧焦痕迹
adj. 枯萎的；烤焦的
vt. 烤焦；使…枯萎
vi. 干枯；烧焦；凋谢"
veal,n. 小牛（等于vealer）；小牛肉
ceramic,"n. 陶瓷；陶瓷制品
adj. 陶瓷的；陶器的；制陶艺术的"
simulate,"adj. 模仿的；假装的
vt. 模仿；假装；冒充"
configuration,n. 配置；结构；外形
ion,n.  离子
stipulate,"adj. 有托叶的
vi. 规定；保证
vt. 规定；保证"
mandatory,"adj. 强制的；托管的；命令的
n. 受托者（等于mandatary）"
polytechnic,"n. 工艺学校；理工专科学校
adj. 各种工艺的；综合技术的"
subsidize,vt. 资助；给与奖助金；向…行贿
surmount,vt. 克服，越过；战胜
recourse,n. 求援，求助； 追索权；依赖；救生索
violent means,
pageant,n. 盛会；游行；虚饰；露天表演
televise,"vt. 用电视播放
vi. 电视播放"
attempted,"v. 企图（attempt的过去式）
adj. 企图的；未遂的"
topple,"vt. 推翻；颠覆；使倒塌
vi. 倾倒；倒塌；摇摇欲坠"
transact,"vt. 办理；处理
vi. 交易；谈判"
impediment,n. 口吃；妨碍；阻止
surveyor,n. 测量员；检验员
inadvertently,adv. 非故意地，无心地
trespass,"n. 罪过；非法侵入；过失；擅自进入
vi. 侵入；犯罪；打扰；冒犯"
artillery,n. 火炮；大炮；炮队；炮术
underwrite,"vt. 给...保险；承诺支付；签在...下
vi. 经营保险业"
consortium,n. 财团；联合；合伙
ventilate,vt. 使通风；给…装通风设备；宣布
innermost,adj. 内心的；最里面的，最深处的；秘密的
incense,"n. 香；奉承
vt. 向…焚香；使…发怒
vi. 焚香"
veto,"n. 否决权
vt. 否决；禁止
vi. 否决；禁止"
referendum,n. 公民投票权；外交官请示书
wager,"n. 赌注；赌博；赌物
vi. 打赌
vt. 下赌注"
poker,"n. 拨火棍；纸牌戏；（用棍）戳的人
vt. 烙制"
woo,"vt. 追求；招致；向…求爱；恳求
vi. 求爱；恳求"
electorate,n. 选民；选区
buildup,n. 增强；发展；形成；组合；树立名誉
symmetry,n. 对称（性）；整齐，匀称
porcelain,"n. 瓷；瓷器
adj. 瓷制的；精美的"
astound,vt. 使惊骇；使震惊
archaeologist,n. 考古学家
bristle,"n. 猪鬃；刚毛
vi. 发怒；竖起
vt. 使（毛发等）直立"
groundless,adj. 无理由的
contender,n. 竞争者；争夺者
egocentric,"adj.  自我中心的；利己主义的
n. 利己主义者"
construe,"vt. 分析；解释；翻译
vi. 作文法性的分析"
outright,"adv. 全部地；立刻地；率直地；一直向前；痛快地
adj. 完全的，彻底的；直率的；总共的"
defiance,n. 蔑视；挑战；反抗
mandate,"n. 授权；命令，指令；委托管理；受命进行的工作
vt. 授权；托管"
preoccupied,"v. 抢先占有；使…全神贯注（preoccupy的过去式）
adj. 全神贯注的；心事重重的；被先占的"
covet,"vt. 垂涎；觊觎
vi. 垂涎；觊觎"
deduce,vt. 推论，推断；演绎出
bacterial,adj.  细菌的
mutation,n.  突变；变化；元音变化
attributable,adj. 可归于…的；可归属的
digestive,"n. 助消化药
adj. 消化的；助消化的"
enzyme,n.  酶
delude,vt. 欺骗；哄骗；诱惑；迷惑；逃避；使失望
deficient,adj. 不足的；有缺陷的；不充分的
performing,"v. 表演（perform的ing形式）；履行
adj. 表演的；履行的"
deplore,vt. 谴责；悲悼；哀叹；对…深感遗憾
accountability,n. 有义务；有责任；可说明性
diagnose,"vt. 诊断；断定
vi. 诊断；判断"
benign,adj. 良性的；和蔼的，亲切的；吉利的
gastric,adj. 胃的；胃部的
ulcer,n.  溃疡；腐烂物；道德败坏
envisage,vt. 正视，面对；想像
autonomous,adj. 自治的；自主的；自发的
viable,adj. 可行的；能养活的；能生育的
in the future,"adv. 今后
 将来；在将来；在未来"
envision,vt. 想象；预想
duet,n. 二重奏；二重唱
alto,"n. 女低音；男声最高音；中音乐器
adj. 中音部的"
exasperate,vt. 恶化；使恼怒；激怒
erratic,"n. 漂泊无定的人；古怪的人
adj. 不稳定的；古怪的"
ferret,"n. 雪貂；白鼬；侦探
vi. 搜索，侦破
vt. 搜出，查获；驱出；用雪貂猎取"
trauma,n.  创伤（由心理创伤造成精神上的异常）；外伤
debtor,n. 债务人； 借方
fret,"n. 烦躁；焦急；磨损
vi. 烦恼；焦急；磨损
vt. 使烦恼；焦急；使磨损"
installment,n. 安装；分期付款；部分；就职
anchorage,n. 锚地；下锚；停泊税
wharf,"n. 码头；停泊处
vt. 使靠码头；为…建码头；把货卸在码头上
vi. 靠码头"
loom,"n. 织布机；若隐若现的景象
vi. 可怕地出现；朦胧地出现；隐约可见
vt. 在织布机上织"
overhear,"vt. 无意中听到；偷听
vi. 无意中听到；偷听到"
franchise,"n. 特权；公民权；经销权；管辖权
vt. 给…以特许（或特权）；赋予公民权"
safari,n. 旅行；狩猎远征；旅行队
preoccupy,vt. 迷住；使全神贯注
ratify,vt. 批准；认可
proliferation,n. 增殖，扩散；分芽繁殖
armament,n. 武器；军备
refute,vt. 反驳，驳斥；驳倒
faulty,adj. 有错误的；有缺点的
