criticize,"vi. 批评；评论；苛求
vt. 批评；评论；非难"
suicide,"n. 自杀；自杀行为；自杀者
adj. 自杀的
vt. 自杀
vi. 自杀"
major,"adj. 主要的；重要的；主修的；较多的
n.  成年人；主修科目；陆军少校
vi. 主修"
resort,"n. 凭借，手段；度假胜地；常去之地
vi. 求助，诉诸；常去；采取某手段或方法"
flag,"n. 标志；旗子
vt. 标记；插旗
vi. 标记；衰退；枯萎"
obstacle,n. 障碍，干扰；妨害物
personality,n. 个性；品格；名人
inexorable,adj. 无情的；不屈不挠的；不可阻挡的；无法改变的
chop,"n. 砍；排骨；商标；削球
(俚)丑人
vt. 剁碎；砍"
in turn,"na. 挨次
 依次；轮流；反过来"
recreation,n. 娱乐；消遣；休养
the latter,"adj. （刚提及的两者中）后者的；末尾的；后半期的；后面的
n. （刚提及的两者中）后者；（系列中）最后一位
 前者；前者……后者；两个人或物中的后者"
condensed,"adj. 浓缩的；扼要的
vt. 浓缩（condense的过去分词）"
passion,n. 激情；热情；酷爱；盛怒
govern,"vt. 管理；支配；统治；控制
vi. 居支配地位；进行统治"
anguish,"n. 痛苦；苦恼
vt. 使极度痛苦
vi. 感到极度的痛苦"
verge,"n. 边缘
vi. 濒临，接近；处在边缘"
desire,"n. 欲望；要求，心愿；性欲
vt. 想要；要求；希望得到…
vi. 渴望"
negativity,n. 否定性；消极性
instead,adv. 代替；反而；相反
detached,"v. 分离
adj. 分离的，分开的；超然的"
reminder,n. 暗示；提醒的人/物；催单
mysterious,adj. 神秘的；不可思议的；难解的
carve,"vt. 雕刻；切开；开创
vi. 切开；做雕刻工作"
statue,"n. 雕像，塑像
vt. 以雕像装饰"
operate,"vi. 运转；动手术；起作用
vt. 操作；经营；引起；对…开刀"
pattern,"n. 模式；图案；样品
vt. 模仿；以图案装饰
vi. 形成图案"
gravitate,vi. 受引力作用；被吸引
mechanism,n. 机制；原理，途径；进程；机械装置；技巧
dare,"n. 挑战；挑动
vt. 敢冒；不惧
vi. 敢；胆敢"
intuition,n. 直觉；直觉力；直觉的知识
provide,"vt. 提供；规定；准备；装备
vi. 规定；抚养；作准备"
synchronism,n. 同时发生，同步性；对照性历史年谱
likewise,adv. 同样地；也
principle,n. 原理，原则；主义，道义；本质，本义；根源，源泉
channel,"n. 通道；频道；海峡
vt. 引导，开导；形成河道"
flow,"n. 流动；流量；涨潮，泛滥
vt. 淹没，溢过
vi. 流动，涌流；川流不息；飘扬"
literally,adv. 照字面地；逐字地；不夸张地；正确地；简直
uncover,"vt. 发现；揭开；揭露
vi. 发现；揭示；揭去盖子"
disturb,"vt. 打扰；妨碍；使不安；弄乱；使恼怒
vi. 打扰；妨碍"
recent,adj. 最近的；近代的
breathe,"vi. 呼吸；低语；松口气；（风）轻拂
vt. 呼吸；使喘息；流露；低声说"
nerve,"n. 神经；勇气； 叶脉
vt. 鼓起勇气"
sinew,"n. 筋；肌腱；体力；精力
vt. 加强；使牢固"
serve,"n. 发球，轮到发球
vi. 服役，服务；适合，足够；发球；招待，侍候
vt. 招待，供应；为…服务；对…有用；可作…用"
pretend,"vt. 假装，伪装，模拟
adj. 假装的
vi. 假装，伪装，佯装"
evaluate,"vt. 评价；估价；求…的值
vi. 评价；估价"
define,vt. 定义；使明确；规定
awe,"n. 敬畏
vt. 使敬畏；使畏怯"
irritation,n. 刺激；激怒，恼怒，生气；兴奋；令人恼火的事
withstand,"vt. 抵挡；禁得起；反抗
vi. 反抗"
arrow,"n. 箭，箭头；箭状物；箭头记号
vt. 以箭头指示；箭一般地飞向"
joy,"n. 欢乐，快乐；乐趣；高兴
vi. 欣喜，欢喜
vt. 高兴，使快乐"
caution,"n. 小心，谨慎；警告，警示
vt. 警告"
instant,"n. 瞬间；立即；片刻
adj. 立即的；紧急的；紧迫的"
expand,"vt. 扩张；使膨胀；详述
vi. 发展；张开，展开"
capacity,n. 能力；容量；资格，地位；生产力
mistake,"n. 错误；误会；过失
vt. 弄错；误解
vi. 弄错；误解"
enormously,adv. 巨大地，庞大地；非常地，在极大程度上
deprive,vt. 使丧失，剥夺
accomplish,vt. 完成；实现；达到
professional,"n. 专业人员；职业运动员
adj. 专业的；职业的；职业性的"
ability,n. 能力，能耐；才能
compose,"vt. 构成；写作；使平静；排…的版
vi. 组成；作曲；排字"
worthwhile,adj. 值得做的，值得花时间的
suffering,"n. 受难；苦楚
v. 受苦；蒙受（suffer的ing形式）
adj. 受苦的；患病的"
famine,n. 饥荒；饥饿，奇缺
slaughter,"n. 屠宰，屠杀；杀戮；消灭
vt. 屠宰，屠杀；杀戮；使惨败"
bright,"n. 车头灯光
adj. 明亮的，鲜明的；聪明的；愉快的
adv. 明亮地；光明地；欢快地"
organized,"adj. 有组织的；安排有秩序的；做事有条理的
v. 组织（organize的过去分词）"
belongings,n.  财产，所有物；亲戚
designated,adj. 指定的；特指的
punctual,adj. 准时的，守时的；精确的
routine,"n.  程序；日常工作；例行公事
adj. 日常的；例行的"
pressure,"n. 压力；压迫， 压强
vt. 迫使；密封；使……增压"
patience,n. 耐性，耐心；忍耐，容忍
caterpillar,"adj. 有履带装置的
n.  毛虫；履带车"
butterfly,n. 蝴蝶；蝶泳；举止轻浮的人；追求享乐的人
diamond,"n. 钻石，金刚石；菱形；方块牌
adj. 菱形的；金刚钻的"
commute,"n. 通勤（口语）
vt. 减刑；交换；用……交换；使……变成
vi. （搭乘车、船等）通勤；代偿"
meditate,"vt. 考虑；计划；企图
vi. 冥想；沉思"
dive,"n. 潜水；跳水；俯冲；扑
vi. 潜水；跳水；俯冲；急剧下降"
practical,adj. 实际的；实用性的
gift,"n. 礼物；天赋；赠品
vt. 赋予；向…赠送"
capable,adj. 能干的，能胜任的；有才华的
catch,"n. 捕捉；捕获物；窗钩
vt. 赶上；抓住；感染；了解
vi. 赶上；抓住"
hold,"n. 控制；保留
vi. 支持；有效；持续
vt. 持有；拥有；保存；拘留；约束或控制
又作“Hold住”使用，中英混用词汇，表示轻松掌控全局。
"
scroll,"n. 卷轴，画卷；名册；卷形物
vi. 成卷形
vt. 使成卷形"
awake,"adj. 醒着的
vt. 唤醒；使觉醒；激起，唤起
vi. 觉醒，意识到；醒来；被唤起"
enthusiasm,n. 热心，热忱，热情
strife,n. 冲突；争吵；不和
zone,  地带、地区（德语）
safe,"n. 保险箱；冷藏室；纱橱
adj. 安全的；可靠的；平安的"
personal,"n. 人事消息栏；人称代名词
adj. 个人的；身体的；亲自的"
propel,vt. 推进；驱使；激励；驱策
feedback,n. 反馈；成果，资料；回复
diverse,adj. 不同的；多种多样的；变化多的
communicate,"vi. 通讯，传达；相通；交流；感染
vt. 传达；感染；显露"
project,"n. 工程；计划；事业
vt. 设计；计划；发射；放映
vi. 设计；计划；表达；投射"
terror,n. 恐怖；恐怖行动；恐怖时期；可怕的人
murder,"vt. 谋杀，凶杀
n. 谋杀，凶杀
vi. 杀人，犯杀人罪"
robbery,n. 抢劫，盗窃；抢掠
community,n. 社区； 群落；共同体；团体
fragrance,n. 香味，芬芳
enchanting,"adj. 迷人的；妩媚的
v. 使迷惑（enchant的ing形式）"
sparkle,"n. 闪耀；火花；活力
vt. 使闪耀；使发光
vi. 闪耀；发泡；活跃"
smooth,"n. 平滑部分；一块平地
adj. 顺利的；光滑的；平稳的
vt. 使光滑；消除（障碍等）；使优雅；缓和
adv. 光滑地；平稳地；流畅地
vi. 变平静；变平滑"
weird,"n. （苏格兰）命运；预言
adj. 怪异的；不可思议的；超自然的"
remark,"n. 注意；言辞
vt. 评论；觉察
vi. 谈论"
blurt,vt. 未加思索地冲口说出；突然说出
slip,"n. 滑，滑倒；片，纸片；错误；下跌；事故
abbr. 串行线路接口协议，是旧式的协议（Serial Line Interface Protocol）
adj. 滑动的；有活结的；活络的
vt. 使滑动；滑过；摆脱；塞入；闪开
vi. 滑动；滑倒；犯错；失足；减退"
predator,n.  捕食者； 食肉动物；掠夺者
tolerate,vt. 忍受；默许；宽恕
damage,"vi. 损害；损毁
vt. 损害，毁坏
n. 损害；损毁；赔偿金"
complain,"vi. 投诉；发牢骚；诉说
vt. 抱怨；控诉"
success,n. 成功，成就；胜利；大获成功的人或事物
survive,"vi. 幸存；活下来
vt. 幸存；生还；幸免于；比...活得长"
humble,"adj. 谦逊的；简陋的；（级别或地位）低下的；不大的
vt. 使谦恭；轻松打败（尤指强大的对手）；低声下气"
modest,adj. 谦虚的，谦逊的；适度的；端庄的；羞怯的
courteous,adj. 有礼貌的；谦恭的
creative,adj. 创造性的
alter,"vt. 改变，更改
vi. 改变；修改"
instrument,n. 仪器；工具；乐器；手段；器械
concentrate,"n. 浓缩，精选；浓缩液
vi. 集中；浓缩；全神贯注；聚集
vt. 集中；浓缩"
gratitude,n. 感谢（的心情）；感激
denial,n. 否认；拒绝；节制；背弃
acceptance,n. 接纳；赞同；容忍
clarity,n. 清楚，明晰；透明
initial,"n. 词首大写字母
adj. 最初的；字首的
vt. 用姓名的首字母签名"
suppress,vt. 抑制；镇压；废止
lean,"vi. 倾斜；倚靠；倾向；依赖
adj. 瘦的；贫乏的，歉收的
vt. 使倾斜
n. 瘦肉；倾斜；倾斜度"
spite,"n. 不顾；恶意；怨恨
vt. 刁难；使恼怒"
historical,adj. 历史的；史学的；基于史实的
epoch,n.  世；新纪元；新时代；时间上的一点
immediate,adj. 立即的；直接的；最接近的
realm,n. 领域，范围；王国
barrier,"n. 障碍物，屏障；界线
vt. 把…关入栅栏"
destiny,n. 命运，定数，天命
approve,"vi. 批准；赞成；满意
vt. 批准；赞成；为…提供证据"
judgment,n. 判断；裁判；判决书；辨别力
law,"n. 法律；规律；法治；法学；诉讼；司法界
vi. 起诉；控告
vt. 控告；对…起诉"
overlook,"vt. 忽略；俯瞰；远眺；检查；高耸于…之上
n. 忽视；眺望"
allowance,"n. 津贴，零用钱；允许；限额
vt. 定量供应"
ignorance,n. 无知，愚昧；不知，不懂
optimist,n. 乐观主义者；乐天派
present,"n. 现在；礼物；瞄准
adj. 现在的；出席的
vt. 提出；介绍；呈现；赠送
vi. 举枪瞄准"
mood,n. 情绪，语气；心境；气氛
reinforce,"n. 加强；加固物；加固材料
vt. 加强，加固；强化；补充
vi. 求援；得到增援；给予更多的支持"
anticipate,vt. 预期，期望；占先，抢先；提前使用
selfish,adj. 自私的；利己主义的
genuinely,adv. 真诚地；诚实地
appreciate,"vi. 增值；涨价
vt. 欣赏；感激；领会；鉴别"
complete,"adj. 完整的；完全的；彻底的
vt. 完成"
sense,"n. 感觉，功能；观念；道理；理智
vt. 感觉到；检测"
brand new,"adj. 全新的；崭新的
 新约神话；全新品；焕然一新"
memory,n. 记忆，记忆力；内存， 存储器；回忆
slave,"n. 奴隶；从动装置
vi. 苦干；拼命工作"
optimistic,adj. 乐观的；乐观主义的
audio,adj. 声音的； 音频的， 声频的
input,"n. 投入；输入电路
vt.  输入；将…输入电脑"
orient,"vt. 使适应；确定方向；使朝东
n. 东方；东方诸国
adj. 东方的
vi. 向东"
excellent,adj. 卓越的；极好的；杰出的
allot,vt. 分配；拨给；分派
priority,n. 优先；优先权； 优先次序；优先考虑的事
nurture,"vt. 养育；鼓励；培植
n. 养育；教养；营养物"
sustain,vt. 维持；支撑，承担；忍受；供养；证实
fabulous,adj. 难以置信的；传说的，寓言中的；极好的
faraway,adj. 遥远的；恍惚的
centred,"v. 集中（centre的过去分词）；把…置于中央
adj. 固定于中心的；在中心的"
interest,"n. 兴趣，爱好；利息；趣味；同行
vt. 使……感兴趣；引起……的关心；使……参与"
companion,"n. 同伴；朋友；指南；手册
vt. 陪伴"
adversity,n. 逆境；不幸；灾难；灾祸
distress,"n. 危难，不幸；贫困；悲痛
vt. 使悲痛；使贫困"
console,"n.  控制台； 操纵台
vt. 安慰；慰藉"
destination,n. 目的地，终点
cast,"n. 投掷，抛；铸件， 铸型；演员阵容；脱落物
vt. 投，抛；计算；浇铸；投射（光、影、视线等）
vi. 投，抛垂钓鱼钩；计算，把几个数字加起来"
mechanic,"n. 技工，机修工
adj. 手工的"
vitality,n. 活力，生气；生命力，生动性
hypocrisy,n. 虚伪；伪善
slyness,n. 狡猾；诡秘
glitter,"vi. 闪光；闪烁
n. 闪光；灿烂"
brilliant,adj. 灿烂的，闪耀的；杰出的；有才气的；精彩的，绝妙的
luster,"n.  光泽；光彩
vi. 有光泽；发亮
vt. 使有光泽"
alive,adj. 活着的；活泼的；有生气的
sympathize,vi. 同情，怜悯；支持
grieve,"vi. 悲痛，哀悼
vt. 使悲伤，使苦恼"
describe,vt. 描述，形容；描绘
consult,"vi. 请教；商议；当顾问
vt. 查阅；商量；向…请教"
dictate,"n. 命令；指示
vt. 命令；口述；使听写
vi. 口述；听写"
modify,"vt. 修改，修饰；更改
vi. 修改"
medium,"adj. 中间的，中等的；半生熟的
n. 方法；媒体；媒介；中间物"
subordinate,"n. 下属，下级；部属，属下
adj. 从属的；次要的
vt. 使……居下位；使……服从"
Pittsburgh,n. 匹兹堡（美国一座城市）
threshold,n. 入口；门槛；开始；极限；临界值
sweep,"n. 打扫，扫除；范围；全胜
vt. 扫除；猛拉；掸去
vi. 扫，打扫；席卷；扫视；袭击"
object,"n. 目标；物体；客体；宾语
vt. 提出…作为反对的理由
vi. 反对；拒绝"
overflow,"vi. 溢出；泛滥；充溢
n. 充满，洋溢；泛滥；超值；溢值
vt. 使溢出；使泛滥；使充溢"
congenial,adj. 意气相投的；性格相似的；适意的；一致的
tender,"n. 偿付，清偿；看管人；小船
adj. 温柔的；柔软的；脆弱的；幼稚的；难对付的
vt. 提供，偿还；使…变嫩；使…变柔软
vi. 投标；变柔软"
multitude,n. 群众；多数
disguise,"n. 伪装；假装；用作伪装的东西
vt. 掩饰；假装；隐瞒"
depict,vt. 描述；描画
disorientation,n. 迷失方向；迷惑
melancholy,"adj. 忧郁的；使人悲伤的
n. 忧郁；悲哀；愁思"
sorrow,"n. 悲伤；懊悔；伤心事
vt. 为…悲痛
vi. 懊悔；遗憾；感到悲伤"
advisable,adj. 明智的，可取的，适当的
outlook,"n. 展望；观点；景色
vt. 比……好看；用目光压倒
vi. 朝外看"
wealthy,"n. 富人
adj. 富有的；充分的；丰裕的"
stuff,"n. 东西；材料；填充物；素材资料
vt. 塞满；填塞；让吃饱
vi. 吃得过多"
contrived,adj. 人为的；做作的；不自然的
demand,"n.  需求；要求；需要
vt. 要求；需要；查询
vi. 需要；请求；查问"
dependent,"n. 依赖他人者；受赡养者
adj. 依靠的；从属的；取决于…的"
imply,vt. 意味；暗示；隐含
perfect,"n. 完成式
adj. 完美的；最好的；精通的
vt. 使完美；使熟练"
void,"n. 空虚；空间；空隙
adj. 空的；无效的；无人的
vt. 使无效；排放"
desperately,adv. 拼命地；绝望地；极度地
delude,vt. 欺骗；哄骗；诱惑；迷惑；逃避；使失望
perpetuate,"vt. 使不朽；保持
adj. 长存的"
individual,"n. 个人，个体
adj. 个人的；个别的；独特的"
accumulated,"v. 累积（accumulate的过去分词）
adj. 累积的；累计的；达到"
weariness,n. 疲倦，疲劳；厌倦
permanent,"n. 烫发（等于permanent wave）
adj. 永久的，永恒的；不变的"
wicked,adj. 邪恶的；恶劣的；不道德的；顽皮的
eternal,adj. 永恒的；不朽的
aspect,n. 方面；方向；形势；外貌
essence,n. 本质，实质；精华；香精
bear,"n. 熊
vt. 结果实，开花（正式）
vt. 忍受；承受；具有；支撑"
following,"n. 下列事物；一批追随者
v. 跟随；沿行（follow的ing形式）
adj. 下面的；其次的，接着的"
