actual,adj. 真实的，实际的；现行的，目前的
discourage,vt. 阻止；使气馁
encourage,vt. 鼓励，怂恿；激励；支持
course,"n. 科目；课程；过程；进程；道路；路线，航向；一道菜
vt. 追赶；跑过
vi. 指引航线；快跑"
discourse,"n. 论述；谈话；演讲
vt. 说出；演奏出
vi. 演说；谈论；讲述"
court,"n. 法院；球场；朝廷；奉承
vt. 招致（失败、危险等）；向…献殷勤；设法获得
vi. 求爱"
courtesy,"n. 礼貌；好意；恩惠
adj. 殷勤的；被承认的；出于礼节的"
courtyard,n. 庭院，院子；天井
escort,"n. 陪同；护航舰；护卫队；护送者
vt. 护送；陪同；为…护航"
account,"n. 账户；解释；账目，账单；理由；描述
vt. 认为；把…视为
vi. 解释；导致；报账"
accountant,n. 会计师；会计人员
discount,"n. 折扣；贴现率
vt. 打折扣；将…贴现；贬损；低估；忽视
vi. 贴现；打折扣出售商品"
counter,"n. 柜台；对立面；计数器；（某些棋盘游戏的）筹码
vi. 逆向移动，对着干；反驳
adj. 相反的
vt. 反击，还击；反向移动，对着干；反驳，回答
adv. 反方向地；背道而驰地"
counteract,vt. 抵消；中和；阻碍
counterattack,"n. 反击；反攻
vi. 反击；反攻
vt. 反击；反攻"
counterpart,n. 副本；配对物；极相似的人或物
encounter,"n. 遭遇，偶然碰见
vi. 遭遇；偶然相遇
vt. 遭遇，邂逅；遇到"
county,n. 郡，县
country,"n. 国家，国土；国民；乡下，农村；乡村；故乡
adj. 祖国的，故乡的；地方的，乡村的；国家的；粗鲁的；乡村音乐的"
countryside,n. 农村，乡下；乡下的全体居民
contrary,"n. 相反；反面
adj. 相反的；对立的
adv. 相反地"
contrast,"n. 对比；差别；对照物
vt. 使对比；使与…对照
vi. 对比；形成对照"
discover,"vi. 发现
vt. 发现；发觉"
discovery,n. 发现，发觉；被发现的事物
recover,"n. 还原至预备姿势
vt. 恢复；弥补；重新获得
vi. 恢复；胜诉；重新得球"
recovery,n. 恢复，复原；痊愈；重获
uncover,"vt. 发现；揭开；揭露
vi. 发现；揭示；揭去盖子"
over,"adv. 结束；越过；从头到尾
prep. 越过；在…之上；遍于…之上
adj. 结束的；上面的
vt. 越过"
moreover,adv. 而且；此外
govern,"vt. 管理；支配；统治；控制
vi. 居支配地位；进行统治"
government,n. 政府；政体；管辖
governor,n. 主管人员；统治者，管理者； 调节器；地方长官
sovereign,"n. 君主；独立国；最高统治者
adj. 至高无上的；有主权的；拥有最高统治权的；不折不扣的；极好的"
hover,"n. 徘徊；盘旋；犹豫
vi. 盘旋，翱翔；徘徊
vt. 孵；徘徊在…近旁"
creative,adj. 创造性的
creativity,n. 创造力；创造性
creature,n. 动物，生物；人；创造物
recreation,n. 娱乐；消遣；休养
acre,n. 土地，地产；英亩
massacre,"vt. 残杀；彻底击败
n. 大屠杀；惨败"
concrete,"n. 具体物；凝结物
adj. 混凝土的；实在的，具体的；有形的
vt. 使凝固；用混凝土修筑
vi. 凝结"
decrease,"n. 减少，减小；减少量
vt. 减少，减小
vi. 减少，减小"
increase,"n. 增加，增长；提高
vt. 增加，加大
vi. 增加，增大；繁殖"
increasingly,adv. 越来越多地；渐增地
discreet,adj. 谨慎的；小心的
discrepancy,n. 不符；矛盾；相差
cream,n. 奶油，乳脂；精华；面霜；乳酪
ice-cream,"a. 冰淇淋的, 乳白色的"
secret,"n. 秘密；秘诀；机密
adj. 秘密的；机密的"
secretary,n. 秘书；书记；部长；大臣
credential,n. 证书；凭据；国书
credit,"n. 信用，信誉； 贷款；学分；信任；声望
vt. 相信，信任；把…归给，归功于；赞颂"
incredible,adj. 难以置信的，惊人的
sacred,adj. 神的；神圣的；宗教的；庄严的
sacrifice,"n. 牺牲；祭品；供奉
vt. 牺牲；献祭；亏本出售
vi. 献祭；奉献"
crystal,"n. 结晶，晶体；水晶；水晶饰品
adj. 水晶的；透明的，清澈的"
crisis,"n. 危机；危险期；决定性时刻
adj. 危机的；用于处理危机的"
crime,"n. 罪行，犯罪；罪恶；犯罪活动
vt. 控告……违反纪律"
criminal,"n. 罪犯
adj. 刑事的；犯罪的；罪恶的"
discriminate,"vi. 区别；辨别
vt. 歧视；区别；辨别"
hypocrisy,n. 虚伪；伪善
cripple,"n. 跛子；残废
vt. 削弱；使跛；使残废
adj. 跛的；残废的"
crisp,"adj. 脆的；新鲜的；易碎的
vt. 使卷曲；使发脆
vi. 卷曲；发脆
n. 松脆物；油炸马铃薯片"
critic,n. 批评家，评论家；爱挑剔的人
critical,adj. 鉴定的； 临界的；批评的，爱挑剔的；危险的；决定性的；评论的
criticism,n. 批评；考证；苛求
criticize,"vi. 批评；评论；苛求
vt. 批评；评论；非难"
criterion,n. （批评判断的）标准；准则；规范；准据
accurate,adj. 精确的
accuracy,n.  精确度，准确性
obscure,"adj. 昏暗的，朦胧的；晦涩的，不清楚的；隐蔽的；不著名的，无名的
vt. 使…模糊不清，掩盖；隐藏；使难理解
n. 某种模糊的或不清楚的东西"
secure,"vt. 保护；弄到；招致；缚住
adj. 安全的；无虑的；有把握的；稳当的
vi. 获得安全；船抛锚；停止工作"
security,"n. 安全；保证；证券；抵押品
adj. 安全的；保安的；保密的"
curious,adj. 好奇的，有求知欲的；古怪的；爱挑剔的
curiosity,n. 好奇，好奇心；珍品，古董，古玩
current,"n. （水，气，电）流；趋势；涌流
adj. 现在的；流通的，通用的；最近的；草写的"
currency,n. 货币；通货
curricular,adj. 课程的
extra-curricular,adj. 课外的
curriculum,"n. 课程
总课程"
curb,"n. 抑制；路边；勒马绳
vt. 控制；勒住"
curve,"n. 曲线；弯曲；曲线球；曲线图表
adj. 弯曲的；曲线形的
vt. 弯；使弯曲
vi. 成曲形"
curl,"n. 卷曲；卷发；螺旋状物
vt. 使…卷曲；使卷起来
vi. 卷曲；盘绕"
curtain,"n. 幕；窗帘
vt. 遮蔽；装上门帘"
excursion,n. 偏移；远足；短程旅行；离题；游览，游览团
incur,vt. 招致，引发；蒙受
recur,vi. 复发；重现；采用；再来；循环；递归
occur,vi. 发生；出现；存在
occurrence,n. 发生；出现；事件；发现
mercury,n. 水星
because,conj. 因为
accuse,"vt. 控告，指控；谴责；归咎于
vi. 指责；控告"
excuse,"n. 借口；理由
vt. 原谅；为…申辩；给…免去
vi. 作为借口；请求宽恕；表示宽恕"
caution,"n. 小心，谨慎；警告，警示
vt. 警告"
cautious,adj. 谨慎的；十分小心的
dictation,n. 听写；口述；命令
dictionary,n. 字典；词典
addict,"n. 有瘾的人；入迷的人
vt. 使沉溺；使上瘾"
addiction,n. 上瘾，沉溺；癖嗜
contradict,"vt. 反驳；否定；与…矛盾；与…抵触
vi. 反驳；否认；发生矛盾"
contradiction,n. 矛盾；否认；反驳
dedicate,vt. 致力；献身；题献
dedication,n. 奉献；献身；赠言
indicate,vt. 表明；指出；预示；象征
indication,n. 指示，指出；迹象；象征
indicative,"n. 陈述语气；陈述语气的动词形式
adj. 象征的；指示的；表示…的"
predict,"vi. 作出预言；作预料，作预报
vt. 预报，预言；预知"
prediction,n. 预报；预言
verdict,n. 结论；裁定
doctor,"vt. 修理；篡改，伪造；为…治病；授以博士学位
n. 医生；博士
vi. 就医；行医"
doctorate,n. 博士学位；博士头衔
document,"n. 文件，公文； 文档；证件
vt. 用文件证明"
documentary,"n. 纪录片
adj. 记录的；文件的；记实的"
conduct,"n. 进行；行为；实施
vi. 导电；带领
vt. 管理；引导；表现"
conductor,n. 导体；售票员；领导者；管理人
semiconductor,n.  半导体
deduce,vt. 推论，推断；演绎出
deduct,vt. 扣除，减去；演绎
educate,"vt. 教育；培养；训练
vi. 教育；训练"
education,n. 教育；培养；教育学
induce,vt. 诱导；引起；引诱；感应
introduce,vt. 介绍；引进；提出；采用
introduction,n. 介绍；引进；采用；入门；传入
produce,"n. 农产品，产品
vt. 生产；引起；创作；生育，繁殖
vi. 生产，创作"
reproduce,"vt. 复制；再生；生殖；使…在脑海中重现
vi. 复制；繁殖"
product,n. 产品；结果； 乘积；作品
production,n. 成果；产品；生产；作品
productive,adj. 能生产的；生产的，生产性的；多产的；富有成效的
productivity,n. 生产力；生产率；生产能力
reduce,"vi. 减少；缩小；归纳为
vt. 减少；降低；使处于；把…分解"
reduction,n. 减少；下降；缩小；还原反应
domain,n. 领域；域名；产业；地产
dominate,"vt. 控制；支配；占优势；在…中占主要地位
vi. 占优势；处于支配地位"
dominant,"n. 显性
adj. 显性的；占优势的；支配的，统治的"
predominant,adj. 主要的；卓越的；支配的；有力的；有影响的
domestic,"n. 国货；佣人
adj. 国内的；家庭的；驯养的；一心只管家务的"
freedom,n. 自由，自主；直率
kingdom,n. 王国；界；领域
doom,"n. 厄运；死亡；判决；世界末日
vt. 注定；判决；使失败"
dorm,n. 宿舍（等于dormitory）
democracy,n. 民主，民主主义；民主政治
democratic,adj. 民主的；民主政治的；大众的
anecdote,n. 轶事；奇闻；秘史
condition,"n. 条件；情况；环境；身份
vt. 决定；使适应；使健康；以…为条件"
ditch,"n. 沟渠；壕沟
vt. 在…上掘沟；把…开入沟里；丢弃
vi. 开沟；掘沟"
edit,"vt. 编辑；校订
n. 编辑工作"
edition,"n. 版本
版次
集"
editor,n. 编者，编辑；社论撰写人；编辑装置
editorial,"n. 社论
adj. 编辑的；社论的"
dust,"n. 灰尘；尘埃；尘土
vt. 撒；拂去灰尘
vi. 拂去灰尘；化为粉末"
industry,n. 产业；工业；勤勉
industrial,"n. 工业股票；工业工人
adj. 工业的，产业的；从事工业的；供工业用的；来自勤劳的"
industrialize,"vt. 使工业化
vi. 实现工业化"
elementary,adj. 基本的；初级的； 元素的
electric,"n. 电；电气车辆；带电体
adj. 电的；电动的；发电的；导电的；令人震惊的"
electrical,adj. 有关电的；电气科学的
electrician,n. 电工；电气技师
electricity,n. 电力；电流；强烈的紧张情绪
electron,n. 电子
electronic,"adj. 电子的
n. 电子电路；电子器件"
telegram,"n. 电报
vt. 用电报发送
vi. 发电报"
telegraph,"n.  电报机，电报
vt. 电汇；流露出；打电报给…
vi. 打电报"
telephone,"n. （美）电话；电话机；电话耳机
vt. 打电话给…
vi. 打电话"
telescope,"n. 望远镜；缩叠式旅行袋
vi. 套叠；变短
vt. 压缩；使套叠"
equality,n. 平等；相等； 等式
adequate,adj. 充足的；适当的；胜任的
equation,n. 方程式，等式；相等； 反应式
equator,n. 赤道
equip,vt. 装备，配备
equipment,n. 设备，装备；器材
quality,"n. 质量， 品质；特性；才能
adj. 优质的；高品质的；<英俚>棒极了"
qualitative,adj. 定性的；质的，性质上的
qualify,"vi. 取得资格，有资格
vt. 限制；使具有资格；证明…合格"
qualification,n. 资格；条件；限制；赋予资格
quantity,n. 量，数量；大量；总量
quantify,"vt. 量化；为…定量；确定数量
vi. 量化；定量"
quantitative,adj. 定量的；量的，数量的
quarrel,"n. 吵架；反目；怨言；争吵的原因；方头凿
vi. 吵架；争论；挑剔"
factor,"n. 因素；要素； 因数；代理人
vt. 把…作为因素计入；代理经营；把…分解成
vi. 做代理商"
factory,n. 工厂；制造厂；代理店
satisfactory,adj. 满意的；符合要求的；赎罪的
satisfaction,n. 满意，满足；赔偿；乐事；赎罪
affect,"n. 情感；引起感情的因素
vt. 影响；感染；感动；假装
vi. 倾向；喜欢"
affection,n. 喜爱，感情；影响；感染
defect,"n. 缺点，缺陷；不足之处
vi. 变节；叛变"
deficit,n. 赤字；不足额
deficiency,n. 缺陷，缺点；缺乏；不足的数额
effect,"n. 影响；效果；作用
vt. 产生；达到目的"
effective,adj. 有效的，起作用的；实际的，实在的；给人深刻印象
efficient,adj. 有效率的；有能力的；生效的
efficiency,n. 效率；效能；功效
infect,vt. 感染，传染
infectious,adj. 传染的；传染性的；易传染的
perfect,"n. 完成式
adj. 完美的；最好的；精通的
vt. 使完美；使熟练"
perfection,n. 完善；完美
fiction,n. 小说；虚构，编造；谎言
difficult,adj. 困难的；不随和的；执拗的
difficulty,n. 困难，困境
office,n. 办公室；政府机关；官职；营业处
officer,"n. 军官，警官；公务员，政府官员；船长
vt. 指挥"
official,"adj. 官方的；正式的；公务的
n. 官员；公务员；高级职员"
suffice,"vt. 使满足；足够…用；合格
vi. 足够；有能力"
sufficient,adj. 足够的；充分的
superficial,adj. 表面的；肤浅的 ；表面文章的；外表的；（人）浅薄的
benefit,"n. 利益，好处；救济金
vt. 有益于，对…有益
vi. 受益，得益"
beneficial,adj. 有益的，有利的；可享利益的
profit,"n. 利润；利益
vt. 有益于
vi. 获利；有益"
profitable,adj. 有利可图的；赚钱的；有益的
proficiency,n. 精通，熟练
classify,vt. 分类；分等
classification,n. 分类；类别，等级
identify,vt. 确定；鉴定；识别，辨认出；使参与；把…看成一样 vi. 确定；认同；一致
identification,n. 鉴定，识别；认同；身份证明
magnify,"vt. 放大；赞美；夸大
vi. 放大；有放大能力"
magnificent,adj. 高尚的；壮丽的；华丽的；宏伟的
signify,"vt. 表示；意味；预示
vi. 有重要性；要紧；冒充内行"
significant,"n. 象征；有意义的事物
adj. 重大的；有效的；有意义的；值得注意的；意味深长的"
significance,n. 意义；重要性；意思
fame,"n. 名声，名望；传闻，传说
vt. 使闻名，使有名望"
famous,adj. 著名的；极好的，非常令人满意的
family,"n. 家庭；亲属；家族；子女；科；语族；族
adj. 家庭的；家族的；适合于全家的"
familiar,"n. 常客；密友
adj. 熟悉的；常见的；亲近的"
famine,n. 饥荒；饥饿，奇缺
finding,"n. 发现；裁决；发现物
v. 找到；感到（find的ing形式）；遇到"
confident,adj. 自信的；确信的
confidential,adj. 机密的；表示信任的；获信任的
confidence,"n. 信心；信任；秘密
adj. （美）诈骗的；骗得信任的"
found,"v. 找到（find的过去分词）
vt. 创立，建立；创办"
foundation,n. 基础；地基；基金会；根据；创立
fountain,n. 喷泉，泉水；源泉
fund,"n. 基金；资金；存款
vt. 投资；资助"
fundamental,"n. 基本原理；基本原则
adj. 基本的，根本的"
refund,"n. 退款；偿还，偿还额
vt. 退还；偿还；付还
vi. 退还；偿还，归还"
function,"n. 功能； 函数；职责；盛大的集会
vi. 运行；活动；行使职责"
affiliate,"n. 联号；隶属的机构等
vt. 使附属；接纳；使紧密联系
vi. 参加，加入；发生联系"
fulfill,vt. 履行；实现；满足；使结束（等于fulfil）
fulfillment,n. 履行；实行
filter,"n. 滤波器； 过滤器；筛选；滤光器
vt. 过滤；渗透；用过滤法除去
vi. 滤过；渗入；慢慢传开"
file,"n. 文件；档案；文件夹；锉刀
vt. 提出；锉；琢磨；把…归档
vi. 列队行进；用锉刀锉"
profile,"n. 侧面；轮廓；外形；剖面；简况
vt. 描…的轮廓；扼要描述
vi. 给出轮廓"
film,"n. 电影；薄膜；胶卷；轻烟
vt. 在…上覆以薄膜；把…拍成电影
vi. 摄制电影；生薄膜；变得朦胧"
full,"n. 全部；完整
adj. 完全的，完整的；满的，充满的；丰富的；完美的；丰满的；详尽的
vt. 把衣服缝得宽大
adv. 十分，非常；完全地；整整"
