looter,n. 抢劫者
crawl,"n. 爬行；养鱼池；匍匐而行
vt. 爬行；缓慢地行进
vi. 爬行；匍匐行进"
hypnotic,"n. 安眠药；催眠状态的人
adj. 催眠的，催眠术的；易于催眠的"
bulk,"n. 体积，容量；大多数，大部分；大块
vt. 使扩大，使形成大量；使显得重要"
stocky,adj. 矮壮的；健壮结实的
saunter,"n. 漫步；闲逛
vi. 闲逛；漫步"
reprisal,n. 报复（行为）；报复性劫掠
twin,"n. 双胞胎中一人
adj. 双胞胎的
vt. 使成对
vi. 成对；生双胞胎"
plunk,"n. 使劲投掷；一美元
vt. 用力丢下；使发扑通声
adv. 恰好；发出扑通声
vi. 砰砰作响；沉重地坠落"
crystallize,"vt. 使结晶；明确；使具体化；做成蜜饯
vi. 结晶，形成结晶；明确；具体化"
jogging,"n. 慢跑
v. 慢跑（jog的ing形式）；轻推；唤起"
strident,adj. 刺耳的；尖锐的；吱吱尖叫的；轧轧作响的
pop,abbr. 卖点广告（Point of Purchase）
harmonize,"vt. 使和谐；使一致；以和声唱
vi. 协调；和谐；以和声唱"
aggregate,"n. 合计；集合体；总计
adj. 聚合的；集合的；合计的
vt. 集合；聚集；合计
vi. 集合；聚集；合计"
blocked,"v. 阻塞（block的过去分词）
adj. 堵塞的；被封锁的"
slash,"n. 削减；斜线；猛砍；砍痕；沼泽低地
vt. 猛砍；鞭打；严厉批评；大幅度裁减或削减
vi. 猛砍；严厉批评"
daughter-in-law,n. 儿媳妇
small-business,小型企业，小本生意
anti,"n. 反对者，反对论者
adj. 反对的"
industrialist,n. 实业家；工业家；产业工人
measuring,"n. 测量；衡量
v. 测量（measure的ing形式）
adj. 测量用的"
severance,n. 分离；断绝；隔离；区别；遣散；离职补偿金
exhausting,"v. 耗尽；使…精疲力竭；排出（exhaust的ing形式）
adj. 使筋疲力尽的；使耗尽的"
mannequin,n. 人体模型；服装模特儿
arbiter,n.  仲裁者；裁决人
cultivar,n. 培育植物；栽培变种
invincible,adj. 无敌的；不能征服的
rip,"n. 裂口，裂缝
vi. 裂开，被撕裂
vt. 撕；锯"
corollary,n. 推论；必然的结果
adobe,n. 土砖，砖坯
zealot,n. 狂热者；犹太教狂热信徒
semen,n. 精液；精子
Cambodian,
ember,n. 灰烬，余烬
putter,"n. 推棒；置放者；新进的矿工
vt. 混过
vi. 闲荡；行为懒散（过去式puttered，过去分词puttered，现在分词puttering，第三人称单数putters，名词putterer）"
ebb,"n. 衰退；退潮；衰落
vi. 衰退；减少；衰落；潮退"
violet,"n. 紫罗兰；堇菜；羞怯的人
adj. 紫色的；紫罗兰色的"
ascending,"adj. 上升的
v. 上升；获得（ascend的ing形式）；追溯"
shroud,"n. 寿衣；覆盖物；船的横桅索； 护罩
vt. 覆盖；包以尸衣"
fallacy,n. 谬论，谬误
three-way,adj. 三向的；有三人参加的
rubbish,"n. 垃圾，废物；废话
adj. 毫无价值的"
shale,n.  页岩；泥板岩
oblique,"adj. 斜的；不光明正大的
n. 倾斜物
vi. 倾斜"
jingle,"n. 叮当声；节拍十分规则的简单诗歌
v. （使）叮当作响；具有简单而又引人注意的韵律"
forlorn,adj. 被遗弃的；绝望的；孤独的
eatery,n. 简便饮食店；小饭馆
selfishness,n. 自私自利；自我中心；任性
exonerate,vt. 使免罪
rattlesnake,n.  响尾蛇
radish,n. 萝卜，小萝卜
nectar,n.  花蜜；甘露；神酒；任何美味的饮料
disappearing,v. 消失（disappear的ing形式）
non-western,
thirty-four,num. 三十四
dialysis,n.  透析； 渗析
shyly,adv. 害羞地；羞怯地；胆怯地；小心地
dismissive,adj. 表示轻视的；解雇的
bayonet,"n. 刺刀；卡销
vt. 用刺刀刺
vi. 用刺刀；劈刺"
resolute,adj. 坚决的；果断的
amnesia,n. 健忘症， 记忆缺失
noble,"adj. 高尚的；贵族的；惰性的；宏伟的
n. 贵族
vt. 抓住；逮捕"
poplar,n. 白杨；白杨木
celibacy,n. 独身
unremarkable,adj. 平凡的；不显著的；不值得注意的
blistering,"n.  起泡；发疱
adj. 猛烈的；极热的，极快的
v. 起水疱；起气泡；使受暴晒（blister的ing形式）"
toaster,n. 烤面包器，烤箱；祝酒人；烤面包的人
frosted,"adj. 被霜覆盖的；冻伤的；冷淡的；无光泽的
v. 下霜"
school-based,校本
revolutionary,"n. 革命者
adj. 革命的；旋转的；大变革的"
asymmetry,n. 不对称
wallow,"n. 打滚；堕落；泥坑
vi. 打滚；沉迷；颠簸"
stallion,n. 种马；成年公马
steely,adj. 似钢的，钢铁般的；钢制的；严格的
prudence,n. 审慎
video,"n.  视频；录像，录像机；电视
adj. 视频的；录像的；电视的
v. 录制"
unfriendly,"adj. 不友好的；不利的
adv. 不友善地"
jalapeno,n. 墨西哥胡椒
flattened,"adj. 没精打采的；垂头丧气的
v. 平整；打倒（flatten的过去分词）"
real,"n. 现实；实数
adj. 实际的；真实的；实在的
adv. 真正地；确实地"
respectability,n. 体面；可尊敬；有社会地位
reflected,"v. 反射；思考（reflect的过去式和过去分词）
adj. 反射的；得自他人的"
drapery,n. 布料；帏帐；打褶的帐幔
incinerator,n.  焚化炉，焚尸炉；焚烧装置
uh-oh,int. 噢喔（表示遇到难题或关注）
cheat,"n. 欺骗，作弊；骗子
vt. 欺骗；骗取
vi. 欺骗；作弊"
outpace,vt. 赶过；超过…速度
vacation,"n. 假期；（房屋）搬出
vi. 休假，度假"
interchangeable,adj. 可互换的；可交换的；可交替的
aspen,"n. 山杨
adj. 山杨的；类似白杨的；颤抖的"
overload,"vt. 超载，超过负荷
n. 超载；负荷过多"
traumatize,vt. 使……受损伤；使……受精神创伤
sonnet,n. 十四行诗；商籁诗
cameo,n. （影视剧中的）配角；刻有浮雕的宝石或贝壳；小品文
excluding,"prep. 将……排除在外；不包括……
v. 排除；除外；拒绝（exclude的ing形式）"
cobblestone,n. 鹅卵石；圆石
potted,"adj. 盆栽的；罐装的；密封的；喝醉的
v. 把…装罐；装在盆中（pot的过去式和过去分词）"
high-priced,adj. 高价的；昂贵的
rampage,"n. 暴怒；暴跳；乱闹
vi. 狂暴；乱闹；发怒"
impotence,n.  阳萎；虚弱；无效（等于impotency）
scamper,"n. 蹦跳；奔跑
vi. 蹦蹦跳跳；奔跑，惊惶奔跑"
slalom,n. 障碍滑雪；障碍滑雪赛
tranquility,n. 宁静；平静
first-ever,adj. 第一例；前所未有
dingy,adj. 昏暗的；肮脏的
fray,"n. 争论；打架；磨损处
vt. 使磨损；变得令人紧张、急躁
vi. 被磨损"
gaudy,"n. 盛大宴会
adj. 华而不实的；俗丽的"
condemned,adj. 已被定罪的；被责难的
vanguard,n. 先锋；前锋科学卫星
two-bedroom,"adj. 双卧室的
n. 双卧室"
enchanted,"adj. 被施魔法的
v. 使着魔（enchant的过去式）"
hemp,"n. 大麻；麻类植物；大麻烟卷
adj. 大麻类植物的"
furrow,"n. 皱纹；犁沟；车辙
vt. 犁；耕；弄绉
vi. 犁田；开沟；犁出浪迹"
hummingbird,n. 蜂鸟
ovary,n.  子房； 卵巢
eradication,n. 消灭，扑灭；根除
petrified,"adj. 惊呆的；目瞪口呆的
v. 使石化；变僵硬；发呆（petrify的过去分词）"
waving,"n. 电流舞；波浪舞
v. 波动；飘扬（wave的ing形式）
adj. 波浪状的"
bode,"vt. 预示；为…的兆头
v. 停留；继续；遭到（bide的过去式）
vi. 预示"
submerged,"adj. 水下的，在水中的
v. 潜入水中（submerge的过去分词）；使陷入"
nomadic,adj. 游牧的；流浪的；游动的
exasperation,n. 恼怒；恶化；惹人恼怒的事
secrete,vt. 藏匿；私下侵吞；分泌
rebuttal,n. 反驳；辩驳；反证
non-native,"adj. 非本地；非原生
n. 外乡人"
fixate,"vt. 注视…；使固定
vi. 注视；固定下来"
hustler,n. 催促者；妓女；骗子
flunk,"n. 不及格；失败
vt. 使…不及格
vi. 失败；放弃；考试不及格"
drab,"n. 浅褐色；无生气；邋遢；小额
adj. 单调的；土褐色的
vt. 使无生气
vi. 嫖妓"
well-defined,adj. 定义明确的；界限清楚的
fleeing,"vt. 逃离（flee的ing形式）
vi. 突然消失（flee的ing形式）"
enriched,"v. 使丰富；充实；浓缩（enrich的过去分词）
adj. 浓缩的；强化的"
denigrate,vt. 诋毁；使变黑；玷污
pained,"adj. 悲痛的；受痛苦的
v. 使…痛苦（pain的过去式）"
salespeople,n. 推销员； 售货员；店员
patriarchy,n. 父权制；家长统治；父系社会
philosophically,adv. 哲学上；贤明地
more,"adv. 更多；此外；更大程度地
adj. 更多的；附加的
pron. 更多的数量
n. 更多"
stuffy,adj. 闷热的；古板的；不通气的
wrest,"n. 扭，拧
vt. 用力拧；抢夺；歪曲"
loafer,n. 乐福鞋；懒汉鞋
gripping,"adj. 扣人心弦的；引人注意的；令人全神贯注的
v. 扣人心弦（grip的ing形式）；握紧"
hiatus,n. 裂缝，空隙；脱漏部分
misstep,"n. 失足；过失；踏错；失策
vi. 失足；走上歧途"
chug,"n. （美）轧轧声
vi. 发出轧轧声；发出嘎嚓声；发出轧轧声前进"
restitution,n. 恢复；赔偿；归还
metaphysics,n. 玄学，形而上学
crackle,"n. 裂纹；龟裂；爆裂声
vt. 使发爆裂声；使产生碎裂花纹
vi. 发劈啪声，发出细碎的爆裂声；表面形成碎裂花纹"
self-serving,adj. 自私自利的，自私的
calming,"n. 镇定，平静
adj. 平静的
v. 平静下来（calm的ing形式）"
genitals,n. 生殖器；外阴部
whittle,"n. 屠刀
vi. 削；削木头；弄坏身体
vt. 削；削减；切；削弱"
cleanliness,n. 清洁
tint,"n. 色彩；浅色
vt. 染（发）；给…着色"
befit,vt. 适合于；为…该做的；对…适当
dark-haired,adj. 黑头发的
remission,n. 缓解；宽恕；豁免
diversified,"adj. 多样化的；各种的
v. 使…多样化（diversify的过去分词）"
payer,n. 付款人；支付者
zoom,"vi. 嗡嗡作响; 急速上升
n. 嗡嗡声; 隆隆声; （车辆等）疾驰的声音; 变焦
vt. 使急速上升; 使猛增"
maniac,"n. 疯子，躁狂者
adj. 发狂的；狂热的；癫狂的"
ontological,adj. 本体论的；存在论的
antithesis,n. 对立面；对照；对仗
undulating,"adj. 波状的；波浪起伏的
v. 使波动（undulate的ing形式）；使成波浪形"
ouch,"n. 扣环
int. 哎哟（突然疼痛时发出的声音）"
suede,"n. 小山羊皮
adj. 软羔皮制的；仿麂皮织物制的
vt. 使织物起绒面
vi. 起绒面"
recitation,n. 背诵；朗诵；详述；背诵的诗
euphemism,n. 委婉语；委婉说法
justified,"adj. 有正当理由的；合乎情理的；事出有因的
v. 调整（justify的过去分词）；证明…正当"
dismount,"n. 下马；下车
vt. 下车；使下马；使掉下
vi. 下马；下车"
stipend,n. 奖学金；固定薪金；定期津贴；养老金
polygraph,n. 测谎器；复写器；多种波动描记器
spoiled,"adj. 被宠坏的
v. 宠坏；变质（spoil的过去式和过去分词）；损坏"
enumerate,vt. 列举；枚举；计算
ridiculously,adv. 可笑地；荒谬地
peacetime,"n. 平时；和平时期
adj. 平时的；和平时期的"
mid-size,adj. 中型的；中等大小的
Band-Aid,
runaway,"n. 逃跑；逃走的人
adj. 逃亡的；逃走的"
refurbish,vt. 刷新；再磨光
annual,"n. 年刊，年鉴；一年生植物
adj. 年度的；每年的"
masterful,adj. 专横的，傲慢的；主人派头的；熟练的
practiced,adj. 熟练的；有经验的；老练的（等于practised）
lattice,"n.  晶格；格子；格架
vt. 使成格子状"
ticking,n. 坚质条纹棉布或亚麻布；（指钟表发出的）滴答响声
civil-military, 军民融合
truffle,n.  松露；块菌；松露巧克力糖
weld,"n. 焊接；焊接点
vt. 焊接；使结合；使成整体
vi. 焊牢"
gatekeeper,n. 看门人
mecca,
crippled,"v. 使成跛子；使受伤致残（cripple的过去分词形式）
adj. 残废的，跛腿的"
scanning,"n. 扫描； 搜索，观测；扫掠
v. 扫描（scan的现在分词）；浏览
adj. 扫描的；观测的；搜索的；扫掠的"
urinate,vi. 小便，撒尿
acquired,"v. 取得；捕获（acquire的过去分词）
adj.  后天的；已获得的；已成习惯的"
tutor,"n. 导师；家庭教师；助教
vt. 辅导；约束
vi. 当家庭教师；（美）在家庭教师指导下学习"
elated,"v. 使兴奋（elate的过去式和过去分词）
adj. 兴高采烈的；得意洋洋的"
null,"adj. 无效的，无价值的；等于零的
n. 零， 空"
thoroughfare,n. 大道，通路
errant,adj. 不定的；周游的；错误的；偏离正路的
spectacularly,adv. 壮观地；引人注目地
laundering,"n. 洗烫
v. 洗涤；洗黑钱（launder的ing形式）"
far-fetched,adj. 牵强附会的
ever-changing,adj. 千变万化的；常变的
concluding,adj. 结束的；最后的
quarter,"num. 四分之一
n. 四分之一；地区；季度；一刻钟；两角五分；节
vt. 将…四等分；供某人住宿
vi. 住宿；驻扎"
stub,"n. 存根；烟蒂；树桩；断株
vt. 踩熄；连根拔除"
left-handed,adj. 左撇的；用左手的；笨拙的
shattering,"n. 破碎；震裂；脱落现象；粉碎理论
v. 打碎；削弱；使震惊（shatter的ing形式）
adj. 破碎的；令人震惊的；令人极度疲劳的"
compliant,adj. 顺从的；服从的；应允的
thumbnail,"n. 拇指指甲；极小的东西；短文
adj. 极小的，极短的"
aggressiveness,n. 攻击性；进取精神；霸气
sponsored,"v. 赞助（sponsor的过去分词）；发起
adj. 赞助的；发起的"
warped,"adj. 弯曲的；反常的
v. 弄歪（warp的过去式和过去分词）"
presenter,n. 提出者；推荐者；赠送者；任命者；主持人
premier,"n. 总理，首相
adj. 第一的；最初的"
tantamount,adj. 同等的；相当于…的
blight,"n. 枯萎病；荒芜
vi. 枯萎
vt. 破坏；使…枯萎"
customized,"n. 自定义；客制化；自定义级别
v. 定制；按特别订货生产（customize的过去式和过去分词）
adj. 定制的；用户化的"
actuality,n. 现状；现实；事实
redhead,n. 红色头发的人
contentment,n. 满足；满意
trope,n. 比喻；修辞；转义
x-ray,"n. 射线；射线照片
adj. X光的；与X射线有关的
vt. 用X光线检查
vi. 使用X光"
manicured,"adj. 整修的；修剪整齐的
v. 修剪（manicure的过去式和过去分词）"
boating,"n. 划船
v. 划船（boat的ing形式）
adj. 划船的"
braid,"n. 辫子；穗带；发辫
vt. 编织"
omelet,"n. 煎蛋卷, 煎蛋饼, 炒蛋"
effortless,adj. 容易的；不费力气的
paleontologist,n. 古生物学者
whack,"n. 重击；尝试；份儿；机会
vt. 重打；猛击；击败；削减
vi. 重击"
bicker,"n. 吵嘴；口角；（水的）潺潺声
vi. 闪动；斗嘴；潺潺而流"
overflow,"vi. 溢出；泛滥；充溢
n. 充满，洋溢；泛滥；超值；溢值
vt. 使溢出；使泛滥；使充溢"
tenderly,adv. 温和地；体贴地；柔和地
bemoan,"vt. 惋惜；为…恸哭
vi. 叹息"
out-of-state,州外学生
clique,"n. 派系；阀；私党；小圈子
vi. 结党"
pedophile,n. 恋童癖者
adversarial,adj. 对抗的；对手的，敌手的
cluttered,"n. 杂乱，混乱
vt. 使凌乱；胡乱地填满"
lingerie,n. 女用贴身内衣裤
spinner,n. 纺纱机；纺纱工人；旋床工人；旋式诱饵
savory,"n. 开胃菜；香薄荷
adj. 可口的；风味极佳的；味美的"
moisten,"vt. 弄湿；使…湿润
vi. 潮湿；变潮湿"
slant,"n. 倾斜；观点；偏见
vi. 倾斜；有倾向
vt. 使倾斜；使倾向于
adj. 倾斜的；有偏见的"
carnivore,n.  食肉动物；食虫植物
bonnet,"n.  阀盖；软帽
vt. 给…装上罩；给…戴上帽子"
piston,n. 活塞
palsy,"n. 麻痹，麻痹状态；中风
vt. 麻痹；使瘫痪"
meatball,n. 肉丸子；笨蛋；乏味的人；“肉丸旗”（指日本国旗）
lukewarm,adj. 冷淡的；微温的；不够热心的
barbaric,adj. 野蛮的，粗野的；原始的
obsess,vt. 迷住，缠住；使…着迷；使…困扰
racetrack,n. 跑道；赛马场
leaf,"n. 叶子；（书籍等的）一张；扇页
vi. 生叶；翻书页
vt. 翻…的页，匆匆翻阅"
wiper,n. 擦拭之物； 弧刷；滑动片；擦拭者；手帕
perk,"n. 小费；额外收入
vt. 使振作；打扮；竖起
vi. 振作；昂首"
paprika,"n. 辣椒粉；红辣椒
adj. 用红辣椒烹制的"
marshmallow,n. 棉花糖；蜀葵糖剂；药蜀葵
offbeat,"adj. 离奇的；标新立异的；弱拍的
n. 弱拍"
valued,adj. 重要的；宝贵的；贵重的；经估价的
lurid,adj. 可怕的，耸人听闻的；火烧似的；苍白的；血红的；华丽而庸俗的
salvage,"n. 打捞；海上救助；抢救财货；救难的奖金
vt. 抢救；海上救助"
disinterested,"adj. 无私的；公正的；冷漠的；廉洁的
v. 使不再有利害关系；使无兴趣（disinterest的过去分词）"
