the,"art. 这；那
adv. 更加（用于比较级，最高级前）"
face,"n. 脸；表面；面子；面容；外观；威信
vi. 向；朝
vt. 面对；面向；承认；抹盖"
special,"n. 特使，特派人员；特刊；特色菜；专车；特价商品
adj. 特别的；专门的，专用的"
street,"n. 街道
adj. 街道的"
improve,"vt. 改善，增进；提高…的价值
vi. 增加；变得更好"
suggest,vt. 提议，建议；启发；使人想起；显示；暗示
project,"n. 工程；计划；事业
vt. 设计；计划；发射；放映
vi. 设计；计划；表达；投射"
today,"n. 今天；现今
adv. 今天；现今"
restaurant,n. 餐馆； 饭店
buy,"n. 购买，买卖；所购的物品
vi. 买，采购
vt. 购买；获得；贿赂"
right,"n. 正确；右边；正义
adj. 正确的；直接的；右方的
vt. 纠正
adv. 正确地；恰当地；彻底地
vi. 复正；恢复平稳"
hotel,"n. 旅馆，饭店；客栈
vt. 使…在饭店下榻
vi. 进行旅馆式办公"
cause,"n. 原因；事业；目标
vt. 引起；使遭受"
support,"n. 支持，维持；支援，供养；支持者，支撑物
vt. 支持，支撑，支援；扶持，帮助；赡养，供养"
allow,"vi. 容许；考虑
vt. 允许；给予；认可"
top,"n. 顶部，顶端；上部；首席；陀螺
adj. 最高的，顶上的；头等的
vt. 超越，超过；给…加盖；达到…的顶端
vi. 高出，超越；结束；达到顶点"
watch,"n. 手表；监视；守护；值班人
vt. 观察；注视；看守；警戒
vi. 观看，注视；守侯，看守"
power,"n. 力量，能力；电力，功率；政权，势力； 幂
adj. 借影响有权势人物以操纵权力的
vt. 激励；供以动力；使…有力量
vi. 快速前进"
brain,"n. 头脑，智力；脑袋
vt. 猛击…的头部"
garden,"n. 花园；菜园
vt. 栽培花木
vi. 从事园艺；在园中种植"
hand,"n. 手，手艺；帮助；指针；插手
vt. 传递，交给；支持；搀扶"
control,"n. 控制；管理；抑制；操纵装置
vt. 控制；管理；抑制"
close,"n. 结束
adj. 紧密的；亲密的；亲近的
vt. 关；结束；使靠近
vi. 关；结束；关闭
adv. 紧密地"
result,"n. 结果；成绩；答案；比赛结果
vi. 结果；导致；产生"
remember,"vi. 记得，记起
vt. 记得；牢记；纪念；代…问好"
risk,"n. 风险；危险；冒险
vt. 冒…的危险"
skill,n. 技能，技巧；本领，技术
purpose,"n. 目的；用途；意志
vt. 决心；企图；打算"
believe,"vi. 信任；料想；笃信宗教
vt. 相信；认为；信任"
kind,"n. 种类；性质
adj. 和蔼的；宽容的；令人感激的"
kind,"n. 种类；性质
adj. 和蔼的；宽容的；令人感激的"
office,n. 办公室；政府机关；官职；营业处
far,"n. 远方
adj. 远的；久远的
adv. 很；遥远地；久远地；到很远的距离；到很深的程度"
always,adv. 永远，一直；总是；常常
enough,"n. 很多；充足
adj. 充足的
adv. 足够地，充足地
int. 够了！"
require,vt. 需要；要求；命令
exercise,"n. 运动；练习；运用；操练；礼拜；典礼
vt. 锻炼；练习；使用；使忙碌；使惊恐
vi. 运动；练习"
trip,"n. 旅行；绊倒；差错
vt. 绊倒；使犯错
vi. 绊倒；远足；犯错误；轻快地走"
summer,"n. 夏季；全盛时期
adj. 夏季的
vi. 避暑；过夏天"
design,"n. 设计；图案
vt. 设计；计划；构思
vi. 设计"
relationship,n. 关系；关联
history,n. 历史，历史学；历史记录；来历
let,"vt. 允许，让；出租；假设；妨碍
vi. 出租；被承包
n. 障碍；出租屋"
order,"n. 命令；顺序；规则； 定单
vt. 命令；整理；定购
vi. 命令；定货"
program,"n. 程序；计划；大纲
vt. 用程序指令；为…制订计划；为…安排节目
vi. 编程序；安排节目；设计电脑程式"
researcher,n. 研究员
means,"n. 手段；方法；财产
v. 意思是；打算（mean的第三人称单数） "
Mr.,n. 先生
quickly,adv. 迅速地；很快地
ago,"adj. 以前的；过去的
adv. 以前，以往"
here,"n. 这里
adv. 在这里；此时
int. 嘿！；喂！"
return,"vi. 返回；报答
adj. 报答的；回程的；返回的
vt. 返回；报答
n. 返回；归还；回球"
fire,"n. 火；火灾；炮火；炉火；热情；激情；磨难
vt. 点燃；解雇；开除；使发光；烧制；激动；放枪
vi. 着火；射击；开枪；激动；烧火"
online,"adj. 联机的；在线的
adv. 在线地"
p.m.,
pm,
P.M.,abbr. 下午（post meridiem）
PM,"abbr. （拉）下午（Post Meridiem，等于afternoon）；调相（Phase Modulation）
abbr. 产品经理（Product Manager）"
activity,n. 活动；行动；活跃
tree,"n. 树；木料；树状物
vt. 把...赶上树
vi. 爬上树；逃上树"
reduce,"vi. 减少；缩小；归纳为
vt. 减少；降低；使处于；把…分解"
drink,"n. 酒，饮料；喝酒
vt. 喝，饮；吸收；举杯庆贺
vi. 喝酒；饮水；干杯"
science,n. 科学；技术；学科；理科
reason,"n. 理由；理性；动机
vt. 说服；推论；辩论
vi. 推论；劝说"
likely,"adj. 很可能的；合适的；有希望的
adv. 很可能；或许"
success,n. 成功，成就；胜利；大获成功的人或事物
museum,n. 博物馆
time,"n. 时间；时代；次数；节拍；倍数
adj. 定时的；定期的；分期的
vt. 计时；测定…的时间；安排…的速度"
again,"adv. 又，此外；再一次；再说；增加
n. （英、保）阿盖恩"
together,"adj. 新潮的；情绪稳定的，做事有效率的
adv. 一起；同时；相互；连续地；总共"
answer,"n. 回答；答案；答辩
vt. 回答；符合
vi. 回答；符合"
really,adv. 实际上，事实上；真正地，真实地；真的吗？（表语气）
everyone,"n. 每个人
pron. 每个人；人人"
morning,n. 早晨；黎明；初期
station,"n. 车站；驻地；地位；身份
vt. 配置；安置；驻扎"
goal,"n. 目标；球门，得分数；终点
vi. 攻门，射门得分"
rule,"n. 统治；规则
vt. 统治；规定；管理；裁决；支配
vi. 统治；管辖；裁定"
hold,"n. 控制；保留
vi. 支持；有效；持续
vt. 持有；拥有；保存；拘留；约束或控制
又作“Hold住”使用，中英混用词汇，表示轻松掌控全局。
"
body,"n. 身体；主体；大量；团体；主要部分
vt. 赋以形体"
include,vt. 包含，包括
name,"n. 名称，名字；姓名；名誉
vt. 命名，任命；指定；称呼；提名；叫出
adj. 姓名的；据以取名的"
both,"conj. 既…且…
adj. 两个的；两者的
pron. 双方都；两者都
adv. 并；又；两者皆"
explain,v. 说明；解释
form,"n. 形式，形状；形态，外形；方式；表格
vt. 构成，组成；排列，组织；产生，塑造
vi. 形成，构成；排列"
matter,"n. 物质；事件
vi. 有关系；要紧"
event,n. 事件，大事；项目；结果
cook,"n. 厨师，厨子
vt. 烹调，煮
vi. 烹调，做菜"
university,n. 大学；综合性大学；大学校舍
heart,"n. 心脏；感情；勇气；心形；要点
vt. 鼓励；铭记
vi. 结心"
teach,"vt. 教；教授；教导
vi. 教授；讲授；当老师"
themselves,pron. 他们自己；他们亲自
opening,"n. 开始；机会；通路；空缺的职位
adj. 开始的
v. 开放（open的ing形式）；打开；公开"
sure,"adj. 确信的；可靠的；必定的
adv. 当然；的确"
road,"n. 公路，马路；道路；手段
adj. （美）巡回的
vt. （狗）沿臭迹追逐（猎物）"
air,"n. 空气，大气；天空；样子；曲调
vt. 使通风，晾干；夸耀
vi. 通风"
able,adj. 能； 有能力的；能干的
raise,"n. 高地；上升；加薪
vt. 提高；筹集；养育；升起
vi. 上升"
underline,"n. 下划线；下期节目预告
vt. 强调；在…下面划线；预告"
health,n. 健康；卫生；保健；兴旺
expect,"vi. 期待；预期
vt. 期望；指望；认为；预料"
encourage,vt. 鼓励，怂恿；激励；支持
add,"n. 加法，加法运算
vi. 加；增加；加起来；做加法
vt. 增加，添加；补充说；计算…总和"
chance,"n. 机会，际遇；运气，侥幸；可能性
vt. 偶然发生；冒……的险
vi. 碰巧；偶然被发现"
paper,"n. 纸；论文；文件；报纸
adj. 纸做的
vt. 用纸糊；用纸包装
vi. 贴糊墙纸；发交通违章传票"
under,"prep. 低于，少于；在...之下
adj. 下面的；从属的
adv. 在下面；在下方"
type,"n. 类型，品种；模范；样式
vt. 打字；测定（血等）类型
vi. 打字"
yourself,pron. 你自己
animal,"n. 动物
动物的"
real,"n. 现实；实数
adj. 实际的；真实的；实在的
adv. 真正地；确实地"
medium,"adj. 中间的，中等的；半生熟的
n. 方法；媒体；媒介；中间物"
myself,pron. 我自己；我亲自；我的正常的健康状况和正常情绪
media,n. 媒体；媒质（medium的复数）；血管中层；浊塞音；中脉
dream,"n. 梦想，愿望；梦
adj. 梦的；理想的；不切实际的
vt. 梦想；做梦；想到
vi. 梦想；做梦，梦见；想到"
education,n. 教育；培养；教育学
energy,n.  能量；精力；活力；精神
bird,"n. 鸟；家伙；羽毛球
vt. 向…喝倒彩；起哄
vi. 猎鸟；观察研究野鸟"
park,"n. 公园； 停车场
vt. 停放；放置；寄存
vi. 停放车辆"
park,"n. 公园； 停车场
vt. 停放；放置；寄存
vi. 停放车辆"
centre,"n. 中心
adj. 中央的
vt. 集中；将…放在中央
vi. 以…为中心"
increase,"n. 增加，增长；提高
vt. 增加，加大
vi. 增加，增大；繁殖"
development,n. 发展；开发；发育；住宅小区（专指由同一开发商开发的）； 显影
baby,"n. 婴儿，婴孩；孩子气的人
adj. 婴儿的；幼小的
vt. 纵容，娇纵；把……当婴儿般对待"
painting,"n. 绘画；油画；着色
v. 绘画（paint的ing形式）；涂色于"
party,"n. 政党，党派；聚会，派对；当事人 
vi. 参加社交聚会 "
introduce,vt. 介绍；引进；提出；采用
almost,adv. 差不多，几乎
soon,adv. 快；不久，一会儿；立刻；宁愿
mainly,adv. 主要地，大体上
herself,pron. 她自己（she的反身代词）；她亲自
apply,"vi. 申请；涂，敷；适用；请求
vt. 申请；涂，敷；应用"
quality,"n. 质量， 品质；特性；才能
adj. 优质的；高品质的；<英俚>棒极了"
government,n. 政府；政体；管辖
choose,"vt. 选择，决定
vi. 选择，挑选"
training,"n. 训练；培养；瞄准；整枝
v. 训练；教养（train的ing形式）"
plastic,"n. 塑料制品；整形；可塑体
adj. 塑料的；（外科）造型的；可塑的"
challenge,"n. 挑战；怀疑
vt. 向…挑战；对…质疑"
driver,n. 驾驶员；驱动程序；起子；传动器
culture,"n. 文化，文明；修养；栽培
vt.  培养（等于cultivate）"
send,"n. 上升运动
vi. 派人；寄信
vt. 发送，寄；派遣；使进入；发射"
thinking,"n. 思考；思想；想法；意见；见解
v. 思考（think的现在分词）
adj. 思考的；思想的；有理性的；好思考的"
performance,n. 性能；绩效；表演；执行；表现
please,"int. 请（礼貌用语）
vt. 使喜欢；使高兴，使满意
vi. 讨人喜欢；令人高兴"
stranger,n. 陌生人；外地人；局外人
white,"n. 白色；洁白；白种人
adj. 白色的；白种的；纯洁的"
choice,"n. 选择；选择权；精选品
adj. 精选的；仔细推敲的"
population,n. 人口； 种群， 群体；全体居民
adult,"n. 成年人
adj. 成年的；成熟的"
produce,"n. 农产品，产品
vt. 生产；引起；创作；生育，繁殖
vi. 生产，创作"
paint,"vt. 油漆；绘画；装饰；涂色于；描绘；（用语言，文字等）描写；擦脂粉等
vi. 油漆；描绘；绘画；化妆
n. 油漆；颜料，涂料；绘画作品；胭脂等化妆品；色彩，装饰"
rise,"n. 上升；高地；增加；出现
vt. 使…飞起；使…浮上水面
vi. 上升；增强；起立；高耸"
continue,"vt. 继续说…；使…继续；使…延长
vi. 继续，延续；仍旧，连续"
bear,"n. 熊
vt. 结果实，开花（正式）
vt. 忍受；承受；具有；支撑"
bear,"n. 熊
vt. 结果实，开花（正式）
vt. 忍受；承受；具有；支撑"
light,"n. 光；光线；灯；打火机；领悟；浅色；天窗
adj. 轻的；浅色的；明亮的；轻松的；容易的；清淡的
vi. 点着；变亮；着火
vt. 照亮；点燃；着火
adv. 轻地；清楚地；轻便地"
someone,pron. 有人，某人
base,"n. 基础；底部；垒
adj. 卑鄙的；低劣的
vt. 以…作基础"
town,n. 城镇，市镇；市内商业区
though,"conj. 虽然；尽管
prep. 但
adv. 可是，虽然；不过；然而"
head,"n. 头；头痛；上端；最前的部分；理解力
adj. 头的；主要的；在顶端的
vt. 前进；用头顶；作为…的首领；站在…的前头；给…加标题
vi. 出发；成头状物；船驶往"
Internet,
practice,"n. 实践；练习；惯例
vt. 练习；实习；实行
vi. 练习；实习；实行"
service,"n. 服务，服侍；服役；仪式
adj. 服务性的；耐用的；服现役的
vt. 维修，检修；保养"
warm,"n. 取暖；加热
adj. 温暖的；热情的
vt. 使…兴奋；使…温暖；使…感兴趣
vi. 同情；激动；变温暖"
carry,"n. 运载； 进位；射程
vi. 能达到；被携带；被搬运
vt. 拿，扛；携带；支持；搬运"
cost,"n. 费用，代价，成本；损失
vt. 花费；使付出；使花许多钱
vi. 花费"
state,"n. 国家；州；情形
adj. 国家的；州的；正式的
vt. 规定；声明；陈述"
beginning,"n. 开始；起点
v. 开始；创建（begin的ing形式）"
present,"n. 现在；礼物；瞄准
adj. 现在的；出席的
vt. 提出；介绍；呈现；赠送
vi. 举枪瞄准"
present,"n. 现在；礼物；瞄准
adj. 现在的；出席的
vt. 提出；介绍；呈现；赠送
vi. 举枪瞄准"
view,"n. 观察；视野；意见；风景
vt. 观察；考虑；查看"
check,"n. <美>支票；制止，抑制；检验，核对
vi. 核实，查核；中止；打勾；将一军
vt. 检查，核对；制止，抑制；在…上打勾"
cheque,n. 支票
sense,"n. 感觉，功能；观念；道理；理智
vt. 感觉到；检测"
mountain,n. 山；山脉
computer,n. 计算机；电脑；电子计算机
self,"n. 自己，自我；本质；私心
adj. 同一的
vt. 使自花授精；使近亲繁殖
vi. 自花授精"
