identical,"n. 完全相同的事物
adj. 同一的；完全相同的"
crunch,"n. 咬碎，咬碎声；扎扎地踏
vt. 压碎；嘎扎嘎扎的咬嚼；扎扎地踏过
vi. 嘎吱作响地咀嚼；嘎吱嘎吱地踏过"
bust,"n. 破产；半身像；萧条；胸部
adj. 破产了的；毁坏了的
vt. 使破产；使爆裂；逮捕
vi. 破产；爆裂；降低级别"
crimson,"n. 深红色
adj. 深红色的
vt. 使变为深红色；脸红
vi. 变为深红色；脸红"
gem,"n. 宝石，珍宝； 精华；受人重视者
vi. 点缀； 用宝石装饰； 饰以宝石
adj. 最佳品质的"
inferior,"n. 下级；次品
adj. 差的；自卑的；下级的，下等的"
decay,"n. 衰退， 衰减；腐烂，腐朽
vt. 使腐烂，使腐败；使衰退，使衰落
vi. 衰退， 衰减；腐烂，腐朽"
gossip,"n. 小道传闻；随笔；爱说长道短的人
vi. 闲聊；传播流言蜚语"
ruckus,n. 骚动；喧闹
epic,"n. 史诗；叙事诗；史诗般的作品
adj. 史诗的，叙事诗的"
sling,"n.  吊索；投石器；抛掷
vt. 用投石器投掷；吊起"
dwell,vi. 居住；存在于；细想某事
martyr,"vt. 牺牲；折磨；杀害
n. 烈士；殉道者"
differ,"vi. 相异；意见分歧
vt. 使…相异；使…不同"
differentiate,"vt. 区分，区别
vi. 区分，区别"
indifferent,adj. 漠不关心的；无关紧要的；中性的，中立的
indifference,n. 漠不关心；冷淡；不重视；中立
confer,"vt. 授予；给予
vi. 协商"
conference,"n. 会议；讨论；协商；联盟；（正式）讨论会；（每年的）大会
vi. 举行或参加（系列）会议"
defer,"vt. 使推迟；使延期
vi. 推迟；延期；服从"
infer,"vi. 推断；作出推论
vt. 推断；推论"
inference,n. 推理；推论；推断
prefer,"vt. 更喜欢；宁愿；提出；提升
vi. 喜欢；愿意"
preferable,adj. 更好的，更可取的；更合意的
preference,n. 偏爱，倾向；优先权
preferential,adj. 优先的；选择的；特惠的；先取的
refer,"vt. 涉及；委托；归诸于；使…求助于
vi. 参考；涉及；提到；查阅"
referee,"n. 裁判员；调解人；介绍人
vt. 为…当裁判；调停
vi. 仲裁；担任裁判"
reference,"n. 参考，参照；涉及，提及；参考书目；介绍信；证明书
vt. 引用
vi. 引用"
referendum,n. 公民投票权；外交官请示书
suffer,"vi. 遭受，忍受；受痛苦；经验；受损害
vt. 遭受；忍受；经历"
sufferable,adj. 可忍耐的；可容忍的；可忍受得了的
sufferance,n. 容许；忍耐；默许
transfer,"n. 转让；转移；传递；过户
vt. 使转移；调任
vi. 转让；转学；换车"
transference,n. 转移；转让；调任
peripheral,"adj. 外围的；次要的；（神经）末梢区域的
n. 外部设备"
periphery,n. 外围，边缘；圆周；圆柱体表面
break,"vi. 打破；折断；弄坏；削弱
vt. （使）破；打破（纪录）；（常指好天气）突变；开始
vi. （嗓音）突变；突破；破晓；（价格）突然下跌
n. 破裂；间断；（持续一段时间的状况的）改变；间歇"
breakdown,n. 故障；崩溃；分解；分类；衰弱；跺脚曳步舞
breakthrough,n. 突破；突破性进展
outbreak,"n. （战争的）爆发；（疾病的）发作
vi. 爆发"
backbreaking,adj. 非常辛劳的；费力的
handbrake,n. 手煞车；手闸
broke,"v. 打破，断掉（break的过去式）
adj. 一文不名的，破产的"
brake,"n. 闸，刹车；阻碍
vt. 刹车
vi. 刹车"
breach,"n. 违背，违反；缺口
vt. 违反，破坏；打破"
bank,"n. 银行；岸；浅滩；储库
vt. 将…存入银行；倾斜转弯
vi. 堆积；倾斜转弯"
embankment,n. 路堤；堤防
bankrupt,"n.  破产者
adj. 破产的
vt. 使破产"
bankruptcy,n. 破产
compete,vi. 竞争；比赛；对抗
competition,n. 竞争；比赛，竞赛
competitive,adj. 竞争的；比赛的；求胜心切的
impetuous,adj. 冲动的；鲁莽的；猛烈的
impetus,n. 动力；促进；冲力
petition,"n. 请愿；请愿书；祈求； 诉状
vt. 请愿；请求；恳求
vi. 请愿；请求"
perpetual,adj. 永久的；不断的；四季开花的；无期限的
perpetuate,"vt. 使不朽；保持
adj. 长存的"
fact,n. 事实；实际；真相
factual,adj. 事实的；真实的
factor,"n. 因素；要素； 因数；代理人
vt. 把…作为因素计入；代理经营；把…分解成
vi. 做代理商"
faculty,n. 科，系；能力；全体教员
faction,n. 派别；内讧；小集团；纪实小说
factitious,adj. 人为的，人工的；不自然的；虚假的
manufacture,"n. 制造；产品；制造业
vt. 制造；加工；捏造
vi. 制造"
affect,"n. 情感；引起感情的因素
vt. 影响；感染；感动；假装
vi. 倾向；喜欢"
effect,"n. 影响；效果；作用
vt. 产生；达到目的"
affection,n. 喜爱，感情；影响；感染
affectionate,"adj. 深情的；
adj. 充满爱的；"
effective,adj. 有效的，起作用的；实际的，实在的；给人深刻印象
effectual,adj. 奏效的；会应验的；有法律效力的
ineffective,adj. 无效的，失效的；不起作用的
ineffectual,"n. 无用的人；无一技之长者
adj. 无效的，不起作用的；徒劳无益的"
confection,n. 糖果，蜜饯；调制；糖膏（剂）；精制工艺品
defect,"n. 缺点，缺陷；不足之处
vi. 变节；叛变"
perfect,"n. 完成式
adj. 完美的；最好的；精通的
vt. 使完美；使熟练"
perfection,n. 完善；完美
imperfect,"n. 未完成体
adj. 有缺点的；未完成的；半过去的；未完成时的
adv. 有瑕疵地；有缺点地"
infect,vt. 感染，传染
infection,n. 感染；传染；影响；传染病
infectious,adj. 传染的；传染性的；易传染的
disinfect,vt. 将…消毒
disinfectant,"n. 消毒剂
adj. 消毒的"
fag,"n. 苦工；疲劳
vt. 使劳累
vi. 努力地工作"
decade,n. 十年，十年期；十
decimal,"n. 小数
adj. 小数的；十进位的"
decimate,vt. 十中抽一，取十分之一；大批杀害
dean,n. 院长；系主任；教务长；主持牧师
distinguish,"vi. 区别，区分；辨别
vt. 区分；辨别；使杰出，使表现突出"
distinction,n. 区别；差别；特性；荣誉、勋章
distinct,adj. 明显的；独特的；清楚的；有区别的
distinctive,adj. 有特色的，与众不同的
distinguishable,adj. 可区别的；辨认得出的；可辨识的
indistinguishable,adj. 不能区别的，不能辨别的；不易察觉的
distinguished,"v. 区别（distinguish的过去式）
adj. 著名的；卓著的；高贵的"
extinguish,vt. 熄灭；压制；偿清
extinguisher,n. 灭火器；消灭者；熄灭者
extinct,"adj. 灭绝的，绝种的；熄灭的
vt. 使熄灭"
extinction,n. 灭绝；消失；消灭；废止
instinct,"n. 本能，直觉；天性
adj. 充满着的"
dynamic,"n. 动态；动力
adj. 动态的；动力的；动力学的；有活力的"
dynamism,n. 活力；动态；物力论；推动力；精神动力作用
dynamite,"n. 炸药；具有潜在危险的人（或物）
vt. 炸毁
adj. 极好的"
dynamo,n. 发电机；精力充沛的人
horrible,adj. 可怕的；极讨厌的
horrify,vt. 使恐惧；惊骇；使极度厌恶
horror,n. 惊骇；惨状；极端厌恶；令人恐怖的事物
terrible,"adj. 可怕的；很糟的；令人讨厌的
adv. 很，非常"
terrify,vt. 恐吓；使恐怖；使害怕
terror,n. 恐怖；恐怖行动；恐怖时期；可怕的人
terrorist,n. 恐怖主义者，恐怖分子
deter,vt. 制止，阻止；使打消念头
deterrent,"n. 威慑；妨碍物；挽留的事物
adj. 遏制的，威慑的；制止的"
terrific,adj. 极好的；极其的，非常的；可怕的
terrace,"n. 平台；梯田；阳台
adj. （女服）叠层式的
vt. 使成梯田，使成阶地；使有平台屋顶
vi. 成阶地；成梯田；筑成坛"
territory,n. 领土，领域；范围；地域；版图
imagine,"vi. 想像；猜想；想像起来
vt. 想像；猜想；臆断"
imaginable,adj. 可能的；可想像的
imaginary,adj. 虚构的，假想的；想像的；虚数的
imaginative,adj. 富于想象的；有创造力的
imagination,n.  想象力；空想；幻想物
image,"n. 影像；想象；肖像；偶像
vt. 想象；反映；象征；作…的像"
imagery,n. 像；意象；比喻；形象化
imitate,vt. 模仿，仿效；仿造，仿制
imitation,"n. 模仿，仿造；仿制品
adj. 人造的，仿制的"
inimitable,adj. 独特的；无比的；无法仿效的
emulate,"n. 仿真；仿效
vt. 仿真；模仿；尽力赶上；同…竞争"
taboo,"n. 禁忌；禁止
adj. 禁忌的；忌讳的
vt. 禁忌；禁止"
weld,"n. 焊接；焊接点
vt. 焊接；使结合；使成整体
vi. 焊牢"
plume,"n. 羽毛
vt. 用羽毛装饰
vi. 骚首弄姿"
smudge,"n. 污点，污迹；烟熏火堆
vt. 弄脏，涂污；用浓烟熏
vi. 被弄脏；形成污迹"
shrimp,"n. 虾；小虾；矮小的人
adj. 有虾的；虾制的
vi. 捕虾"
thwart,"prep. 横过
n. 划手座；独木舟的横梁
vt. 挫败；反对；阻碍；横过
adj. 横放的；固执的
adv. 横过"
satin,"n. 缎子；缎子衣服
adj. 光滑的；绸缎做的；似缎的"
turf,"n. 草皮；泥炭；跑马场
vt. 覆草皮于"
shaft,"n. 拍杆； 轴；箭杆；杆状物
vt. 利用；在……上装杆"
ammonia,n.  氨，阿摩尼亚
reckon,"vi. 估计；计算；猜想，料想
vt. 测算，估计；认为；计算"
tread,"n. 踏；胎面；步态；鞋底；踏板；梯级
vi. 踏；踩；行走；交尾
vt. 踏；踩；践踏；跳；踩出"
grenade,"n. 手榴弹；灭火弹
vt. 扔手榴弹；用催泪弹攻击"
sake,n. 目的；利益；理由；日本米酒
bias,"n. 偏见；偏爱；斜纹；乖离率
adj. 偏斜的
vt. 使存偏见
adv. 偏斜地"
throng,"n. 人群；众多
vt. 群集；挤满
vi. 蜂拥而至；群集
adj. 拥挤的"
nuisance,n. 讨厌的人；损害；麻烦事；讨厌的东西
roam,"n. 漫步，漫游；流浪
vt. 在…漫步，漫游；在…流浪
vi. 漫游，漫步；流浪"
amber,"n. 琥珀；琥珀色
adj. 琥珀色的；琥珀制的
vt. 使呈琥珀色"
snatch,"n. 抢夺；抓举；小量
vt. 夺得；抽空做；及时救助
vi. 抢走；很快接受"
discrepancy,n. 不符；矛盾；相差
breed,"n.  品种；种类，类型
vt. 繁殖；饲养；养育，教育；引起
vi. 繁殖；饲养；产生"
brag,"n. 吹牛，自夸
vi. 吹牛，自夸
vt. 吹牛，吹嘘"
clout,"n. 破布；敲打；影响力；势力
vt. 给…打补钉；猛击"
eternal,adj. 永恒的；不朽的
vendor,n. 卖主；小贩；供应商； 自动售货机
scoop,"n. 勺；铲子；独家新闻；凹处
vt. 掘；舀取；抢先获得；搜集"
labyrinth,n. 迷宫； 迷路；难解的事物
sturdy,"n. 羊晕倒病
adj. 坚定的；强健的；健全的"
hop,"vt. 搭乘
v. 单足跳跃
vi. 双足或齐足跳行
n. 蹦跳,跳跃；跳舞；一次飞行的距离"
attic,n. 阁楼；顶楼；鼓室上的隐窝
crag,n. 峭壁；岩石碎块；颈；嗉囊
cemetery,n. 墓地；公墓
faint,"n.  昏厥，昏倒
adj. 模糊的；头晕的；虚弱的； 衰弱的
vi. 昏倒；变得微弱；变得没气力"
grime,"n. 尘垢；污点；煤尘
vt. 使污秽；使…弄脏"
bland,"adj. 乏味的；温和的；冷漠的
vt. 使…变得淡而无味；除掉…的特性
vi. 变得平淡无奇；丧失特性"
buck,n. （美）钱，元；雄鹿；纨绔子弟；年轻的印第安人或黑人
swarm,"n. 蜂群；一大群
vi. 挤满；成群浮游；云集
vt. 挤满；爬"
souvenir,"n. 纪念品；礼物
vt. 把…留作纪念"
bald,"adj. 秃顶的；光秃的；单调的；无装饰的
vi. 变秃"
exempt,"n. 免税者；被免除义务者
adj. 被免除的；被豁免的
vt. 免除；豁免"
aisle,n. 通道，走道；侧廊
episode,n. 插曲；一段情节；插话；有趣的事件
plague,"n. 瘟疫；灾祸；麻烦；讨厌的人
vt. 折磨；使苦恼；使得灾祸"
debut,"n. 初次登台；开张
vi. 初次登台"
tally,"n. 计数器；标签；记账
vi. 一致；记分
vt. 使符合；计算；记录"
disdain,"n. 蔑视
vt. 鄙弃"
murmur,"n. 低语；低语声；低声抱怨；潺潺声
vi. 低声说；私下抱怨；发出轻柔持续的声音
vt. 低声说"
preach,"n. 说教
vt. 说教；讲道；鼓吹；传道；反复灌输
vi. 说教；讲道；鼓吹；宣扬"
plunder,"n. 抢夺；战利品；掠夺品
vt. 掠夺；抢劫；侵吞
vi. 掠夺；盗窃"
chase,"n. 追逐；追赶；追击
vt. 追逐；追捕；试图赢得；雕镂
vi. 追逐；追赶；奔跑"
sense,"n. 感觉，功能；观念；道理；理智
vt. 感觉到；检测"
sensible,"n. 可感觉到的东西; 敏感的人;
adj. 明智的; 通情达理的; 合乎情理的; 意识到的，能感觉到的;"
sensibility,n. 情感；敏感性；感觉；识别力
insensibility,n. 不关心，不在乎；无感觉
sensitive,"adj. 敏感的；感觉的； 灵敏的；感光的；易受伤害的；易受影响的
n. 敏感的人；有灵异能力的人"
insensitive,adj. 感觉迟钝的，对…没有感觉的
sensitivity,n. 敏感；敏感性；过敏
sense,"n. 感觉，功能；观念；道理；理智
vt. 感觉到；检测"
sensation,n. 感觉；轰动；感动
sensational,adj. 轰动的；耸人听闻的；非常好的；使人感动的
sensor,n. 传感器
sensory,adj. 感觉的；知觉的；传递感觉的
sensual,adj. 感觉的；肉欲的；世俗的；感觉论的
sensuous,adj. 感觉上的，依感观的；诉诸美感的
sentiment,n. 感情，情绪；情操；观点；多愁善感
sentimental,adj. 伤感的；多愁善感的；感情用事的；寓有情感的
sentinel,"n. 哨兵
vt. 守卫，放哨"
sentry,"n. 哨兵；岗哨
vi. 放哨
vt. 设岗哨"
assent,"n. 同意；赞成
vi. 同意；赞成"
consensus,n. 一致；舆论；合意
consent,"n. 同意；（意见等的）一致；赞成
vi. 同意；赞成；答应"
dissent,"n. 异议；（大写）不信奉国教
vi. 不同意；不信奉国教"
dissension,n. 纠纷；意见不合；争吵；倾轧
resent,vt. 怨恨；愤恨；厌恶
resentful,adj. 充满忿恨的；厌恶的
resentment,n. 愤恨，怨恨
league,"n. 联盟；社团；范畴
vt. 使…结盟；与…联合
vi. 团结；结盟"
liable,adj. 有责任的，有义务的；应受罚的；有…倾向的；易…的
liability,n. 责任；债务；倾向；可能性；不利因素
oblige,"vt. 迫使；强制；赐，施恩惠；责成；义务
vi. 帮忙；施恩惠"
obligation,n. 义务；职责；债务
obligatory,adj. 义务的；必须的；义不容辞的
religion,n. 宗教；宗教信仰
religious,"n. 修道士；尼姑
adj. 宗教的；虔诚的；严谨的；修道的"
hesitate,"vt. 踌躇，犹豫；有疑虑，不愿意
vi. 踌躇，犹豫；不愿"
hesitation,n. 犹豫
adhere,"vi. 坚持；依附；粘着；追随
vt. 使粘附"
adherence,n. 坚持；依附；忠诚
adhesive,"n. 粘合剂；胶黏剂
adj. 粘着的；带粘性的"
cohere,vi. 凝聚；连贯；粘着；一致
cohesive,adj. 凝聚的；有结合力的；紧密结合的；有粘着力的
coherent,adj. 连贯的，一致的；明了的；清晰的；凝聚性的；互相耦合的；粘在一起的
incoherent,adj. 语无伦次的；不连贯的；不合逻辑的
heir,n.  继承人；后嗣；嗣子
heiress,n. 女继承人
heirloom,n. 传家宝；祖传遗物
heredity,n. 遗传，遗传性
heritage,n. 遗产；传统；继承物；继承权
inherit,"vt. 继承；遗传而得
vi. 成为继承人"
inheritance,n. 继承；遗传；遗产
inherent,adj. 固有的；内在的；与生俱来的，遗传的
military,"adj. 军事的；军人的；适于战争的
n. 军队；军人"
militarism,n. 军国主义；尚武精神，好战态度；职业军人的精神
